Gene,frutose_1,frutose_2,frutose_3,seb_1,seb_2,seb_3
Afu6g14460,627,528,591,302,328,300
Afu1g04770,167,87,141,113,126,130
Afu3g07980,828,562,544,267,200,348
Afu4g06110,21,9,17,30,16,21
Afu8g05890,74,1,249,1019,1898,743
Afu6g03550,0,2,0,2,0,0
Afu4g08560,356,210,239,231,210,246
Afu2g03490,2991,1476,2705,2466,1102,1868
Afu6g09560,0,1,0,0,0,0
Afu7g06070,0,0,0,0,0,1
Afu2g16180,189,154,87,281,162,163
Afu6g10550,280,155,285,276,294,221
Afu5g11300,91,84,51,305,231,238
Afu1g03690,239,202,64,81,39,118
Afu5g11080,404,309,509,773,1021,603
Afu6g03800,43,31,38,32,47,29
Afu4g00900,15,8,8,12,10,13
Afu8g05760,333,184,383,117,179,108
Afu8g02730,1055,784,669,439,500,506
Afu2g00400,0,2,0,2,1,1
Afu5g11440,0,0,2,4,5,5
Afu2g03950,1539,1409,1748,1563,1043,1078
Afu1g14610,1098,805,1201,2049,1135,1581
Afu3g07670,126,40,118,114,172,60
Afu4g09220,2257,1119,4327,965,1500,683
Afu1g15400,171,137,210,152,110,154
Afu5g02190,88,29,86,53,28,44
Afu2g14840,2,0,1,1,1,0
Afu3g12170,138,167,147,660,794,742
Afu2g02720,5,2,6,9,13,0
Afu6g07780,2456,2285,2699,5133,4196,2882
Afu1g07555,0,1,0,1,1,1
Afu4g11190,716,663,349,672,709,561
Afu6g11770,1,3,2,1,2,3
Afu1g13590,1192,816,912,821,749,551
Afu2g02275,2491,2256,1804,1747,1802,2275
Afu2g06200,428,404,332,503,496,415
Afu4g07220,380,336,409,724,732,413
Afu4g02880,698,611,614,1088,774,1113
Afu3g01800,33,9,18,39,10,19
Afu6g08960,2254,1539,1680,944,1024,973
Afu5g01360,540,231,413,649,391,745
Afu5g01210,0,1,0,1,1,0
Afu3g08000,412,258,685,435,510,213
Afu5g00680,429,201,242,103,161,117
Afu3g10250,467,364,465,527,581,278
Afu6g09353,53,21,51,91,75,69
Afu2g01370,11,14,11,35,29,29
Afu4g01170,35,31,61,63,100,49
Afu5g09460,287,306,313,1281,1265,746
Afu5g04135,323,183,467,444,394,330
Afu1g10890,2,0,2,240,768,241
Afu1g04700,776,841,928,1355,1355,946
Afu7g05180,43,7,19,845,755,1074
Afu6g13880,0,0,4,85,141,59
Afu2g02140,89,64,76,121,99,96
Afu8g00730,459,373,449,349,419,319
Afu1g17020,247,129,163,229,261,167
Afu8g07400,0,1,0,1,0,0
Afu1g15390,265,155,169,322,319,287
Afu1g11670,103,87,133,171,188,183
Afu4g12510,82,21,45,501,610,451
Afu2g13760,1128,972,1356,649,654,438
Afu1g16310,33,12,47,69,102,59
Afu4g10180,263,183,145,356,320,288
Afu1g14800,3461,1190,2144,537,1210,484
Afu3g02290,12,4,5,16,7,6
Afu2g00550,0,0,0,1,1,0
Afu5g14960,79,65,77,64,65,60
Afu2g17190,141,172,99,319,301,277
Afu8g05830,69,40,46,97,98,75
Afu4g06410,717,574,248,75,37,83
Afu4g03100,608,384,556,828,1136,700
Afu8g06190,35,18,21,9,12,7
Afu4g03480,1162,347,1390,138,20,128
Afu1g04480,326,218,244,364,201,287
Afu3g02230,0,4,2,7,1,0
Afu7g00390,151,433,62,296,91,429
Afu3g09610,358,167,330,162,141,170
Afu1g13060,572,440,531,741,949,536
Afu5g11350,259,195,216,296,298,236
Afu2tE(UUC)4,5,1,3,1,7,0
Afu5g13680,0,1,2,2,4,1
Afu7g04030,7,12,4,8,7,12
Afu4g14220,188,176,154,148,201,100
Afu6g04390,999,737,764,920,733,720
Afu1g01660,2,5,5,8,14,1
Afu2g15120,31,17,38,30,7,15
Afu3g00410,32,29,19,87,62,47
Afu5g10600,460,370,410,596,430,362
Afu2g14547,0,2,0,0,0,0
Afu6g05140,769,999,364,1122,770,1088
Afu2g17000,726,753,648,1548,1462,1010
Afu5g06170,182,136,135,279,315,279
Afu2g10560,699,251,419,463,300,291
Afu2g15430,2405,1044,1410,981,264,1504
Afu6g08670,201,111,121,159,146,95
Afu3g12500,352,318,334,375,374,249
Afu3g09860,242,171,220,299,225,196
Afu7g02210,191,159,134,391,347,383
Afu1g06100,205,104,97,446,581,798
Afu8g04450,26,12,21,23,16,20
Afu2g17690,0,1,0,1,1,1
Afu6g08390,87,62,54,103,101,83
Afu4g08390,32,17,12,106,18,20
Afu1g03650,423,414,168,404,305,338
Afu2g10500,3233,3023,1920,4411,5433,5531
Afu2g03900,385,462,123,249,153,146
Afu8g06980,0,3,2,1,0,1
Afu3g03610,2624,1823,864,2009,1374,1589
Afu6g09860,106,63,160,53,68,33
Afu2g15370,639,547,416,363,245,288
Afu7g05080,17,29,24,27,43,14
Afu8g00470,523,272,553,130,151,144
Afu6g11040,123,85,104,137,168,78
Afu2g06130,106,70,106,138,117,105
Afu2g11510,638,710,414,1697,2072,1450
Afu6g03120,18,15,22,19,23,23
Afu4g00470,0,0,1,0,0,0
Afu7g04340,158,102,189,167,198,88
Afu7g04590,191,126,117,365,323,312
Afu2g07560,449,370,350,431,481,432
Afu5g06880,205,124,79,216,195,297
Afu1g05095,9,14,4,19,16,25
Afu2g08560,344,295,299,353,476,301
Afu4g10425,319,181,126,79,123,147
Afu6g11270,617,428,546,267,192,189
Afu6g07350,159,138,182,206,168,121
Afu1g10460,221,159,185,158,163,205
Afu5g00990,1,2,3,1,1,3
Afu4g06050,6,6,3,16,15,12
Afu2g13240,1775,1374,1883,1357,1565,1051
Afu4g06940,356,358,189,258,216,255
Afu8g06200,42,25,33,25,23,23
Afu4g04060,304,244,336,398,516,308
Afu2g13570,392,366,256,813,972,698
Afu3g02700,153,115,84,111,150,85
Afu7g01650,212,156,211,239,291,257
Afu6g07740,775,649,1330,1171,1058,1022
Afu6g11520,9,8,4,15,24,22
Afu1g13550,598,320,714,108,41,178
Afu5g05790,1430,976,947,883,840,904
Afu2g15110,116,115,210,647,639,567
Afu8g02310,61,24,59,24,14,21
Afu5g10540,1108,686,1232,756,397,600
Afu4g08420,736,518,533,1590,292,264
Afu6g03130,3,1,0,3,8,4
Afu1g15500,259,254,200,735,459,683
Afu1g05750,135,73,103,106,106,58
Afu3g01610,60,38,36,92,72,116
Afu3g14630,28,24,14,27,22,20
Afu3g03540,0,0,0,0,1,0
Afu6g11510,251,181,209,462,567,310
Afu4g04130,580,545,533,714,590,485
Afu4g13000,387,206,300,219,328,182
Afu7g03780,527,461,299,195,166,137
Afu5g12840,1461,1076,1449,772,584,806
Afu5g08950,458,409,324,1150,1214,991
Afu8g06460,504,333,1173,850,1228,251
Afu4g08140,266,219,155,497,541,400
Afu2g14480,20,24,100,67,126,52
Afu5tN(GUU)3,0,0,0,0,0,1
Afu2g13270,742,565,903,360,319,281
Afu5g12500,53,39,62,72,139,62
Afu3g01020,135,115,135,97,144,96
Afu4g13900,273,245,29,90,54,25
Afu6g07130,76,49,112,145,144,108
Afu3g11990,909,677,945,1404,934,808
Afu5g09950,252,141,697,650,483,425
Afu2g01540,309,145,261,253,385,187
Afu3g03020,364,305,296,202,279,154
Afu5g09570,142,86,115,184,144,165
Afu1tS(GCU)3,5,1,2,6,5,9
Afu2g07620,1190,915,1069,1172,778,1287
