Gene,frutose_1,frutose_2,frutose_3,seb_1,seb_2,seb_3
Afu6g14100,273,248,309,250,250,182
Afu5g09350,401,328,312,414,364,286
Afu4g00340,22,14,34,87,44,43
Afu2g03910,40,31,28,66,90,57
Afu1g12770,1177,1101,604,1369,774,749
Afu1g09580,2141,1261,1773,1140,223,759
Afu8g00360,27,49,17,13,25,16
Afu5g00435,5,0,2,2,7,2
Afu1g11520,106,87,89,104,95,83
Afu2g08410,208,183,334,249,201,169
Afu1g11870,256,225,247,407,481,282
Afu7g00380,99,80,33,139,114,142
Afu1g10420,62,61,88,77,120,78
Afu1g10750,168,124,128,224,170,184
Afu4g12760,71,82,34,201,210,149
Afu5g09450,1038,705,842,438,122,461
Afu1g10260,2,1,1,132,235,131
Afu7g06470,1,0,0,0,0,0
Afu6g00740,93,51,17,7,7,2
Afu1g06220,130,152,69,337,407,332
Afu2g05300,0,0,2,1,1,0
Afu2g09620,8,5,11,24,25,38
Afu1g14690,543,381,381,428,511,335
Afu1g14580,104,92,70,173,264,183
Afu1g14860,57,87,48,94,99,66
Afu4g11990,262,201,162,509,489,402
Afu5g02710,0,7,0,2,3,0
Afu1g05780,14,6,9,22,34,16
Afu2g11030,22,21,15,34,36,7
Afu6g13690,961,782,681,1018,1547,714
Afu5g10650,407,291,284,282,311,254
Afu8g04610,282,213,269,271,274,227
Afu2g02530,14005,13335,8928,11137,9785,8249
Afu8g05290,226,123,255,504,475,378
Afu1g10800,238,147,198,201,224,149
Afu6g14530,140,146,150,166,106,165
Afu2g10450,586,446,365,917,747,953
Afu3g01230,4,6,8,31,35,11
Afu5g00630,3,3,1,0,0,0
Afu2g15320,2,0,1,6,3,3
Afu2g15600,94,99,81,121,146,128
Afu3g08280,387,205,285,433,538,313
Afu4g00910,6,5,7,2,8,8
Afu6g04800,341,224,231,265,427,280
Afu2g13860,3247,2875,2500,2129,2165,2294
Afu2g14990,1109,771,1119,751,1253,479
Afu3g03750,50,41,87,43,150,48
Afu7g05500,288,293,112,161,35,117
Afu4g06790,2096,2123,1458,1490,1665,1780
Afu1g03740,1302,923,1360,696,757,447
Afu3g14110,246,203,124,220,130,237
Afu6g03190,0,2,3,7,19,42
Afu5tA(UGC)2,0,0,0,0,1,0
Afu5g11230,754,547,617,1307,1313,1044
Afu3g09300,495,509,403,503,577,548
Afu2g10110,1025,904,805,1002,1137,560
Afu4g13120,67156,77777,24594,21519,13361,19515
Afu1g04940,1743,1330,1456,1270,1340,1172
Afu2g14370,197,213,168,112,161,95
Afu5g13600,265,197,239,206,212,138
Afu2g15630,156,90,171,105,85,120
Afu1g03490,280,214,264,370,332,207
Afu1g03670,5,2,3,22,3,7
Afu8g01390,145,75,111,163,139,106
Afu6g13520,763,520,534,1487,2985,1512
Afu2g07750,179,177,184,140,69,120
Afu4g12250,336,264,259,467,418,331
Afu1g03070,448,326,383,467,553,420
Afu5g14760,40,21,19,56,46,50
Afu8g00680,176,147,117,185,211,134
Afu2g09130,1166,1097,1032,1138,1282,1104
Afu2g17440,6,0,20,22,14,12
Afu4g01400,1,16,9,11,16,13
Afu1g17590,6,4,3,7,7,1
Afu4g01230,2268,1163,2029,1256,1486,888
Afu2g00810,6,11,5,9,11,4
Afu4g00680,25,4,20,5,1,4
Afu2g05550,348,320,209,845,744,830
Afu8g00300,10,7,3,3,1,1
Afu1g02010,403,310,343,569,627,431
Afu5g07850,120,67,97,125,90,117
Afu4g09810,845,913,354,704,418,769
Afu6g09865,48,38,35,45,60,39
Afu5g06100,375,231,304,380,371,295
Afu1g11660,432,310,274,378,483,281
Afu6g04850,92,76,108,107,105,73
Afu4g12870,3862,2297,3621,1925,1813,1342
Afu1g14560,314,421,952,1117,1858,733
Afu2g10780,5,2,3,12,9,4
Afu1g15960,1343,1237,1046,1194,1364,923
Afu7g01850,215,165,123,382,399,338
Afu8g07330,39,49,24,14,43,31
Afu3g01850,258,232,393,144,133,116
Afu6g07650,1,0,1,10,1,1
Afu6g11340,390,229,327,201,278,166
Afu5g05550,1108,801,935,1099,1095,686
Afu1g14240,341,207,296,287,254,225
Afu3g13480,1174,1062,732,1600,1654,1652
Afu3g09900,235,177,152,471,612,353
Afu3g11120,494,349,391,343,295,291
Afu1g05970,874,534,821,663,660,414
Afu6g10030,199,176,184,286,237,273
Afu8g06890,0,0,1,53,77,55
Afu4g07730,3705,3590,1935,3966,4688,4996
Afu6g13010,96,77,113,91,109,50
Afu4g10890,0,0,0,4,6,2
Afu2g04440,495,428,421,924,854,846
Afu5g05880,579,380,503,734,367,535
Afu3g00560,45,16,33,27,47,35
Afu5tN(GUU)5,3,0,4,1,2,2
Afu2g08990,3335,3033,3678,3790,4516,3240
Afu4g06800,89,69,90,195,206,120
Afu1g07360,140,82,113,158,228,212
Afu1g17180,5,1,2,55,49,25
Afu2g16030,258,237,231,438,354,316
Afu1g17530,74,33,35,71,80,51
Afu1g06140,2,8,3,37,16,29
Afu2g14590,1109,1653,673,1195,1027,1235
Afu4g06090,1060,731,950,673,702,723
Afu2g01600,119,56,134,255,255,201
Afu5g08870,14,17,12,26,53,29
Afu6g03810,2928,2365,2050,1831,2006,2174
Afu4g08170,2255,2108,1012,668,195,710
Afu8g01910,738,183,582,85,5,172
Afu3g15300,6,1,4,10,16,3
Afu6g09590,72,60,56,65,86,63
Afu2g14610,8,10,20,11,9,6
Afu5g07190,390,259,479,1625,2968,1207
Afu6g05050,542,389,437,353,491,251
Afu3g03300,27,31,15,2,3,3
Afu3g13610,0,0,0,4,2,0
Afu3g01700,77,45,104,195,203,125
Afu6g12750,238,165,217,267,258,245
Afu1g11180,8686,14958,6379,5080,9472,1647
Afu3g10500,994,729,485,698,210,247
Afu6g07790,89,59,60,54,80,94
Afu2g03220,1714,1221,1622,1601,1670,1463
Afu2g09060,397,354,211,577,807,463
Afu5g03060,489,317,550,981,646,641
Afu1g17490,96,88,94,54,214,38
Afu1g01310,0,0,0,0,0,2
Afu2g16530,2525,1879,1897,685,529,540
Afu3g10590,51,36,28,23,25,27
Afu3g09020,180,150,108,265,224,207
Afu1g07090,1524,1023,1432,1952,2122,1491
Afu4g08510,234,193,308,349,417,249
Afu3g10730,1699,1620,1061,2949,3736,2910
Afu5g14800,4,1,2,3,0,0
Afu5g07650,2,7,2,9,2,5
Afu1g13825,0,0,5,0,0,0
Afu6g02550,159,111,125,242,257,196
Afu1g06600,275,286,211,735,744,573
Afu5g10110,0,1,0,0,2,1
Afu3g01250,1,0,0,2,0,0
Afu2g02840,1097,849,964,969,848,605
Afu6g03025,398,191,422,509,549,530
Afu3g06670,1117,955,1056,411,367,425
Afu3g11400,12417,6647,16232,5921,6196,5121
Afu1g04330,50,29,71,43,34,27
Afu1g06880,44,52,31,134,138,75
Afu3g08950,112,49,105,60,60,65
Afu2g16590,31,39,27,51,44,53
Afu3g04060,673,375,624,414,385,370
Afu6g10090,43,70,43,57,47,48
Afu5g05870,930,770,933,752,945,442
Afu2g05540,582,382,570,679,662,540
Afu3g01120,27,17,19,79,80,59
Afu6g04630,94,100,51,260,236,256
Afu3g03550,194,279,156,66,56,46
Afu4g07110,799,477,835,608,646,478
Afu4g00480,1,1,1,0,0,0
Afu1g16820,284,174,180,446,233,431
Afu3g09660,34,27,49,17,11,4
Afu2g08900,1382,1118,1531,2553,2449,820
Afu6g12340,385,329,443,436,490,252
Afu8g05670,276,146,194,201,191,193
Afu3g00865,60,28,62,33,20,27
Afu3g01600,149,52,150,91,130,65
Afu3g10390,692,401,647,294,289,220
Afu2g13640,180,103,171,209,201,144
Afu3g01500,3180,1568,3575,1070,437,935
Afu4g04090,633,269,654,250,279,178
Afu1g01540,10,14,23,150,261,120
Afu1g10160,6,1,5,8,14,15
Afu5g12860,635,652,756,821,1661,921
Afu2g05840,56,79,35,182,87,124
Afu4g08210,43,16,26,26,28,34
Afu8g01400,25,16,19,35,37,22
Afu3g09220,406,443,470,433,425,340
Afu2g16985,589,742,707,508,496,433
Afu5g03570,416,400,296,466,597,477
Afu7g01160,0,0,0,3,1,1
Afu1g09940,7546,7348,7797,3465,3276,2939
Afu1g11950,2545,2732,2516,4719,2418,2607
Afu5g08580,108,95,72,240,204,139
Afu5g08360,521,296,536,283,226,255
Afu1g14180,307,299,212,639,745,583
Afu4g13440,148,114,130,299,269,224
Afu4g00710,102,44,103,64,26,39
Afu6g09220,494,313,381,563,520,470
Afu6g10190,0,1,0,11,0,1
Afu8g00760,131,59,211,140,226,121
Afu1g05980,666,369,790,361,434,281
Afu2g17770,67,52,80,83,112,78
Afu8g01190,0,0,0,0,0,1
Afu1g11690,382,175,439,245,223,172
Afu6g07270,409,257,801,542,381,241
Afu2g14630,8,13,8,50,34,51
Afu3g07290,362,300,309,699,560,475
Afu6g03060,2172,4005,3946,6256,9606,6301
Afu2g12650,35,21,44,73,60,68
Afu5g11850,11,25,16,45,35,30
Afu5g09920,162,52,163,73,64,51
Afu6g10730,417,299,314,460,428,404
Afu3g11310,126,114,101,255,268,288
Afu1g09870,449,341,438,279,393,213
Afu7g05110,39,24,21,82,64,81
Afu5g08080,209,186,140,144,136,188
Afu5g03020,1863,1982,1160,3818,5062,3649
Afu4g10930,217,169,178,190,168,189
Afu5g12650,38,16,23,42,45,25
Afu6g14510,179,131,289,395,291,911
Afu1g10440,278,314,178,566,730,548
Afu2g05110,469,333,334,317,310,343
Afu2g09800,522,407,492,613,749,445
Afu3g02050,14,7,6,12,14,27
Afu1g06950,319,244,122,262,238,301
Afu3g06340,333,307,239,397,304,367
Afu1g02440,38,31,48,76,56,49
Afu6g05040,273,223,160,198,262,210
Afu5g09660,368,283,263,410,473,331
Afu6g00650,86,55,92,46,53,32
Afu2g03740,73,49,39,128,136,117
Afu3g11960,330,375,309,601,393,290
Afu2g09680,615,368,326,694,968,532
Afu2g11330,360,225,371,354,332,336
Afu6g12800,138,90,190,76,81,39
Afu3g07945,179,101,178,204,276,174
Afu4g06170,1490,1485,1507,1623,2198,1647
Afu1g07320,277,261,169,304,404,300
Afu2g07490,289,344,275,895,582,735
Afu4g13280,81,102,82,256,258,233
Afu4g11940,11,3,8,6,8,2
Afu1g14600,63,37,60,85,132,71
Afu6g07930,858,459,835,672,680,662
Afu2g10400,107,91,78,165,147,164
Afu7g05410,98,47,67,108,79,111
Afu3g13260,249,137,171,193,210,166
Afu1g12130,440,256,378,262,195,201
Afu3g14910,1,0,0,0,2,0
Afu1g14880,199,105,402,211,146,118
Afu1g01250,1,0,0,3,0,2
Afu8g01560,206,76,547,152,212,159
Afu1g11930,1554,1212,881,1304,1223,901
Afu1g03050,1095,801,861,1319,993,661
Afu8g06510,0,6,1,10,4,9
Afu3g03180,1,0,3,0,1,0
Afu1g03430,168,109,150,146,208,139
Afu3g08450,4348,4139,1944,1134,661,750
Afu4g04300,280,259,359,325,379,244
Afu5g12080,1141,1076,792,1440,1497,937
Afu5g11690,1969,1015,2937,2543,1383,2075
Afu6g06345,1499,1006,862,1053,1205,1373
Afu4g04465,88,54,104,102,80,76
Afu2g10010,1438,1316,1048,1856,2204,1390
Afu8g02820,850,560,596,783,685,527
Afu2g15440,51,24,49,37,42,45
Afu6g14320,467,307,347,419,310,274
Afu6g04930,244,159,263,187,153,147
Afu5g11480,15,12,17,17,11,12
Afu2g13480,140,171,80,455,361,247
Afu5g05500,1224,1005,409,1015,778,939
Afu2g02320,431,524,221,1759,1933,1647
Afu8g04620,1180,1456,1151,2852,2014,2401
Afu4g00460,62,28,40,73,63,48
AfuMttQ(UUG)3,0,0,0,1,0,0
Afu3g10140,138,119,88,114,128,132
Afu6g03370,1,0,0,0,0,0
Afu6g11200,477,368,271,551,641,337
Afu5g03920,231,161,151,254,164,134
Afu5g01470,35,36,37,14,11,7
Afu4g11630,735,406,622,1076,505,476
Afu1g09020,558,476,461,582,699,529
Afu2g14640,3,6,3,16,10,14
Afu4g01420,0,0,0,0,0,1
Afu2g16020,1030,818,747,840,956,784
Afu8g04360,430,332,379,487,501,379
Afu2g11100,598,472,465,373,388,304
Afu3g14000,124,109,57,149,178,134
Afu3g09080,730,543,559,754,714,685
Afu5g06070,1180,754,867,1434,786,1255
Afu1g12300,123,82,267,224,136,125
Afu3g13250,174,106,139,195,167,150
Afu8g02680,80,37,72,56,43,44
Afu1g10810,793,507,669,362,436,261
Afu5g01380,327,210,181,72,60,116
Afu6g12600,298,228,294,467,447,353
Afu5g09870,5,6,0,0,1,0
Afu1g12870,235,155,234,247,273,212
Afu1g15860,971,752,791,728,745,601
Afu6g02050,334,104,228,443,582,230
Afu3g10980,213,137,216,149,124,106
Afu2g13660,3,1,2,21,47,18
Afu3g03470,1,1,3,2,0,1
Afu1g05090,0,1,1,2,0,0
Afu1g14820,74,73,91,63,88,17
Afu1g02000,88,28,95,53,129,43
Afu2g04540,199,297,781,551,443,534
Afu3g15050,160,194,66,75,43,59
Afu1g06920,1683,1492,1134,1078,985,642
Afu6g09330,926,861,577,627,700,705
Afu3g02100,16,17,35,29,38,28
Afu1g10560,238,256,179,1128,1350,845
Afu5g12260,850,602,540,596,764,705
Afu2g09670,106,73,104,143,154,70
Afu4g09930,61,46,38,92,19,40
Afu2g04130,5860,5208,2614,5431,6757,6592
Afu2g17550,91,4,37,328,485,336
Afu6g01990,49,55,46,103,115,97
Afu2g15850,179,175,217,89,184,70
Afu5g02350,222,136,138,83,174,82
Afu4g12350,1996,1867,2091,1813,2293,1116
Afu4g12710,946,767,679,244,277,211
Afu5g12130,1206,971,1064,874,751,693
Afu5g03670,2405,2209,1746,2617,2476,2772
Afu6g07230,58,19,67,84,65,64
Afu3g09250,254,269,57,282,421,214
Afu2g02910,227,148,294,101,136,103
Afu6g02730,120,93,87,204,206,239
Afu2g15770,2455,1223,2198,1908,1496,2418
Afu4g06660,10,5,10,7,4,7
Afu1g16500,532,369,509,539,515,479
Afu6g11370,214,134,240,227,281,148
Afu2g14930,135,97,106,112,113,88
Afu5g03100,5,2,5,12,15,14
Afu6g06920,165,92,102,127,123,86
Afu4g07950,86,45,52,42,29,47
Afu5g00120,1621,1744,1603,4,1450,7
Afu4g01550,5,1,9,19,22,24
Afu7g06110,53,29,56,89,75,56
Afu6g07055,267,41,38,39,21,36
Afu8g04380,457,420,728,1670,1750,1953
Afu1g06930,286,103,268,116,123,53
Afu6g06550,301,302,210,155,175,148
Afu1g10960,868,517,629,500,446,594
Afu3g06700,782,554,909,469,557,452
Afu7g01540,7,4,8,13,6,9
Afu8g02790,801,550,481,653,573,546
Afu5g04336,236,157,210,213,182,200
Afu5g01460,24,38,9,11,5,9
Afu2g08570,384,265,306,205,239,198
Afu2g08220,164,96,107,178,190,112
Afu4g07900,196,120,255,120,135,82
Afu1g09410,439,401,262,466,515,419
Afu3g00540,73,81,49,55,40,58
Afu2g03380,1371,1464,814,2599,3079,3495
Afu4g14730,30,16,24,91,30,139
Afu4g11830,267,151,197,297,268,228
Afu3g10410,50,16,48,36,27,31
Afu2g13190,10,11,9,38,55,37
Afu4g02980,260,228,343,145,118,136
Afu6g08450,650,491,549,608,600,437
Afu3g05590,276,227,267,330,290,236
Afu5g00130,4236,5568,3335,5,1760,3
Afu3g00980,1,0,1,0,3,1
Afu6g00380,0,0,0,2,0,1
Afu5g14380,47,30,44,268,366,159
Afu2tW(CCA)2,0,0,0,1,0,2
Afu5g09010,751,321,567,651,281,579
Afu2g02610,598,378,516,427,334,314
Afu7tS(CGA)2,0,2,0,1,0,2
Afu7g00950,226,227,125,20,13,27
Afu5g14490,21,30,23,77,24,43
Afu5g07720,488,344,358,301,365,222
Afu2g11010,267,269,278,287,386,252
Afu2g17430,44,23,60,33,65,37
Afu6g08830,559,274,937,234,193,161
Afu5g12895,524,356,372,266,270,245
Afu5g01050,1,1,5,2,5,1
Afu6g11610,1,1,42,11548,25746,8025
Afu6g02400,108,81,140,199,162,134
Afu3g01760,119,78,91,101,143,102
Afu2g00890,17,7,15,2,6,7
Afu5g04440,458,380,277,501,509,468
Afu3g06660,2059,1153,2849,1181,1083,816
Afu5g13500,439,341,298,419,336,307
Afu5g02820,2,4,3,1,3,8
Afu6g02515,140,98,98,165,204,167
Afu3g00750,14,8,17,10,1,5
Afu1g03940,912,714,575,738,598,759
Afu6g05330,1048,828,919,955,1032,1125
Afu5g13360,351,202,286,419,378,345
Afu5g03900,101,123,77,245,244,271
Afu3g12060,12,7,22,340,1329,435
Afu8g00390,11369,5898,12103,1903,3608,2718
Afu5g11520,1997,1294,1600,1376,1213,913
Afu7g05920,5728,8337,2856,7672,4169,11722
Afu6g06440,1391,1093,1223,786,747,758
Afu1g14530,39,24,82,38,42,19
Afu6g10720,298,171,97,114,89,103
Afu5g00920,43,52,35,50,106,50
Afu4g14080,54,199,36,5,6,3
Afu4g06340,220,142,161,262,280,339
Afu2g04650,443,287,319,290,395,205
Afu6g11870,4,5,6,22,9,30
Afu5g06647,115,57,81,43,64,74
Afu3g00760,12,6,2,13,4,10
Afu1g02940,101,70,114,183,195,151
Afu8g00830,181,230,207,66,39,80
Afu3g06680,183,116,138,103,126,107
Afu1g03410,247,228,149,250,304,281
Afu1g15370,474,357,421,1143,894,823
Afu3g10160,420,303,381,333,273,214
Afu1g12520,110,63,132,159,220,106
Afu2g03450,556,608,887,1271,1754,968
Afu4g12260,94,123,135,267,101,135
Afu2g12570,87,91,61,84,113,41
Afu6g10170,0,1,0,4,2,2
Afu1g04270,2176,1725,1897,1332,1196,1005
Afu1g14570,1336,879,1095,906,1259,619
Afu3g02920,74,38,85,174,275,124
Afu6g02980,2,5,3,16,10,9
Afu1g04540,770,611,587,759,678,607
Afu4g12910,199,186,169,195,237,149
AfuMt00090,0,2,0,0,0,1
Afu6g11980,1,0,0,0,1,3
Afu3g13740,30,15,7,8,17,14
Afu5g01220,0,0,0,1,1,1
Afu3g12640,108,107,81,147,177,107
Afu5g10840,341,312,242,503,474,431
Afu5g09600,857,566,1244,487,522,384
Afu7g00870,150,64,65,273,100,259
Afu5g01580,109,37,111,153,210,151
Afu6g10200,0,0,0,3,2,4
Afu7g06480,48,26,55,12,16,14
Afu1g05040,5668,5663,4399,4822,9620,2940
Afu5g00540,4,7,2,6,8,11
Afu6g12210,0,0,0,11,21,14
Afu4g03970,155,130,183,245,264,190
Afu3g07940,1566,745,1285,1218,1267,954
Afu3g08915,2,1,0,2,1,0
Afu2g17970,2,0,2,76,181,53
Afu7g05120,361,145,402,1031,1216,507
Afu7g06810,1,0,0,1,3,0
Afu3g11930,137,83,251,166,210,81
Afu5g15030,36,7,27,24,37,31
Afu2g16220,0,0,1,0,1,0
Afu2g02640,2,5,2,21,1,6
Afu2g09740,137,77,119,101,162,101
Afu5g02530,148,114,197,78,61,58
Afu7g03940,1476,838,1119,1153,802,1065
Afu5g14920,27,22,19,19,28,18
Afu3g02670,103,138,65,327,140,274
Afu3g04040,130,80,122,202,299,208
Afu6g04540,974,685,821,509,405,536
Afu4g08710,1941,1505,1166,1453,645,1829
Afu1g06460,89,74,115,142,174,93
Afu3g13440,1834,1685,3122,2089,2541,2438
Afu2g09820,127,81,106,118,114,90
Afu1g09920,126,87,93,125,151,84
Afu3g05560,453,324,395,663,828,461
Afu4g14550,3,3,2,1,3,2
Afu2g00510,1,1,1,256,126,174
Afu7g05390,239,174,169,395,342,418
Afu2g11140,472,405,368,762,800,868
Afu7g05670,1030,788,601,1278,1413,1294
Afu1g15740,29,14,29,34,24,23
Afu2g01800,0,0,0,4,4,1
Afu8g02480,1228,550,1002,576,168,598
Afu1g10950,1416,863,1597,1233,923,988
Afu7g00510,23,15,14,17,16,16
Afu5g03230,1838,1228,1357,810,448,914
Afu5g10810,292,212,314,210,203,144
Afu6g00530,18,19,24,11,12,10
Afu3g10100,2786,2564,1415,1922,2294,1347
Afu2g06160,47,12,33,47,49,41
Afu4g05990,415,265,310,438,400,387
Afu3g10640,632,370,534,827,624,451
Afu1g11600,9,0,11,19,7,22
Afu2g14350,86,30,80,55,45,35
Afu3g00920,17,3,13,5,9,3
Afu4g13765,6,6,18,19,48,16
Afu1g08870,468,339,312,534,499,422
Afu1g05920,482,276,391,410,392,214
Afu7g02250,1,0,0,1,1,1
Afu3g10610,1720,1268,2456,2701,1948,1678
Afu3g09880,120,119,101,383,440,260
Afu4g03410,7917,10871,4940,10558,4357,14935
Afu2g17650,227,251,318,421,316,229
Afu4g04740,831,867,667,1202,1327,1281
Afu3g14250,456,864,232,1218,770,1203
Afu6g03880,152,38,65,363,511,145
Afu3g03620,3401,2351,1400,2597,1887,1567
Afu6g00190,59,30,48,20,14,18
Afu4g11270,8217,8761,6429,4603,2904,2508
Afu5g08690,399,299,422,284,357,292
Afu1g13910,407,233,503,497,298,353
Afu4g08360,150,120,96,89,82,73
Afu3g09960,2171,1701,2018,2324,1328,1408
Afu6g12500,1014,773,680,379,435,423
Afu5g11810,777,559,783,909,1048,432
Afu1g16250,1845,515,2027,608,1057,357
Afu6g14220,1036,780,955,1015,1088,612
Afu4g07100,172,144,125,333,354,196
Afu4g00320,1483,607,1525,932,486,811
Afu1g16635,177,95,182,107,131,109
Afu6g07550,499,385,402,576,607,488
Afu5g07890,1054,943,922,942,1287,1085
Afu1g03000,67,72,36,166,155,155
Afu3g06650,266,199,196,262,415,202
Afu4g01570,24,15,10,15,13,14
Afu6g07620,971,654,626,670,877,434
Afu4g08010,1970,1944,1348,4967,3757,5601
Afu3g10520,1219,899,1035,1178,1184,865
Afu3g11240,126,115,83,209,434,176
Afu1g10012,772,709,745,825,1123,536
Afu6g14390,1,0,0,25,43,26
Afu6g13610,6,4,8,3611,4388,3561
Afu4g07050,192,260,261,367,142,376
Afu7g03900,1544,1311,2178,1055,1490,644
Afu4g02650,12,20,5,10,14,5
Afu3g02845,0,2,2,5,4,1
Afu8g06870,212,144,290,388,666,210
Afu1g01620,7,5,11,16,6,4
Afu3g02840,28,35,21,22,10,16
Afu4g01850,13179,22596,29160,4434,3456,8751
Afu6g09630,18,14,22,33,36,21
Afu2g00440,14,13,1,2,0,1
Afu2g13330,180,108,132,143,169,124
Afu4g09130,64,44,116,124,145,71
Afu5g13170,82,67,8,24,12,9
Afu3g13020,8,1,3,7,5,2
Afu2g02130,434,271,296,292,214,265
Afu8g05770,15,31,3,0,0,0
Afu6g03820,1249,1174,759,1731,2109,2265
Afu3g05890,600,446,695,816,1048,540
Afu2g09590,9,5,2,25,21,29
Afu4g04170,132,57,224,156,632,96
Afu4g11770,141,89,156,135,209,89
Afu1g03130,334,229,327,404,405,315
Afu1g01490,6,10,13,16,33,12
Afu4g14620,1417,1226,333,82,11,136
Afu5g06610,736,583,604,331,274,215
Afu8g02350,1,0,1,5,4,6
Afu1g16910,2,1,2,4,1,2
Afu5g08450,599,327,590,416,347,285
Afu3g13190,0,0,0,0,2,0
Afu1g09400,702,465,587,1385,967,862
Afu3g12982,10,2,6,34,75,20
Afu1g15180,1817,1523,3662,1474,1705,1050
Afu6g13190,583,1396,815,3266,3641,3877
Afu1g14930,6144,7430,2247,4880,3905,5857
Afu4g12370,198,159,209,214,140,164
Afu5g11210,743,604,521,385,415,319
Afu1g11550,846,600,633,341,397,236
Afu1g13760,209,163,228,144,119,99
Afu3g11880,0,1,0,2,1,0
Afu2g14180,159,111,100,312,271,229
Afu8g05590,286,229,199,142,169,128
Afu6g12650,506,398,446,499,577,430
Afu5g10950,3593,2941,1757,1768,1325,1539
Afu2g11110,773,693,630,716,999,565
Afu1tG(GCC)1,0,0,0,0,0,1
Afu8g01890,49,55,38,43,26,42
Afu5g10380,29,24,21,52,56,39
Afu1g06970,92,39,86,79,90,66
Afu2g00880,29,62,25,44,38,31
Afu5g14390,79,53,153,229,229,166
Afu2g12500,430,320,222,43,16,34
Afu4g08840,20,11,52,46,37,25
Afu6g06860,2642,2266,2446,3009,2017,2586
Afu2g04750,467,274,615,729,476,330
Afu5g03790,64,64,6,162,65,165
Afu4g10400,948,714,999,1042,614,743
Afu3g11650,437,396,298,566,302,682
Afu2g10120,1130,609,1001,430,381,362
Afu4g03210,0,0,0,8,27,7
Afu7g06410,45,99,12,9,8,2
Afu7g02590,222,167,127,159,84,158
Afu4g07685,74,28,37,32,53,40
Afu6g00620,43,53,42,117,218,100
Afu8g06410,234,115,287,140,300,116
Afu2g09830,1030,713,985,820,1099,730
Afu7g01190,13,11,24,28,32,13
Afu4g10840,242,170,197,114,135,84
Afu4g06190,170,111,269,113,89,72
Afu1g15560,139,298,165,172,96,98
Afu6g03450,366,520,143,60,77,101
Afu6g08030,198,159,142,186,81,214
Afu2g05410,473,352,501,881,1164,480
Afu5g03610,889,555,699,545,602,486
Afu5g07630,70,23,85,161,73,161
Afu4g14100,150,244,228,254,323,239
Afu1g11150,212,221,127,265,256,259
Afu6g04970,974,828,574,662,604,635
Afu6g02460,480,342,198,348,511,296
Afu5g08440,229,174,182,243,212,193
Afu1g15350,452,258,439,462,333,467
Afu5g11430,1440,1066,1186,553,715,472
Afu4g03060,74,54,106,125,136,110
Afu6g09970,251,166,239,81,108,53
Afu6g06780,1221,981,1225,956,1079,986
Afu5g04330,3809,2763,3207,1330,977,1230
Afu2g07770,325,329,212,210,193,126
Afu7g05752,851,353,814,1295,1184,773
Afu5g05630,2336,2598,1394,4325,4940,5895
Afu3g03400,10,5,1,4,1,1
Afu6g02530,618,381,376,409,306,350
Afu5g03770,734,133,1328,393,629,341
Afu2g07670,455,278,403,514,299,383
Afu3g07840,7,0,5,4,4,3
Afu2g04760,603,380,470,637,669,463
Afu8g04140,323,221,277,448,389,276
Afu4g09780,45,27,23,47,66,26
Afu3g07170,116,60,72,124,156,111
Afu4g06350,240,258,167,885,902,984
Afu8g02720,937,765,614,602,412,527
Afu3g02253,430,332,250,220,149,295
Afu6g06820,75,49,53,121,166,117
Afu1g09540,220,177,177,214,200,228
Afu8g01860,891,82,166,40,20,20
Afu7g05510,700,474,516,770,1002,648
Afu6g08155,1116,657,1465,800,660,760
Afu1g10430,1190,791,667,751,590,716
Afu2g14525,72,157,21,4,3,2
Afu5g00800,21,6,25,15,9,5
Afu2g06120,804,804,408,1230,407,1106
Afu1g16220,250,239,311,351,348,239
Afu5g08740,394,271,313,535,363,358
Afu3g13040,126,68,93,151,141,155
Afu2g10510,611,406,421,445,479,440
Afu4g09250,1499,1889,240,86,31,95
Afu4g12110,150,183,92,341,365,341
Afu1g04810,149,104,101,92,86,64
Afu8g01120,34,31,19,38,30,25
Afu5g06320,3506,2394,2586,2141,2067,2175
Afu3g05670,398,287,449,263,401,283
Afu6g03500,153,136,162,154,175,122
Afu1g03640,67,72,37,161,190,192
Afu3g03637,3,0,0,0,0,0
Afu1g13870,96,53,70,141,146,121
Afu1g01140,36,33,31,25,29,26
Afu3g03150,0,1,0,0,0,0
Afu5g11160,15,8,42,47,136,49
Afu8g01030,52,68,82,44,49,32
Afu3g11820,86,66,63,73,74,62
Afu5g09250,495,367,366,530,843,465
Afu4g01340,3,2,10,11,10,3
Afu2g11620,0,0,0,3,0,1
Afu3g00940,430,304,198,374,203,472
Afu6g14060,508,585,562,1054,717,884
Afu3g10240,2344,1561,1977,1782,2167,896
Afu3g06100,198,139,147,351,186,239
Afu1tQ(CUG)4,0,0,0,0,1,0
Afu5g09220,1348,796,1315,1024,1137,587
Afu1g16564,129,148,55,140,92,199
Afu8g04480,337,164,303,1217,859,1346
Afu5g02600,53,28,32,97,76,108
Afu6g01905,33,17,37,55,42,75
Afu2g12130,244,138,163,105,158,141
Afu3tK(CUU)3,0,0,0,1,0,0
Afu2g16420,893,699,806,691,945,404
Afu5g09380,63,60,59,71,87,58
Afu4g06770,1192,1197,1172,1486,1758,1367
Afu4g12630,127,127,175,258,214,166
Afu6g12120,2,0,1,432,1190,349
Afu1g07400,1066,954,267,341,309,358
Afu5g12040,627,628,435,1191,881,497
