,Af_0min+O2-A1,Af_15min-O2-A2,Af_30min-O2-A3,Af_15min+O2-A4,Af_0min+O2-B1,Af_15min-O2-B2,Af_30min-O2-B3,Af_15min+O2-B4,Af_0min+O2-C1,Af_15min-O2-C2,Af_30min-O2-C3,Af_15min+O2-C4
CADAFUBG00002870,1096,242,757,1022,2200,657,880,3528,906,390,896,561
CADAFUBG00002871,3050,1917,4221,2002,6572,2375,4007,7320,3733,3418,5289,1298
CADAFUBG00002872,49,39,42,20,100,93,69,111,62,80,85,33
CADAFUBG00002873,827,919,1891,307,1346,1479,1607,1178,662,977,1249,291
CADAFUBG00002874,290,333,384,372,550,750,383,1055,268,239,288,219
CADAFUBG00002875,190,290,487,133,375,1026,374,346,103,292,260,42
CADAFUBG00002876,7,8,4,6,12,7,4,22,6,3,3,2
CADAFUBG00002877,29,32,71,23,44,53,40,58,27,13,25,32
CADAFUBG00002878,350,224,570,149,535,845,615,541,291,295,475,135
CADAFUBG00002879,283,51,214,181,526,320,234,991,222,115,233,141
CADAFUBG00002880,833,308,790,730,1539,699,781,2844,806,520,803,641
CADAFUBG00002881,3760,2950,6201,2104,6727,5467,6041,7052,3756,3739,5764,1997
CADAFUBG00002882,4823,5596,7385,2390,9038,12542,7299,10640,4061,8300,6651,1814
CADAFUBG00002883,697,334,768,666,1711,524,926,2884,471,374,771,437
CADAFUBG00002884,0,0,1,1,1,5,2,7,0,2,0,0
CADAFUBG00002885,344,215,867,172,758,659,820,708,309,259,616,246
CADAFUBG00002886,11,6,11,11,11,22,13,12,9,6,11,8
CADAFUBG00002887,2348,951,2295,2398,4787,2591,2515,10379,1983,1466,2520,1338
CADAFUBG00002888,1129,6861,23218,1187,2129,44502,21123,3304,1525,13425,17212,1207
CADAFUBG00002889,529,192,391,258,962,445,391,1616,339,158,347,208
CADAFUBG00002890,1280,1473,2603,601,2079,3558,2355,1904,1102,1886,2024,638
CADAFUBG00002891,825,417,1385,358,1293,2032,1327,1629,480,613,1025,276
CADAFUBG00002892,403,300,509,256,643,811,568,824,284,292,379,217
CADAFUBG00002893,469,410,697,240,759,846,740,749,597,418,642,284
CADAFUBG00002894,94,69,163,56,168,210,173,296,98,56,121,70
CADAFUBG00002895,254,302,554,139,544,455,506,607,303,396,464,180
CADAFUBG00002896,1312,623,1174,950,2426,1219,1301,3290,1244,892,1397,694
CADAFUBG00002897,782,394,708,405,1618,490,1020,1609,707,396,906,272
CADAFUBG00002898,10,10,13,6,21,16,19,28,4,12,29,10
CADAFUBG00002899,1377,2570,2487,845,2211,4360,2310,2672,1450,2727,2043,933
CADAFUBG00002900,430,122,291,305,799,370,295,1309,385,254,403,237
CADAFUBG00002901,55,51,87,91,178,117,105,527,122,69,97,109
CADAFUBG00002902,5339,3958,7556,3216,10612,5107,7941,10901,4617,4718,8144,1907
CADAFUBG00002903,4826,2896,5885,2858,8960,4017,6208,9918,4075,4018,7365,1737
CADAFUBG00002904,1056,1357,1677,542,1689,2528,1613,2528,739,997,1381,421
CADAFUBG00002905,1896,3251,5025,840,2307,5771,3390,2535,652,1645,1650,402
CADAFUBG00002906,1124,2365,2899,440,1874,10303,2461,1297,1067,3712,2071,396
CADAFUBG00002907,542,199,422,434,1105,609,486,1772,419,338,499,248
CADAFUBG00002908,1545,1233,2747,897,2837,1537,2197,3694,1241,1393,2009,766
CADAFUBG00002909,611,623,1122,711,1594,1405,1494,3537,412,545,635,323
CADAFUBG00002910,1376,740,1766,971,2424,2019,1853,3543,1168,1023,1608,770
CADAFUBG00002911,594,323,776,364,1135,502,773,1326,518,452,876,300
CADAFUBG00002912,39587,20187,29677,34911,72552,28475,32681,123385,36244,27143,35310,26050
CADAFUBG00002913,1261,505,1309,965,2484,1533,1409,4108,1051,694,1313,607
CADAFUBG00002914,67,19,73,55,152,96,96,227,74,50,125,71
CADAFUBG00002915,163,121,231,115,337,259,250,447,147,173,219,96
CADAFUBG00002916,1813,121,891,1869,4130,439,1064,6662,1538,401,1859,900
CADAFUBG00002917,2414,994,2252,1334,4047,2636,3044,4264,2028,1265,2921,1757
CADAFUBG00002918,951,481,2280,733,1744,1359,2243,2902,771,586,1989,646
CADAFUBG00002919,542,1101,1599,212,891,3794,1162,832,454,1833,1079,230
CADAFUBG00002920,104,259,278,59,163,904,206,206,106,380,213,71
CADAFUBG00002921,3,134,64,6,14,115,46,40,18,121,65,18
CADAFUBG00002922,126,72,259,54,239,136,279,270,103,78,262,92
CADAFUBG00002923,6094,5181,11897,2492,10106,16282,11805,9427,5399,7447,10358,2686
CADAFUBG00002924,405,114,285,371,690,210,365,1494,401,207,437,313
CADAFUBG00002925,115,32,134,112,265,155,144,411,116,56,150,111
CADAFUBG00002926,103,31,119,132,200,171,133,562,82,81,123,83
CADAFUBG00002927,3810,900,2694,3370,6678,2487,2875,13620,2780,1174,2818,2644
CADAFUBG00002928,348,279,830,116,546,890,758,488,240,332,634,101
