,Af_0min+O2-A1,Af_15min-O2-A2,Af_30min-O2-A3,Af_15min+O2-A4,Af_0min+O2-B1,Af_15min-O2-B2,Af_30min-O2-B3,Af_15min+O2-B4,Af_0min+O2-C1,Af_15min-O2-C2,Af_30min-O2-C3,Af_15min+O2-C4
CADAFUBG00000001,10,1,0,4,10,2,1,20,6,6,2,2
CADAFUBG00000002,18,9,22,110,54,26,33,228,29,12,43,82
CADAFUBG00000003,5,3,6,14,7,3,3,45,5,2,2,15
CADAFUBG00000004,187,62,146,246,433,149,175,697,177,104,171,220
CADAFUBG00000005,0,0,0,0,0,0,0,2,0,0,0,3
CADAFUBG00000006,0,0,0,2,0,1,0,0,0,0,1,1
CADAFUBG00000007,1,0,0,0,0,0,1,1,0,0,0,0
CADAFUBG00000008,13,2,1,7,7,10,6,18,5,4,2,6
CADAFUBG00000009,4,0,1,6,10,1,0,25,3,2,1,4
CADAFUBG00000010,11,1,3,4,25,12,6,21,4,6,12,5
CADAFUBG00000011,797,281,963,851,1690,762,899,2956,683,509,1050,653
CADAFUBG00000012,10,7,15,19,16,20,27,52,13,14,12,13
CADAFUBG00000013,2,0,3,1,5,6,2,11,2,0,3,4
CADAFUBG00000014,2,1,6,3,2,8,6,11,1,3,3,2
CADAFUBG00000015,8,3,7,15,7,10,7,35,4,4,4,8
CADAFUBG00000016,0,0,1,2,2,1,0,3,1,0,2,1
CADAFUBG00000017,0,0,0,1,0,0,0,1,0,0,0,0
CADAFUBG00000018,0,0,0,1,1,0,0,2,1,0,1,1
CADAFUBG00000019,0,0,0,1,4,0,0,14,1,0,0,6
CADAFUBG00000020,1,0,0,0,2,0,0,3,1,1,0,0
CADAFUBG00000021,1,2,1,1,0,1,2,5,0,1,1,0
CADAFUBG00000022,0,0,0,0,0,1,1,2,0,0,0,0
CADAFUBG00000023,1,0,0,1,0,0,0,0,0,0,0,0
CADAFUBG00000024,280,243,352,181,615,593,368,628,205,274,342,124
CADAFUBG00000025,9,20,20,12,27,45,31,28,12,16,18,11
CADAFUBG00000026,230,27,86,75,636,67,85,331,146,30,31,43
CADAFUBG00000027,4,1,3,3,11,1,2,20,1,0,2,2
CADAFUBG00000028,66,48,35,20,223,142,59,186,56,65,77,50
CADAFUBG00000029,58,7,11,20,73,20,21,110,43,15,23,28
CADAFUBG00000030,2652,1134,693,676,7656,4778,1534,4778,4813,2804,1725,1500
CADAFUBG00000031,1002,373,1189,372,1473,609,1324,1355,799,376,1122,420
CADAFUBG00000032,14,7,10,16,42,18,30,50,12,14,16,13
CADAFUBG00000033,5,8,13,0,6,12,26,16,6,8,13,4
CADAFUBG00000034,37,43,70,53,73,70,66,212,46,41,78,37
CADAFUBG00000035,46,45,133,67,93,107,115,187,52,72,127,37
CADAFUBG00000036,9,6,12,13,39,15,23,80,29,8,25,25
CADAFUBG00000037,0,0,5,7,10,2,4,27,1,0,3,6
CADAFUBG00000038,13,79,116,12,35,137,117,26,22,86,64,13
CADAFUBG00000039,247,1392,1223,80,548,2478,1694,308,176,947,916,89
CADAFUBG00000040,229,287,415,113,460,489,456,448,228,309,366,139
CADAFUBG00000041,5136,2987,3614,1284,10470,10332,3832,6801,5821,6414,4757,2094
CADAFUBG00000042,1274,958,1473,493,2357,1275,1616,2461,1259,875,1327,719
CADAFUBG00000043,723,402,1125,573,1567,619,1106,1841,836,522,983,403
CADAFUBG00000044,922,490,1341,571,1473,1368,1373,2462,725,647,1037,488
CADAFUBG00000045,536,680,850,561,993,1359,906,1987,623,947,908,615
CADAFUBG00000046,319,161,285,218,467,142,297,874,276,217,340,163
CADAFUBG00000047,81,955,436,32,108,713,371,82,144,686,378,22
CADAFUBG00000048,10,115,64,7,22,217,65,17,13,133,60,6
CADAFUBG00000049,813,28,376,1022,2035,178,418,3714,675,109,644,427
CADAFUBG00000050,1233,563,1359,803,2068,1130,1428,2710,992,880,1594,589
CADAFUBG00000051,1503,971,2214,686,2438,1997,2086,2205,1224,873,1546,714
CADAFUBG00000052,560,375,615,417,1071,1043,608,1603,501,493,596,297
CADAFUBG00000053,2315,1236,2907,1459,3748,2513,2787,6396,1694,1536,2842,1114
CADAFUBG00000054,734,730,1839,432,1258,2365,1704,1533,717,970,1564,471
CADAFUBG00000055,363,765,3160,177,785,1165,2534,867,471,541,1898,423
CADAFUBG00000056,219,120,253,180,352,207,273,569,188,210,275,109
CADAFUBG00000057,813,292,778,578,1290,706,873,1762,657,367,783,436
CADAFUBG00000058,1301,699,1367,1094,2352,1020,1372,3113,1248,827,1485,793
CADAFUBG00000059,74,58,83,71,141,115,108,252,70,101,113,45
CADAFUBG00000060,109,120,139,107,207,172,187,324,111,158,183,76
CADAFUBG00000061,141,70,73,459,246,127,69,1422,77,35,44,254
CADAFUBG00000062,848,426,2019,472,1610,947,1943,1788,744,436,1580,581
CADAFUBG00000063,3605,3000,9209,4270,5893,5301,9528,15574,3254,3026,6606,4070
CADAFUBG00000064,72,35,60,33,126,83,87,85,60,37,75,44
CADAFUBG00000065,1132,369,1135,378,1907,831,1226,1502,965,401,1180,609
CADAFUBG00000066,3007,3580,4773,4355,7230,11705,6521,23797,4564,5086,7181,4934
CADAFUBG00000067,20,24,25,36,27,36,20,108,28,27,28,19
CADAFUBG00000068,1,0,1,0,1,1,0,2,0,0,0,0
CADAFUBG00000069,472,337,534,974,1158,1233,588,4026,567,515,613,1076
CADAFUBG00000070,121,88,140,133,275,171,152,545,132,128,166,137
CADAFUBG00000071,2,5,32,7,14,12,21,55,11,7,25,20
CADAFUBG00000072,3,3,5,5,3,5,3,24,2,1,3,7
CADAFUBG00000073,26,5,22,37,65,18,21,127,27,12,27,32
CADAFUBG00000074,0,2,0,0,0,0,0,3,0,0,1,0
CADAFUBG00000075,7,2,9,1,108,66,7,34,251,166,49,35
CADAFUBG00000076,6,3,4,1,123,72,21,47,232,152,98,29
CADAFUBG00000077,33,30,22,11,905,689,233,500,1232,890,445,305
CADAFUBG00000078,10,9,8,8,391,308,128,174,465,408,294,86
CADAFUBG00000079,17,6,8,2,377,295,83,258,380,308,193,132
CADAFUBG00000080,81,39,24,2,1351,1013,329,543,1488,1290,748,365
CADAFUBG00000081,30,5,7,9,526,319,66,177,903,707,323,115
CADAFUBG00000082,31,18,22,14,320,128,64,163,462,436,154,67
CADAFUBG00000083,314,148,127,54,5297,3683,1559,2799,5688,5024,3891,957
CADAFUBG00000084,215,105,285,168,357,307,273,595,160,140,271,145
CADAFUBG00000085,283,260,549,262,626,782,514,897,273,333,460,162
CADAFUBG00000086,146,86,147,101,169,218,162,318,104,121,132,75
CADAFUBG00000087,21,26,61,6,58,189,91,59,32,68,131,18
CADAFUBG00000088,1648,754,1635,978,2944,1570,1428,4096,1175,1094,1517,542
CADAFUBG00000089,28,26,76,37,100,85,95,139,40,41,71,54
CADAFUBG00000090,105,61,137,87,302,167,195,369,112,72,145,105
CADAFUBG00000091,14,6,19,653,124,146,58,1976,12,10,11,206
CADAFUBG00000092,48,76,182,119,37,122,139,281,12,30,57,22
CADAFUBG00000093,510,852,2324,1000,655,1001,1859,2266,127,264,674,187
CADAFUBG00000094,856,1725,3591,706,843,2215,2918,2013,139,496,957,120
CADAFUBG00000095,29,80,107,31,39,73,83,82,11,32,42,13
CADAFUBG00000096,201,68,182,158,380,155,229,567,136,114,244,97
CADAFUBG00000097,51,19,41,21,81,13,54,96,40,26,62,21
CADAFUBG00000098,202,90,175,163,769,291,357,911,391,167,309,212
CADAFUBG00000099,125,80,144,66,235,114,107,283,107,52,87,68
CADAFUBG00000100,30,25,53,21,60,48,56,60,26,23,29,16
CADAFUBG00000101,4,0,0,1,0,0,0,0,1,1,0,0
CADAFUBG00000102,0,1,0,1,3,1,2,4,3,0,2,1
CADAFUBG00000103,14,3,12,7,33,17,8,30,11,6,11,12
CADAFUBG00000104,65,17,59,55,114,56,63,207,72,38,88,70
CADAFUBG00000105,1951,456,1501,2173,3714,1144,1679,7590,1700,1027,2059,1195
CADAFUBG00000106,132,86,146,167,195,216,181,528,132,97,150,146
CADAFUBG00000107,2653,1583,3725,1770,4618,2808,3690,5527,1859,1539,3182,799
CADAFUBG00000108,2015,919,2121,1266,3443,1587,2172,4826,1522,1308,2040,764
CADAFUBG00000109,0,0,0,0,0,0,0,0,0,0,0,0
CADAFUBG00000110,1007,248,836,894,1952,748,933,3101,915,534,1157,521
CADAFUBG00000111,1032,445,1140,807,2011,750,1039,2415,672,673,1013,409
CADAFUBG00000112,36,21,34,14,196,150,38,31,192,225,119,25
CADAFUBG00000113,10,3,7,16,15,3,6,26,4,2,2,8
CADAFUBG00000114,1015,105,688,695,1928,362,668,3061,712,223,760,481
CADAFUBG00000115,745,187,367,355,1601,640,587,1692,939,324,828,802
CADAFUBG00000116,99,28,95,111,153,89,86,345,85,49,103,89
CADAFUBG00000117,193,126,270,161,398,286,226,696,257,156,295,141
CADAFUBG00000118,3080,2488,1575,2774,4877,2877,1734,7111,3991,2969,2342,2920
CADAFUBG00000119,31916,17357,15581,23521,55018,43747,18915,70822,29033,20673,20108,17129
CADAFUBG00000120,3398,6066,12356,1272,6623,16784,10869,5893,3747,8489,9763,1920
CADAFUBG00000121,828,468,864,446,1559,2215,732,1814,485,685,672,277
CADAFUBG00000122,320,399,461,136,966,845,546,699,4803,3300,4463,1062
CADAFUBG00000123,1173,944,985,504,1755,1051,1056,1742,1137,1071,1123,433
CADAFUBG00000124,0,0,0,0,1,0,1,0,0,0,0,0
CADAFUBG00000125,1615,861,1654,579,3198,2365,2092,3521,909,906,1592,321
CADAFUBG00000126,924,1521,5683,1782,1503,2511,4416,6229,1545,1602,4048,1941
CADAFUBG00000127,13,34,77,13,15,76,45,34,11,19,25,7
CADAFUBG00000128,50,64,111,38,94,100,100,118,49,56,94,45
CADAFUBG00000129,804,373,1650,410,1264,711,1373,2065,533,452,1034,434
CADAFUBG00000130,430,222,1315,182,785,642,1248,926,322,201,795,293
CADAFUBG00000131,688,167,381,379,1559,623,932,1189,1515,843,2415,432
CADAFUBG00000132,1717,918,1745,1216,2941,1582,1958,3579,1482,1092,1800,776
CADAFUBG00000133,2090,1288,3141,710,3299,2220,3500,3560,1364,1166,2337,713
CADAFUBG00000134,5909,1602,4737,5923,10685,3307,5343,18905,4932,2681,6204,3228
CADAFUBG00000135,346,141,424,213,661,549,440,702,279,177,397,211
CADAFUBG00000136,31,34,231,28,43,96,148,93,23,21,87,16
CADAFUBG00000137,476,3494,3069,162,1020,6862,2895,744,506,2887,2051,187
CADAFUBG00000138,1,0,0,0,1,2,1,2,1,1,0,0
CADAFUBG00000139,0,0,0,1,1,0,0,0,1,0,0,0
CADAFUBG00000140,2288,236,1002,2993,4628,588,1410,10522,2038,708,2383,1279
CADAFUBG00000141,670,307,964,403,1150,616,980,1596,540,390,915,311
CADAFUBG00000142,744,310,1273,772,1900,774,1869,2809,478,234,973,379
CADAFUBG00000143,572,701,1554,458,1144,1945,1813,1358,511,583,1170,313
CADAFUBG00000144,438,2792,6995,437,802,5640,5895,1719,780,2758,5238,423
CADAFUBG00000145,18,12,17,12,34,21,21,47,15,10,29,18
CADAFUBG00000146,2173,1635,3724,937,3656,3275,3415,2949,1976,1658,2871,1115
CADAFUBG00000147,15432,10635,12108,12888,28079,20100,13644,33253,16190,12032,14134,11259
CADAFUBG00000148,808,276,744,645,1761,530,781,2357,784,505,1057,435
CADAFUBG00000149,696,457,1557,348,1327,1219,1419,1245,724,581,1277,485
CADAFUBG00000150,59,34,74,60,260,168,80,155,191,164,134,50
CADAFUBG00000151,1005,196,781,732,1904,322,930,2995,690,363,945,373
CADAFUBG00000152,19879,9587,8462,14701,34547,25154,10653,44404,19157,12047,11347,10966
CADAFUBG00000153,1034,408,1231,580,1659,949,1359,1923,911,479,1181,616
CADAFUBG00000154,651,276,746,539,1316,786,811,2273,521,350,721,353
CADAFUBG00000155,1588,599,2473,1179,3249,1738,2402,4334,1451,901,2519,858
CADAFUBG00000156,1201,2011,2353,447,2034,3177,2086,1836,918,2402,1903,490
CADAFUBG00000157,1384,912,800,693,3177,1721,831,2930,873,1215,650,342
CADAFUBG00000158,814,237,656,532,1596,482,810,2146,627,204,621,444
CADAFUBG00000159,526,203,629,421,1000,694,662,1502,405,261,526,236
CADAFUBG00000160,339,165,583,293,631,531,468,1155,284,254,412,228
CADAFUBG00000161,461,353,1066,329,789,595,890,1326,446,301,812,373
CADAFUBG00000162,827,1423,2649,225,1506,6474,2451,948,589,1959,1855,234
CADAFUBG00000163,563,367,737,429,1052,764,708,1401,526,443,643,339
CADAFUBG00000164,1588,692,1552,1106,2852,1150,1600,5137,1341,1220,1855,742
CADAFUBG00000165,458,227,505,256,689,513,543,725,375,253,413,219
CADAFUBG00000166,488,243,598,300,786,1016,579,723,308,296,524,154
CADAFUBG00000167,111,43,77,126,230,90,112,331,115,82,165,89
CADAFUBG00000168,20,11,37,21,40,39,23,81,23,23,21,19
CADAFUBG00000169,832,243,685,658,1486,699,711,2449,648,381,824,427
CADAFUBG00000170,1711,414,1551,1295,3403,867,1596,5315,1692,826,2155,1290
CADAFUBG00000171,193,73,463,111,360,177,454,597,144,117,360,129
CADAFUBG00000172,1417,621,2019,1091,2614,885,1840,3602,1298,752,1676,762
CADAFUBG00000173,323,155,446,187,508,292,415,639,204,168,322,158
CADAFUBG00000174,347,404,670,243,625,1049,561,636,373,476,436,216
CADAFUBG00000175,24690,9605,9735,20952,42399,21608,12783,72405,21573,13664,15545,14452
CADAFUBG00000176,1598,645,2014,1256,2720,1644,2062,4641,1177,778,1752,724
CADAFUBG00000177,749,398,983,473,1273,879,881,1676,612,460,863,364
CADAFUBG00000178,1945,774,2265,1428,3554,2289,2610,4888,1547,933,2120,749
CADAFUBG00000179,2184,1122,5330,791,3702,3003,4769,3140,1408,1396,3562,840
CADAFUBG00000180,184,92,223,166,448,287,230,435,193,152,232,181
CADAFUBG00000181,24179,34831,25972,31715,55746,43265,34724,97484,28636,47420,48571,24317
CADAFUBG00000182,716,480,687,955,1614,984,808,2451,801,722,905,709
CADAFUBG00000183,1037,396,1364,571,1734,1595,1383,2029,592,549,1063,508
CADAFUBG00000184,584,294,556,412,932,633,519,1277,410,403,559,261
CADAFUBG00000185,530,569,1256,291,984,844,1128,1230,705,848,1265,344
CADAFUBG00000186,308,52,190,174,517,177,192,593,155,61,155,94
CADAFUBG00000187,1869,773,2237,881,3076,1494,2639,2976,1793,1118,2667,1009
CADAFUBG00000188,1666,867,2508,1098,2836,2129,2442,3554,1312,1115,2200,674
CADAFUBG00000189,1101,328,827,958,1873,665,952,3211,825,473,963,514
CADAFUBG00000190,3558,1974,4015,1813,6119,3098,4091,6848,2695,2570,3690,1323
CADAFUBG00000191,859,451,826,3408,3240,2532,1319,10013,501,269,405,1020
CADAFUBG00000192,95,156,172,182,223,489,138,448,78,227,131,68
CADAFUBG00000193,248,129,207,193,470,311,218,584,220,189,215,159
CADAFUBG00000194,1402,654,1510,917,2436,1406,1712,3473,1065,909,1674,628
CADAFUBG00000195,299,67,193,382,531,192,244,1451,235,103,230,352
CADAFUBG00000196,339,125,372,314,662,257,407,1701,292,161,325,331
CADAFUBG00000197,77,68,149,65,137,170,152,302,85,90,143,74
CADAFUBG00000198,18,7,22,16,26,35,25,54,15,11,18,17
CADAFUBG00000199,250,92,392,233,521,270,395,1057,233,194,397,211
CADAFUBG00000200,322,860,2420,438,1144,2585,3443,2721,873,1809,4107,1158
CADAFUBG00000201,233,212,512,196,413,489,755,878,339,244,766,362
CADAFUBG00000202,59,26,59,77,69,42,54,243,33,21,25,43
CADAFUBG00000203,65,25,114,60,92,105,118,300,61,49,76,89
CADAFUBG00000204,722,331,893,649,1243,863,909,2877,811,511,948,736
CADAFUBG00000205,250,97,229,144,403,229,244,597,164,101,215,116
CADAFUBG00000206,85,234,276,53,157,647,220,270,81,295,179,42
CADAFUBG00000207,44,157,145,26,84,467,99,107,27,195,80,27
CADAFUBG00000208,846,1156,1883,312,1641,4639,1861,1550,798,1588,1440,410
CADAFUBG00000209,409,624,1290,261,759,3560,1205,1335,322,1180,957,203
CADAFUBG00000210,80,83,114,57,171,316,121,219,55,131,100,39
CADAFUBG00000211,3,0,3,1,2,4,1,2,1,1,1,1
CADAFUBG00000212,2198,840,2579,2357,4246,1749,2483,9080,1842,972,2337,1784
CADAFUBG00000213,169,93,186,211,313,184,174,543,168,110,178,131
CADAFUBG00000214,4540,1944,2819,4135,7713,3945,3556,13056,4632,2638,4218,3094
CADAFUBG00000215,648,297,757,483,1168,534,767,1638,605,361,745,382
CADAFUBG00000216,1335,597,1461,1068,2276,1675,1520,4178,952,858,1145,705
CADAFUBG00000217,173,192,368,125,241,702,446,423,169,297,364,134
CADAFUBG00000218,196,234,491,148,360,290,554,486,216,267,460,118
CADAFUBG00000219,725,446,1277,608,1329,1327,1306,1959,818,538,1155,550
CADAFUBG00000220,61,25,32,130,274,35,44,760,128,28,62,248
CADAFUBG00000221,19,3,9,29,66,7,6,173,29,6,16,63
CADAFUBG00000222,1,0,0,1,0,1,1,0,1,0,3,1
CADAFUBG00000223,236,41,136,305,508,198,190,1044,245,96,242,237
CADAFUBG00000224,372,123,388,257,762,331,394,966,322,228,401,215
CADAFUBG00000225,269,286,419,167,461,854,447,577,200,324,352,163
CADAFUBG00000226,1623,669,1569,1041,2776,1581,1723,3459,1241,813,1554,726
CADAFUBG00000227,7,2,4,9,24,10,7,101,9,5,8,34
CADAFUBG00000228,14,7,12,14,14,13,14,53,11,6,8,13
CADAFUBG00000229,627,192,497,401,1040,455,636,1386,362,226,534,271
CADAFUBG00000230,15,16,19,59,37,51,16,126,20,22,13,17
CADAFUBG00000231,28,9,29,21,61,28,44,90,17,19,39,28
CADAFUBG00000232,328,137,254,527,593,379,277,1662,364,255,239,573
CADAFUBG00000233,425,77,426,319,809,275,414,1239,258,98,435,196
CADAFUBG00000234,1876,907,2576,1028,3547,1819,2574,3270,1746,1652,2520,892
CADAFUBG00000235,705,439,1211,288,1120,869,1061,1049,472,394,860,280
CADAFUBG00000236,40,25,48,22,64,86,60,51,29,41,31,11
CADAFUBG00000237,895,61,439,1164,2365,142,501,3822,801,177,780,495
CADAFUBG00000238,51,8,24,35,102,31,45,129,57,23,59,48
CADAFUBG00000239,2103,1001,1977,1546,3884,1941,2120,5449,1774,1372,2041,1031
CADAFUBG00000240,544,269,850,250,938,640,891,1056,411,323,643,236
CADAFUBG00000241,7916,1859,3989,6971,14415,4621,4681,27015,5974,3163,5792,4007
CADAFUBG00000242,63,57,106,50,79,116,87,129,36,54,63,24
CADAFUBG00000243,769,532,1143,572,1267,1260,1168,1842,666,752,1044,421
CADAFUBG00000244,40,18,29,39,77,56,51,107,23,32,64,28
CADAFUBG00000245,9246,7663,12003,8069,17664,17942,12823,27058,7636,8094,10893,4452
CADAFUBG00000246,1061,1086,1992,538,1617,2030,1837,1882,812,923,1417,508
CADAFUBG00000247,426,402,1062,213,650,1020,1109,826,397,540,1117,299
CADAFUBG00000248,32,95,133,39,70,287,109,134,66,147,107,37
CADAFUBG00000249,4780,4487,4301,3464,8707,15169,4063,11380,3836,7792,4864,2034
CADAFUBG00000250,126,468,738,75,224,639,835,275,120,159,471,81
CADAFUBG00000251,916,827,2439,368,1649,1257,2009,1314,625,979,1677,253
CADAFUBG00000252,572,1061,1373,155,1069,1023,1319,754,515,873,1306,267
CADAFUBG00000253,2361,711,1521,1586,4251,1622,1803,5084,1708,1059,2007,936
CADAFUBG00000254,587,49,370,403,1313,167,368,1444,384,120,525,234
CADAFUBG00000255,344,138,1088,259,654,332,1123,1025,299,180,672,251
CADAFUBG00000256,296,80,237,284,435,175,270,991,205,126,290,204
CADAFUBG00000257,3154,1838,3071,2168,5225,3655,3187,6131,2652,1806,2792,1709
CADAFUBG00000258,661,616,1013,405,1081,2138,719,1311,521,872,628,282
CADAFUBG00000259,1667,168,566,2275,3623,694,759,7644,1405,409,1232,1184
CADAFUBG00000260,68,41,107,58,120,175,106,168,56,77,91,51
CADAFUBG00000261,2,0,4,4,3,6,4,9,1,1,4,3
CADAFUBG00000262,0,0,2,2,0,1,0,5,2,1,0,0
CADAFUBG00000263,0,0,0,0,0,0,0,1,0,0,0,0
CADAFUBG00000264,0,0,0,0,0,0,0,0,0,0,0,1
CADAFUBG00000265,1,1,0,0,1,1,1,2,0,0,0,1
CADAFUBG00000266,656,375,894,707,1053,841,807,2390,411,331,593,463
CADAFUBG00000267,171,98,277,137,283,167,262,417,123,129,220,86
CADAFUBG00000268,3465,2513,3469,4523,7533,7534,3373,14882,11288,8502,9848,9403
CADAFUBG00000269,4,0,4,4,6,7,3,18,5,2,4,5
CADAFUBG00000270,1,1,0,1,14,7,3,5,42,22,18,5
CADAFUBG00000271,14,14,23,12,86,57,32,61,87,54,62,27
CADAFUBG00000272,177,512,800,265,318,940,824,1154,177,373,587,228
CADAFUBG00000273,628,1279,1684,402,1431,2127,1961,1487,604,1030,1577,346
CADAFUBG00000274,217,72,261,252,412,166,333,913,211,106,325,277
CADAFUBG00000275,45,22,53,63,91,52,77,282,45,31,60,58
CADAFUBG00000276,94,19,67,40,161,73,81,174,59,20,86,49
CADAFUBG00000277,59,13,46,35,82,51,44,102,48,19,52,39
CADAFUBG00000278,790,442,675,692,1277,1108,671,1864,674,517,704,500
CADAFUBG00000279,495,166,439,331,987,517,499,1179,359,288,534,171
CADAFUBG00000280,2074,707,1801,1781,3514,1567,2015,5435,1796,949,2346,1033
CADAFUBG00000281,517,250,606,322,733,623,713,1137,396,295,578,262
CADAFUBG00000282,631,596,1362,320,1228,1531,1387,1298,570,791,1100,315
CADAFUBG00000283,84,30,108,92,144,80,93,316,49,36,97,51
CADAFUBG00000284,148,77,164,154,236,184,171,554,115,91,168,110
CADAFUBG00000285,1223,362,1176,885,2213,787,1099,3110,886,638,1163,554
CADAFUBG00000286,5,4,10,12,3,6,12,32,7,6,9,4
CADAFUBG00000287,415,216,478,353,651,462,475,1059,370,365,484,241
CADAFUBG00000288,480,237,563,377,855,603,637,1544,349,283,445,201
CADAFUBG00000289,1107,758,1971,728,1979,1523,1610,3234,1227,1637,1837,662
CADAFUBG00000290,0,4,2,4,0,5,1,0,2,3,4,1
CADAFUBG00000291,310,485,762,384,598,1592,534,1643,321,707,453,292
CADAFUBG00000292,2361,1364,4089,1232,4520,1553,3749,6017,1796,1701,3251,1147
CADAFUBG00000293,23511,11870,18710,16559,41977,26647,19850,55174,21580,15730,23169,11742
CADAFUBG00000294,274,100,326,138,509,401,338,586,247,145,274,94
CADAFUBG00000295,1250,5941,4106,194,2472,6432,3753,1150,1447,6466,3635,272
CADAFUBG00000296,891,1197,2083,298,1576,2349,2019,1263,704,977,1355,240
CADAFUBG00000297,1369,94,754,1383,3219,253,807,5112,1238,275,1163,845
CADAFUBG00000298,1038,407,1240,586,1909,1331,1179,2401,647,530,807,323
CADAFUBG00000299,946,59,445,1034,2361,269,493,2998,779,163,769,452
CADAFUBG00000300,517,138,711,266,990,750,942,1120,357,214,834,152
CADAFUBG00000301,2203,191,886,3117,4822,482,1109,9244,2328,457,1774,1911
CADAFUBG00000302,0,0,0,0,0,1,0,0,0,0,0,0
CADAFUBG00000303,0,0,0,0,0,1,0,1,0,0,0,0
CADAFUBG00000304,533,429,727,361,952,829,843,1069,555,487,668,331
CADAFUBG00000305,81,73,125,61,150,264,151,242,65,89,146,62
CADAFUBG00000306,5,1,4,4,5,3,6,19,4,1,3,3
CADAFUBG00000307,3286,1814,3915,1983,5413,3814,4062,6193,3196,2245,4242,2055
CADAFUBG00000308,451,52,306,382,967,121,340,1309,353,124,445,169
CADAFUBG00000309,143,41,154,66,243,208,149,288,92,94,147,86
CADAFUBG00000310,485,272,680,259,1009,685,820,985,448,409,792,211
CADAFUBG00000311,1184,377,769,905,2105,874,836,3019,734,302,640,525
CADAFUBG00000312,571,178,374,558,915,550,320,1617,314,161,270,215
CADAFUBG00000313,1,0,2,2,2,0,1,3,1,3,2,2
CADAFUBG00000314,0,0,1,0,0,0,0,0,1,0,0,2
CADAFUBG00000315,1677,993,1816,1228,2817,1205,1738,4685,1066,910,1570,715
CADAFUBG00000316,176,64,68,234,561,169,115,1164,88,72,118,210
CADAFUBG00000317,750,1461,3772,255,1087,4294,1530,992,414,1607,1064,174
CADAFUBG00000318,66,34,76,38,114,62,86,182,49,54,70,39
CADAFUBG00000319,356,141,383,178,497,561,354,666,202,152,305,107
CADAFUBG00000320,372,344,615,81,933,1206,745,580,396,506,700,189
CADAFUBG00000321,1072,874,1955,479,1798,1330,1820,2095,1034,1040,1620,469
CADAFUBG00000322,807,620,944,588,1585,1068,1041,2406,642,760,843,391
CADAFUBG00000323,186,162,294,128,382,463,341,427,233,183,289,127
CADAFUBG00000324,19,0,26,12,25,25,18,41,16,13,29,14
CADAFUBG00000325,565,173,1309,790,1274,321,1542,4474,411,195,775,646
CADAFUBG00000326,446,244,858,289,765,451,907,1268,390,247,588,451
CADAFUBG00000327,1615,337,1053,1021,3178,1774,1266,3690,1416,733,1339,669
CADAFUBG00000328,463,299,521,381,913,1387,577,1494,342,380,451,224
CADAFUBG00000329,3664,2367,4581,2254,7856,5802,4545,9446,2367,2246,3017,1504
CADAFUBG00000330,1075,395,1342,728,1789,601,1241,2789,749,488,1182,489
CADAFUBG00000331,620,431,989,511,1039,1158,1093,1640,482,361,754,321
CADAFUBG00000332,450,316,675,342,786,488,655,1099,359,261,534,218
CADAFUBG00000333,78,55,164,64,475,473,391,409,576,688,758,162
CADAFUBG00000334,3,5,11,7,15,17,29,20,13,55,53,14
CADAFUBG00000335,245,95,272,214,520,340,404,1645,345,138,397,409
CADAFUBG00000336,2642,2179,4249,636,4275,4976,4165,2471,2169,2150,3244,889
CADAFUBG00000337,675,348,751,339,995,956,777,1322,487,330,661,295
CADAFUBG00000338,1420,1773,3273,565,2337,1711,2741,1864,1103,1330,2025,553
CADAFUBG00000339,367,62,154,470,764,207,200,1939,353,124,305,284
CADAFUBG00000340,1037,485,1057,866,1917,640,1175,2914,934,558,1155,590
CADAFUBG00000341,990,482,1104,597,1637,1887,1186,1735,680,525,940,329
CADAFUBG00000342,687,2003,2034,223,1207,4960,1381,994,590,3172,1202,238
CADAFUBG00000343,359,162,434,245,673,409,426,845,334,154,304,223
CADAFUBG00000344,5151,3696,7652,4047,12068,12190,9044,14348,6585,5197,7851,3705
CADAFUBG00000345,497,342,586,410,891,686,603,1486,499,505,671,327
CADAFUBG00000346,3005,1644,3698,1605,4874,4964,3715,5926,2432,2169,3360,1344
CADAFUBG00000347,717,402,862,517,1085,1459,942,1976,636,557,724,536
CADAFUBG00000348,1204,408,1423,794,2373,1227,1475,3047,986,588,1334,532
CADAFUBG00000349,372,100,469,219,572,297,486,875,258,144,338,195
CADAFUBG00000350,95,556,640,54,170,774,726,288,171,744,860,112
CADAFUBG00000351,4584,3284,5618,3649,8050,8555,6178,12742,4162,3501,5386,2484
CADAFUBG00000352,16229,10642,7489,12926,27775,19200,9608,32048,18889,12672,10381,11696
CADAFUBG00000353,427,222,578,256,833,583,675,915,400,264,536,206
CADAFUBG00000354,650,366,974,390,1162,1163,977,1633,441,447,827,283
CADAFUBG00000355,82,47,216,87,142,129,215,240,77,40,179,77
CADAFUBG00000356,72,418,1720,101,107,644,1517,290,122,698,2486,119
CADAFUBG00000357,16,6,5,9,13,2,12,34,11,6,5,7
CADAFUBG00000358,13,13,57,10,22,21,29,63,10,21,24,11
CADAFUBG00000359,0,0,1,0,1,0,0,0,0,0,0,0
CADAFUBG00000360,83,26,779,122,99,190,533,400,26,37,357,48
CADAFUBG00000361,3,14,158,55,3,26,80,112,4,13,47,5
CADAFUBG00000362,0,0,6,6,0,4,5,11,1,1,5,1
