,RC1_WT_GMM1,RC2_WT_GMM2,RC3_creA_GMM1,RC4_creA_GMM2,RC5_WT_EMM1,RC6_WT_EMM2,RC7_creA_EMM1,RC8_creA_EMM2
CADAFUBG00000108,4695,5019,5053,1908,3885,3047,3136,3518
CADAFUBG00000109,0,0,0,0,0,0,0,0
CADAFUBG00000110,1270,1591,1744,699,1602,1009,1190,946
CADAFUBG00000111,1280,1321,1258,548,1770,1615,1581,1636
CADAFUBG00000112,3757,4462,1092,1248,839,540,35,40
CADAFUBG00000113,5,5,31,32,6,10,19,13
CADAFUBG00000114,1151,1253,1391,874,898,572,693,444
CADAFUBG00000115,1200,1261,341,551,1677,1712,2046,2149
CADAFUBG00000116,173,124,173,126,545,334,319,552
CADAFUBG00000117,326,353,253,257,2050,1836,1189,2201
CADAFUBG00000118,456,606,575,274,296,209,123,143
CADAFUBG00000119,68246,72175,87846,61544,28877,21477,11231,11597
CADAFUBG00000120,8342,7842,6733,4131,26201,21386,20007,23090
CADAFUBG00000121,1114,1082,1392,1117,1319,792,922,839
CADAFUBG00000122,6386,13946,1379,2050,48699,10841,455,478
CADAFUBG00000123,1082,1229,847,826,2503,1418,564,1099
CADAFUBG00000124,1,1,0,1,2,0,2,0
CADAFUBG00000125,3570,3883,5112,2468,3462,2700,1668,1993
CADAFUBG00000126,10349,5837,6467,6858,1934,992,307,269
CADAFUBG00000127,14,14,4,13,10,9,4,5
CADAFUBG00000128,43,25,29,30,57,42,38,24
CADAFUBG00000129,1261,1091,1201,833,1602,1248,1478,1802
CADAFUBG00000130,1205,1147,707,1052,1113,763,413,812
CADAFUBG00000131,6323,9581,1913,804,10267,5303,3079,2438
CADAFUBG00000132,1849,1862,1993,2124,2744,2130,2207,2350
CADAFUBG00000133,7681,7444,5918,4203,8110,9470,5670,9069
CADAFUBG00000134,4293,4913,5999,4085,4388,3063,2925,2115
CADAFUBG00000135,1269,1100,890,1176,1718,1068,629,755
CADAFUBG00000136,232,89,77,94,49,42,20,39
CADAFUBG00000137,758,453,296,140,455,423,427,670
CADAFUBG00000138,0,2,0,0,0,0,0,0
CADAFUBG00000139,0,0,1,0,0,0,0,0
CADAFUBG00000140,2108,2599,3501,1358,1578,835,1204,447
CADAFUBG00000141,1298,1376,1527,660,1112,1017,978,972
CADAFUBG00000142,364,270,163,86,421,326,267,224
