,RC1_WT_GMM1,RC2_WT_GMM2,RC3_creA_GMM1,RC4_creA_GMM2,RC5_WT_EMM1,RC6_WT_EMM2,RC7_creA_EMM1,RC8_creA_EMM2
CADAFUBG00001132,86,68,126,120,70,42,108,142
CADAFUBG00001133,103,102,407,550,198,156,228,228
CADAFUBG00001134,25,12,13,11,28,14,6,5
CADAFUBG00001135,294,330,336,178,423,286,184,263
CADAFUBG00001136,3794,3558,4157,2643,3216,2611,3209,2636
CADAFUBG00001137,2746,2941,3476,1464,2778,2606,2735,3244
CADAFUBG00001138,816,774,867,959,4852,5422,4278,6146
CADAFUBG00001139,990,1180,1508,705,1192,1094,1608,1428
CADAFUBG00001140,1315,1302,665,559,1393,1283,1965,2339
CADAFUBG00001141,210,141,227,302,300,299,262,225
CADAFUBG00001142,1169,1179,1450,1069,1539,1636,1605,2095
CADAFUBG00001143,1129,926,1226,630,2229,2865,4373,4865
CADAFUBG00001144,2981,3108,3620,2089,3172,3023,1849,2140
CADAFUBG00001145,1791,1850,1990,1008,1852,1740,2402,2257
CADAFUBG00001146,2504,2880,4909,2162,3513,4783,10022,10363
CADAFUBG00001147,4028,3511,3610,1552,4172,5198,5326,6602
CADAFUBG00001148,1136,1206,1098,1035,1261,1053,705,939
CADAFUBG00001149,611,597,1091,722,790,499,742,807
CADAFUBG00001150,3387,3658,4529,2303,4357,2980,2754,2167
CADAFUBG00001151,964,932,892,1649,1606,1116,773,702
CADAFUBG00001152,1790,1635,1220,943,2459,2340,1238,1366
CADAFUBG00001153,93,72,59,117,283,219,87,97
CADAFUBG00001154,477,428,398,477,678,503,299,423
CADAFUBG00001155,1094,884,1153,1604,994,564,959,791
CADAFUBG00001156,361,256,336,174,543,468,216,228
CADAFUBG00001157,289,250,255,246,1049,941,875,1042
CADAFUBG00001158,3286,2981,3248,5222,6738,5488,7199,8176
CADAFUBG00001159,4549,4029,4890,6930,18029,12173,19820,20571
CADAFUBG00001160,689,660,771,591,1095,1226,994,1151
CADAFUBG00001161,637,645,814,578,618,529,632,723
CADAFUBG00001162,15,16,15,17,14,13,7,15
CADAFUBG00001163,3240,2921,3589,4277,4082,3035,2856,3011
CADAFUBG00001164,479,506,600,364,348,329,317,275
CADAFUBG00001165,466,388,327,398,380,206,137,138
CADAFUBG00001166,621,493,625,567,686,540,438,431
CADAFUBG00001167,2465,2937,2637,1709,3716,2874,2777,2692
CADAFUBG00001168,1575,1473,1184,1596,1914,1306,1030,1260
CADAFUBG00001169,14479,12530,14914,13991,10405,6287,8573,6969
CADAFUBG00001170,3595,3117,3246,2294,3339,2630,2121,2805
CADAFUBG00001171,176,153,83,126,262,231,76,105
CADAFUBG00001172,658,478,412,531,3755,3368,2457,3508
CADAFUBG00001173,113,81,91,81,71,41,18,30
CADAFUBG00001174,294,234,236,388,544,557,260,259
CADAFUBG00001175,467,428,490,545,1035,936,610,540
CADAFUBG00001176,170,66,147,191,79,63,49,49
CADAFUBG00001177,11617,5930,7020,11037,11322,17658,6502,8494
CADAFUBG00001178,2795,3108,2961,1261,4412,4188,2922,3295
CADAFUBG00001179,688,609,577,1181,769,413,490,535
CADAFUBG00001180,2946,2938,3277,2856,2774,1629,1379,1216
CADAFUBG00001181,2633,2420,2940,2019,3264,3327,2485,3016
CADAFUBG00001182,528,491,482,387,656,511,408,696
CADAFUBG00001183,503,490,1152,979,1391,1032,8138,9631
CADAFUBG00001184,78,62,93,66,118,128,149,165
CADAFUBG00001185,1804,1860,1829,920,1788,2296,1793,2141
CADAFUBG00001186,1962,1828,2594,2098,121621,134578,146107,164007
CADAFUBG00001187,2502,2424,2434,1033,4770,3375,3144,3424
CADAFUBG00001188,9,4,6,5,11,13,7,13
CADAFUBG00001189,2133,2080,1674,1473,4053,3874,2706,3233
CADAFUBG00001190,1786,1728,1788,2180,1829,1211,989,967
CADAFUBG00001191,3975,4634,4264,1978,5260,3530,3438,3250
CADAFUBG00001192,220,219,183,127,562,510,604,706
CADAFUBG00001193,17,16,20,10,242,107,165,602
CADAFUBG00001194,0,0,2,0,1,1,0,0
CADAFUBG00001195,1,0,2,1,5,1,2,3
CADAFUBG00001196,214,222,200,103,286,302,145,165
CADAFUBG00001197,303,336,275,164,396,345,213,199
CADAFUBG00001198,200,216,176,152,381,330,123,147
CADAFUBG00001199,25,22,16,32,87,33,23,42
CADAFUBG00001200,554,577,633,594,779,499,440,537
CADAFUBG00001201,4923,5384,5095,2124,9091,7759,4343,4255
CADAFUBG00001202,39,46,19,6,39,21,15,14
CADAFUBG00001203,175,170,231,206,389,158,118,163
CADAFUBG00001204,1216,1060,1218,565,1308,1117,773,965
CADAFUBG00001205,6066,4981,7890,2832,7865,7004,7709,8550
CADAFUBG00001206,1710,1802,1864,1222,2349,2046,1591,2068
CADAFUBG00001207,4685,5308,5300,2065,7009,7824,6182,7350
CADAFUBG00001208,689,592,317,150,1377,296,132,153
CADAFUBG00001209,1913,1738,1154,688,1194,717,537,610
CADAFUBG00001210,297,242,147,117,774,758,248,244
CADAFUBG00001211,3678,3923,5713,5468,2165,878,1134,462
CADAFUBG00001212,115,112,121,134,215,165,109,190
CADAFUBG00001213,19332,19998,15823,7696,15976,12262,8125,8718
CADAFUBG00001214,509,463,595,432,2197,1468,542,858
CADAFUBG00001215,1096,805,834,850,1226,1144,464,573
CADAFUBG00001216,696,659,495,387,1110,1401,515,917
CADAFUBG00001217,1309,1266,900,843,4230,3806,3245,4780
CADAFUBG00001218,1812,1471,1248,1985,3278,3119,1630,2120
CADAFUBG00001219,1150,1157,1086,594,1044,630,726,800
CADAFUBG00001220,1651,1797,2059,866,1862,1782,1562,1655
CADAFUBG00001221,533,638,901,847,691,1161,455,176
CADAFUBG00001222,1238,1327,1530,555,1549,1454,2095,2109
CADAFUBG00001223,23,21,20,16,36,25,27,37
CADAFUBG00001224,1206,1100,1110,805,1764,1224,832,870
CADAFUBG00001225,3456,3400,4341,1702,2268,1701,2236,1820
CADAFUBG00001226,2969,2616,3262,5546,4249,3299,3438,3493
CADAFUBG00001227,1629,1607,1694,2245,2136,1432,1208,1204
CADAFUBG00001228,5135,5189,5006,2006,5880,5401,3609,4113
CADAFUBG00001229,1248,1122,1025,594,1261,1346,1145,1288
CADAFUBG00001230,470,396,512,443,574,470,432,376
CADAFUBG00001231,2073,2139,1735,1278,2228,1966,1180,1541
CADAFUBG00001232,12691,13316,14272,7547,11922,9010,6891,7131
CADAFUBG00001233,424,405,461,452,534,411,272,340
CADAFUBG00001234,554,585,463,601,518,445,378,397
CADAFUBG00001235,58466,55946,52290,33417,82856,88824,56902,71181
CADAFUBG00001236,102269,91804,99690,92518,164159,159564,133779,165230
CADAFUBG00001237,10236,10528,11809,11846,13926,12804,19037,21264
CADAFUBG00001238,116,125,101,101,136,80,73,70
CADAFUBG00001239,1358,1347,1367,666,1884,1465,936,1181
CADAFUBG00001240,441,413,422,387,821,529,339,413
CADAFUBG00001241,283,252,231,415,654,506,405,365
CADAFUBG00001242,77509,78681,86275,40855,21309,15476,8230,9259
CADAFUBG00001243,2075,1973,2193,854,1630,1957,1445,1662
CADAFUBG00001244,2533,2728,3506,2089,2657,2066,6061,7235
CADAFUBG00001245,2555,2011,4593,5547,1743,1538,2514,2325
CADAFUBG00001246,1505,1587,1453,1317,1713,1557,1248,1501
CADAFUBG00001247,6754,6491,6239,5467,6260,4765,2937,3508
CADAFUBG00001248,934,947,1054,565,1251,1173,1034,1210
CADAFUBG00001249,5217,5290,4023,2920,7925,6584,2805,3635
CADAFUBG00001250,358,277,304,286,460,380,298,369
CADAFUBG00001251,604,646,590,542,765,816,607,815
CADAFUBG00001252,630,558,595,1064,1037,723,494,631
CADAFUBG00001253,152,138,181,193,621,641,579,500
CADAFUBG00001254,863,818,1017,544,998,1018,653,645
CADAFUBG00001255,3710,3254,3104,3285,4660,3640,2469,3570
CADAFUBG00001256,182,157,146,161,155,91,85,86
CADAFUBG00001257,183,170,215,317,302,190,177,210
CADAFUBG00001258,1639,1264,1569,1408,1574,1096,979,1266
CADAFUBG00001259,1973,2541,2377,926,2425,2187,1631,1642
CADAFUBG00001260,768,751,1163,583,758,409,413,180
CADAFUBG00001261,21,28,20,20,23,13,11,15
CADAFUBG00001262,6802,7639,3713,2174,5741,6006,3135,3758
CADAFUBG00001263,2877,3664,4039,1410,3033,2445,1969,1968
CADAFUBG00001264,193,129,115,151,158,94,58,75
CADAFUBG00001265,103,72,121,195,223,99,60,101
CADAFUBG00001266,1683,1526,1679,1332,2339,2066,1673,2397
CADAFUBG00001267,5455,5830,7480,6290,7417,5445,7093,7394
CADAFUBG00001268,2318,2441,2629,3296,2062,1286,1198,1227
CADAFUBG00001269,1025,902,1358,1793,905,408,841,735
CADAFUBG00001270,313,288,533,708,413,185,884,681
CADAFUBG00001271,847,801,1119,468,788,823,811,1095
CADAFUBG00001272,509,441,599,278,517,584,1128,1144
CADAFUBG00001273,2131,1816,2603,3098,2876,1992,2812,2827
CADAFUBG00001274,561,681,1026,561,782,729,1023,731
CADAFUBG00001275,1224,1016,2986,1821,2859,3012,8231,13181
CADAFUBG00001276,344,300,355,268,451,433,671,772
CADAFUBG00001277,1759,2359,863,525,585,675,1252,1267
CADAFUBG00001278,1004,890,587,556,1327,831,449,679
CADAFUBG00001279,528,534,261,137,396,191,252,281
CADAFUBG00001280,4962,5183,5146,8577,5947,3169,2855,3229
CADAFUBG00001281,674,517,601,613,2937,4759,4695,5406
CADAFUBG00001282,6085,6004,4714,4881,4422,3531,1370,1841
CADAFUBG00001283,713,696,817,490,1086,970,740,856
CADAFUBG00001284,2022,1681,1894,2309,3703,4000,2593,3594
CADAFUBG00001285,1080,1053,925,447,2127,2248,1965,2251
CADAFUBG00001286,2521,2694,2342,1256,5240,9042,7251,7215
CADAFUBG00001287,8163,7740,7255,7212,10756,8662,6378,7784
CADAFUBG00001288,759,735,637,387,780,863,589,709
CADAFUBG00001289,215,115,88,221,102,114,37,58
CADAFUBG00001290,97,67,72,75,321,357,125,166
CADAFUBG00001291,416,356,405,260,747,771,544,720
CADAFUBG00001292,1157,900,1320,2034,1761,1222,1306,1302
CADAFUBG00001293,2166,2065,2263,2350,1771,1198,1004,1288
CADAFUBG00001294,2294,1481,1243,1780,1811,1651,815,1196
CADAFUBG00001295,302,205,160,197,355,364,242,264
CADAFUBG00001296,2206,1851,1711,1097,2628,2840,1892,2423
CADAFUBG00001297,1881,1402,1314,1408,1683,1198,969,939
CADAFUBG00001298,307,268,226,142,384,405,169,224
CADAFUBG00001299,3860,4320,5869,2022,4948,7205,5160,5618
CADAFUBG00001300,516,434,606,658,668,456,398,431
CADAFUBG00001301,6076,5576,6519,5528,7156,6813,6693,8417
CADAFUBG00001302,10766,9093,10281,13690,17032,11867,13104,15008
CADAFUBG00001303,32493,32072,25567,13303,22033,17120,16499,14213
CADAFUBG00001304,41351,42803,33802,13699,18022,12439,8398,9033
CADAFUBG00001305,2306,2116,4679,1963,10608,14091,14352,17124
CADAFUBG00001306,724,752,1054,1464,1278,1034,717,1080
CADAFUBG00001307,105,69,121,154,92,53,34,33
CADAFUBG00001308,984,992,1139,1665,1166,679,538,567
CADAFUBG00001309,1371,596,902,3354,264,138,63,44
CADAFUBG00001310,60,51,58,60,85,97,83,86
CADAFUBG00001311,2950,3126,4110,2843,2354,951,1086,482
CADAFUBG00001312,1447,1451,1700,1891,1528,1109,954,1074
CADAFUBG00001313,4426,4153,4737,3097,4590,4616,3509,4099
CADAFUBG00001314,587,600,738,678,955,815,617,651
CADAFUBG00001315,4175,3847,5907,1988,3133,4427,2576,2400
CADAFUBG00001316,1015,1006,862,482,2105,2031,1509,2196
CADAFUBG00001317,432,421,480,343,399,386,311,312
CADAFUBG00001318,3,7,5,1,8,5,5,6
CADAFUBG00001319,5,4,3,9,6,5,5,5
CADAFUBG00001320,256,164,138,103,62,63,79,65
CADAFUBG00001321,64,45,63,36,62,34,42,53
CADAFUBG00001322,48,23,26,25,55,41,30,25
CADAFUBG00001323,1451,1352,1502,920,1578,1484,1140,1336
CADAFUBG00001324,1186,1329,1388,1010,1206,987,763,861
CADAFUBG00001325,9365,10695,8798,3831,14630,15801,10653,12866
CADAFUBG00001326,4283,4415,4098,3878,5075,4558,3304,3801
CADAFUBG00001327,1626,1721,2027,1492,2125,1862,1566,1530
CADAFUBG00001328,9737,12027,8363,4775,14267,14882,11597,12100
CADAFUBG00001329,5016,3093,2903,1734,6607,5410,2068,4097
CADAFUBG00001330,785,568,448,445,363,349,222,265
CADAFUBG00001331,22093,20856,25445,51481,22563,13049,9233,12716
CADAFUBG00001332,37566,37654,47073,30282,35694,23628,19141,23018
CADAFUBG00001333,265,172,278,152,196,174,95,77
CADAFUBG00001334,1,3,5,10,6,3,2,5
CADAFUBG00001335,11,5,17,29,50,34,16,43
CADAFUBG00001336,27,13,5,10,23,7,1,3
CADAFUBG00001337,0,0,0,0,0,0,0,0
CADAFUBG00001338,335,345,286,269,862,1056,687,1019
CADAFUBG00001339,933,937,1006,537,1083,1018,505,616
CADAFUBG00001340,183,154,162,119,219,171,178,225
CADAFUBG00001341,547,630,590,586,810,550,517,546
CADAFUBG00001342,756,767,994,873,919,525,500,311
CADAFUBG00001343,1303,1281,1360,1240,1389,1161,882,945
CADAFUBG00001344,2516,2821,3690,1465,1630,850,1245,484
CADAFUBG00001345,1199,1209,1253,1079,2521,2744,1253,1653
CADAFUBG00001346,1346,1421,1306,682,1388,1487,1102,1148
CADAFUBG00001347,2521,2239,1718,1886,2653,2066,1134,1656
CADAFUBG00001348,1432,1334,3031,1300,725,1082,2706,2814
CADAFUBG00001349,60,71,59,51,116,101,70,73
CADAFUBG00001350,736,746,805,760,1230,1120,814,1105
CADAFUBG00001351,1434,1192,1330,629,945,811,834,880
CADAFUBG00001352,1552,1564,1337,937,1119,793,214,169
CADAFUBG00001353,3426,2987,3890,4791,1833,769,281,311
CADAFUBG00001354,72,36,29,46,41,32,23,31
CADAFUBG00001355,911,776,848,1794,1883,1363,1165,1364
CADAFUBG00001356,2901,2729,2598,2938,2125,1563,1158,1198
CADAFUBG00001357,997,874,1035,1678,1303,1264,1168,1409
CADAFUBG00001358,51,24,28,20,39,51,48,44
CADAFUBG00001359,100,79,72,195,240,181,69,118
CADAFUBG00001360,595,488,599,749,645,557,411,459
CADAFUBG00001361,1570,1494,1729,1060,1395,1159,1288,1289
CADAFUBG00001362,0,1,0,0,0,1,2,2
CADAFUBG00001363,1,0,0,1,0,0,0,0
CADAFUBG00001364,0,1,0,0,1,1,0,1
CADAFUBG00001365,1,0,1,6,12,3,12,3
CADAFUBG00001366,3,3,0,2,3,0,0,1
CADAFUBG00001367,434,363,1653,700,676,598,5512,5879
CADAFUBG00001368,9268,9434,7487,6833,15180,20408,12137,16982
CADAFUBG00001369,2185,1967,1797,1812,3651,3500,2483,2948
CADAFUBG00001370,1813,1887,2618,2495,1872,1126,825,621
CADAFUBG00001371,8643,8929,10733,3704,3915,2445,2871,1779
CADAFUBG00001372,259,225,35,58,385,221,44,38
CADAFUBG00001373,24,24,22,34,20,19,13,13
CADAFUBG00001374,2197,2098,1973,1936,4898,4681,2584,3048
CADAFUBG00001375,422,408,639,884,567,518,690,938
CADAFUBG00001376,194,178,176,93,146,146,157,145
CADAFUBG00001377,3297,3686,4786,1871,2805,1607,1370,763
CADAFUBG00001378,409,539,301,188,1130,529,148,35
CADAFUBG00001379,33781,32206,37807,14343,42834,44687,47346,61182
CADAFUBG00001380,323,257,58,59,215,139,69,111
CADAFUBG00001381,7501,7650,10689,5880,4979,2116,2337,871
CADAFUBG00001382,5,4,0,5,4,5,2,1
CADAFUBG00001383,1,0,0,1,2,0,2,0
CADAFUBG00001384,1205,1098,1026,1069,1487,1033,990,1220
CADAFUBG00001385,239,203,155,254,487,361,222,248
CADAFUBG00001386,844,976,860,434,1123,958,1044,1196
CADAFUBG00001387,1104,1130,928,637,1377,1151,971,1100
CADAFUBG00001388,2403,2468,2149,912,5314,5472,4347,5088
CADAFUBG00001389,1469,1332,1652,746,1605,1472,1214,1282
CADAFUBG00001390,1301,516,482,261,606,1067,112,124
CADAFUBG00001391,1939,2127,1896,1676,2591,2157,1767,1934
CADAFUBG00001392,1544,1570,1792,1163,1839,1419,1439,1636
CADAFUBG00001393,3273,3397,2191,667,1525,1149,512,705
CADAFUBG00001394,1549,1293,360,170,873,520,184,160
CADAFUBG00001395,1032,994,579,497,525,405,260,300
CADAFUBG00001396,294,373,341,148,348,347,244,306
CADAFUBG00001397,497,456,227,259,421,323,344,434
CADAFUBG00001398,997,1204,314,194,328,209,116,176
CADAFUBG00001399,3993,4396,935,1312,586,283,363,325
CADAFUBG00001400,37875,39861,48006,19712,12194,7724,3976,4038
CADAFUBG00001401,1455,1502,1710,1133,2572,2496,1386,1561
CADAFUBG00001402,1293,1286,122,98,2868,651,109,127
CADAFUBG00001403,926,1082,1502,657,2991,3947,3082,3333
CADAFUBG00001404,379,402,180,135,1376,578,275,291
CADAFUBG00001405,198,232,186,94,1034,994,978,843
CADAFUBG00001406,25,16,20,31,62,48,32,30
CADAFUBG00001407,446,429,415,161,509,477,385,403
CADAFUBG00001408,2135,2382,2201,768,3196,2556,1852,1608
CADAFUBG00001409,347,352,1270,451,576,1189,3917,5912
CADAFUBG00001410,49,48,80,29,997,2033,8037,12185
CADAFUBG00001411,229,291,287,165,355,521,1318,2074
CADAFUBG00001412,526,516,468,277,828,895,1113,1291
CADAFUBG00001413,60,56,47,56,166,132,167,140
CADAFUBG00001414,2166,2100,1902,1671,1094,1160,1216,965
CADAFUBG00001415,5672,6350,3771,2516,4035,3016,2695,2538
CADAFUBG00001416,889,735,1122,1541,1097,534,607,434
CADAFUBG00001417,1437,1178,1444,1392,1373,1096,1489,1700
CADAFUBG00001418,609,599,797,597,772,490,386,348
CADAFUBG00001419,3452,2928,2925,1705,5687,6489,3623,5538
CADAFUBG00001420,2836,2718,2682,1469,2954,2880,2102,2680
CADAFUBG00001421,694,714,671,1451,1422,1027,871,1125
CADAFUBG00001422,797,644,986,997,736,389,500,277
CADAFUBG00001423,0,0,1,0,0,0,0,0
CADAFUBG00001424,951,974,973,766,881,536,707,426
CADAFUBG00001425,493,536,628,523,1190,883,673,588
CADAFUBG00001426,1324,1298,1327,933,2384,2179,1535,1732
CADAFUBG00001427,5099,5889,6267,2095,6305,6978,5642,5302
CADAFUBG00001428,2894,2743,2410,1798,2835,2722,2047,2444
CADAFUBG00001429,267,289,192,237,551,375,165,183
CADAFUBG00001430,217,156,164,197,316,304,191,153
CADAFUBG00001431,655,663,325,194,966,811,492,560
CADAFUBG00001432,409,319,461,293,655,746,723,665
CADAFUBG00001433,4315,4414,4628,2189,3570,2324,4824,4265
CADAFUBG00001434,2713,2624,2704,1641,3825,3775,2441,2918
CADAFUBG00001435,1396,1532,1150,826,2855,2619,2532,2775
CADAFUBG00001436,1175,1313,1462,1272,1412,753,713,476
CADAFUBG00001437,4271,3755,3217,5638,5163,3118,1766,2285
CADAFUBG00001438,666,608,535,517,1024,885,681,716
CADAFUBG00001439,5509,5741,5802,6242,3316,4199,10053,11952
CADAFUBG00001440,3572,4329,4083,1319,3601,3566,3489,3910
CADAFUBG00001441,256,358,277,171,275,260,259,326
CADAFUBG00001442,1892,1773,1963,1642,2057,1417,988,1178
CADAFUBG00001443,231,211,225,294,523,426,282,326
CADAFUBG00001444,3014,3185,2176,1037,6866,6141,8460,11097
CADAFUBG00001445,137,126,82,45,141,129,47,56
CADAFUBG00001446,371,401,343,242,528,459,359,397
CADAFUBG00001447,356,369,357,179,429,321,245,291
CADAFUBG00001448,129,99,165,128,164,104,91,72
CADAFUBG00001449,7,10,6,10,10,10,1,5
CADAFUBG00001450,1492,1432,1569,889,2520,2874,2518,2955
CADAFUBG00001451,1702,1662,1568,1154,2327,2152,1533,1831
CADAFUBG00001452,10233,7069,5445,5052,7179,8341,6806,7356
CADAFUBG00001453,4749,4527,4441,2767,4247,3397,2984,3578
CADAFUBG00001454,102,114,77,56,92,103,100,72
CADAFUBG00001455,9,5,8,7,6,7,13,13
CADAFUBG00001456,1842,1916,3206,1461,2694,2269,2971,3227
CADAFUBG00001457,2276,2472,2262,910,2000,1694,1850,1741
CADAFUBG00001458,214,128,200,623,204,62,107,90
CADAFUBG00001459,82,79,45,51,102,51,49,38
CADAFUBG00001460,1925,2002,2541,1273,1815,871,946,427
CADAFUBG00001461,7500,8831,7057,3596,10310,12688,10006,9885
CADAFUBG00001462,1931,2101,2463,933,1906,1985,1535,1790
CADAFUBG00001463,81522,81683,93674,151265,28277,16504,9262,8482
CADAFUBG00001464,1913,2091,2650,2069,1430,724,544,274
CADAFUBG00001465,437,350,390,409,423,405,538,595
CADAFUBG00001466,2703,2500,2185,891,1720,1496,1419,1755
CADAFUBG00001467,1349,1377,1371,1208,2235,1386,1335,1445
CADAFUBG00001468,1145,1164,1436,1072,1456,1092,1412,1445
CADAFUBG00001469,899,872,963,754,1004,816,785,949
CADAFUBG00001470,151,169,171,245,172,93,84,80
CADAFUBG00001471,1073,1186,1253,638,1192,975,1440,1439
CADAFUBG00001472,781,706,641,388,716,618,361,437
CADAFUBG00001473,1553,1345,1280,2126,2688,2174,1712,2083
CADAFUBG00001474,16324,14483,22234,11260,39968,47075,54940,52922
CADAFUBG00001475,429,500,497,596,845,594,321,360
CADAFUBG00001476,1738,1394,1285,688,1298,1260,635,844
CADAFUBG00001477,469,473,329,329,1524,1158,1086,2117
CADAFUBG00001478,4752,4426,7067,6449,1118,446,601,407
CADAFUBG00001479,22,15,8,7,9,3,0,4
CADAFUBG00001480,3963,4057,4582,2112,5866,5741,4426,4578
CADAFUBG00001481,774,771,552,368,977,763,432,471
CADAFUBG00001482,903,699,524,922,1569,1066,657,674
CADAFUBG00001483,936,816,608,377,3459,4544,3881,4466
CADAFUBG00001484,1258,1023,1066,2056,1402,859,563,663
CADAFUBG00001485,1383,1213,1359,2157,2004,1376,1206,1468
CADAFUBG00001486,1981,1379,1050,797,397,250,118,127
CADAFUBG00001487,18450,9745,13030,8839,18073,15475,5539,8854
CADAFUBG00001488,2839,2968,2332,1160,2016,1523,865,815
CADAFUBG00001489,209,244,87,73,143,96,67,61
CADAFUBG00001490,504,414,488,333,359,299,352,434
CADAFUBG00001491,1113,1167,1225,777,875,665,494,574
CADAFUBG00001492,412,355,163,108,285,193,246,349
CADAFUBG00001493,2197,2541,2255,1838,3252,3020,1803,2159
CADAFUBG00001494,760,703,813,1334,356,299,301,427
CADAFUBG00001495,785,746,699,885,1086,915,967,951
CADAFUBG00001496,1272,1163,1461,638,835,676,1106,839
CADAFUBG00001497,2350,2293,2121,1509,2213,925,1601,1320
CADAFUBG00001498,3219,3128,3210,2568,3335,3146,2541,2931
CADAFUBG00001499,1330,1264,1257,1185,1698,1488,1406,2120
CADAFUBG00001500,99,85,102,34,206,254,136,180
CADAFUBG00001501,97,121,124,46,288,318,141,175
CADAFUBG00001502,0,0,0,0,0,0,0,1
CADAFUBG00001503,766,677,298,408,1237,965,303,368
CADAFUBG00001504,613,320,331,177,323,361,603,609
CADAFUBG00001505,7757,8403,9774,3691,7798,6328,7411,5129
CADAFUBG00001506,1578,1743,1939,696,1656,1237,1467,1384
CADAFUBG00001507,623,621,792,519,854,674,860,1003
CADAFUBG00001508,5950,8774,1741,1171,19196,7902,1486,618
CADAFUBG00001509,902,932,1126,679,1614,986,686,608
CADAFUBG00001510,257,248,347,303,428,352,273,389
CADAFUBG00001511,224,263,208,129,501,635,646,737
CADAFUBG00001512,188,129,148,144,640,724,518,635
CADAFUBG00001513,899,797,865,832,966,919,968,1193
CADAFUBG00001514,3743,3997,5036,3389,4413,4331,7373,6299
CADAFUBG00001515,386,373,750,637,759,497,902,1119
CADAFUBG00001516,365,345,345,332,515,484,406,484
CADAFUBG00001517,1962,1740,1563,2364,1725,1000,693,1032
CADAFUBG00001518,9166,7296,9874,2762,15570,19674,14601,18364
CADAFUBG00001519,254,231,110,66,501,477,127,156
CADAFUBG00001520,1317,1265,1453,698,1245,761,1103,728
CADAFUBG00001521,153,149,209,180,120,63,136,111
CADAFUBG00001522,460,203,408,674,258,309,169,186
CADAFUBG00001523,15,7,22,8,21,15,38,20
CADAFUBG00001524,87,77,30,46,163,153,82,95
CADAFUBG00001525,2487,2076,854,686,699,950,528,510
CADAFUBG00001526,511,507,1076,1308,735,455,1122,1233
CADAFUBG00001527,44,67,52,86,76,34,27,27
CADAFUBG00001528,688,640,766,331,1378,1330,1826,1982
CADAFUBG00001529,992,1194,1096,880,1345,1038,688,672
CADAFUBG00001530,4169,5106,5169,1624,4594,3385,2619,2422
CADAFUBG00001531,37013,39081,42289,49785,12285,6206,4140,4268
CADAFUBG00001532,363,424,470,227,327,210,193,226
CADAFUBG00001533,834,852,844,377,908,850,613,772
CADAFUBG00001534,3783,4010,4292,1690,4693,4047,2954,3257
CADAFUBG00001535,529,510,619,344,579,525,498,612
CADAFUBG00001536,8634,9065,6533,5675,7547,10526,10792,10969
CADAFUBG00001537,772,781,1032,510,1027,805,670,659
CADAFUBG00001538,1176,1063,1415,1401,1900,1528,1437,1742
CADAFUBG00001539,3840,4453,3991,1550,4664,4587,2836,2751
CADAFUBG00001540,3364,2276,2952,4660,2185,1350,2313,2269
CADAFUBG00001541,1954,2439,1834,1633,3545,2564,1339,1307
CADAFUBG00001542,392,385,313,341,393,299,213,186
CADAFUBG00001543,54,37,51,47,44,26,33,39
CADAFUBG00001544,6224,6358,5813,4376,5721,4584,3462,3925
CADAFUBG00001545,3089,3357,3230,1438,3756,2555,1525,1445
CADAFUBG00001546,640,601,728,924,962,765,1102,1257
CADAFUBG00001547,1204,1156,967,879,1847,1566,1384,1466
CADAFUBG00001548,2417,2716,2999,1664,2707,1839,1940,1546
CADAFUBG00001549,181,160,367,112,183,104,682,526
CADAFUBG00001550,1874,1770,1484,1607,1957,1108,529,742
CADAFUBG00001551,1501,1521,1643,870,2617,1656,3024,2662
CADAFUBG00001552,1459,1314,1087,576,2143,1757,1666,1750
CADAFUBG00001553,1840,1950,2077,961,1917,1655,1644,1847
CADAFUBG00001554,7296,7052,7069,6200,11214,9614,5524,6627
CADAFUBG00001555,0,0,0,0,0,0,0,0
CADAFUBG00001556,41,25,49,43,90,100,108,214
CADAFUBG00001557,2,0,2,1,1,0,1,7
CADAFUBG00001558,10887,6121,16469,7451,6164,4349,8884,5522
CADAFUBG00001559,175,182,156,125,276,258,208,198
CADAFUBG00001560,1965,1917,2047,1523,1451,999,1087,1002
CADAFUBG00001561,1617,1463,1498,749,2503,2778,1394,2022
CADAFUBG00001562,550,569,500,508,717,514,579,562
CADAFUBG00001563,151,143,150,57,217,214,207,217
CADAFUBG00001564,9039,6132,38415,30323,1347,1928,576,591
CADAFUBG00001565,4,3,9,12,3,5,4,0
CADAFUBG00001566,354,266,397,324,230,174,31,41
CADAFUBG00001567,11406,9920,12795,7686,13334,11859,12902,13705
CADAFUBG00001568,637,658,962,402,708,613,731,534
CADAFUBG00001569,258,156,160,272,385,332,122,195
CADAFUBG00001570,350,378,301,208,513,372,427,357
CADAFUBG00001571,810,743,831,688,1201,895,753,827
CADAFUBG00001572,2957,3003,4227,2217,2389,1144,1460,636
CADAFUBG00001573,2551,2774,2554,2300,4762,3731,3087,3034
CADAFUBG00001574,526,515,406,393,1378,1087,598,713
CADAFUBG00001575,135,101,94,115,330,240,143,173
CADAFUBG00001576,667,578,596,475,830,595,428,586
CADAFUBG00001577,1165,1272,1227,821,2225,1790,1433,2155
CADAFUBG00001578,72,78,132,75,189,155,135,175
CADAFUBG00001579,103,97,109,54,143,76,89,67
CADAFUBG00001580,117,138,139,116,142,101,104,116
CADAFUBG00001581,13,8,10,11,13,7,10,10
