,MM1,MM2,MM3,GPA1,GPA2,GPA3
gene:AFUB_001330,1642,2155,2149,4285,5294,6411
gene:AFUB_001340,14910,15686,17347,13991,11854,15616
gene:AFUB_001350,411,375,472,390,495,577
gene:AFUB_001360,21,22,18,74,68,84
gene:AFUB_001370,1054,971,1177,4337,3327,4935
gene:AFUB_001400,6837,8726,9222,8038,5059,8018
gene:AFUB_001410,1357,1526,1460,3266,2701,3570
gene:AFUB_001420,94,74,81,102,109,128
gene:AFUB_001430,541,573,604,3034,3056,3909
gene:AFUB_001440,109,639,1541,11397,17881,17405
gene:AFUB_001450,42,38,38,169,126,183
gene:AFUB_001460,2408,2256,2552,2611,2722,3289
gene:AFUB_001470,17322,19075,22091,17100,21003,24916
gene:AFUB_001480,1146,1180,1232,3005,2402,3342
gene:AFUB_001490,771,1548,1793,1992,2685,2752
gene:AFUB_001500,62,52,51,156,160,193
gene:AFUB_001510,2956,3786,3739,4291,3577,4959
gene:AFUB_001520,35749,34666,43064,12420,13002,15235
gene:AFUB_001530,1309,1084,1306,1407,1648,1857
gene:AFUB_001540,912,1133,1319,2633,2434,3149
gene:AFUB_001550,84,77,93,422,506,610
gene:AFUB_001560,1324,1218,1335,10073,8043,11201
gene:AFUB_001570,528,599,811,165,94,142
gene:AFUB_001580,1021,1275,1548,1465,1558,1728
gene:AFUB_001590,848,904,935,865,913,1051
gene:AFUB_001600,1084,964,1194,2294,2176,2600
gene:AFUB_001610,839,677,750,2765,3099,3647
gene:AFUB_001620,1620,2197,2487,3470,3270,4563
gene:AFUB_001630,681,819,877,1675,1547,2190
gene:AFUB_001640,4062,3760,4175,5393,4044,5746
gene:AFUB_001650,305,245,293,318,305,446
gene:AFUB_001660,588,646,742,413,464,613
gene:AFUB_001670,6,1,7,48,35,43
gene:AFUB_001680,51,39,58,845,686,1008
gene:AFUB_001690,1412,1187,1338,1861,2265,2458
gene:AFUB_001700,2858,1613,2101,1143,878,1339
gene:AFUB_001710,382,255,260,1107,1165,1339
gene:AFUB_001720,1583,1386,1557,4746,4190,5749
gene:AFUB_001730,327,396,431,656,709,817
gene:AFUB_001740,391,388,430,820,930,1059
gene:AFUB_001750,58104,66788,71438,18850,17813,22137
gene:AFUB_001760,3156,3191,3179,3003,2674,3104
gene:AFUB_001770,1012,936,962,1085,1012,1458
gene:AFUB_001780,1999,2800,3236,1583,1668,2254
gene:AFUB_001790,2346,2186,2585,7994,10419,10491
gene:AFUB_001800,372,385,428,910,1210,1333
gene:AFUB_001810,36637,49000,51275,25438,25084,31811
gene:AFUB_001820,1188,1591,1704,1534,1612,2147
gene:AFUB_001830,2037,1689,1930,2929,3002,3397
gene:AFUB_001840,1564,1643,1849,3775,3268,4215
gene:AFUB_001850,859,797,827,3408,3958,4421
gene:AFUB_001860,329,232,259,38,35,54
gene:AFUB_001870,2113,1936,2265,1896,1784,2241
gene:AFUB_001880,2546,2822,3384,2306,2382,2602
gene:AFUB_001890,3522,3167,3193,1943,1740,2074
gene:AFUB_001900,4597,5495,6121,5524,5844,6908
gene:AFUB_001910,22,25,29,44,63,71
gene:AFUB_001920,98,103,83,440,405,540
gene:AFUB_001930,392,341,299,838,911,1191
gene:AFUB_001940,1858,1521,1723,5283,4327,5905
gene:AFUB_001950,546,518,534,809,720,943
gene:AFUB_001960,491,426,439,617,621,840
gene:AFUB_001970,174,193,213,404,453,535
gene:AFUB_001980,0,0,0,1,0,0
gene:AFUB_001990,491,485,570,822,877,1016
gene:AFUB_002000,819,968,1224,11891,12769,14827
gene:AFUB_002010,486,325,382,1870,1890,2316
gene:AFUB_002020,126,119,171,175,133,179
gene:AFUB_002030,127,117,87,642,563,723
gene:AFUB_002040,2471,2738,3332,5445,6344,7422
gene:AFUB_002050,220,174,201,119,113,144
gene:AFUB_002060,69,54,54,86,56,86
gene:AFUB_002070,10,8,10,17,14,13
gene:AFUB_002080,1358,1686,1884,2365,2734,3428
gene:AFUB_002090,1048,1811,2067,5531,5459,7532
gene:AFUB_002100,173,124,174,246,111,201
gene:AFUB_002110,1,0,1,13,8,12
gene:AFUB_002120,3318,3522,3978,3945,3594,4563
gene:AFUB_002130,284,235,274,301,309,421
gene:AFUB_002140,8438,9648,10881,6523,6973,8593
gene:AFUB_002150,1084,1328,1507,841,1025,1212
gene:AFUB_002160,952,795,842,915,808,1093
gene:AFUB_002170,12,32,22,2550,2287,3072
gene:AFUB_002180,0,1,0,55,37,72
gene:AFUB_002190,635,524,550,832,894,1374
gene:AFUB_002200,13,2,9,32,33,41
gene:AFUB_002210,1,2,6,14,20,13
gene:AFUB_002220,3,0,1,2,1,2
gene:AFUB_002230,688,850,986,396,392,509
gene:AFUB_002240,515,367,395,3177,3082,3898
gene:AFUB_002250,167,229,270,1151,1508,1619
gene:AFUB_002260,2470,2599,2942,2336,2735,3006
gene:AFUB_002270,3,4,2,45,45,47
gene:AFUB_002280,11,5,8,70,73,95
gene:AFUB_002290,631,565,564,899,837,1104
gene:AFUB_002300,3,1,1,18,14,30
gene:AFUB_002310,22,21,18,43,33,39
gene:AFUB_002320,1331,1731,1660,1807,1876,2380
gene:AFUB_002330,545,507,547,474,576,643
gene:AFUB_002340,1030,336,564,124,122,168
gene:AFUB_002350,1461,1092,1274,3916,4193,5314
gene:AFUB_002360,21,15,18,74,71,89
gene:AFUB_002370,2172,3263,3871,2840,2659,3528
gene:AFUB_002380,93,72,92,476,380,501
gene:AFUB_002390,4787,5086,5795,9081,8055,11031
gene:AFUB_002400,526,414,467,616,609,740
gene:AFUB_002410,23929,29180,33031,11767,11771,14039
gene:AFUB_002420,39,55,81,1192,1554,1636
gene:AFUB_002430,1831,1824,1907,2257,2072,2567
gene:AFUB_002440,33,24,21,53,68,75
gene:AFUB_002450,10924,12812,14840,3531,4137,4558
gene:AFUB_002460,873,1255,1419,967,889,1250
gene:AFUB_002470,356,744,726,1606,1863,2006
gene:AFUB_002480,72,74,118,206,170,189
gene:AFUB_002490,8312,9482,11384,8504,8165,10439
gene:AFUB_002500,89,57,59,312,297,420
gene:AFUB_002510,665,607,678,4111,4709,5597
gene:AFUB_002520,625,813,1398,10218,13310,13328
gene:AFUB_002530,3560,4919,5249,3668,3874,4755
gene:AFUB_002540,876,1030,995,1893,1939,2293
gene:AFUB_002550,1023,1008,1136,2776,2312,3183
gene:AFUB_002560,779,633,645,784,800,934
gene:AFUB_002570,3846,3688,4337,3631,4245,5018
gene:AFUB_002580,631,572,616,4525,3861,5344
gene:AFUB_002590,4481,5758,6431,3066,2840,3856
gene:AFUB_002600,1,3,2,15,10,8
gene:AFUB_002610,15,16,13,21,18,27
gene:AFUB_002620,0,1,0,2,0,3
gene:AFUB_002630,0,0,0,1,1,3
gene:AFUB_002640,0,1,0,7,4,4
gene:AFUB_002650,0,0,0,1,0,1
gene:AFUB_002660,710,691,859,1773,1528,2028
gene:AFUB_002670,252,255,288,2022,1996,2251
gene:AFUB_002680,848,489,843,126,120,166
gene:AFUB_002690,5,2,1,31,10,25
gene:AFUB_002700,2,0,1,5,2,1
gene:AFUB_002710,3,0,4,2,1,2
gene:AFUB_002720,255,239,288,1468,1444,2123
gene:AFUB_002730,816,938,1225,1342,1174,1651
gene:AFUB_002740,196,180,202,375,437,434
gene:AFUB_002750,93,94,108,123,126,140
gene:AFUB_002760,96,87,104,192,138,181
gene:AFUB_002770,70,72,78,78,105,116
gene:AFUB_002780,1150,1121,1342,515,592,684
gene:AFUB_002790,1182,1132,1155,2273,1879,2512
gene:AFUB_002800,3654,4210,4611,2085,2256,2839
gene:AFUB_002810,861,969,1140,2406,2509,3009
gene:AFUB_002820,1294,1289,1381,3665,4510,5060
gene:AFUB_002830,159,133,168,214,170,208
gene:AFUB_002840,328,301,355,557,444,676
gene:AFUB_002850,3185,3923,4210,3800,3304,4348
gene:AFUB_002860,0,0,0,3,3,0
gene:AFUB_002870,528,450,485,1713,2076,2260
gene:AFUB_002880,904,988,1043,1492,1548,1919
gene:AFUB_002890,2458,1469,1783,2154,1918,2533
gene:AFUB_002900,0,1,0,32,9,15
gene:AFUB_002910,291,311,375,9593,8897,11684
gene:AFUB_002920,2640,2257,2533,3505,3422,3941
gene:AFUB_002930,26543,27397,31142,6232,6205,8183
gene:AFUB_002940,437,366,449,434,524,596
gene:AFUB_002950,3747,10559,13495,14774,18616,21572
gene:AFUB_002960,1047,1861,2316,1906,2455,2719
gene:AFUB_002970,2243,2493,2538,6131,3976,6298
gene:AFUB_002980,1259,1454,1504,2502,2100,2662
gene:AFUB_002990,2311,3187,3590,1536,1490,1997
gene:AFUB_003000,564,649,766,256,319,364
gene:AFUB_003010,4914,5962,6865,2984,2677,3896
gene:AFUB_003040,566,542,583,1565,1468,1839
gene:AFUB_003050,21,17,17,22,24,26
gene:AFUB_003060,21,8,9,290,148,244
gene:AFUB_003070,3392,3713,4143,3233,3791,4345
gene:AFUB_003080,1,1,3,5,6,3
gene:AFUB_003090,159,128,134,569,482,648
gene:AFUB_003100,646,837,760,3208,3873,4473
gene:AFUB_003110,668,541,676,825,733,988
gene:AFUB_003120,397,325,388,100,79,111
gene:AFUB_003130,0,0,0,2,1,0
gene:AFUB_003140,2,0,0,6,3,4
gene:AFUB_003150,1332,1322,1436,4873,4430,5664
gene:AFUB_003160,44,34,46,438,703,728
gene:AFUB_003170,119,93,101,636,545,786
gene:AFUB_003180,3,0,2,19,8,16
gene:AFUB_003190,370,403,488,901,882,1208
gene:AFUB_003200,332,278,334,1039,1310,1529
gene:AFUB_003210,1310,1447,1612,4595,5334,6079
gene:AFUB_003220,1641,1427,1465,1723,1658,1971
gene:AFUB_003230,182,137,160,431,407,566
gene:AFUB_003240,35,21,30,118,90,134
gene:AFUB_003250,881,778,751,824,727,893
gene:AFUB_003260,611,666,717,331,424,432
gene:AFUB_003270,2619,2428,3087,2509,2643,3373
gene:AFUB_003280,558,806,843,902,860,1169
gene:AFUB_003290,1852,1482,1786,2367,3039,3513
gene:AFUB_003300,1510,1249,1342,1508,1458,1879
