,MM1,MM2,MM3,GPA1,GPA2,GPA3
gene:AFUB_017960,26,30,49,174,199,240
gene:AFUB_017970,11,35,63,680,808,1025
gene:AFUB_017980,2,8,46,176,175,217
gene:AFUB_017990,0,0,0,198,79,175
gene:AFUB_018000,0,1,0,71,52,80
gene:AFUB_018010,2,0,2,120,126,156
gene:AFUB_018020,117,113,169,4547,4854,5836
gene:AFUB_018030,8,4,3,376,208,339
gene:AFUB_018050,1,2,1,112,76,144
gene:AFUB_018060,772,1038,1156,4874,6171,6480
gene:AFUB_018070,7,7,8,473,538,711
gene:AFUB_018080,22,20,22,222,401,418
gene:AFUB_018090,418,257,225,254,181,286
gene:AFUB_018100,64989,73717,82282,19874,18321,24405
gene:AFUB_018110,102,68,109,689,837,1078
gene:AFUB_018120,8641,7211,9520,10757,12643,14712
gene:AFUB_018130,2311,2426,2682,1380,1714,1862
gene:AFUB_018140,1665,1413,1763,4242,3790,4946
gene:AFUB_018150,767,738,887,990,1115,1457
gene:AFUB_018160,349,218,288,540,547,745
gene:AFUB_018170,1235,1123,1267,1201,1183,1428
gene:AFUB_018180,420,572,680,2359,2622,3078
gene:AFUB_018190,664,700,824,1483,1154,1603
gene:AFUB_018200,825,1034,1326,1118,884,1240
gene:AFUB_018210,875,955,1242,1489,1595,2081
gene:AFUB_018220,1399,2213,2689,5094,4900,6739
gene:AFUB_018230,7,7,10,115,97,141
gene:AFUB_018240,139,166,251,636,645,714
gene:AFUB_018250,4679,3927,4831,13266,14992,20073
gene:AFUB_018260,249,169,238,1326,918,1333
gene:AFUB_018270,411,304,342,2367,2128,2994
gene:AFUB_018280,2034,1823,1947,1195,1236,1481
gene:AFUB_018290,5227,6338,7397,5800,5153,6554
gene:AFUB_018300,180,162,206,1749,2180,2553
gene:AFUB_018310,39,30,39,182,179,219
gene:AFUB_018320,406,314,323,668,560,717
gene:AFUB_018330,1,3,0,16,12,24
gene:AFUB_018340,1606,1482,1555,1687,1715,2167
gene:AFUB_018350,40,32,41,403,433,486
gene:AFUB_018360,7,6,9,1971,2704,2598
gene:AFUB_018370,61,42,31,816,568,788
gene:AFUB_018380,41,34,36,380,483,493
gene:AFUB_018390,26,11,19,312,291,390
gene:AFUB_018400,200,183,173,7396,8529,10518
gene:AFUB_018410,1410,1940,2116,1995,2322,2623
gene:AFUB_018420,5,6,0,4,2,0
gene:AFUB_018430,1125,1119,1340,2162,1755,2430
gene:AFUB_018440,699,892,963,668,892,1036
gene:AFUB_018450,9,14,15,204,176,246
gene:AFUB_018460,119,147,167,342,202,335
gene:AFUB_018470,128,118,135,458,428,533
gene:AFUB_018480,255,293,284,370,386,490
gene:AFUB_018490,11,7,12,1205,680,1310
gene:AFUB_018500,97,75,94,199,170,255
gene:AFUB_018510,651,770,932,6900,6278,8573
gene:AFUB_018520,3948,2617,3661,991,803,1082
gene:AFUB_018530,825,692,766,1404,1351,1615
gene:AFUB_018540,646,693,773,671,629,879
gene:AFUB_018550,0,0,0,2,1,2
gene:AFUB_018560,2446,3141,3478,2315,2258,2860
gene:AFUB_018570,12,12,9,688,309,642
gene:AFUB_018580,601,487,432,1548,1423,1791
gene:AFUB_018590,269,284,306,639,639,762
gene:AFUB_018600,1807,1641,1755,1482,1236,1582
gene:AFUB_018610,1095,909,967,1889,1793,2557
gene:AFUB_018620,1363,1347,1463,1962,2051,2441
gene:AFUB_018630,842,647,797,1879,1917,2307
gene:AFUB_018640,992,953,1127,1040,1167,1517
gene:AFUB_018650,298,187,210,417,316,438
gene:AFUB_018660,71,140,124,1108,1524,1732
gene:AFUB_018670,539,452,451,566,500,623
gene:AFUB_018680,799,800,721,929,830,1090
gene:AFUB_018690,336,380,305,382,379,465
gene:AFUB_018700,881,932,1010,1291,984,1414
gene:AFUB_018710,6544,6958,7616,4464,4030,5433
gene:AFUB_018720,505,504,564,418,432,493
gene:AFUB_018730,6326,8703,9543,3778,4109,4760
gene:AFUB_018740,201,142,157,3660,3292,4554
gene:AFUB_018750,12,7,10,151,52,138
gene:AFUB_018760,134,94,128,357,326,400
gene:AFUB_018770,1565,1331,1584,2381,2300,2921
gene:AFUB_018780,9,5,3,6,14,11
gene:AFUB_018790,1596,2380,2085,11420,11730,13847
gene:AFUB_018800,11,9,14,1931,1981,2712
gene:AFUB_018810,349,247,318,737,704,933
gene:AFUB_018820,4037,4610,4802,11062,12476,13960
gene:AFUB_018830,145,157,182,943,601,862
gene:AFUB_018840,0,1,1,26,35,43
gene:AFUB_018850,2489,3342,3880,2459,1940,2776
gene:AFUB_018860,2596,2773,2868,2976,3059,3862
gene:AFUB_018870,12,10,20,34,15,24
gene:AFUB_018880,178,192,193,2205,2566,3121
gene:AFUB_018890,2057,1925,2075,2134,1732,2329
gene:AFUB_018900,4427,5737,6589,2435,2496,2985
gene:AFUB_018910,376,409,471,605,541,654
gene:AFUB_018920,880,838,990,1305,1508,1826
gene:AFUB_018940,364,229,278,548,532,746
gene:AFUB_018960,1346,1523,1488,2171,2065,2597
gene:AFUB_018970,1326,1422,1687,1886,1969,2502
gene:AFUB_018980,665,739,854,429,450,545
gene:AFUB_018990,1274,1493,1629,4973,4949,6453
gene:AFUB_019000,1507,1235,1534,1771,1409,1996
gene:AFUB_019010,6026,7890,9043,23915,20949,29177
gene:AFUB_019020,921,746,891,2321,2355,3135
gene:AFUB_019030,106,112,110,353,247,409
gene:AFUB_019040,46,30,32,156,117,167
gene:AFUB_019050,197,144,155,588,544,654
gene:AFUB_019060,1510,2250,2388,2261,2045,2605
gene:AFUB_019070,1255,1451,1721,2149,2125,2713
gene:AFUB_019080,631,665,627,1713,1797,2318
gene:AFUB_019090,943,1156,1119,991,1184,1297
gene:AFUB_019100,47,60,76,339,397,388
gene:AFUB_019110,154,186,160,460,386,488
gene:AFUB_019120,23,14,39,122,71,110
gene:AFUB_019130,1656,2593,2557,5149,6562,8320
gene:AFUB_019140,534,506,580,1030,1196,1338
gene:AFUB_019150,1729,1983,2083,3297,3397,4338
gene:AFUB_019160,952,714,882,2166,2137,2877
gene:AFUB_019170,95,100,103,200,211,305
gene:AFUB_019180,13234,15894,17441,6874,7810,9177
gene:AFUB_019190,172,126,136,361,388,456
gene:AFUB_019200,979,901,1018,1303,1395,1637
gene:AFUB_019210,976,830,1022,1572,1592,1943
gene:AFUB_019220,937,1125,1204,1545,1743,1995
gene:AFUB_019230,41800,45190,52060,10021,9812,12580
gene:AFUB_019240,969,880,1060,831,813,1049
gene:AFUB_019250,1030,1172,1186,836,950,1022
gene:AFUB_019260,3991,4258,4474,3875,3512,4107
gene:AFUB_019270,640,690,894,1373,1257,1743
gene:AFUB_019280,1469,1962,2157,665,536,746
gene:AFUB_019290,1989,2540,2844,1288,1446,1795
gene:AFUB_019300,1012,866,942,4821,4212,5395
gene:AFUB_019310,1617,1550,2083,916,1004,968
gene:AFUB_019320,652,577,582,1331,1449,1770
gene:AFUB_019330,370,542,524,376,161,336
gene:AFUB_019340,32,24,24,68,59,80
gene:AFUB_019350,913,1199,1392,492,565,676
gene:AFUB_019360,2326,3027,3966,1059,1480,1435
gene:AFUB_019370,617,583,652,377,436,464
gene:AFUB_019380,2571,2699,3026,6166,4482,6582
gene:AFUB_019390,158,210,246,849,1088,1183
gene:AFUB_019400,228,1097,2022,4071,5645,5364
gene:AFUB_019410,13277,18280,20951,8828,8838,11428
gene:AFUB_019420,2,0,0,0,1,1
gene:AFUB_019430,1590,1935,2073,1397,1400,1780
gene:AFUB_019440,1897,2494,2635,3493,2595,4023
gene:AFUB_019450,2209,1775,1915,2883,2491,3293
gene:AFUB_019460,34,28,42,121,101,140
gene:AFUB_019470,3524,3924,4689,4450,4734,5684
gene:AFUB_019480,175,190,200,542,333,585
gene:AFUB_019490,816,995,1112,2637,2409,3410
gene:AFUB_019500,0,0,0,0,0,0
gene:AFUB_019510,1391,1381,1506,3199,2781,3908
gene:AFUB_019520,797,925,918,522,542,647
gene:AFUB_019530,3024,2055,2302,249,164,270
gene:AFUB_019540,1929,1735,2086,2346,2171,2873
gene:AFUB_019550,7,2,4,58,62,107
gene:AFUB_019560,1787,1656,1743,5117,4975,6343
gene:AFUB_019570,65,209,393,7864,7264,10337
gene:AFUB_019580,1,8,29,234,78,196
gene:AFUB_019590,628,1046,1486,6639,6631,8530
gene:AFUB_019600,31,50,72,1565,2028,2322
gene:AFUB_019610,565,485,514,1541,1342,1780
gene:AFUB_019620,2275,2013,2135,2143,1557,2223
gene:AFUB_019630,5772,6106,6307,11289,12120,14940
gene:AFUB_019640,696,571,604,2074,1989,2864
gene:AFUB_019650,1360,1500,1572,2151,2496,2713
gene:AFUB_019660,7225,7337,7973,4186,4155,5161
gene:AFUB_019670,289,291,252,1710,1828,2388
gene:AFUB_019680,1193,1623,1806,2595,2789,3413
gene:AFUB_019690,12140,12922,15436,11590,12197,15003
gene:AFUB_019700,1174,1242,1392,1698,1337,1906
gene:AFUB_019710,1615,1305,1340,13920,17075,18728
gene:AFUB_019720,0,0,0,0,0,0
gene:AFUB_019730,19092,18342,20203,16801,21390,23492
gene:AFUB_019740,868,1009,1352,973,710,977
gene:AFUB_019750,40,25,51,203,145,194
gene:AFUB_019760,416,346,380,535,452,575
gene:AFUB_019770,1433,1334,1373,3916,4383,5664
gene:AFUB_019780,6253,7987,8996,7857,7759,9989
gene:AFUB_019790,2267,3370,3801,3134,3102,3654
gene:AFUB_019800,838,1103,1303,773,780,1009
gene:AFUB_019810,2751,3663,4016,2569,2644,3512
gene:AFUB_019820,13,14,15,43,19,40
gene:AFUB_019830,1009,795,947,2053,1820,2495
gene:AFUB_019840,40,24,39,583,874,961
gene:AFUB_019850,1885,1957,2289,1715,1785,2604
gene:AFUB_019860,2183,2087,2131,3065,3095,3748
gene:AFUB_019870,935,794,892,768,713,887
gene:AFUB_019880,5573,5114,5756,5056,5060,5956
gene:AFUB_019890,0,0,0,3,3,5
gene:AFUB_019900,101,86,102,1109,1187,1332
gene:AFUB_019910,922,945,985,2274,2172,2622
gene:AFUB_019920,1104,933,935,3291,3476,4249
gene:AFUB_019930,1354,1235,1519,3793,3414,4319
gene:AFUB_019940,1347,640,778,3241,2884,3939
gene:AFUB_019950,1124,1296,1634,1073,844,1209
gene:AFUB_019960,1430,1082,1151,2114,1437,2299
gene:AFUB_019970,1702,1710,1949,90584,76059,107891
gene:AFUB_019980,260,179,207,3906,2205,3888
gene:AFUB_019990,519,387,406,1381,1575,1807
gene:AFUB_020000,649,596,652,1008,1047,1331
gene:AFUB_020010,101,67,76,262,252,290
gene:AFUB_020020,1397,1423,1527,1631,1702,2284
gene:AFUB_020030,14,14,6,50,41,49
gene:AFUB_020040,664,478,512,895,1034,1250
gene:AFUB_020050,27,22,30,447,480,634
gene:AFUB_020060,2992,3431,3419,1999,1748,2245
gene:AFUB_020070,6217,6472,7072,1548,1707,1991
gene:AFUB_020080,14,11,12,162,81,138
gene:AFUB_020090,7146,6979,7838,17335,11427,17177
gene:AFUB_020100,31123,36571,44226,10725,11952,12978
gene:AFUB_020110,55,49,52,110,45,81
gene:AFUB_020120,1736,1822,2102,3536,3651,4515
gene:AFUB_020130,1437,1245,1458,3264,3166,3935
gene:AFUB_020140,672,581,594,1634,1645,1897
gene:AFUB_020150,4143,3934,4253,6296,6828,8281
gene:AFUB_020160,668,737,872,1091,1337,1681
gene:AFUB_020170,1720,1506,1612,2502,2663,3198
gene:AFUB_020180,6105,5232,5714,8091,8137,10517
gene:AFUB_020190,21,16,17,56,40,63
gene:AFUB_020200,1809,2046,2336,2114,2549,2896
gene:AFUB_020210,1599,1571,1539,1657,1519,1940
gene:AFUB_020220,723,782,898,659,713,900
gene:AFUB_020230,518,477,567,786,816,918
gene:AFUB_020240,487,472,473,1770,1756,2197
gene:AFUB_020250,27,22,35,105,89,102
gene:AFUB_020260,6,4,8,100,174,165
gene:AFUB_020270,954,882,927,2351,1525,2468
gene:AFUB_020280,1812,1606,1694,2541,2569,3456
gene:AFUB_020290,3926,4127,4481,10381,10916,14071
gene:AFUB_020300,29,53,63,658,569,685
gene:AFUB_020310,1,0,1,1,9,4
gene:AFUB_020320,0,1,0,0,0,0
gene:AFUB_020330,1820,2036,2398,1539,1828,2025
gene:AFUB_020340,472,342,372,1403,1435,1621
gene:AFUB_020350,402,351,335,696,716,939
gene:AFUB_020360,10949,12456,14023,11464,14624,16041
gene:AFUB_020370,1278,1625,2065,4254,6450,6624
gene:AFUB_020380,4134,4892,5452,3132,3111,3920
gene:AFUB_020390,1798,1840,2195,2750,3168,3879
gene:AFUB_020400,795,765,906,1082,1050,1395
gene:AFUB_020410,983,1230,1354,1740,2033,2553
gene:AFUB_020420,906,748,795,1756,1598,2124
gene:AFUB_020430,1119,825,941,2516,2143,2776
gene:AFUB_020440,1215,1119,1213,1120,1035,1475
gene:AFUB_020450,21825,25890,31121,8818,9024,11284
gene:AFUB_020460,4024,4325,5005,5777,5165,7039
gene:AFUB_020470,4263,4313,5208,3408,3963,4917
gene:AFUB_020480,967,807,818,3402,3404,4223
gene:AFUB_020490,5094,7169,7791,4689,5109,6190
gene:AFUB_020500,410,437,452,423,413,485
gene:AFUB_020510,902,743,758,1403,1155,1544
gene:AFUB_020520,895,525,611,1022,1027,1231
gene:AFUB_020530,2137,2578,2482,3889,3429,4473
gene:AFUB_020540,225,159,224,886,898,1419
gene:AFUB_020550,319,181,230,1308,1066,1534
gene:AFUB_020560,905,1444,2185,12829,16576,19014
gene:AFUB_020570,2009,3751,2952,2149,2375,2651
gene:AFUB_020580,98,72,87,418,282,422
gene:AFUB_020630,195,167,197,700,586,803
gene:AFUB_020640,422,396,369,1089,1062,1448
gene:AFUB_020650,6489,5516,5956,7533,6244,8440
gene:AFUB_020660,7393,9591,11331,6152,6129,7676
gene:AFUB_020670,38320,44849,55159,15496,17612,19706
gene:AFUB_020680,182,172,193,460,446,572
gene:AFUB_020690,37350,42080,43911,22886,17657,25185
gene:AFUB_020700,5,6,7,22,14,19
gene:AFUB_020710,560,558,562,351,396,487
gene:AFUB_020720,1958,1856,1889,1801,1521,1888
gene:AFUB_020730,1851,1894,2014,3880,4020,4999
gene:AFUB_020740,70,61,47,97,88,145
gene:AFUB_020750,757,1019,1153,2223,2026,2766
gene:AFUB_020760,32,23,33,41,28,51
gene:AFUB_020770,6339,5288,5906,5829,4684,6562
gene:AFUB_020780,2671,2560,2655,2223,1734,2395
gene:AFUB_020790,25035,25821,32070,13619,14513,17091
gene:AFUB_020800,23,12,22,352,330,655
gene:AFUB_020810,747,810,897,579,576,692
gene:AFUB_020820,488,402,451,1980,1476,2132
gene:AFUB_020830,3569,3681,3926,4925,4768,5931
gene:AFUB_020840,307,314,309,479,551,707
gene:AFUB_020850,43,46,39,285,274,427
gene:AFUB_020860,2531,2704,2953,4018,4796,5606
gene:AFUB_020870,116,81,85,124,142,162
gene:AFUB_020880,644,691,740,1152,1068,1388
gene:AFUB_020890,1027,944,1111,859,894,1222
gene:AFUB_020900,12857,10932,12790,2072,1291,2390
gene:AFUB_020910,2127,2504,2910,2089,1919,2681
gene:AFUB_020920,212,197,242,1336,1321,1829
gene:AFUB_020930,1061,797,929,2193,2643,3304
gene:AFUB_020940,1769,1715,1860,1560,1629,2013
gene:AFUB_020950,1138,1226,1455,2361,2503,3267
gene:AFUB_020960,173,171,183,1060,1235,1455
gene:AFUB_020970,114,82,105,270,223,297
gene:AFUB_020980,462,303,384,1620,1418,1747
gene:AFUB_020990,2419,2271,2227,2317,2383,2720
gene:AFUB_021000,5535,7445,7938,3963,3406,4604
gene:AFUB_021010,2,3,6,102,46,82
gene:AFUB_021020,1271,1813,1990,4804,4944,5758
gene:AFUB_021030,0,0,0,7,5,5
gene:AFUB_021040,377,322,333,1526,2023,2123
gene:AFUB_021050,4,6,9,83,73,89
gene:AFUB_021060,192,309,331,1657,1837,2387
gene:AFUB_021070,1151,846,854,1971,2126,2566
gene:AFUB_021080,2188,2460,2633,4332,6092,6131
gene:AFUB_021090,413,407,437,4580,4644,5396
gene:AFUB_021100,1571,1344,1505,2399,2182,2864
gene:AFUB_021110,1190,1366,1547,1211,1214,1546
gene:AFUB_021120,844,731,841,759,663,820
gene:AFUB_021130,1817,3028,4373,541,387,529
gene:AFUB_021140,30,51,46,76,44,76
gene:AFUB_021150,10090,6846,8683,2243,2318,2729
gene:AFUB_021160,1230,1799,1889,1328,1314,1493
gene:AFUB_021170,1313,1958,2107,1533,1533,1755
gene:AFUB_021180,1237,1190,1326,1604,1628,1935
gene:AFUB_021190,31,44,32,119,148,158
gene:AFUB_021200,51984,51800,66559,15284,15728,19526
gene:AFUB_021210,1571,1460,1514,1356,1191,1530
gene:AFUB_021220,708,1671,1840,797,804,923
gene:AFUB_021230,23,25,18,53,50,63
gene:AFUB_021240,2117,2609,3243,11979,11914,17115
gene:AFUB_021250,0,2,3,124,156,213
gene:AFUB_021260,490,864,1018,28492,22068,30838
gene:AFUB_021270,41,69,70,18979,12371,20715
gene:AFUB_021280,39,56,51,6695,3480,6734
gene:AFUB_021290,101,134,105,4593,3566,5018
gene:AFUB_021300,188,311,279,4147,3050,4496
gene:AFUB_021310,21,52,32,1719,1397,2150
gene:AFUB_021320,136,217,159,2272,1689,2426
gene:AFUB_021330,1125,1685,1763,1201,1315,1456
gene:AFUB_021340,405,364,488,676,550,950
gene:AFUB_021350,361,239,291,2525,2974,3193
gene:AFUB_021360,669,706,852,741,723,931
gene:AFUB_021370,14004,16497,20432,21371,20191,25855
gene:AFUB_021380,66,30,28,311,333,358
gene:AFUB_021390,81,102,90,141,137,165
gene:AFUB_021400,188,156,165,753,605,830
gene:AFUB_021410,1477,1423,1652,1443,1575,1839
gene:AFUB_021420,2,8,11,54,42,56
gene:AFUB_021430,1249,1027,1094,3150,3141,3869
gene:AFUB_021440,1765,967,1246,1214,1120,1282
gene:AFUB_021450,0,0,2,16,10,28
gene:AFUB_021460,1648,1538,1563,3626,3825,4810
gene:AFUB_021470,2801,3680,3920,7151,7359,9332
gene:AFUB_021480,1205,1207,1361,5745,5286,6711
gene:AFUB_021490,4846,4748,6232,29509,37825,44508
gene:AFUB_021500,533,551,674,1147,1152,1456
gene:AFUB_021510,4,4,9,15,11,20
gene:AFUB_021520,374,274,377,1186,1115,1537
gene:AFUB_021530,14,15,4,83,61,88
gene:AFUB_021540,171,128,149,330,259,449
gene:AFUB_021550,415,404,514,968,1083,1328
gene:AFUB_021560,5,4,5,25,11,30
gene:AFUB_021570,1,3,7,39,26,63
gene:AFUB_021580,656,750,814,511,498,681
gene:AFUB_021590,270,283,333,1480,1877,1831
gene:AFUB_021600,7,5,12,33,49,48
gene:AFUB_021610,228,143,221,1764,1885,2471
gene:AFUB_021620,116,63,97,534,543,672
gene:AFUB_021630,12,2,8,64,51,71
gene:AFUB_021640,75,51,43,267,237,336
gene:AFUB_021650,3,12,11,191,195,199
gene:AFUB_021660,1645,2145,2141,2894,3615,3962
gene:AFUB_021670,13410,14182,15151,13883,12385,17353
gene:AFUB_021680,2263,2217,2354,4457,4638,5491
gene:AFUB_021690,2092,1827,2032,2590,2366,2741
gene:AFUB_021700,1600,1635,1761,3216,3703,4248
gene:AFUB_021710,1046,1037,1156,2366,2230,2907
gene:AFUB_021720,87,112,109,16,9,12
gene:AFUB_021730,8672,9471,9992,3153,2834,3578
gene:AFUB_021740,6560,6211,7126,1763,1844,2173
gene:AFUB_021750,1002,993,1136,4251,4165,5327
gene:AFUB_021760,1020,992,1174,3914,4154,4889
gene:AFUB_021770,622,716,739,2246,2027,2883
gene:AFUB_021800,2153,1969,2282,4536,3961,5173
gene:AFUB_021810,395,521,492,9799,10547,12286
gene:AFUB_021820,2247,3735,4071,2638,1934,2981
gene:AFUB_021830,1038,953,993,1451,1141,1504
gene:AFUB_021840,1438,2014,2383,2397,2695,3500
gene:AFUB_021850,12258,14414,15673,18062,17212,22685
gene:AFUB_021860,1374,1149,1238,1820,1772,2225
gene:AFUB_021870,1007,1008,949,983,1067,1346
gene:AFUB_021880,648,648,711,3897,3563,4828
gene:AFUB_021890,423,532,501,5311,5136,6470
gene:AFUB_021900,8,18,16,2018,2656,2661
gene:AFUB_021910,167,192,197,596,625,723
gene:AFUB_021920,5083,3470,4081,1908,1897,2376
gene:AFUB_021930,1528,1557,1756,2227,2021,2613
gene:AFUB_021940,3470,3961,4501,3677,4493,5131
gene:AFUB_021950,3068,3296,3778,3587,3131,4319
gene:AFUB_021960,728,1035,1201,6090,8570,8812
gene:AFUB_021970,2935,3877,3507,1744,1556,2157
gene:AFUB_021980,275,290,291,332,353,368
gene:AFUB_021990,1617,1402,1573,4517,3847,5094
gene:AFUB_022000,2353,2630,2951,1727,1707,1979
gene:AFUB_022010,1710,1696,2118,1303,1509,1558
gene:AFUB_022020,893,805,931,500,527,628
gene:AFUB_022030,166,196,141,477,486,498
gene:AFUB_022040,1565,1406,1349,2122,1976,2380
gene:AFUB_022050,375,423,490,320,410,402
gene:AFUB_022060,486,547,579,1813,1686,2135
gene:AFUB_022070,1086,945,1026,1471,1635,1975
gene:AFUB_022080,129,105,155,183,281,337
gene:AFUB_022090,3173,12115,11730,15009,12831,22035
gene:AFUB_022100,532,414,520,196,116,221
gene:AFUB_022109,1144,1229,1219,2913,2671,3666
gene:AFUB_022110,645,740,863,139,149,182
gene:AFUB_022120,299,325,401,314,300,400
gene:AFUB_022130,726,667,817,445,436,611
gene:AFUB_022140,1720,1981,2357,1403,1588,2140
gene:AFUB_022150,48,54,68,271,173,259
gene:AFUB_022160,687,972,1067,3666,3154,4200
gene:AFUB_022170,96,46,72,298,315,327
gene:AFUB_022180,123,59,87,559,541,673
gene:AFUB_022200,112,76,63,189,137,189
gene:AFUB_022210,2,0,1,19,27,29
gene:AFUB_022220,157,179,169,707,1018,1078
gene:AFUB_022230,526,413,439,1516,1820,2299
gene:AFUB_022240,1810,1571,1668,3169,2731,3449
gene:AFUB_022250,58,57,84,72,56,78
gene:AFUB_022260,13,17,23,161,213,260
gene:AFUB_022270,160,122,127,299,323,460
gene:AFUB_022280,1066,949,954,2119,2211,2551
gene:AFUB_022290,20,23,24,134,149,178
gene:AFUB_022300,0,0,5,147,42,124
gene:AFUB_022310,1,1,0,39,13,28
gene:AFUB_022320,41,50,92,2076,2218,2978
gene:AFUB_022330,0,0,0,4,3,2
gene:AFUB_022340,428,330,321,528,535,578
gene:AFUB_022350,364,345,372,291,269,314
gene:AFUB_022360,523,471,474,350,370,441
gene:AFUB_022370,8484,8450,9176,11878,12516,16203
gene:AFUB_022380,170,148,176,215,88,156
gene:AFUB_022390,150,148,180,482,405,532
gene:AFUB_022400,7,10,9,234,231,320
gene:AFUB_022410,201,207,198,310,218,312
gene:AFUB_022420,788,675,694,1443,1277,1559
gene:AFUB_022430,288,182,219,645,548,746
gene:AFUB_022440,1477,1043,1129,3647,2899,3821
gene:AFUB_022450,1938,2471,2867,1705,1545,2116
gene:AFUB_022460,3957,4352,4767,1203,1137,1412
gene:AFUB_022470,2216,2178,1969,3050,2919,3836
gene:AFUB_022480,520,1454,2002,14432,16125,19743
gene:AFUB_022490,1384,1355,1200,2028,1740,2266
gene:AFUB_022500,690,886,870,512,546,654
gene:AFUB_022510,2952,3885,4286,3376,3608,4342
gene:AFUB_022520,8030,8885,10164,4036,4511,5321
gene:AFUB_022530,3716,4343,4586,1251,1614,1746
gene:AFUB_022540,2985,3413,3767,6170,5197,7082
gene:AFUB_022550,1010,918,1044,3384,3223,4149
gene:AFUB_022560,3032,3754,4261,4487,4272,5212
gene:AFUB_022570,4430,5288,6097,3685,3607,4362
gene:AFUB_022580,1804,2475,2872,1426,1321,1656
gene:AFUB_022590,700,603,799,796,738,949
gene:AFUB_022600,888,1012,1004,1191,1319,1541
gene:AFUB_022610,1504,1580,1815,2099,2372,3032
gene:AFUB_022620,366,289,353,195,193,233
gene:AFUB_022630,3455,3078,3478,5082,4526,5912
gene:AFUB_022640,1033,1273,1399,2097,1909,2458
gene:AFUB_022650,726,711,882,12067,12578,17340
gene:AFUB_022660,36,27,19,250,174,270
gene:AFUB_022670,109,108,100,355,250,378
gene:AFUB_022680,9142,11206,13145,7380,7460,9726
gene:AFUB_022690,2,1,1,1,1,2
gene:AFUB_022700,2856,2066,2167,453,385,479
gene:AFUB_022710,1337,1104,1452,2030,2048,2658
gene:AFUB_022720,172,170,193,83,115,111
gene:AFUB_022730,45,35,55,311,171,311
gene:AFUB_022740,1454,1621,1596,3783,3490,4655
gene:AFUB_022750,712,934,1095,4741,5028,6689
gene:AFUB_022760,401,440,405,2140,1640,2358
gene:AFUB_022770,1853,1460,1562,1281,1350,1555
gene:AFUB_022780,99,90,94,388,311,441
gene:AFUB_022790,825,857,933,478,515,564
gene:AFUB_022800,449,385,439,1067,1007,1352
gene:AFUB_022810,907,959,1000,1332,1286,1807
gene:AFUB_022820,2012,1822,1845,1105,1071,1330
gene:AFUB_022830,2059,2078,2241,1596,1696,1964
gene:AFUB_022840,141,168,176,563,729,828
gene:AFUB_022850,1639,2068,2486,3000,3515,3900
gene:AFUB_022860,568,413,557,498,359,476
gene:AFUB_022870,410,313,348,540,495,605
gene:AFUB_022880,3257,3045,3867,3294,3364,4049
gene:AFUB_022890,1950,1886,1913,3064,2533,3362
gene:AFUB_022910,1,1,1,10,10,10
gene:AFUB_022920,1330,651,786,384,313,529
gene:AFUB_022930,852,935,1008,1575,1517,2084
gene:AFUB_022940,880,1000,1047,1333,1452,1676
gene:AFUB_022950,15265,13521,14956,7079,7260,8995
gene:AFUB_022960,228,88,139,226,167,218
gene:AFUB_022970,2544,3894,4377,3779,3935,5070
gene:AFUB_022980,685,689,600,2633,2973,3687
gene:AFUB_022990,7456,9162,9201,3132,3439,4210
gene:AFUB_023000,631,603,745,917,1059,1133
gene:AFUB_023010,1273,893,1043,2695,2398,3323
gene:AFUB_023020,67,73,67,234,261,295
gene:AFUB_023030,887,796,817,1328,1331,1737
gene:AFUB_023040,2,2,3,38,33,55
gene:AFUB_023080,1968,3339,4179,24439,27283,32435
gene:AFUB_023090,56,54,86,179,163,234
gene:AFUB_023100,1511,1693,1657,2727,2520,3265
gene:AFUB_023110,2304,2520,3124,1552,1755,1960
gene:AFUB_023120,2282,2282,2572,4546,5408,6019
gene:AFUB_023130,2674,2158,2122,3359,3834,4627
gene:AFUB_023140,1065,880,953,1244,1332,1521
gene:AFUB_023150,2552,2399,2765,13727,11448,16422
gene:AFUB_023160,740,635,684,1226,1150,1416
gene:AFUB_023170,3789,3985,4038,4844,4680,6174
gene:AFUB_023180,2474,1891,2468,2542,3029,3893
gene:AFUB_023190,2674,3025,3332,3004,3264,3950
gene:AFUB_023200,436,474,436,481,500,566
gene:AFUB_023210,327,322,277,752,592,854
gene:AFUB_023220,2541,2136,2627,2087,2262,2668
gene:AFUB_023230,8686,9887,9807,8825,8263,10718
gene:AFUB_023240,6,4,7,33,35,41
gene:AFUB_023250,981,790,786,1727,1647,1926
gene:AFUB_023260,3021,3107,3168,5615,5325,6375
gene:AFUB_023270,1810,1812,2051,3936,4050,5433
gene:AFUB_023280,2567,2714,3185,3534,3148,4147
gene:AFUB_023290,85,65,78,1082,1417,1532
gene:AFUB_023300,1709,1918,2144,4871,3354,5127
gene:AFUB_023310,8137,9692,11584,10411,10713,13484
gene:AFUB_023320,1357,1156,1283,2888,3229,4041
gene:AFUB_023330,995,900,920,2499,2110,2757
gene:AFUB_023340,176,151,125,590,365,648
gene:AFUB_023350,14,8,11,73,64,74
gene:AFUB_023360,1629,1434,1442,1531,1810,2037
gene:AFUB_023370,470,443,403,1444,1660,1957
gene:AFUB_023380,530,431,450,1346,1420,1678
gene:AFUB_023390,8221,9974,10623,7569,7273,9324
gene:AFUB_023400,3829,3284,4100,7656,7961,9363
