Replicate,Strain,Treatment
1,QMY23,Control
1,QMY23,BM
1,QMY23,MSB
1,QMY23,BM + MSB
1,CaPPZ1^,Control
1,CaPPZ1^,BM
1,CaPPZ1^,MSB
1,CaPPZ1^,BM + MSB
2,QMY23,Control
2,QMY23,BM
2,QMY23,MSB
2,QMY23,BM + MSB
2,CaPPZ1^,Control
2,CaPPZ1^,BM
2,CaPPZ1^,MSB
2,CaPPZ1^,BM + MSB
3,QMY23,Control
3,QMY23,BM
3,QMY23,MSB
3,QMY23,BM + MSB
3,CaPPZ1^,Control
3,CaPPZ1^,BM
3,CaPPZ1^,MSB
3,CaPPZ1^,BM + MSB
