Replicate,Genotype,Culture_State
1,cyr1∆/∆,pH 4
2,cyr1∆/∆,pH 4
1,cyr1∆/∆:CYR1,pH 4
2,cyr1∆/∆:CYR1,pH 4
1,cyr1∆/∆,pH 7
2,cyr1∆/∆,pH 7
1,cyr1∆/∆:CYR1,pH 7
2,cyr1∆/∆:CYR1,pH 7
