Replicate,Genotype
1,WT
2,WT
3,WT
1,BprS Mutant
2,BprS Mutant
3,BprS Mutant
1,BprR Mutant
2,BprR Mutant
3,BprR Mutant
1,BprSR Double Mutant
2,BprSR Double Mutant
3,BprSR Double Mutant
