Replicate,Genotype,Time
1,Delta-purR,3 hr
2,Delta-purR,3 hr
1,Delta-purR,5 hr
2,Delta-purR,5 hr
1,WT,3 hr
2,WT,3 hr
1,WT,5 hr
2,WT,5 hr
