Replicate,Genotype
1,MS2-plasmid
2,MS2-plasmid
1,MS2-RsaI plasmid
2,MS2-RsaI plasmid
3,MS2-RsaI plasmid
1,MS2-RsaI mutant
2,MS2-RsaI mutant
