,4hcon1,4hcon2,4hcys1,4hcys2,8hcon1,8hcon2,8hcys1,8hcys2,12hcon1,12hcon2,12hcys1,12hcys2
CDR20291_0001,768,867,529,894,170,292,521,350,260,286,147,216
CDR20291_0002,1167,1149,864,1322,315,452,828,656,370,444,276,438
CDR20291_0003,9647,10321,10100,11496,4146,4690,6650,6718,1952,2665,725,1070
CDR20291_0004,1177,1172,1016,1681,208,477,1108,507,378,652,155,395
CDR20291_0005,2863,2893,1610,3047,469,914,1669,856,422,547,160,435
CDR20291_0006,3594,3761,3235,3948,452,840,1234,806,440,596,113,220
CDR20291_0007,10484,9313,8469,10089,2047,3111,3900,3516,1839,2597,530,923
CDR20291_0008,2156,2031,2127,3273,663,842,1095,1075,522,675,469,676
CDR20291_0009,309,377,148,335,13,43,41,20,12,16,11,29
CDR20291_0010,7301,7296,9191,9355,4984,5743,4943,5307,5669,6150,4165,7125
CDR20291_0011,2410,2220,2857,4271,26954,26200,16382,14419,13330,15050,19519,14045
CDR20291_0012,690,493,1190,887,1065,1072,2055,2223,547,590,1671,2509
CDR20291_0013,567,653,1286,1056,1239,1014,2963,2756,627,602,2424,1999
CDR20291_0014,1501,1670,2657,2890,2744,2389,8023,7973,1530,1451,6798,4481
CDR20291_0015,8284,8557,15333,14440,17237,15370,51223,68316,6900,7079,31580,30659
CDR20291_0016,3162,3429,3673,4413,1496,2359,5488,5176,1337,1659,1925,2237
CDR20291_0017,1240,1504,1479,1799,419,731,2201,1553,630,795,388,639
CDR20291_0018,4807,4347,4634,6070,1868,2608,4245,3966,2026,2817,1392,2641
CDR20291_0019,3594,3404,2862,3530,1178,1409,2123,1816,1078,1442,300,451
CDR20291_0020,261,202,238,353,80,104,196,140,46,77,60,68
CDR20291_0021,33,18,21,31,25,21,23,38,12,20,11,24
CDR20291_0022,52,51,35,50,40,72,84,76,48,40,14,31
CDR20291_0023,132,126,89,131,35,55,63,72,47,35,18,29
CDR20291_0024,77,105,69,124,138,296,63,103,106,219,163,234
CDR20291_0025,284,271,205,277,970,1357,112,87,1436,2576,403,290
CDR20291_0026,343,333,268,292,1110,1351,174,95,1996,3219,553,299
CDR20291_0027,409,409,365,372,1239,1486,164,156,2435,3903,598,348
CDR20291_0028,1069,919,878,989,3586,4113,502,466,6949,11395,1646,977
CDR20291_0029,81,87,83,77,43,34,50,68,67,56,104,134
CDR20291_0030,32,28,25,35,25,31,48,24,6,5,10,7
CDR20291_0031,97,74,83,94,104,81,133,124,7,21,19,15
CDR20291_0032,35,38,55,45,29,12,50,41,30,25,27,20
CDR20291_0034,12,17,19,17,11,15,14,16,5,2,0,9
CDR20291_0035,313,280,302,513,178,224,279,221,11,20,12,10
CDR20291_0036,403,480,349,653,126,167,218,159,154,200,120,218
CDR20291_0037,644,628,621,1026,211,250,283,278,109,155,92,140
CDR20291_0038,9761,9138,11280,19493,3612,4349,3327,4502,171,274,70,186
CDR20291_0039,39656,39797,63339,82822,9772,11557,9108,7872,2312,3080,1111,2045
CDR20291_0040,14217,12601,13130,15115,2452,3261,4617,4405,5610,6948,2617,2522
CDR20291_0041,27192,29392,43817,32171,61917,50718,56868,52745,2026,2430,1294,1596
CDR20291_0042,10475,10293,15917,11923,28707,20720,24183,26422,30232,29109,114520,45282
CDR20291_0043,3640,3725,5334,4633,3361,3306,5837,4705,12443,11953,47552,24551
CDR20291_0044,1795,1973,2869,2651,1684,1615,3047,2532,2170,2600,3651,1967
CDR20291_0045,4789,4497,6540,6316,3814,3620,6719,5591,1145,1390,1881,953
CDR20291_0046,3140,2979,3939,3949,1756,1924,2971,2591,2845,3373,4487,2254
CDR20291_0047,1032,956,1181,1172,486,543,764,773,1431,1755,1787,1050
CDR20291_0048,3124,3108,3904,3665,1857,1979,2451,2340,383,441,385,278
CDR20291_0049,1673,1644,2020,1986,737,747,986,857,1460,1535,1268,958
CDR20291_0050,3790,3448,3726,3856,1049,1203,1472,1229,597,677,471,351
CDR20291_0051,232869,213034,189620,210975,19278,24949,29047,28699,930,961,564,447
CDR20291_0052,1565,1346,919,1326,79,86,114,100,13411,16298,4134,6277
CDR20291_0053,6642,5888,4453,6619,351,414,587,474,64,100,16,30
CDR20291_0054,20199,17928,13419,19752,979,1348,1563,1354,347,464,71,147
CDR20291_0055,25161,22250,18575,22545,1082,1346,1520,1215,942,1370,196,375
CDR20291_0056,59654,50504,44477,54379,2795,3602,3705,3097,872,1251,155,277
CDR20291_0057,67348,56858,50619,61142,2920,3792,2939,2284,2303,2982,385,726
CDR20291_0058,71114,47163,48926,58230,3253,4622,3993,3238,2748,3892,185,456
CDR20291_0059,8503,8775,8904,12162,7194,8031,10756,9956,2659,4102,260,842
CDR20291_0060,44915,44788,30946,48126,5024,7654,13171,9795,7045,7741,6058,7898
CDR20291_0061,65807,61885,51247,55940,10469,12581,15064,14996,5668,7809,1818,3647
CDR20291_0062,41006,39382,31047,38345,1882,2568,2947,2791,9177,10582,2416,2824
CDR20291_0063,35718,34412,26849,31996,1446,1970,2229,2202,1675,2552,210,729
CDR20291_0064,176459,153394,134797,152878,8937,12787,12983,12876,1382,1852,152,454
CDR20291_0065,16248,14518,12892,14335,758,1067,1027,923,6826,9213,927,2688
CDR20291_0066,17384,14877,12323,14650,904,1255,961,801,625,873,56,192
CDR20291_0067,37502,31113,28745,32207,2405,3067,2402,2202,1386,2029,108,270
CDR20291_0068,36105,29462,26837,29548,2157,2936,2185,1938,3244,4639,258,781
CDR20291_0069,14828,12664,11023,11926,907,1171,771,744,3117,4234,218,554
CDR20291_0070,41692,32914,32085,32742,2727,3529,2360,2263,1324,1834,103,236
CDR20291_0071,10112,8459,8096,8419,712,854,586,581,3686,4875,287,591
CDR20291_0072,12920,11380,9764,10226,866,1055,703,545,1035,1289,56,115
CDR20291_0073,46335,38792,33814,34913,2543,3532,2033,1786,1240,1376,62,102
CDR20291_0074,26577,22684,19576,20212,1522,1935,1095,921,3749,4466,254,412
CDR20291_0075,10255,9042,7916,7770,630,781,497,358,2024,2335,110,189
CDR20291_0076,9798,8436,7234,7283,564,676,430,343,776,957,29,85
CDR20291_0077,16158,13994,12103,11994,818,1076,658,520,669,848,32,75
CDR20291_0078,14315,12227,10759,10922,771,922,603,471,959,1245,38,110
CDR20291_0079,19421,16383,14260,15393,929,1261,837,589,833,1058,47,89
CDR20291_0080,3475,2861,2564,2657,168,216,170,92,1167,1382,40,144
CDR20291_0081,15363,13234,11461,11495,646,793,645,391,168,262,9,18
CDR20291_0082,23487,19611,18386,18698,936,1185,1034,582,872,1090,32,78
CDR20291_0083,19145,17411,14912,15032,849,1031,794,473,1293,1473,42,131
CDR20291_0084,24092,21727,19702,19180,1019,1343,1068,703,879,1151,35,94
CDR20291_0085,5901,5277,5129,4877,266,329,271,187,1222,1571,48,126
CDR20291_0086,22885,18760,20505,18495,1116,1459,1274,866,334,373,20,35
CDR20291_0087,49395,40785,32304,39846,2255,3514,2742,1665,1274,1652,68,177
CDR20291_0088,24193,20237,14887,18259,913,1386,1528,841,2361,3092,109,345
CDR20291_0089,29425,25574,17190,21941,1184,1789,1810,994,1178,1548,70,194
CDR20291_0090,6262,5529,3531,4891,200,266,289,151,1393,1881,79,242
CDR20291_0091,4944,4614,3166,4125,168,233,294,180,251,330,15,45
CDR20291_0092,492,342,351,364,15,33,16,13,213,278,10,24
CDR20291_0093,14113,12371,9577,11816,440,583,746,426,17,33,0,6
CDR20291_0094,23067,21132,17637,19232,828,1194,1288,844,550,726,66,166
CDR20291_0095,40748,34189,33753,34146,1524,2063,2637,1680,994,1192,132,245
CDR20291_0096,73995,66407,62043,60760,2705,3717,4399,2950,1827,2287,246,527
CDR20291_0097,19188,13145,16337,16049,936,1311,1679,1115,3174,4114,362,856
CDR20291_0098,1516,1550,1118,1944,359,528,1223,824,1026,1459,124,275
CDR20291_0100,2320,2176,1622,2137,391,553,942,780,630,830,282,602
CDR20291_0101,2524,2172,1744,2093,301,439,590,651,543,587,156,312
CDR20291_0103,41513,34101,28026,35858,2892,3886,4502,3905,336,449,117,205
CDR20291_0104,901,880,765,815,114,233,150,118,2685,3874,543,2489
CDR20291_0105,14278,16023,18984,21647,8581,10658,6747,6205,109,118,54,90
CDR20291_0106,8853,8200,9865,14287,4156,6776,13314,10528,5649,8028,2933,3750
CDR20291_0107,3432,3515,4061,4884,2210,2595,4392,4034,1369,1627,786,1917
CDR20291_0108,926,922,860,1192,320,430,932,506,553,620,375,702
CDR20291_0109,2752,2481,1963,3397,1110,1464,2373,1909,567,741,313,545
CDR20291_0110,173,121,145,171,263,275,336,262,1289,1549,880,1946
CDR20291_0111,9755,9051,6478,9485,9692,11261,16867,11651,168,296,176,394
CDR20291_0112,20172,17835,11892,15798,23077,24489,32345,26180,6514,8120,5277,7846
CDR20291_0113,16514,14935,10600,13330,38294,35111,37612,32765,10403,12171,8419,7206
CDR20291_0114,8733,8432,5645,7050,23686,22000,21706,19892,17494,21138,9419,5426
CDR20291_0115,59231,52196,44010,51178,148423,136516,170737,161380,12905,15140,5398,2504
CDR20291_0116,42086,36636,31499,35907,103148,97424,118059,116279,39272,48911,46548,19296
CDR20291_0117,39041,29860,29984,32620,103850,101338,119704,119155,30151,37258,34917,14034
CDR20291_0118,12191,13295,12626,19030,2416,2684,4244,3320,30589,39230,33755,15171
CDR20291_0119,14624,14712,16056,24502,2552,2925,3597,3274,4993,7467,1562,5913
CDR20291_0120,637,677,568,702,52,111,160,113,3833,4673,2362,5951
CDR20291_0121,184,219,180,268,36,64,52,42,93,130,44,137
CDR20291_0122,2866,2865,2400,4251,449,650,952,722,55,81,8,18
CDR20291_0123,1767,1679,1142,2102,106,164,440,281,852,1197,217,632
CDR20291_0124,2344,2094,1483,2189,162,215,455,306,198,175,58,141
CDR20291_0125,125,142,80,171,10,27,47,24,195,247,88,408
CDR20291_0126,3505,3880,3119,4711,727,1246,1683,1210,13,13,6,23
CDR20291_0127,3077,3267,2804,3530,1033,1328,1641,1344,565,753,229,450
CDR20291_0128,296,294,231,308,16,52,69,87,614,932,208,477
CDR20291_0129,6824,6387,5340,7986,1283,2020,4118,3365,25,30,12,16
CDR20291_0130,11,9,14,23,22,15,6,28,956,1395,480,988
CDR20291_0131,627,637,479,816,72,105,190,152,19,19,17,36
CDR20291_0132,485,561,317,545,39,46,57,79,78,114,34,105
CDR20291_0133,887,905,780,998,430,552,825,750,23,47,8,24
CDR20291_0134,26,42,28,19,5,4,10,3,382,482,553,484
CDR20291_0135,56,62,57,45,10,4,23,19,1,7,3,6
CDR20291_0136,279,256,157,219,51,36,93,61,2,12,4,6
CDR20291_0137,92,82,47,51,5,6,15,15,14,20,23,36
CDR20291_0138,430,354,322,327,49,75,97,76,3,9,4,12
CDR20291_0139,177,181,101,127,25,21,35,43,27,30,19,36
CDR20291_0140,1411,956,1244,1290,3012,2825,2730,2211,5,3,7,22
CDR20291_0141,35435,24571,48998,40357,108462,93569,106217,94038,850,1367,1185,1774
CDR20291_0142,10712,10531,9791,13217,3022,4300,6759,5793,30651,43252,59193,62275
CDR20291_0143,4625,4681,4410,5021,1263,1420,2055,1977,2914,4231,1325,1741
CDR20291_0144,2146,1945,1725,2171,314,382,623,604,1144,1535,557,691
CDR20291_0145,1712,1650,1393,1575,256,337,459,458,247,325,119,184
CDR20291_0146,952,831,970,1378,1278,1444,1498,1528,245,295,98,138
CDR20291_0147,285,319,502,352,184,227,534,390,1022,1526,828,2325
CDR20291_0148,213,264,312,341,57,105,248,134,117,173,173,250
CDR20291_0149,424,363,400,663,128,231,413,289,46,90,82,99
CDR20291_0150,372,362,342,552,121,251,378,297,89,147,63,108
CDR20291_0152,4628,4530,3447,3983,2911,3516,5119,4237,94,133,75,102
CDR20291_0153,343,366,308,303,239,254,442,343,3163,3751,1049,1273
CDR20291_0154,1681,1550,1437,1579,1128,1211,1838,1511,191,204,84,59
CDR20291_0155,2092,2036,1842,2329,955,911,1200,1133,896,1035,316,326
CDR20291_0156,221,212,141,256,38,56,86,55,937,1141,573,725
CDR20291_0157,585,658,477,595,221,214,214,144,48,91,21,27
CDR20291_0158,9,41,32,51,8,7,2,7,94,152,77,128
CDR20291_0159,52,45,56,56,22,15,36,25,6,14,2,22
CDR20291_0160,70,82,53,47,28,31,38,51,21,31,28,31
CDR20291_0161,56,120,92,133,44,48,75,72,31,39,12,26
CDR20291_0162,50,59,61,42,92,68,84,92,34,81,26,41
CDR20291_0163,96,84,85,94,175,177,146,156,78,120,20,28
CDR20291_0164,26,23,24,45,30,22,45,38,190,213,40,35
CDR20291_0165,66,77,162,216,396,273,66,52,15,20,16,41
CDR20291_0166,82,83,331,231,1519,706,69,91,217,102,146,54
CDR20291_0167,506,507,490,761,165,240,398,386,737,436,363,74
CDR20291_0168,220,184,203,279,153,234,278,236,117,188,103,167
CDR20291_0169,2193,1851,2029,2346,523,727,1343,1265,127,179,115,197
CDR20291_0170,2545,2365,2414,3104,619,783,1677,1425,393,569,199,281
CDR20291_0171,27077,24888,26466,31209,17974,18539,18826,14568,389,586,287,414
CDR20291_0172,2766,2616,4128,3639,4539,6318,6897,4336,11438,15398,12572,14167
CDR20291_0173,10163,7061,10725,9794,11950,13218,19900,14401,2188,2376,2037,2537
CDR20291_0174,647,760,857,737,2164,1874,1907,1609,3565,4250,1025,1372
CDR20291_0175,29141,32511,64226,46198,245940,230363,145761,162131,1017,958,2548,1492
CDR20291_0176,4179,4275,8146,6661,42631,35912,19308,22352,58439,55460,208390,67297
CDR20291_0177,16029,15515,30593,23409,155239,132782,66954,85332,7256,7515,24278,9389
CDR20291_0178,5392,4903,4569,6807,2102,2464,6257,4810,25261,26751,77809,38029
CDR20291_0179,5556,5216,3088,4376,6398,5654,10993,8709,1004,1224,272,410
CDR20291_0180,158530,140515,101630,143839,291142,303476,435119,388797,801,1280,1280,736
CDR20291_0181,150,182,62,99,17,21,72,37,38520,53989,78479,46951
CDR20291_0182,806,751,563,850,201,277,387,289,14,25,7,9
CDR20291_0184,5274,5404,3556,10955,1176,3228,4679,3026,237,354,179,227
CDR20291_0185,752,977,449,1090,128,289,456,213,1165,3266,433,2658
CDR20291_0186,670,826,369,967,85,128,218,140,114,236,57,346
CDR20291_0187,1411,1621,971,1936,284,375,603,539,53,123,46,152
CDR20291_0188,5227,6334,4345,6249,567,913,1510,1296,216,337,134,386
CDR20291_0189,940,973,973,1105,1920,1918,2320,2060,599,1156,267,867
CDR20291_0190,607,679,564,700,152,328,475,406,1211,1687,1426,1606
CDR20291_0191,396,378,289,338,131,194,183,136,299,436,173,274
CDR20291_0192,868,1067,2506,1869,958,1115,2836,2560,73,78,34,93
CDR20291_0194,495,484,2022,2966,435,466,4200,3896,518,688,1087,867
CDR20291_0195,8617,8487,37903,45211,5944,6036,64442,74253,229,233,458,1049
CDR20291_0196,352,403,488,665,117,160,519,563,2543,2933,4946,15490
CDR20291_0198,22115,21245,19609,24727,8652,11546,11749,9718,104,124,88,212
CDR20291_0199,1843,1762,1466,1884,515,678,833,630,7795,9963,4079,6269
CDR20291_0200,685,557,538,614,130,178,255,190,452,553,224,345
CDR20291_0201,114,102,84,84,22,29,38,53,78,150,40,91
CDR20291_0202,48,65,56,73,18,25,37,23,16,41,15,22
CDR20291_0203,99,93,149,169,64,46,33,38,23,23,16,27
CDR20291_0204,919,908,1072,1407,470,446,240,181,51,66,6,27
CDR20291_0205,2386,2258,1399,2637,481,957,1674,1038,274,174,123,111
CDR20291_0206,879,885,309,639,3606,7796,414,217,363,619,130,230
CDR20291_0207,335,358,133,203,2686,4017,267,136,1572,2545,140,79
CDR20291_0208,1149,935,451,681,10970,14681,853,532,1490,1997,80,73
CDR20291_0209,333,238,133,181,3802,4539,283,143,8301,9221,358,229
CDR20291_0210,2258,1777,951,1392,30092,33909,1456,869,2554,2996,81,96
CDR20291_0211,358,408,250,371,2663,3305,214,131,18382,18404,277,153
CDR20291_0212,48,49,33,42,160,224,37,25,1497,1809,54,65
CDR20291_0213,18,21,16,20,66,80,10,3,136,130,9,10
CDR20291_0214,177,120,118,171,50,72,121,103,50,33,4,5
CDR20291_0215,386,445,356,509,225,204,306,228,45,82,9,69
CDR20291_0216,645,722,631,888,316,340,449,422,177,185,50,264
CDR20291_0217,2353,2300,1972,2620,875,911,1322,1264,301,312,90,287
CDR20291_0218,2287,2236,2075,2242,841,943,1094,1139,919,839,315,650
CDR20291_0219,768,946,755,860,268,298,373,370,875,743,280,579
CDR20291_0220,2269,2457,2226,2505,737,881,1048,1098,247,242,76,136
CDR20291_0221,2344,2375,2181,2370,719,1010,1112,1038,592,621,145,211
CDR20291_0222,13286,13944,12855,13904,6512,7016,7739,6989,570,575,176,202
CDR20291_0223,276,318,297,364,31,76,182,107,4575,5481,1714,1728
CDR20291_0224,3127,3167,3874,3816,756,1223,2749,1826,47,100,39,65
CDR20291_0225,1639,1710,1955,2195,604,814,1819,1451,773,850,308,461
CDR20291_0226,3124,3095,3427,3999,782,1160,2793,1824,396,515,503,902
CDR20291_0227,3087,3261,3587,4090,1010,1377,3054,2100,509,680,200,264
CDR20291_0228,2213,2479,2572,3113,732,940,2225,1530,669,798,322,232
CDR20291_0230,2226,1994,2979,2397,958,1004,2074,1684,366,469,197,196
CDR20291_0231,1927,1978,2717,2463,639,825,1798,1300,646,920,445,743
CDR20291_0232,8656,9234,11389,10993,3317,4403,8741,5772,538,659,354,483
CDR20291_0233,7633,8060,9268,9328,3701,4043,7702,5723,2257,3157,1262,1700
CDR20291_0234,2255,2281,2737,2822,1200,1305,2283,1825,1982,2547,1275,1285
CDR20291_0235,974,999,1136,1178,323,451,936,672,594,816,424,474
CDR20291_0236,3093,3300,3586,3609,964,1317,2996,2012,213,250,93,97
CDR20291_0237,2078,2345,2557,2615,657,873,1937,1210,694,856,292,272
CDR20291_0238,17829,17491,22299,21853,7348,9180,17905,13277,473,556,194,181
CDR20291_0239,1883,2082,2640,2731,1041,1008,1867,1453,4419,5530,2172,1823
CDR20291_0240,216596,225649,289961,297431,78640,90445,195741,140025,525,677,315,263
CDR20291_0241,4408,6418,6275,7857,803,1099,2396,1613,35969,49615,26458,30141
CDR20291_0242,6979,6730,7211,8134,1203,1775,3365,2543,451,826,145,262
CDR20291_0243,6390,6579,7035,8078,805,1432,3081,1868,809,1065,213,300
CDR20291_0244,1369,1777,1651,1978,255,271,585,376,797,955,142,214
CDR20291_0245,2936,3187,3315,3662,606,752,1385,943,152,229,63,55
CDR20291_0246,2616,3353,3117,3774,774,946,1587,1056,432,481,151,103
CDR20291_0247,2966,2980,3161,3834,581,873,1871,1096,416,614,149,171
CDR20291_0248,933,1012,741,1252,247,323,645,347,458,603,174,211
CDR20291_0249,1201,1272,1008,1695,345,576,803,497,146,258,82,160
CDR20291_0250,1135,1157,783,1571,259,388,562,352,193,252,93,183
CDR20291_0251,6240,6214,4332,7763,1094,1900,3341,1956,134,156,51,88
CDR20291_0252,4548,5019,2962,5056,863,1401,2387,1600,774,1077,315,367
CDR20291_0253,4329,4071,2939,4486,901,1583,2723,1851,751,1069,342,343
CDR20291_0254,11713,11785,8484,11006,2297,3543,4659,2901,862,1284,467,477
CDR20291_0255,1715,1513,1098,1555,202,348,503,323,2576,3989,548,850
CDR20291_0256,4948,4636,3197,4536,768,1246,1679,987,246,375,42,58
CDR20291_0257,2734,2508,1781,2691,629,899,814,507,963,1449,121,238
CDR20291_0258,7970,7911,6331,8298,1886,2462,2698,2037,692,991,76,133
CDR20291_0259,803,829,678,842,158,210,282,204,2337,2875,359,453
CDR20291_0260,5875,6020,5073,6055,1285,1325,1876,1300,255,295,36,37
CDR20291_0261,5750,5464,4695,5639,1017,1214,1682,1155,1500,2011,242,224
CDR20291_0262,2078,1985,1816,2233,461,401,631,456,1397,1717,167,226
CDR20291_0263,1206,1265,1106,1370,183,204,274,212,472,643,63,81
CDR20291_0264,3504,3641,2703,3914,437,683,973,614,252,371,24,28
CDR20291_0265,1334,990,878,1174,193,307,457,326,865,1053,51,94
CDR20291_0266,9134,8900,6895,10013,875,1460,2454,1569,325,490,46,29
CDR20291_0267,9310,9251,7514,10637,1122,1610,2803,1843,1651,2369,147,129
CDR20291_0268,3149,3182,2557,3446,311,486,816,484,2055,2907,327,293
CDR20291_0269,3762,3678,2978,4300,353,578,877,560,636,950,95,72
CDR20291_0270,1990,2121,1998,2452,202,354,559,329,763,962,92,57
CDR20291_0271,1460,1656,1365,1767,134,198,330,250,378,540,42,40
CDR20291_0272,8042,8773,9057,10153,1004,1242,1983,1516,254,405,36,25
CDR20291_0274,4810,5014,5247,5971,672,724,1086,796,1355,1827,176,195
CDR20291_0275,4942,5073,5916,6133,974,1075,1979,1390,631,902,105,76
CDR20291_0276,6723,7275,8016,9044,582,767,1114,745,730,904,150,222
CDR20291_0277,31672,32914,39739,47972,8470,9296,25336,26125,549,821,68,97
CDR20291_0278,580,569,679,967,765,799,794,679,3336,4819,2363,4573
CDR20291_0279,702,601,626,956,866,909,864,721,598,705,643,814
CDR20291_0280,343,280,237,296,161,231,155,125,658,575,615,651
CDR20291_0281,172,132,180,221,139,142,121,107,120,151,58,87
CDR20291_0282,140,113,111,121,396,331,1320,1683,63,99,38,78
CDR20291_0283,903,751,839,819,7257,6727,23675,28559,371,468,100,125
CDR20291_0284,17,16,15,18,37,26,115,100,6570,7203,2336,2403
CDR20291_0285,2127,2204,1846,2453,304,432,3897,3068,24,26,7,9
CDR20291_0286,1592,1387,1113,1753,1571,2217,3228,2488,403,489,255,343
CDR20291_0287,45,43,53,43,49,41,7654,5028,1299,1742,1109,1505
CDR20291_0288,37,37,39,37,52,45,6051,4399,49,52,50,30
CDR20291_0289,19,31,31,25,34,31,4479,3158,42,43,45,32
CDR20291_0290,28,39,32,38,51,68,6144,4683,27,33,37,18
CDR20291_0291,76,44,72,66,111,121,11569,9099,52,65,50,19
CDR20291_0292,93,55,79,88,230,171,21698,19086,86,90,65,43
CDR20291_0293,196,152,201,226,463,422,47631,43112,163,166,80,80
CDR20291_0294,37,15,39,51,66,71,9165,6485,334,288,144,154
CDR20291_0295,2411,2185,2214,2559,3911,3959,3801,3422,41,42,121,129
CDR20291_0296,1721,2072,1621,1917,2516,2544,2860,2186,2764,3465,3753,2849
CDR20291_0297,1604,1509,1526,1869,2281,2348,1990,1691,1768,2156,1685,892
CDR20291_0298,2089,2036,2029,2447,3253,3485,3195,3136,1415,2018,1078,663
CDR20291_0299,646,620,671,716,689,882,887,800,2283,2682,966,1043
CDR20291_0300,160,135,269,148,40,56,79,74,538,628,247,353
CDR20291_0301,1980,1475,6189,1532,167,206,891,1062,51,83,32,88
CDR20291_0302,588,701,1897,321,63,103,441,354,87,153,160,655
CDR20291_0303,461,325,645,178,194,209,575,409,56,104,132,294
CDR20291_0304,475,257,266,153,248,249,776,449,294,312,526,399
CDR20291_0305,218,146,65,72,162,143,518,240,411,484,696,403
CDR20291_0306,297,196,101,119,282,294,786,449,297,272,337,159
CDR20291_0307,268,148,121,140,324,328,852,561,468,559,645,209
CDR20291_0308,53,63,55,70,89,96,245,186,545,659,708,291
CDR20291_0309,115,80,110,140,42,55,79,79,144,156,220,102
CDR20291_0310,248,228,146,227,54,54,134,118,41,70,28,66
CDR20291_0311,936,1304,1053,1518,628,567,597,477,66,131,29,72
CDR20291_0312,2835,2968,2586,2977,1611,1867,1785,1503,530,876,214,575
CDR20291_0313,1285,1292,1241,1390,726,803,804,770,1885,2222,761,1252
CDR20291_0314,1095,1156,1203,1414,635,642,930,937,807,1039,350,578
CDR20291_0315,708,708,560,890,185,185,317,207,568,616,571,477
CDR20291_0316,151,158,334,217,191,269,537,443,242,369,78,222
CDR20291_0317,514,640,962,221,400,686,3524,2963,365,566,280,423
CDR20291_0318,4661,4787,2491,611,3387,3943,5868,6547,3093,4920,967,2896
CDR20291_0319,629,619,306,469,17,25,39,40,14267,21567,7300,13139
CDR20291_0320,69,54,87,94,11,16,21,31,18,17,11,20
CDR20291_0321,1177,1217,1998,2117,207,229,529,481,8,5,6,7
CDR20291_0322,770,793,1323,1485,120,172,342,306,102,185,86,92
CDR20291_0323,1293,1312,1901,2253,191,301,531,546,106,115,67,58
CDR20291_0324,579,556,828,936,145,273,480,408,163,289,85,126
CDR20291_0325,364,418,433,631,134,192,295,287,147,227,104,156
CDR20291_0326,97,130,94,164,46,66,114,79,88,151,92,94
CDR20291_0327,181,191,231,328,283,408,385,308,33,49,22,32
CDR20291_0328,492,483,536,862,655,873,799,611,272,361,194,248
CDR20291_0329,3733,3378,5127,7958,5625,5714,3494,2318,526,683,278,321
CDR20291_0330,935,818,1449,2022,2000,1637,1002,695,2105,2569,1019,925
CDR20291_0331,1548,1643,1932,3283,877,1314,1237,789,522,634,315,285
CDR20291_0332,6622,6931,6577,10427,3356,4504,4853,2919,317,466,121,159
CDR20291_0333,4224,4131,3716,4697,1313,1752,2499,2120,1627,2140,710,837
CDR20291_0334,2751,2869,2577,3071,1074,1385,1492,1379,1339,1804,764,863
CDR20291_0335,1453,1405,1339,1589,720,855,937,833,818,1067,340,447
CDR20291_0336,4979,4304,5229,5902,2156,2597,3429,3108,508,541,150,219
CDR20291_0338,19394,18829,22092,27610,10706,13004,18317,16627,1298,1785,601,1188
CDR20291_0340,14,24,29,51,21,11,8,11,5806,7448,5842,6427
CDR20291_0341,109,97,140,152,81,58,136,133,8,14,5,7
CDR20291_0342,189,169,272,316,103,106,209,210,38,56,92,73
CDR20291_0343,297,334,349,368,92,128,214,164,74,82,121,141
CDR20291_0344,273,367,289,469,88,116,131,134,114,127,96,111
CDR20291_0345,19516,19834,20613,23615,14289,14302,14760,13156,75,113,59,95
CDR20291_0346,1318,1215,1202,1542,550,675,838,779,11464,13409,10097,6662
CDR20291_0347,870,649,622,775,41,111,217,131,522,729,438,473
CDR20291_0348,85,135,99,191,11,24,65,36,14,51,7,37
CDR20291_0349,306,368,253,457,67,130,187,108,9,27,7,19
CDR20291_0350,3410,3143,2922,4137,700,876,1678,1374,81,87,48,60
CDR20291_0351,450,483,375,442,74,89,143,133,401,629,238,539
CDR20291_0352,435,524,430,477,105,108,174,191,38,58,32,70
CDR20291_0353,1782,1643,1363,1934,346,532,901,725,86,74,52,109
CDR20291_0354,2517,2409,3404,3286,2730,3010,4780,4270,258,441,129,353
CDR20291_0355,3689,3261,4441,4628,4718,3894,6696,5565,1709,2051,4389,2535
CDR20291_0356,166,207,99,154,49,73,167,109,2738,3065,8191,5481
CDR20291_0357,278,313,217,272,98,111,228,246,78,150,72,272
CDR20291_0358,217,382,167,297,71,84,108,144,281,360,167,500
CDR20291_0360,264,227,211,279,157,182,205,198,118,193,71,193
CDR20291_0362,449,358,346,369,116,191,247,186,248,310,114,165
CDR20291_0363,3718,3614,3179,3168,4326,4376,3946,4042,125,132,63,90
CDR20291_0364,1754,1807,1514,1608,2055,2355,2160,1745,3798,5027,2435,4592
CDR20291_0365,64321,65358,50792,65371,121670,139061,107625,77375,1687,1956,880,961
CDR20291_0366,110525,123833,144603,164385,187275,193646,291216,232602,59585,71879,31207,21124
CDR20291_0367,81189,87300,87413,96108,135865,127833,192858,162379,68685,82990,86699,56595
CDR20291_0368,153521,155498,154245,167005,279259,256061,345651,313805,54636,58060,68485,32903
CDR20291_0369,169346,160972,155567,164508,302753,271577,353364,332362,132704,141941,140884,68532
CDR20291_0370,232513,231878,241856,243397,402184,351573,439874,436810,164708,173390,182198,75041
CDR20291_0371,203316,193191,211914,206619,377719,328570,389389,397974,238525,243811,270380,106254
CDR20291_0372,292934,273160,312241,302019,580808,509343,608102,618574,226817,236797,267632,109027
CDR20291_0373,7376,7033,8190,9139,6026,6897,10308,9380,355533,372372,420769,182323
CDR20291_0374,32255,25109,39685,44500,4880,6201,18546,10726,4525,5850,5012,6438
