,4hcon1,4hcon2,4hcys1,4hcys2,8hcon1,8hcon2,8hcys1,8hcys2,12hcon1,12hcon2,12hcys1,12hcys2
CDR20291_1119,17417,21086,36452,24503,398,648,500,306,5521,6064,3736,4181
CDR20291_1120,5563,5676,11943,8943,12079,11917,14499,10189,464,552,235,250
CDR20291_1121,3257,2979,2076,2961,45499,45054,51384,37200,7073,8030,2894,2561
CDR20291_1122,14861,13673,11417,13564,411,658,1488,793,394,427,311,735
CDR20291_1123,1095,1067,970,1096,4850,5333,6602,5464,9392,12315,7237,13827
CDR20291_1124,16019,15442,13563,15924,7,5,4,2,32961,41832,58994,73170
CDR20291_1125,964,873,676,826,24,21,54,46,367,637,133,177
CDR20291_1126,14090,11311,9255,12762,101,144,131,104,7066,9874,2317,5710
CDR20291_1127,29385,22959,26432,26458,178,176,203,165,3,12,1,5
CDR20291_1128,992,2118,1443,1374,28,56,128,67,31,60,8,39
CDR20291_1129,12376,12140,12236,12683,92,149,295,184,86,168,160,209
CDR20291_1130,9,7,7,5,126,243,469,352,136,180,162,189
CDR20291_1131,62,73,66,82,9,14,26,29,31,64,15,62
CDR20291_1132,123,60,116,108,160,141,188,178,68,114,59,108
CDR20291_1133,285,232,330,270,845,886,1597,1429,102,143,65,241
CDR20291_1134,237,251,185,353,8,8,25,13,8,20,13,21
CDR20291_1135,462,544,404,761,94,89,127,101,181,290,197,424
CDR20291_1136,831,669,538,1017,1059,1156,1544,1127,1118,1216,1123,1784
CDR20291_1137,11,13,10,10,1511,1475,1950,1479,7,9,6,5
CDR20291_1138,36,29,43,56,1565,2265,4064,3588,64,75,39,53
CDR20291_1139,96,134,143,175,2519,2668,5819,5819,710,897,429,635
CDR20291_1140,953,1048,1026,1287,362,557,1036,434,1041,1347,776,777
CDR20291_1141,21,26,16,27,2595,3617,7330,4782,1190,1564,1150,1136
CDR20291_1142,368,368,232,397,376,437,836,598,1573,1998,2778,2006
CDR20291_1143,2184,1944,1504,2775,467,515,933,817,459,833,219,442
CDR20291_1144,1358,1366,1376,2167,7430,7507,11704,11989,3065,4220,4270,2959
CDR20291_1145,3999,4090,5438,6939,1623,1463,1970,2143,417,543,567,303
CDR20291_1146,2971,3027,4106,4325,1865,2017,3144,3153,483,599,590,279
CDR20291_1147,1529,1527,1059,1296,2262,2521,3518,3870,5320,6320,6704,3848
CDR20291_1148,8427,8918,7325,7704,467,815,1629,1106,958,1095,1091,742
CDR20291_1149,1239,1145,1007,982,96,164,221,93,1238,1573,906,680
CDR20291_1150,1631,1646,1373,1349,2360,3992,4388,2265,1229,1860,865,774
CDR20291_1151,20552,18957,20060,19043,458,628,1411,955,586,898,194,407
CDR20291_1152,3281,3252,3475,3224,9388,12429,16548,15395,94,138,20,59
CDR20291_1153,6639,5611,6762,6502,56,53,64,55,1837,3372,440,1420
CDR20291_1154,8569,7691,8866,8560,881,1151,1570,960,373,483,658,404
CDR20291_1155,5577,4985,3678,5441,137,256,229,166,9999,13261,5105,8334
CDR20291_1156,2388,1763,1058,1559,1399,1876,2219,1663,74,65,45,58
CDR20291_1157,49700,36902,22551,36282,964,1340,1376,1160,1592,1680,849,832
CDR20291_1158,1323,1454,1449,1759,806,1092,1631,1398,216,251,87,103
CDR20291_1159,38334,37353,31574,39905,472,540,957,794,1958,2361,722,845
CDR20291_1160,133,104,64,85,1115,1378,2039,1893,1371,1642,376,519
CDR20291_1161,1461,1376,1100,1810,678,860,1025,1020,755,983,452,793
CDR20291_1162,307,321,219,418,4214,5023,6255,4783,355,432,201,292
CDR20291_1163,3106,2915,2457,3634,24628,26333,30245,25732,1002,1302,527,685
CDR20291_1164,2134,1873,1639,2412,4182,4283,6063,5806,575,777,277,458
CDR20291_1165,3797,3651,2392,3957,501,691,824,630,3111,3651,3987,3526
CDR20291_1166,2175,2369,1670,2257,270,445,580,402,24698,29677,19525,23477
CDR20291_1167,4944,4821,3950,4263,1653,1607,2115,1817,3179,4215,3166,6422
CDR20291_1168,2056,1782,1654,1905,4764,5193,5927,5271,574,779,380,616
CDR20291_1169,4838,4944,6463,5808,290,369,671,436,412,530,190,325
CDR20291_1170,39839,36829,37187,39904,322,425,848,671,1686,2044,1527,1619
CDR20291_1171,4279,3903,4000,5314,138,180,215,148,4763,5449,3779,4267
CDR20291_1172,3126,2755,2647,3196,857,1073,1503,1202,350,496,160,295
CDR20291_1173,2158,1783,1625,2116,39007,43579,58786,51665,411,589,436,464
CDR20291_1174,2229,2859,2124,2765,525,684,1024,735,144,232,171,271
CDR20291_1175,6819,6303,5130,6521,2673,2782,7885,5134,722,943,613,724
CDR20291_1176,1377,1194,787,1054,266,395,724,534,20146,25940,20614,15826
CDR20291_1177,1122,1111,1087,1128,60,96,103,104,381,581,208,410
CDR20291_1178,281,272,238,373,2458,2787,3866,3065,1997,2755,3342,2913
CDR20291_1179,2087,2005,1675,2175,184,224,265,258,390,535,480,476
CDR20291_1180,78554,80735,74485,85612,220,161,135,124,77,114,64,104
CDR20291_1181,1541,1678,1542,2092,359,313,248,247,3931,3769,1899,3107
CDR20291_1182,4299,5541,7389,7741,359,405,384,281,279,303,64,184
CDR20291_1183,927,1101,1056,1504,574,757,998,714,224,296,116,259
CDR20291_1184,160,236,187,298,24,25,18,19,538,467,207,376
CDR20291_1185,5571,6008,6464,7465,19,15,24,17,525,642,275,397
CDR20291_1186,640,562,492,631,22,26,37,20,788,1137,375,1188
CDR20291_1187,217,180,192,275,111,153,323,175,5,0,7,21
CDR20291_1188,604,648,577,677,538,906,1543,1237,6,18,5,32
CDR20291_1189,1086,1070,943,1076,2575,3047,3668,2636,12,13,5,17
CDR20291_1190,4997,3701,2952,4493,16018,22702,21942,15171,144,225,65,156
CDR20291_1191,28,36,30,44,1855,2039,2463,1990,498,685,325,726
CDR20291_1192,38,25,28,23,4515,5826,7974,5932,2604,5316,483,1204
CDR20291_1193,97,107,63,83,14,25,48,29,18391,32231,3802,10688
CDR20291_1194,744,679,493,915,59,71,75,93,1278,1803,671,1344
CDR20291_1195,3569,2917,2739,3683,309,377,383,278,2758,3853,559,1583
CDR20291_1196,6359,4942,4023,4705,12,10,20,7,23,39,14,15
CDR20291_1197,32991,28364,23591,25419,113,114,233,103,54,89,34,43
CDR20291_1198,2823,2563,2280,3017,960,1140,2357,1096,406,513,164,335
CDR20291_1199,33146,34111,31886,39150,2572,3079,5930,2889,37,40,43,204
CDR20291_1200,75,184,80,180,947,1260,2309,1091,399,384,534,3531
CDR20291_1201,137,144,189,211,1206,1554,3012,1467,1042,903,1396,9361
CDR20291_1202,499,538,581,758,101,133,340,148,415,350,551,3970
CDR20291_1203,59,56,48,80,2695,3727,7043,3622,468,470,766,5493
CDR20291_1204,583,475,370,467,325,441,862,449,48,45,88,588
CDR20291_1205,5338,4775,2648,3361,1675,2359,4589,2348,1657,1482,1940,14382
CDR20291_1206,14301,12784,6242,8311,203,252,486,261,185,171,208,1751
CDR20291_1207,5168,4807,2300,2943,309,415,949,472,1088,982,1160,8538
CDR20291_1208,6303,5428,2786,3483,815,1118,2757,1419,116,115,133,1024
CDR20291_1209,585,604,314,350,578,821,2138,1060,174,138,227,1762
CDR20291_1210,14094,13278,6586,7343,762,1034,2397,1231,460,455,841,5985
CDR20291_1211,1610,1500,752,870,6249,7641,19117,9798,340,329,604,4465
CDR20291_1212,9632,9038,4212,4777,1,1,6,5,459,358,553,4950
