,Deox1,Deox2,Deox3,Deox4,Chol1,Chol2,Chol3,Chol4,DMSO1,DMSO2,DMSO3,DMSO4
CDR20291_0156,25,34,43,43,43,32,27,35,55,60,87,39
CDR20291_0157,252,258,163,180,205,237,276,198,470,500,417,383
CDR20291_0158,11,6,13,9,5,1,5,4,7,3,3,10
CDR20291_0159,64,38,46,48,26,16,7,26,53,14,16,24
CDR20291_0160,60,30,27,60,21,12,7,36,69,19,20,32
CDR20291_0161,36,15,27,48,26,14,10,29,58,39,37,29
CDR20291_0162,10,14,10,22,9,5,10,10,25,20,9,10
CDR20291_0163,39,20,65,63,30,63,39,32,44,40,25,59
CDR20291_0164,27,18,16,17,20,39,27,26,12,10,13,32
CDR20291_0165,17,40,56,59,46,77,44,25,40,109,172,203
CDR20291_0166,22,33,76,77,59,95,39,29,69,177,264,291
CDR20291_0167,74,45,117,135,77,49,39,75,81,39,133,61
CDR20291_0168,74,34,100,89,64,104,99,79,30,37,29,29
CDR20291_0169,381,547,571,530,307,446,392,322,552,422,657,720
CDR20291_0170,635,337,547,509,321,189,220,236,287,287,761,308
CDR20291_0171,5004,4703,5591,5351,6523,11703,12804,7787,12361,9345,8530,15051
CDR20291_0172,201,189,353,291,415,549,595,437,197,214,276,190
CDR20291_0173,9238,7153,28579,18982,11895,38106,20441,17710,19026,19614,14020,60881
CDR20291_0174,195,186,210,172,168,180,225,149,146,234,200,95
CDR20291_0175,12533,12126,4799,10819,5899,7194,4732,4855,9210,4589,1567,11064
CDR20291_0176,2751,2716,842,1987,888,738,457,786,2131,967,270,1992
CDR20291_0177,3746,4546,1453,2995,1101,1236,913,1219,2990,1886,430,3333
CDR20291_0178,8788,4527,9833,8999,7487,8701,8289,6928,4465,2735,2815,4663
CDR20291_0179,27,22,44,44,40,20,32,29,42,21,16,29
CDR20291_0180,12853,7734,13832,15070,7650,11420,9109,6542,67289,37637,6960,86191
CDR20291_0181,7,14,9,9,2,3,10,5,35,12,7,24
CDR20291_0182,140,85,146,173,182,157,99,146,178,158,199,146
CDR20291_0183,2,3,2,1,1,1,2,1,5,5,3,5
CDR20291_0184,1723,3105,2921,2625,2488,3531,1706,1489,3860,6679,8884,6860
CDR20291_0185,834,2100,1115,925,855,930,518,464,549,1098,1292,818
CDR20291_0186,759,1817,646,665,567,462,294,283,517,694,1099,603
CDR20291_0187,883,2781,811,740,528,478,417,371,661,1201,1545,935
CDR20291_0188,1056,2376,1008,969,744,762,570,448,971,2108,2457,1179
CDR20291_0189,549,385,539,551,652,911,884,547,273,251,174,337
CDR20291_0190,109,161,174,139,121,192,123,107,193,217,285,151
CDR20291_0191,82,95,83,78,59,81,79,51,74,121,68,98
CDR20291_0192,1737,750,1014,1276,957,633,573,849,579,396,482,398
CDR20291_0193,1481,1111,1233,1637,956,566,592,1204,607,324,516,708
CDR20291_0194,43807,14231,19098,25908,29407,15710,14310,16084,3758,2404,2435,3806
CDR20291_0195,187335,94400,164383,182122,168271,132131,127116,121646,20752,13515,16627,29702
CDR20291_0196,3520,2303,2161,2680,1302,491,696,1448,269,620,229,225
CDR20291_0197,326,213,443,433,137,65,143,133,49,64,49,24
CDR20291_0198,6447,5796,8675,7655,4956,3361,4732,3542,3581,7078,14090,4922
CDR20291_0199,1808,1261,1636,1629,1178,1176,1439,1281,895,980,1770,952
CDR20291_0200,126,273,262,194,148,186,121,111,313,264,321,303
CDR20291_0201,34,132,51,45,31,71,59,47,90,83,52,90
CDR20291_0202,21,85,25,26,23,21,30,23,58,74,50,39
CDR20291_0203,2,3,6,3,2,5,5,3,12,3,7,2
CDR20291_0204,64,151,156,143,133,123,131,128,281,101,281,303
CDR20291_0205,347,373,635,444,355,373,286,286,521,479,676,637
CDR20291_0206,16,10,16,28,10,12,2,10,12,70,7,81
CDR20291_0207,4,5,8,8,5,4,2,2,4,17,8,34
CDR20291_0208,46,40,40,45,43,55,39,32,37,174,22,271
CDR20291_0209,11,15,8,12,8,7,5,6,5,54,5,46
CDR20291_0210,77,50,40,51,42,41,30,18,35,306,24,413
CDR20291_0211,190,124,203,211,182,228,254,165,222,277,278,127
CDR20291_0212,6,12,21,22,11,24,22,18,9,14,17,12
CDR20291_0213,4,5,10,9,3,9,2,6,2,1,10,7
CDR20291_0214,19,17,45,28,18,35,42,27,46,24,27,112
CDR20291_0215,467,192,327,427,261,286,138,160,310,85,375,261
CDR20291_0216,371,204,391,448,229,277,141,178,287,60,310,303
CDR20291_0217,986,626,956,1258,661,710,407,485,807,235,989,920
CDR20291_0218,826,716,851,1223,575,699,422,453,856,231,834,920
CDR20291_0219,306,217,309,425,180,269,121,167,283,64,240,364
CDR20291_0220,397,258,422,613,220,211,165,233,468,67,331,413
CDR20291_0221,449,350,519,690,305,316,252,336,547,116,461,657
CDR20291_0222,2229,2175,2989,3143,1908,2211,1619,1535,3551,1614,3204,3767
CDR20291_0223,97,98,167,138,63,85,89,111,91,54,89,66
CDR20291_0224,1562,1475,1574,4481,1141,2992,1412,1828,1409,1453,1685,1914
CDR20291_0225,744,706,778,2442,532,987,585,831,725,584,1007,1089
CDR20291_0226,1242,804,1469,3804,676,1336,748,1347,1305,786,1421,1719
CDR20291_0227,1716,1361,1541,4455,927,2201,1076,1499,1665,1096,2023,2180
CDR20291_0228,844,496,740,2180,447,957,474,621,716,628,894,823
CDR20291_0229,171,90,258,640,100,202,89,142,135,150,183,186
CDR20291_0230,384,120,194,864,83,33,59,186,113,64,273,81
CDR20291_0231,353,187,262,856,97,77,52,304,149,78,250,156
CDR20291_0232,2594,1672,1827,6821,842,1276,1047,3029,1730,541,1483,2397
CDR20291_0233,3052,1761,1530,7267,877,1250,869,2956,2182,437,1436,2336
CDR20291_0234,464,311,386,1538,153,303,239,650,406,92,239,464
CDR20291_0235,423,229,197,913,101,107,94,363,302,50,191,229
CDR20291_0236,1691,855,626,3199,417,371,318,1225,1342,297,817,977
CDR20291_0237,579,409,443,1872,210,245,227,704,667,112,392,613
CDR20291_0238,3728,3144,3487,12388,1786,2712,2505,5789,4136,1143,3202,5173
CDR20291_0239,386,212,293,1106,158,181,136,294,352,192,333,322
CDR20291_0240,34227,33873,40623,85730,28911,118783,72901,55837,57816,69914,76327,118645
CDR20291_0241,623,748,1165,2264,459,2597,2036,1176,1161,897,1250,2534
CDR20291_0242,800,587,891,2621,375,541,291,651,1305,393,1237,1367
CDR20291_0243,1354,984,1198,3413,670,843,415,882,1982,534,1842,2068
CDR20291_0244,207,190,298,686,127,165,74,156,297,124,303,366
CDR20291_0245,475,356,496,1268,224,241,123,282,802,171,629,762
CDR20291_0246,240,252,558,880,182,223,175,234,447,173,305,715
CDR20291_0247,811,563,841,1570,388,465,269,418,1152,355,854,1414
CDR20291_0248,1348,438,817,1229,614,423,252,408,862,429,634,769
CDR20291_0249,1154,534,1002,1401,556,543,333,537,867,268,606,1030
CDR20291_0250,795,283,640,969,324,235,175,285,587,156,427,593
CDR20291_0251,6932,2825,3970,7063,2218,1754,1205,2198,4729,1123,3452,5513
CDR20291_0252,2009,958,1406,2451,623,523,486,685,1173,477,1227,1448
CDR20291_0253,947,335,621,1254,237,112,168,204,324,169,618,315
CDR20291_0254,4382,1853,1928,4055,1513,1258,1079,1269,1954,1370,2511,2285
CDR20291_0255,233,4,50,247,8,2,10,15,19,8,138,12
CDR20291_0256,1272,399,644,1389,318,283,188,333,744,159,533,813
CDR20291_0257,1858,923,1115,2031,603,610,380,597,1549,333,1058,1748
CDR20291_0258,4628,2205,2431,4567,1598,1359,913,1380,5418,1206,3647,4546
CDR20291_0259,383,127,312,484,133,124,84,165,420,112,306,400
CDR20291_0260,2071,1103,1465,2226,934,745,605,854,2188,663,1994,2146
CDR20291_0261,1695,965,1413,1978,772,651,504,757,1885,590,1972,1724
CDR20291_0262,377,278,328,522,200,132,114,165,443,171,553,481
CDR20291_0263,162,95,130,198,69,18,17,33,148,66,229,88
CDR20291_0264,1194,880,970,1313,630,501,469,483,1373,708,1605,1196
CDR20291_0265,281,285,458,454,196,269,259,227,401,204,428,771
CDR20291_0266,1853,1603,2162,2481,1297,1401,1153,1068,2824,1428,3298,3015
CDR20291_0267,2271,1946,2173,2796,1453,1494,1059,1179,3823,1729,4196,3872
CDR20291_0268,520,251,438,630,231,131,109,215,761,186,727,552
CDR20291_0269,629,313,460,711,250,187,148,221,1198,320,858,859
CDR20291_0270,287,103,193,343,105,64,72,95,563,120,329,344
CDR20291_0271,251,101,137,238,113,52,20,63,350,74,241,276
CDR20291_0272,734,453,512,900,327,305,205,294,1442,264,873,1108
CDR20291_0273,757,533,586,944,385,392,262,349,1773,325,1058,1453
CDR20291_0274,379,247,442,585,226,290,202,239,881,275,563,669
CDR20291_0275,277,197,232,363,153,150,114,150,549,181,429,381
CDR20291_0276,176,83,204,337,69,85,101,99,244,97,289,168
CDR20291_0277,31882,11110,40772,35059,17177,11427,7038,8575,4940,3248,5873,4416
CDR20291_0278,735,649,841,909,587,529,494,583,554,319,503,737
CDR20291_0279,580,447,685,682,430,346,395,478,445,233,417,618
CDR20291_0280,236,372,293,260,207,247,267,171,237,281,248,286
CDR20291_0281,46,93,97,75,48,45,67,41,69,91,43,81
CDR20291_0282,29,117,24,22,11,20,32,10,30,114,26,20
CDR20291_0283,142,124,117,107,64,115,84,34,563,277,83,813
CDR20291_0284,1,2,16,4,1,1,7,1,4,3,2,20
CDR20291_0285,126,338,266,175,142,184,180,127,352,503,402,291
CDR20291_0286,745,811,687,729,575,556,444,570,754,597,229,537
CDR20291_0287,5,21,4,6,5,3,2,6,16,62,5,300
CDR20291_0288,7,8,1,5,1,1,2,2,5,24,1,137
CDR20291_0289,2,7,1,1,1,1,2,1,5,20,1,156
CDR20291_0290,7,23,3,4,6,2,2,5,4,28,3,361
CDR20291_0291,15,55,6,7,6,4,2,7,11,42,8,542
CDR20291_0292,29,61,7,17,10,13,10,9,18,66,5,630
CDR20291_0293,44,50,19,27,20,15,30,17,19,120,14,496
CDR20291_0294,14,35,9,15,13,9,10,10,18,46,3,166
CDR20291_0295,30,55,33,32,35,50,27,53,28,37,33,27
CDR20291_0296,37,57,32,35,41,40,39,37,47,29,37,32
CDR20291_0297,4,11,12,22,7,26,7,10,23,5,12,27
CDR20291_0298,4523,2678,5178,4580,3337,3875,2886,2229,2782,2405,2552,2954
CDR20291_0299,423,212,631,545,315,396,343,248,281,294,276,364
CDR20291_0300,74,213,46,45,38,20,15,20,76,129,58,32
CDR20291_0301,161,387,78,94,59,71,49,74,1103,282,71,27
CDR20291_0302,124,323,80,100,51,44,37,59,1526,141,35,39
CDR20291_0303,76,246,51,74,22,25,17,40,2775,270,19,63
CDR20291_0304,19,181,5,20,9,7,10,8,3028,240,9,29
CDR20291_0305,11,166,5,9,8,6,2,6,2480,270,4,34
CDR20291_0306,25,225,15,19,16,21,7,14,3531,860,16,139
CDR20291_0307,36,216,37,30,22,31,10,21,3165,1971,41,454
CDR20291_0308,25,161,14,18,26,21,20,10,408,324,17,134
