,Deox1,Deox2,Deox3,Deox4,Chol1,Chol2,Chol3,Chol4,DMSO1,DMSO2,DMSO3,DMSO4
CDR20291_0800,538,1494,455,453,391,451,481,374,410,1134,820,273
CDR20291_0801,233,769,331,314,219,303,353,334,164,501,381,173
CDR20291_0802,13284,8884,8498,6879,4266,3381,3626,2031,32631,20117,19094,56306
CDR20291_0803,3428,1647,2495,1835,970,747,854,595,6421,3649,4782,10207
CDR20291_0804,3012,1830,3260,2206,1284,1440,1313,949,5448,3142,4028,10979
CDR20291_0805,421,235,366,322,126,87,158,129,55,71,153,90
CDR20291_0806,1749,648,910,734,398,245,301,208,2436,1605,2008,2878
CDR20291_0807,3001,1823,3251,2199,1278,1438,1308,945,5425,3126,4020,10950
CDR20291_0808,822,783,852,951,1297,1523,2251,2654,867,630,777,867
CDR20291_0809,12045,7797,13502,12934,7657,11291,12197,11023,14498,11609,14764,15842
CDR20291_0810,705,592,401,441,547,477,694,673,528,506,489,393
CDR20291_0811,2190,3597,1701,1813,2559,4114,4330,3654,2386,2279,1878,2678
CDR20291_0812,1160,794,954,1118,1297,1134,861,1718,988,325,269,659
CDR20291_0813,663,335,574,712,620,311,262,928,426,117,130,339
CDR20291_0814,1455,747,1257,1506,1365,917,832,2143,797,292,412,906
CDR20291_0815,2991,2123,2222,2681,2685,1916,1553,3527,1672,1032,960,1995
CDR20291_0816,1111,822,1034,1158,1079,821,642,1220,619,442,476,845
CDR20291_0817,1394,1055,1267,1180,1020,1169,1192,895,2557,2653,1072,1809
CDR20291_0818,46,35,110,106,67,108,39,43,93,51,150,222
CDR20291_0819,47,33,40,58,28,31,17,11,84,68,146,117
CDR20291_0820,84,94,111,110,69,76,52,34,213,198,297,286
CDR20291_0821,91,251,104,96,84,88,59,47,208,318,426,298
CDR20291_0822,1751,944,3150,3120,1507,3348,4083,3427,8088,9761,14461,15476
CDR20291_0823,6425,4460,6532,7116,4530,6333,5695,3696,8274,6892,8364,9099
CDR20291_0824,1012,897,1714,1418,1565,923,726,767,2102,825,2307,2173
CDR20291_0825,976,1111,1426,1178,1125,1415,1681,1177,2167,2081,2698,2378
CDR20291_0826,9904,6498,11527,10723,6229,9390,10289,9101,11955,9361,11842,13445
CDR20291_0827,29,111,96,83,43,29,25,48,28,80,30,78
CDR20291_0828,1099,5502,1713,1362,904,1356,1098,910,844,3372,2132,1479
CDR20291_0829,263,1298,265,217,237,297,370,248,266,784,334,273
CDR20291_0830,5188,7699,9175,6583,9389,8580,14566,11490,1586,3322,1834,688
CDR20291_0831,5560,7397,12701,7771,10605,16610,25363,17583,1558,3107,1564,1025
CDR20291_0832,5,84,14,16,9,24,10,14,4,73,26,5
CDR20291_0833,757,435,501,614,595,1220,866,619,448,582,239,369
CDR20291_0834,81,81,140,113,83,58,32,53,127,164,222,183
CDR20291_0835,25,44,66,59,42,37,22,28,69,77,144,103
CDR20291_0836,109,106,124,112,98,66,84,67,213,210,323,115
CDR20291_0837,221,177,231,175,194,189,126,139,380,490,655,420
CDR20291_0838,472,375,483,467,470,472,467,465,404,299,563,503
CDR20291_0839,7894,4344,7455,7317,6633,6289,4379,3858,9059,10312,10328,7485
CDR20291_0840,186,150,253,214,139,133,84,140,171,137,224,215
CDR20291_0841,7,7,7,9,4,2,10,2,5,2,9,5
CDR20291_0842,34,20,25,36,20,10,22,15,14,5,26,20
CDR20291_0843,30,28,29,33,26,21,22,20,25,17,45,29
CDR20291_0844,14,8,16,12,7,3,7,8,12,11,16,12
CDR20291_0845,71,76,46,47,33,29,42,26,28,46,58,24
CDR20291_0846,797,515,895,868,901,1096,1148,707,526,604,731,547
CDR20291_0847,22853,12561,10555,17875,5220,6394,4653,7066,7833,2416,3011,2766
CDR20291_0848,18187,3881,3172,8784,1289,515,896,3705,4699,403,1795,1079
CDR20291_0849,14913,3279,3609,9400,1106,426,773,3419,3408,367,1800,791
CDR20291_0850,205,185,286,229,137,127,64,69,274,334,446,439
CDR20291_0851,781,747,849,795,496,352,368,460,357,381,959,652
CDR20291_0852,359,321,511,434,455,628,452,383,276,282,493,420
CDR20291_0853,20,28,50,44,30,33,5,23,25,19,29,46
CDR20291_0854,11,11,22,24,7,7,2,10,14,10,9,10
CDR20291_0855,95,51,83,64,43,25,30,43,62,37,54,88
CDR20291_0856,480,339,429,406,302,211,207,287,339,121,349,347
CDR20291_0857,676,498,367,415,363,257,605,630,674,417,481,588
CDR20291_0858,814,733,720,672,554,346,390,395,649,451,743,640
CDR20291_0859,82,41,78,63,51,107,89,74,58,78,53,66
CDR20291_0860,127,70,98,114,70,67,35,88,39,32,35,42
CDR20291_0861,90,78,98,118,68,32,39,90,79,30,54,51
CDR20291_0862,167,136,148,165,133,110,123,207,125,80,152,137
CDR20291_0863,351,360,362,454,354,350,543,497,371,352,485,388
CDR20291_0864,341,256,504,370,262,314,276,159,299,441,500,312
CDR20291_0865,653,1076,126,103,166,121,341,409,299,512,112,134
CDR20291_0866,1295,1940,201,206,304,158,415,597,670,678,287,256
CDR20291_0867,251,605,187,142,147,229,434,352,220,284,150,181
CDR20291_0868,5,9,7,3,3,9,22,10,4,20,13,7
CDR20291_0869,56,32,51,54,49,46,22,55,47,20,37,27
CDR20291_0870,97,64,85,106,60,61,22,87,84,49,82,66
CDR20291_0871,168,294,359,310,204,255,190,206,239,344,394,259
CDR20291_0872,62,47,98,66,111,128,89,77,55,91,78,56
CDR20291_0873,167,146,241,185,201,139,146,251,23,54,61,32
CDR20291_0874,379,442,432,389,421,269,296,407,118,146,177,98
CDR20291_0875,1,3,1,3,1,3,2,2,2,1,1,5
CDR20291_0876,5,1,8,9,10,9,5,6,4,2,3,2
CDR20291_0877,81,120,73,71,71,97,59,63,113,87,96,73
CDR20291_0878,401,344,350,370,440,665,402,235,401,619,419,471
CDR20291_0879,171,76,197,181,128,120,59,54,137,157,280,320
CDR20291_0880,583,320,570,606,456,544,306,261,522,578,1143,1531
CDR20291_0881,250,243,289,306,257,350,143,168,397,515,1131,1047
CDR20291_0882,141,111,216,180,126,213,160,116,229,349,697,857
CDR20291_0883,349,380,370,357,333,501,279,188,832,1202,2105,2129
CDR20291_0884,5,3,5,5,1,1,2,1,2,1,2,2
CDR20291_0885,91,194,129,110,70,50,200,131,69,93,81,49
CDR20291_0886,121,218,95,108,64,39,22,43,69,72,58,49
CDR20291_0887,95,209,102,93,43,35,20,38,40,53,56,46
CDR20291_0888,64,166,66,74,46,33,30,43,35,43,47,39
CDR20291_0889,55,129,77,87,43,32,37,48,33,29,63,46
CDR20291_0890,84,62,67,70,44,36,27,26,40,36,39,32
CDR20291_0891,4649,3178,4949,4485,3637,3045,2622,2669,5761,3021,6045,4780
CDR20291_0892,3646,2364,3955,3492,3012,2504,2138,2184,4943,2518,4858,4080
CDR20291_0893,298,74,239,284,113,44,42,107,97,36,70,63
CDR20291_0894,797,421,444,788,319,192,170,533,401,100,201,374
CDR20291_0895,246,180,166,272,97,55,39,146,132,72,81,98
CDR20291_0896,1494,1093,867,1445,411,208,254,738,656,287,388,588
CDR20291_0897,2136,1202,967,1828,512,283,395,880,667,344,489,742
CDR20291_0898,942,386,305,702,264,197,160,290,371,169,249,339
CDR20291_0899,1027,268,275,755,195,133,96,260,218,157,188,312
CDR20291_0900,2236,2149,2565,3067,2988,4879,5004,3572,1887,2699,2094,1943
CDR20291_0901,19,24,21,22,17,18,17,10,9,23,16,15
CDR20291_0902,610,633,981,748,322,340,306,244,681,954,872,881
CDR20291_0903,4229,3037,3221,3085,3467,3780,3204,2137,2677,2984,3356,2510
CDR20291_0904,581,514,797,623,497,657,704,440,1228,1110,909,1177
CDR20291_0905,659,700,1228,992,730,1214,1165,749,1150,1408,1083,1370
CDR20291_0906,485,389,296,348,297,252,197,223,269,358,250,215
CDR20291_0907,34,60,38,40,22,25,17,10,14,39,28,24
CDR20291_0908,136,159,106,119,99,58,47,69,139,143,88,85
CDR20291_0909,824,1176,628,767,576,886,726,516,927,871,636,1074
CDR20291_0910,20231,14846,14303,15990,16093,13732,13029,13751,38515,16143,15856,28960
CDR20291_0911,7655,5895,6874,7348,6552,4790,6030,6530,17466,6811,7432,13816
CDR20291_0912,7588,6718,9756,9131,7919,7851,9007,10044,19958,7937,8939,23955
CDR20291_0913,7746,6673,7571,7870,7749,6584,8077,8586,20382,8214,9328,21670
CDR20291_0914,4142,3235,5897,5358,4921,5707,5724,6161,11106,5294,5068,13164
CDR20291_0915,16423,14375,13847,14986,19535,25008,19943,18847,44867,24000,19419,46213
CDR20291_0916,514,203,506,520,332,164,264,296,313,283,630,244
CDR20291_0917,434,271,618,549,473,414,360,425,412,358,572,432
CDR20291_0918,5988,2400,5318,6169,3413,3974,2315,2538,6503,6127,5779,7532
CDR20291_0919,2,7,7,1,1,1,2,2,2,11,9,2
CDR20291_0920,1,7,21,26,7,36,2,5,2,15,14,7
CDR20291_0921,36,220,260,196,317,286,42,42,35,230,232,132
CDR20291_0922,36,238,253,210,331,264,35,37,47,204,185,110
CDR20291_0923,3061,3087,2921,2525,2173,2423,2515,1850,2160,3170,3519,1765
CDR20291_0924,4,14,57,17,36,13,7,5,4,21,12,10
CDR20291_0925,20,8,7,13,5,2,2,2,4,4,9,2
CDR20291_0926,248,1108,882,2225,844,3351,775,480,200,775,1628,376
CDR20291_0927,22,33,45,30,34,25,15,29,63,55,96,76
CDR20291_0928,233,205,499,373,215,310,183,166,477,389,527,505
CDR20291_0929,678,388,727,726,408,339,284,360,429,315,527,420
CDR20291_0930,288,155,298,285,151,95,94,128,246,251,410,186
CDR20291_0931,3257,2902,3254,3329,2219,2170,1975,1755,3533,3072,5070,3125
CDR20291_0932,36,71,55,56,41,37,27,67,137,71,53,42
CDR20291_0933,40,85,26,40,28,22,20,44,169,47,39,44
CDR20291_0934,94,302,83,101,76,47,37,102,355,148,103,125
CDR20291_0935,42,160,43,50,37,35,30,56,206,119,44,54
CDR20291_0936,131,642,92,122,116,137,69,128,700,407,182,229
CDR20291_0937,97,452,92,116,99,149,114,149,427,347,127,222
CDR20291_0938,475,479,975,704,687,811,560,429,1164,1271,734,1228
CDR20291_0939,880,954,415,1160,439,1207,1180,1027,654,716,1134,579
CDR20291_0940,960,396,668,841,536,378,390,601,834,369,709,544
CDR20291_0941,318,122,218,299,211,140,123,168,278,135,260,193
CDR20291_0942,814,500,512,594,710,681,657,748,874,658,557,515
CDR20291_0943,711,1228,634,691,502,353,407,549,616,626,910,647
CDR20291_0944,3395,2647,4078,3759,5561,7280,10126,6823,1627,1226,4431,1562
CDR20291_0945,5872,4541,6472,5926,9587,11777,13999,9568,3245,2445,8031,2847
CDR20291_0946,20,67,10,14,7,10,7,18,14,29,14,2
CDR20291_0947,27,15,37,29,11,32,17,26,11,24,14,10
CDR20291_0948,32,32,40,41,30,17,5,12,25,24,28,15
CDR20291_0949,46,59,44,41,28,14,17,10,28,80,46,29
CDR20291_0950,4,6,2,3,2,3,2,2,2,3,1,2
CDR20291_0951,217,408,197,195,134,83,160,251,267,116,165,222
CDR20291_0952,106,167,96,106,90,73,47,80,146,131,96,142
CDR20291_0953,235,295,291,298,234,297,279,221,369,377,281,405
CDR20291_0954,427,271,315,295,283,217,138,199,255,215,219,234
CDR20291_0955,591,325,505,436,436,413,274,285,659,670,714,518
CDR20291_0956,155,206,171,169,145,178,190,147,176,291,104,205
CDR20291_0957,24610,17994,9838,13299,12533,20689,17548,11917,10450,16950,6117,8179
CDR20291_0958,376,494,503,451,258,316,430,292,229,306,262,439
CDR20291_0959,11063,7225,12793,12076,6941,10339,11217,10066,13230,10580,13425,14587
CDR20291_0960,130,386,140,138,119,234,170,134,142,260,130,151
CDR20291_0961,9,28,20,12,8,7,5,6,7,46,16,2
CDR20291_0962,1,4,4,4,2,1,183,269,2,19,7,2
CDR20291_0963,12,29,16,15,11,20,1644,1598,12,74,27,12
CDR20291_0964,2094,1224,1554,2066,845,498,597,1098,689,616,1270,776
CDR20291_0965,613,323,382,547,202,103,200,323,213,152,348,212
CDR20291_0966,450,159,237,381,139,97,74,209,137,87,251,146
CDR20291_0967,814,208,516,809,220,113,175,309,149,161,616,239
CDR20291_0968,483,311,526,587,403,385,481,474,471,732,560,503
CDR20291_0969,67,95,108,125,69,83,111,97,53,150,168,83
CDR20291_0970,1428,739,1082,1390,1166,745,699,894,770,553,1159,759
CDR20291_0971,8861,6744,11043,11917,11376,11891,12184,11994,9162,5121,11225,11213
CDR20291_0972,176,171,361,297,181,148,193,213,204,142,248,161
CDR20291_0973,14916,8047,13847,14413,11639,12964,12197,8026,15857,14712,15827,22602
CDR20291_0974,4345,2590,6005,6185,4032,4881,5041,3199,5518,4696,6180,9780
CDR20291_0975,5479,2569,4887,5889,4401,4191,3676,2806,6095,5838,7333,8538
CDR20291_0976,1066,739,2397,2245,1045,1633,1743,1159,1472,1353,1982,3569
CDR20291_0977,2380,1098,2407,2489,1437,1820,2039,1109,2437,2745,3497,4009
CDR20291_0978,9839,4587,8272,9822,6878,6918,5897,4463,11790,10696,13197,15496
CDR20291_0979,60,62,242,171,59,138,104,107,72,53,87,186
CDR20291_0980,3505,3178,5573,4690,2705,2858,3392,3049,2569,2306,4115,3638
CDR20291_0981,3055,2005,3721,3520,1874,1454,1999,2055,1825,1540,3732,2124
CDR20291_0982,6608,3855,6487,7574,3704,2229,3044,3969,4381,3306,9903,5337
CDR20291_0983,3494,1985,2688,3586,1450,568,876,1828,1372,811,2287,1326
CDR20291_0984,604,438,880,979,293,182,296,553,278,156,295,347
CDR20291_0985,11144,6503,8194,11792,3647,2101,3002,7183,3792,1738,5367,4626
CDR20291_0986,3830,2438,2959,3404,2617,1926,2027,2476,2239,1875,3244,2104
CDR20291_0987,5163,4725,4643,4608,4086,3570,4051,3753,4275,3613,4863,4585
CDR20291_0988,1097,1306,1686,1384,1007,1167,1333,1185,1206,1055,1210,1677
CDR20291_0989,2421,3229,2981,2502,1895,2115,2385,2109,1583,1930,2820,2249
CDR20291_0990,684,794,914,704,505,517,642,485,387,716,828,491
CDR20291_0991,19,66,19,23,27,27,12,19,14,57,19,2
CDR20291_0992,74,190,63,60,60,59,79,64,25,178,51,32
CDR20291_0993,1778,2082,2280,2521,2593,3830,2930,2243,4145,4133,5466,4241
CDR20291_0994,13040,15493,10702,10824,10350,17734,17395,10785,11542,12772,6403,14463
CDR20291_0995,1359,1127,1082,1139,995,702,686,885,1277,598,1023,1001
CDR20291_0996,416,538,417,446,294,221,281,346,389,170,321,466
CDR20291_0997,589,611,489,551,278,185,215,369,607,273,480,483
CDR20291_0998,8704,9420,11662,11649,6876,7972,9163,6880,7295,11197,21140,11641
CDR20291_0999,10413,9163,10517,11068,7259,5755,9269,6068,8223,13678,23806,8201
CDR20291_1000,6823,6845,10811,9916,6239,5905,9230,6489,6646,11018,18053,8572
CDR20291_1001,3534,13793,2478,2648,1754,1352,1637,1609,1486,4658,3955,1785
CDR20291_1002,735,2969,588,578,328,262,333,325,331,1374,871,342
CDR20291_1003,1282,3193,718,790,370,474,432,364,213,1296,232,159
CDR20291_1004,60,46,63,68,60,92,91,63,81,128,112,78
CDR20291_1005,9,31,13,4,8,5,12,6,2,8,9,2
CDR20291_1006,277,161,274,290,181,212,109,188,181,193,144,151
CDR20291_1007,998,609,505,645,151,165,188,261,157,133,95,88
CDR20291_1008,502,334,330,434,80,64,114,140,77,48,28,68
CDR20291_1009,1492,404,462,764,124,49,123,161,106,78,100,83
CDR20291_1010,1572,543,616,925,174,138,235,223,149,110,104,190
CDR20291_1011,90,98,154,141,84,86,74,67,109,117,156,73
CDR20291_1012,4668,4376,6859,5772,4864,5381,4409,3944,8775,6733,13131,10708
CDR20291_1013,9079,25939,7263,6853,6656,6387,5690,4224,17829,33408,28367,13091
CDR20291_1014,5316,14495,5189,4872,4330,5382,3796,2971,12337,18702,17784,11399
CDR20291_1015,1374,2803,2136,1687,2330,2738,3434,3260,3116,2919,3725,3083
CDR20291_1016,3117,7349,3487,3146,4758,4349,6401,5614,6806,5521,7944,5854
CDR20291_1017,4256,10372,4516,4095,5636,5828,6897,6485,9718,6572,10674,9380
CDR20291_1018,3602,10614,4543,4074,5334,5603,6554,6135,9569,5993,10575,9875
CDR20291_1019,3405,9164,3515,3325,4189,3809,4591,4897,8941,5220,9932,7666
CDR20291_1020,1661,3659,1995,1617,1818,1617,2271,2451,4298,2797,5411,3984
CDR20291_1021,695,1381,770,706,792,808,970,954,2416,2053,3288,2114
CDR20291_1022,6354,17134,5818,5642,8520,8061,8965,7830,25366,18328,28759,21355
CDR20291_1023,675,1502,390,411,200,153,131,216,324,469,156,178
CDR20291_1024,1091,3283,506,660,255,180,160,343,619,935,377,474
CDR20291_1025,1,1,0,1,1,1,2,1,2,5,2,2
CDR20291_1026,5,20,3,2,3,2,7,2,7,26,11,10
CDR20291_1027,46,145,42,49,29,56,47,27,67,100,91,105
CDR20291_1028,94,65,110,98,70,52,42,47,109,90,140,115
CDR20291_1029,1418,966,1895,1677,2484,2824,3357,2680,1398,1211,1912,1648
CDR20291_1030,2,29,7,4,6,4,2,2,2,15,1,2
CDR20291_1031,1,12,3,1,2,1,2,2,2,2,1,2
CDR20291_1032,1,10,0,2,1,1,2,1,2,7,1,2
CDR20291_1033,4,7,2,2,1,2,2,2,4,7,2,2
CDR20291_1034,4,24,10,7,5,1,7,4,2,7,4,2
CDR20291_1035,7,5,6,5,4,3,2,4,2,3,5,2
CDR20291_1036,10,6,9,5,6,2,2,7,2,1,10,2
CDR20291_1037,9,5,9,9,7,1,2,2,2,5,9,7
CDR20291_1038,1912,2349,2430,2147,1540,1971,1432,1426,1685,3028,1741,1558
CDR20291_1039,422,1266,257,285,211,159,123,112,299,1309,606,232
CDR20291_1040,272,821,204,214,108,105,89,114,155,458,224,132
CDR20291_1041,518,1399,427,413,214,164,170,185,280,513,324,325
CDR20291_1042,135,126,84,89,51,32,12,26,95,102,114,56
CDR20291_1043,722,832,784,767,404,361,254,296,573,404,707,762
CDR20291_1044,348,754,480,435,231,283,291,245,345,317,294,496
CDR20291_1045,1580,3715,1605,1557,815,787,662,703,1331,1169,1349,1697
CDR20291_1046,1172,3093,681,765,445,375,291,300,1025,1206,1068,901
CDR20291_1047,841,2018,901,799,345,319,269,281,821,1276,1000,869
CDR20291_1048,475,185,599,417,392,246,202,199,186,207,272,149
CDR20291_1049,326,179,368,282,269,264,220,205,287,344,267,273
CDR20291_1050,278,144,434,371,289,317,289,294,297,430,314,364
CDR20291_1051,16,34,9,11,8,10,2,10,18,31,18,15
CDR20291_1052,5847,3250,7329,5720,6122,6993,5823,3816,8496,10999,9475,6926
CDR20291_1053,1773,1666,2097,1954,1639,1540,1150,1107,1739,1387,1718,1741
CDR20291_1054,362,224,676,553,352,243,183,282,415,251,445,422
CDR20291_1055,356,313,576,473,326,290,343,314,427,179,510,547
CDR20291_1056,664,386,565,551,401,271,276,304,684,361,730,544
CDR20291_1057,730,591,823,865,537,384,341,488,897,478,1200,947
CDR20291_1058,331,273,437,463,325,290,254,284,524,312,779,444
CDR20291_1059,34,22,77,66,28,18,10,33,37,30,77,61
CDR20291_1060,201,124,294,219,158,119,99,144,218,93,291,234
CDR20291_1061,654,693,1013,902,646,609,523,612,1101,528,1429,1250
CDR20291_1062,686,908,792,816,638,655,570,553,1235,873,1521,1440
CDR20291_1063,464,638,399,373,299,274,284,270,302,408,397,281
CDR20291_1064,359,183,332,311,132,80,62,78,100,207,396,146
CDR20291_1065,943,1657,505,515,386,166,138,155,491,957,924,425
CDR20291_1066,3060,5979,2088,1830,1362,939,1019,774,2047,3691,3766,2856
CDR20291_1067,173,1457,94,91,59,34,22,48,93,301,136,142
CDR20291_1068,280,195,435,441,262,136,207,331,229,61,259,220
CDR20291_1069,266,153,325,268,173,217,175,128,259,366,211,217
CDR20291_1070,94,82,67,79,54,83,54,45,1403,1279,161,767
CDR20291_1071,246,245,187,158,172,235,230,173,302,371,398,215
CDR20291_1072,243,274,284,251,219,313,385,247,295,342,372,315
CDR20291_1073,4,1,2,3,2,1,2,1,7,1,5,2
CDR20291_1074,45,47,33,35,59,44,12,34,30,62,27,22
CDR20291_1075,1,6,3,2,1,1,2,4,2,4,1,2
CDR20291_1076,46,105,49,53,31,42,39,77,26,56,49,32
CDR20291_1077,2,5,16,11,4,6,25,7,2,1,1,2
CDR20291_1078,12466,8547,14988,18059,9739,16480,20352,11545,320,347,592,361
CDR20291_1079,79,49,94,70,49,52,30,31,132,140,249,66
CDR20291_1080,1,7,3,1,2,10,2,5,7,18,5,2
CDR20291_1081,5,4,0,3,1,1,2,1,2,2,2,2
CDR20291_1082,9,9,8,11,3,1,2,2,5,6,9,10
CDR20291_1083,1,8,9,6,4,1,2,3,9,2,4,7
CDR20291_1084,7,8,8,9,3,1,2,7,5,6,12,2
CDR20291_1085,5517,6638,7350,6361,6581,8345,6875,4306,11195,13648,12693,11477
CDR20291_1086,4088,3382,4612,4357,5279,6941,4569,3892,6129,6380,7031,6489
CDR20291_1087,1027,791,479,708,448,185,301,318,209,688,583,183
CDR20291_1088,725,460,663,870,444,351,343,452,220,356,363,308
CDR20291_1089,1571,281,563,1535,307,127,200,399,204,208,506,256
CDR20291_1090,1542,1080,692,1297,433,257,318,556,464,300,529,615
CDR20291_1091,679,1285,757,761,464,429,289,358,334,866,829,386
CDR20291_1092,6861,18124,6138,6846,4615,4058,3118,3308,4662,8926,12714,4663
CDR20291_1093,2438,4278,2193,2321,1666,1697,2113,1440,5571,5518,8779,3433
CDR20291_1094,3825,4793,2899,3077,2762,2981,2498,2049,8192,7917,10698,4770
CDR20291_1095,378,1034,379,400,215,154,217,254,332,598,663,171
CDR20291_1096,326,1142,355,396,199,197,262,273,281,679,681,144
CDR20291_1097,9153,10392,7724,6891,6148,6261,6028,5565,16606,19659,20840,13855
CDR20291_1098,710,3133,461,494,385,413,353,244,626,2486,1455,598
CDR20291_1099,11,79,21,19,18,40,42,26,47,55,12,54
CDR20291_1100,7083,9599,9307,10567,10151,20026,15993,11286,29550,19547,9236,29182
CDR20291_1101,1666,800,779,940,756,671,491,539,584,480,661,754
CDR20291_1102,474,173,187,238,102,54,59,83,146,85,181,107
CDR20291_1103,2992,1682,2727,2569,2672,2353,1967,1568,2186,1539,2502,2063
CDR20291_1104,1778,735,1919,1807,3439,5004,2111,1914,1555,1088,1227,1328
CDR20291_1105,263,742,355,305,589,1322,1881,1253,413,723,826,708
CDR20291_1106,31,98,43,41,26,30,47,40,55,110,90,71
CDR20291_1107,19,68,32,19,17,16,10,16,19,55,37,34
CDR20291_1108,29,85,39,33,19,35,52,26,26,28,46,37
CDR20291_1109,41,89,94,66,77,94,89,107,74,111,149,107
CDR20291_1110,141,242,174,165,166,199,257,177,183,242,299,151
CDR20291_1111,1,3,2,5,4,3,2,2,2,3,5,2
CDR20291_1112,36,33,24,32,19,6,2,9,32,10,22,20
CDR20291_1113,331,1052,297,264,160,145,116,121,178,310,220,166
CDR20291_1114,2154,5232,1716,1778,966,544,657,915,1162,1260,2009,1411
CDR20291_1115,2950,6620,3947,3178,2380,3085,3140,2079,3700,5851,4909,5439
CDR20291_1116,231,999,144,167,77,76,74,103,130,328,84,144
CDR20291_1117,225,1049,108,150,64,47,54,83,128,420,81,78
CDR20291_1118,1184,2634,668,696,890,881,1037,981,726,1507,639,627
CDR20291_1119,8583,16002,4888,5409,6446,9437,11271,8576,5286,8418,4030,5967
CDR20291_1120,2844,4665,1985,2100,2106,4128,4769,3476,2082,2653,1388,3040
CDR20291_1121,656,1332,1197,977,592,808,790,536,914,1545,1909,1316
CDR20291_1122,8223,4666,6929,8648,5145,3917,3967,7134,6081,1683,4545,6487
CDR20291_1123,674,426,682,771,389,399,457,748,471,114,405,728
CDR20291_1124,5943,3632,6155,6806,3632,3023,3088,5746,5130,1773,4484,5598
CDR20291_1125,314,204,142,215,96,36,35,111,273,73,428,203
CDR20291_1126,2051,1141,2157,2040,2006,2969,1886,2083,3621,2450,2109,3467
CDR20291_1127,2615,8518,2542,2327,2581,5819,5201,3727,3528,6437,2271,5356
CDR20291_1128,72,249,79,73,74,34,30,40,125,286,332,71
CDR20291_1129,3350,7044,3427,3138,3303,4168,5011,3127,4746,8027,10117,5005
CDR20291_1130,1,10,1,2,2,1,2,1,2,10,2,2
CDR20291_1131,10,116,46,26,43,31,10,11,4,31,32,39
CDR20291_1132,19,28,51,33,22,42,39,18,47,40,43,51
CDR20291_1133,61,49,81,66,35,50,42,39,83,76,96,66
CDR20291_1134,297,435,521,444,271,309,274,229,211,271,371,278
CDR20291_1135,391,185,395,385,190,102,77,111,162,308,318,156
CDR20291_1136,432,281,454,387,230,142,170,179,213,359,426,173
CDR20291_1137,9,25,4,7,5,1,2,2,4,10,11,5
CDR20291_1138,35,89,23,28,22,15,10,12,30,53,24,34
CDR20291_1139,125,46,138,134,102,58,42,60,42,30,37,27
CDR20291_1140,2024,1104,1368,1522,1278,1127,990,1119,969,761,1153,771
CDR20291_1141,2,10,5,1,2,2,2,4,2,7,2,2
CDR20291_1142,6,8,2,3,4,1,2,2,2,15,5,5
CDR20291_1143,1173,484,910,964,901,824,763,534,867,892,1025,618
CDR20291_1144,579,465,805,751,545,939,829,517,506,468,526,657
CDR20291_1145,3046,2554,3344,3005,3354,3701,3029,2201,3099,2437,3747,2717
CDR20291_1146,1821,3587,1429,1595,970,782,854,1109,844,915,1154,820
CDR20291_1147,341,886,336,351,218,197,141,154,183,553,470,217
CDR20291_1148,2838,9595,1761,2099,1461,1062,1096,1463,1857,2202,2675,1677
CDR20291_1149,467,1778,304,385,205,145,163,278,320,294,449,322
CDR20291_1150,417,1307,244,279,156,101,111,180,302,251,328,227
CDR20291_1151,7593,28317,4017,5356,3064,2126,1957,4098,7096,3453,5263,5068
CDR20291_1152,926,2802,557,644,338,218,252,462,871,792,695,459
CDR20291_1153,940,4090,964,873,481,421,363,654,1011,1056,861,820
CDR20291_1154,1046,4649,807,820,462,548,518,581,1127,1747,1049,818
CDR20291_1155,1147,2288,1271,1028,714,956,854,688,2094,3034,2050,1836
CDR20291_1156,5265,5229,1991,2678,2711,1792,1303,1266,11009,12881,12510,6948
CDR20291_1157,10552,7525,5466,5614,5313,4313,3315,2773,20410,28048,22925,17659
CDR20291_1158,1041,830,606,665,455,264,242,294,383,628,693,286
CDR20291_1159,9007,12168,11154,9778,6683,5768,4737,4717,11883,10653,17815,13918
CDR20291_1160,54,89,22,37,18,10,10,22,9,49,18,15
CDR20291_1161,4543,2148,3491,4213,1601,753,1121,2275,950,699,1380,803
CDR20291_1162,2080,786,937,1311,497,117,210,641,431,261,692,271
CDR20291_1163,5227,4047,5417,5883,1958,1043,1343,3357,1938,1113,2568,1775
CDR20291_1164,3534,2521,2827,3285,1308,881,1057,1867,1201,1142,1817,1372
CDR20291_1165,4498,8112,3080,3316,2298,1823,1629,2267,1810,2303,2857,2568
CDR20291_1166,1587,2413,1062,1253,637,360,380,731,742,617,1214,955
CDR20291_1167,2044,3283,1673,1754,885,657,686,1110,1031,1249,1809,1355
CDR20291_1168,624,1475,593,513,328,333,390,373,426,481,710,559
CDR20291_1169,3369,2958,1615,1958,2044,1067,1535,2068,1569,1371,1975,1221
CDR20291_1170,11530,6925,7685,9295,8869,3788,7186,8049,5573,6764,16758,5918
CDR20291_1171,654,465,1066,897,1121,1071,963,1159,957,830,895,823
CDR20291_1172,552,479,861,870,718,888,874,679,962,1234,1784,967
CDR20291_1173,422,407,1062,918,595,1348,1244,725,663,812,1632,1245
CDR20291_1174,342,200,506,452,331,231,348,504,396,124,155,571
CDR20291_1175,1635,1187,1723,1754,1591,1265,1553,2037,2026,963,1313,2124
CDR20291_1176,705,262,707,559,359,273,235,261,633,748,508,632
CDR20291_1177,39,83,35,38,36,36,32,31,120,118,81,93
