,E1,T20,T5,E12,T14,E14,T6,E23,T10,E15,T11,E25,T15,E16,T61,E24,T42
BN165_1020019,8,39,1,8,14,8,29,6,9,1,126,1,21,793,3,1113,2
BN165_1020020,31,7,1,13,40,13,4,21,3,1,11,4,281,1255,7,713,2
BN165_1020021,17,13,1,3,48,8,4,3,84,1,4,4,5,982,5,580,1
BN165_1020022,24,21,1,3,58,9,2,16,76,1,1,8,21,1107,4,728,2
BN165_1020023,3,1,1,6,6,71,3,43,189,1,1,9,13,817,1,747,1
BN165_1020024,4,18,1,223,3,19,2,295,145,1,1,2,11,392,4,1110,2
BN165_1020025,3,4,1,8,15,27,4,11,104,1,1,2,5,717,2,905,6
BN165_1020026,13,3,1,8,1,104,4,2,2,1,46,2,10,773,2,882,1
BN165_1020027,4,9,6,26,74,18,13,2,1,14,8,85,1,214,6,749,1
BN165_1020028,9,15,5,1,4,155,19,18,1,34,7,56,1,441,3,483,405
BN165_1020029,3,13,162,11,9,81,157,25,1,17,4,75,39,618,3,646,61
BN165_1020030,6,23,4,42,6,157,249,19,1,242,7,9,196,1190,845,647,175
BN165_1020031,4,14,3,76,14,65,404,15,2,7,15,2,103,856,174,280,43
BN165_1020033,7,2,8,44,14,73,797,147,21,395,18,52,184,611,445,367,11
BN165_1020034,6,1,14,22,8,164,1041,31,16,641,3,1,271,835,162,630,18
BN165_1020035,4,9,4,29,14,34,1009,50,1,520,4,2,221,21,38,1052,17
BN165_1020036,5,49,3,39,135,30,940,232,15,1079,12,4,250,33,52,830,4
BN165_1020037,5,1,8,27,237,47,145,10,7,2283,23,4,312,27,47,728,12
BN165_1020038,5,1,8,27,223,20,134,806,6,2203,34,8,238,27,3,946,7
BN165_1020039,7,1,1,1,1,10,16,417,8,2407,29,5,250,589,17,23,22
BN165_1020040,8,1,1,1,1,27,18,827,12,112,21,17,328,833,13,33,33
BN165_1020041,7,7,1,1,1,275,3,272,2,56,1,37,371,9,32,28,11
BN165_1030001,1,4,1,3,17,213,132,322,1,8,1,11,269,13,44,27,14
BN165_1040001,1,286,6,3591,8,271,1,767,1,1,2,9,351,8,36,547,9
BN165_1040002,1,26,4,1,6,72,8,116,10,4,7,15,339,41,62,770,4
BN165_1040003,3,10821,2,25,10,79,14,117,10,2,5,1,432,50,39,16,15
BN165_1040004,18,5,1,510,12,1,25,221,36,2,6,2,19,3,17,11,1
BN165_1040005,3,51,1,2,13,2,4,72,59,2,5,23,20,1,23,43,4
BN165_1040006,17,214,1,21,9,26,5,31,10,4,4,1,15,4,23,45,5
BN165_1040007,6,133,1,4,180,226,10,91,10,3,6,3,22,4,25,12,7
BN165_1040008,4,105,1,30,153,15,14,502,12,3,3,1,37,51,1,14,8
BN165_1040009,6,106,1,19,101,13,15,372,14,4,6,1,50,59,8,8,124
BN165_1040010,1,18,1,6,101,9,18,393,10,3,1,7,3,19,7,14,5
BN165_1040011,2,16,1,6,1,328,11,107,36,30,98,51,1,50,11,5,1
BN165_1040012,1,17,1,6,5,185,12,129,1,1,33,1,5,16,13,8,1
