,E1,T20,T5,E12,T14,E14,T6,E23,T10,E15,T11,E25,T15,E16,T61,E24,T42
BN165_130008,1,1,28,1,5,1,23,7,39,1,19,38,1,1,10,2,6
BN165_130009,1,1,47,2,1,1,17,8,5,1,7,1,13,1,17,2,681
BN165_130012,1,1,57,4,9,1,10,33,28,6,1,19,1,6,15,3,191
BN165_130013,1,1,1,3,1,1,49,8,3,8,1,2,3,4,17,12,654
BN165_130014,1,1,1,10,23,1,29,19,1,1,1,1,2,3,35,21,1
BN165_130015,1,2,1,14,40,1,10,9,1,5,4,1,2,1,115,5,1
BN165_130016,3,2,1,9,3,1,63,5,4,1,2,1,4,14,128,36,1
BN165_130017,16,1,1,1,3,4,3,9,14,1,2,9,13,2,73,40,3
BN165_130018,12,76,1,67,507,1,6,43,2,1,100,1,10,1,8,81,3
BN165_130019,24,51,1,2,44,1,11,8,14,1,138,1,1,2,9,2,14
BN165_130020,30,31,1,1,1,1,8,16,1,1,60,9,1,1,66,10,14
BN165_130021,30,8,1,4,370,1,13,2,1,1,4,1,1,1,2,64,23
BN165_130022,18,2,1,1,219,1,158,7,1,1,19,1,1,1,261,65,16
BN165_130023,28,1,1,1,11,1,20,5,1,7,30,1,3,1,5,16,11
BN165_130024,36,1,1,4,5,4,27,8,1,10,23,1,1,1,129,23,3
BN165_130025,4,6,1,89,5,17,44,11,1,5,22,1,9,1,157,429,8
BN165_130026,6,6,1,3,76,29,35,3,1,1,471,1,2,1,145,11,2
BN165_130027,5,12,1,6,1,1,35,6,11,1,141,1,1,1,1,27,1
BN165_130028,6,2,1,7,2,1,64,4,17,1,321,5,1,1,2,51,2
BN165_130029,5,8,1,6,1,1,41,4,3,1,1158,15,3,1,1,25,1
BN165_130030,5,2,1,1,1,1,46,4,1,1,69,1,1,9,25,13,1
BN165_130031,3,1,1,8,1,2,18,5,1,1,43,1,12,6,120,13,5
BN165_130032,1,1,16,1,1,1,1,6,8,67,17,1,20,415,55,26,28
BN165_130033,2,171,1,4,33,1,3,1,23,91,5,1,2,801,123,1,2
BN165_130034,3,185,40,6,30,3,1,5,15,32,5,1,1,628,147,1,1
BN165_130035,3,1,81,4,30,1,1,6,45,2,4,1,192,1,120,59,1
BN165_130036,1,2,43,3,3,2,7,6,42,6,5,44,13,1,1,244,2
BN165_130037,1,4,6,3,3,31,15,1,26,17,4,44,1,8,5,108,2
BN165_1310002,70,1,27,1,101,8,34,6,3,10,3,5,40,2,12,148,2
BN165_1310003,56,43,20,1,2,7,3,17,6,11,2,1,4,2,65,317,10
BN165_1310004,302,35,19,1,1,3,1,2,18,399,1,2,2,3,27,184,1
BN165_1310005,42,16,15,7,2,14,1,29,16,97,1,12,39,1,10,250,2
BN165_1310006,31,31,9,1,2,3,61,7,10,175,1,7,1,1,62,343,14
BN165_1310007,24,16,11,143,6,22,54,29,332,936,1,4,1,1,257,321,15
BN165_1310008,26,3,5,2,10,1,31,68,7,44,1,123,1,1,587,238,1
BN165_1310009,69,1,3,4,22,3,40,5,190,27,10,100,1,9,20,377,1
BN165_1310010,53,11,1,5,1,3,25,39,114,16,8,51,1,15,2,363,1
BN165_1310011,1825,9,18,82,1,3,334,1,187,5,13,247,2,3,1,235,2
BN165_1310012,8,5,1,140,1,4,316,1,17,3,31,10,54,33,134,377,1
BN165_1310013,1,5,1132,10,1,66,217,2,7,2,225,6,1,38,374,333,2
BN165_1310014,1,28,2122,25,2,9,58,2,10,3,28,4,1,64,19,487,105
BN165_1320001,1,18,223,9,2,15,1,7,1,3,15,1,1,1,1,20,2
BN165_1320002,1,7,12,1,2,17,1311,1,19,2,26,1,2,9,1,28,2
BN165_1320003,1,31,12,1,17,14,4,1,3,1,31,1,6,63,1,16,9
BN165_1320004,1,1,14,1,1,27,8,1,3,1,4,1,10,64,1,25,3
BN165_1320005,1,13,2,9,1,14,1,1,4,1,8,1,9,12,1,83,2
BN165_1320006,2,5,3,12,1,14,1,5,5,1,8,1,1,27,2,113,7
BN165_1320007,2,7,11,1,1,6,122,12,2,1,7,1,1,333,3,255,1
BN165_1320008,38,7,3,4,2,1,41,4,2,1,8,1,1,12,2,6,2
BN165_1320009,6,3,4,2,1,2,43,1,3,5,14,1,1,24,4,1,1
BN165_1320010,58,40,6,1,1,4,52,1,1,8,10,1,1,43,5,9,1
BN165_1320011,66,14,2,3,1,5,137,1,1,20,23,1,8,20,162,1,10
BN165_1320012,27,9,5,6,1,3,137,1,1,165,2,1,1,18,30,1,16
BN165_1320013,7,3,9,220,13,4,7,1,1,15,2,1,1,12,120,1,3
BN165_1320014,62,1,4,5,124,16,9,1,1,10,1,1,1,27,15,4,31
BN165_1330002,35,1,58,15,15,1,1,1,8,23,2,1,1,2,76,30,38
BN165_1330003,19,1,169,13,5,1,38,1,12,23,2,1,1,1,467,22,58
BN165_1330004,14,3,55,1,29,1,42,1,28,22,74,2,1,77,61,1,1
BN165_1330005,8,1,18,112,25,33,112,1,137,16,39,3,1,232,11,7,10
BN165_1330006,53,1470,1,411,14,31,197,1,16,24,3,126,1,93,2,8,71
BN165_1330007,21,594,2,20,3,14,8,1,8,49,3,8,1,113,2,14,63
BN165_1330008,38,12,1,4,13,17,26,1,13,65,9,2,1,297,4,7,15
BN165_1330009,45,9,44,44,43,14,26,1,16,1,10,8,6,168,8,7,21
BN165_1330010,14,1,1,2,239,2,115,16,1,1,6,11,11,247,32,8,319
BN165_1330011,66,1,1,2,21,3,8,1,11,3,9,4,5,334,28,15,10
BN165_1330012,97,1,1,6,13,2,2,1,25,5,8,2,3,308,8,45,14
BN165_1330013,45,15,1,5,1,1,3,1,3,3,9,5,1,221,6,50,43
BN165_1330014,26,15,616,8,1,2,3,11,5,1,1,1,26,380,8,35,37
BN165_1330015,25,3,1,34,1,3,1,1,3,1,1,3,17,410,399,4,15
BN165_1340001,31,1,1,3,8,1,8,5,6,5,2,4,8,241,222,3,9
BN165_1340002,7,44,4,11,2,6,4,5,1,3,12,3,2,418,317,13,21
BN165_1340003,3,4,11,16,2,4,4,114,1,6,10,1,4,388,36,8,1
BN165_1340004,8,547,1,9,5,13,9,7,4,2,171,1,35,649,32,104,1
BN165_1340005,16,2,8,27,4,1,13,14,7,4,38,1,150,26,461,2,38
BN165_1340006,11,2,44,12,83,2,16,31,7,95,8,1,15,33,5,3,186
BN165_1340007,6,3,10,19,141,2,3,541,1,3,16,2,11,20,3,2,103
BN165_1340008,1,6,8,11,2,8,2,240,1,10,9,1,1,29,9,6,97
BN165_1340009,1,18,2,1,41,6,1,187,14,9,21,1,1,84,11,3,219
BN165_1340010,38,28,1,1,41,14,4,210,32,6,26,1,1,104,49,2,145
BN165_1340011,4,2,2,2,68,18,4,295,2,4,52,30,3,235,24,4,204
BN165_1340012,6,1,1,5,10,23,2,2,5,10,69,1,1,282,103,3,279
BN165_1340015,1,40,1,1,3,9,15,6,8,4,1,2,1,5,169,217,288
BN165_1340016,1,23,1,3,3,53,12,12,4,3,1,3,3,1,74,259,156
BN165_1340017,18,2,1,15,2,26,19,15,1,6,8,1,63,3,38,235,294
BN165_1340018,17,6,1,3,2,42,27,403,4,5,10,1,63,1,94,10,252
BN165_1340019,38,1,1,1,10,4,21,79,1,6,5,2,70,1,11,15,165
BN165_1340020,101,1,1,1,1,3,17,4,2,6,1,1,7,1,19,7,285
BN165_1340021,20,1,3,79,1,5,30,1,5,27,7,2,7,3,134,8,255
BN165_1340022,6,1,6,71,1,20,42,1,1,1,3,3,40,30,1,76,409
BN165_1340023,15,1,12,15,1,4,5,1,1,6,6,1,8,21,10,32,18
BN165_1340024,1,1,8,19,1,8,22,1,1,6,9,1,1,1,3,42,20
BN165_1340025,92,2,10,13,2,2,22,1,1,282,4,1,13,6,2,83,13
BN165_1340026,53,6,1,2,2,8,26,17,1,443,4,1,14,5,52,111,23
BN165_1340027,35,115,7,4,1,6,20,6,1,28,153,1,1,7,285,53,77
BN165_1340028,63,32,1,2,144,12,35,1,4,29,7,1,1,3,22,1,110
BN165_1340029,92,22,3,1,144,11,21,66,2,11,15,1,67,6,13,9,260
BN165_1340030,61,6,5,2,142,5,25,4,135,7,14,1,41,4,338,29,5
BN165_1340031,9,8,2,33,127,5,14,6,1,3,13,56,45,4,389,20,1
BN165_1340032,14,12,1,200,82,3,30,3,3,9,7,1,12,13,939,7,6
BN165_1340033,25,15094,4,9,111,4,46,2,5,8,14,2,9,40,670,6,1
BN165_1340034,17,3,1,6,29,5,26,15,140,21,5,2,10,49,378,49,1
BN165_1340035,2,6,12,1,18,8,33,3,182,4,7,90,5,33,7,154,1
BN165_1340036,7,28,1,1,29,9,58,3,1,9,15,147,5,13,1,336,3
BN165_1340037,3,9,1,1,16,1,30,4,5,4,9,6,6,4,2,10,41
BN165_1340038,7,13,1,8,25,6,48,1,4,2,9,8,6,15,2,5,23
BN165_1340039,2,44,1,1,13,17,19,6,148,3,9,3,1,3,5,5,2
BN165_1340040,1,16,1,1,12,11,561,3,8,12,45,1,1,91,5,44,6
BN165_1350001,76,35,469,2,1,11,10,2,4610,3,1,1,1,3,87,125,6
BN165_1350002,59,19,147,2,1,2,19,2,4,22,9,1,1,166,44,8,12
BN165_1350003,51,133,8,6,1,1,21,29,210,22,11,3,1,209,1,1,1
BN165_1350004,19,8,26,5,1,4,11,44,149,2,333,3,20,193,48,1,7
BN165_1350005,1,13,1,7,2,1,19,20,16,98,532,1,3,1,72,1,4
BN165_1350006,1,82,1,1,44,2,15,32,96,15,39,1,3,3,14,1,7
BN165_1350007,1,46,1,9,5,1,22,4,42,4,43,1,3,1,28,1,12
BN165_1350008,7,17,29,5,6,1,21,33,1,49,22,1,1,10,34,1,48
BN165_1350009,10,5,51,11,6,1,3,41,1245,1,11,1,22,55,154,1,57
BN165_1350010,9,4,22,1,8,6,6,175,2,4,4,3,50,22,139,1,32
BN165_1350011,3,1,11,3,1,13,3,18,4,9,4,65,1,62,84,1,11
BN165_1350012,10,17,1,1,35,2,2,15,78,6,15,2,34,69,3496,2,3
BN165_1350013,4,21,6,10,68,19,6,18,13,8,22,7,3,46,21,55,12
BN165_1350014,1,5,32,9,68,7,11,18,15,16,34,6,1,1,418,11,1
BN165_1350015,1,4,2,13,2,29,3,33,18,7,7,55,1,2,7,56,82
BN165_1350016,382,41,1,15,50,45,9,16,34,14,17,1,2,6,37,7,6
BN165_1350017,91,2,2,27,10,45,10,46,43,22,7,96,9,22,101,34,14
BN165_1350018,3,22,6,8,1,12,45,1,43,17,2,5,1,7,81,270,9
BN165_1350019,8,12,1,9,1,41,2,3,5,40,4,7,1,3,97,34,34
BN165_1350020,8,31,1,43,10,1,16,28,3,16,25,11,1,30,41,5,25
BN165_1350021,2,24,1,10,14,1,7,15,1,22,4,34,1,146,41,3,10
BN165_1350022,52,17,1,34,1,8,20,9,20,19,40,34,8,297,54,2,15
BN165_1350023,41,55,2,5,20,4,21,1,13,1,37,2,2,8,38,3,5
BN165_1350024,40,4,1,2,289,4,31,11,124,1,2,1,1,2,136,5,60
BN165_1350025,41,3,2,6,3,5,28,11,180,1,118,1,1,1,913,10,63
BN165_1350026,19,46,5,40,9,1,39,1,11,1,23,9,1,54,31,13,65
BN165_1350027,1,20,9,4,2,1,14,4,18,8,8,4,3,147,105,4,1
BN165_1350028,1,37,1,9,7,1,98,1,18,5,52,37,13,8,71,2,1
BN165_1350029,16,3,1,1,6,1,44,157,16,14,2,57,1,1,39,4,1
BN165_1350030,10,1,1,5,6,7,72,118,85,2,6,2,1,1,93,193,5
BN165_1350031,5,8,2,5,3,12,7,3,3,4,14,7,1,1,35,93,36
BN165_1350032,6,19,2,8,23,6,5,9,2,3,9,7,1,1,782,149,16
BN165_1350033,43,41,38,9,32,1,10,13,1,73,15,33,1,1,25,18,21
BN165_1350034,4,219,25,1,12,24,38,3,1,63,22,3,1,1,76,3,46
BN165_1350035,6,16,216,4,4,1,10,2,1,23,10,1,1,1,14,184,59
BN165_1350036,27,4,20,2,4,1,21,38,1,43,22,5,5,1,46,2,51
BN165_1350037,2,6,13,3,1,1,5,36,3,8,34,2,14,1,7,1,1
BN165_1350038,60,6,15,4,7,1,8,1,29,3,24,13,2,2,14,5,2
BN165_1350039,20,11,14,4,9,1,8,1,34,9,61,1,1,35,13,6,6
BN165_1350040,41,2,37,8,2,1,14,8,17,4,26,1,1,9,17,13,20
BN165_1350041,47,7,28,1,16,1,12,9,12,1,36,2,1,42,75,7,6
BN165_1350042,30,5,1499,4,11,1,7,4,21,2,27,2,1,6,1,42,5
BN165_1350043,226,3,6,40,17,1,7,1,24,6,1,3,1,24,1,123,15
BN165_1350044,68,26,1,21,21,1,6,1,18,2,2,11,1,227,2,34,88
BN165_1350045,56,57,1,21,18,7,8,1,12,15,1,2,43,25,7,19,214
BN165_1350046,4,149,1,5,14,1,15,1,39,9,2,7,49,5,34,34,9
BN165_1350047,1,13,1,6,3,1,23,1,4,18,11,10,27,1,1,5,1
BN165_1350048,1,29,1,9,6,1,21,7,3,1,11,5,1,1,17085,7,1
BN165_1350049,1,37,1,1,3,8,1,11,2,5,21,13,6,2,99,77,51
BN165_1350050,1,27,1,1,136,1,16,1,2,4,4,8,18,4,363,1,148
BN165_1350051,1,20,1,1,151,1,12,1,11,18,1,14,16,7,6,6,7
BN165_1370001,972,20,1,1,91,1,28,19,10,10,1,4,13,6,8,6,1
BN165_1370002,279,17,28,1,4,7,8,2,3,13,94,1,390,3,19,3,1
BN165_1370003,15,18,3,1,11,5,22,5,4,6,79,1,225,2,1,22,1
BN165_1370004,11,20,29,1,39,15,2,16,2,15,32,1,189,2,1,72,1
BN165_1370005,1,33,30,1,37,8,36,8,4,7,63,1,367,173,4,5,1
BN165_1370006,1,33,13,9,30,9,10,4,5,6,21,1,22,94,14,4,1
BN165_1370007,1,22,3,24,413,9,81,5,6,4,4,3,9,123,28,86,1
BN165_1370008,10,22,55,2,287,40,87,12,98,19,14,7,5,14,14,90,1
BN165_1380001,10,53,1,19,194,3,20,13,7,14,5,1,1,12,10,249,1
BN165_1760001,10,279,1,5,413,7,67,62,22,14,1,1,2,159,8,209,2
BN165_1380002,5,5,1,19,46,27,1,1,23,13,3,1,2,1,5,105,36
BN165_1380003,2,5,1,59,21,465,2,1,20,27,7,29,2,2,7,3,8
BN165_1380004,78,96,1,9,19,64,22,1,82,19,5,27,3,5,6,1,47
BN165_1380005,9,1,1,88,2,69,12,1,164,36,19,8,1,5,7,1,6
BN165_1390001,238,46,1,1,2,89,19,1,164,4,10,8,1,22,5,1,28
BN165_1390002,2,27,1,1,2,103,25,1,11,1,32,5,1,10,7,2,201
BN165_1390003,2,78,1,5,3,4,1,1,4,1,4,1,1,44,3,2,17
BN165_1400001,1,8,1,3,5,2,1,1,41,1,9,2,1,102,5,55,6
BN165_1400002,15,3861,1,7,2,38,1,1,2,1,5,1,1,32,8,25,1
BN165_1400003,29,10,1,1,1,7,3,1,6,55,32,1,1,22,3,1,1
BN165_1400004,16,23,2,1,1,315,9,1,4,20,18,1,1,38,233,16,1
BN165_1400005,3,3,9,1,1,23,17,1,4,2,21,3,2,4,111,21,4
BN165_1400007,1,1,7,1,1,3,13,5,7,2,15,1,5,6,3,4,12
BN165_140002,3,759,13,11,1,1,1,7,48,7,24,4,7,63,3,7,12
BN165_140003,1,3,16,16,1,1,1,7,6,10,13,2,131,1,26,9,4
BN165_140004,5,185,18,6,1,1,1,1,9,6,14,2,8,4,3,100,3
BN165_140005,1,22,9,1,5,1,1,1,12,10,21,4,5,1,2,12,2
BN165_140006,1,8,16,1,12,1,1,1,9,8,28,1,6,1,21,1,101
BN165_140007,1,12,19,1,30,5,1,1,9,8,15,1,11,19,69,13,66
BN165_140008,1,6,2,1,322,3,1,1,15,2,24,1,2,104,6,39,90
BN165_140009,3,6,4,1,23,1,1,1,16,1,5,7,1,4,5,53,12
BN165_140010,5,7,2,1,17,18,1,19,23,1,2,5,3,7,4,49,6
BN165_140011,1,1,3,3,35,2,1,1,33,6,17,7,3,83,8,30,139
BN165_1410001,32,1,1,1,7,4,1,7,48,4,77,6,1,105,26,37,1
BN165_1410002,8,1,2,1,1,1,1,1,9,135,10,9,6,328,1,43,2
BN165_1410003,2,1,1,1,4,2,1,1,21,26,24,2,7,245,1,31,4
BN165_1410004,15,1,1,1,5,9,1,67,14,4,4,2,10,123,2,23,5
BN165_1410005,3,2,1,1,4,1,18,6,15,10,21,17,2,3,356,1,10
BN165_1410006,1,28,1,1,18,2,1,9,4,5,18,4,1,1,15,3,7
BN165_1410007,1,14,2,1,13,3,1,1,1,17,21,14,1,1,36,2,26
BN165_1410008,1,3,1,16,13,1,1,18,1,10,33,2,1,1,21,6,54
BN165_1410009,1,5,1,1,14,4,32,17,1,23,10,1,5,2,68,2875,13
BN165_1410010,1,5,20,1,1,3,1,13,4,3,10,2,4,2,9,42,16
BN165_1410011,4,1,9,1,2,3,3,1,8,2,11,13,6,61,1,20,29
BN165_1410012,6,14,6,17,6,4,4,33,20,11,13,2,10,24,10,24,5
BN165_1410013,138,1,3,4,6,53,5,33,1,70,5,5,9,1,29,122,5
BN165_1410014,52,1,28,40,8,14,107,16,1,7,7,1,7,9,13,6,50
BN165_1410015,49,13,7,24,4,5,10,8,1,16,7,1,11,29,3,21,1
BN165_1410016,16,6,17,64,1,6,13,1,58,3,1,2,16,6,18,4,5
BN165_1410017,13,5,26,6,8,2,63,46,57,11,2,2,3,9,1420,59,4
BN165_1410018,24,2,6,1,116,19,705,42,36,9,10,2,3,11,1560,40,2
BN165_1410019,4739,15,31,11,4,19,256,43,22,11,1,5,4,112,109,7,19
BN165_1410020,1,99,60,839,9,81,235,40,6,18,7,1,4,1,27,5,65
BN165_1420001,8,4,23,125,12,21,283,116,2,5,25,2,3,24,23,2,3
BN165_1420002,26,1,10,93,8,16,322,8,6,5,3,1,1,15,26,4,4
BN165_1420003,9,1,12,105,4,14,2,36,5,4,47,2,2,52,111,8,66
BN165_1430001,17,1,25,168,11,5,8,32,1,5,9,2,2,39,57,12,88
BN165_1430002,49,1,3,14,2,9,39,8,2,3,10,1,2,44,61,7,245
BN165_1430003,33,1,1,4,10,4,16,31,11,3,24,2,2,23,108,72,188
BN165_1430004,49,1,4,36,16,12,636,115,3,3,48,3,1,38,2,6,86
BN165_1430005,38,3,11,2,2,1,33,26,9,4,7,1,1,38,12,3,2
BN165_1440001,34,3,4,9,2,1,10,12,4,1,17,1,8,36,35,1,1
BN165_1440002,9,1,2,465,2,1,3,2,18,1,1,5,55,24,55,1,1
BN165_1440003,10,1,1,38,1,13,1,5,2,4,1,1,1,1,2,1,1
BN165_1440004,42,79,1,2,1,7,1,4,4,1,1,1,3,1,65,1,1
BN165_1440005,39,24,33,1,1,6,1,1,2,5,2,1,5,1,4,31,2
BN165_1440006,17,1,1,1,6,1,1,23,10,23,2,1,4,7,13,9,35
BN165_1450002,6,1,3,1,3,1,20,1,8,2,1,2,3,3898,15,9,14
BN165_1450003,3,1,1,1,143,1,13,37,12,28,1,3,3,66,29,5,1
BN165_1450004,1,3,1,1,1,1,1,23,14,7,1,5,1,13,12,8,14
BN165_1450005,10,6,9,9,4,1,64,24,15,2,1,17,3,16,4,15,20
BN165_1450006,18,3,8,11,5,17,6,29,3,15,3,14,5,28,11,2,5
BN165_1450007,1,13,20,1,118,1,6,13,5,32,15,27,1,9,2,1,9
BN165_1450008,1,4,79,37,173,2,5,13,2,6,6,3,1,32,35,6,15
BN165_1450009,67,62,14,2,19,187,2,35,1,2,1,1,1,6,40,13,26
BN165_1450010,37,43,2,4,105,19,20,38,1,1,1,1,1,54,109,18,1
BN165_1450011,23,61,15,2,11,1,3,31,8,1,1,1,1,49,109,14,1
BN165_1450012,37,58,1,2,3,24,4,27,7,1,1,4,1,1,53,290,10
BN165_1450013,33,117,39,9,1,1,6,19,12,2,1,3,2,2,28,283,38
BN165_1450014,27,4,22,1,1,1,1,15,14,1,1,6,2,4,45,6,30
BN165_1450015,64,4,10,1,12,1,10,7,13,1,2,10,63,6,49,2,17
BN165_1450016,8,29,15,3,13,9,9,15,9,1,1,8,1,8,38,7,11
BN165_1450017,6,10,48,1,2,10,5,17,15,1,1,5,2,6,100,5,15
BN165_1450018,46,1,30,14,7,11,5,11,19,1,1,9,4,63,2,5,16
BN165_1450019,24,1,2,8,4,1,65,15,4,1,1,11,79,5,2,3,12
BN165_1450020,4,1,12,5,4,2,39,9,29,8,1,2,114,4,1,2,29
BN165_1450021,1,1,19,3,6,1,17,11,25,4,1,11,7,1,13,4,1
BN165_1450022,5,1,11,53,11,4,14,7,33,1,1,11,59,1,12563,1,2
BN165_1450023,7,3,1,18,225,10,5,7,29,1,16,7,4,1,184,1,1
BN165_1450024,223,1,5,7,11,3,39,14,31,1,1,10,1,1,69,2,7
BN165_1450025,586,8,1,10,23,1,45,14,22,1,1,12,1,30,71,1,2753
BN165_1450026,32,11,3,1,22,22,191,14,38,1,1,8,1,5,140,2,52
BN165_1450027,6,1,1,19,2,23,41,5,24,1,1,3,4,5,14,1,24
BN165_1450028,13,1,1,23,70,1,33,18,45,1,2,8,5,3,59,2,19
BN165_1450029,8,2,46,132,29,1,32,4,15,1,6,4,1,7,15,1,145
BN165_1450030,17,1,35,14,8,4,22,33,27,1,5,14,2,19,227,1,3
BN165_1450031,4,3,25,11,44,2,30,23,20,1,5,27,2,3,165,1,18
BN165_1450032,12,3,7,12,2,1,18,2,16,1,131,4,1,4,5,7,4
BN165_1450033,8,2,1,7,7,1,35,1,20,1,10,15,2,8,11,3,34
BN165_1450034,14,1,1,15,21,3,1,1,36,1,27,24,3,20,7,7,26
BN165_1450035,43,1,1,6,31,1,1,1,7,1,43,8,81,25,11,8,9
BN165_1450036,58,1,4,25,4,1,4,1,13,11,706,25,4,20,13,10,5
BN165_1450037,124,1,3,2,8,1,25,1,5,1,215,3,10,332,32,16,5
BN165_1450038,20,5,6,11,9,6,19,1,5,1,212,281,7,304,24,1,3
BN165_1450039,34,34,1,9,9,4,4,5,4,1,260,3,4,6,217,2,4
BN165_1450040,51,17,8,12,9,1,1,10,6,1,388,5,76,2,18,3,6
BN165_1450041,33,12,2,22,14,1,29,12,8,1,5,5,7,7,10,1,12
BN165_1450042,32,12,1,18,8,8,26,12,3,1,10,3,4,6,1,2,7
BN165_1450043,31,4,1,10,5,1,31,14,3,1,35,6,14,6,1,4,72
BN165_1450044,25,14,265,21,2,4,30,5,3,1,17,3,1,2,1,3,5
BN165_1450045,26,14,72,24,5,1,23,26,2,96,212,4,2,3,1,23,3
BN165_1450046,14,8,1,3,9,1,29,3,5,6,48,6,2,5,93,23,1
BN165_1450047,44,158,3,10,5,1,26,2,6,12,9,3,5,1,10,1,1
BN165_1450048,40,442,4,6,5,1,17,1,6,24,2,2,9,2,11,4,1
BN165_1450049,28,237,1,6,4,6,17,1,7,330,1,1,6,1,7,5,1
BN165_1450050,27,3,29,10,5,8,27,1,1,142,1,4,12,1,11,7,28
BN165_1450051,44,2,22,6,6,12,33,1,1,137,1,1,1,2,23,10,7
BN165_1450052,136,1,14,3,70,1,27,48,2,161,1,13,80,2,41,21,8
BN165_1460002,4,1,25,4,10,1,30,2,2,267,11,4,2,1,7,9,4
BN165_1470001,4,18,10,2,18,1,26,6,3,1,3,6,2,1,6,52,3
BN165_1470002,73,45,1,8,30,1,14,9,1,6,1,21,15,1,13,3,8
BN165_1470003,1,41,1,14,23,1,6,1,2,7,59,2,1,1,42,16,10
BN165_1470004,46,28,10,3,47,1,22,2,2,8,6,13,6,1,47,21,1
BN165_1470005,48,18,6,10,32,1,26,22,1,153,9,1,1,3,45,22,3
BN165_1470006,91,11,2,1,30,4,20,16,3,30,4,1,1,3,39,22,4
BN165_1470007,24,38,3,1,8,1,21,14,1,3,3,1,1,5,45,14,12
BN165_1470008,4302,34,21,2,1,1,17,6,1,1,31,2,1,3,19,2,18
BN165_1470009,17,30,4,13,2,1,13,80,7,1,8,1,1,3,9,4,11
BN165_1470010,32,59,4,10,1,1,19,1,15,1,5,1,1,6,13,62,10
BN165_1470011,5,18,12,1,1,1,13,4,1,1,7,1,1,1,18,419,12
BN165_1470012,2,60,1,1,3,12,8,1,28,1,2,1,1,1,2,374,7
BN165_1470013,470,10,7,5,8,1,12,2,8,7,17,1,1,1,3,488,2
BN165_1470014,1,8,6,5,24,22,19,7,25,1,15,4,1,1,5,601,2
BN165_1470015,212,9,17,1,2,1,17,33,30,1,6,2,1,2,3,289,3
BN165_1470016,48,1,20,1,1,1,14,8,5,42,4,1,1,2,8,656,1
BN165_1470017,20,1,11,1,1,1,19,7,3,3,50,1,3,9,5,13,2
BN165_1470018,24,6,78,1,34,32,7,5,1,4,52,1,2,12,2,21,2
BN165_1470020,13,60,23,179,32,4,5,30,1,2,23,1,4,20,3,157,3
BN165_1470021,10,12,17,133,25,3,6,6,2,2,40,1,79,4,1,157,2
BN165_1470022,9,1,2,1,33,1,1,3,1,20,3,1,9,1,1,4,1
BN165_1470023,1,3,1,7,24,3,2,10,1,5,34,1,12,2,2,44,1
BN165_1470024,1,1,1,17,2,5,24,27,1,3,45,1,13,1,18,153,1
BN165_1470025,1,1,1,5,5,3,1,8,1,6,145,1,10,2,12,153,1
BN165_1480002,1,2,1,2,5,52,3,107,1,1,34,1,10,2,20,31,1
BN165_1480003,1,1,1,79,1,3,127,1,3,16,20,1,20,1,20,50,4
BN165_1480004,2,1,563,59,4,19,30,56,4,8,18,1,14,53,20,4,5
BN165_1480005,11,1,230,1,5,11,4,50,10,4,18,1,17,215,26,232,9
BN165_1480006,7,5,7,4,2,5,12,7,5,2,29,1,5,1,1,3,8
BN165_1480007,8,5,5,13,8,19,19,17,1,10,17,5,1,1,1,5,12
BN165_1480008,6,6,1,2,6,22,8,81,1,41,20,1,1,1,1,6,16
BN165_1490001,6,7,1,2,32,18,4,4,1,16,3,1,1,4,1,88,1
BN165_1490002,2,10,1,1,4,22,67,17,1,26,5,1,1,2,2,72,1
BN165_1490003,7,10,38,5,16,50,63,10,1,2,9,2,3,1,3,1,1
BN165_1490004,1,16,38,2,3,3,3,12,1,21,9,1,7,3,2,3,1
BN165_1490005,2,7,38,1,18,20,5,20,1,28,37,1,11,5,2,4,1
BN165_1490006,14,16,2,1,20,9,6,1,1,73,11,1,1,3,9,2,1
BN165_1490007,6,3,1,5,20,43,6,12,1,21,23,1,1,12,10,3,1
BN165_1490008,3,1,33,7,22,8,5,3,1,12,5,1,1,1,11,3,6
BN165_1490009,2,2,1,1,25,3,1,3,1,12,1,28,39,5,15,21,49
BN165_1490010,6,1,123,1,24,1,2,251,1,9,8,3,36,8,30,13,36
BN165_1490011,31,1,1,11,24,3,1,22,1,21,14,4,12,13,14,7,63
BN165_1500002,6,1,1,1,9,3,1,47,1,13,1,4,16,6,107,9,50
BN165_150001,4,11,1,2,7,1,1,31,11,15,3,170,10,8,45,30,3
BN165_150002,65,11,6,3,45,1,13,15,1,3,1,60,1,9,1,30,2
BN165_1520002,1,2,15,2,18,1,11,7,1,3,4,46,3,9,40,13,1
BN165_1520003,1,2,9,1,52,1,2,1,1,5,90,54,1,5,55,9,1
BN165_1520004,1,3,2,3,52,1,1,3,2,5,113,107,1,6,87,16,19
BN165_1520005,1,8,1,7,9,1,13,61,1,19,2,1,1,2,81,1,8
BN165_1520006,1,4,21,5,8,1,2,143,1,6,11,2,5,8,42,2,30
BN165_1520007,1,4,5,28,26,1,3,145,4,28,13,3,1,4,11,1,181
BN165_1520008,2,7,1,1,70,1,4,327,45,1,9,1,8,9,13,2,248
BN165_40003,2,7,8,1,11,5,6,242,4,6,3,4,4,2,28,1,9
BN165_1520009,1,6,1,1,19,8,1,544,6,10,3,120,2,2,208,6,1
BN165_1520010,1,7,1,1,4,3,3,541,18,1,1,16,15,1,27,3,1
