,media_1,media_2,media_3,Cpmedia_1,Cpmedia_2,Cpmedia_3
CDR20291_1052,10276.89626,11103.23919,10640.82951,13119.21703,12133.72585,13055.13721
CDR20291_1053,3382.876984,3717.425205,3446.726239,3223.90608,2557.068334,2890.705657
CDR20291_1054,2915.628111,2953.158347,2756.825049,2283.94311,1946.21179,2104.520722
CDR20291_1055,2629.924194,2759.981727,2596.412695,2198.875948,1827.543461,1966.41076
CDR20291_1056,2666.609766,2643.7994,2676.819231,2215.300969,1937.524718,2029.603223
CDR20291_1057,4481.350956,4387.653856,4304.061568,3514.283831,3023.609266,3297.95729
CDR20291_1058,2316.111512,2302.216827,2172.166535,1859.664301,1718.146095,1691.20168
CDR20291_1059,1036.333046,1001.537691,884.7567174,569.8893414,434.0348273,456.4000059
CDR20291_1060,2397.129277,2134.17091,2018.700264,1649.672583,1492.951931,1600.148962
CDR20291_1061,4683.037905,4438.781567,4377.289236,4133.098411,3826.044664,4028.31839
CDR20291_1062,3434.787188,3345.117101,3275.287876,3335.189454,3426.454941,3560.107279
CDR20291_1063,841.5434783,901.4283416,853.8222805,1282.900886,1838.294253,1571.224919
CDR20291_1064,2380.279048,2406.827449,2275.504935,2196.94342,1992.019424,2155.432996
CDR20291_1065,3646.912828,3866.853789,4281.186591,2264.16283,1177.769906,1372.18568
CDR20291_1066,15006.89618,15217.80858,14705.78319,8375.682272,5418.763623,6156.462919
CDR20291_1067,3736.824257,3584.107018,2935.875348,1390.195438,1222.501059,1164.220007
CDR20291_1068,999.986633,838.6714881,897.9523003,2327.878426,3990.826931,3170.790843
CDR20291_1069,462.3443666,395.7136442,467.9284056,600.4998186,711.1962959,662.5061331
CDR20291_1070,684.7801158,658.6019622,689.0543636,399.4765482,189.1851449,277.3905828
CDR20291_1071,51.25649773,55.97260546,42.64743296,26.52135535,35.25310679,37.95327299
CDR20291_1072,85.48968186,99.0734372,64.28750252,69.11180723,115.1450834,83.64822374
CDR20291_1073,9.353110292,12.26676393,36.50925438,15.86211013,14.29970817,9.344976267
CDR20291_1074,186.5311157,170.3059938,141.2808091,151.7513352,246.053734,157.7894021
CDR20291_1075,60.39688757,54.26608783,44.90666565,43.06190982,61.67072921,65.601732
CDR20291_1076,193.4144135,185.5464258,150.6667855,157.8880311,187.6901852,142.9553696
CDR20291_1077,107.1034394,84.87162528,61.26947567,70.05242072,29.8083869,56.88754826
CDR20291_1078,1113.991107,921.0738351,862.4667329,2719.531649,1480.720881,2839.531105
CDR20291_1079,684.8128676,611.3666308,526.1031945,709.6672895,724.2515215,681.4759814
CDR20291_1080,81.16845794,86.10244497,115.1752006,165.9567386,199.9996964,158.3944527
CDR20291_1081,26.17592111,21.50486844,24.03132016,17.89098608,23.60751039,18.11757548
CDR20291_1082,91.18546681,83.62640851,80.07472315,64.99212435,54.97588429,44.28350471
CDR20291_1083,48.80142602,59.74194903,68.26931637,48.3749277,32.35635075,42.77663817
CDR20291_1084,77.36231169,79.78435669,69.59232491,51.88716114,45.23907105,77.14277827
CDR20291_1085,13931.95406,14300.5796,13446.68565,19729.98173,20195.3706,21444.24645
CDR20291_1086,3772.355699,3921.538367,3725.323509,5389.288112,4648.343601,4743.936554
CDR20291_1087,769.027298,895.4747857,759.4936013,781.8841217,754.2453046,741.8815233
CDR20291_1088,1893.230036,1919.465614,1765.745862,2107.040019,1978.554376,2049.699925
CDR20291_1089,7568.55411,8668.087491,7799.273347,8457.772269,8092.417291,7949.933075
CDR20291_1090,4114.795451,4425.105083,4218.890711,4895.74941,5097.764458,4947.424583
CDR20291_1091,3375.875537,3589.322899,2768.014912,3043.709594,2865.73601,3260.548581
CDR20291_1092,17634.38937,19104.99156,15152.69722,16566.93387,15004.47271,16592.63049
CDR20291_1093,10893.16071,13110.54465,12119.73051,8601.019734,7160.973436,8066.566434
CDR20291_1094,8755.488751,10040.37825,9549.649052,7121.937205,5920.847581,6568.936026
CDR20291_1095,2284.782311,2583.463884,2371.200596,1421.446416,1458.893647,1517.258303
CDR20291_1096,3149.595847,3364.785913,2973.18393,1838.315915,2017.902845,2211.327515
CDR20291_1097,21851.4743,23278.47616,19934.28169,18440.35744,12082.70624,15207.36946
CDR20291_1098,3288.949178,3609.524297,3064.109204,2615.880643,2620.419365,2677.218178
CDR20291_1099,96.68813792,96.03204533,103.4660752,63.83538721,89.61804192,85.04825322
CDR20291_1100,21215.46236,20651.94442,19322.21679,12475.51714,11531.88712,12546.62747
CDR20291_1101,6627.348177,7315.825762,7664.250501,5675.284497,4762.993947,4724.585342
CDR20291_1102,1094.106909,1332.670125,1161.129364,795.8578718,603.7757485,624.3053419
CDR20291_1103,3204.367721,3711.85207,3237.604401,2507.898074,2160.295572,2245.282095
CDR20291_1104,906.47662,1142.359482,1032.323912,1230.323508,1212.812657,1281.660997
CDR20291_1105,1448.739008,1508.743667,1387.465324,1279.342648,1606.389468,1217.938862
CDR20291_1106,814.1929956,692.9166439,710.3907568,806.5079811,993.4723464,857.9858235
CDR20291_1107,658.6713551,511.8978015,472.8408929,542.3445978,743.2202499,580.4162093
CDR20291_1108,580.5413424,487.0499746,416.7422327,606.2096467,684.5480496,594.8202694
CDR20291_1109,474.6564903,427.6838738,441.0581298,452.1943011,407.1430598,424.1239079
CDR20291_1110,762.6059621,645.0821113,646.3924334,682.6418251,723.3785456,627.5675736
CDR20291_1111,39.37254323,31.08870678,30.98976694,20.52100241,18.37193908,33.02909878
CDR20291_1112,244.508634,187.2790356,240.9110905,196.1382363,164.5506255,180.6851337
CDR20291_1113,1141.717494,1184.053046,924.9900265,1225.5758,1222.779877,1128.066967
CDR20291_1114,8314.189987,8760.496978,7634.717182,7779.765746,7722.42372,7448.968778
CDR20291_1115,9707.499416,10274.70961,9756.730071,11301.30692,10525.05389,10912.32578
CDR20291_1116,736.2546345,824.04425,757.319885,720.1167428,991.0911933,959.7960064
CDR20291_1117,354.0312743,405.7853583,393.88591,426.4873085,513.6774743,446.5209328
CDR20291_1118,3541.075773,2905.60928,6894.843068,3890.438342,10787.65,7435.37608
CDR20291_1119,35328.64998,32019.7628,53145.83453,42936.5008,80960.24301,51906.26286
CDR20291_1120,19793.97855,18106.66217,23538.68328,19271.61691,42523.50808,24656.21967
CDR20291_1121,3395.567508,3958.468073,3495.124181,4015.280333,4294.644505,4166.912239
CDR20291_1122,11326.31548,12827.83427,12561.79491,13347.4359,12443.68362,13768.67394
CDR20291_1123,1600.714168,1808.302096,1803.010396,2021.758554,1993.974162,2011.209982
CDR20291_1124,18043.89281,17804.37288,17567.72798,19999.84225,21804.42764,20947.1159
