,D240-01,D240-02,D240-03,BHISG-01,BHISG-02,BHISG-03
CD630_02690,134,22,128,30,17,13
CD630_02700,72,5,110,17,7,11
CD630_02710,48,3,68,25,15,8
CD630_02720,38,4,63,10,5,1
CD630_02730,1693,302,1052,219,125,76
CD630_02731,6,0,4,1,0,0
CD630_02740,253,101,182,8,9,4
CD630_02750,303,89,183,13,10,9
CD630_02760,125,51,62,13,6,5
CD630_02770,29,6,18,2,0,0
CD630_02780,294,88,125,2,1,0
CD630_02790,230,206,920,36,30,16
CD630_02791,16,1,8,0,0,0
CD630_02810,57,5,93,0,0,0
CD630_02820,969,501,905,4,3,0
CD630_02830,570,176,373,6,4,6
CD630_02840,7,4,5,1,0,1
CD630_02850,1,0,5,0,0,0
CD630_02860,2,1,7,0,0,0
CD630_02870,9,2,10,0,0,0
CD630_02880,10,2,18,0,0,0
CD630_02890,19,3,23,0,0,0
CD630_02900,37,10,21,4,0,1
CD630_02910,42,15,28,1,0,1
CD630_02920,198,41,86,0,1,1
CD630_02921,14,1,5,0,0,0
CD630_02930,187,52,88,3,2,0
CD630_02940,57,7,21,0,0,0
CD630_02950,360,97,170,27,10,11
CD630_02960,110,37,85,11,5,2
CD630_02970,96,32,35,1,0,2
CD630_02980,12,3,9,2,0,4
CD630_02990,13,0,2,1,0,0
CD630_03000,9,1,1,2,1,0
CD630_03010,7,3,6,0,0,1
CD630_03020,15,5,7,0,0,0
CD630_03030,10,6,15,3,0,0
CD630_03040,36,7,24,2,1,1
CD630_03050,50,22,49,0,0,0
CD630_03060,354,40,188,0,0,1
CD630_03070,1199,354,692,15,6,6
CD630_03080,428,69,377,3,1,2
CD630_03090,1068,242,606,12,6,3
CD630_03100,339,123,308,4,3,0
CD630_03110,113,97,92,6,1,0
CD630_03120,1185,373,1277,2,0,0
CD630_03130,36326,11189,26544,58,22,35
CD630_03140,136,27,175,0,0,0
CD630_03150,33,13,36,0,0,0
CD630_03160,170,24,36,61,40,25
CD630_03170,126,18,37,5,5,5
CD630_03180,305,34,57,6,5,1
CD630_03181,18,0,6,0,0,0
CD630_03190,335,37,80,21,6,6
CD630_03200,391,55,77,4,3,2
CD630_03210,68,16,8,1,0,0
CD630_03220,94,32,40,15,6,14
CD630_03230,171,31,92,8,1,1
CD630_03240,329,138,260,390,312,283
CD630_03250,91,27,85,61,54,52
CD630_03260,45,12,42,10,14,12
CD630_03270,605,132,411,128,90,55
CD630_03280,1773,453,1416,47,31,24
CD630_03290,768,158,589,50,44,15
CD630_03300,566,119,535,27,11,17
CD630_03310,2041,596,1004,22,15,13
CD630_03320,119,47,87,1,2,0
CD630_03330,4950,738,2737,143,88,42
CD630_03340,79,34,69,0,3,1
CD630_03350,36,0,12,0,0,1
CD630_03360,142,48,116,8,0,1
CD630_03370,224,64,192,4,0,0
CD630_03380,31,0,15,0,0,0
CD630_03390,51,1,24,0,0,0
CD630_03400,1501,427,1980,95,69,34
CD630_03410,191,64,186,12,4,4
CD630_03420,181,16,67,0,0,0
CD630_03430,86,15,43,0,0,0
CD630_03440,317,73,200,6,0,1
CD630_03450,2766,816,1840,22,18,11
CD630_03460,986,353,802,9,4,1
CD630_03470,558,133,470,2,5,2
CD630_03480,795,64,535,6,3,2
CD630_034801,1017,330,788,11,7,4
CD630_03500,4434,1477,2827,32,14,15
CD630_03510,3002,610,2299,24,9,6
CD630_03520,198,62,95,1,1,0
CD630_03530,163,72,130,0,1,0
CD630_03540,0,0,0,0,0,0
CD630_035401,0,0,0,0,0,0
CD630_03541,91,16,62,1,0,0
CD630_03550,14996,7053,10953,1073,696,536
CD630_03560,20,20,33,125,72,85
CD630_03580,72,81,209,310,209,133
CD630_03590,55,59,172,158,130,77
CD630_03600,13,1,9,0,0,0
CD630_03610,30,5,31,0,2,2
CD630_03620,31,6,27,4,4,1
CD630_03630,52,6,30,1,0,4
CD630_03640,48,8,35,1,1,0
CD630_03650,67,14,42,6,2,4
CD630_03660,149,12,85,8,6,5
CD630_03670,68,8,45,6,5,0
CD630_03680,84,9,46,2,6,2
CD630_03690,36,16,12,4,2,0
CD630_03700,19,5,8,1,0,0
CD630_03710,6,3,3,8,1,1
CD630_03720,0,2,3,10,4,2
CD630_03730,16,9,20,11,17,8
CD630_03740,14,7,17,20,17,12
CD630_03750,2,0,0,4,2,1
CD630_03760,2,1,6,26,9,14
CD630_03770,2,1,7,9,8,9
CD630_03780,2,0,1,8,4,3
CD630_03790,4,2,5,16,4,8
CD630_03800,0,1,0,7,1,2
CD630_03810,12,7,16,70,37,33
CD630_03820,3,1,7,47,21,16
CD630_03830,23,21,36,151,81,70
CD630_03840,6,2,10,61,33,33
CD630_03850,5,5,19,78,38,20
CD630_03851,9,9,6,35,29,18
CD630_03860,78,37,99,303,189,172
CD630_03880,169,64,134,6,9,6
CD630_03890,60,21,62,8,6,2
CD630_03900,28,3,32,4,0,0
CD630_03901,1,0,0,0,0,0
CD630_03910,132,31,390,3,1,2
CD630_03920,4582,753,3097,43,27,26
CD630_03930,2977,671,2097,39,27,29
CD630_03940,12742,3590,9950,219,133,86
CD630_03950,10644,2700,11140,1831,1240,768
CD630_03960,6878,1696,7594,1629,1159,799
CD630_03970,10296,2552,11598,2264,1694,961
CD630_03980,9621,2157,11105,2065,1336,991
CD630_03990,9296,2171,16257,2027,1206,1231
CD630_04000,11391,2224,19627,2711,1780,1260
CD630_04010,17787,5214,30233,4076,3598,2121
CD630_04020,1686,431,1652,34,41,24
CD630_04030,7333,2202,3499,1820,1259,809
CD630_04040,151,45,94,9,3,4
CD630_04050,250,68,160,9,6,4
CD630_04060,676,162,458,17,7,7
CD630_04080,58,29,46,3,0,2
CD630_04081,257,82,162,12,4,4
CD630_04090,5,2,8,0,1,3
CD630_04100,11,3,15,5,5,2
CD630_04110,4,1,5,3,0,2
CD630_04120,13,2,17,13,12,4
CD630_04121,1,0,0,3,0,0
CD630_04130,1,0,2,21,5,8
CD630_04140,2,1,0,10,5,6
CD630_04150,4,1,5,26,13,14
CD630_04160,0,0,0,0,0,0
CD630_04170,0,0,2,1,0,1
CD630_04180,1,1,5,10,9,0
CD630_04190,2,2,9,6,3,2
CD630_04191,0,0,0,0,1,0
CD630_04200,6,0,6,3,1,2
CD630_04210,2,2,3,0,3,1
CD630_04220,1465,708,785,33,21,25
CD630_04230,321,76,311,27,22,16
CD630_04240,28,9,28,2,4,1
CD630_04250,865,311,774,3,3,4
CD630_04260,306,153,217,0,0,0
CD630_04270,303,45,97,0,1,0
CD630_04280,1788,339,727,14,5,2
CD630_04290,190,42,122,0,0,0
CD630_04300,105,30,77,0,0,2
CD630_04310,127,30,118,2,1,3
CD630_04320,212,39,202,2,1,0
CD630_04330,213,27,196,6,3,3
CD630_04340,163,36,183,6,5,6
CD630_04341,19,5,26,6,3,2
CD630_04350,2,0,2,0,0,0
CD630_04351,66,72,80,376,263,186
CD630_04352,0,0,0,0,1,1
CD630_04360,143,48,137,95,60,65
CD630_04370,4,4,0,1,0,0
CD630_04371,0,0,0,0,0,0
CD630_04380,257,70,121,1,0,1
CD630_04390,153,51,62,5,3,2
CD630_04400,175,43,181,19,14,18
CD630_04401,172,210,41,17,9,6
CD630_04410,269,61,182,6,2,4
CD630_04420,4,2,16,0,0,0
CD630_04430,3,0,4,0,0,0
CD630_04440,10,5,19,2,0,0
CD630_04450,4,0,3,0,0,0
CD630_04460,53,12,49,3,1,0
CD630_04470,12,5,19,1,1,1
CD630_04480,9,1,5,0,1,0
CD630_04490,43,16,47,3,1,0
CD630_04500,8,2,4,1,1,0
CD630_04510,202,41,96,1,1,3
CD630_04520,1040,249,480,114,58,54
CD630_04530,1173,339,632,170,87,65
CD630_04532,711,356,377,226,137,114
CD630_04540,374,81,313,8,6,4
CD630_04550,766,134,901,39,21,21
CD630_04560,20,6,22,0,0,1
CD630_04570,1,0,0,0,0,0
CD630_04580,18,2,13,1,0,1
CD630_04590,90,18,71,2,1,0
CD630_04600,232,47,215,4,1,2
CD630_04610,249,58,149,4,4,1
CD630_04620,103,16,60,4,2,3
CD630_04630,36,2,15,1,0,1
CD630_04640,16,6,12,0,0,0
CD630_04650,91,6,34,0,0,0
CD630_04660,591,91,303,7,4,3
CD630_04670,15,4,10,0,0,0
CD630_04680,27,13,30,0,1,0
CD630_04690,69,11,54,1,3,2
CD630_04700,251,48,98,4,2,0
CD630_04710,97,25,29,1,0,1
CD630_04720,571,107,335,1,0,1
CD630_04730,453,81,351,1,0,1
CD630_04740,881,231,511,4,4,2
CD630_04750,32,7,27,0,0,0
CD630_04760,8,2,4,0,0,0
CD630_04770,252,48,126,2,2,1
CD630_04780,100,27,116,0,1,1
CD630_04790,152,34,173,3,2,3
CD630_04800,174,40,188,6,2,2
CD630_04810,256,48,226,10,8,7
CD630_04820,707,168,566,19,14,9
CD630_04830,43,11,68,0,0,0
CD630_04840,2,2,4,0,0,0
CD630_04850,31,3,32,0,0,0
CD630_04860,19,5,29,0,0,0
CD630_04870,564,174,368,6,6,3
CD630_04880,733,602,417,1,3,0
CD630_04890,5877,4893,3151,27,15,4
CD630_04900,7,5,21,0,0,0
CD630_04910,7,2,12,0,0,0
CD630_04920,13,4,11,0,0,0
CD630_04930,41,8,13,3,2,1
CD630_04940,73,12,38,3,0,1
CD630_04950,361,87,170,69,88,35
CD630_049501,131,11,91,66,47,32
CD630_04960,4,3,5,1042,797,402
CD630_04970,3,2,11,1317,1070,616
CD630_04980,13,7,24,4648,3413,1807
CD630_04981,0,0,2,264,178,142
CD630_04990,9,3,20,2976,2510,1183
CD630_04991,1,2,1,218,224,81
CD630_05000,3,3,13,863,725,377
CD630_05010,1,0,1,282,272,125
CD630_05020,4,1,13,1330,1198,593
CD630_05030,4,0,9,1058,973,480
CD630_05040,1,0,2,317,303,159
CD630_050401,5,2,5,221,198,85
CD630_05060,32,9,68,3103,2745,1095
CD630_05070,18,8,19,290,246,132
CD630_05071,8216,3021,3869,36,14,17
CD630_05080,123068,44339,84380,992,774,462
CD630_05081,11946,4297,9227,132,88,56
CD630_05090,597,407,297,1,1,1
CD630_05091,393,124,609,3,2,1
CD630_05100,60,30,130,1597,1002,735
CD630_05101,31,14,60,1255,799,615
CD630_05102,0,0,0,0,0,0
CD630_05103,21,3,31,565,444,253
CD630_05110,1525,437,953,5172,4601,2058
CD630_05130,41,4,38,22,20,15
CD630_05140,619,173,502,1291,621,408
CD630_05150,461,236,334,181,134,80
CD630_05160,560,181,384,2,9,3
CD630_05170,1430,334,855,3,2,3
CD630_05180,617,150,357,1,2,1
CD630_05190,9535,5855,6853,267,220,174
CD630_05200,2222,500,1457,10,6,7
CD630_05210,1560,496,998,14,4,12
CD630_05211,33,4,9,2,0,0
CD630_05220,747,137,565,7,4,3
CD630_05230,542,138,485,16,10,9
CD630_05240,462,70,192,1,4,2
CD630_05250,535,87,229,4,0,0
CD630_052501,337,66,137,0,0,0
CD630_05270,106,12,72,0,0,0
CD630_05280,1353,112,642,13,10,4
CD630_05290,316,23,141,3,0,0
CD630_05300,786,117,251,0,0,1
CD630_05310,45,7,12,0,0,1
CD630_05320,42,20,31,4,0,0
CD630_05330,136,22,76,0,2,2
CD630_05340,146,32,98,8,0,2
CD630_05350,153,56,102,5,3,4
CD630_05360,136,27,107,3,2,2
CD630_05370,518,130,273,9,2,5
CD630_05380,839,176,477,10,9,5
CD630_05390,628,96,456,7,1,6
CD630_05400,63,5,35,0,0,0
CD630_05410,179,25,132,1,1,0
CD630_05420,338,105,256,5,3,1
CD630_05430,36,2,29,3,0,1
CD630_05440,797,192,600,58,25,25
CD630_05450,1959,594,1260,52,21,26
CD630_05460,485,135,348,2,2,1
CD630_05470,182,65,123,6,2,4
CD630_05480,1109,202,639,36,22,14
CD630_05490,47,15,37,130,71,43
CD630_05500,19,5,14,0,3,1
CD630_05510,1,6,5,0,0,0
CD630_05520,14,7,5,0,0,0
CD630_05530,347,126,167,8,3,3
CD630_05540,358,122,149,10,7,3
CD630_05550,283,48,146,3,2,2
CD630_05560,365,73,222,16,3,3
CD630_05570,992,251,734,20,19,4
CD630_05580,946,265,504,29,24,22
CD630_05590,1260,458,708,536,285,255
CD630_05600,3351,1425,2536,3734,3107,1120
CD630_05610,3448,1354,2365,78,19,29
CD630_05620,765,469,359,1,1,2
CD630_05621,11,3,7,0,0,0
CD630_05630,344,81,250,5,2,0
CD630_05640,1892,533,1666,38,19,32
CD630_05650,3454,1314,2522,28,12,14
CD630_05660,4361,1613,2869,21,9,9
CD630_05670,11191,4460,7904,39,18,11
CD630_05690,2321,584,1681,4,2,3
CD630_05700,3607,1338,3101,8,5,1
CD630_05710,115,44,104,3,0,2
CD630_05720,122,25,114,0,0,0
CD630_05730,516,109,302,1,0,1
CD630_05740,9718,2991,8021,2801,1174,918
CD630_05750,287,46,312,1,0,0
CD630_05760,240,18,136,0,0,0
CD630_05770,2261,956,867,0,4,3
CD630_05780,3145,963,1313,2,0,0
CD630_05790,328,49,118,0,0,0
CD630_05800,10067,3524,4496,135,24,37
CD630_05810,706,334,101,28,17,7
CD630_05820,3029,1815,670,214,184,122
CD630_05821,8,23,6,1,4,4
CD630_05822,302,136,288,2,4,0
CD630_05830,240,46,278,2,1,0
CD630_05840,172,31,170,1,0,0
CD630_05850,234,52,147,8,0,2
CD630_05860,222,64,82,2,2,1
CD630_05870,221,127,664,40,27,26
CD630_05880,53,14,178,3,2,2
CD630_05890,28,5,38,4,3,1
CD630_05900,113,33,200,26,12,4
CD630_05910,158,158,1655,181,173,99
CD630_05920,12,11,157,20,16,12
CD630_05921,22,5,17,0,0,0
CD630_05930,6,3,1,0,0,0
CD630_05940,505,130,453,36,13,11
CD630_05950,290,113,225,9,11,8
CD630_05960,1,0,1,0,0,0
CD630_05970,2,0,0,0,0,0
CD630_05980,28,6,8,4,4,3
CD630_05990,2,0,0,0,0,0
CD630_06000,0,0,2,0,0,0
CD630_06010,89,23,63,5,1,1
CD630_06011,4,0,2,0,0,0
CD630_06012,7,1,1,0,0,0
CD630_06020,290,145,155,11,11,9
CD630_06030,56,16,29,0,0,0
CD630_06040,280,109,165,2,2,5
CD630_06050,293,92,179,4,5,8
CD630_06060,560,368,427,301,133,137
CD630_060601,491,339,322,26,7,16
CD630_060602,9,3,2,0,0,1
CD630_06071,81,27,88,6,7,5
CD630_06080,645,262,255,1,3,0
CD630_06090,249,119,156,0,0,1
CD630_06100,189,35,213,1,0,0
CD630_06110,191,50,163,0,1,0
CD630_06120,13,1,13,1,0,0
CD630_06130,20,4,8,0,1,0
CD630_06140,116,12,24,0,0,0
CD630_06150,1247,185,486,6,1,4
CD630_06160,124,34,38,3,3,2
CD630_06170,6,4,3,4,0,0
CD630_06180,0,0,0,0,0,1
CD630_06190,1,1,0,0,0,0
CD630_06200,0,0,1,2,0,0
CD630_06210,1,0,3,0,0,0
CD630_06220,0,0,0,2,1,0
CD630_06230,0,0,0,0,0,0
CD630_06240,0,2,2,0,1,0
CD630_06250,47,15,34,0,0,0
CD630_06260,25,6,20,3,1,1
CD630_06270,5,1,0,0,0,0
CD630_06271,9,15,6,5,3,5
CD630_06280,51,13,31,23,14,19
CD630_06290,395,162,168,2,1,1
CD630_06300,15,5,1,0,0,0
CD630_06310,34,10,16,0,2,0
CD630_06320,45,11,15,0,1,0
CD630_06330,144,44,53,12,4,2
CD630_06340,69,8,30,3,0,3
CD630_06350,131,42,66,7,5,6
CD630_06360,98,19,57,1,2,1
CD630_06370,42,2,15,0,0,0
CD630_06380,21,3,2,0,0,0
CD630_06390,442,95,297,6,0,6
CD630_06400,52,18,46,2,0,1
CD630_06410,53,4,34,2,0,0
CD630_06420,56,27,46,3,0,0
CD630_06421,90,26,44,17,15,14
CD630_06430,116,22,49,0,0,1
CD630_06440,137,20,66,0,0,0
CD630_06450,152,30,101,3,1,0
CD630_06460,44,3,31,0,0,0
CD630_06470,35,5,17,0,0,0
CD630_06480,572,209,599,15,9,4
CD630_06490,3,1,2,0,1,0
CD630_06500,18,5,10,7,0,1
CD630_06510,237,51,103,2,0,1
CD630_06511,0,0,0,0,0,0
CD630_06512,0,0,0,0,0,0
CD630_06520,295,237,105,4,1,1
CD630_06530,711,341,284,6,5,2
CD630_06540,134,18,30,1,0,1
