geneid,X18_OFF_1,X18_OFF_2,X18_OFF_3,X18_ON_1,X18_ON_2,X18_ON_3
DLK00_00015,374,333,302,565,387,389
DLK00_00020,980,852,771,987,877,1008
DLK00_00025,4076,3672,3555,4467,3655,3874
DLK00_00030,10418,8885,8602,10774,8718,11156
DLK00_00035,6424,5541,5610,7115,5796,6882
DLK00_00040,64675,54446,52539,72413,58311,73290
DLK00_00050,6876,5292,5689,8372,5878,7630
DLK00_00070,30111,26463,26023,37910,29664,32981
DLK00_00085,31079,26673,25239,32094,24725,35192
DLK00_00090,16673,13487,14156,25506,16805,21293
DLK00_00095,14541,11463,13205,24046,15734,18444
DLK00_00105,1524,1349,1317,2157,1495,1827
DLK00_00110,1445,1455,1354,2012,1554,1829
DLK00_00115,797,704,706,1001,837,942
DLK00_00120,1260,1050,1088,1701,1349,1504
DLK00_00130,4342,3734,3716,5420,4658,5259
DLK00_00135,122,125,144,152,125,140
DLK00_00145,424,290,430,558,267,493
DLK00_00150,1819,1447,1493,2106,1680,2027
DLK00_00155,167,100,147,261,96,233
DLK00_00160,3375,2996,2888,4748,3365,4124
DLK00_00165,7613,7076,6449,10101,7747,8766
DLK00_00170,330,243,254,377,280,341
DLK00_00180,1548,1285,1254,1821,1491,1805
DLK00_00185,523,412,418,651,483,545
DLK00_00195,2208,1976,1934,3174,2414,2420
DLK00_00200,1115,918,829,1122,983,1423
DLK00_00205,2812,2467,2293,3397,2583,3552
DLK00_00210,117,103,107,161,108,129
DLK00_00225,247,279,213,269,222,265
DLK00_00230,91,76,78,60,49,103
DLK00_00235,123,77,81,76,83,108
DLK00_00245,161,128,125,162,119,185
DLK00_00250,26059,20504,21289,38014,24454,25214
DLK00_00260,124,92,104,139,99,138
DLK00_00265,7,8,5,7,6,3
DLK00_00270,7,6,2,6,6,7
DLK00_00275,26,17,23,27,20,35
DLK00_00280,30,21,24,31,24,26
DLK00_00285,12,21,14,13,28,6
DLK00_00290,13,8,6,8,7,9
DLK00_00300,8832,7265,7398,9703,7666,9221
DLK00_00305,7924,6938,6612,9792,7606,8447
DLK00_00310,8546,7567,7284,11935,9272,10180
DLK00_00315,7281,6162,5906,10408,7295,9153
DLK00_00325,17,11,17,13,17,24
DLK00_00330,55,51,41,73,44,81
DLK00_00335,1757,1418,1410,2434,1732,1901
DLK00_00340,1124,950,934,1784,1352,1352
DLK00_00345,732,610,652,608,486,571
DLK00_00350,1569,1210,1294,2073,1636,2013
DLK00_00355,211,159,168,252,183,195
DLK00_00360,2310,1953,2009,3041,2418,2384
DLK00_00365,7126,6346,6044,9625,7383,8533
DLK00_00370,7063,6289,6032,12179,9502,10590
DLK00_00375,3430,2890,2918,4268,3455,4249
DLK00_00380,8788,7177,7306,9518,7604,10999
DLK00_00385,2454,2037,2024,2713,2201,2800
DLK00_00400,8771,7650,7555,12246,9604,10740
DLK00_00415,313,268,204,378,297,382
DLK00_00420,2152,1688,1801,2475,1895,2180
DLK00_00425,1043,914,989,1251,1049,1241
DLK00_00430,7606,6590,6539,8741,6866,8672
DLK00_00435,3603,3125,3011,4724,3743,3989
DLK00_00440,9097,7959,7643,11737,9354,10499
DLK00_00450,3644,3164,3261,4277,3359,3869
DLK00_00455,6070,5056,4873,6990,5341,5840
DLK00_00460,59593,46838,47261,48955,42039,57311
DLK00_00465,104195,86226,85321,92666,76072,97622
DLK00_00480,655,569,503,822,589,666
DLK00_00485,3290,2852,2763,4311,3347,3613
DLK00_00490,18552,16111,15444,23240,19209,22789
DLK00_00500,1948,1575,1553,2490,1890,2118
DLK00_00505,1824,1568,1536,2244,1670,2258
DLK00_00510,1678,1366,1299,2321,1778,1952
DLK00_00515,1314,1093,1078,1609,1195,1735
DLK00_00525,1683,1316,1460,2156,1537,2075
DLK00_00530,996,781,885,1309,1078,1327
DLK00_00535,2562,2265,2273,3673,2612,3048
DLK00_00545,155,139,114,190,144,169
DLK00_00550,15747,13475,13462,16228,12861,15676
DLK00_00555,48275,39838,38238,57793,42553,53186
DLK00_00575,21269,17239,16359,22671,17664,27964
DLK00_00580,2003,1825,1742,2994,2501,3053
DLK00_00590,730,636,637,919,744,958
DLK00_00595,1497,1232,1121,1752,1368,1679
DLK00_00605,3479,3192,3016,3926,3220,3566
DLK00_00610,507,483,463,707,568,609
DLK00_00615,1612,1406,1316,2133,1569,1823
DLK00_00620,661,531,484,741,622,767
DLK00_00625,273,232,275,398,288,335
DLK00_00630,129213,113559,107970,157180,118917,119599
DLK00_00635,82,78,65,99,83,133
DLK00_00640,1531,1111,1263,2566,1519,2048
DLK00_00645,11149,8940,8817,18375,13408,20162
DLK00_00670,160549,137005,132199,169004,141136,157851
DLK00_00675,161790,136715,133763,187058,141424,154101
DLK00_00680,30969,27052,26872,38238,30444,32217
DLK00_00685,3621,3133,3064,4135,3300,3814
DLK00_00690,121,97,89,149,111,142
DLK00_00695,294,195,208,306,255,343
DLK00_00705,629,587,519,951,624,757
DLK00_00710,129,103,113,155,116,130
DLK00_00715,80,70,61,91,72,106
DLK00_00720,11,8,11,10,5,6
DLK00_00725,8966,7579,7566,11787,9036,10617
DLK00_00730,1774,1517,1461,2474,2022,2320
DLK00_00735,1645,1346,1332,2526,1975,2321
DLK00_00740,2289,1887,1860,3598,3112,3335
DLK00_00745,2209,1868,1871,2763,2388,2894
DLK00_00750,5361,4255,4238,5978,4920,6114
DLK00_00760,4866,4299,3990,5175,4212,5749
DLK00_00765,1704,1273,1362,2043,1508,1842
DLK00_00770,493,405,458,765,495,639
DLK00_00780,1694,1377,1487,1639,1141,2029
DLK00_00795,5712,5019,4985,7195,5887,6450
DLK00_00800,6505,5383,5416,7488,6421,7569
DLK00_00810,4357,3615,3626,4261,3223,3989
DLK00_00815,1871,1753,1655,2387,2049,2262
DLK00_00820,422,360,415,507,444,551
DLK00_00825,1886,1519,1362,1877,1581,2300
DLK00_00830,3557,2909,2879,4289,3115,3795
DLK00_00835,4593,3544,3589,4859,3595,4381
DLK00_00840,2294,1458,1810,2204,1213,1955
DLK00_00845,2483,2057,2110,3070,2416,2488
DLK00_00850,7707,6861,6843,9876,8281,9185
DLK00_00855,1968,1623,1644,2740,2147,2218
DLK00_00860,3555,3205,3070,4811,4017,4427
DLK00_00865,7590,6474,6650,10766,8959,9754
DLK00_00870,2909,2370,2419,2985,2419,2923
DLK00_00875,9167,7377,7626,10598,9209,11622
DLK00_00880,5857,5070,4677,7015,5719,7031
DLK00_00890,242,218,221,238,176,275
DLK00_00895,106,71,71,149,66,90
DLK00_00905,405,281,330,572,327,442
DLK00_00910,4969,4182,4015,5746,4823,5850
DLK00_00915,80196,68608,64204,72725,59616,83542
DLK00_00925,4203,3550,3322,3699,2864,4251
DLK00_00930,151,147,127,138,133,138
DLK00_00950,81,62,70,58,47,70
DLK00_00955,53,54,24,38,25,36
DLK00_00960,81,77,53,49,56,87
DLK00_00975,189,137,129,190,141,208
DLK00_01000,12,17,9,9,17,26
DLK00_01020,19143,16298,15996,22526,19214,22187
DLK00_01040,4598,3757,3651,5454,4355,5513
DLK00_01060,11,5,14,9,3,13
DLK00_01075,18,15,6,21,20,10
DLK00_01085,2558,2105,2076,3185,2363,3249
DLK00_01090,673,581,640,842,657,792
DLK00_01105,19492,16134,15675,23367,19131,25118
DLK00_01110,38331,32659,32671,45521,37040,46477
DLK00_01125,1599,1049,1316,1757,1142,2092
DLK00_01130,22162,18437,17899,20256,17031,25062
DLK00_01140,980,760,953,1203,712,923
DLK00_01145,1234,1090,1057,1596,1210,1213
DLK00_01150,1731,1435,1435,1875,1484,1918
DLK00_01155,3952,3782,3227,4537,3902,3029
DLK00_01170,30625,23913,24366,39106,32377,40599
DLK00_01175,759,662,714,993,778,748
DLK00_01180,2138,1761,1713,2542,2061,2346
DLK00_01185,2576,2169,1965,2775,2286,2970
DLK00_01190,2026,1416,1786,2512,1965,2529
DLK00_01195,2740,2200,2325,3137,2570,3219
DLK00_01215,13629,12104,11940,18569,14701,15424
DLK00_01230,313050,253683,243537,325686,279205,388618
DLK00_01240,20859,17305,18026,24908,19404,22979
DLK00_01245,30314,26133,26663,34899,29515,32634
DLK00_01250,7182,6165,6024,10099,8463,9559
DLK00_01255,1430,1227,1159,1634,1391,1881
DLK00_01260,1141,1052,1108,1595,1216,1364
DLK00_01265,3536,2793,2619,4563,3409,4731
DLK00_01275,8317,6933,6787,9671,7182,8636
DLK00_01280,996,673,864,1189,704,1009
DLK00_01285,2939,2554,2522,4311,2844,3289
DLK00_01290,355353,301863,301002,390399,312436,381905
DLK00_01295,15246,13022,12776,17313,14076,14862
DLK00_01300,64732,54343,54266,79616,67031,87843
DLK00_01310,159658,132416,132427,188158,140477,177871
DLK00_01325,2011,1722,1611,2354,1823,1960
DLK00_01330,6650,5303,5220,6255,5306,8092
DLK00_01345,2011,1755,1698,2421,1811,2333
DLK00_01350,2898,2415,2466,3380,2847,3292
DLK00_01355,8742,7411,7428,11682,9590,10785
DLK00_01365,13447,11565,10820,15213,11871,14452
DLK00_01370,84794,75009,70982,108943,88343,96528
DLK00_01375,13181,10833,10984,16583,14245,16942
DLK00_01385,3753,3293,3099,5752,4276,5194
DLK00_01395,10942,8824,8609,14485,10730,13569
DLK00_01400,22585,18377,18329,27603,20447,24285
DLK00_01425,773,671,659,796,676,838
DLK00_01430,614,569,596,690,563,806
DLK00_01440,4433,3688,3722,4342,3301,3818
DLK00_01445,2479,2107,1926,3436,2676,2917
DLK00_01455,7951,6861,6973,10099,8562,10174
DLK00_01460,2427,2140,2053,3397,2724,3375
DLK00_01470,42639,35298,34604,32752,28660,35754
DLK00_01475,42609,36015,35621,47871,40633,48592
