geneid,A10_LOCK_OFF_1,A10_LOCK_OFF_2,A10_LOCK_OFF_3,A10_ON_1,A10_ON_2,A10_ON_3
gene1212,29555,26840,29399,34959,27515,32525
gene1213,117523,113720,118439,155517,128102,158330
gene1214,3421,3401,3679,5625,4429,5514
gene1215,8252,7872,8238,11751,9490,10835
gene1216,6758,6416,6661,7375,5933,6855
gene1217,1846,1804,2205,1949,1514,1865
gene1218,5701,5951,9214,5656,4291,6024
gene1219,106739,101054,116570,109476,85057,94235
gene122,7756,7600,8900,8152,6513,7712
gene1220,106155,87396,95427,117709,91192,91676
gene1221,2314,2269,2695,2702,2065,2351
gene1222,14069,14541,15600,15994,12747,15472
gene1223,10162,8862,9414,10967,8671,10035
gene1224,11387,9826,10046,13544,10724,12212
gene1225,6311,5569,6501,6737,5407,6314
gene1226,1860,1119,822,2119,2175,2226
gene1227,1348,694,628,1554,1593,1530
gene1228,1576,1271,1322,1653,1398,1559
gene1229,1674,1555,1845,1672,1450,1571
gene123,8061,5762,5757,9101,7974,8004
gene1230,29971,30345,33038,31521,25384,31244
gene1231,927,1035,1478,1236,949,1035
gene1232,1142,1155,1212,1026,703,685
gene1233,490,478,463,506,306,397
gene1234,1226,1174,1300,1205,945,1020
gene1235,771,902,996,991,713,840
gene1236,24562,23296,25816,24627,19567,23865
gene1237,8486,7493,9204,9102,7155,8234
gene1238,9743,9072,9929,10322,8174,9460
gene1239,13333,11655,10980,14645,11824,13423
gene124,933,779,853,1100,1067,1281
gene1240,9478,9012,9600,10548,8380,9602
gene1241,303,277,384,491,343,392
gene1242,14789,16745,18392,18928,14515,16522
gene1243,34358,33910,39502,57865,45125,50640
gene1244,153621,154805,179673,184263,136978,162715
gene1245,63747,60513,68922,65604,51249,58039
gene1246,48018,45385,46676,49357,40787,43921
gene1247,1875,1779,1959,2228,1765,1961
gene1248,8132,7978,7749,11000,9026,10343
gene1249,3478,3296,3974,3225,2485,3111
gene125,857,659,509,1018,955,988
gene1250,9057,9074,10637,9057,7287,8990
gene1251,2190,2265,2378,2281,1847,2116
gene1252,5657,5429,5449,5666,4400,4799
gene1253,3350,3359,3619,3744,2765,3174
gene1254,2842,3406,4681,3975,3084,4140
gene1255,4460,4015,4595,4985,3750,4558
gene1256,2797,2651,3188,2520,1929,2133
gene1257,6322,7222,9864,7380,5580,7064
gene1258,565209,585790,686409,594227,462764,579476
gene1259,24313,22273,24413,25084,19350,21429
gene126,3630,3131,3402,4773,3831,4363
gene1260,2276,2174,2355,2081,1609,1876
gene1261,8652,8356,9394,8808,6868,7896
gene1262,14694,14137,15237,15083,12004,13529
gene1263,16758,13950,13512,19578,16679,18689
gene1264,10855,9620,10256,10222,8142,9197
gene1265,11074,10740,12157,11818,9184,10997
gene1266,883,813,1162,787,579,858
gene1267,2478,2625,2819,2618,2212,2518
gene1268,33912,33628,37533,67691,54763,66524
gene1269,42,66,55,53,34,51
gene127,24118,18853,19037,24646,20685,23855
gene1270,1541,1666,2200,1838,1376,1802
gene1271,8943,9234,10757,9925,8099,10684
gene1272,10334,10555,13299,10935,7991,10180
gene1273,12245,12332,13852,13903,10951,12397
gene1274,10416,10197,9890,12838,10209,10368
gene1275,12097,11840,12665,13276,10237,11948
gene1276,4999,4680,5014,5558,4241,4440
gene1277,9332,8001,7965,9024,7262,7455
gene1278,13649,13643,15297,15364,11918,13107
gene1279,41107,38458,44734,48991,38525,46341
gene128,10717,8082,7980,11598,9660,10274
gene1280,46198,34852,32407,55526,49214,54521
gene1281,10720,8350,8682,12147,10513,11808
gene1282,2920,2319,2290,3222,2866,2900
gene1283,5375,3976,3885,6388,5797,6427
gene1284,17551,15827,18090,19214,15123,17535
gene1285,5742,4843,4856,7002,5563,6192
gene1286,5967,5115,5532,6609,5443,5840
gene1287,10840,8971,9063,11073,8872,9511
gene1288,6218,4999,5859,6003,4979,5298
gene1289,20656,18031,21776,19946,15859,17914
gene129,9369,5896,5850,10936,10253,9834
gene1290,22647,20418,21749,23404,19380,22055
gene1291,16213,14542,15424,16271,13294,15214
gene1292,1823,1764,1883,1849,1588,1628
gene1293,6549,5281,5493,6201,5148,5555
gene1294,8664,8092,9422,8284,7025,8696
gene1295,20891,17933,18269,26302,22108,25203
gene1296,652,797,898,851,611,788
gene1297,93496,91008,90093,113978,89626,97769
gene1298,41272,36342,37819,53361,41235,45642
gene1299,8821,7292,9163,8504,6388,6818
gene13,11763,11357,13521,12651,9836,12573
gene130,2006,1886,2438,1988,1716,1985
gene1300,9235,7760,8047,9418,7543,7765
gene1301,17631,15699,17642,20116,15933,17486
gene1302,14727,13145,14922,16840,13293,14533
gene1303,8029,8168,8166,9329,7533,8396
gene1304,5369,5797,6806,6011,4786,5694
gene1306,18922,20383,25915,21360,16333,21097
gene1307,2445,2458,1944,3638,3040,3426
gene1308,15618,15646,18275,19505,15938,19597
gene1309,1780,1722,1853,1960,1625,1998
gene131,16161,17348,24432,18907,14795,20257
gene1310,389,344,369,467,357,444
gene1311,293,276,320,318,235,264
gene1312,368,442,447,587,445,500
gene1313,518,399,450,586,538,569
gene1314,231,231,267,349,210,262
gene1315,1393,1464,1473,1815,1446,1607
gene1316,3802,3832,4180,4137,3105,3656
gene1317,5282,5344,6268,5394,4425,5702
gene1318,3569,3175,3018,3038,2672,3073
gene1319,110772,106095,106324,137162,110929,128326
gene132,9624,8254,8403,10278,8232,8713
gene1320,6358,5824,6125,7406,5761,6464
gene1321,16885,16345,15346,14265,11679,12092
gene1322,6670,5900,5857,6458,5228,5683
gene1323,3171,3187,3501,3517,2777,3005
gene1324,5134,5528,6237,6934,5052,5607
gene1325,11317,11461,12983,13308,10293,12098
gene1326,5021,4601,5341,5589,4338,4906
gene1327,6906,6586,6758,8781,7061,7607
gene1328,15546,10775,11852,16447,14094,15506
gene1329,2163,877,630,2457,2890,2809
gene133,7701,6992,6825,7886,6610,7417
gene1330,706,466,524,889,868,818
gene1331,2892,2276,2592,3463,3059,3169
gene1332,3773,3281,3737,4201,3581,4215
gene1333,7901,7913,10201,9239,7490,9669
gene1334,24307,25201,33207,26416,20441,25224
gene1335,12373,10837,13066,14060,11730,13840
gene1336,7183,5629,5326,9094,7704,8387
gene1337,6042,4949,4893,7808,6601,6649
gene1338,9016,7648,7309,13143,10603,10814
gene1339,8128,7623,7235,9888,7835,8388
gene134,7219,7442,8562,7894,6459,7746
gene1340,8317,7745,8738,9316,7400,7923
gene1341,47235,44363,49086,49850,39538,45031
gene1342,126516,138952,161673,225953,176299,221353
gene1343,16146,15360,17006,23676,17816,19763
gene1344,21757,20335,21708,29713,23343,25789
gene1345,61609,66798,73607,74400,56939,63035
gene1346,17484,15767,16876,18695,15135,16700
gene1347,19,19,12,16,13,8
gene1348,76451,62585,68758,77294,61153,66713
gene1349,39977,31928,30905,43581,35647,37441
gene135,3789,3836,4098,3727,3018,3432
gene1350,2248,2045,2280,2519,1936,1956
gene1351,2174,1960,2034,2403,1869,1884
gene1352,26953,22212,23316,27749,22541,25593
gene1353,4660,3535,3861,6478,6095,6272
gene1354,1644,1117,1183,2757,2501,2285
gene1355,8945,7653,6735,14146,14998,16026
gene1356,264434,245514,265986,303629,241006,276685
gene1357,71564,59576,61160,80480,64793,69833
gene1358,51792,40487,42850,58658,48638,51748
gene1359,36051,25677,26627,46610,42180,43127
gene136,27216,25988,28023,28420,22614,26827
gene1360,5814,5424,5821,6926,5813,7488
gene1361,6713,6279,7125,6940,5240,6158
gene1362,13490,13447,15177,15281,12146,14317
gene1363,16789,16371,20306,18393,14000,18001
gene1364,13423,11500,11949,13460,10481,10718
gene1365,5785,5229,5145,6087,4675,5130
gene1367,3235,3193,3603,14172,10828,11635
gene1368,5749,5496,5908,29219,23202,25672
gene1369,581,705,1114,657,500,761
gene137,193,167,229,450,358,376
gene1370,1968,1902,2031,1992,1607,1879
gene1371,13811,13179,13693,14178,11216,12245
gene1372,534,604,800,584,413,542
gene1373,343,305,433,338,244,278
gene1374,7846,7634,8122,8427,6948,7931
gene1375,317162,235799,206863,386850,321422,324691
gene1376,60369,46484,47085,70965,55139,59114
gene1377,98497,81534,88610,109324,85876,91160
gene1378,41406,33405,32334,46713,36217,35534
gene1379,8446,6520,6580,8354,6755,6973
gene138,90,100,102,223,160,190
gene1380,1051,1027,1292,1359,1034,1273
gene1381,3141,2728,3011,3297,2535,3025
gene1382,9056,8748,8890,11681,9374,10314
gene1383,1548,1533,1544,1561,1318,1555
gene1384,17928,18104,21644,21043,15980,18410
gene1385,5818,5761,5859,6108,4803,5252
gene1386,12414,12761,14447,11456,8779,10066
gene1387,7689,7902,9607,9110,6810,8425
gene1388,6813,6165,6700,8011,6138,7376
gene1389,196134,175156,193938,215897,171455,206049
gene139,123,152,134,215,175,203
gene1390,5624,5024,5051,6932,5971,6853
gene1391,1269,943,881,1538,1391,1468
gene1392,3400,3122,3349,3830,3000,3457
gene1393,10155,9595,9999,11443,8931,10299
gene1394,964,987,1066,1002,833,961
gene1395,7909,7165,8287,6676,5283,5990
gene1396,6395,5363,5729,4496,3485,3987
gene1397,3812,2945,2799,2460,1942,1909
gene1398,3888,2948,2249,2534,2083,1910
gene1399,11324,8060,6777,6605,5699,5389
gene14,1782,1953,2353,2030,1590,1937
gene140,77,96,92,144,109,98
gene1400,8136,5968,5814,4920,4062,4265
gene1401,5905,6486,7345,7036,5251,5899
gene1402,813,874,1133,2148,1674,2287
gene1403,6003,5362,5260,7565,6745,6978
gene1404,3607,3344,3650,4219,3395,3882
gene1405,5227,5122,6239,5590,4154,5002
gene1406,37126,36904,40507,47163,36902,42319
gene1407,7351,6206,6055,8192,6740,7329
gene1408,80729,81934,92896,88939,67698,79330
gene1409,1723,1754,1919,1996,1342,1471
gene141,545,510,496,815,611,737
gene1410,7374,6939,8833,7599,5842,6509
gene1411,3461,3572,3270,3799,3269,3346
gene1412,451,396,473,563,389,529
gene1413,2841,2707,2837,3207,2613,2854
gene1414,3758,3482,3711,4338,3563,3946
gene1415,24018,22874,26083,25126,19463,22895
gene1416,53,40,62,50,61,42
gene1417,17204,16491,17466,17916,14061,15433
gene1418,8702,8027,8779,8434,6610,7280
gene1419,36147,33145,33166,40337,32079,33932
gene142,337,287,292,397,348,398
gene1420,563,553,613,755,561,662
gene1421,1402,1327,1290,1681,1410,1414
gene1422,742,667,758,833,630,846
gene1423,483,394,331,575,431,433
gene1424,268,259,225,497,446,543
gene1425,14759,13880,15182,15955,11834,12779
gene1426,9432,8822,8762,11360,8959,8505
gene1427,45993,41212,43317,60126,48965,55930
gene1428,4569,5287,5851,5654,4404,5258
gene1429,9034,9120,10030,8693,6880,8243
gene143,7569,7126,7136,9829,7798,8117
gene1431,10787,10376,10757,11166,8622,10078
gene1432,3100,2942,3281,3115,2258,2466
gene1433,6607,6121,6409,6416,4994,5226
gene1434,20346,18085,19527,21907,17633,19900
gene1435,3052,2891,3387,3625,2869,3274
gene1436,33107,32599,37332,34505,26804,33111
gene1437,26235,25959,29564,26682,21671,26797
gene1439,17126,13046,12336,23920,22569,23656
gene144,1233,1065,1070,1460,1235,1300
gene1440,164,154,158,128,116,96
gene1441,8540,9916,13131,10759,8308,10562
gene1442,24058,24706,26199,26636,22079,25266
gene1443,42,37,49,120,72,34
gene1444,3755,3501,3579,4022,3427,3934
gene1445,14773,14883,18579,15758,12112,15386
gene1446,63072,56420,60191,70595,56208,66585
gene1447,4352,3576,2797,4933,4294,4633
gene1448,3128,2518,2529,3579,2958,2937
gene1449,10719,9488,9369,11888,9600,10290
gene145,3285,3456,3901,4276,3360,3889
gene1450,4727,4222,4572,5329,4211,4604
gene1451,7751,7175,7268,9572,7701,8942
gene1452,3201,3037,2755,4117,3212,3414
gene1453,5521,5054,5643,6461,4963,5819
gene1454,5248,4680,4710,5830,4824,4998
gene1455,12125,11372,11263,12594,10253,11215
gene1456,231,271,306,442,287,327
gene1457,48959,53428,64120,50952,40302,49835
gene1458,20719,23567,28262,25199,18614,22890
gene1459,12460,9716,8981,12375,10216,10655
gene146,23181,26857,34144,30251,23644,28921
gene1460,2402,2401,2826,3024,2388,2715
gene1461,3492,3188,3807,3844,3087,3625
gene1462,21283,18195,17790,22928,18996,20462
gene1463,2522,2208,2376,2720,2280,2635
gene1464,3359,2852,2657,4238,3628,4049
gene1465,10247,8784,9589,9868,8254,9198
gene1466,4638,4437,5101,4941,3868,4763
gene1467,11153,9747,9959,11959,9506,10299
gene1468,73,71,102,107,87,89
gene1469,332,312,376,358,356,385
gene147,8160,7511,8091,8801,7252,8422
gene1470,195,182,165,333,303,292
gene1471,108,108,121,271,202,252
gene1472,27702,27446,32145,32394,25257,30195
gene1473,6528,4649,4556,6623,5641,5782
gene1474,1378,1155,1234,1486,1207,1463
gene1475,2731,2473,2985,2896,2257,2723
gene1476,4230,3288,3747,4486,3881,4447
gene1477,171893,177812,205567,209198,162745,209455
gene1478,1892,1605,1518,2423,2047,2130
gene148,45270,45647,45996,50654,40326,42845
gene1480,5909,5137,5401,7988,6442,7103
gene1481,3355,3246,3571,3466,2794,3036
gene1482,37950,37069,39310,39093,30472,37362
gene1483,4133,4276,5333,5247,3895,4536
gene1484,6339,6542,7598,8162,6163,7368
gene1485,39704,35811,39283,44096,36024,42205
gene1486,745,753,1078,786,572,810
gene1487,6528,6616,7454,7374,5629,6406
gene1488,5872,5596,6492,6777,5037,5448
gene1489,73126,70685,78799,75307,59170,69113
gene149,89526,90531,98056,104111,79382,91358
gene1490,8460,8606,10652,9034,7103,8599
gene1491,7004,6564,7422,7894,6010,6746
gene1492,19090,18210,19911,21290,16511,18890
gene1493,97247,91990,97398,115716,90638,100908
gene1494,86604,89824,108334,109220,82874,96012
gene1495,47404,41600,41328,52950,43610,47920
gene1496,91911,92187,115731,100489,77615,94472
gene1497,158283,162677,184133,173956,132457,156961
gene1498,3399,3230,3095,4347,3359,3603
gene1499,8425,7419,8203,9264,7359,8134
gene15,17795,16004,16287,18344,14833,17993
gene150,8210,8808,11078,8445,6560,7809
gene1500,1247,866,822,1619,1510,1598
gene1501,28149,20935,21101,32687,28941,31457
gene1502,7064,7103,8505,6556,5399,6153
gene1503,670,761,725,763,693,721
gene1504,2647,2164,2423,2907,2483,2809
gene1505,4955,3338,2793,6498,6041,5708
gene1506,5240,3897,3455,6419,5448,5107
gene1507,6603,5284,5528,6791,5782,5984
gene1508,4899,4293,5046,5892,4796,5506
gene1509,9130,8669,9709,10217,7816,9471
gene151,29380,29853,34024,30737,23753,29493
gene1510,1475,1272,1480,1780,1515,1890
gene1511,10315,9913,11247,11632,9456,11507
gene1512,7608,6828,7405,8496,6792,7764
gene1513,5182,5501,6432,5708,4467,5150
gene1514,58383,52847,57349,62524,49020,55590
gene1515,25705,24913,27149,29971,23569,26714
gene1516,8632,9199,11381,10368,7537,8810
gene1517,11464,11031,11720,12546,10758,12468
gene1518,1132,1007,886,1408,1129,1240
gene1519,1691,1498,1538,1861,1651,1765
gene152,8354,8289,9613,8407,6639,8098
gene1520,23029,22041,23340,24949,20430,24021
gene1521,1511,1337,1339,1629,1335,1497
gene1522,610,496,563,659,579,649
gene1523,6417,6785,8350,7736,6095,7617
gene1524,14201,13786,16084,15713,12284,14598
gene1525,24469,22406,20663,29785,25662,28453
gene1526,8662,6245,5528,10451,9313,9775
gene1527,3632,3052,3168,4537,3882,4483
gene1528,8643,7623,8822,9852,8349,10225
gene1529,34365,36093,39817,45660,36899,44053
gene153,1886,1839,1747,2149,1889,1967
gene1530,24571,24812,28568,29405,24292,31106
gene1531,5183,4534,5068,5159,4277,4736
gene1532,8355,6775,7938,9259,7964,9067
gene1533,2987,2806,3496,4031,3248,3530
gene1534,5127,3571,2700,6679,6429,6470
gene1535,5200,5410,6436,5805,4661,5470
gene1536,2057,2030,2155,2556,2078,2295
gene1537,2656,2878,3285,3395,2496,2782
gene1538,708,770,865,1021,721,787
gene1539,569,534,658,694,463,624
gene154,22568,21386,24484,25207,20051,23569
gene1541,2783,2899,3064,3807,2976,3277
gene1542,1953,1808,1843,2537,1984,2111
gene1544,13470,14620,18100,16740,12574,14807
gene1545,42186,42755,50605,47067,36414,44457
gene1546,64737,64637,68934,59335,46147,51182
gene1547,4830,5269,6621,5376,4066,5528
gene1548,7207,6599,7443,5230,4052,4461
gene1549,14127,14978,17882,20322,15152,18046
gene155,11164,10693,11532,8444,6485,7801
gene1551,14023,13207,12939,15954,12215,12277
gene1552,14928,14908,15668,16003,12102,12822
gene1553,9152,8692,8420,9968,7840,8505
gene1554,5910,5402,5526,6132,4839,5017
gene1555,807,772,759,868,689,774
gene1558,1259,1075,1298,1616,1328,1584
gene1559,25043,23096,26082,25405,19940,23493
gene156,2401,1670,1757,2760,2497,2515
gene1560,2337,1761,1544,2997,2751,2887
gene1561,28272,23008,23895,25173,21421,23296
gene1562,2109,2146,2647,2146,1577,2082
gene1563,65656,64751,109524,73607,59795,77304
gene1564,4843,5541,7583,5641,4344,5863
gene1565,29067,26743,28470,34166,26875,30328
gene1566,1853,1774,2213,2368,1718,2185
gene1567,22696,24233,29269,26968,20187,23440
gene1568,353508,318848,324004,557717,453468,490481
gene1569,10095,9567,11767,11040,8549,9838
gene157,742,444,397,916,869,798
gene1570,7293,6877,7536,7802,6357,7593
gene1571,3756,3592,4667,4683,3800,4385
gene1572,2214,2076,2733,2278,1754,2168
gene1573,8409,7610,8909,8919,6930,8451
gene1574,19271,17549,19979,20342,15961,18666
gene1575,28892,29904,36120,36185,29203,34845
gene1576,47024,47005,52087,57149,45069,51918
gene1577,13718,14161,13681,19055,14636,14948
gene1578,825,818,915,1076,797,1070
gene1579,6786,6592,7114,6226,4811,5666
gene158,2143,1539,1476,2261,1944,2215
gene1580,24981,25114,28779,26473,20234,23501
gene1581,2803,2934,3529,3154,2327,2772
gene1582,15633,16426,19958,17617,13066,15533
gene1583,24705,25802,28819,28193,22030,24580
gene1584,15541,15387,17529,17860,13315,14642
gene1585,7326,7074,7901,7261,5553,6001
gene1586,233400,187007,174832,270937,224160,244996
gene1587,124520,104043,99969,142141,114004,128663
gene1588,42913,39603,42786,56249,43582,48084
gene1589,10388,9716,15525,12466,9408,12620
gene159,1811,1152,1051,2225,2087,2081
gene1590,1461,1391,1736,1645,1340,1515
gene1591,1255,1282,1593,1394,1052,1334
gene1592,16068,14944,15435,17700,13646,14707
gene1593,2905,2719,2874,3041,2427,2850
gene1594,5247,5027,5180,6116,4699,5094
gene1595,5167,4800,5359,5737,4186,4420
gene1596,6314,6134,6975,6291,4801,5109
gene1597,53608,46279,44450,63185,52024,55095
gene1598,75316,56705,51406,88470,72176,75801
gene1599,131126,119239,120937,172884,136840,154677
gene16,35165,30941,32564,41169,33052,38230
gene160,599,564,670,640,501,532
gene1600,10568,10159,9941,13119,10273,11639
gene1601,18953,16052,15286,23910,18910,19761
gene1602,26727,23818,26056,27803,22481,27247
gene1603,19671,16861,16500,20983,17127,18903
gene1604,16579,15823,16793,18080,13757,15297
gene1605,48395,44924,48099,49214,38283,44968
gene1606,29533,31246,34994,40775,31832,39757
gene1607,137208,124304,133403,155229,120845,136786
gene1608,7177,6713,7021,8967,6729,7807
gene1609,16190,15104,18002,19264,15372,18080
gene161,71880,69811,78148,73615,56285,66343
gene1610,30930,28608,33703,39308,30717,36265
gene1611,16981,16014,18360,17575,13647,15326
gene1612,99308,98604,106928,139701,108328,128570
gene1613,13347,14603,19132,14250,10578,14255
gene1614,9943,9425,9958,9686,7693,8702
gene1615,1358,1334,1344,1836,1519,1728
gene1616,5634,5793,5453,8080,6307,6987
gene1617,2220,2336,2516,3118,2430,2670
gene1618,65098,61551,75489,67489,52204,60578
gene1619,276688,249815,291002,278749,213399,248677
gene162,7607,7294,7965,7532,6033,6520
gene1620,152219,135901,155686,165468,124639,136059
gene1621,122690,104473,105055,116568,94914,105532
gene1622,144242,128076,133807,151338,119632,127736
gene1623,31123,28662,35156,33001,24909,28602
gene1624,203284,170988,182240,210639,164441,170765
gene1625,64180,54822,57262,69059,54636,57488
gene1626,19015,16940,14474,22478,17513,16998
gene1627,83666,69828,72119,87535,68923,76466
gene1628,61001,51965,50949,61849,51565,57156
gene1629,123243,104633,109264,140184,108910,115731
gene163,18239,21164,28002,21503,16266,20846
gene1630,68522,59146,62457,71886,56016,65550
gene1631,63249,54769,55810,68623,52170,58810
gene1632,94879,85680,100438,100602,78270,92302
gene1633,62988,59788,67709,69158,53408,65738
gene1634,78950,78413,95528,89696,68840,83956
gene1635,1780,1966,2662,2383,1716,2157
gene1636,30188,25113,33154,38599,29639,31929
gene1637,32597,26248,28412,33108,28339,31619
gene1638,97780,76996,79587,103904,84696,91631
gene1639,131400,98135,112768,135250,110225,120145
gene164,5938,5872,7367,6742,5100,6688
gene1640,45934,32865,38078,50353,39834,39871
gene1641,47436,34549,34541,54889,42517,40948
gene1642,172250,131567,136220,170304,136566,144096
gene1643,40225,31830,34245,38596,31246,33948
gene1644,114675,93461,104427,109531,87920,98532
gene1645,129991,109424,119799,132310,102074,111815
gene1646,98195,85986,103588,95245,73991,89386
gene1647,3142,3306,3429,4134,3151,3334
gene1648,239,194,157,257,217,238
gene1649,176,145,143,197,163,166
gene165,38452,37544,41407,41735,32569,37360
gene1650,562,410,423,609,477,513
gene1651,879,849,940,1084,745,983
gene1652,4454,4459,4997,5292,4236,4954
gene1653,5760,5590,5947,6289,5134,6318
gene1654,3003,2688,3045,3694,3338,3651
gene1655,3505,3568,4327,3675,2901,3574
gene1656,3658,3609,4276,3645,2978,3509
gene1657,13507,14286,17174,17324,12916,14835
gene1658,8388,8003,9558,9487,7250,9138
gene1659,14761,14387,14536,14331,11066,12229
gene166,8312,8112,9225,7954,6167,6871
gene1660,8074,7680,7848,7676,6002,6851
gene1661,337,376,592,362,271,345
gene1662,21,16,35,25,17,32
gene1663,12093,11259,11811,14183,11530,13242
gene1664,977,858,759,1496,1248,1301
gene1665,2095,1768,1875,2530,2110,2533
gene1666,43147,50894,63876,45863,35993,45232
gene1667,79374,72187,81875,105081,83154,99494
gene1668,11108,11350,11220,13265,10673,12102
gene1669,5752,5799,6480,5941,4756,5667
gene167,8515,7871,9156,8089,6349,7037
gene1670,5274,5679,6326,15994,12062,12852
gene1671,1701,2049,2420,2302,1620,1773
gene1672,5779,5124,5536,6157,5425,6075
gene1674,18805,21066,25181,22480,17399,21785
gene1675,12026,11836,15079,12440,9548,11448
gene1676,23998,25629,32504,26694,20318,25767
gene1677,29203,26821,27822,31902,24233,25777
gene1678,7308,6210,7017,6949,6162,7058
gene1679,184302,179852,201179,214356,168958,203241
gene168,22517,21169,21369,24866,19846,22902
gene1680,5530,5692,5659,6117,4746,4863
gene1681,15252,15272,16971,15808,12518,13899
gene1683,343270,334292,344030,397522,315805,373299
gene1684,8101,6571,7010,13479,11833,13442
gene1685,7370,6960,7651,8070,6414,7417
gene1686,11921,10095,11006,14238,11385,11728
gene1687,3837,3858,3906,4302,3430,4104
gene1688,20314,19396,21509,21781,17200,20198
gene1689,463,425,470,550,420,493
gene169,14770,13808,13910,16964,13200,14789
gene1690,3873,4104,4851,5151,3903,4634
gene1691,3918,3757,4720,4189,3085,3765
gene1692,9770,8941,9443,10813,8265,9155
gene1693,30072,28445,29938,33761,26649,29597
gene1694,13827,12359,12736,16821,13729,16061
gene1695,9439,9030,10371,9862,7707,9338
gene1696,1935,2051,2409,2145,1533,2102
gene1697,1494,1347,1251,1512,1308,1389
gene1698,10691,9869,9413,11412,9130,9951
gene1699,27958,32015,40542,33079,25289,31946
gene17,6571,6106,6659,7341,5737,6736
gene170,11180,10671,11610,12444,9523,10722
gene1700,2609,2891,3443,2813,2226,2502
gene1701,4309,4519,6158,4719,3311,4152
gene1702,20,13,26,22,13,23
gene1703,0,0,0,0,0,0
gene1704,1721,1968,2695,2070,1430,1727
gene1705,3907,4482,4879,3922,3329,3978
gene1706,0,0,0,0,0,0
gene1707,1469,1449,1423,1814,1408,1627
gene1708,15071,13968,14358,24817,19751,22621
gene1709,7357,6349,5281,12591,10211,10806
gene171,2574,2279,2546,2401,2046,2419
gene1710,41554,42464,47316,67728,52331,61339
gene1711,5733,5836,6367,6856,5302,6257
gene1712,3621,3202,3932,3918,3180,3606
gene1713,5925,5341,5300,6453,5271,5888
gene1714,29259,25448,27505,31251,24751,28715
gene1715,2744,3071,3540,3198,2511,3057
gene1716,950,803,891,1112,897,1085
gene1718,271,247,255,334,248,233
gene1719,497,409,411,588,394,400
gene172,2735,2629,3061,3247,2520,2848
gene1720,947,862,888,1077,904,957
gene1721,1042,1152,2301,1140,914,1220
gene1722,123,115,268,117,74,176
gene1723,5281,5084,5299,5096,4018,4741
gene1724,18010,18288,21066,21501,15944,19254
gene1725,4156,4047,4737,4560,3477,4017
gene1726,6149,5507,5314,6572,5021,5378
gene1727,11034,10431,10900,12001,8879,10278
gene1728,85800,79031,81902,86881,68928,74511
gene1729,28998,26692,27094,33211,25283,26639
gene173,258815,248440,265163,296678,235802,273476
gene1730,21230,21366,23505,24555,19280,21199
gene1732,218,207,257,213,161,244
gene1733,343,313,387,341,303,340
gene1734,1444,1274,1355,1360,1071,1228
gene1735,1602,1376,1347,1438,1114,1222
gene1736,982,986,1154,851,641,910
gene1737,242,255,268,191,179,197
gene1738,49,26,44,18,18,36
gene1739,18,20,23,21,14,19
gene174,4642,5178,6262,5434,4294,5893
gene1740,93,79,72,74,60,50
gene1741,45,35,38,35,43,21
gene1742,12,20,6,11,8,18
gene1743,23,26,21,19,31,19
gene1744,57,35,48,66,48,40
gene1745,55,44,54,56,37,46
gene1746,838,749,761,1170,1116,1042
gene1747,1099,1060,1032,1103,915,1112
gene1748,14498,15970,18653,17560,13117,14849
gene1749,7105,7775,8515,8344,6515,7082
gene175,6396,5633,6487,7637,6322,7296
gene1750,333,339,305,260,226,295
gene1751,63,77,54,79,64,62
gene1752,212,229,207,227,191,181
gene1753,127,122,132,141,111,102
gene1754,472,406,348,533,444,445
gene1755,76,60,62,123,78,64
gene1756,55,35,44,75,76,103
gene1757,1336,1342,1479,1347,1018,1138
gene1758,669,703,696,626,508,650
gene1759,236,203,288,198,183,236
gene176,3624,2930,2484,4962,4518,4731
gene1760,104,96,132,81,75,91
gene1761,115,124,113,86,86,129
gene1762,372,328,278,356,316,336
gene1763,1418,1078,1150,1845,1546,1720
gene1764,3548,2734,2634,4719,3970,4343
gene1765,7373,6171,5946,10254,8716,9753
gene1766,548,624,575,702,556,617
gene1767,496,406,314,480,440,479
gene1768,392,413,332,474,407,510
gene1769,405,373,409,438,380,466
gene177,8558,6621,6246,9714,8434,9150
gene1770,307,335,306,364,323,371
gene1771,357,344,427,371,370,376
gene1772,3409,3158,3786,3320,2576,3316
gene1773,88,99,77,157,126,139
gene1774,95,99,84,141,120,118
gene1775,253,205,220,327,272,245
gene1776,68,35,22,75,67,71
gene1777,948,1004,1121,1339,1036,1025
gene1778,214,220,356,171,137,195
gene1779,69,47,125,43,44,64
gene178,11212,9615,10164,12569,10211,11624
gene1780,1,2,4,1,2,3
gene1781,29,45,43,46,28,42
gene1782,0,0,0,0,0,0
gene1783,1724,1996,2629,2077,1397,1704
gene1784,3995,4339,4820,3910,3182,4119
gene1785,0,0,0,0,0,0
gene1786,5060,4151,4339,5883,5371,5812
gene1787,4509,4337,4723,5163,4204,4988
gene1788,1738,1680,1966,2435,1819,1999
gene1789,13868,13070,13515,13480,11043,12839
gene179,1802,1918,1898,2147,1641,1779
gene1790,10210,10474,13886,12674,9329,11835
gene1791,15656,15461,17611,16701,13191,16107
gene1792,26837,28082,30551,34392,27369,30757
gene1793,18953,19882,23460,22924,17973,20654
gene1794,7208,5386,5496,9148,8021,8581
gene1795,6578,5694,5897,7737,6352,6476
gene1796,115841,113989,133716,130893,103104,125274
gene1797,37807,33470,32007,4537,3760,3744
