geneid,A10_LOCK_OFF_1,A10_LOCK_OFF_2,A10_LOCK_OFF_3,A10_ON_1,A10_ON_2,A10_ON_3
gene78,19894,17302,17448,18002,15005,17601
gene780,2911,2903,3101,3476,2718,2839
gene781,3790,3671,4684,3775,2909,3295
gene782,17260,20141,24015,21488,16229,19766
gene783,37232,40550,49299,43476,33356,43202
gene784,7702,6671,7078,8226,6394,6862
gene785,3502,3439,4092,3996,3199,3847
gene786,6644,5726,6370,7444,6143,6915
gene787,1465295,1430689,1857830,1463319,1200246,1739065
gene788,8891,9639,10823,5652,4323,5225
gene789,11578,11967,12521,11251,9080,11021
gene79,2562,1904,1518,2796,2674,2911
gene790,6607,6204,6754,6016,4586,6073
gene791,1432,1326,1538,1350,1165,1384
gene792,3186,2995,3163,3486,2907,3703
gene793,14125,14012,14836,16566,13208,14971
gene794,10104,9475,10878,9840,7503,8513
gene796,34774,30483,31750,43330,35640,39362
gene797,19153,18228,20309,22484,17864,20895
gene798,10417,10543,12995,13280,10321,12958
gene799,5293,4809,5018,6291,4853,5362
gene8,14192,13653,14391,14289,11218,12782
gene80,10354,11386,13027,14129,11045,14385
gene800,7102,6581,7267,8306,6478,7575
gene801,85511,73218,74177,89031,71882,82973
gene802,54419,51721,55590,60770,48888,56676
gene803,10344,9250,9986,10480,7876,8728
gene804,33277,26628,25772,32963,27122,26753
gene805,8291,8700,9188,10036,7715,9097
gene806,5763,5482,6244,5760,4699,4941
gene807,1954,1756,2205,2051,1533,1752
gene808,23369,19869,19609,25344,21407,23461
gene809,6911,6584,7215,7244,5986,6919
gene810,6992,5354,5587,8529,7404,8279
gene811,2858,2670,3110,2929,2412,2887
gene812,134,177,209,166,133,187
gene813,110,110,143,136,123,121
gene814,207,221,233,272,173,204
gene815,56608,51171,55798,69553,54245,56547
gene816,17842,17047,20191,21395,16875,20224
gene817,50251,50154,59113,56245,44441,56022
gene818,10871,11112,13208,11433,9310,12152
gene819,261280,274233,320004,292051,224182,275763
gene82,4459,4955,5915,4415,3352,4128
gene820,5385,6225,7770,6991,5355,6686
gene821,1787,1870,2657,2430,1647,1961
gene822,10829,11340,14164,12223,9034,11150
gene823,4888,4568,4976,5420,4301,5421
gene824,383,248,223,464,457,459
gene825,4279,4356,5107,4601,3434,3845
gene826,10913,11073,12273,10050,8139,10094
gene827,19059,21529,28033,22147,17281,22808
gene828,36013,33344,34087,37349,29630,31166
gene829,14474,15170,17272,16068,12286,13987
gene83,2236,2039,2420,2599,2203,2522
gene830,206469,178992,192064,221793,172943,193715
gene831,184206,143669,154755,196922,155429,167119
gene832,239725,192713,193559,267157,213956,222812
gene833,6976,7503,9699,8462,6540,8570
gene834,17048,17756,19358,20641,16050,18229
gene835,88130,72073,70748,80493,68088,75729
gene836,11068,8213,8580,11566,10115,11095
gene837,8873,8388,8866,9244,7564,8500
gene838,2837,2835,2901,2889,2253,2615
gene839,2689,2946,3689,2922,2281,2615
gene84,2081,1485,1337,2898,2862,3153
gene840,4663,4229,4331,4751,3817,4093
gene841,3030,3034,3469,3066,2349,2805
gene842,1143,1179,1384,979,720,869
gene843,29397,23282,23823,32931,27165,29677
gene844,24512,20797,21830,27643,22317,23874
gene845,10838,10478,11736,11955,8919,10591
gene846,1424,1395,2999,1169,947,1553
gene847,2874,2918,2991,3585,2781,2901
gene848,883,876,958,976,696,740
gene849,2198,2440,2713,2538,1903,2123
gene85,2450,2572,2987,3327,2589,3401
gene850,6109,6708,8176,7601,5690,6507
gene851,13607,9877,9433,15531,13957,14963
gene852,817,672,952,938,762,827
gene853,8838,7633,8471,9579,7461,8569
gene854,21472,18807,18895,20483,16702,18321
gene855,69344,66151,69998,85958,69779,84463
gene856,15238,14911,14936,18069,14164,16310
gene857,13522,12510,14036,15918,12327,14465
gene858,2123,2094,2127,2330,1857,2056
gene859,1782,1692,1693,2352,1956,2190
gene86,4905,5177,6048,6152,4746,5454
gene860,65224,60694,69080,69817,54495,63992
gene861,462,386,498,394,275,381
gene863,5569,5480,5801,6678,5221,5755
gene864,4278,3468,3223,5154,4533,4939
gene865,5988,6132,6884,4294,3086,3758
gene866,25224,23156,23346,27895,22743,25598
gene867,18495,17837,19427,19392,15824,18883
gene868,10323,9948,10287,11223,8955,9990
gene869,5615,5598,6448,5930,4836,5711
gene87,4697,4761,7199,5219,3471,4782
gene871,1148080,1190096,1593486,1188196,1000139,1285848
gene872,180,149,235,264,213,323
gene873,2419,1863,1947,3189,2778,2996
gene874,16749,14703,15092,20217,16572,18318
