V1,Raw_33.1,Raw_33.2,Raw_33.5,Raw_33.6,Raw_86.1,Raw_86.2,Raw_86.5,Raw_86.6
NTHI_RS07605,1886,2035,2224,1837,821,1139,1689,1388
NTHI_RS07610,5214,6367,6544,5579,2676,4844,5975,5681
NTHI_RS07615,1542,1875,1864,1465,825,1597,1790,1523
NTHI_RS07620,1083,1425,1789,1258,747,1046,1977,1251
NTHI_RS07625,6231,6496,7888,6669,3306,5682,7415,7812
NTHI_RS07630,24875,29546,30004,24988,11071,22447,28858,26508
NTHI_RS07635,1863,2501,2475,1843,1156,2144,2865,2051
NTHI_RS07640,1558,2340,2110,1647,1127,2007,2728,2064
NTHI_RS07645,983,1779,1380,1116,1128,2174,2480,2049
NTHI_RS07650,357,433,390,304,521,672,753,634
NTHI_RS07655,777,814,646,608,948,1128,1450,982
NTHI_RS07660,2224,2825,1924,1547,2039,3048,3147,2603
NTHI_RS07665,43,9,17,21,58,26,92,31
NTHI_RS07670,425,192,188,150,447,268,673,267
NTHI_RS07675,357,289,251,225,394,281,537,276
NTHI_RS07680,1304,1454,1306,1085,714,1168,1656,1229
NTHI_RS07685,1293,410,465,420,1408,878,1845,778
NTHI_RS07690,298,243,218,151,318,301,471,216
NTHI_RS07695,1397,2449,1676,1338,1172,2362,2882,2021
NTHI_RS07700,25274,26907,27813,22079,14617,23205,26015,22432
NTHI_RS07705,94086,115558,116093,91074,45917,96417,128143,89776
NTHI_RS07710,104242,126175,130592,99807,51486,109123,154860,98351
NTHI_RS07715,7657,10338,9658,7657,5563,10271,12842,8843
NTHI_RS07720,4211,6072,5686,4224,2850,6407,7653,5373
NTHI_RS07725,1326,2184,1683,1327,1004,1905,2390,1612
NTHI_RS07730,8240,10751,7868,6779,4630,8886,8445,6725
NTHI_RS07735,8323,19092,6109,5730,9961,21124,8925,8867
NTHI_RS07740,2703,4538,2579,2462,1685,3552,2468,2388
NTHI_RS07745,389,839,483,467,139,444,379,435
NTHI_RS07750,24544,26794,27664,23439,14080,22033,28111,20593
NTHI_RS07765,3658,3988,4117,3247,2450,3273,4213,3399
NTHI_RS07770,3535,3031,5075,4266,2440,2578,4970,4056
NTHI_RS07775,4115,4682,5378,4351,2809,4302,5204,4124
NTHI_RS07780,2606,2485,3840,3008,1197,1619,2966,2465
NTHI_RS07790,3572,3754,4454,3927,2150,3025,3875,3781
NTHI_RS07795,7726,8705,9258,7510,3786,7621,8668,8957
NTHI_RS07800,1036,1449,1194,833,885,1405,1434,1373
NTHI_RS07805,43027,62926,43331,2345,36081,52450,39453,41543
NTHI_RS07810,14799,12762,16796,13243,7342,10073,13111,11753
NTHI_RS07815,2739,3588,2880,2429,1859,3050,3266,2670
NTHI_RS07820,651,976,654,553,485,931,897,627
NTHI_RS07825,1974,2806,2047,1753,1303,2318,2534,1889
NTHI_RS07830,1640,2069,1640,1269,950,1628,2201,1560
NTHI_RS07835,798,919,770,595,408,805,1049,745
NTHI_RS07840,821,1056,833,711,492,916,992,758
NTHI_RS07845,532,784,887,675,304,601,873,679
NTHI_RS07850,1230,1933,2067,1562,540,1361,1953,1454
NTHI_RS07855,2891,3805,3766,3058,866,3011,3935,3260
NTHI_RS07860,7948,9841,9519,7626,4296,6458,9157,5873
NTHI_RS07865,2269,2197,2741,2308,1228,1384,2014,1954
NTHI_RS07870,6497,17368,6270,5181,2749,16436,14394,7017
NTHI_RS07875,56264,66900,50067,42964,32445,50466,50863,40198
NTHI_RS07880,102862,94582,123734,99513,47059,67141,102799,84621
NTHI_RS07885,61982,52757,69798,54925,25801,39463,66093,48041
NTHI_RS07895,2773,2741,3166,2547,1821,2360,2763,2584
NTHI_RS07900,10877,13526,13207,10583,6519,12188,13402,12109
NTHI_RS07905,4843,6519,5928,4740,3003,6112,7178,5236
NTHI_RS07910,1313,1557,1203,1074,935,1401,1766,1168
NTHI_RS07915,6755,6223,9161,7257,3759,5378,7463,6831
NTHI_RS07920,735,620,890,764,453,626,957,842
NTHI_RS07925,1444,1276,1919,1513,832,1314,1929,1594
NTHI_RS07930,308,319,365,311,224,359,568,405
NTHI_RS07935,22687,35403,25094,23484,22473,28015,17472,11849
NTHI_RS07940,1176,1558,1711,1264,1105,1548,2443,1553
NTHI_RS07945,3257,4154,3242,2661,2284,4158,4222,3694
NTHI_RS07950,1782,2443,1782,1562,708,1897,2391,1762
NTHI_RS07955,1687,3140,1926,1787,554,1368,2405,1792
NTHI_RS07960,1733,2798,1752,1590,794,1776,1991,1763
NTHI_RS07965,32148,40713,30025,25430,15995,33862,28864,28188
NTHI_RS07970,10772,15384,11147,9161,6707,13068,11055,10032
NTHI_RS07975,113525,114413,149634,122877,45767,50483,48290,47928
NTHI_RS07980,5856,5977,7705,6278,4596,6422,9107,7969
NTHI_RS07985,7669,6346,9749,7361,5545,5855,6227,7041
NTHI_RS07990,47,52,85,43,33,61,164,91
NTHI_RS07995,354,220,380,243,305,1012,1182,1093
NTHI_RS08000,258,167,347,206,204,847,1180,1024
NTHI_RS08010,2635,3618,2682,1794,2067,4162,5054,4426
NTHI_RS08015,2871,4281,3307,2639,2840,4876,5330,3269
NTHI_RS08020,4256,5674,5849,4338,2318,6734,8259,5440
NTHI_RS08025,2389,4501,3015,2086,2128,3577,3423,2399
NTHI_RS08030,1985,3527,2227,1838,1930,3061,2773,2241
NTHI_RS08035,4501,8491,5955,4988,3718,6329,7211,5898
NTHI_RS08040,2775,4841,3503,2596,2144,4142,5033,3329
NTHI_RS08045,62,39,69,45,44,105,319,205
NTHI_RS08050,76,57,66,60,53,137,421,190
NTHI_RS08055,106,75,127,96,81,265,729,392
NTHI_RS08060,118,82,133,99,67,294,745,483
NTHI_RS08065,118,185,155,137,133,325,1874,435
NTHI_RS08070,24,17,22,30,15,51,95,78
NTHI_RS08075,133,57,81,59,15,92,451,312
NTHI_RS08080,408,132,101,76,69,296,434,324
NTHI_RS08085,181,135,117,93,93,202,396,232
NTHI_RS08090,146,199,136,112,98,244,347,261
NTHI_RS08095,1292,1616,1629,1233,812,1630,2419,1754
NTHI_RS08100,155,173,218,140,101,141,631,144
NTHI_RS08105,56,32,31,19,22,18,185,32
NTHI_RS08110,269,96,105,73,50,100,394,134
NTHI_RS08115,17,20,31,19,7,15,149,12
NTHI_RS08120,51,101,62,58,49,85,190,78
NTHI_RS08125,226,323,254,183,132,295,536,225
NTHI_RS08130,304,440,295,241,153,313,451,251
NTHI_RS08135,619,695,555,529,219,474,1226,478
NTHI_RS08140,382,415,372,311,240,344,936,354
NTHI_RS08145,267,193,163,113,179,243,1051,216
NTHI_RS08150,122,73,62,55,30,67,129,50
NTHI_RS08155,1387,1988,2023,1484,1033,1629,2269,1879
NTHI_RS08160,900,1050,1113,1077,527,825,1472,1182
NTHI_RS08165,1468,2211,1839,1525,978,1796,2273,1573
NTHI_RS08170,38022,101870,28576,22370,16017,91117,51864,33346
NTHI_RS08175,8729,10683,8543,7406,5132,9258,8552,7115
NTHI_RS08180,78,97,63,58,50,81,90,43
NTHI_RS08185,4904,6045,5992,4956,2976,4284,5205,3835
NTHI_RS08190,2656,3706,3345,2773,1565,2439,2559,2166
NTHI_RS08195,1301,1677,1639,1321,733,1115,1230,1159
NTHI_RS08200,959,1283,1211,997,551,684,1024,816
NTHI_RS08205,34919,35633,43119,33659,13304,26028,39007,29692
NTHI_RS08210,727,1578,706,609,367,1378,1141,609
NTHI_RS08215,2305,2758,2163,1720,851,1821,2025,1397
NTHI_RS08220,1351,1607,1429,1101,616,1000,1298,914
NTHI_RS08225,531,599,558,508,209,403,486,354
NTHI_RS08230,658,679,656,527,239,411,496,396
NTHI_RS08235,1653,1876,1909,1532,641,991,1571,824
NTHI_RS08240,873,865,1419,1038,207,253,473,305
NTHI_RS08245,1679,1855,3433,2851,1282,1620,3996,2878
