geneid,X15_OFF_1,X15_OFF_2,X15_OFF_3,X15_ON_1,X15_ON_2,X15_ON_3
DLJ98_05660,2474,5607,4198,5692,3814,6329
DLJ98_05675,8794,21118,15387,15624,9678,17107
DLJ98_05685,23052,53740,41213,60102,37980,62005
DLJ98_05690,180,420,305,348,196,410
DLJ98_05695,456,1150,900,804,467,879
DLJ98_05700,1356,3132,2474,2932,1815,2958
DLJ98_05705,3401,7875,6062,8914,5578,8590
DLJ98_05715,2440,5998,4253,5072,3259,4895
DLJ98_05720,1686,4311,2953,3610,2404,3998
DLJ98_05730,5044,11630,9091,11723,7833,11304
DLJ98_05740,1787,4576,3439,5204,3523,5596
DLJ98_05745,8687,19755,15434,21098,12741,19948
DLJ98_05750,3181,7527,5877,8303,5043,7655
DLJ98_05755,3891,9011,6863,10410,6594,10759
DLJ98_05765,2512,6362,4485,4009,2598,4595
DLJ98_05775,2805,5910,4876,6418,3902,6153
DLJ98_05785,3127,7403,5707,5602,3612,5667
DLJ98_05790,987,2307,1758,2593,1592,2391
DLJ98_05795,1132,2427,1880,3413,2099,3459
DLJ98_05800,2799,6523,4924,8070,4697,8002
DLJ98_05810,3271,7496,5524,7845,4570,7042
DLJ98_05815,848,1967,1552,1582,909,1453
DLJ98_05820,82,185,130,84,59,91
DLJ98_05825,137,309,231,172,120,189
DLJ98_05830,74,169,137,122,60,114
DLJ98_05835,64,168,116,131,82,105
DLJ98_05845,1348,3288,2441,3131,1946,3277
DLJ98_05850,5546,13477,9865,11797,7341,11955
DLJ98_05855,286,674,556,797,435,694
DLJ98_05860,518,1143,946,1434,940,1392
DLJ98_05880,694,1360,1150,1379,842,1316
DLJ98_05900,1605,4135,3104,2673,1696,2683
DLJ98_05905,772,1794,1396,3125,1854,2563
DLJ98_05910,5661,13526,10061,11534,7078,11204
DLJ98_05915,3629,8698,6649,9435,5599,8996
DLJ98_05940,2332,5924,4371,5902,3663,5861
DLJ98_05970,2094,4602,3620,7336,4633,7185
DLJ98_05980,11420,26221,20145,24526,14833,23878
DLJ98_05985,4416,10778,7811,7847,4934,8573
DLJ98_06000,11791,27346,20719,22042,13721,22710
