geneid,Off1,On1,On2,Off3,On3,Off2
atpD,75465,64223,66342,80833,65272,77680
atpE,17608,20157,21728,18191,21212,17532
atpF,24887,28943,30650,27068,29513,26015
atpG,49880,43853,46847,53144,45156,52141
atpH,33090,36573,38705,35081,37938,34549
atzC,3072,1917,2042,3222,2039,3293
azoR,1339,1339,1398,1488,1380,1405
basR,12837,12645,12984,13709,12957,13580
bcp,3509,4151,4578,3750,4360,3655
bcr,4974,6143,6211,5295,6389,5385
bepE,111802,101802,105869,118109,105005,115613
betP,44922,39057,41428,48197,40616,46817
bioA,36995,34454,35458,38736,34396,37709
bioB,9049,5791,5895,9799,5964,9595
bioC,4327,4823,5100,4501,5022,4543
bioD1_1,4208,3760,3772,4303,3553,4521
bioD1_2,5209,5781,5924,5724,6081,5729
bioF,21767,18651,19343,22747,18441,22470
birA,3100,3217,3355,3245,3392,3321
bolA,2372,2211,2517,2788,2462,2380
brnQ,14979,20131,21153,15603,21086,15526
bspRIM,10568,13593,14279,11356,14005,11362
can,7919,7907,8230,8760,8277,8504
cbiO,1774,1273,1329,1863,1374,1812
cca,5575,4556,4685,5744,4636,5883
ccmA,20449,13207,13450,21502,13088,22173
ccmB,12601,8863,9341,12919,8884,13159
ccmC,9248,8367,8335,9792,8154,9291
ccmD,3650,3263,3174,3907,3107,3800
ccmE,10647,9332,9036,11443,8826,10771
ccmF_1,57008,50505,52606,58525,50383,57891
ccmF_2,15308,16264,16233,15666,15588,15473
ccmH_1,26057,29061,31114,27765,30295,27352
ccmH_2,10383,13152,13517,10909,13208,11066
ccmH_3,7929,6789,7051,8261,6941,8480
cdaR,1041,912,905,1111,906,1090
cdd,6322,7129,7430,6686,7260,6498
cdsA,11876,14780,15437,12304,15461,12426
chuR,64,41,37,56,48,62
citC,8014,16941,17618,8682,17374,8496
citD,2485,7314,7540,2692,7499,2653
citE,10197,26324,26832,10705,27151,10634
citF,21807,51064,53689,22523,52224,22105
clpB,11420,22116,23171,12425,22601,12309
clpP,14166,15610,16295,14840,15879,15131
clpP2,10065,9278,9590,10630,9512,10376
clpX,23393,23143,24214,24146,23561,24268
cmk,14037,13058,13483,15229,13475,14666
cmoA,17705,17082,17797,18667,17676,18446
cmoB,9313,9318,9720,9678,9829,9709
coaA,8058,8867,9516,8459,9415,8740
coaBC,12391,16014,16399,13243,16319,13340
coaD,3374,4034,3994,3637,3956,3588
coaE,1785,1789,1922,1812,1831,1853
cobB_1,1880,2464,2528,2016,2590,1938
cobB_2,268,188,153,310,190,290
cof,10526,12023,12342,11200,12070,11405
comM,514,785,803,556,843,499
copA,8004,8992,9209,8569,9053,8325
copZ,1056,1099,1162,1150,1116,1163
corA,16392,8939,9391,17630,9157,17269
corC,5020,7035,7275,5293,7219,5401
cpdA,3880,5777,5724,4324,5878,4251
cpdB,45573,68355,72457,47368,71490,47649
crcB,1699,1763,1953,1775,1904,1705
crp_1,7921,8134,8416,8402,8360,8415
crp_2,380,361,439,391,422,356
crr,23522,24240,26234,24958,25530,25373
csdA,5280,6234,6377,5398,6579,5582
cspD,13874,27151,27582,14295,27905,14918
csrA,10657,11651,11851,11158,11831,11321
cstA,23252,40838,41933,24666,41923,24112
cusC,19957,27606,28722,20875,28364,21322
cvpA,2913,2494,2505,3167,2482,3055
cyaY,1932,2152,2269,2058,2215,2060
cydA,172893,214485,220261,180627,217517,177877
cydB,107205,117502,122995,113114,119228,108373
cydD,7379,11491,11715,7852,11705,8095
cynR_1,3702,3665,4003,3947,3948,3903
cynR_2,6750,8247,8528,7225,8363,7111
cysA,5254,4543,4872,5444,4747,5490
cysB,11501,10484,10877,12423,10602,12056
cysE,6075,7041,7328,6417,7107,6519
cysK,135356,135821,134514,144882,137304,142588
cysP,16320,16960,17594,17125,17191,16850
cysQ,17742,21027,21622,18836,21402,18708
cysS,16982,16695,17781,17791,17478,18232
cysZ,9814,9814,10330,10675,10283,10470
dacA,17982,14961,15708,19051,15685,19154
dacB,7546,8295,8640,8177,8684,8088
dam,4747,4291,4353,4878,4265,5115
dapA,39717,45165,45849,41911,45826,42386
dapB,10782,9081,9080,11577,8970,11406
dapD,18758,19712,19861,19538,19467,19546
dapE,10365,10672,11047,11135,10879,11038
dapF,14819,13332,13925,15698,13785,15656
dat,8661,6333,6507,8569,6235,8654
dcd,13730,18798,18913,14179,19277,14500
dcuA,37667,107441,111316,37588,111298,38430
dcuB,40374,135249,136975,41538,138411,41394
dcuD,15642,34799,36941,16126,36036,16013
ddc,16603,13964,14384,17354,14167,17575
ddlB,11386,10885,11012,12170,11126,11719
deaD,138458,68686,70653,143802,70195,142761
dedA,5165,4747,4918,5418,4994,5392
def,31595,37242,38011,33141,37453,33258
degQ,153885,100300,103366,163474,102882,164053
degS,12087,14240,14906,12466,14520,12820
deoC1,10087,9101,9470,10771,9420,10668
deoD,46721,54318,55625,49000,54880,47869
der,18848,15401,15541,20002,15738,19602
dgkA,5044,4868,5116,5241,5019,5263
dgt,4212,5330,5609,4571,5467,4658
diaA,5318,5063,5139,5503,5149,5594
dinG,14827,16639,17209,15867,16815,15658
dipZ,3012,3102,3325,3217,3253,2960
djlA,6384,8268,8308,6909,8468,6874
dksA,7184,4850,4927,7634,5077,8014
dld,57458,58104,60461,60074,59754,60548
dmlR,2360,2715,2811,2471,2933,2581
dmsA,3011,103829,108148,3280,106258,3273
dmsB,308,18286,19027,345,19111,368
dmsC,643,22175,23608,703,22877,684
dmsD,350,6908,7132,379,7069,424
dnaA,20559,27364,27902,22109,27725,21820
dnaB,15230,17760,18392,16141,18654,16277
dnaE,29471,28175,28692,30547,27715,29911
dnaG,27607,27910,28858,29023,28553,29529
dnaJ,6648,7947,8302,7122,7956,7049
dnaK,37176,130535,134705,39805,133384,38777
dnaN,26476,28508,29715,28131,29368,28064
dnaQ,8527,9064,9673,8823,9304,9294
dnaX,34374,36168,38205,36568,37302,36576
dpnA,160,123,102,148,125,155
dppB,10148,15087,15903,10975,15299,10727
dppC,11089,15970,16350,11867,15950,11819
dsbA_1,1780,1247,1246,1762,1291,1811
dsbA_2,78369,49998,51701,84018,51249,83571
dsbB,10795,15552,16293,11080,15699,11602
dsbC,13917,13677,13840,14943,13939,15103
dsbD,37175,40047,41394,38654,41321,38869
dsbE_1,9761,11949,12405,10740,12228,10582
dsbE_2,3240,3127,3078,3569,3061,3486
dtd,4852,7437,7533,5204,7561,5100
dus_1,26126,13288,13584,27277,13715,27689
dus_2,1207,930,951,1265,912,1240
dut,6778,8340,8410,7272,8586,7314
dxr,5877,6723,6972,6130,6920,6081
dxs,22194,23366,24490,23876,24051,23580
eda,2477,3077,3071,2691,3034,2571
efp,23438,25575,26304,24657,26250,24718
emrB,8612,10127,10515,9097,10307,8884
emtA,22420,21897,22446,23561,21864,23742
engB,6819,7535,7858,7027,7891,7223
engD,21738,22374,23487,23423,23099,23358
eno,159121,222619,229757,166453,228542,167026
envC,7118,8626,9013,7497,8953,7850
epsE,295,588,635,310,545,301
era,7540,6685,6867,8164,6948,8088
erpA,1894,1806,1748,2003,1860,2095
exbB,12518,13037,14635,13936,14102,12730
exbD,16806,17474,18176,17402,18109,17732
fabA,12353,3317,3444,13208,3490,13148
fabB,42310,24434,24878,44414,25177,43747
fabD,17998,14512,14708,19236,14710,18760
fabG,36999,29014,29626,40410,29605,39636
fabH,22893,20145,21499,24525,21464,23676
fabI,28715,29058,29866,30178,29719,30124
fabR,14951,15248,15806,16200,15584,15727
fabZ,13199,16054,16098,13890,16330,14225
fadD,21705,24744,25854,22930,25323,22308
fadR,5611,5673,5812,6106,5832,6174
fbaA,71750,114104,119127,75331,115451,74997
fbp,13058,23880,24564,13887,24879,14077
fbpA,25287,12968,13569,26778,13713,26811
fbpC2,1338,1660,1690,1457,1725,1387
fdhE,13790,10148,10608,14012,10573,14276
fdnG_1,290386,195748,203654,306477,199274,303893
fdnG_2,101106,72292,73406,107965,73294,109055
fdnI,64979,45464,46938,66420,45909,67132
fdoH_1,52635,80130,83377,54805,82767,54550
fdoH_2,88106,58365,61168,92684,59316,91032
fdx,4367,2956,3157,4820,3202,4860
ffh,15761,20455,21438,16591,21009,16518
fhuC,9349,6084,6382,9791,6312,9802
fis,2359,826,994,2640,1005,2657
fldA,15468,20631,21481,17064,21226,16678
fmt,20604,21585,22390,21968,22357,21780
fnr,15352,18259,18562,15924,18557,16363
focA,49133,68884,69613,50942,69297,51705
folA,3131,3182,3083,3267,3088,3181
folB,1023,1300,1203,1107,1276,1053
folC,20905,19125,19665,22426,19683,22313
folD,4112,4502,4588,4395,4496,4386
folE,5661,6860,7382,6172,7061,6125
folK,2742,2479,2632,2826,2593,2869
folP,11447,17480,18278,12023,17749,11931
frdA,94591,221935,226334,96879,223398,96184
frdB,52244,124651,130239,54706,127817,54608
frdC,21996,51521,54001,22776,52794,23207
frdD,8852,19677,21253,9677,20253,9104
frmA,6719,6353,6346,6732,6287,6891
frr,6758,8486,8560,7189,8637,7325
fruA,33841,27987,29316,35585,28416,35192
fruB,32386,30833,31682,34451,31586,33490
ftnA_1,15634,17756,19411,16558,19062,16475
ftnA_2,19665,23364,24780,20622,23843,20658
ftsA,20260,18458,18914,21643,18996,20814
ftsB,2311,2545,2818,2540,2763,2483
ftsE,6306,6874,7083,6453,7010,6562
ftsH,79170,193461,198703,83809,195830,82916
ftsH3,1436,837,833,1495,875,1410
ftsI,23747,28520,29961,25544,29533,24952
ftsK_1,56,27,23,49,28,54
ftsK_2,29476,26967,28278,31181,27715,30716
ftsL,3000,3557,3524,3156,3643,3027
ftsN,4597,4331,4588,5020,4679,4931
ftsP,8574,9470,9755,8844,9737,8891
ftsQ,5052,5245,5315,5613,5312,5264
ftsW,10964,11946,12408,11733,12280,11131
ftsX,5573,6029,6005,6024,6279,5774
ftsY,5712,7058,7343,6003,7281,6010
ftsZ,71181,71779,74771,74672,72545,73855
fucA,530,1198,1299,530,1307,558
fucI,1035,2703,2751,1088,2736,1071
fucK,613,1483,1630,625,1596,624
fucP,893,1816,2030,962,1965,933
fucU,200,531,545,206,591,217
fumC,57148,93840,97426,59586,96768,59596
fur,11076,14451,15286,11688,14970,11605
fusA,497896,337102,354683,521435,348832,513435
galE,16830,20515,21134,18036,20734,17735
galK,6271,13995,14515,6730,13962,6809
galM,6026,12482,13055,6282,12959,6220
galS,3474,5884,6025,3616,5960,3624
galT,6406,10873,11491,6601,11470,6746
galU,23691,25488,26331,25092,25822,25282
gapA,221356,301000,309413,228046,309217,230570
gcp,10926,12270,12595,11482,12542,11596
gcvA,2210,2488,2516,2378,2521,2397
gdhA,3544,3012,3130,3743,2952,3651
glgA,8863,26229,26926,9096,26259,9030
glgB,22481,90423,91956,23720,90858,23449
glgC,9628,31223,32004,9973,31483,9972
glgX,10580,40721,41428,10919,41351,10902
glmM,29275,39334,39991,29892,39390,29739
glmS,10938,10406,10945,11371,10603,11211
glmU,8505,9956,10385,8807,10492,8861
glnA,35138,36584,38303,37000,37683,36679
glnB,5815,5566,5754,5959,5543,6168
glnE,9560,10396,10915,10038,10709,9875
glnS,39517,40282,42141,41216,41355,41340
gloA,24408,25505,26125,25277,25669,25572
gloB,5024,6261,6415,5361,6415,5406
glpA,50713,82330,83038,53917,82351,53549
glpB,25813,50002,51371,27073,51381,26669
glpC,24708,47677,50015,26202,49360,26211
glpE,839,834,882,867,875,864
glpF,10754,20971,22028,11120,21340,10843
glpG,4085,3529,3648,4147,3651,4239
glpK,14586,34140,34929,15650,34404,15073
glpQ,159547,288585,304164,168923,298535,167062
glpR_1,6964,6659,6707,7408,6603,7442
glpR_2,2423,1846,1955,2630,1987,2588
glpT,302625,517979,534925,313174,526570,306347
glpX,1637,2009,2005,1843,2081,1796
gltC,904,903,804,987,891,984
gltS,34051,32524,33679,35269,33692,35093
gltX,30300,38993,39989,31071,39958,31540
glxK,14360,42626,44132,15060,43418,14685
glyA,37317,39304,40250,39180,40108,38881
glyQ,27120,37696,38565,28232,38707,28433
glyS,50853,53557,55593,53010,55176,53330
gmhA,14887,15103,15601,15622,15917,15885
gmhB,1760,1711,1812,1828,1712,1795
gmk,9980,11204,11562,10607,11689,10666
gntP,19642,62271,63812,20363,63224,20085
gor,18700,22690,23454,19709,22889,19998
gph,6966,8510,8690,7162,8707,7274
gpmA,28921,54921,58583,31419,57834,31059
gpsA,7328,8831,9052,7903,8784,7966
gpt_1,398,448,462,394,475,412
gpt_2,9928,15862,15991,10412,16158,10428
grcA,38137,80580,83788,39750,84667,41073
greA,5499,4899,5298,5799,5291,5758
greB,2015,1985,2064,2075,2050,2161
groL,25551,95404,97126,24897,94418,26322
groS,4544,21435,21631,4777,21695,4931
grpE,3308,14271,14761,3615,14457,3847
grxA,6416,7558,7771,6682,7707,6680
grxD,9990,7148,7473,10846,7235,10938
gsiA_1,8967,11848,11907,9275,12139,9447
gsiA_2,5018,6964,7166,5117,6985,5336
gsiA_3,14082,17373,18188,14898,17722,14853
gsiA_4,11543,12525,13233,12668,13239,12555
gsiA_5,17171,26486,27227,17830,27172,17996
gsiA_6,13274,18376,19184,14109,18895,14294
gsp,7728,7294,7457,8246,7194,8096
gspA_1,32465,32247,36215,36372,35742,33160
gspA_2,3064,3228,3645,3501,3609,2995
gspA_3,973,713,892,1311,891,867
gspF,189,348,361,217,344,229
gst,10814,10615,11192,11414,11098,11498
guaA,56667,55892,57695,59504,56880,59035
guaB,39205,50643,52729,41597,51678,41075
gutB,578,1290,1303,707,1354,692
gyrA,86704,100843,104932,91790,104041,90891
gyrB,63530,71534,73545,66911,72800,66880
hap,101182,86169,89096,107131,87463,106621
hbpA_1,13778,21004,21480,14643,21485,15003
hbpA_2,38053,138411,144112,40621,141807,41116
hcaT,10304,11962,12186,10815,11701,10719
hcpC_1,192,192,193,218,178,252
hcpC_2,207,205,227,269,223,258
hcpC_3,2105,1687,1706,2270,1663,2266
hcpD,141,146,148,168,125,137
hda,1293,1120,1307,1353,1195,1274
hel,149552,144762,151819,160512,149155,157652
hemH,6586,6908,6951,6940,6868,7239
hemY,20663,30881,33220,21925,32748,21883
hemZ,10088,34804,35601,10704,35401,10643
hflC,36192,35070,36090,37964,36305,37809
hflD,5466,6935,6996,5786,6941,5847
hflK,53492,56830,58842,56602,58853,56196
hfq,35974,40339,41166,37480,42432,39093
hgpA,6092,5587,6090,6542,5813,6424
hhaIM,8284,9359,10577,9135,10332,8452
hisA,6631,6224,6336,6928,6354,6972
hisB,8890,8778,9146,9425,8850,9576
hisC,6231,6233,6569,6840,6425,6718
hisC2,3488,4392,4402,3716,4413,3571
hisD,8269,7291,7488,8562,7481,8496
hisE,5680,5855,6207,6171,6106,6171
hisF,5000,5039,5201,5292,5158,5114
hisG,4407,3752,3913,4637,3733,4548
hisH,4382,4394,4438,4641,4461,4562
hisS,26344,31756,32565,28646,32546,27821
hldD,18210,19692,19630,19788,20124,19501
hldE,15568,18086,19047,16657,18907,16472
hmrR,884,972,926,972,984,926
holA,6328,6115,6360,6980,6394,6890
holB,21074,11974,12734,22703,12557,22109
holC,11239,10881,11510,11566,11336,11857
holD,1481,1477,1639,1538,1645,1634
hpaIIM,375,406,410,326,393,338
hpt,1260,1494,1466,1457,1467,1395
hscA,28688,19143,19738,30849,18928,30549
hscB,17477,11370,11574,18276,11898,18487
hsdR_1,33965,37244,37786,36373,37758,35425
hsdR_2,14757,15260,16246,15497,16211,15330
hsdR_3,17216,19373,19989,17839,19827,17653
hsdS,3559,4053,4343,4071,4236,3734
hslO,7190,9188,9969,7563,9814,7500
hslR,1978,1994,1970,1953,2017,2011
hslU,21430,123041,127369,22893,126863,22705
hslV,5749,38723,39629,6098,39082,6082
hsrA,12025,16175,16736,12829,16641,12604
htpG,3904,7737,8194,4176,8021,4156
htpX,16519,28393,29610,17599,29054,17057
htrB,6132,7944,8173,6482,8011,6488
hupA,36125,43006,45508,37616,46148,38287
hxuA_1,363962,324508,331378,380481,324912,376189
hxuA_2,21913,20074,20365,23486,20293,24024
hxuA_3,103661,91318,94896,108036,92060,107889
hxuB_1,75275,62783,64545,79424,63632,78638
hxuB_2,2491,1016,1071,2688,981,2668
hxuB_3,75428,63348,65022,78896,63533,78127
hxuC_1,4838,1349,1309,5275,1258,5210
hxuC_2,6228,5893,6407,6831,6328,6818
hyaD,10468,10920,11802,11583,11550,11244
hypC,104,72,92,78,78,87
iaaH,6096,12354,12974,6478,12846,6388
iga,120722,57205,59960,127585,58788,128143
ihfA,6284,4716,4984,6522,4869,6513
ihfB,6695,7945,8448,7389,8299,7228
ileS,100568,102486,106163,106026,105346,104585
ilvA,14653,13336,13843,15499,13605,15106
ilvC,25631,19193,19934,26972,19616,27251
ilvD,26447,26704,27473,28455,26441,27714
ilvE,25053,25280,26084,25829,26067,26210
ilvG,7529,8556,8946,7861,8761,7957
ilvH,4154,3856,4079,4596,3900,4595
ilvI,9543,9295,9556,10458,9465,10005
infA,3746,3409,3376,3830,3412,4120
infB,79455,45512,47472,85979,47213,83021
infC,32622,42314,43297,34629,43846,35112
intA_1,1998,1891,2127,2147,2041,2124
intA_2,4834,4086,4242,5121,4103,5104
iscA,7591,4634,5068,7821,4935,7716
iscR,8301,6108,6513,9178,6183,8810
iscS,50115,36159,37818,54802,37576,52655
iscX,956,455,597,1027,576,942
ispA,8871,11153,11418,9565,11538,9438
ispB,8712,10606,11008,9343,10910,9255
ispD,5598,6137,6432,5921,6366,6000
ispE,9714,12721,13030,10183,12957,10768
ispF,5962,6238,6354,6371,6261,6563
ispG,19444,26122,27229,20825,26678,20721
ispH,11455,12056,12485,12214,12245,12450
kamA,5123,6423,6743,5358,6680,5597
katA,2160,2395,2436,2169,2359,2185
kdkA,12656,15780,16525,13524,15726,13825
kdsA,23707,25906,26789,25224,26518,24566
kdsB,9793,9257,9217,10170,9365,10209
kefC,21068,22970,23622,21864,23302,22034
kefF,5468,6565,6917,6031,6648,5819
kipI,1815,1217,1194,1766,1166,1819
kpsF,3285,3984,4151,3422,4039,3550
lacC,16173,14546,15290,17149,15246,16925
ldhA,12139,12273,12727,13009,12406,12986
lepA,34229,31082,31718,36226,31647,35977
lepB,20361,17072,17805,22047,17545,21211
leuA,2190,2498,2590,2337,2535,2326
leuB,1736,1721,1863,1851,1778,1766
leuC,2556,2740,2847,2637,2799,2684
leuD1,1078,1175,1226,1079,1173,1172
leuS,51276,62046,63327,54065,63231,53524
lex1_1,10940,15046,16458,12253,16369,11744
lex1_2,12194,10664,11503,13158,11387,13124
lex1_3,6902,8418,9635,7782,9476,7042
lex1_4,4607,5297,6334,5245,6125,4426
lexA,22375,21948,22651,23528,22592,23742
lgt,13001,14328,14625,13022,13812,13038
ligA_1,176,274,297,249,271,255
ligA_2,8914,7415,7626,9651,7488,9598
lipA,20926,18265,19051,22443,18970,22477
lipB,9030,7211,7460,10062,7253,9639
lldD,171738,190639,194422,181851,193480,179211
lldP,75693,50206,52507,81116,51251,78094
lnt,10507,14756,15079,10955,14937,11015
lolA,8030,6893,7266,8423,7075,8595
lolB,4972,7291,7627,5050,7554,5075
lolC,30228,31486,32478,31938,32118,30995
lolD,5023,4994,5190,5196,5076,5202
lolE,10321,9932,10584,10851,10056,10676
lon_1,83788,271184,277973,87864,278056,88171
lon_2,7286,6056,6217,7531,6188,7248
lpdA,179129,171545,178645,188015,177335,185689
lpoA,32667,43171,44563,34048,43887,34359
lptA,16360,17888,18778,16825,18575,17266
lptB,17410,19527,20043,18413,20449,18685
lptC,13851,15824,16486,14686,15923,15093
lptD,37587,41538,43357,38663,42962,39395
lptE,6661,6578,6898,7143,6803,7007
lptF,7663,9965,10275,8122,10234,8125
lptG,10417,11054,11511,10803,11133,10787
lpxA,15930,19497,20435,16692,20065,16610
lpxB,6424,7327,7882,6644,7600,6769
lpxC,56848,54216,56433,59612,54916,59506
lpxD,63858,56697,58187,68059,58007,66296
lpxH,9001,8918,9401,9471,9259,9497
lpxK,11131,11680,11979,11599,12043,11707
lrp_1,1255,802,865,1393,844,1421
lrp_2,4909,4851,5086,5053,4969,5158
lspA,5037,5408,5582,5416,5431,5342
lst,2198,2442,2584,2354,2500,2160
ltaS1,21969,28364,29440,23443,29063,23196
lutR,3133,3670,3826,3273,3829,3433
luxS,5313,5551,5611,5428,5686,5602
lysA,18370,20078,20385,18992,20483,19784
lysC,5054,5099,5264,5371,5148,5350
lysU,57589,58828,61096,61148,60347,60559
lysX,4953,4900,5184,5048,5058,5144
maeB,31398,61272,63094,32606,61123,32325
malP,21494,28278,28905,22664,28453,22789
malQ,17730,52501,54421,18480,54385,18416
manA_1,1034,538,625,1057,611,1000
manA_2,598,270,304,632,256,650
map,19498,18701,18876,20554,19004,20459
matP,1592,1364,1407,1700,1469,1748
mazG,2948,3000,3271,3217,3204,3204
mdaB,29078,22019,22324,30234,22041,30821
mdh,30205,107056,113023,31345,112037,31299
menA,8810,8749,8797,8979,8757,9245
menB,48909,58217,58636,50300,59037,50046
menC,15296,18471,18938,15996,18725,15877
menD,28545,25956,26351,30085,26031,29291
menE,8567,9805,10140,9272,9931,8748
menF,21364,22669,23504,22829,23303,22118
menH,1813,1241,1262,2028,1265,2034
mepA,10962,10244,10466,11354,10175,11385
merR,1204,1086,1166,1345,1084,1350
metC,10119,9697,10072,10864,9670,10891
metE,66980,61672,63545,71145,62895,70060
metF,2008,2241,2455,2151,2520,2097
metG,33196,43058,44269,34920,43774,35679
metH,10138,9990,10440,10607,10514,10744
metI_1,4612,6462,6505,4494,6212,4750
metI_2,16927,18427,19418,17778,18960,17728
metJ,1617,1509,1574,1790,1556,1782
metK,13073,8829,9365,13841,9084,13695
metN,6829,10626,10811,7108,10614,7107
metQ,25262,39058,41052,26165,40310,26814
metX,2870,2199,2157,3098,2157,3118
mfd,23175,23184,24135,24406,23651,24149
mglA,76131,129990,135483,80216,132712,79814
mglB,168105,264184,274557,178921,269758,181357
mglC,49518,79787,84170,52263,82763,51263
mgsA,6793,8309,8724,7441,8677,7456
miaA,4901,5998,6106,5268,6213,5192
miaB,50817,55364,56983,53290,56561,53547
mioC,7788,12065,12307,8324,12707,8354
mlaA,18648,21236,22173,19760,22197,19758
mlaD,13902,13919,14103,14650,14019,15068
mlaE,19623,18622,19551,20553,19292,20026
mleN_1,1099,1198,1162,1188,1240,1124
mleN_2,5245,4257,4321,5650,4203,5478
mltA,8376,8292,8467,8997,8780,8828
mltF,3887,6724,6901,4219,6977,4413
mnmA,8014,6236,6417,8307,6151,8335
mnmC,6796,10101,10486,7270,10631,7346
mnmE,17616,13410,13931,18799,13665,18522
mnmG,33020,43141,44667,34897,44028,35187
mntB_1,3374,2025,2179,3645,2084,3240
mntB_2,3203,1960,2038,3333,2001,3327
moaA,9418,5937,6135,9893,6138,9793
moaC,3114,2037,2167,3432,2062,3345
moaD,1261,862,878,1236,831,1365
moaE,2091,1430,1550,2193,1427,2238
mobA,1472,1554,1577,1539,1617,1567
mobB,6441,8673,8843,6828,8853,6659
modA,3666,4132,4536,3895,4399,3864
modB,2340,2282,2381,2450,2285,2437
modE,1874,1883,1959,1947,1915,2031
moeA,13855,16287,16498,14654,16716,14543
moeB,5652,6865,7186,6128,7068,6028
mog,8167,8969,8971,9004,9008,8714
mopII,948,964,974,1015,934,1104
mpl,20197,21714,22490,21574,22067,21140
mraY,15788,17212,18087,16611,17862,16173
mraZ,15237,13633,13985,16150,14315,16026
mrcA,28943,40518,41711,30765,41074,31290
mrcB,7945,10957,11313,8472,10921,8545
mrdB,11847,10197,10212,12563,10304,12220
mreB,21446,24935,25888,22574,25439,22426
mreD,1513,1778,1829,1497,1819,1664
msbA_1,1809,1868,1904,1896,1955,1868
msbA_2,36568,45721,46729,38881,46943,38534
msbB,9230,8707,8726,9837,8504,10141
mscL,4261,3551,3664,4786,3712,4490
msrAB,7528,8100,8199,8034,8209,8105
mtnN,2369,1437,1365,2520,1402,2560
mtr_1,1210,4431,4744,1231,4705,1204
mtr_2,1316,1251,1418,1450,1292,1358
mukB,63965,62386,65639,68443,64152,67289
mukE,8715,9356,9538,9586,9271,9185
mukF,15983,21197,21836,17127,21310,16908
murA,49880,43222,44180,52519,44131,52212
murB,12352,12771,13131,13256,13098,13073
murC,20636,19886,20349,22026,20396,21490
murD,18944,20238,20866,20137,20536,20058
murE,41533,39855,41109,43402,40090,43307
murF,24238,26686,28052,26032,27491,25599
murG,9665,10076,10317,10466,10139,10139
murI,2553,2423,2495,2685,2472,2635
murJ,5624,5916,6090,6005,6089,5992
mutH,7900,6518,6651,8186,6562,7888
mutL,14453,17560,18230,15191,18232,15166
mutM,3792,3580,3647,4058,3844,4118
mutS,31029,35386,36733,32902,36607,32418
mutT,5198,6966,7022,5488,6855,5370
mutY,3356,3489,3581,3505,3671,3543
nadR,13746,14857,14953,14615,15319,14693
nagA,5084,10181,10068,5594,10179,5426
nagB,4301,9591,9906,4592,9646,4458
nagK,11451,14585,14804,12320,14733,11799
nagZ,14733,15007,15874,15848,15535,15729
naiP,2777,1350,1446,2907,1401,2844
nanA,10546,27018,28183,11133,27122,11457
nanE,3574,9968,10262,3771,10115,3734
nanK,3476,9460,10024,3729,9560,3753
nanM,3999,15396,15884,4076,15877,4021
napA,350850,206805,214784,371844,213177,365733
napB,26291,24087,24990,27927,24950,27566
napC,42044,40558,42212,45051,41400,44720
napD,5543,2097,2241,6116,2250,6203
narL,8241,12128,13024,8936,12903,8885
narX,7307,9905,10174,8112,9987,7800
ndh,21421,14364,15170,22882,14650,22141
ndk,8476,7640,8517,9302,8231,9045
neuA,5469,6084,6330,5763,6452,5753
nfuA,12268,11415,11818,13078,11794,12966
nhaA,22404,30136,30731,23848,30754,23525
nhaB,27644,39208,41503,29519,41327,28609
nifU,16323,10836,11259,17784,11442,17049
nlpD_1,17486,20402,21067,18433,21079,18577
nlpD_2,24349,22458,22852,25370,22780,25796
nlpI,109590,61844,64224,115275,63062,115040
norM,5364,6046,6035,5596,5950,5895
nqrA,233585,267603,276614,245986,269009,245718
nqrB_1,161270,176377,182408,168595,178864,162802
nqrB_2,4724,4501,4548,4952,4545,5158
nqrC,100701,107167,112015,104726,109097,104204
nqrD,78869,80419,85740,83162,83624,80795
nqrE,69661,68251,73304,73145,69413,69561
nqrF,168888,173738,179328,176188,173404,173666
nrdA,64539,51234,53412,68552,52650,68713
nrdB,38750,22692,23585,40881,23566,41037
nrdD,8679,7504,7402,9124,7532,9139
nrdR,5000,5995,6328,5221,6279,5182
nrfA,130254,213660,218673,136274,218252,135895
nrfB,48195,78905,80449,51131,80338,50830
nth,2348,2595,2575,2592,2679,2722
nucH,1809,2104,2149,1919,2098,1890
nudB,3884,3748,3800,4289,3737,4180
nudC,2509,2372,2520,2639,2464,2515
nudF,2363,3157,3141,2706,3152,2592
nupX,64344,96466,97599,67743,95397,66746
nusA,43669,32051,33728,47801,32984,45928
nusB,9367,10127,10335,10089,10459,9771
nusG,22350,26009,26846,23629,26428,23406
oatA,9464,2062,2639,10608,2443,9754
obgE,20053,15044,15508,21079,14787,21116
ogt,6906,6391,6742,7373,6482,7467
ompA,434465,477862,492555,456176,492509,456153
ompP1,276005,290468,299803,290089,297998,287967
oppA_1,47911,80589,83562,50916,82820,50612
oppA_2,11101,11035,11585,11646,11399,11781
oppB,10075,18406,19071,10909,18962,10444
oppC,10452,18179,18608,10977,18411,10728
orn,4871,5918,5934,5122,6166,5302
osmY,9760,10371,10603,10302,10559,10218
oxyR,52753,49835,51910,55477,51995,54839
pabB,3083,3626,3864,3147,3800,3176
pal,145412,141700,149325,149343,150157,150650
panF,32559,31284,32715,34566,32144,34117
parC,27260,27730,29193,28233,28779,28924
parE,16278,19148,19717,17653,19016,17305
patB,118,130,144,175,135,122
pbpA,22812,24266,24729,23765,24308,24164
pbpD,1008,1160,1195,1120,1226,1136
pbpG,2374,2791,2991,2588,2876,2660
