geneid,Off1,On1,On2,Off3,On3,Off2
723_00587,512,447,497,567,524,489
723_00588,9450,10426,10834,9925,10776,10175
723_00593,147,1546,1552,182,1636,162
723_00594,1665,1540,1617,1657,1618,1827
723_00596,8582,8561,9798,9480,9335,9027
723_00597,593,584,664,606,640,620
723_00598,10604,10121,10727,11195,10447,11401
723_00599,8603,3784,4302,9564,4222,8559
723_00601,9819,10645,11447,10445,11189,10473
723_00606,5943,8110,8278,6538,8126,5861
723_00608,2562,2684,2832,2641,2785,2608
723_00618,978,930,986,1037,911,1047
723_00631,9455,12706,13314,10277,13262,10169
723_00636,12608,6869,6920,13144,6963,12687
723_00638,8592,7899,8207,9109,8169,9008
723_00640,5251,4830,5365,5681,5263,5483
723_00646,7066,7933,8167,7698,8111,7982
723_00651,9097,8795,8995,10024,9162,9667
723_00652,6829,6589,6762,7516,6807,7789
723_00656,3733,3973,4088,4023,4201,4011
723_00672,80,76,110,97,101,97
723_00673,439,499,499,486,550,501
723_00674,159,256,270,191,262,161
723_00675,78,118,124,82,135,84
723_00680,10069,7616,8009,10642,7785,10778
723_00682,1961,2534,2741,2203,2588,2082
723_00683,4054,4670,5001,4514,4928,4338
723_00687,6100,7629,8068,6490,8038,6458
723_00688,5432,7154,7450,5931,7102,5978
723_00689,5701,6373,7229,6401,7294,5768
723_00690,3617,3863,4359,3822,4306,3643
723_00692,729,401,445,787,397,745
723_00700,81058,70978,76088,85670,74908,84615
723_00708,6770,11489,11473,7033,11915,7224
723_00709,1028,899,966,1145,919,1157
723_00713,13007,15976,16247,13204,16153,12996
723_00717,13530,14551,14994,13906,14793,14155
723_00722,11645,13471,14534,12750,14143,12452
723_00730,6528,6080,6425,6971,6269,6441
723_00733,13169,14203,14567,14364,14284,13614
723_00734,5504,6054,6273,5747,6321,5822
723_00744,6344,6657,6866,7084,6926,6616
723_00751,1871,1312,1286,2022,1349,1993
723_00754,2844,2743,2904,3182,2909,3056
723_00755,30763,31460,33410,32144,33083,32841
723_00762,49228,33048,34794,51753,34510,52672
723_00768,4412,6045,6260,4587,6279,4739
723_00780,3433,3805,3845,3800,3845,3745
723_00781,7443,8110,8292,7789,8205,7859
723_00783,5924,6958,7784,6303,7795,5946
723_00791,22515,22715,23671,23943,23363,23868
723_00802,1750,1564,1671,1927,1684,1780
723_00823,2410,2241,2417,2710,2515,2452
723_00848,9042,9779,10036,9359,9904,9646
723_00849,169,102,87,159,111,160
723_00850,158,105,104,146,123,139
723_00852,3659,3885,3889,3943,4173,3609
723_00857,3311,3807,4029,3455,3841,3427
723_00858,351,315,350,409,362,409
723_00859,1416,963,985,1443,955,1615
723_00860,1876,1119,1194,1919,1256,1997
723_00861,459,323,333,482,332,459
723_00862,1252,939,908,1386,916,1327
723_00863,1374,990,1006,1396,983,1279
723_00864,2660,1560,1662,2870,1554,2783
723_00865,539,211,223,572,240,567
723_00866,1011,436,423,1030,435,1051
723_00867,428,155,192,434,187,427
723_00868,219,152,159,210,113,234
723_00869,412,305,282,460,275,422
723_00870,452,265,313,512,286,475
723_00871,590,342,360,639,349,637
723_00872,1811,725,761,1836,733,1902
723_00873,1004,480,455,1057,425,1032
723_00874,4775,2063,2162,5138,2132,4913
723_00875,414,172,182,405,178,384
723_00876,2149,896,943,2344,972,2184
723_00877,1547,630,591,1609,690,1580
723_00878,1127,482,483,1297,509,1179
723_00879,4033,1632,1819,4311,1832,4213
723_00880,3517,1577,1661,3917,1715,3660
723_00881,1317,1036,972,1401,960,1416
723_00882,925,606,577,1068,592,1040
723_00883,1678,1155,1168,1795,1145,1790
723_00884,1646,878,892,1644,879,1739
723_00885,73,38,35,99,40,77
723_00886,298,138,150,321,165,338
723_00887,95,47,42,113,39,101
723_00888,124,79,90,174,73,152
723_00889,152,75,75,159,72,172
723_00890,118,58,60,136,46,113
723_00891,51,22,34,50,19,48
723_00892,280,113,126,286,125,277
723_00893,2065,1109,1146,2229,1146,2112
723_00894,2246,1862,1917,2526,1942,2456
723_00895,189,133,137,224,140,227
723_00896,402,253,252,421,250,392
723_00897,198,110,110,201,117,217
723_00898,268,163,132,275,153,300
723_00899,256,164,153,315,174,247
723_00900,95,76,82,119,63,123
723_00901,23,8,13,30,13,23
723_00902,60,30,29,67,28,64
723_00903,630,361,330,640,300,692
723_00904,60,26,34,72,32,59
723_00905,111,67,46,169,60,120
723_00906,1190,718,710,1322,719,1305
723_00907,5517,3130,3306,5728,3324,5900
723_00908,447,264,294,466,250,563
723_00909,2874,2771,2888,3155,2877,3098
723_00910,2289,1807,1947,2598,1970,2432
723_00911,2073,1706,1901,2525,2052,2301
723_00921,94006,167092,174491,98656,172554,98490
723_00926,24721,29480,30212,26523,30418,25974
723_00927,1762,2012,2032,1766,2124,1880
723_00935,1719,1877,1899,1471,1861,1660
723_00938,3174,4080,4293,3486,4168,3332
723_00940,17,24,14,19,9,19
723_00941,9888,10632,13695,10347,6802,14487
723_00942,1632,996,934,1686,992,1767
723_00943,4267,2178,2209,4445,2160,4679
723_00944,2147,4459,7470,2355,1696,4412
723_00959,769,371,433,922,407,874
723_00960,419,202,223,436,211,445
723_00963,5214,5649,5912,5417,5849,5448
723_00966,25542,68468,70774,27389,69551,27531
723_00967,26022,37418,39970,27555,39270,27466
723_00970,124,20,25,153,48,131
723_00971,52,28,28,59,20,59
723_00972,7,4,7,4,3,7
723_00973,19,12,18,25,19,20
723_00974,9763,10731,13881,10233,6804,14668
723_00975,1587,975,901,1721,947,1756
723_00976,4241,2100,2180,4433,2201,4666
723_00977,2176,4443,7345,2291,1767,4416
723_00982,19855,22361,23765,21268,23303,21686
723_00989,24970,23011,24513,26411,23980,26317
723_00991,3572,3539,3594,3571,3546,3642
723_00992,3918,4996,5188,4484,5412,4395
723_00995,654,375,381,595,409,678
723_01000,1127,1468,1461,1148,1511,1193
723_01001,5200,6430,6360,5237,6422,5299
723_01006,16028,16796,17495,17208,16678,16945
723_01007,46723,49867,52048,50335,51424,49765
723_01025,4741,4711,4941,4881,5004,5075
723_01036,210,155,142,222,142,230
723_01037,168,146,142,170,134,200
723_01038,913,725,768,905,808,1000
723_01039,2542,2199,2227,2628,2164,2716
723_01041,40,58,37,48,47,45
723_01042,38,25,45,23,18,33
723_01043,2613,12818,13236,2859,13135,2848
723_01044,10844,13779,14145,11364,13998,11419
723_01048,3783,4011,4316,4090,4105,3953
723_01053,1476,1583,1680,1442,1704,1510
723_01060,10147,8971,8376,9669,8716,10179
723_01061,7165,5542,5713,7194,5783,7728
723_01062,793,626,612,845,672,822
723_01063,1635,1499,1631,1859,1630,1667
723_01070,4447,4974,5366,4694,5211,4709
723_01072,224,178,204,253,183,215
723_01073,939,676,668,925,659,977
723_01079,32698,27494,29622,35627,28429,34243
723_01085,1061,1179,1343,1162,1318,1057
723_01087,3569,1545,1647,3755,1611,3665
723_01095,1956,4139,6841,2165,1606,4101
723_01096,3028,1229,1181,3118,1171,3230
723_01097,9539,9999,12539,9820,6679,13765
723_01098,26,26,26,27,10,38
723_01099,133,107,84,162,77,156
723_01100,1195,922,1009,1341,995,1279
723_01111,53573,44355,42428,57590,39752,62738
723_01112,62316,54751,54327,65175,55015,67317
723_01113,9710,8583,8538,9100,8357,10389
723_01114,16693,15186,15076,18478,14947,18225
723_01116,593,717,745,568,702,580
723_01119,6454,7381,7695,6839,7571,6982
723_01120,39052,38644,39785,40954,40073,41451
723_01122,39437,39366,41058,40784,40982,41550
723_01130,801,744,747,841,734,886
723_01131,31795,28878,30741,34025,30252,34566
723_01135,46024,48548,49313,48714,48623,47317
723_01136,7618,8954,9366,8211,9297,8108
723_01140,7127,6507,6841,7613,6840,7459
723_01142,1471,1531,1555,1576,1573,1523
723_01167,434,347,440,481,388,468
723_01168,21210,19833,20556,22988,20311,22582
723_01171,4395,4078,4231,4547,4187,4582
723_01172,1900,1752,1796,1917,1771,1926
723_01173,41050,73432,75582,43353,75974,43888
723_01182,1503,1671,1784,1702,1722,1666
723_01185,1427,824,869,1460,985,1425
723_01201,1602,2284,2320,1784,2316,1716
723_01203,4146,4505,5498,4724,5230,4101
723_01221,10641,10169,10504,11649,10643,11521
723_01227,6140,6087,6026,6477,6252,6658
723_01235,9091,7570,7665,9568,7605,9332
723_01237,3781,3420,3543,4127,3566,4150
723_01239,9779,9510,9783,10779,9792,10226
723_01243,1417,1324,1288,1454,1313,1485
723_01247,4971,5658,5871,5091,6005,5139
723_01248,6852,8528,8774,7240,8799,7286
723_01250,539,578,611,551,611,540
723_01251,155,228,251,206,217,144
723_01252,139,190,199,159,210,137
723_01253,97,125,136,86,118,84
723_01255,389,354,385,366,397,391
723_01258,7470,7717,8284,8384,8411,7812
723_01265,5709,7085,7342,6085,7274,6239
723_01282,1609,1389,1393,1703,1432,1689
723_01291,15481,16354,17234,16897,16908,16518
723_01292,2281,2983,3159,2468,3200,2604
723_01299,6531,7288,7626,6894,7586,6986
723_01307,740,434,472,793,471,716
723_01308,1178,580,610,1255,611,1206
723_01309,12641,10158,11233,13871,11057,13252
723_01315,12671,8437,8505,13463,8652,13300
723_01319,19647,23335,24164,20924,24397,21594
723_01323,2678,2170,2126,2661,2158,2871
723_01326,9678,6419,6769,9999,6589,9996
723_01331,1602,1996,2011,1731,2057,1714
723_01341,79920,56301,57496,83125,57072,81565
723_01344,17801,4846,4925,18212,4897,18908
723_01345,11057,10877,11384,11761,11304,11720
723_01355,4125,5075,5271,4319,5216,4249
723_01356,13784,19033,20130,14505,19793,14730
723_01359,531,323,311,613,321,609
723_01360,1351,1858,1827,1414,1742,1466
723_01361,9680,10739,10963,10212,11193,10029
723_01367,16315,17402,18959,17732,18772,16803
723_01370,11904,10557,10722,12301,10350,11950
723_01374,5085,6910,7348,5580,7258,5421
723_01378,4180,3624,4125,4523,3986,4482
723_01379,218,151,171,260,178,190
723_01380,125,112,128,139,158,124
723_01381,2437,2318,2469,2551,2450,2625
723_01382,149,150,122,162,139,164
723_01383,7426,10177,10745,8056,10598,8167
723_01388,3726,3737,3751,3758,3695,3840
723_01400,825,969,987,923,990,927
723_01401,1058,1257,1294,1159,1245,1187
723_01402,1120,1244,1281,1107,1265,1171
723_01403,1117,1221,1315,1124,1271,1175
723_01408,9153,8490,8792,9471,8714,9465
723_01417,13068,13728,14206,13829,14097,13542
723_01418,174,94,104,183,84,191
723_01419,989,734,767,1033,687,1193
723_01420,5079,3735,3455,5366,3609,5476
723_01421,4050,2761,2753,4354,2808,4358
723_01423,428,531,547,399,533,475
723_01427,1046,1621,1681,1102,1648,1088
723_01438,12306,14748,15231,12905,15306,13020
723_01440,485,97,312,1053,310,215
723_01441,1003,669,718,1117,717,1100
723_01443,10918,14212,14853,11394,14923,11803
723_01448,28056,27005,27667,28891,27706,29341
723_01452,199792,169099,177255,211843,177687,210778
723_01455,4614,2759,2962,4834,2897,4781
723_01456,945,610,576,1023,572,1047
723_01463,2549,2828,2742,2881,2921,2817
723_01464,331,174,347,539,333,221
723_01470,9057,10654,11277,9640,11348,9926
723_01478,2009,4156,6905,2178,1682,4209
723_01479,3329,1261,1225,3327,1313,3514
723_01480,9280,10000,12908,9803,6441,13775
723_01481,23,14,25,21,10,22
