,Gal.1,Gal.2,Glc.1,Glc.2,NAG.1,NAG.2,Fru.1,Fru.2
GXM22_RS00290,109.7992763,101.3375855,116.3122724,106.2706812,53.38288171,60.88722532,93.87481302,103.8032081
GXM22_RS00295,105.8778736,106.1631849,112.2071334,94.00867955,50.8707461,55.35202302,77.94962153,120.1318026
GXM22_RS00300,203.9129417,234.0415666,229.8877854,223.7815307,137.5394246,119.0068495,182.7206182,226.267667
GXM22_RS00305,172.5417199,155.2234445,128.6276895,152.2531875,130.6310517,156.369465,170.1480986,174.9492271
GXM22_RS00310,115.6813804,115.0101169,86.20791954,120.5763499,74.73603439,98.24984086,99.74198884,113.1338335
GXM22_RS00315,281.3606455,329.7492863,342.0949188,336.1832127,327.2056632,330.7283375,377.175588,393.0525969
GXM22_RS00320,173.5220706,216.3477025,164.205561,231.9561984,152.6122383,170.2074708,170.1480986,221.6023543
GXM22_RS00325,495.0770941,454.4106019,433.776357,408.7333893,263.774239,233.8622973,664.6672029,541.1762758
GXM22_RS00330,305.8694126,283.9060928,250.4134806,230.934365,241.1650185,225.5594938,336.9435253,334.7361878
GXM22_RS00335,109.7992763,99.72905244,108.1019943,98.09601344,70.96783098,52.58442187,97.22748492,123.6307871
GXM22_RS00340,209.7950458,201.8709045,140.9431065,153.275021,138.7954924,117.6230489,191.9404659,207.6064162
GXM22_RS00345,89.211912,90.07785382,73.89250246,74.59384355,71.59586488,58.11962417,101.4183248,88.64094173
GXM22_RS00350,347.0441412,329.7492863,299.6751489,304.506375,284.4993578,276.7601151,408.1878031,422.2108014
GXM22_RS00355,250.9697744,230.8245004,236.7296838,240.1308662,222.3240015,163.2884679,247.2595522,295.0810297
GXM22_RS00360,232.3431115,270.2335615,283.2545928,303.4845416,234.2566456,247.700303,231.3343607,256.5921997
GXM22_RS00365,475.4700804,553.3353877,580.1929823,654.9952564,423.2948503,509.2386118,345.325205,384.8882996
GXM22_RS00370,900.9422761,1153.318236,1156.280826,1288.53201,817.700141,882.8647672,728.3679689,705.6285493
GXM22_RS00375,1390.137266,1599.686172,1425.851622,1726.89857,749.8724795,837.1993482,477.7557449,468.8639286
GXM22_RS00380,307.8301139,254.952497,207.9937106,323.921211,132.5151534,226.9432944,76.27328558,80.47664446
GXM22_RS00385,134.3080433,140.7466466,150.5217643,160.4278553,133.7712212,166.0560691,84.65496532,73.47867538
GXM22_RS00390,229.4020594,248.5183646,229.8877854,220.7160302,268.7985103,272.6087134,207.0274894,229.7666516
GXM22_RS00395,168.6203172,141.5509131,158.7320423,152.2531875,176.4775266,206.1862857,111.4763405,146.9573508
GXM22_RS00400,3300.840744,3772.010129,3597.470166,3488.539478,7488.676253,8237.764826,11513.07528,9991.933523
GXM22_RS00410,58.82104088,57.90719174,46.52490896,64.37550882,49.61467829,55.35202302,72.92061369,67.64703448
GXM22_RS00415,32.35157248,21.7151969,23.26245448,27.58950378,23.86528829,24.90841036,27.65954312,33.82351724
GXM22_RS00420,56.86033952,63.5370576,47.89328863,63.35367535,42.07827147,58.11962417,65.37710193,72.3123472
GXM22_RS00425,20.58736431,15.28106449,31.47273253,19.41483599,15.70084756,23.52460978,20.95419934,25.65921997
GXM22_RS00430,141.1704981,141.5509131,128.6276895,159.4060218,133.1431873,225.5594938,177.6916104,215.7707134
GXM22_RS14990,0.980350681,0.804266552,1.368379675,4.087333893,8.792474635,29.05981209,4.190839867,5.831640903
GXM22_RS00435,57.8406902,73.18825623,75.26088214,118.5326829,1323.895466,3636.627912,1776.916104,2934.481702
GXM22_RS00440,38.23367657,45.84319346,50.63004798,91.9650126,796.9750222,2352.460978,747.6458323,1340.11108
GXM22_RS00445,59.80139156,52.27732588,57.47194636,124.6636837,1047.560549,3137.075905,980.6565289,1517.392963
GXM22_RS00450,99.9957695,95.70771968,91.68143824,120.5763499,871.7110566,1829.384361,779.4962153,913.2349654
GXM22_RS00455,59.80139156,78.01385554,87.57629921,115.4671825,776.8779373,1823.849158,978.142025,1031.034112
GXM22_RS00460,228.4217087,291.9487584,273.675935,443.4757274,2980.648901,8726.246429,2831.331414,4302.584658
GXM22_RS00465,68.62454769,77.20958899,73.89250246,96.05234649,207.2511878,474.6435974,217.9236731,345.2331415
GXM22_RS00470,59.80139156,49.86452622,53.36680733,70.50650966,144.4477976,297.5171237,168.4717627,211.1054007
GXM22_RS00475,145.0919008,147.9850456,145.0482456,143.0566863,128.1189161,141.1476587,170.1480986,135.294069
GXM22_RS00480,76.46735314,98.12051934,102.6284756,90.94317913,89.80884805,106.5526443,105.6091647,121.2981308
GXM22_RS00485,95.09401609,134.3125142,114.9438927,139.9911858,124.3507127,178.5102742,105.6091647,137.6267253
GXM22_RS00490,18.62666295,12.06399828,31.47273253,25.54583683,189.6662385,143.9152599,49.45191043,22.16023543
GXM22_RS00495,360.7690507,213.9349028,1009.8642,577.3359124,4619.817387,3474.723245,1624.369532,731.2877692
GXM22_RS00500,401.9437793,373.1796801,466.6174692,496.611068,485.4702066,560.4392331,444.2290259,505.0201022
GXM22_RS00505,1079.3661,1199.161429,1243.857125,1388.67169,1325.779568,1433.617396,720.8244571,837.4236337
