Replicate,Strain
1,methyltransferase ModA2 (OFF)
1,methyltransferase ModA2 (ON)
2,methyltransferase ModA2 (ON)
2,methyltransferase ModA2 (OFF)
3,methyltransferase ModA2 (ON)
3,methyltransferase ModA2 (OFF)
