Replicate,Strain
1,methyltransferase ModA18 (OFF)
2,methyltransferase ModA18 (OFF)
3,methyltransferase ModA18 (OFF)
1,methyltransferase ModA18 (ON)
2,methyltransferase ModA18 (ON)
3,methyltransferase ModA18 (ON)
