Replicate,Strain
1,methyltransferase ModA15 (OFF)
2,methyltransferase ModA15 (OFF)
3,methyltransferase ModA15 (OFF)
1,methyltransferase ModA15 (ON)
2,methyltransferase ModA15 (ON)
3,methyltransferase ModA15 (ON)
