Replicate,Strain
1,methyltransferase ModA10 (OFF)
2,methyltransferase ModA10 (OFF)
3,methyltransferase ModA10 (OFF)
1,methyltransferase ModA10 (ON)
2,methyltransferase ModA10 (ON)
3,methyltransferase ModA10 (ON)
