Replicate,Genotype
1,Delta-sigE
2,Delta-sigE
3,Delta-sigE
1,Delta-sigK
2,Delta-sigK
3,Delta-sigK
1,WT
2,WT
3,WT
1,Delta-spoIIID
2,Delta-spoIIID
3,Delta-spoIIID
