Replicate,Genotype,Time
1,Delta-PpzA,0 hr
2,Delta-PpzA,0 hr
3,Delta-PpzA,0 hr
1,Delta-PpzA,1 hr
2,Delta-PpzA,1 hr
3,Delta-PpzA,1 hr
1,Delta-PpzA,2 hr
2,Delta-PpzA,2 hr
3,Delta-PpzA,2 hr
1,WT,0 hr
2,WT,0 hr
3,WT,0 hr
1,WT,1 hr
2,WT,1 hr
3,WT,1 hr
1,WT,2 hr
2,WT,2 hr
3,WT,2 hr
