Replicate,Genotype,Medium
1,WT,GMM
2,WT,GMM
1,Delta-creA,GMM
2,Delta-creA,GMM
1,WT,EMM
2,WT,EMM
1,Delta-creA,EMM
2,Delta-creA,EMM
