Replicate,Strain ,Treatment 
1,D141,None
2,D141,None
3,D141,None
1,D141,xanthine + xanthine oxidase
2,D141,xanthine + xanthine oxidase
3,D141,xanthine + xanthine oxidase
1,asp43 KO,None
2,asp43 KO,None
3,asp43 KO,None
1,asp43 KO,xanthine + xanthine oxidase
2,asp43 KO,xanthine + xanthine oxidase
3,asp43 KO,xanthine + xanthine oxidase
