,Raw Counts Control 1,Raw Counts Control 2,Raw Counts Control 3,Raw Counts Gal grown 1,Raw Counts Gal grown 2,Raw Counts Gal grown 3
PG0762,7379,9229,6934,11786,10078,13426
PG0766,4916,7180,5928,10494,10238,9443
PG0767,867,1320,1106,1604,1531,1531
PG0768,310,411,339,505,454,623
PG0769,2033,2425,1772,2240,1704,3029
PG0770,541,556,405,553,363,851
PG0771,274,336,255,312,258,472
PG0772,3,5,5,7,7,3
PG0773,8,11,13,12,16,8
PG0774,633,1147,1183,1427,1366,768
PGt16,10,16,15,19,13,13
PG0775,6907,7060,5446,12625,10152,15916
PG0776,2615,3292,2626,6203,5729,6120
PG0777,1971,2340,1896,4213,3824,4913
PG0778,1233,1331,1037,2062,1700,3200
PG0779,24506,42490,38946,44248,42052,30175
PG0780,27782,42336,35422,48833,42483,37890
predicted RNA,775,1079,862,1242,1061,1089
PG0781,14291,20572,16631,24817,20837,20907
PG0782,12088,14715,11432,17075,14212,21887
PGt17,475,781,727,922,839,678
PG0783,1516,2324,1887,2842,2320,2249
PG0784,1488,1948,1596,2304,1968,2178
PG0785,2624,4578,3651,5921,5641,5029
PG0786,50,114,91,126,123,90
PG0787,65,97,68,93,83,82
PG0788,1311,2034,1621,2843,2564,2627
PG0789,751,1164,925,1505,1490,1197
PG0790,2901,5002,4032,5709,5364,4825
PG0791,2366,3683,2987,4260,3460,3484
PG0792,1042,1457,1214,1936,1464,1720
PG0793,7355,9744,8136,12645,9857,11839
PG0794,5244,7141,5672,8846,7623,8589
PG0795,2261,2609,2023,2956,2382,3951
PG0796,3557,4476,3546,5501,4623,5666
PG0798,142,249,213,305,228,154
PG0799,21,61,43,59,62,44
PGt18,3,12,9,13,14,8
PG0800,467,674,498,1024,936,998
PG0801,520,728,589,945,850,970
PG0802,2214,2743,2164,3301,3059,3516
PG0803,2007,2282,1817,3165,2643,3387
PG0804,3492,4308,3322,5984,4859,6563
PG0805,518,797,644,1113,960,1084
PG0806,1325,1977,1481,2684,2451,2680
PG0807,2814,3472,2769,4313,3708,4299
PG0809,4513,6531,5106,7418,6044,7182
PG0810,209,244,206,293,223,439
PG0811,782,865,705,925,743,1187
PG0814,330,607,614,619,509,390
PG0815,124,236,217,222,183,154
PG0816,588,939,835,969,695,770
PG0819,263,399,341,467,361,335
PG0820,206,341,340,361,285,261
PG0821,107,196,164,167,160,111
PG0822,232,473,487,479,488,219
PG0823,367,767,812,916,859,503
PG0824,1018,1861,1848,1929,1819,1151
PG0825,1772,2442,2198,2568,2300,2483
PG0826,227,448,449,681,617,411
PG0827,585,795,706,1089,957,837
PG0829,202,458,366,608,604,330
PG0831,273,658,675,783,746,354
PG0832,4563,11040,10611,12068,12152,5452
PG0833,10650,24371,24217,27223,28010,12553
PG0834,11752,26803,27046,30585,31242,13077
PG0835,11,20,16,15,18,5
PG0838,611,709,578,935,897,974
PG0839,4185,8309,8284,10027,9619,5788
PG0840,16060,30997,30443,34354,32554,19869
PG0841,667,1001,802,1252,1060,954
PG0842,146,187,177,308,248,252
PG0843,48,87,67,101,101,77
PG0844,33,65,65,92,82,35
PGt19,15,39,35,48,47,16
PG0847,212,304,299,302,262,242
PG0848,2447,4790,5013,4327,4086,2498
PG0849,1277,2323,2381,2481,2275,1969
PG0850,247,462,538,540,539,295
PG0851,129,225,225,288,238,205
PG0853,4240,4801,3661,5178,4428,5191
PG0854,7260,10961,9367,13653,12849,9559
PG0855,119,195,168,234,209,135
PG0856,2303,4825,4676,5567,5474,2657
PG0857,472,851,820,922,825,532
PG0858,708,1213,1268,1358,1168,842
PG0859,1531,2273,2173,2494,2166,1995
PG0860,625,785,702,855,652,780
PG0861,5215,7289,6696,7635,6774,6806
PG0862,3845,5868,5308,6366,6147,5140
PG0864,193,240,217,270,265,196
PG0865,5029,8551,7547,11313,10281,7779
PG0866,3708,4798,4312,5153,4328,4537
PG0867,697,674,528,888,627,826
PG0868,76,104,101,167,148,126
PG0869,43,72,84,133,111,72
PG0870,74,94,81,127,121,98
PG0871,62,120,131,141,121,129
PG0872,38,66,69,58,55,37
PG0873,975,2204,2448,3181,3012,1301
PG0874,201,361,389,466,410,263
PG0875,81,127,139,186,145,100
PG0876,844,1167,859,1513,1371,1477
PG0877,354,402,355,626,496,684
PG0879,62,88,76,82,67,66
PG0880,566,817,768,1010,956,756
PG0881,2170,3652,3349,5357,5301,3733
PG0882,1257,1643,1289,1854,1591,2019
PG0883,1032,1441,1145,1759,1593,1710
PG0884,1019,1237,967,1630,1352,1626
PG0885,617,777,662,947,813,997
PG0886,2546,4161,4095,3896,3437,2985
PG0888,382,521,434,428,391,416
PG0889,3030,3336,2633,2744,2378,3740
PG0890,11709,15585,12620,13379,10533,13203
PG0893,345,657,561,773,715,524
PG0894,180,279,236,306,269,263
PGt20,14,30,24,43,48,22
PG0896,752,1128,907,1521,1292,1385
PG0897,472,638,568,703,619,682
PG0898,442,659,607,706,539,631
PG0899,1020,1311,1062,1550,1263,1483
PG0900,1387,1490,1230,1760,1336,3924
PG0901,423,736,691,1027,740,1993
PG0902,280,372,317,458,419,557
PG0903,6000,7255,5570,9477,7392,8762
PG0906,14729,20850,17821,24303,18875,22235
PG0908,608,831,657,1043,861,1110
PG0909,2144,2768,2152,3683,3204,3992
PG0910,1753,2816,2424,4778,3934,3297
PG0912,4994,9166,8479,11594,10823,6135
PG0914,1233,2372,2846,2313,2134,1778
PG0915,23,45,41,77,58,47
PGt21,14,26,24,34,35,17
PG0917,258,472,436,506,491,332
PG0918,778,935,793,1148,874,985
PG0919,730,923,756,1038,974,1086
PG0920,552,857,696,962,858,951
PG0922,1014,1371,1131,1822,1597,1861
PG0923,242,351,296,396,359,437
PG0924,308,392,361,585,526,645
PG0925,874,1385,1208,2060,1958,1541
PG0926,304,471,416,578,502,448
PG0927,544,799,736,971,906,860
PG0928,1285,1547,1337,1883,1656,2177
PG0929,226,383,372,367,376,288
PG0930,39,58,49,44,48,51
PG0932,1046,1812,1385,1955,1932,1710
PG0933,8825,12734,12462,14235,12241,12193
PG0934,735,1014,835,1239,1111,1080
PG0935,489,676,559,707,648,752
PG0936,630,825,715,929,857,1099
PG0937,634,767,627,1040,864,1075
PG0938,532,990,886,1131,1132,836
PG0942,372,632,535,703,625,470
PG0943,691,1124,937,1309,1172,966
PG0945,1639,2209,1511,2374,2062,3151
PG0946,1114,1744,1511,2449,2398,2173
PG0947,605,711,592,935,743,1020
PG0948,932,1303,1084,1889,1670,1809
PG0949,736,926,742,1292,1104,1271
PG0950,5511,7043,5171,7264,5856,7640
PG0951,5381,7525,5450,7740,6285,7222
PG0952,4279,5765,4420,7481,6433,7325
PG0953,532,464,386,587,464,798
PG0954,2279,2751,2156,3525,2773,3840
PG0955,782,968,724,1193,935,1450
PG0956,1715,2713,2265,3265,2920,2596
PG0957,923,1421,1220,1776,1651,1447
PG0958,2560,4124,3441,6021,5214,4315
PG0959,4344,7655,6052,9810,8935,7258
PG0960,1195,1641,1333,2059,2040,1967
PG0961,991,1269,1063,1551,1453,1495
PG0962,7389,9403,7512,12326,10042,11622
PG0963,508,791,677,959,870,765
PG0965,976,1655,1387,2359,2054,1867
PG0968,1706,3445,3524,3381,3012,2187
PGt22,105,209,218,219,195,105
PG0969,881,1202,916,1540,1311,1392
PG0970,3267,4589,3869,5151,4198,3643
PG0971,2835,4572,4522,4967,4351,4124
PG0972,2045,3406,3408,3566,2975,2368
PG0973,1445,2457,2211,2947,2663,2280
PG0975,1574,2011,1687,3427,3192,3269
PG0976,874,1392,1103,1646,1555,1454
PG0977,1100,1463,1283,1680,1466,1552
PG0978,838,1191,964,1681,1536,1474
PG0979,87,109,77,120,122,166
PG0980,1221,1522,1361,1959,1732,1766
PGt23,15,35,37,35,46,14
PG0982,6362,12472,13418,13766,13354,8609
PG0984,119,214,187,213,189,148
PG0985,1295,2072,1614,1983,2000,1747
PG0986,541,783,644,783,712,677
PG0987,4223,6914,5326,4910,4460,4463
PG0989,16617,32710,28927,35498,32254,22704
PG0990,12809,25401,22655,27663,25467,17766
PG0991,15816,25874,21748,26919,22431,18200
PG0992,14891,20818,16648,24153,20690,20170
PG0994,6,15,18,26,24,15
PG0995,3,4,6,6,8,4
PG0996,326,494,474,620,523,515
PG0997,335,453,432,494,410,483
PG0998,156,213,198,231,167,227
PG0999,829,1170,1091,1297,1015,1151
PG1000,942,1303,1395,1233,1036,1054
PG1001,925,1474,1580,1329,1157,989
PG1002,683,1119,1173,1043,956,754
PG1003,1722,3126,3290,2968,2593,1844
PG1004,1100,1616,1567,1792,1772,1686
PG1005,172,263,253,397,341,353
PG1006,464,689,674,900,845,713
PG1007,113,169,172,204,189,210
PG1008,351,438,436,576,519,514
PG1009,613,974,923,1489,1443,1063
PG1010,761,991,846,1312,1183,1276
PG1012,1096,1926,1622,2206,2014,1723
PG1013,3673,4810,3745,4933,3819,5300
PG1014,3958,5347,5003,5608,4848,4906
PG1015,151,258,255,360,331,230
PG1017,9989,14625,11583,19983,19487,18092
PG1018,48,68,59,78,68,51
PG1019,93,123,117,197,165,193
PG1020,50,77,68,114,101,107
PG1021,1,3,3,6,3,1
PG1022,119,137,105,212,171,172
PG1024,11,11,15,19,20,12
PG1025,1656,2130,1728,2349,1919,2527
PG1026,1138,1736,1564,1804,1696,1510
PG1027,648,916,747,1163,920,964
PG1028,14950,20631,15896,27115,22827,24927
PG1029,32,50,50,58,57,35
PG1030,4080,7744,8935,6791,6196,4464
PG1031,1768,2436,2202,2618,2344,2491
PG1032,137,250,297,299,274,200
PG1033,4483,6261,4895,8469,6664,7331
PG1034,1901,2255,1726,2897,2379,2749
PG1035,2400,3251,2518,4454,3950,4248
PG1036,11755,16173,13741,17065,14195,15480
PG1037,63888,89550,73643,97836,81916,80382
PG1038,5521,8085,6663,11039,9726,8607
PG1039,2706,3602,3088,5139,4571,4894
PG1040,162,158,122,183,152,232
PG1041,572,852,779,1155,916,959
PG1042,342,532,417,549,513,523
PG1043,1029,1778,1546,2086,2037,1539
PG1044,393,577,483,696,647,650
PGt24,55,88,80,116,98,87
PG1048,4924,7378,6316,10480,8811,8869
PG1049,4468,6666,5237,9416,8090,7679
PG1050,3330,4840,3814,6526,5503,5675
PG1051,5541,7418,6254,9465,7742,7371
PG1052,1320,2054,1845,2476,2139,1775
PG1053,1624,2642,2390,3459,2961,2401
PG1055,529,850,728,1014,850,741
PG1056,1959,3724,3364,5112,4565,3059
PG1057,742,1109,781,1326,1132,1176
PG1058,1012,1384,1185,2233,2072,2206
PG1059,35,65,70,106,82,76
PG1060,8862,12786,10620,15416,12996,12723
PG1061,1242,1920,1913,2140,1834,1386
PG1063,437,462,386,456,373,427
PG1064,1599,2628,2166,3232,2909,2431
PG1065,1419,2199,1770,2610,2301,2208
PG1066,3185,5088,4266,6249,5771,5078
PG1067,1590,2713,2351,3413,3199,2324
PG1068,1716,2396,1894,2913,2512,2462
PG1069,10987,14894,10968,16723,14840,15157
PG1070,6254,7911,6060,8465,7231,8339
PG1071,4166,5536,4603,6095,5321,5186
PG1072,4664,5469,4445,5713,5030,5850
PG1073,9036,13031,11227,13985,12237,10350
PG1074,2846,4607,4020,5736,5329,3994
PG1075,424,688,568,841,877,705
PG1076,7034,6771,5611,9804,8933,10909
PG1077,6231,5951,4788,7638,6644,9600
PG1078,11291,12615,9157,14717,12723,17502
PG1079,946,996,773,1117,1065,1280
PG1080,1817,2006,1713,2388,2110,2180
PG1081,7238,6522,4862,8071,6646,12363
PG1082,7412,8606,7160,11067,9191,11567
PG1083,2025,3557,3452,4223,3722,2413
PG1084,30668,51951,42199,60306,56265,39537
PG1085,9062,20816,21762,21982,24006,11759
PG1087,603,830,682,854,642,864
PG1088,582,714,632,646,563,583
PG1089,17086,34071,33530,25965,23869,17469
PG1091,1041,1361,1142,1745,1642,1509
PG1093,642,1113,958,1444,1483,1156
PG1094,1472,2050,1562,2197,2067,2321
PG1095,400,506,405,683,614,574
PG1096,1832,2695,2244,3712,3090,3037
PG1097,3415,4869,3960,5219,4469,4410
PG1098,843,1166,901,1702,1369,1370
PGt25,74,154,148,196,197,86
PGt26,73,160,142,188,192,90
PG1099,150,264,225,324,333,231
PG1100,236,402,339,532,561,415
PG1101,771,1167,964,1699,1605,1348
PG1102,1833,2489,2196,2957,2630,3216
PG1103,334,421,374,580,572,663
PG1104,621,972,781,924,753,782
PG1105,6137,8965,7071,9877,8246,8873
PG1106,3966,5033,3831,6339,5502,6517
PG1107,2281,5233,5189,6117,6247,3119
PG1108,5037,12380,11186,12767,13410,7523
PG1109,275,433,364,461,350,374
PG1110,223,522,477,360,370,195
PG1112,57,88,71,94,79,108
PG1113,168,286,223,363,335,306
PG1114,3252,6443,5935,9057,8942,4671
PG1115,5773,8587,6658,11593,10664,10516
PG1116,2747,4092,3304,5387,5158,4982
PG1117,109,118,83,175,116,161
PG1118,1712,3156,2854,3429,3684,1924
PG1119,519,558,481,604,517,984
PG1121,10679,15223,12035,16302,13810,14948
PG1123,14740,19537,16701,18684,15511,17158
PG1124,2680,3670,3487,3411,2931,3352
PG1125,484,689,506,685,592,670
PG1126,736,828,659,906,816,1065
PG1127,1566,1703,1453,1774,1362,2145
PG1128,771,988,804,1321,1127,1227
PG1129,986,1563,1415,1632,1493,1361
PG1130,3560,7955,9075,7836,7675,5016
PG1132,3352,5083,3809,7260,6645,6078
PG1133,3528,4798,3674,6844,5012,5763
PGt27,143,217,182,269,225,204
PG1134,3283,4736,3815,5283,4987,4669
PG1135,1843,3782,3784,4416,3939,2155
PG1136,1914,3183,2832,3738,3091,2766
PG1137,1210,1872,1580,2104,1763,1720
PG1138,2695,5040,4589,5328,4919,3525
PG1139,5409,10722,10169,10441,10069,6627
PG1140,4468,8146,7211,8082,6975,5431
PG1141,5538,10944,10187,11693,10506,7314
PG1142,3059,5974,5666,8066,8190,4593
PG1143,5342,7074,5660,9092,7799,7958
PG1145,1889,3047,2429,4205,3954,3404
PG1148,2,6,5,13,10,2
PG1149,2679,4930,5109,4434,3934,2956
PG1150,582,1018,971,916,836,702
PG1151,3690,5283,4619,5211,4467,4800
PG1152,20337,44470,49362,41431,43079,20623
PG1153,4417,4661,3852,4803,3781,5704
PG1154,234,245,202,267,230,365
PG1155,835,1097,957,1108,1042,1124
PG1156,2204,3606,3109,3122,2824,2209
PG1159,1084,1374,1118,1431,1111,1452
PG1160,958,1178,974,1339,1108,1440
PG1162,498,829,675,922,922,892
PG1163,1079,1805,1425,1963,2017,1764
PG1164,3305,4410,3641,5504,5005,5655
PG1165,1577,2272,1846,2936,2540,2708
PG1166,6,15,11,9,17,10
PG1167,10,24,22,14,23,10
PG1169,11,14,15,19,17,17
PG1170,290,392,306,593,596,599
PG1171,636,1170,1194,1693,1740,1073
PG1172,1355,2111,1831,2697,2520,2436
PG1173,1011,1557,1440,1894,1734,1570
PG1174,652,861,804,898,747,713
PG1175,250,346,369,353,317,289
PG1176,112,114,118,145,89,123
PG1177,1747,2390,2149,2535,2259,2453
PG1178,86,166,132,174,137,109
PG1179,47,62,54,77,84,64
PG1180,91,153,154,188,152,192
PG1181,35,55,63,77,66,104
PG1184,546,638,578,810,759,925
PG1185,590,873,705,1074,919,1087
PG1186,1162,1865,1579,2655,2272,1915
PG1189,17861,26492,22826,30728,26022,25528
PG1190,1098,1503,1204,1409,1216,1444
PG1195,1638,2415,2007,2785,2410,2332
PG1196,101,102,93,109,86,134
PG1197,1751,2400,2152,2537,2267,2459
PG1198,43,79,66,77,73,51
PG1199,464,859,879,952,865,582
PG1200,695,1330,1420,1278,1337,760
PG1202,3703,7927,8156,7436,7780,3908
PG1203,270,552,609,599,652,363
PG1205,900,1778,1910,1355,1335,709
PG1206,89,175,141,146,142,88
PG1207,64,106,88,96,88,65
PG1208,19530,22723,17899,25845,27585,24479
PG1209,2628,4720,4499,6720,5798,3610
PG1210,1981,2247,1970,2638,2491,2827
PG1211,547,760,758,1007,892,669
PG1212,633,850,782,1138,1085,936
PG1213,317,505,429,652,549,425
PG1214,186,284,267,361,341,281
PG1215,2804,3562,2947,5049,4354,4984
PG1216,405,489,376,581,489,670
PG1217,2514,2793,2091,3454,2853,3596
PG1218,3341,4087,2978,4823,3932,4439
PG1219,1383,2266,2141,2366,2029,2056
PG1220,1101,1391,1108,1558,1454,1666
PG1221,467,586,479,648,626,662
PG1222,53,111,82,115,101,121
PG1223,133,310,320,389,404,163
PG1225,408,648,531,809,783,799
PG1226,295,370,283,422,388,476
PG1229,21,25,35,41,40,20
PG1230,1519,1808,1553,2223,1938,2695
PG1232,31495,36956,28289,35326,31126,44943
PG1233,91,175,147,229,245,126
PG1234,138,232,192,225,206,162
PG1235,5001,7708,6146,8834,7842,8424
PG1236,1576,2493,2258,2985,2461,2523
PG1237,956,1135,857,1423,1049,1505
PG1239,7103,9450,7227,12967,11621,14862
PG1240,3002,5105,4529,8936,8322,6905
PGt28,47,106,95,158,160,70
PG1241,3107,5165,4278,6968,6479,5738
PG1242,1920,2494,2058,3366,2767,3122
PG1244,1503,2034,1932,2308,1822,1866
PG1246,3722,5596,4437,5866,5605,5114
PG1247,1866,2859,2079,3231,2887,2777
PGt29,125,170,157,175,129,126
PG1248,814,984,761,1204,983,1094
PG1249,486,633,617,905,877,830
PG1250,1823,4049,4209,5218,5255,3077
PG1251,118,157,95,167,131,116
PG1252,1539,1987,1426,2032,1723,2046
PG1253,1568,2107,1633,3182,2621,3234
PG1254,574,740,616,928,812,870
PG1255,1097,1382,1076,1653,1372,1429
PG1256,10836,15455,11259,14609,13060,14310
PG1257,1995,3818,3636,3630,3769,2422
PG1258,7853,15935,15222,16077,16414,10413
PG1259,6783,10985,8867,12482,10328,8569
PG1260,41177,55245,44730,66031,55286,58582
PG1261,1535,2442,2112,2772,2341,1893
PG1262,393,666,629,894,741,433
PG5SB,1,13,50,8,12,2
PG23SB,11836,18560,12882,19423,10847,7450
PGt30,3689,8683,6856,26238,26151,12788
PGt31,9094,21545,17458,71785,71707,35257
PG1264,22922,53694,44381,170645,170427,83769
PG1265,1065,1782,1467,4096,3860,2414
PG16SB,7064,12052,8266,10371,4772,3779
PG1266,1415,3102,2866,6857,6895,3739
predicted RNA,171,363,318,755,746,423
PG1267,4355,8849,7546,16122,15041,9710
PG1268,71,110,135,143,134,103
PG1269,1983,2358,2525,2735,2382,2693
PG1270,1812,2171,2312,2713,2215,2626
PG1271,4180,5300,6112,7085,5817,6171
PG1273,1,3,3,3,4,5
PG1274,472,673,499,797,698,907
PG1276,2390,3662,2615,4974,4779,4727
PG1277,3926,6940,6296,7454,6836,5244
PG1278,19647,22819,18428,26183,23353,21740
PG1279,6654,6456,5090,7879,6313,9082
PG1280,10449,11024,8921,12775,10854,14173
PG1281,880,1348,1177,1602,1361,1442
PG1282,311,447,393,619,517,574
PG1283,3068,3924,2911,4999,4134,5945
PG1285,808,1322,1128,1910,1930,1675
PG1286,12214,17252,13312,17415,16492,20447
PG1288,1289,1870,1493,2887,2500,2490
PG1289,757,1032,797,1421,1363,1361
PG1290,13422,20547,15909,19375,17713,18122
PG1291,3200,4520,4368,4622,3964,3590
PG1294,505,725,602,1036,895,928
PG1296,183,236,186,293,247,326
PG1297,26701,30891,22426,38537,32787,42975
PG1300,374,440,360,586,446,601
PG1301,1321,1874,1456,2502,2196,2295
PG1302,13681,16149,11912,20160,16936,22429
PG1303,1064,1265,968,1397,1127,1460
PG1304,1988,2651,2173,3106,2559,2599
PG1305,4440,6346,5254,7816,7569,7304
PG1306,260,431,359,688,765,617
PG1307,1061,1642,1339,2129,1980,1925
PG1308,2922,4704,4082,6535,5466,4794
PG1310,297,460,359,539,459,546
PG1311,339,548,462,683,610,605
PG1312,487,756,695,1001,896,781
PG1313,7689,9777,8133,10629,8813,12048
PGt32,166,284,265,372,340,246
PG1314,2121,2979,2257,3565,2986,3420
PG1315,15112,24848,22217,23168,17891,18059
PG1316,4414,4860,3702,5018,3608,6506
PG1317,4874,5350,4176,5674,4513,7547
PG1318,2480,4352,3875,7480,6500,4859
PG1320,273,409,338,422,364,361
PG1321,4738,6023,4851,5371,4372,5520
PG1323,5747,8279,7531,10228,9097,7996
PG1324,667,891,635,1129,992,1222
PG1325,440,629,547,763,624,787
PG1326,1383,1880,1828,2000,1662,1860
PG1327,4563,6978,6553,7783,7376,7049
PG1328,3746,5387,4767,7487,7012,6782
PG1330,1551,2532,2342,3048,2681,2369
PG1332,4417,5389,4041,6708,5918,7573
PG1333,1429,1771,1286,2096,1647,2574
PG1334,3033,4157,3411,4573,3681,4894
PG1335,392,469,438,712,663,813
PG1337,204,295,235,353,270,332
PG1338,558,929,660,1092,866,954
PG1340,3579,5357,4351,6305,5424,5395
PG1341,25759,51099,48248,63404,54797,35850
PG1342,4650,8144,7510,10316,8623,7204
PG1343,715,901,753,1410,1235,1190
PG1345,269,283,245,467,416,479
PG1346,392,567,449,746,658,743
PG1347,561,895,817,1017,812,820
PG1348,624,740,611,932,791,1105
PG1350,5183,8779,7761,11639,10577,7958
PG1351,448,609,526,662,579,683
PG1352,1918,2417,2006,2130,1927,2352
PG1353,2846,4184,3957,4913,4138,4007
PG1354,1405,2022,1641,2302,2138,2152
PG1355,1315,1857,1480,2137,1761,2063
PG1356,1236,2383,2175,2889,2621,1761
PG1357,162,313,379,294,270,141
PG1358,1347,2947,3185,2956,2836,1526
PG1359,448,472,404,554,423,804
PG1360,4062,5771,4184,7553,6413,7163
PG1361,4850,6085,4861,8204,7382,9463
PG1362,3880,5265,4309,6947,5870,6849
PG1363,10,15,18,17,8,12
PG1364,1914,2950,2516,4277,3872,3505
PG1365,1525,2286,1955,3338,2750,2522
PG1366,2722,3831,2840,4863,4224,5028
PG1367,1359,2154,1890,2529,2222,1946
PG1368,2777,3719,3068,5049,4255,4701
PG1369,2717,3295,2627,4493,3813,4878
PG1370,8527,11206,8803,13702,11292,14210
PG1371,1667,2542,2233,3843,3450,3052
PG1372,2603,3466,2809,4732,4016,4672
PG1373,42,65,54,102,82,73
PG1374,5265,6868,4322,12152,9011,10739
PG1375,69,99,91,171,148,144
PG1378,203,286,257,329,325,371
PG1379,1645,1839,1550,2523,1832,2422
PG1380,440,578,470,703,592,818
PG1381,348,460,359,532,452,736
PG1382,5808,8754,6883,9865,8462,7836
PG1383,938,1346,991,2113,1904,1849
PG1385,16240,18453,13683,19832,15310,25654
PG1386,9221,13235,10723,16415,15129,16828
PG1387,643,863,712,1050,1128,1391
PG1388,436,752,593,933,932,888
PG1389,757,1262,1042,1451,1266,1165
PG1391,595,791,619,874,839,874
PG1392,878,1522,1284,2897,2711,2093
PG1393,551,946,780,1310,1312,1123
PG1394,405,460,414,723,676,757
PG1395,1143,1912,1573,2233,2193,1576
PG1396,2462,3899,3047,4424,4231,3950
PG1397,11860,18574,16008,22750,19651,18149
PG1398,1,4,8,5,9,3
PG1401,10227,12743,10571,14759,12326,16031
PG1402,681,1175,1019,1417,1247,1112
PG1403,1470,2021,1710,2451,2120,2428
PG1404,714,933,731,1067,908,1248
PG1405,3130,3807,3270,5492,4867,6277
PG1407,148,147,144,187,143,179
PG1408,1056,1520,1187,2096,1779,1949
PG1409,1219,1984,1653,2011,1784,1516
PG1410,339,512,414,561,496,448
PG1411,2365,3463,2636,4496,4178,4684
predicted RNA,500884,1090551,1140087,1034908,1063590,514575
PG1414,9038,10224,7857,12479,10351,14985
PG1416,2386,3500,3047,4385,3906,3618
PG1417,3377,4745,3659,5289,4864,5287
PG1418,1747,2655,2293,3784,3415,3144
PG1419,461,753,645,873,762,584
PG1420,715,1162,960,1345,1203,987
PG1421,8436,19788,21893,24010,25457,12006
predicted RNA,466,1099,1218,1268,1318,577
PG1422,1287,1941,1728,2369,2046,1863
PG1423,103,124,117,152,135,142
PG1424,15594,19022,14301,19651,14700,27269
PG1426,14,29,28,36,30,17
PG1427,7964,11198,8633,11985,9960,10745
PG1428,2233,2659,1910,2883,2003,2862
PG1429,313,361,269,384,286,384
PG1430,10655,16969,14454,19317,16838,13912
PG1431,2817,6138,6332,6371,5882,2954
PG1432,3651,7736,7933,7551,7306,4189
PG1433,391,466,378,631,527,674
PG1434,1196,1555,1201,2279,1834,2328
PGt33,74,134,141,159,153,72
PG1435,8459,17317,14949,23318,22490,14002
PG1436,1061,2317,2247,2525,2605,1420
PG1439,2704,6058,6022,7730,8175,3842
PG1440,1215,2727,2697,3584,3728,1657
PG1441,112,244,268,213,234,125
PG1442,401,974,954,784,860,411
PG1444,242,531,480,543,520,339
PG1446,647,927,826,1252,1101,928
PG1447,266,510,506,768,693,457
PG1448,1772,2442,2198,2568,2300,2483
PG1449,1018,1861,1848,1929,1819,1151
PG1450,367,767,812,916,859,503
PG1451,705,1580,1563,1369,1488,634
PG1452,117,211,178,181,180,119
PG1453,206,341,340,361,285,261
PG1454,261,394,336,464,358,333
PG1457,269,541,492,505,457,352
PG1458,524,1131,1180,949,958,503
PG1459,28,59,55,54,56,32
PG1460,11,17,10,19,13,23
PG1461,14,40,34,44,40,40
PG1462,16,23,24,22,25,19
PG1463,24,38,40,45,45,37
PG1465,107,109,113,178,160,219
PG1466,114,180,120,170,148,194
PG1467,268,455,376,510,444,367
PG1469,17981,41156,41170,47219,48270,22101
PG1470,10,29,28,28,26,24
PG1471,2665,4545,4269,6256,5987,3480
PG1472,1573,1975,1624,2748,2362,2295
PG1473,171,253,245,319,273,236
PG1474,83,114,93,151,114,97
PG1475,98,149,128,202,175,142
PG1476,151,196,174,274,228,167
PG1477,9,18,14,19,21,20
PG1478,20,42,28,57,48,40
PG1479,67,83,77,140,105,106
PG1480,47,64,70,93,78,45
PG1481,133,215,162,255,253,138
PG1482,28,64,52,71,83,32
PG1483,19,39,29,40,53,18
PG1484,225,403,321,401,390,245
PG1485,11,10,10,19,13,6
PG1486,16,21,19,41,35,15
PG1487,42,77,71,98,92,39
PG1488,32,43,42,62,54,39
PG1489,22,47,42,55,56,45
PG1490,138,215,177,251,219,205
PG1491,3310,7356,8747,10047,9792,4944
PG1492,6399,13345,16187,16674,16713,8669
PG1493,10729,21223,25067,25354,24536,13825
PG1494,173,277,232,276,258,221
PG1495,51,117,67,89,130,72
PG1496,9,21,16,21,19,15
PG1497,308,691,584,616,742,428
PG1498,2219,2709,2495,3028,2559,3111
PG1499,1285,1796,1720,1997,1697,1660
PG1500,1408,2096,2000,3036,2516,2036
PG1501,4560,9544,9342,15055,14102,6497
PG1503,28288,45951,42397,51560,44197,38038
PG1504,27967,50430,49231,55182,50342,34158
PG1505,14896,25608,24297,29154,25890,18043
PG1507,39445,54706,47356,61024,51678,53318
PG1508,35477,66471,64985,59130,52438,36012
PG1509,3385,5381,4762,6473,5387,3700
PG1510,558,906,808,1240,1037,663
PG1511,388,672,623,967,841,475
PG1512,388,622,580,909,754,473
PG1513,2090,4452,4548,5263,5421,2389
PG1514,1879,4097,4161,4317,4286,2129
PG1515,1591,3596,3614,3619,3664,1748
PG1516,1879,4278,4364,4610,4613,2113
PG1519,1004,2224,2359,2504,2518,1121
PG1521,109,222,188,355,336,240
PG1522,59,145,103,176,169,164
PG1523,85,119,93,189,164,150
PG1524,313,587,451,950,938,749
PG1525,354,529,403,658,575,648
PG1526,1004,1527,1378,1879,1725,1482
PG1527,6,14,11,13,16,13
PG1528,2153,4826,4798,4575,4272,2629
PG1529,3938,8776,8935,7561,7814,3974
PG1530,2175,4801,5081,4052,4153,1975
PG1532,86,225,196,208,220,100
PG1533,400,796,821,935,899,554
PG1534,56,81,84,102,73,79
PG1535,57,62,59,63,53,51
predicted RNA,3384,7897,7961,10713,11163,4444
PG1536,720,1009,791,1439,1238,1547
PG1537,253,368,313,612,621,597
PG1538,823,1019,725,1248,1053,1524
PG1540,9325,13018,11147,13509,12217,12236
PG1541,1653,2765,2577,3002,2764,2186
