,Raw Counts Control 1,Raw Counts Control 2,Raw Counts Control 3,Raw Counts Gal grown 1,Raw Counts Gal grown 2,Raw Counts Gal grown 3
PG0255,7211,10812,8759,16238,15057,13532
PG0256,638,1063,888,1474,1305,1072
PG0257,6597,9618,8641,9181,7955,7938
PG0258,2333,3199,2461,3081,2880,3053
PG0259,4156,5626,4490,5552,4939,5112
PG0261,662,1184,1084,1438,1355,813
PG0263,1935,2960,2189,3554,3112,3563
PG0264,2352,3424,2742,4239,3555,3518
PG0265,20,42,36,42,46,14
PG0267,4591,6908,5988,8967,7924,8022
PG0268,2125,3079,2550,4330,3897,3960
PG0269,1191,1606,1419,2030,1749,1937
PG0270,934,936,801,1289,1010,1672
PG0271,1311,1470,1280,2125,1772,2504
PG0272,3718,5086,4569,6256,5166,5669
PG0273,1332,1601,1240,1841,1465,1766
PG0274,1112,1802,1690,1945,1820,1322
PG0275,5318,8223,7591,8162,7420,7116
PG0276,8346,11640,10236,14234,10525,12949
PG0277,5253,8999,7943,11770,10647,8123
PG0278,241,348,312,388,331,343
PG0279,2708,4260,3545,5872,5601,5097
PG0280,96,95,68,98,103,94
PG0281,77,83,83,80,87,90
PG0282,37,48,60,60,45,38
PG0283,34,38,54,76,69,58
PG0285,23,24,25,37,22,27
PG0286,2047,4370,4202,5080,5030,3208
PG0287,1013,1240,1083,1457,1267,1779
PG0288,2218,3546,2945,4474,4083,3850
PG0289,1321,2129,1764,2636,2600,2190
PG0290,2383,3743,3226,4376,3858,3604
PG0291,2702,3933,3138,4310,3677,4182
PG0293,5864,8957,8802,12013,10695,9519
PG0294,180,322,332,447,443,301
PG0295,487,803,587,868,787,770
PG0296,2521,3764,3220,5013,4751,4308
PG0297,18,45,49,55,59,38
PG0300,380,649,548,760,706,691
PG0302,1563,2706,2441,3640,2978,2649
PG0303,2716,4030,3218,5836,6046,6385
PG0304,7159,9424,7071,14317,12577,16224
PG0305,5853,7626,6017,12094,11032,11476
PG0306,4917,7102,6040,12309,12263,10097
PG0307,4709,5611,4203,7446,6135,8039
PG0308,4911,5674,4334,7418,6124,8575
PG0309,781,984,860,1473,1220,1451
PG0310,1024,1209,879,1549,1300,2002
PG0311,1520,1848,1316,2640,2084,3227
PG0312,1009,1143,889,1588,1297,1808
PG0313,127,276,251,300,295,170
predicted RNA,418,846,764,940,872,548
PG0314,19606,38573,34265,41278,37571,25102
PG0315,14147,27595,24546,28814,26194,17862
PG0316,2619,3677,2791,5079,4773,4695
PG0317,987,1629,1202,1666,1671,1360
PG0319,2099,3603,2795,4737,4560,3994
PG0320,1891,3247,2601,4632,4284,3519
PG0321,1140,1792,1420,2688,2506,2496
PG0322,1854,2254,1812,2767,2209,3175
PG0323,223,208,158,198,172,285
PG0324,1074,1596,1273,1980,2026,1720
PG0325,931,1341,1186,1903,1785,1348
PG0326,243,403,342,533,555,483
PG0327,1631,3581,3342,4280,4667,2469
PG0328,849,2055,1579,2808,3409,1446
PG0329,1476,1927,1625,2184,2022,2074
PG0330,216,313,266,503,433,380
PG0332,2360,4702,3995,6046,6201,4134
PG0333,403,606,471,1138,1084,929
PG0334,504,589,499,933,743,871
PG0335,408,618,502,759,749,660
PG0336,939,1587,1369,1892,1683,1380
PG0337,1,2,1,5,6,4
