locus_tag,PG_DMSO_1,PG_DMSO_2,PG_PABA_1,PG_PABA_2
PGN_0185,24014,18830,58669,34308
PGN_0186,2178,1677,1782,1025
PGN_0187,766,615,1707,961
PGN_0188,2060,1505,2728,1499
PGN_0189,2976,2370,5856,3693
PGN_0190,512,391,1570,945
PGN_0191,528,475,1442,903
PGN_0192,1273,1192,3952,2830
PGN_0193,319,229,264,158
PGN_0194,109,103,161,117
PGN_0195,325,288,862,589
PGN_0196,366,337,836,572
PGN_0197,1394,1190,2223,1458
PGN_0198,1391,1136,4942,3359
PGN_0199,744,617,2780,1644
PGN_0200,865,816,6289,4469
PGN_0201,978,977,2732,1948
PGN_0202,161,129,640,451
PGN_0203,417,317,967,560
PGN_0204,708,639,1506,1009
PGN_0205,63,65,200,115
PGN_0206,446,382,1162,802
PGN_0207,502,473,1054,752
PGN_0208,266,284,1514,1013
PGN_0209,829,674,3122,2362
PGN_0210,19524,15755,17684,10626
PGN_0211,3086,2554,6793,4150
PGN_0212,24843,20097,15709,9468
PGN_0213,100,91,31,23
PGN_0214,552,437,859,510
PGN_0215,5649,4933,31902,23355
PGN_0216,9949,9284,44144,34759
PGN_0217,2420,1678,10153,6078
PGN_0218,24057,19333,18637,11065
PGN_0219,9315,8441,8651,5424
PGN_0220,4322,3523,2603,1729
PGN_0221,3061,2705,6202,4312
PGN_0222,42,45,44,38
PGN_0223,264,269,965,546
PGN_0224,448,412,1801,999
PGN_0225,183,163,407,237
PGN_0226,143,138,441,275
PGN_0227,294,300,818,524
PGN_0228,320,322,691,472
PGN_0229,667,507,2630,1517
PGN_0230,206,163,907,514
PGN_0231,429,393,1563,1087
PGN_0232,209,250,572,418
PGN_0233,181,183,467,319
PGN_0234,1963,1627,2959,1714
PGN_0235,24848,15530,107589,54563
PGN_0236,150,160,406,292
PGN_0237,715,641,950,620
PGN_0238,300,238,645,444
PGN_0239,554,446,1742,1127
PGN_0240,360,322,852,548
PGN_0241,195,144,312,206
PGN_0242,505,441,959,527
PGN_0243,336,292,1681,1305
PGN_0244,38,61,34,18
PGN_0245,411,436,2208,1332
PGN_0246,949,996,2230,1368
PGN_0247,3219,2924,7517,5369
PGN_0248,914,797,5610,3887
PGN_0249,597,509,2100,1269
PGN_0250,1559,1423,5246,3961
PGN_0251,916,808,2928,2520
PGN_0252,653,729,1642,1037
PGN_0253,419,330,995,667
PGN_0254,3061,2487,4850,2805
PGN_0255,258,228,745,473
PGN_0256,3147,2446,5412,2794
PGN_0257,1064,856,1555,829
PGN_0258,7418,5009,26349,15359
PGN_0259,519,449,1185,722
PGN_0260,1000,930,1519,761
PGN_0261,939,822,1963,1247
PGN_0262,1315,1195,2243,1702
PGN_0263,2737,2418,4579,3317
PGN_0264,1779,1565,3620,2698
PGN_0265,1167,947,2449,1700
PGN_0266,1529,1509,2981,2179
PGN_0267,245,181,784,493
PGN_0268,412,360,1633,1099
PGN_0269,572,476,737,482
PGN_0270,569,470,1153,833
PGN_0271,4245,3728,31622,20545
PGN_0272,507,435,4511,3373
PGN_0273,256,256,729,399
PGN_0274,8043,6784,5878,3306
PGN_0275,811,751,2942,2144
PGN_0276,122,110,104,92
PGN_0277,170,151,191,133
PGN_0278,141,148,255,171
PGN_0279,696,586,1890,1236
PGN_0280,124,97,25,20
PGN_0281,1014,902,4283,3318
PGN_0282,2073,1675,2732,1807
PGN_0283,1333,1010,1710,1142
PGN_0284,832,700,2609,1554
PGN_0285,614,565,1541,1121
PGN_0286,7,4,6,3
PGN_0287,37092,25505,401701,230660
PGN_0288,7275,6043,35369,20934
PGN_0289,2016,1811,18548,11366
PGN_0290,1999,1821,14156,8900
PGN_0291,17856,14731,95038,57438
PGN_0292,48,49,25,17
PGN_0293,21043,17572,506679,327640
PGN_0294,69376,54085,359618,222295
PGN_0295,17019,13309,429991,257941
PGN_0296,1519,1229,5765,3705
PGN_0297,4014,3289,9108,5293
PGN_0298,1313,1147,2780,1748
PGN_0299,2412,2139,8063,4632
PGN_0300,5401,4108,4721,2406
PGN_0301,7662,5413,6157,3362
PGN_0302,53962,37580,88164,49902
PGN_0303,7061,5905,12977,9316
PGN_0304,17,16,21,11
PGN_0305,28,19,6,7
PGN_0306,228,232,219,148
PGN_0307,227,173,422,287
PGN_0308,39,48,72,54
PGN_0309,178,176,390,244
PGN_0310,498,477,1488,789
PGN_0311,473,435,391,222
PGN_0312,204,163,321,191
PGN_0313,299,281,1425,930
PGN_0314,92,91,137,85
PGN_0315,293,267,735,467
PGN_0316,387,336,932,662
PGN_0317,193,152,554,391
PGN_0318,1131,946,1570,888
PGN_0319,453,444,313,191
PGN_0320,232,273,161,122
PGN_0321,211,254,212,149
PGN_0322,815,881,1284,913
PGN_0323,928,962,1540,1131
PGN_0324,18889,15490,16187,9787
PGN_0325,25,23,54,26
PGN_0326,96,75,187,112
PGN_0327,277,210,627,391
PGN_0328,578,472,981,710
PGN_0329,4544,3835,8886,5507
PGN_0330,416,353,908,662
PGN_0331,218,195,919,529
PGN_0332,9,11,6,3
PGN_0333,1050,895,6404,3988
PGN_0334,1626,1475,3247,2505
PGN_0335,14776,10171,111224,69661
PGN_0336,92,82,150,70
PGN_0337,27,24,12,10
PGN_0338,5,2,7,4
PGN_0339,2,4,1,1
PGN_0340,140,148,652,386
PGN_0341,646,638,1353,895
PGN_0342,144,139,230,155
PGN_0343,16,18,132,58
PGN_0344,241,229,838,507
PGN_0345,6002,4652,25370,16786
PGN_0346,6751,5921,17165,12773
PGN_0347,4025,3387,8022,5526
PGN_0348,99295,81832,69310,43821
PGN_0349,92151,64656,80278,43375
PGN_0350,1036,877,959,622
PGN_0351,6198,5123,32418,24154
PGN_0352,43,18,50,28
PGN_0353,182,172,1008,716
PGN_0354,815,737,2827,2170
PGN_0355,3603,3419,8515,6447
PGN_0356,575,449,720,484
PGN_0357,520,515,2805,1501
PGN_0358,476,443,1833,1247
PGN_0359,909,807,3176,2396
PGN_0360,2790,2126,6700,4167
PGN_0361,453,412,2042,1363
PGN_0362,5,9,4,2
PGN_0363,19,14,10,3
PGN_0364,11,5,15,6
PGN_0365,3282,2683,10205,7199
PGN_0366,1669,1514,3759,2420
PGN_0367,492,469,1346,762
PGN_0368,567,595,1384,830
PGN_0369,224,218,595,335
PGN_0370,348,384,1335,769
PGN_0371,750,580,1305,729
PGN_0372,28,24,85,36
PGN_0373,657,580,1938,1091
PGN_0374,3709,3151,15319,9291
PGN_0375,4292,3824,13924,9847
PGN_0376,893,693,2564,1559
PGN_0377,2544,2264,17607,12634
PGN_0378,553,504,1732,1010
PGN_0379,189,177,1414,856
PGN_0380,836,782,3669,2031
PGN_0381,554,491,1480,979
PGN_0382,337,253,528,317
PGN_0383,85,109,216,148
PGN_0384,213,158,388,226
PGN_0385,306,307,846,566
PGN_0386,254,195,721,409
PGN_0387,546,488,849,531
PGN_0388,1976,1527,12476,5806
PGN_0389,360,274,866,473
PGN_0390,502,468,1551,1042
PGN_0391,1301,1108,6738,4612
PGN_0392,111,95,185,139
PGN_0393,662,623,962,541
PGN_0394,405,346,1069,508
PGN_0395,50,39,93,61
PGN_0396,885,886,2562,2020
PGN_0397,2089,1816,3725,2316
PGN_0398,623,589,2520,2001
PGN_0399,4,1,3,3
PGN_0400,11321,10714,13431,8579
PGN_0401,10,9,11,12
PGN_0402,10,5,7,6
PGN_0403,396,317,664,405
PGN_0404,122,122,528,323
PGN_0405,375,414,1498,1030
PGN_0406,1121,995,2245,1416
PGN_0407,44,30,75,50
PGN_0408,404,294,1637,921
PGN_0409,373,304,703,448
PGN_0410,848,669,1528,1032
PGN_0411,1792,1671,9132,7246
PGN_0412,988,751,2820,1989
PGN_0413,4080,3411,28018,18017
PGN_0414,1173,1122,2200,1625
PGN_0415,3004,2971,10485,7220
PGN_0416,2505,2081,4143,2684
PGN_0417,52,53,157,62
PGN_0418,2607,2151,4543,2808
PGN_0419,876,788,2089,1257
PGN_0420,338,293,768,530
PGN_0421,241,222,381,302
PGN_0422,303,284,1034,697
PGN_0423,371,294,2171,1196
PGN_0424,566,503,4418,2387
PGN_0425,70,61,118,75
PGN_0426,6317,4473,13621,7806
PGN_0427,5510,4831,9415,6737
PGN_0428,8996,8812,6347,5092
PGN_0429,30832,27847,25220,17137
PGN_0430,76,62,91,76
PGN_0431,117,98,188,134
PGN_0432,25,41,48,41
PGN_0433,897,763,6235,4417
PGN_0434,1140,1054,6325,4684
PGN_0435,14,13,14,10
PGN_0436,24,14,17,8
PGN_0437,599,474,885,507
PGN_0438,5609,4856,31594,23176
PGN_0439,9888,9040,44685,34882
PGN_0440,2381,1575,10138,5976
PGN_0441,35,27,47,38
PGN_0442,445,401,249,151
PGN_0443,33,21,54,30
PGN_0444,1603,1427,2129,1585
PGN_0445,1269,1197,2258,1500
PGN_0446,1200,1187,1192,846
PGN_0447,2106,1879,2297,1625
PGN_0448,2479,2241,2154,1455
PGN_0449,1735,1546,1202,807
PGN_0450,1089,967,1144,648
PGN_0451,869,772,677,480
PGN_0452,134,134,153,119
PGN_0453,143,127,107,71
PGN_0454,355,286,262,151
PGN_0455,39,40,100,58
PGN_0456,4143,3553,12211,9128
PGN_0457,3874,3023,16126,11440
PGN_0458,983,774,9222,6982
PGN_0459,527,408,288,159
PGN_0460,103,96,341,206
PGN_0461,1297,1163,1382,1008
PGN_0462,3949,3879,11218,8082
PGN_0463,2966,2888,8813,6729
PGN_0464,6265,5756,11206,8298
PGN_0465,1683,1576,9672,7285
PGN_0466,1528,1375,3584,2060
PGN_0467,32,27,104,60
PGN_0468,119,123,421,357
PGN_0469,378,283,495,290
PGN_0470,992,972,2126,1539
PGN_0471,1117,992,3267,2267
PGN_0472,29135,20593,32718,20813
PGN_0473,1418,1354,6413,4582
PGN_0474,2,1,2,3
PGN_0475,13,13,12,6
PGN_0476,52331,46202,19178,12355
PGN_0477,24332,20706,37816,26430
PGN_0478,66,54,215,159
PGN_0479,20,23,27,22
PGN_0480,32,22,36,36
PGN_0481,892,670,578,367
PGN_0482,778,589,518,277
PGN_0483,654,524,1868,1244
PGN_0484,1601,1227,7365,4744
PGN_0485,3240,2768,5654,3075
PGN_0486,2694,2495,2502,1910
PGN_0487,952,916,2753,2111
PGN_0488,608,603,2095,1534
PGN_0489,27,24,270,167
PGN_0490,1669,1450,3752,2146
PGN_0491,757,654,1541,924
PGN_0492,4617,4051,16811,10735
PGN_0493,884,714,4242,2105
PGN_0494,0,0,1,3
PGN_0495,55,33,81,40
PGN_0496,699,690,3531,2549
PGN_0497,2920,2984,14659,12233
PGN_0498,34843,26829,52824,32307
PGN_0499,692,640,2969,1709
PGN_0500,2970,2623,20148,14830
PGN_0501,1717,1674,8829,6678
PGN_0502,528,498,1500,1164
PGN_0503,1699,1579,4209,3144
PGN_0504,3925,3315,11093,7709
PGN_0505,180,156,532,341
PGN_0506,11,10,14,9
PGN_0507,44,41,113,62
PGN_0508,778,629,3004,2147
PGN_0509,772,642,3795,2538
PGN_0510,142,119,517,327
PGN_0511,330,318,788,495
PGN_0512,229,205,861,654
PGN_0513,267,255,1052,569
PGN_0514,858,776,1446,804
PGN_0515,1549,1340,2376,1443
PGN_0516,2725,2135,5794,3507
PGN_0517,2709,2608,15307,11165
PGN_0518,578,542,1668,1246
PGN_0519,334,300,606,394
PGN_0520,237,213,445,253
PGN_0521,320,319,3011,1786
PGN_0522,146,134,588,504
PGN_0523,268,248,915,562
PGN_0524,906,750,957,554
PGN_0525,562,509,1217,784
PGN_0526,679,655,2344,1535
PGN_0527,311,280,830,446
PGN_0528,593,618,2167,1205
PGN_0529,1680,1603,3003,1704
PGN_0530,993,1008,2007,1217
PGN_0531,2700,2415,4429,2882
PGN_0532,3097,2968,3939,2566
PGN_0533,561,504,1559,1051
PGN_0534,285,262,1318,915
PGN_0535,990,847,2233,1532
PGN_0536,91,100,116,78
PGN_0537,3025,1923,15047,9062
PGN_0538,186,154,305,219
PGN_0539,68,82,182,163
PGN_0540,119,107,166,114
PGN_0541,27,13,19,10
PGN_0542,96,78,185,101
PGN_0543,571,460,3945,2658
PGN_0544,282,275,851,583
PGN_0545,406,354,1174,745
PGN_0546,1833,1369,3088,1718
PGN_0547,127,150,768,515
PGN_0548,279,228,1142,689
PGN_0549,369,344,2012,1309
PGN_0550,3742,2911,8882,6010
PGN_0551,25,10,5,2
PGN_0552,4,2,0,0
PGN_0553,6,3,9,8
PGN_0554,2,5,9,5
PGN_0555,9,6,17,11
PGN_0556,343,279,697,426
PGN_0557,190,148,189,127
PGN_0558,56,50,61,29
PGN_0559,9,8,1,7
PGN_0560,48,46,69,35
PGN_0561,779,640,3763,2454
PGN_0562,137,125,419,225
PGN_0563,352,232,1698,901
PGN_0564,2356,1734,19381,10624
PGN_0565,166,154,225,170
PGN_0566,184,157,871,517
PGN_0567,280,280,1134,906
PGN_0568,733,521,3145,1755
PGN_0569,1047,908,6778,3638
PGN_0570,392,318,789,539
PGN_0571,156,164,445,318
