locus_tag,PG_DMSO_1,PG_DMSO_2,PG_PABA_1,PG_PABA_2
PGN_0820,37,28,153,60
PGN_0821,10,7,9,4
PGN_0822,15,14,10,3
PGN_0823,361,305,1349,885
PGN_0824,325,284,1400,875
PGN_0825,78,69,135,82
PGN_0826,1022,1015,3457,2568
PGN_0827,706,632,1815,1323
PGN_0828,1253,1178,4275,2660
PGN_0829,283,292,684,480
PGN_0830,458,454,2320,1622
PGN_0831,462,353,1986,1174
PGN_0832,5714,5299,14010,9437
PGN_0833,1098,935,1988,1230
PGN_0834,20592,16681,17200,10298
PGN_0835,37,42,15,29
PGN_0836,2937,2541,7036,3989
PGN_0837,4148,2900,7363,4493
PGN_0838,6324,4580,10967,6097
PGN_0839,94,93,324,229
PGN_0840,202,178,320,202
PGN_0841,396,355,775,487
PGN_0842,20826,16798,17455,10534
PGN_0843,62,46,90,63
PGN_0844,245,196,287,177
PGN_0845,13,11,14,5
PGN_0846,19,8,13,13
PGN_0847,51,39,19,14
PGN_0848,136,103,33,17
PGN_0849,12,8,13,6
PGN_0850,3,9,16,3
PGN_0851,19,15,24,16
PGN_0852,249,192,215,133
PGN_0853,4,12,12,9
PGN_0854,43,36,64,21
PGN_0855,6,10,8,6
PGN_0856,110,108,299,157
PGN_0857,292,258,2534,1404
PGN_0858,497,375,1480,900
PGN_0859,167,147,569,344
PGN_0860,389,315,2290,1302
PGN_0861,417,378,870,455
PGN_0862,621,537,2306,1455
PGN_0863,216,196,493,306
PGN_0864,493,432,274,139
PGN_0865,15727,10636,47047,27897
PGN_0866,2961,2528,9639,6480
PGN_0867,1041,838,1868,1155
PGN_0868,198,153,245,129
PGN_0869,344,284,802,588
PGN_0870,1274,1073,1737,1018
PGN_0871,1417,1202,2769,1692
PGN_0872,872,749,3877,2665
PGN_0873,1263,1184,2553,1647
PGN_0874,1206,1073,1963,1356
PGN_0875,3088,2833,24204,18049
PGN_0876,4847,3930,28019,17044
PGN_0877,391,358,697,459
PGN_0878,113,109,155,99
PGN_0879,509,374,287,195
PGN_0880,1850,1542,10549,7217
PGN_0881,230,216,396,247
PGN_0882,390,360,736,518
PGN_0883,587,563,1149,723
PGN_0884,4315,3183,6931,3848
PGN_0885,56,53,90,47
PGN_0886,3594,2906,1898,1244
PGN_0887,217,154,320,182
PGN_0888,66,64,158,108
PGN_0889,367,350,867,712
PGN_0890,4205,3633,23325,17354
PGN_0891,1097,909,3208,2080
PGN_0892,132,120,283,208
PGN_0893,2075,1517,3994,2698
PGN_0894,1636,1504,5796,4229
PGN_0895,149202,108017,136660,71268
PGN_0896,197,153,575,328
PGN_0897,40,32,75,62
PGN_0898,1186,972,9769,7771
PGN_0899,3,2,1,1
PGN_0900,609,551,1436,912
PGN_0901,103,97,405,216
PGN_0902,961,699,1619,1023
PGN_0903,747,680,2205,1341
PGN_0904,789,793,2066,1381
PGN_0905,974,820,2937,1868
PGN_0906,1226,940,4109,2447
PGN_0907,343,265,515,380
PGN_0908,6,9,3,2
PGN_0909,537,414,282,171
PGN_0910,241,262,567,352
PGN_0911,1164,975,2358,1510
PGN_0912,904,979,6455,4392
PGN_0913,1536,1327,4925,3298
PGN_0914,5367,4730,24818,18276
PGN_0915,10631,8361,11524,7254
PGN_0916,8073,7834,33844,28200
PGN_0917,897,700,1146,781
PGN_0918,20102,16040,17868,10881
PGN_0919,83,57,155,76
PGN_0920,6,10,3,3
PGN_0921,5,8,5,0
PGN_0922,29,39,39,32
PGN_0923,18,12,33,16
PGN_0924,77,67,23,16
PGN_0925,47,36,50,36
PGN_0926,32,34,61,36
PGN_0927,307,264,516,270
PGN_0928,1596,1293,1745,971
PGN_0929,1723,1480,6773,3995
PGN_0930,1381,984,3107,1844
PGN_0931,2191,1889,1874,1161
PGN_0932,698,528,1429,701
PGN_0933,631,485,2923,1665
PGN_0934,464,390,249,182
PGN_0935,6992,6037,28510,19162
PGN_0936,509,504,1569,857
PGN_0937,44,29,79,58
PGN_0938,576,514,4937,3069
PGN_0939,561,487,2200,1209
PGN_0940,325,290,566,371
PGN_0941,837,728,1947,1181
PGN_0942,329,333,888,605
PGN_0943,419,354,666,453
PGN_0944,438,320,312,176
PGN_0945,56,64,63,51
PGN_0946,241,344,386,425
PGN_0947,133,119,144,132
PGN_0948,221,236,294,262
PGN_0949,247,286,316,353
PGN_0950,425,457,410,457
PGN_0951,122,130,90,106
PGN_0952,10893,8695,13874,8180
PGN_0953,506,415,275,142
PGN_0954,106,83,100,68
PGN_0955,669,515,326,199
PGN_0956,159,130,382,222
PGN_0957,169,133,321,197
PGN_0958,76,52,45,22
PGN_0959,221,174,203,121
PGN_0960,789,658,1818,1227
PGN_0961,3,9,6,4
PGN_0962,875,816,8920,5293
PGN_0963,2005,1534,5468,3103
PGN_0964,1349,1100,3834,1964
PGN_0965,2115,1688,4017,2132
PGN_0966,6168,5174,4945,2944
PGN_0967,2110,1805,2036,1276
PGN_0968,1022,957,1483,1047
PGN_0969,976,975,1568,885
PGN_0970,1102,978,1002,655
PGN_0971,21438,17499,17104,10351
PGN_0972,10828,8039,11201,6175
PGN_0973,1247,1067,2458,1450
PGN_0974,318,275,794,536
PGN_0975,533,468,1549,1046
PGN_0976,272,259,1565,1137
PGN_0977,496,383,1415,900
PGN_0978,39,32,78,37
PGN_0979,22,19,28,14
PGN_0980,515,448,2161,1349
PGN_0981,193,157,218,133
PGN_0982,350,256,370,225
PGN_0983,6,5,9,4
PGN_0984,1185,1129,1815,1169
PGN_0985,223,248,610,351
PGN_0986,48,55,138,78
PGN_0987,1120,975,7273,5239
PGN_0988,1534,1184,2667,1828
PGN_0989,1668,1446,3945,2685
PGN_0990,1556,1444,5318,3714
PGN_0991,602,536,1197,767
PGN_0992,683,538,1312,846
PGN_0993,473,457,1968,1225
PGN_0994,459,430,719,458
PGN_0995,556,424,1111,683
PGN_0996,230,199,989,594
PGN_0997,136,105,377,277
PGN_0998,517,463,3664,2611
PGN_0999,1418,1225,4547,3227
PGN_1000,918,775,5868,3476
PGN_1001,258,203,1329,1080
PGN_1002,623,570,2797,1918
PGN_1003,290,256,2326,1264
PGN_1004,651,594,3220,2054
PGN_1005,2399,2052,6421,4707
PGN_1006,519,432,275,191
PGN_1007,13,15,19,15
PGN_1008,5766,5293,5807,3746
PGN_1009,5201,4334,6944,3514
PGN_1010,258,269,1153,763
PGN_1011,491,441,1379,1128
PGN_1012,633,489,1348,922
PGN_1013,339,333,532,421
PGN_1014,20357,17120,54504,39228
PGN_1015,1418,1282,3490,2538
PGN_1016,138,134,514,314
PGN_1017,81,79,108,91
PGN_1018,1589,1614,1364,921
PGN_1019,1731,1611,3428,2293
PGN_1020,310,314,886,502
PGN_1021,74,91,164,88
PGN_1022,444,384,908,546
PGN_1023,319,315,1080,845
PGN_1024,219,189,727,474
PGN_1025,593,590,901,629
PGN_1026,1521,1424,1943,1206
PGN_1027,729,733,1860,1426
PGN_1028,393,389,1140,677
PGN_1029,189,184,426,228
PGN_1030,58,68,144,75
PGN_1031,17,17,7,6
PGN_1032,28765,20250,30339,18087
PGN_1033,457,439,1353,825
PGN_1034,344,292,462,293
PGN_1035,658,667,2058,1421
PGN_1036,449,413,1717,1057
PGN_1037,5119,3574,23257,12521
PGN_1038,2188,1677,12621,6851
PGN_1039,232,256,892,653
PGN_1040,604,367,2720,661
PGN_1041,4601,2308,17621,4723
PGN_1042,4470,1613,8143,2475
PGN_1043,1485,1238,1696,1140
PGN_1044,1364,1302,2106,1574
PGN_1045,393,376,937,596
PGN_1046,125,116,220,135
PGN_1047,154,132,548,318
PGN_1048,78,79,134,83
PGN_1049,1058,869,10343,6113
PGN_1050,471,370,2384,1537
PGN_1051,107,123,385,219
PGN_1052,311,254,1815,1107
PGN_1053,350,354,836,558
PGN_1054,659,567,1699,1204
PGN_1055,824,773,2614,1897
PGN_1056,6448,4966,10036,6513
PGN_1057,8734,6939,25311,18116
PGN_1058,1326,1157,4714,3107
PGN_1059,14,13,26,14
PGN_1060,444,372,256,173
PGN_1061,527,464,1198,797
PGN_1062,299,283,805,590
PGN_1063,39,31,68,40
PGN_1064,371,302,259,150
PGN_1065,561,406,280,161
PGN_1066,559,444,280,160
PGN_1067,143,135,292,179
PGN_1068,255,197,322,184
PGN_1069,115,106,215,132
PGN_1070,71,59,269,165
PGN_1071,53,43,156,90
PGN_1072,60,63,144,97
PGN_1073,79,64,117,78
PGN_1074,266,247,708,416
PGN_1075,28,20,63,27
PGN_1076,1557,1529,2797,2001
PGN_1077,24698,19774,17455,10594
PGN_1078,392,353,3030,2219
PGN_1079,464,396,1514,1150
PGN_1080,1812,1543,19858,12939
PGN_1081,6479,5485,15923,9431
PGN_1082,18,14,24,14
PGN_1083,5,9,14,10
PGN_1084,29,32,67,54
PGN_1085,354,347,1586,1146
PGN_1086,81,83,107,74
PGN_1087,92,91,111,84
PGN_1088,2571,2196,23126,17264
PGN_1089,110,127,199,147
PGN_1090,945,834,3762,2178
PGN_1091,2300,1907,11779,6436
PGN_1092,356,274,768,467
PGN_1093,625,526,1315,704
PGN_1094,7906,6483,30229,22787
PGN_1095,283,252,483,341
PGN_1096,1666,1428,1507,935
PGN_1097,3574,2802,1053,634
PGN_1098,316,257,684,532
PGN_1099,316,246,344,221
PGN_1100,149,148,401,301
PGN_1101,14,17,45,14
PGN_1102,19,14,31,18
PGN_1103,1748,1529,20122,13850
PGN_1104,2686,2390,3578,2450
PGN_1105,11597,9048,25537,14377
PGN_1106,11646,10860,5795,3603
PGN_1107,25669,25537,8095,4981
PGN_1108,3583,3726,1673,1002
PGN_1109,18,18,22,4
PGN_1110,13175,10425,7683,4368
PGN_1111,1535,1180,3982,2710
PGN_1112,1204,1039,10986,7094
PGN_1113,1056,925,3967,2867
PGN_1114,112,110,392,269
PGN_1115,6697,4648,28762,16745
PGN_1116,5248,4193,15983,10644
PGN_1117,1326,1201,9762,7726
PGN_1118,19860,16061,18277,11087
PGN_1119,3935,3392,10856,6979
PGN_1120,1216,1041,5878,4219
PGN_1121,287,263,725,495
PGN_1122,1693,1571,5127,4118
PGN_1123,807,730,2479,1671
PGN_1124,2900,2193,11353,7342
PGN_1125,113,100,513,358
PGN_1126,223,178,462,292
PGN_1127,6289,5772,8651,4085
PGN_1128,1872,1832,4405,2836
PGN_1129,24097,18099,58167,30920
PGN_1130,16503,12758,26603,14685
PGN_1131,1070,996,2057,1225
PGN_1132,22808,19169,18254,10954
PGN_1133,17,16,17,15
PGN_1134,171,182,639,446
PGN_1135,138,116,540,400
PGN_1136,371,286,1039,589
PGN_1137,726,625,2207,1388
PGN_1138,735,732,1451,948
PGN_1139,1928,1541,3762,2442
PGN_1140,1084,962,5226,3442
PGN_1141,1451,1222,4257,3024
PGN_1142,871,875,4155,3009
PGN_1143,241,186,2773,1588
PGN_1144,246,192,159,80
PGN_1145,145,170,164,117
PGN_1146,659,554,2040,1075
PGN_1147,1187,1150,2324,1583
PGN_1148,4475,4222,12690,9519
PGN_1149,8258,8006,18790,14149
PGN_1150,7215,6297,16267,10527
PGN_1151,962,820,3016,2005
PGN_1152,1320,1066,2708,1662
PGN_1153,2227,1927,7320,5017
PGN_1154,611,600,1803,1130
PGN_1155,1525,1332,4362,3080
PGN_1156,3118,2804,5924,3907
PGN_1157,6130,5812,22571,17615
PGN_1158,2266,2250,6991,5397
PGN_1159,1894,1773,9763,7275
PGN_1160,201,148,422,275
PGN_1161,22394,18136,17304,10211
PGN_1162,2908,2653,4683,3384
PGN_1163,657,545,1571,1069
PGN_1164,1089,991,4606,3438
PGN_1165,8576,6821,27117,17896
PGN_1166,21452,15297,54574,31371
PGN_1167,2385,2027,11886,7418
PGN_1168,702,660,7149,4501
PGN_1169,2145,1807,8310,4763
PGN_1170,1085,936,3431,2003
PGN_1171,352,322,1311,968
PGN_1172,2894,2470,17132,11658
PGN_1173,2756,2248,19924,13357
PGN_1174,7033,5799,39423,25889
PGN_1175,542,555,4344,3322
PGN_1176,729,580,5207,3383
PGN_1177,20472,16531,16927,10120
PGN_1178,2178,1959,13004,8386
PGN_1179,475,402,5025,3080
PGN_1180,278,231,1504,834
PGN_1181,817,646,8066,4241
PGN_1182,15172,10911,54763,29784
PGN_1183,449,336,153,87
PGN_1184,949,778,2240,1468
PGN_1185,304,331,1118,701
PGN_1186,3501,2566,13500,7480
PGN_1187,565,498,1662,1143
PGN_1188,350,318,1562,1060
PGN_1189,954,869,4346,3265
PGN_1190,783,719,1415,1039
PGN_1191,21024,17308,18464,11042
PGN_1192,184,159,162,96
PGN_1193,663,593,625,422
PGN_1194,479,477,1686,1085
PGN_1195,259,222,182,120
PGN_1196,122,86,428,258
PGN_1197,239,177,575,374
PGN_1198,172,162,679,413
PGN_1199,76,79,154,88
PGN_1200,609,552,1119,787
PGN_1201,742,539,996,704
PGN_1202,948,861,5468,3968
PGN_1203,726,623,3559,2600
PGN_1204,245,260,189,124
PGN_1205,722,560,2300,1806
PGN_1206,5896,4628,18084,11402
PGN_1207,393,338,668,369
PGN_1208,4797,4194,5911,4227
PGN_1209,212,179,1894,1197
PGN_1210,240,222,422,279
PGN_1211,151,151,941,576
PGN_1212,184,153,510,289
PGN_1213,702,591,2979,1802
PGN_1214,494,425,968,541
PGN_1215,124,108,214,116
PGN_1216,23786,19473,17661,10681
PGN_1217,401,342,637,360
PGN_1218,3577,3051,13970,9007
PGN_1219,1188,1108,7026,3999
PGN_1220,833,740,7697,4062
PGN_1221,4258,2745,7790,4179
PGN_1222,58,64,132,95
PGN_1223,102,118,345,250
PGN_1224,309,279,879,538
PGN_1225,587,492,1113,677
PGN_1226,9109,7349,16976,12873
PGN_1227,606,470,1299,774
PGN_1228,0,0,0,1
PGN_1229,1143,1015,3785,2618
PGN_1230,543,503,1277,826
PGN_1231,42,44,64,38
PGN_1232,1579,1422,10919,7182
PGN_1233,99,53,252,150
PGN_1234,144,127,348,182
PGN_1235,170,159,239,153
PGN_1236,97,109,147,98
PGN_1237,139,137,70,53
PGN_1238,191,189,423,299
PGN_1239,336,329,711,476
PGN_1240,232,212,1269,808
PGN_1241,60,30,182,114
PGN_1242,200,205,428,298
PGN_1243,1121,945,3318,1957
PGN_1244,768,707,2837,1916
PGN_1245,848,774,2615,1972
PGN_1246,2800,2336,16069,9419
PGN_1247,35,36,46,37
PGN_1248,0,0,1,1
PGN_1249,5,4,1,2
PGN_1250,3,5,3,1
PGN_1251,656,552,2594,1434
PGN_1252,3742,3172,19991,13786
PGN_1253,13535,10710,20928,11354
PGN_1254,680,622,1428,860
PGN_1255,402,423,1414,1101
PGN_1256,317,323,1205,742
PGN_1257,29,22,21,18
PGN_1258,333,272,874,534
PGN_1259,363,307,1065,710
PGN_1260,551,536,1273,979
PGN_1261,569,546,1118,665
PGN_1262,837,774,2210,1592
PGN_1263,2267,2272,16043,13045
PGN_1264,81,78,1287,715
PGN_1265,1,1,2,2
PGN_1266,3,1,2,1
PGN_1267,115,87,177,126
PGN_1268,2806,2247,3706,2955
PGN_1269,2024,1878,6339,5357
PGN_1270,836,776,3926,2797
PGN_1271,409,395,998,655
PGN_1272,1207,1237,4602,3177
PGN_1273,606,623,1306,924
PGN_1274,1630,1284,1038,706
PGN_1275,3462,2941,7089,4901
PGN_1276,23555,18481,15606,9386
PGN_1277,20,18,25,21
PGN_1278,390,321,313,181
PGN_1279,1510,1342,301,188
PGN_1280,11125,8467,7783,4300
PGN_1281,2349,1703,2711,1567
PGN_1282,2200,1705,3778,2419
PGN_1283,1042,719,1422,986
PGN_1284,1273,1041,2033,1410
PGN_1285,470,378,1124,706
PGN_1286,1511,1138,2633,1727
PGN_1287,4288,2991,11831,6786
PGN_1288,2418,1832,7138,4200
PGN_1289,152,113,125,74
PGN_1290,65,65,91,49
PGN_1291,328,259,301,190
PGN_1292,61,41,60,35
PGN_1293,33,32,28,18
PGN_1294,12,5,16,11
PGN_1295,25,20,18,7
PGN_1296,2628,2585,5589,3900
PGN_1297,3997,3436,5781,4118
PGN_1298,5503,4563,9761,6043
PGN_1299,27,22,52,42
PGN_1300,275,241,649,422
PGN_1301,124,128,622,338
PGN_1302,265,240,763,461
PGN_1303,541,527,991,587
PGN_1304,434,407,2196,1311
PGN_1305,1013,881,4436,2467
PGN_1306,29,32,35,20
PGN_1307,29,35,49,44
PGN_1308,409,417,811,593
PGN_1309,673,587,1341,845
PGN_1310,263,274,580,348
PGN_1311,407,328,1141,681
PGN_1312,379,309,565,349
PGN_1313,558,468,2114,1390
PGN_1314,3457,2979,6599,4621
PGN_1315,35815,26111,88071,48078
PGN_1316,3004,2533,18084,11129
PGN_1317,562,496,2115,1446
PGN_1318,668,525,2165,1254
PGN_1319,23494,19034,17178,10357
PGN_1320,608,466,2000,1122
PGN_1321,4272,2750,18700,10907
PGN_1322,9,10,16,15
PGN_1323,1648,1323,12220,7065
PGN_1324,182,190,451,306
PGN_1325,537,440,1001,624
PGN_1326,1582,1411,3066,1807
PGN_1327,1546,1058,3578,2154
PGN_1328,434,337,3809,2168
PGN_1329,288,293,1882,1201
PGN_1330,932,846,3462,2152
PGN_1331,10,7,10,7
PGN_1332,107,87,157,104
PGN_1333,49,43,69,41
PGN_1334,84,70,85,63
PGN_1335,88,137,114,95
PGN_1336,291,293,167,113
PGN_1337,471,361,717,528
PGN_1338,11611,9664,34195,24443
PGN_1339,464,413,735,373
PGN_1340,1286,1146,6235,3567
PGN_1341,3744,3244,21216,13188
PGN_1342,799,702,1858,1109
PGN_1343,1129,1508,1020,564
PGN_1344,600,960,674,363
PGN_1345,297,419,400,290
PGN_1346,238,260,312,175
PGN_1347,1106,992,1682,1116
PGN_1348,322,359,591,358
PGN_1349,1269,1060,5054,3968
PGN_1350,208,174,818,438
PGN_1351,50,40,152,71
PGN_1352,142,130,278,187
PGN_1353,219,149,253,145
PGN_1354,606,513,8112,4830
PGN_1355,296,232,3192,1877
PGN_1356,1205,906,3081,1902
PGN_1357,1150,999,1689,1025
PGN_1358,2384,1809,4763,2905
PGN_1359,2167,1655,4941,3138
PGN_1360,615,516,1222,862
PGN_1361,529,409,925,551
PGN_1362,1111,1026,5159,3513
PGN_1363,782,702,2195,1704
PGN_1364,1910,1416,2757,1539
PGN_1365,150,119,186,131
PGN_1366,4025,3509,15584,10606
PGN_1367,14473,11330,75631,56248
PGN_1368,25,12,10,11
PGN_1369,103,85,221,146
PGN_1370,815,701,1579,1171
PGN_1371,6,7,5,11
PGN_1372,1234,1048,1628,898
PGN_1373,597,496,785,443
PGN_1374,824,672,1987,1185
PGN_1375,1106,860,4492,2739
PGN_1376,1248,957,1450,747
PGN_1377,523,488,2403,1648
PGN_1378,1368,1057,1984,1234
PGN_1379,127,80,143,78
PGN_1380,18,14,57,20
PGN_1381,2630,2147,7279,4946
PGN_1382,749,699,992,691
PGN_1383,143,135,336,219
PGN_1384,3780,4125,6078,2927
PGN_1385,1531,1178,2442,1450
PGN_1386,66,42,131,94
PGN_1387,283,244,395,235
PGN_1388,258,250,1059,727
PGN_1389,92,77,203,134
PGN_1390,732,625,1376,864
PGN_1391,3754,3638,10588,7019
PGN_1392,415,309,2882,1548
PGN_1393,215,201,1465,823
PGN_1394,113,86,372,243
PGN_1395,3297,2974,6410,3758
PGN_1396,346056,259061,440513,216130
PGN_1397,22513,18107,17923,10610
PGN_1398,2381,1654,9824,6045
PGN_1399,9880,9131,44871,34946
PGN_1400,1333,985,2668,1635
PGN_1401,11651,9039,33691,22311
PGN_1402,3953,3259,18005,12552
PGN_1403,5834,4594,37044,24156
PGN_1404,17,10,3,6
PGN_1405,925,693,2574,1751
PGN_1406,12,14,20,7
PGN_1407,2731,2397,3784,2669
PGN_1408,1134,1074,2555,1729
PGN_1409,1551,1354,10735,7404
PGN_1410,469,424,901,568
PGN_1411,1694,1615,2593,2277
PGN_1412,2264,2027,5450,3644
PGN_1413,1036,765,3122,1792
PGN_1414,15,17,35,15
PGN_1415,331,274,899,607
PGN_1416,10129,7755,22029,15101
PGN_1417,55,55,38,23
PGN_1418,13903,12538,29968,25119
PGN_1419,7232,6229,28253,18117
PGN_1420,20531,16773,16202,9768
PGN_1421,170,135,297,207
PGN_1422,3782,2724,8890,4737
PGN_1423,3968,2775,7283,4056
PGN_1424,2904,2136,4552,2726
PGN_1425,1988,1663,3570,1981
PGN_1426,1332,1109,3490,1953
PGN_1427,62,53,83,63
PGN_1428,542,399,276,177
PGN_1429,630,530,1566,997
PGN_1430,2408,2118,6404,4915
PGN_1431,840,758,2144,1595
PGN_1432,1437,1201,3478,2251
PGN_1433,19124,15552,18217,10795
PGN_1434,9227,8216,65226,48538
PGN_1435,88,69,276,146
PGN_1436,1081,778,8368,4647
PGN_1437,4393,3408,9005,5789
PGN_1438,19,18,11,3
PGN_1439,221,203,211,87
PGN_1440,101,67,243,177
PGN_1441,1298,1145,3695,2471
PGN_1442,22726,18078,18015,10668
PGN_1443,3097,2756,14963,9710
PGN_1444,2046,1564,5369,3574
PGN_1445,1954,1536,7779,4739
PGN_1446,2000,1655,4601,2982
PGN_1447,1114,803,4172,2911
PGN_1448,28,28,34,12
PGN_1449,725,581,3154,2336
PGN_1450,946,791,1503,896
PGN_1451,1318,1014,2360,1478
PGN_1452,11698,9720,29224,23585
PGN_1453,7,7,2,6
PGN_1454,570,516,1523,793
PGN_1455,1576,1347,6890,4530
PGN_1456,1959,1529,3584,1963
PGN_1457,2131,1776,4557,2770
PGN_1458,3458,2800,22076,13014
PGN_1459,990,811,1121,706
PGN_1460,330,282,536,318
PGN_1461,135,161,659,405
PGN_1462,241,170,706,407
PGN_1463,81,59,161,118
PGN_1464,127,97,256,174
PGN_1465,304,176,554,371
PGN_1466,11254,8328,89382,55638
PGN_1467,61,39,96,56
PGN_1468,540,442,1116,711
PGN_1469,1147,1011,2934,2024
PGN_1470,147,106,514,285
PGN_1471,197,165,736,469
PGN_1472,673,521,1788,1158
PGN_1473,37,30,76,39
PGN_1474,86,54,120,73
PGN_1475,146,119,253,184
PGN_1476,221,163,326,167
PGN_1477,17,12,23,18
PGN_1478,24,22,12,8
PGN_1479,5112,4268,31845,24347
PGN_1480,671,643,5306,3964
PGN_1481,929,916,2091,1333
PGN_1482,828,708,1712,1100
PGN_1483,3,4,1,2
PGN_1484,175,153,1150,775
PGN_1485,2318,1684,7326,4567
PGN_1486,1582,1351,3994,2579
PGN_1487,372,366,584,383
PGN_1488,207,176,586,416
PGN_1489,1783,1573,13998,11017
PGN_1490,315,287,772,442
PGN_1491,116,101,415,247
PGN_1492,201,182,530,333
PGN_1493,430,388,731,428
PGN_1494,116,88,203,134
PGN_1495,109,99,163,117
PGN_1496,12449,8579,16342,8461
PGN_1497,835,670,1490,987
PGN_1498,2631,2435,10000,6638
PGN_1499,4,4,3,2
PGN_1500,621,658,1505,868
PGN_1501,1933,1867,3745,2570
PGN_1502,1477,1365,3468,2424
PGN_1503,1736,1493,3029,1831
PGN_1504,1363,1262,6915,5151
PGN_1505,1223,1068,6043,4309
PGN_1506,1330,1217,7388,5351
PGN_1507,434,350,2260,1238
PGN_1508,23,18,24,14
PGN_1509,6985,5154,7836,4581
PGN_1510,8661,7143,20464,12816
PGN_1511,673,433,595,381
PGN_1512,7124,4996,6921,3927
PGN_1513,18645,12390,21294,12297
PGN_1514,5113,3692,3578,2192
PGN_1515,94,109,268,226
PGN_1516,182,152,434,345
PGN_1517,853,893,2160,1697
PGN_1518,883,775,1952,1367
PGN_1519,1049,799,2086,1504
PGN_1520,3776,3175,7259,4732
PGN_1521,1282,1127,2195,1755
PGN_1522,1245,1060,4132,2860
PGN_1523,810,664,817,570
PGN_1524,1346,1116,5674,3339
PGN_1525,875,780,1472,949
PGN_1526,304,296,1044,670
PGN_1527,93,85,749,431
PGN_1528,545,529,1763,1179
PGN_1529,1641,1411,3373,2325
PGN_1530,768,740,1899,1449
PGN_1531,3,3,5,1
PGN_1532,11,12,9,13
PGN_1533,2304,1994,17520,12027
PGN_1534,133,126,106,100
PGN_1535,116,126,213,128
PGN_1536,2556,2011,6472,3907
PGN_1537,3219,2880,10653,7244
PGN_1538,4271,4097,12109,7743
PGN_1539,1919,1674,7552,4725
PGN_1540,3051,2567,7251,4305
PGN_1541,42,37,82,51
PGN_1542,665,677,623,406
PGN_1543,1199,984,2546,1473
PGN_1544,411,363,2399,1311
PGN_1545,12,15,9,11
PGN_1546,12,5,17,11
PGN_1547,451,376,2049,1145
PGN_1548,18808,15253,9580,5517
PGN_1549,472,467,4045,2538
PGN_1550,3688,3066,18416,11103
PGN_1551,5960,5536,24772,15650
PGN_1552,3365,2889,11764,7664
PGN_1553,3779,3359,4611,3091
PGN_1554,493,499,734,510
PGN_1555,2534,2303,3690,2559
PGN_1556,16663,13686,73685,44517
PGN_1557,4410,3320,25240,15651
PGN_1558,913,756,3338,2098
PGN_1559,137,132,38,27
PGN_1560,98,94,134,78
PGN_1561,2672,2030,1757,1052
PGN_1562,2287,2023,2131,1233
PGN_1563,259,276,330,231
PGN_1564,2216,1994,5301,3952
PGN_1565,2628,2451,4575,3316
PGN_1566,500,430,517,391
PGN_1567,883,774,1522,893
PGN_1568,265,221,282,180
PGN_1569,1667,1547,1527,984
PGN_1570,42533,33836,117189,73041
PGN_1571,15505,13141,95401,58026
PGN_1572,5020,3888,21523,12092
PGN_1573,5309,4102,28094,15976
PGN_1574,6775,5186,33209,20049
PGN_1575,3833,3123,17220,11034
PGN_1576,2737,2410,18672,12210
PGN_1577,609,538,3612,1992
PGN_1578,31289,24742,153989,107328
PGN_1579,19646,14433,44760,25862
PGN_1580,708,566,2061,1122
PGN_1581,578,514,2375,1723
PGN_1582,592,443,1430,1039
PGN_1583,17,10,15,10
PGN_1584,603,553,1526,913
PGN_1585,893,853,1853,1287
PGN_1586,20,11,36,19
PGN_1587,1658,1375,3666,2286
PGN_1588,2295,1964,3899,3081
PGN_1589,613,561,973,753
PGN_1590,722,640,1409,1151
PGN_1591,456,392,491,247
PGN_1592,28,34,23,20
PGN_1593,649,632,1284,909
PGN_1594,900,752,3759,3055
PGN_1595,266,251,650,526
PGN_1596,164,145,235,190
PGN_1597,416,404,1002,680
PGN_1598,3835,2743,5050,2771
PGN_1599,1977,1700,6275,4051
PGN_1600,7416,5398,19346,11725
PGN_1601,1965,1546,5719,3683
PGN_1602,695,686,1695,1275
PGN_1603,438,401,1471,1143
PGN_1604,1457,1231,4229,3202
PGN_1605,778,676,3164,2213
PGN_1606,2254,1843,5497,3738
PGN_1607,30,31,53,24
PGN_1608,303,267,616,376
PGN_1609,6,3,1,4
PGN_1610,354,247,925,499
PGN_1611,3550,2534,10715,5912
PGN_1612,867,773,2433,1501
PGN_1613,2136,1791,4951,3355
PGN_1614,2276,1875,5520,4134
PGN_1615,1412,1172,3179,1980
PGN_1616,1698,1547,2456,1659
PGN_1617,2775,2690,3472,2349
PGN_1618,1686,1499,5828,4002
PGN_1619,20898,16904,18567,11269
PGN_1620,856,715,992,528
PGN_1621,5344,5176,7304,4007
PGN_1622,8556,6277,8122,4811
PGN_1623,1216,1125,6320,4984
PGN_1624,2,2,1,1
PGN_1625,909,782,2891,2318
PGN_1626,1086,957,2094,1386
PGN_1627,416,397,3856,2826
PGN_1628,1261,1125,7312,4843
PGN_1629,1596,1306,2428,1593
PGN_1630,1853,1551,3646,2347
PGN_1631,119,88,134,60
PGN_1632,186,134,473,215
PGN_1633,4587,3056,4488,2536
PGN_1634,603,568,860,627
PGN_1635,4327,3531,6060,3511
PGN_1636,147,154,269,228
PGN_1637,154,157,276,192
PGN_1638,475,383,782,529
PGN_1639,342,337,281,174
PGN_1640,954,873,2505,1627
PGN_1641,1317,1247,2395,1730
PGN_1642,3847,3194,5737,3942
PGN_1643,1385,1120,7025,5023
PGN_1644,19903,16264,16621,9843
PGN_1645,440,409,1211,864
