id,MS2contr_R1,MS2contr_R2,MS2RsaI_R1,MS2RsaI_R2,MS2RsaI_R3,MS2RsaImut2_R1,MS2RsaImut4_R1
HG001_02671,18709,43449,15090,21994,25517,12063,14210
HG001_01628,10256,9721,9425,10902,5314,8707,5663
HG001_02245,22137,41687,13756,26784,26936,44990,23500
HG001_00661,939,1327,637,943,953,769,420
HG001_00704,6381,1484,2479,5032,1752,1858,1428
HG001_01342,1076,633,724,986,485,389,207
HG001_01632,268,149,140,167,170,108,86
HG001_01737,9,66,4,7,53,42,50
HG001_00453,1218,797,831,954,666,581,429
HG001_01152,115,368,85,125,239,379,362
HG001_01384,3,10,1,5,2,7,5
HG001_00128,209,542,124,155,497,308,388
HG001_00173,213,301,182,236,169,160,91
HG001_00212,240,53,142,171,53,52,42
HG001_00752,738,143,611,468,107,117,119
HG001_01619,3652,2191,2516,3234,1683,1699,1461
HG001_00452,1081,675,779,780,558,434,361
HG001_00872,370,191,221,292,172,107,103
HG001_01093,635,289,392,555,238,216,138
HG001_01085,997,605,432,672,724,353,349
HG001_01738,32,128,18,40,83,42,91
HG001_02110,549,530,336,495,428,355,296
HG001_02150,833,740,386,770,678,536,658
HG001_00003,82,210,50,65,175,140,90
HG001_00168,123,72,54,130,56,43,39
HG001_02187,4663,5645,3588,4744,3629,3372,1955
HG001_02332,185,294,135,196,188,207,109
HG001_01155,297,317,208,279,225,208,104
HG001_01511,49,94,41,44,59,38,25
HG001_01521,150,327,95,115,277,216,143
HG001_02099,545,547,440,526,345,333,223
HG001_02323,221,234,148,174,191,197,100
HG001_02179,820,421,500,609,386,306,237
HG001_00015,112,477,95,92,328,423,175
HG001_00232,407,458,219,311,437,223,270
HG001_00683,14,7,3,9,7,8,3
HG001_00814,15145,19803,12292,15586,12035,12210,6854
HG001_01308,1039,786,698,657,717,492,321
HG001_01928,2,13,4,1,2,12,8
HG001_02042,55,31,15,31,46,27,22
HG001_02474,11359,19401,9509,15438,9604,8393,3529
HG001_00194,1089,334,561,882,322,343,201
HG001_00952,1157,247,449,777,326,280,249
HG001_02285,448,1021,468,355,563,759,500
HG001_01035,25315,25200,18121,24102,17520,15532,9062
HG001_02130,25725,41647,19828,22796,28668,24740,17042
HG001_02139,63817,59745,44755,81559,33503,25839,14125
HG001_02257,163,98,89,124,92,93,85
HG001_02429,5034,1149,1412,4042,1406,884,679
HG001_00582,3490,3023,2103,2232,2977,2260,1713
HG001_00918,33,30,17,20,29,23,28
HG001_00983,39,27,15,29,26,17,8
HG001_01149,455,566,385,463,324,414,285
HG001_01568,408,285,253,352,227,233,83
HG001_02080,24,78,12,11,78,111,58
HG001_02176,61,89,22,65,70,56,41
HG001_01117,551,658,308,404,619,440,364
HG001_01527,809,1191,385,620,1205,1053,966
HG001_01775,1922,3662,1281,1466,3019,2584,1511
HG001_02451,890,579,726,765,372,408,271
HG001_01253,262,492,140,221,425,404,289
HG001_02135,7723,15664,6432,5961,10644,9675,5133
HG001_02140,105249,223660,84327,137158,113542,100090,47454
HG001_02113,639,94,209,458,124,110,61
HG001_02644,14373,2428,5798,11197,2618,1356,2142
HG001_00091,29,13,10,20,12,0,9
HG001_00808,101,92,53,84,78,72,59
HG001_00925,581,562,339,504,457,468,265
HG001_01100,162,52,85,120,51,61,47
HG001_01671,522,443,343,369,378,389,373
HG001_00198,347,412,245,252,325,313,237
HG001_00591,530,258,389,452,177,206,170
HG001_00777,3747,1707,2127,2862,1546,919,915
HG001_01096,9047,4367,6386,4539,4008,2221,3644
HG001_01102,598,472,335,326,519,446,453
HG001_01856,129,226,101,105,154,144,129
HG001_01892,15,57,8,13,41,21,33
HG001_02262,589,893,437,414,691,735,547
HG001_02290,217,163,124,165,145,167,135
HG001_00699,1845,746,1164,1442,620,493,561
HG001_00856,1126,920,700,785,820,566,468
HG001_01566,3000,3248,2371,2750,2068,1839,1231
HG001_02618,142,99,101,117,69,67,55
HG001_00366,1708,586,912,1354,537,486,398
HG001_00456,911,871,763,751,554,510,439
HG001_01172,108,8,35,70,13,10,7
HG001_00119,329,96,164,163,124,116,94
HG001_00800,20,20,10,16,14,17,21
HG001_00943,43709,36839,35345,43309,21677,20378,14609
HG001_00992,246,355,153,160,318,187,193
HG001_01971,564,1182,623,635,488,864,399
HG001_02261,3667,4359,2807,2866,3085,2668,2193
HG001_02269,383,983,421,236,537,542,389
HG001_02385,41,64,31,20,52,67,66
HG001_00333,3587,3250,2501,3300,2238,2440,1535
HG001_01931,317,345,212,276,250,239,154
HG001_02278,1192,2855,1531,982,1219,1354,705
HG001_01741,21,106,12,36,48,48,66
HG001_00148,769,262,327,485,314,242,180
HG001_01494,2549,1318,777,1888,1579,992,659
HG001_01962,579,153,313,614,102,105,120
HG001_00196,8176,7435,5755,8517,4583,5856,3302
HG001_00851,98,27,54,86,19,27,29
HG001_01620,1496,1841,1375,1191,1068,1181,816
HG001_02681,330,532,239,385,293,320,180
HG001_00126,303,665,320,410,269,170,113
HG001_01443,4344,6885,2805,3596,5296,4030,2871
HG001_00486,693,590,406,717,399,547,381
HG001_01853,84,291,87,73,151,150,162
HG001_01899,10,20,5,8,12,6,9
HG001_02324,953,515,639,548,453,311,222
HG001_01034,7052,6022,4111,6948,4310,3543,2218
HG001_02161,38,65,21,23,57,44,51
HG001_02447,14,94,11,22,44,54,22
HG001_00999,856,993,545,646,803,758,548
HG001_00430,3375,1029,1971,1963,1024,973,1046
HG001_00928,4,3,1,1,1,2,5
HG001_01277,722,489,300,773,362,336,232
HG001_00805,64548,29644,46767,58547,19308,25400,15140
HG001_02147,35,101,20,20,86,58,27
HG001_02574,739,416,463,563,335,306,321
HG001_00009,175,145,70,142,138,106,154
HG001_02231,8,46,5,6,30,35,14
HG001_00010,19645,8553,9990,16365,7349,6270,5683
HG001_00528,269,126,133,199,119,101,92
HG001_01653,31301,15161,18828,17476,14675,12520,11366
HG001_02263,1632,2084,1099,1552,1377,1084,743
HG001_02672,11144,35565,8058,12472,20175,9410,11543
HG001_00137,600,307,334,440,270,184,133
HG001_00717,22095,20943,18634,18844,12328,11807,8699
HG001_00798,410,665,290,304,489,452,184
HG001_02062,37147,11620,10037,25688,14765,7442,6277
HG001_02260,875,1354,701,607,921,999,816
HG001_00998,60037,39393,34374,60586,27084,27435,16858
HG001_01831,554,1054,460,587,553,596,306
HG001_00005,8013,10033,5432,5924,7645,6475,4644
HG001_00903,15676,30445,11172,13608,20430,21444,10895
HG001_01089,0,22,1,2,5,6,7
HG001_00227,168,323,81,124,292,332,285
HG001_01244,235,144,116,229,104,86,38
HG001_01272,288503,315034,187040,274526,211208,204946,123930
HG001_01573,18,31,11,12,21,24,17
HG001_01823,55,279,41,68,149,113,125
HG001_01891,12,41,10,5,27,20,18
HG001_02264,296,871,291,168,516,480,421
HG001_00006,9759,8799,5613,6830,7749,6224,5594
HG001_00479,15605,37938,14643,16008,18240,24097,11351
HG001_00926,916,1633,682,581,1219,1095,860
HG001_01675,642,1286,506,641,722,883,585
HG001_00746,46,35,28,42,20,18,23
HG001_00960,113,52,47,87,49,46,36
HG001_01273,272945,413076,197493,267260,250574,234409,140226
HG001_01487,2258,1508,1290,1811,1223,1084,661
HG001_01519,172,103,86,103,106,90,81
HG001_02235,10,10,3,12,2,4,7
HG001_02329,712,967,408,687,678,868,318
HG001_00103,1738,3476,847,894,3943,2445,1717
HG001_00809,760,605,407,529,553,399,505
HG001_00968,136,262,81,80,230,128,86
HG001_02297,2511,2638,1668,2079,1892,1640,1157
HG001_00718,177,207,87,137,178,176,68
HG001_02591,4,14,1,3,7,2,4
HG001_00478,43110,99961,38375,53038,44260,54031,20395
HG001_00780,7346,5199,4861,8030,2994,3384,1577
HG001_00997,83815,153059,60714,75991,96803,84601,39738
HG001_01052,4841,1360,4720,5062,544,1577,599
HG001_01641,464,224,295,461,136,199,148
HG001_00870,703,226,377,584,182,160,143
HG001_00017,1811,3083,1385,1196,2164,2768,1603
HG001_01860,121,376,117,116,185,156,130
HG001_00769,111,83,52,56,93,77,75
HG001_00836,4857,6914,2326,4895,4978,5219,2976
HG001_02138,24355,52370,20008,27345,26022,25320,9694
HG001_00102,536,1321,248,322,1385,1024,707
HG001_00498,105,126,65,91,85,89,128
HG001_01202,25923,55542,19976,26497,30328,38562,25758
HG001_01259,649,547,417,463,425,436,335
HG001_01309,1010,536,646,602,455,438,194
HG001_02216,9082,5088,4834,9380,3404,2978,2055
HG001_02326,667,973,567,382,640,604,287
HG001_02689,3597,7012,2354,3340,4612,3267,1940
HG001_02266,1150,1906,707,980,1376,845,647
HG001_02274,1012,2066,1146,939,844,775,719
HG001_00775,275,77,110,196,80,48,68
HG001_01148,1815,1706,1298,1570,1084,950,725
HG001_02131,14473,26492,9941,11277,18631,15674,9170
HG001_02271,706,1552,655,552,830,706,635
HG001_01444,2737,4047,1693,2184,3009,2313,1687
HG001_02317,167,54,81,106,53,34,30
HG001_00531,78,31,37,53,27,14,17
HG001_02693,200853,157725,144833,172998,99453,97482,52309
HG001_00181,290,73,131,222,66,36,48
HG001_00763,700,1445,342,395,1494,1173,815
HG001_00797,179,309,76,107,318,224,113
HG001_00186,491,265,319,421,174,191,166
