id,MS2contr_R1,MS2contr_R2,MS2RsaI_R1,MS2RsaI_R2,MS2RsaI_R3,MS2RsaImut2_R1,MS2RsaImut4_R1
HG001_00972,49,100,116,112,321,199,116
HG001_02210,34,177,248,191,290,143,181
HG001_00932,886,627,1462,2582,1869,1177,672
HG001_00045,36,54,47,103,226,196,46
HG001_00733,102,2196,422,424,3769,4028,1060
HG001_02584,4,3,19,35,10,27,13
HG001_02485,16,51,54,51,115,110,56
HG001_00933,453,598,785,794,2333,1166,877
HG001_01715,39,51,50,101,195,224,41
HG001_00098,6,4,19,25,19,30,7
HG001_02746,75,99,120,210,264,80,101
HG001_02069,368,360,676,795,992,996,849
HG001_01837,37,43,72,106,110,47,25
HG001_01351,38,39,90,163,71,71,34
HG001_01548,3876,1282,13192,11506,1986,1400,1131
HG001_01023,10365,18262,17287,19557,57473,24108,15412
HG001_02043,87,109,163,187,288,190,81
HG001_01217,50,112,59,83,533,362,73
HG001_01538,134,279,220,297,711,428,356
HG001_02547,240,204,502,514,462,496,426
HG001_01975,1,4,5,4,26,23,3
HG001_02393,4,18,15,14,48,25,6
HG001_00725,276,176,522,750,337,335,129
HG001_00581,55,124,121,226,201,170,91
HG001_01904,4,14,47,21,24,21,10
HG001_00043,1,11,5,12,32,17,6
HG001_01039,349,442,778,639,956,950,362
HG001_02518,196,186,288,429,467,261,366
HG001_02376,41,38,74,125,77,21,29
HG001_01041,327,145,718,1417,189,182,153
HG001_02068,8,5,14,16,32,21,8
HG001_00973,49,75,90,110,166,159,93
HG001_02719,59,17,128,177,27,20,23
HG001_00584,2,18,26,45,23,23,5
HG001_01627,167,637,272,338,1398,1235,605
HG001_00425,612,730,1653,1588,1061,802,716
HG001_00502,33,11,89,104,16,10,12
HG001_00680,958,424,1551,2462,778,764,364
HG001_00842,38,65,74,123,111,73,67
HG001_02057,15269,62691,26281,37261,113493,65761,32496
HG001_00818,109,88,290,331,120,96,41
HG001_00974,28,17,126,217,13,6,15
HG001_00929,39,79,83,111,136,93,32
HG001_01038,407,552,583,842,1269,1150,428
HG001_00846,465,266,900,1206,429,294,423
HG001_00953,3005,3915,5497,5601,8121,7409,2100
HG001_01423,14,39,35,63,60,51,45
HG001_02638,114,62,209,334,100,69,94
HG001_00614,4,4,22,42,5,8,3
HG001_00347,40,41,97,198,50,31,22
HG001_00755,17,56,20,30,163,90,35
HG001_00958,6,36,14,23,73,27,4
HG001_02259,43,62,132,161,76,41,39
HG001_02336,630,672,2389,2746,655,594,480
HG001_00861,16,46,32,30,106,78,43
HG001_02334,22,22,52,167,23,34,30
HG001_01499,10,88,24,25,171,130,85
HG001_01040,19,28,36,35,70,48,14
HG001_02484,33,57,42,59,159,109,70
HG001_00907,269,81,534,972,97,75,92
HG001_01764,23,54,51,59,94,67,46
HG001_01416,149,308,211,264,714,342,267
HG001_01926,39,113,63,73,241,164,111
HG001_00544,948,1759,976,1803,5128,3024,1649
HG001_00387,274,119,454,568,222,102,133
HG001_00046,16,63,29,40,122,68,63
HG001_01180,16,46,43,30,87,100,70
HG001_01925,31,88,57,37,230,162,128
HG001_00880,2,6,4,34,14,14,4
HG001_00709,303,131,876,1377,111,148,151
HG001_02601,489,1085,661,869,2424,1157,742
HG001_00618,10,9,20,55,14,9,11
HG001_02641,6,24,18,36,33,41,23
HG001_01874,4,18,12,18,33,21,20
HG001_00415,16112,18390,28465,24356,38326,25721,21506
HG001_00586,81,85,149,166,149,102,103
HG001_01184,2,2,7,7,12,7,7
HG001_01156,32,58,45,76,116,56,42
HG001_02076,7,24,20,43,31,39,26
HG001_00450,34,73,100,101,91,64,67
HG001_02457,3,2,3,34,9,2,4
HG001_02407,22,26,54,79,33,21,25
HG001_01600,5,158,22,19,249,107,122
HG001_01713,7,13,22,31,18,14,31
HG001_02730,3,15,6,24,29,7,13
HG001_02025,4,5,3,31,17,4,10
HG001_01601,2052,17323,6408,5608,19456,11469,16684
HG001_02375,26,45,34,42,114,45,26
HG001_01178,177,232,279,319,436,324,155
HG001_02172,1146,568,1317,2076,1345,1155,496
HG001_00664,3095,1010,6166,8039,1270,976,1248
HG001_01549,20073,2121,31027,64719,2685,2291,3492
HG001_01210,59,102,75,117,211,187,81
HG001_01295,25,124,62,92,156,69,106
HG001_00306,7,28,26,26,39,26,16
HG001_00694,197,30,292,560,41,19,13
HG001_02747,175,108,221,341,226,117,100
HG001_02008,6,10,11,26,20,8,8
HG001_00344,15,6,25,70,9,7,2
HG001_02632,80,91,140,125,181,242,66
HG001_00759,2435,3603,3812,4033,6843,4513,4419
HG001_02454,384,613,495,614,1401,1035,814
HG001_01017,1030,681,1312,2776,1084,423,592
HG001_02546,53,365,74,178,540,842,166
HG001_01062,98,177,123,180,366,228,148
HG001_00985,317,224,711,1026,236,188,194
HG001_01137,155,402,227,256,786,746,390
HG001_00164,6,2,11,34,5,4,0
HG001_02394,140,112,225,247,204,207,98
HG001_00679,62,134,104,105,244,192,56
HG001_01752,8,1,9,22,12,9,6
HG001_00042,8,11,21,27,17,13,12
HG001_02330,1984,3298,3516,3567,5191,7529,2209
HG001_02411,33,116,40,63,230,146,141
HG001_01182,326,352,376,464,949,788,436
HG001_02453,4,9,7,5,32,18,57
HG001_00044,317,244,323,465,728,638,241
HG001_02634,24,38,46,57,59,67,23
HG001_00388,84,58,171,147,91,72,50
HG001_01301,20,39,60,52,48,26,36
HG001_01063,1810,2425,2263,3111,4871,3053,2522
HG001_00931,225,163,382,405,261,180,154
HG001_02678,39,32,69,134,37,59,20
HG001_01615,38,146,57,87,235,128,127
HG001_00786,63,59,71,163,103,63,50
HG001_01700,51,24,146,256,15,35,8
HG001_01455,36,23,73,85,31,26,16
HG001_02753,81,56,226,285,48,43,24
HG001_00073,21,43,39,36,78,34,58
HG001_02341,21,45,24,51,85,50,34
HG001_01879,15,61,27,40,94,59,63
HG001_02596,0,12,4,12,19,10,7
HG001_01094,22,57,31,41,108,50,62
HG001_02744,44,466,168,132,454,272,592
HG001_00975,1165,1654,3693,4815,1295,1080,1085
HG001_00646,21,40,110,75,31,30,33
HG001_01016,720,440,877,1837,651,203,365
HG001_01731,13,8,29,25,16,11,8
HG001_00153,27,15,19,73,40,22,11
HG001_01296,100,372,158,240,517,230,268
HG001_00961,73,108,128,267,115,71,91
HG001_01629,2446,1930,2309,3219,6061,3763,2168
HG001_00785,258,340,289,333,884,466,381
HG001_01596,321,304,827,974,285,117,174
HG001_00990,25,16,40,55,27,10,8
HG001_01712,71,177,188,244,165,108,112
HG001_01553,47,1768,80,131,2383,1202,525
HG001_02559,17,24,22,42,43,25,30
HG001_01143,45,38,54,81,78,87,30
HG001_00311,79,107,197,133,137,98,111
HG001_00977,7,1,5,28,7,2,1
HG001_02551,7,1,10,25,5,5,6
HG001_00362,31,61,53,62,93,67,79
HG001_00304,34,29,39,84,50,28,26
HG001_00159,34,64,65,105,72,60,51
HG001_00414,19899,15434,25873,36609,24523,17622,14294
HG001_01602,317,585,642,878,597,347,738
HG001_01701,14,26,46,140,15,25,15
HG001_01060,163,187,247,418,228,213,168
HG001_00651,28,33,44,37,69,79,76
HG001_01042,707,511,1087,1632,639,468,297
HG001_00294,25,33,27,47,68,37,26
HG001_02697,40,40,100,112,37,40,34
HG001_00959,217,253,439,626,252,165,159
HG001_00089,5,4,5,21,11,7,3
HG001_02034,0,0,1,2,8,1,3
HG001_00635,4,4,5,18,10,10,5
HG001_01090,8,10,14,13,24,15,12
HG001_00562,106,1147,130,180,1937,1076,639
HG001_00303,4,36,22,36,26,32,71
HG001_01914,15,20,33,44,23,16,23
HG001_01719,4,17,6,12,33,10,4
HG001_02631,3,5,5,8,15,8,6
HG001_01482,579,295,812,1958,306,287,204
HG001_01173,86,7,125,156,13,9,16
HG001_01730,42,29,57,90,45,25,40
HG001_02355,0,4,4,3,10,9,4
HG001_02370,4,6,10,20,9,2,2
HG001_00674,6,6,12,11,15,6,6
HG001_01343,74,168,151,160,197,197,97
HG001_02647,247,192,291,433,331,305,178
HG001_00642,990,439,825,1690,1007,693,299
HG001_00878,4,32,11,11,49,39,23
HG001_01555,289,193,422,372,359,306,181
HG001_00226,100,67,162,266,73,55,37
HG001_01140,78,118,90,168,183,94,140
HG001_00054,35,31,84,146,23,15,23
HG001_01107,1157,656,2035,3494,625,544,536
HG001_00203,68,84,80,145,130,82,84
HG001_00994,107,217,246,176,261,477,173
HG001_00170,21524,104025,42030,63552,100247,61743,101050
HG001_02491,17,42,14,51,70,61,39
HG001_01873,14,78,33,42,91,64,59
HG001_02014,0,0,2,3,5,1,1
HG001_00411,1694,5287,3924,4457,4880,4382,3517
HG001_01612,158,111,145,214,286,163,115
HG001_00295,6,35,12,15,54,25,16
HG001_01010,109,50,238,317,38,81,40
HG001_01007,6,44,19,21,52,28,29
HG001_01181,338,292,324,518,633,650,362
HG001_00616,25,29,59,69,27,29,27
HG001_01590,43,19,34,79,49,27,15
HG001_02509,9,9,7,30,19,9,11
HG001_00419,25,21,38,72,24,20,34
HG001_02566,15,56,47,49,53,38,26
HG001_02602,312,372,241,438,1015,564,390
HG001_00400,105,189,269,197,191,193,230
HG001_00185,58,41,61,89,88,67,74
HG001_02525,46,24,55,78,46,26,27
HG001_00310,2265,1792,4548,4824,1850,1310,1140
HG001_01952,104,121,100,143,272,178,90
HG001_01526,41,61,89,179,48,39,26
HG001_02609,91,133,730,702,76,118,120
HG001_00238,307,471,547,666,520,449,287
HG001_00421,220,440,280,283,813,486,234
HG001_01150,21,168,71,98,123,169,167
HG001_00923,324,549,372,480,980,648,337
HG001_01986,9,8,7,27,18,13,7
HG001_01947,166,296,221,221,517,331,259
HG001_01929,121,78,134,187,148,160,105
HG001_01358,22,15,19,35,41,24,23
HG001_02667,1431,844,3086,4941,630,831,535
HG001_01061,33,107,89,69,111,99,55
HG001_00281,106,158,135,195,231,217,75
HG001_02222,7043,7371,8805,10407,12196,11617,7149
HG001_02604,2317,1623,2338,3790,2926,1759,1272
HG001_00343,24,7,26,87,8,6,5
HG001_01013,3,3,4,10,9,3,9
HG001_02360,26,47,258,496,25,38,22
HG001_01657,397,603,273,573,1622,604,600
HG001_02420,117,302,175,223,393,288,372
HG001_01946,172,230,231,261,359,291,209
HG001_00423,115,201,143,119,435,344,183
HG001_01108,765,951,1007,1124,1506,1011,1140
HG001_00252,244,322,204,335,765,472,252
HG001_00724,69,102,70,119,176,126,43
HG001_01754,9,3,10,20,10,15,7
HG001_00689,45,16,62,88,23,18,20
HG001_01014,17,27,31,33,37,16,25
HG001_02203,203,337,197,273,706,371,297
HG001_00482,4245,1329,5034,6038,2299,1083,2032
HG001_00074,5,7,11,29,6,12,6
HG001_01072,288,140,373,473,209,134,125
HG001_02448,17,4,23,30,10,6,4
HG001_00242,11,23,10,21,46,18,16
HG001_02103,3008,1879,9269,6831,1482,890,733
HG001_01127,999,1721,1111,1571,2855,1765,1636
HG001_01655,261,290,553,649,259,185,161
HG001_02050,1,12,7,17,12,8,4
HG001_02301,2,3,7,7,6,8,4
HG001_00595,27,42,38,53,60,46,26
HG001_01744,358,1255,529,592,1690,1407,646
HG001_02059,39559,37875,45346,45816,80232,99510,48101
HG001_00711,1287,2456,1663,3032,2889,2422,746
HG001_00072,51,69,64,89,105,77,63
HG001_00131,185,492,258,293,701,490,482
HG001_00934,4438,3520,3687,5250,9819,4247,6500
HG001_00976,103,302,207,249,295,169,188
HG001_02498,298,51,329,552,78,53,82
HG001_00422,502,1046,660,676,1688,1420,807
HG001_01587,658,815,585,956,1679,774,841
HG001_02358,4,2,6,14,5,0,1
HG001_00654,111,72,127,161,129,90,37
HG001_02251,161,154,214,224,247,212,64
HG001_00594,18,58,27,34,83,58,27
HG001_00209,65,35,79,103,59,35,28
HG001_01026,64,97,95,98,140,85,63
HG001_01236,73,71,162,282,48,58,31
HG001_01981,0,3,0,7,9,5,3
HG001_01604,249,380,254,337,726,474,228
HG001_02733,15,4,11,29,15,10,5
HG001_01186,97,102,207,260,84,65,72
HG001_01605,100,86,125,152,137,132,103
HG001_01332,210,156,336,355,191,125,57
HG001_01985,180,117,146,254,274,169,142
HG001_02410,49,30,72,109,34,19,21
HG001_00154,118,119,196,283,118,80,71
HG001_01539,357,240,348,453,523,366,372
HG001_00636,45,46,53,110,57,33,57
HG001_00792,10,33,18,22,44,42,53
HG001_02295,1,0,6,4,2,5,4
HG001_00787,10,20,8,19,41,20,17
HG001_02123,2,1,4,11,3,1,2
HG001_02486,115,147,129,150,268,164,69
HG001_01945,4,39,8,2,75,41,21
HG001_00307,282,619,367,538,790,595,342
HG001_02564,15,11,16,22,27,18,29
HG001_00922,131,196,147,185,333,246,178
HG001_00345,19,12,33,47,13,4,6
HG001_00879,7,25,15,31,24,30,10
HG001_01843,1842,550,4234,4635,414,602,255
HG001_02379,18,59,29,30,84,40,40
HG001_00549,9,34,22,31,33,32,16
HG001_00924,176,451,214,238,731,560,313
HG001_01611,185,279,148,206,760,298,469
HG001_00516,254,1995,256,275,4478,5428,2129
HG001_00841,21,22,17,58,33,20,30
HG001_01786,614,942,1094,1338,919,653,691
HG001_02560,61,81,58,124,122,86,88
HG001_00071,29,58,41,39,93,53,50
HG001_01684,135,204,157,142,407,204,164
HG001_02029,2,2,5,9,4,5,4
HG001_00930,40,93,55,64,133,117,67
HG001_01002,16,3,30,57,1,0,2
HG001_01365,5,7,3,9,22,17,19
HG001_00761,5672,5100,8412,25453,3592,3768,2999
HG001_02665,3,2,6,21,2,1,1
HG001_00433,267,165,277,564,217,198,56
HG001_00376,183,196,263,651,156,173,183
HG001_01906,5,10,7,19,14,3,4
HG001_01577,5,6,6,13,12,5,6
HG001_02156,37,68,68,69,77,65,30
HG001_00354,315,241,436,536,301,285,97
HG001_00621,452,311,638,1151,302,256,148
HG001_01598,16,123,33,25,160,67,43
HG001_01726,13,3,32,11,7,4,7
HG001_02381,9,16,13,28,19,23,12
HG001_01772,438,288,489,768,404,307,427
HG001_00210,21,8,22,55,11,13,8
HG001_01523,293,386,762,1065,246,264,150
HG001_00643,1154,807,867,2329,1317,822,589
HG001_00838,17,18,42,87,10,12,5
HG001_01392,0,0,1,2,5,2,0
HG001_00921,116,244,144,149,392,240,153
HG001_00401,33,26,21,47,68,31,16
HG001_00575,26,20,25,54,32,16,31
HG001_00607,281,40,291,453,68,55,33
HG001_01422,33,47,52,58,59,50,23
HG001_00432,121,54,161,203,70,72,51
HG001_00964,196,258,180,353,399,238,267
HG001_01221,36,37,31,34,111,98,87
HG001_02519,36,52,33,44,109,59,71
HG001_01045,101,75,137,140,111,190,37
HG001_00056,4,1,4,21,2,3,2
HG001_02603,1129,1016,949,1260,2532,1591,1111
HG001_01480,21,42,32,41,53,33,25
HG001_02033,1,1,1,5,6,2,4
HG001_00541,17,12,19,21,28,17,10
HG001_00890,0,4,3,4,6,13,6
HG001_01146,79,324,148,92,426,269,309
HG001_01457,287,300,274,433,507,276,249
HG001_00412,3016,10753,8926,10412,7131,4975,3327
HG001_01249,164,230,195,276,313,232,213
HG001_01087,580,196,884,846,243,147,69
HG001_00171,88,336,100,263,350,206,208
HG001_02292,78,42,68,122,81,56,62
HG001_02555,30,58,61,112,43,49,19
HG001_00221,2,2,5,8,4,2,2
HG001_02723,1,5,3,24,4,8,1
HG001_02094,377,366,465,620,484,329,297
HG001_02666,23,108,51,81,85,124,72
HG001_00822,0,1,8,9,0,1,1
HG001_00656,317,244,320,409,445,257,220
HG001_00448,1629,1878,1594,2077,3505,2015,2187
HG001_00169,36078,145631,41885,91958,154043,87634,88631
HG001_00753,627,188,614,755,381,364,158
HG001_00155,207,405,228,229,754,537,477
HG001_00449,1209,2405,1279,1502,4218,2043,1758
HG001_01697,26,41,55,39,46,29,51
HG001_00553,1773,2400,2035,1893,4538,3894,4764
HG001_01948,601,427,547,961,697,412,409
HG001_01049,79,28,107,88,51,45,48
HG001_02223,1016,1082,821,1937,1661,1235,761
HG001_02605,396,110,543,752,116,105,63
HG001_00525,10,6,21,24,6,4,2
HG001_01603,355,394,344,341,913,565,301
HG001_00629,351,456,369,463,762,429,398
HG001_01345,30,67,18,55,123,85,118
HG001_02468,11,2,5,19,11,3,1
HG001_01785,2,10,13,18,6,8,4
HG001_01728,6,8,10,17,10,9,7
HG001_00678,1533,333,1862,2181,472,645,177
HG001_00282,347,458,386,480,699,591,237
HG001_00554,238,172,321,451,189,158,70
HG001_01513,23,43,19,27,90,94,35
HG001_01588,73,193,65,87,365,171,145
HG001_01841,115,99,274,459,49,81,73
HG001_02607,621,933,909,875,1170,840,762
HG001_02354,1,7,4,4,11,15,4
HG001_01599,1181,2217,1743,1983,2481,1596,2263
HG001_02125,29,25,34,42,41,23,20
HG001_02729,9,43,7,22,63,26,37
HG001_00125,76,41,140,204,29,34,11
HG001_00309,3461,2107,5346,5867,2249,1679,1794
HG001_02445,75,79,68,88,160,96,51
HG001_01297,276,475,382,562,495,336,446
HG001_00318,177,802,239,255,1046,815,517
HG001_01976,1,0,3,7,1,2,2
HG001_00224,3,4,6,6,8,3,2
HG001_01607,552,1061,525,621,2078,1074,951
HG001_00259,23,13,19,29,34,27,18
HG001_00513,402,424,542,778,449,610,431
HG001_01015,661,332,560,1453,424,138,298
HG001_02026,0,2,3,5,3,3,1
HG001_02731,94,32,77,185,49,52,44
HG001_01196,21,96,29,48,110,123,35
HG001_01936,44,131,56,62,183,117,127
HG001_02444,57,85,53,77,147,131,97
HG001_01081,646,480,927,784,646,516,433
HG001_01313,79,107,88,105,166,111,87
HG001_01687,519,429,501,643,771,582,369
HG001_01733,29,39,36,55,49,33,18
HG001_01680,28,70,61,108,48,45,22
HG001_01509,128,223,140,206,303,185,118
HG001_01989,45,37,65,67,47,53,46
HG001_02350,3,0,7,12,0,0,2
HG001_00552,156,72,168,197,123,99,94
HG001_01540,174,147,184,167,297,153,146
HG001_01881,1,12,7,7,12,5,7
HG001_02111,12,12,19,16,19,11,11
HG001_02521,37,24,42,60,35,20,22
HG001_00561,1571,8824,1769,2269,12293,7853,5862
HG001_01043,6,22,7,9,37,12,17
HG001_02401,19,13,33,32,15,14,1
HG001_02654,352,8241,443,858,8328,4629,4097
HG001_00754,35,41,28,47,80,79,27
HG001_01312,36,37,40,50,59,45,28
HG001_01082,291,383,333,352,601,468,506
HG001_01768,297,279,323,447,390,312,260
HG001_02023,1,2,0,4,9,6,5
HG001_01571,17,28,13,24,54,26,21
HG001_00783,62,124,90,135,123,102,93
HG001_01222,13,11,9,25,22,19,13
HG001_02606,1,11,15,18,4,10,7
HG001_01828,446,355,575,403,624,512,552
HG001_01168,1,0,3,6,1,1,1
HG001_02171,114,213,251,312,150,132,85
HG001_00802,22,60,23,29,95,70,56
HG001_00671,1,1,2,4,4,0,0
HG001_01174,42,6,35,71,13,9,6
HG001_02421,12,22,22,22,25,12,17
HG001_00760,267,47,90,735,73,57,55
HG001_02248,963,848,937,972,1691,1226,478
HG001_02716,8,7,7,23,10,12,2
HG001_02735,62,76,50,84,139,107,122
HG001_02734,103,45,168,176,41,42,43
HG001_02754,397,767,753,962,574,679,590
HG001_00204,25,20,32,36,29,10,13
HG001_00245,24,39,32,35,53,33,22
HG001_00291,12,55,21,53,43,35,21
HG001_01877,1,18,5,1,27,11,15
HG001_00951,17,22,15,25,39,21,15
HG001_01665,774,712,1319,1957,542,474,386
HG001_01537,22,93,196,244,43,55,30
HG001_00202,1095,634,726,1428,1392,736,812
HG001_01171,0,1,1,1,5,1,1
HG001_01597,124,206,221,214,198,50,98
HG001_01878,1,2,4,1,6,1,3
HG001_02356,42,29,39,53,56,63,51
HG001_00115,263,1477,241,274,2849,1584,1441
HG001_02255,119,67,222,263,47,61,47
HG001_00094,125,170,155,175,222,181,91
HG001_01554,942,583,1081,1289,796,710,497
HG001_00156,8,13,7,43,10,9,15
HG001_00816,5,12,16,17,7,13,22
HG001_01263,102,42,123,139,59,37,73
HG001_01503,768,2106,1235,1310,2057,1534,1239
HG001_02048,18,46,26,44,46,50,22
HG001_02664,632,149,1067,730,166,189,99
HG001_00277,25,33,23,50,44,18,23
HG001_00339,62,47,74,101,58,51,44
HG001_02104,11037,4542,20743,23902,3512,1968,1969
HG001_02191,498,224,495,669,347,261,252
HG001_01463,10,49,6,23,70,59,40
HG001_00490,59,34,49,71,71,50,39
HG001_00558,2,4,1,7,9,8,7
HG001_00744,6,15,20,20,9,16,11
HG001_01027,611,810,785,759,1074,735,466
HG001_01787,4562,4393,7118,10147,3679,2662,2966
HG001_02055,655,1972,1385,1893,1319,1258,768
HG001_02414,281,279,395,351,348,246,145
HG001_00258,24,50,33,31,68,34,42
HG001_02321,1279,1528,1608,1845,1849,1711,1091
HG001_00078,1,0,4,7,0,0,1
HG001_02105,1855,1067,2792,4111,901,602,512
HG001_02400,65,84,82,101,102,81,37
HG001_02507,171,140,164,245,208,95,141
HG001_00778,425,463,758,808,395,334,130
HG001_02046,18,6,11,23,20,11,6
HG001_00610,436,243,485,730,287,193,156
HG001_00348,2,0,3,8,1,1,3
HG001_02587,1417,839,1403,1979,1215,632,812
HG001_00383,185,373,250,272,433,284,210
HG001_02526,33,22,36,41,37,24,21
HG001_02721,6,1,5,6,9,3,5
HG001_01333,31,209,25,35,345,253,411
HG001_02629,822,785,1561,1986,554,562,404
HG001_00559,5,2,4,6,9,6,0
HG001_01589,6389,7237,5867,7851,12054,5837,5673
HG001_02464,0,2,2,11,1,2,2
HG001_01944,2,2,6,2,5,4,3
HG001_02214,103,40,151,112,53,46,35
HG001_01079,755,515,1016,1140,566,397,278
HG001_01348,2,1,2,5,4,0,0
HG001_01748,16,13,23,22,18,17,12
HG001_00413,3123,5449,5298,5253,4959,3760,2762
HG001_02158,412,386,528,767,384,343,290
HG001_01310,3873,2495,5392,5088,2889,2651,1863
HG001_00264,90446,22460,230571,167922,14277,13732,9378
HG001_01396,14,18,14,35,20,22,12
HG001_02465,0,0,0,4,3,1,0
HG001_00648,5,17,7,5,29,14,12
HG001_00737,6,7,10,6,13,11,6
HG001_00124,6,3,12,13,3,6,0
HG001_00817,381,288,351,531,431,375,244
HG001_01397,5,8,7,14,9,8,10
HG001_01905,69,24,61,125,32,14,21
HG001_02610,3,4,4,9,6,4,2
HG001_00050,83,68,94,87,111,80,82
HG001_00243,19,41,19,47,45,29,15
HG001_00655,246,125,231,301,208,169,88
HG001_02173,5,3,9,8,5,5,2
HG001_02000,0,1,0,12,2,0,0
HG001_01144,958,1397,1083,1344,1774,1130,1145
HG001_02204,62,93,76,89,116,94,59
HG001_02630,1685,327,2160,2910,324,312,331
HG001_00896,324,318,378,366,460,278,365
HG001_02009,2,3,2,11,4,2,1
HG001_00086,323,161,287,473,237,156,75
HG001_00887,0,1,1,5,2,0,2
HG001_01636,52,59,49,74,87,49,43
HG001_01884,4,18,9,9,20,17,7
HG001_00693,13,6,13,20,11,5,6
HG001_00892,18,34,27,33,36,38,19
HG001_01779,348,567,682,1242,324,486,173
HG001_01842,207,414,348,323,391,493,209
HG001_00288,29,66,29,46,88,49,59
HG001_01722,3,5,9,8,5,4,0
HG001_02752,211,210,229,389,229,153,120
HG001_00270,378,150,412,487,208,111,62
HG001_00011,3,4,3,19,3,4,3
HG001_00901,3,5,3,6,10,10,4
HG001_01234,421,395,323,485,786,1009,463
HG001_01595,128,140,216,177,138,79,152
HG001_01903,7,13,15,10,15,9,10
HG001_02030,24,30,35,97,18,15,14
HG001_00492,5150,1575,6990,9094,1506,981,793
HG001_01559,576,1010,537,792,1451,912,624
HG001_01235,343,608,294,317,1307,1439,780
HG001_00151,2,2,2,18,1,1,2
HG001_00563,123,1261,114,122,2143,938,841
HG001_01261,4,115,9,9,134,61,46
HG001_00179,12,21,22,30,17,20,8
HG001_00545,2,2,2,4,6,3,1
HG001_02548,1,10,1,3,17,5,13
HG001_01199,206,403,193,250,622,492,399
HG001_01207,213,518,208,267,756,706,342
HG001_01344,3,3,3,3,10,7,2
HG001_00116,0,3,3,1,5,1,1
HG001_00298,7,5,5,3,26,16,10
HG001_00986,31,68,35,66,71,46,54
HG001_01882,8,27,16,25,22,12,15
HG001_02648,4,11,7,8,14,11,4
HG001_00340,279,156,281,380,216,136,100
HG001_00283,75,148,61,102,227,180,82
HG001_02128,1973,691,1780,4527,681,682,427
HG001_02737,136,508,190,192,563,842,362
HG001_01385,7,16,13,23,12,13,11
HG001_02225,89,235,94,157,269,279,118
HG001_01243,122,53,93,87,171,99,93
HG001_02402,43,36,95,56,30,27,15
HG001_00630,2435,1949,2143,3023,3087,1625,1487
HG001_00989,15,16,20,27,18,7,9
HG001_02352,205,345,224,312,413,298,246
HG001_00319,27,25,33,53,25,19,26
HG001_00893,120,125,128,179,155,88,103
HG001_01634,66,82,59,103,111,77,80
HG001_00696,810,884,755,893,1465,895,798
HG001_01908,364,183,371,437,273,196,248
HG001_02247,3126,1014,3539,3735,1361,593,597
HG001_02395,34,6,18,59,15,15,11
HG001_01126,444,696,434,527,1045,802,568
HG001_01197,18,6,11,20,20,13,6
HG001_01838,144,39,110,156,86,52,28
HG001_02669,458,1977,672,918,1731,1027,791
HG001_00039,5,2,6,9,4,0,2
HG001_00766,5,16,21,31,5,13,9
HG001_02351,44,37,35,50,70,39,29
HG001_02718,5,7,4,25,6,2,4
HG001_00081,55,128,86,95,122,99,51
HG001_00315,0,0,0,6,2,0,0
HG001_00377,4,7,4,10,10,4,6
HG001_01957,5,3,3,9,8,2,4
HG001_00720,910,1087,914,1186,1488,1016,733
HG001_00722,261,313,225,214,711,691,393
HG001_01290,117,107,87,157,180,104,145
HG001_00523,364,381,434,747,354,216,126
HG001_00649,176,154,161,175,279,182,137
HG001_02254,1164,615,1719,2166,516,464,548
HG001_02353,18,37,31,36,33,33,17
HG001_02487,187,198,203,198,300,238,217
HG001_02643,153,64,171,229,75,51,53
HG001_02458,95,40,132,191,30,37,30
HG001_00033,11,11,8,12,26,34,25
HG001_01083,68,177,76,79,243,186,125
HG001_00239,56,37,61,81,47,36,13
HG001_01510,224,217,354,424,172,217,230
HG001_02246,1150,442,1448,1206,585,211,237
HG001_02249,673,308,562,789,529,445,192
HG001_00130,1681,6424,2226,2259,7162,3588,2196
HG001_01135,60,106,65,43,202,159,152
HG001_01404,349,62,496,614,47,62,100
HG001_01431,875,380,825,1109,558,458,291
HG001_01993,0,0,1,0,5,0,0
HG001_00208,182,45,183,291,53,45,37
HG001_01282,189,361,172,151,731,478,243
HG001_02226,112,132,146,128,166,170,73
HG001_00568,97,167,77,98,314,184,178
HG001_02479,189,219,214,218,299,288,193
HG001_00356,5,5,5,12,7,3,4
HG001_00403,35,38,33,25,84,56,48
HG001_01676,194,87,221,222,121,86,49
HG001_02047,3,0,5,9,0,2,1
HG001_02320,466,635,746,1396,413,359,203
HG001_00287,47,49,42,70,68,40,49
HG001_00489,6,1,2,12,6,4,4
HG001_00524,20,21,20,48,20,29,16
HG001_01826,334,425,304,331,756,872,349
HG001_01920,29,37,23,21,87,32,50
HG001_02002,0,0,0,6,1,0,1
HG001_02006,2,7,5,2,11,2,2
HG001_01558,126,182,86,125,397,287,183
HG001_00082,125,81,159,117,117,124,73
HG001_00891,42,17,46,104,13,10,4
HG001_00941,15,31,29,19,32,38,15
HG001_01314,305,98,270,394,152,142,91
HG001_02412,2,6,5,8,5,9,5
HG001_02707,0,0,2,4,0,0,1
HG001_00471,126,124,192,127,145,180,152
HG001_02387,27,66,29,38,85,55,23
HG001_02194,0,14,0,1,23,14,2
HG001_02556,246,239,445,466,171,235,171
HG001_02580,0,1,4,2,1,0,1
HG001_00308,3,0,1,7,4,6,3
HG001_01847,115,107,196,165,93,105,111
HG001_00947,69,135,134,111,109,101,85
HG001_01233,10,14,13,15,18,13,6
HG001_02470,0,6,1,0,12,4,4
HG001_00241,194,155,264,427,115,224,173
