,ctrl4,ctrl5,ctrl6,IP1,IP2,IP3
SAOUHSC_01148,10257,12915,1853,6945,6253,5201
SAOUHSC_01149,53145,68869,5726,23383,23144,16317
SAOUHSC_01150,89323,102630,44023,43095,38375,28621
SAOUHSC_01152,2923,4175,347,2321,2014,1577
SAOUHSC_01153,18053,20515,1417,16384,14720,13225
SAOUHSC_01154,21514,20828,5993,23307,22004,18135
SAOUHSC_01155,6451,4987,517,7046,5135,6699
SAOUHSC_00118,5609,13718,4275,2516,2862,1706
SAOUHSC_01156,5526,7506,267,7455,6462,6168
SAOUHSC_01158,20512,26911,5277,28675,21688,23578
SAOUHSC_01159,7804,11387,3074,5440,3983,3217
SAOUHSC_01160,1949,2460,175,1417,1119,843
SAOUHSC_01161,268,426,22,262,124,191
SAOUHSC_01162,1353,1901,168,1488,1344,1555
SAOUHSC_01163,6208,7514,1483,9274,7930,8269
SAOUHSC_01164,1918,1424,146,2390,1403,1354
SAOUHSC_01165,7363,2603,140,1635,1059,1136
SAOUHSC_01166,12081,5148,643,1289,864,895
SAOUHSC_00119,5308,14213,2408,2824,3058,1790
SAOUHSC_01168,17896,7098,1216,2470,1807,1781
SAOUHSC_01169,13759,4353,323,2160,1514,1486
SAOUHSC_01170,35608,17331,4121,7707,5070,6104
SAOUHSC_01171,5157,3214,319,1854,1308,1550
SAOUHSC_01172,4171,2194,287,1908,1153,1587
SAOUHSC_01173,2519,3043,159,2066,1360,1585
SAOUHSC_01174,2690,2424,635,3180,2441,2248
SAOUHSC_01175,7835,6644,520,10569,9119,6883
SAOUHSC_01176,19203,24546,1936,6161,5507,5046
SAOUHSC_01177,5714,7068,746,2506,2310,2006
SAOUHSC_00120,5793,14334,5597,2788,3177,1841
SAOUHSC_01178,3008,3442,525,3068,2526,1998
SAOUHSC_01179,6124,6753,1814,7463,5619,5350
SAOUHSC_01180,510,471,25,1122,848,879
SAOUHSC_01181,13080,15611,2042,5930,6388,3357
SAOUHSC_01182,1722,2414,157,2542,2052,2131
SAOUHSC_01183,4359,6464,1201,6780,5758,5887
SAOUHSC_01184,5976,8156,1157,8860,6579,7312
SAOUHSC_01185,6678,9328,1634,9022,7266,7764
SAOUHSC_01186,3642,5783,1791,4684,4041,4386
SAOUHSC_01187,11589,14436,2647,29349,19733,26449
