,ctrl4,ctrl5,ctrl6,IP1,IP2,IP3
SAOUHSC_00154,10,9,0,37,26,22
SAOUHSC_01530,0,0,0,0,0,0
SAOUHSC_01531,0,0,0,0,0,0
SAOUHSC_01532,0,0,0,0,0,0
SAOUHSC_01533,0,0,0,0,0,0
SAOUHSC_01535,0,0,0,0,0,0
SAOUHSC_01536,0,0,0,1,0,0
SAOUHSC_01537,0,0,0,0,0,0
SAOUHSC_01538,0,0,0,0,0,0
SAOUHSC_01539,0,0,0,0,0,0
SAOUHSC_01540,0,0,0,0,0,0
SAOUHSC_00155,12920,12940,3496,6057,3841,3879
SAOUHSC_01541,0,0,0,0,0,0
SAOUHSC_01542,0,0,0,0,0,0
SAOUHSC_01543,0,0,0,0,0,0
SAOUHSC_01544,0,0,0,0,0,0
SAOUHSC_01545,0,0,0,0,0,0
SAOUHSC_01546,0,0,0,0,0,0
SAOUHSC_01547,0,0,0,0,0,0
SAOUHSC_01548,0,0,0,0,0,0
SAOUHSC_01549,0,0,0,0,0,0
SAOUHSC_01550,0,0,0,0,0,0
SAOUHSC_00156,6890,16961,1774,3272,3948,2180
SAOUHSC_01551,0,0,0,0,0,0
SAOUHSC_01552,0,0,0,0,0,0
SAOUHSC_01553,0,0,0,0,0,0
SAOUHSC_01554,0,0,0,0,0,0
SAOUHSC_01555,0,0,0,0,0,0
SAOUHSC_01556,0,0,0,0,0,0
SAOUHSC_01557,0,0,0,0,0,0
SAOUHSC_01558,0,0,0,0,0,0
SAOUHSC_01559,0,0,0,0,0,0
SAOUHSC_01560,0,0,0,0,0,0
SAOUHSC_00157,2481,8013,2481,2096,2819,1494
SAOUHSC_01561,0,0,0,0,0,0
SAOUHSC_01562,0,0,0,0,0,0
SAOUHSC_01563,0,0,0,0,0,0
SAOUHSC_01565,0,0,0,0,0,0
SAOUHSC_01566,0,0,0,0,0,0
SAOUHSC_01567,0,0,0,0,0,0
SAOUHSC_01568,0,0,0,0,0,0
SAOUHSC_01569,0,0,0,0,0,0
SAOUHSC_01570,0,0,0,0,0,0
SAOUHSC_01571,0,0,0,0,0,0
SAOUHSC_00018,14285,19461,6285,11750,10360,8738
SAOUHSC_00158,3425,9287,2963,3650,4628,2459
SAOUHSC_01572,0,0,0,0,0,0
SAOUHSC_01573,0,0,0,0,0,0
SAOUHSC_01574,0,0,0,0,0,0
SAOUHSC_A01514,0,0,0,0,0,0
SAOUHSC_01575,0,0,0,0,0,0
SAOUHSC_01576,0,0,0,0,0,0
SAOUHSC_01577,0,0,0,0,0,0
SAOUHSC_01578,0,0,0,0,0,0
SAOUHSC_01579,0,0,0,0,0,0
SAOUHSC_01580,0,0,0,0,0,0
SAOUHSC_00160,1822,3769,387,2757,3150,1787
SAOUHSC_01582,0,0,0,0,0,0
SAOUHSC_01583,2013,2281,341,4929,3366,4680
SAOUHSC_01584,472,657,95,977,713,857
SAOUHSC_01585,9295,12562,1771,10096,7740,8331
SAOUHSC_01586,7442,7600,1424,6723,5528,5124
SAOUHSC_01587,3180,3777,661,4011,3135,3319
SAOUHSC_01588,1087,1243,217,1485,1073,1118
SAOUHSC_01589,2972,2701,266,2695,1933,2119
SAOUHSC_01590,583,1013,92,440,323,256
SAOUHSC_01591,3099,3644,285,7948,7251,6193
SAOUHSC_00161,123,276,10,114,54,67
SAOUHSC_01592,3851,3502,352,7368,5707,5131
SAOUHSC_01593,793,980,89,417,348,308
SAOUHSC_01594,4432,5460,676,2107,1758,1654
SAOUHSC_01595,382,515,96,254,235,154
SAOUHSC_01596,1464,1366,132,863,718,566
SAOUHSC_01597,4168,4934,669,3598,2669,2775
SAOUHSC_01598,2908,2805,504,1817,1183,1208
SAOUHSC_01599,38133,40415,3754,22469,17564,12232
SAOUHSC_01600,11835,10469,836,10567,9242,7390
SAOUHSC_01601,1332,1838,535,6698,5135,4430
SAOUHSC_00162,4580,5816,664,3346,2688,2089
SAOUHSC_01602,622,748,100,1292,1015,812
SAOUHSC_01603,4,2,0,20,5,13
SAOUHSC_01604,6469,7911,1750,2595,2428,1325
SAOUHSC_01605,27962,26419,4815,19559,16082,11916
SAOUHSC_01606,3497,4116,760,3736,3077,2182
SAOUHSC_01607,111,133,27,57,53,57
SAOUHSC_01608,10,7,0,10,10,9
SAOUHSC_01609,2854,3222,241,2008,1469,1515
SAOUHSC_01610,1714,2011,557,1352,1009,825
SAOUHSC_01611,9389,9163,1603,23159,14507,16644
SAOUHSC_00163,3114,4836,249,1250,1037,784
SAOUHSC_01612,5811,6039,1304,13840,9190,9636
SAOUHSC_01613,5447,5269,1805,13456,8353,9370
SAOUHSC_01614,5032,5371,1056,12868,8909,9215
SAOUHSC_01615,5159,6659,922,8535,5184,5388
SAOUHSC_01617,1512,1643,61,1382,745,720
SAOUHSC_01618,5292,7409,1621,5651,4504,4087
SAOUHSC_01619,1032,931,73,795,668,564
SAOUHSC_01620,8655,9127,1070,6168,5107,4286
SAOUHSC_01621,5488,6627,474,3784,3222,2780
SAOUHSC_01622,3571,4300,981,2323,1858,1645
SAOUHSC_00164,2696,3151,290,1221,1132,714
SAOUHSC_01623,9834,10942,2897,7175,6167,5165
SAOUHSC_01624,4077,4535,1258,2909,2666,2060
SAOUHSC_01625,17598,14986,2531,9880,8101,6823
SAOUHSC_01626,6200,10145,1449,2773,2047,1649
SAOUHSC_01627,3093,3224,127,2129,1274,1499
SAOUHSC_01628,741,721,53,591,346,416
SAOUHSC_01629,4109,4412,1369,4220,2764,2961
SAOUHSC_01630,4427,4221,553,2932,2043,1687
SAOUHSC_01632,6847,7734,2761,4542,3878,2878
SAOUHSC_01633,4845,5787,844,3002,2854,2054
SAOUHSC_00166,2855,5041,487,1752,1589,1166
SAOUHSC_01634,2470,3252,360,1545,1220,952
SAOUHSC_01635,3505,3876,261,1815,1753,1003
SAOUHSC_01636,2,3,2,1,2,1
SAOUHSC_01637,55,91,4,58,38,50
SAOUHSC_01638,78,67,2,101,73,79
SAOUHSC_01639,39,29,1,49,35,35
SAOUHSC_01640,37,40,4,64,44,67
SAOUHSC_01641,119,76,4,182,133,183
SAOUHSC_01643,260,254,31,501,291,294
SAOUHSC_01644,6827,7119,912,3964,3061,2905
SAOUHSC_00167,671,778,205,3917,2479,2782
SAOUHSC_01645,2356,3156,322,1226,1183,1050
SAOUHSC_01646,5729,6023,2768,3019,2617,2284
SAOUHSC_01647,488,665,62,174,174,192
SAOUHSC_01648,2017,2682,681,796,740,641
SAOUHSC_01649,2750,3292,276,945,825,819
SAOUHSC_01650,1665,2522,225,588,456,440
SAOUHSC_01651,7304,5065,323,6283,4130,3860
SAOUHSC_01652,10776,10862,1663,6383,5696,4139
SAOUHSC_01653,52504,69138,9852,27552,26736,16646
SAOUHSC_01655,696,902,34,2525,1886,1665
SAOUHSC_00168,355,349,43,1659,1251,1310
SAOUHSC_01656,1628,1883,96,5406,4027,3389
SAOUHSC_01657,1590,1961,92,5199,3713,3306
SAOUHSC_01658,8366,10923,2168,14692,11872,12760
SAOUHSC_01659,9056,11688,1621,13871,11723,12039
SAOUHSC_01660,7030,7838,1317,9237,8394,6341
SAOUHSC_01661,3607,4048,419,5273,4287,3822
SAOUHSC_01662,22573,17472,3626,36721,27461,23085
SAOUHSC_01663,13441,11876,1510,30104,20787,20125
SAOUHSC_01664,2803,2807,470,2559,1815,1768
SAOUHSC_01665,1572,1461,105,1379,850,983
SAOUHSC_00169,161,179,35,984,712,759
SAOUHSC_01666,74178,69498,12868,30440,26329,18884
SAOUHSC_01667,3071,3010,468,5112,3683,3990
SAOUHSC_01668,3083,3016,283,5337,3663,3976
SAOUHSC_01669,296,395,18,519,405,352
SAOUHSC_01670,1097,1015,51,1761,1094,1158
SAOUHSC_01671,898,862,52,1213,665,914
SAOUHSC_01672,2085,2340,222,2852,2002,1871
SAOUHSC_01673,4671,5958,636,4524,3215,3166
SAOUHSC_01675,28826,34918,11908,32885,24923,19586
SAOUHSC_01676,29656,28097,8626,32342,23698,18822
SAOUHSC_00019,8551,5214,3211,6988,6273,6865
SAOUHSC_00170,339,512,99,1753,1148,1376
SAOUHSC_01677,17626,15689,3182,17029,12699,11034
SAOUHSC_01678,39700,18607,3087,32793,26416,19479
SAOUHSC_01679,11444,13923,2118,11052,12314,7924
SAOUHSC_01680,2654,3166,320,3307,3696,2495
SAOUHSC_01681,10557,5614,1135,37820,42425,29526
SAOUHSC_01682,9246,5226,1427,30329,40797,26538
SAOUHSC_01683,111028,25745,5851,607689,674023,450077
SAOUHSC_01684,30173,5874,195,164739,192093,128796
SAOUHSC_01685,26517,4294,214,121466,126345,105123
SAOUHSC_01686,924,1139,212,1746,1518,1407
SAOUHSC_00171,1056,1219,300,5229,4505,4242
SAOUHSC_01687,287,429,344,340,338,299
SAOUHSC_01688,12145,12188,2471,13758,9974,11143
SAOUHSC_01689,10647,11624,444,8693,7854,6303
SAOUHSC_01690,1403,1431,90,4693,3106,4346
SAOUHSC_01691,1785,1960,195,1891,1485,1592
SAOUHSC_01692,3701,4084,430,2184,1951,1443
SAOUHSC_01693,880,1062,117,1282,952,1012
SAOUHSC_01694,6260,6088,591,4998,3925,3547
SAOUHSC_01695,3903,5405,892,3336,2909,2446
SAOUHSC_01696,4909,6284,1568,2890,2834,2230
SAOUHSC_00172,454,433,24,2718,2144,2280
SAOUHSC_01697,2668,3691,633,2778,2224,2110
SAOUHSC_01698,705,685,48,631,533,477
SAOUHSC_01699,2064,2264,280,1953,1521,1427
SAOUHSC_01700,3904,4048,525,3990,3193,2796
SAOUHSC_01701,1933,2289,214,1893,1601,1490
SAOUHSC_01702,2036,2112,140,1738,1446,1201
SAOUHSC_01703,3,17,1,2,2,5
SAOUHSC_01704,135,209,12,66,44,68
SAOUHSC_01705,206,324,30,417,279,258
SAOUHSC_01706,1653,2403,116,2079,1457,1342
SAOUHSC_00173,1110,1487,86,41046,24809,35288
SAOUHSC_01707,1596,2091,139,1764,1415,1102
SAOUHSC_01708,866,1441,203,958,830,689
SAOUHSC_01709,1765,3604,503,1568,1580,1035
SAOUHSC_01710,442,915,52,301,281,209
SAOUHSC_01711,1354,2171,274,738,654,429
SAOUHSC_01712,1242,1856,319,486,496,259
SAOUHSC_01714,9353,9399,889,9445,7352,6788
SAOUHSC_01715,6549,8160,1359,7155,6324,5288
SAOUHSC_01716,7102,6608,1720,8768,7574,6371
SAOUHSC_01717,2932,3268,428,4039,3727,2864
SAOUHSC_00174,1759,2428,491,3064,3430,1865
SAOUHSC_01718,980,1003,35,1176,827,943
SAOUHSC_01719,9650,12769,4055,6253,4626,4813
SAOUHSC_01720,10848,20437,3910,5798,5301,4832
SAOUHSC_01721,9009,13664,1479,4160,3182,3042
SAOUHSC_01722,13018,16112,4573,7652,5761,6821
SAOUHSC_01723,2984,3407,482,5628,4254,4333
SAOUHSC_01724,573,708,53,576,472,420
SAOUHSC_01725,6882,7204,1733,8825,7345,6043
SAOUHSC_01726,1874,2332,353,2377,1830,1660
SAOUHSC_01727,9593,12968,1628,9619,8143,7068
SAOUHSC_00175,299,415,79,548,418,352
SAOUHSC_01728,1987,1985,575,2438,1834,1529
SAOUHSC_01729,48559,86324,6277,12360,9706,10116
SAOUHSC_01730,24991,49597,3136,8423,6721,5212
SAOUHSC_01732,4610,8040,2255,2908,2064,1936
SAOUHSC_01733,62,27,2,117,74,62
SAOUHSC_01734,9466,8921,1292,7734,6925,5385
SAOUHSC_01735,5854,4829,435,3786,3458,2243
SAOUHSC_01736,180,134,58,167,103,115
SAOUHSC_01737,5928,8306,2002,3687,3140,2760
SAOUHSC_01738,1634,2143,301,1186,982,917
SAOUHSC_00176,250,354,72,1057,898,751
SAOUHSC_01739,7296,11151,868,3810,2937,2602
SAOUHSC_01741,4270,5148,879,1865,1689,1269
SAOUHSC_01742,20752,27768,4505,9150,7297,6285
SAOUHSC_01743,3288,3157,527,5154,3082,3984
SAOUHSC_01744,4586,4740,421,9296,5588,7228
SAOUHSC_01746,16242,17540,1928,12549,9684,9430
SAOUHSC_01747,5965,5230,471,4151,3557,2693
SAOUHSC_01748,6337,8878,1437,7825,7513,5998
SAOUHSC_01749,3943,6051,1043,6406,6332,5279
SAOUHSC_01750,5391,8088,2427,7267,7217,5869
SAOUHSC_00177,325,529,111,1307,1230,919
SAOUHSC_01751,3574,4935,404,4119,3817,3245
SAOUHSC_01752,3026,2143,312,2440,2466,1750
SAOUHSC_01753,11294,16357,3362,11654,11574,9052
SAOUHSC_01755,28725,31799,12335,57239,54803,47527
SAOUHSC_01756,15311,19270,3112,32274,28907,28676
SAOUHSC_01757,40422,81359,11856,76565,75347,72416
SAOUHSC_01758,1704,1224,107,4332,3342,3995
SAOUHSC_01759,4839,5350,335,13190,11340,12054
SAOUHSC_01760,2856,3130,218,30825,21050,28316
SAOUHSC_01761,5337,6412,235,48830,32653,48128
SAOUHSC_00178,229,296,33,921,916,668
SAOUHSC_01762,1788,1426,90,3667,2681,3118
SAOUHSC_01763,368,239,48,3619,2777,3480
SAOUHSC_01764,277,158,8,1914,1623,2028
SAOUHSC_01765,48,31,1,302,139,376
SAOUHSC_01766,42049,50444,7384,14986,13674,11182
SAOUHSC_01767,53872,65673,11219,18376,18451,14176
SAOUHSC_01768,4416,5371,734,3045,2230,2325
SAOUHSC_01769,10553,7359,1274,6144,3961,4482
SAOUHSC_01770,763,571,20,568,309,321
SAOUHSC_01771,9004,10012,2039,11936,9352,9033
SAOUHSC_00179,382,562,226,1722,1753,1268
SAOUHSC_01772,3433,3473,603,4506,3776,3306
SAOUHSC_01773,1324,1183,102,2284,1863,1703
SAOUHSC_01774,5691,6244,968,8290,6633,6132
SAOUHSC_01775,4510,5341,1315,4113,3084,3322
SAOUHSC_01776,55636,66085,8528,28215,25936,20972
SAOUHSC_01777,1472,2016,289,1129,982,886
SAOUHSC_01778,24197,22743,5692,37966,29940,26121
SAOUHSC_01779,27814,25045,4407,65428,43909,50810
SAOUHSC_01780,54,205,30,36,31,84
SAOUHSC_01781,3052,4251,337,4151,3944,3664
SAOUHSC_T00018,5,4,3,8,2,6
SAOUHSC_00180,435,583,184,1718,1754,1247
SAOUHSC_01782,1923,3259,923,1944,2178,2006
SAOUHSC_01783,5,6,2,36,44,55
SAOUHSC_01784,9306,12243,1861,30152,24900,25115
SAOUHSC_01785,8252,11805,863,28545,22902,23387
SAOUHSC_01786,14354,17105,3303,43858,37612,36472
SAOUHSC_01787,31183,57310,9348,6165,4894,5961
SAOUHSC_01788,28150,80259,15009,6518,5586,4267
SAOUHSC_01789,18366,32497,1039,7041,6654,5048
SAOUHSC_01791,10548,12692,2154,7600,6724,6054
SAOUHSC_01792,12738,13461,2333,7034,6171,4919
SAOUHSC_00181,599,609,128,2189,2143,1531
SAOUHSC_01793,5893,7143,883,2513,2476,1848
SAOUHSC_01794,20078,22129,891,19848,27396,18757
SAOUHSC_01795,4219,6290,1216,4845,3279,3941
SAOUHSC_01796,4412,4912,555,3853,2968,3181
SAOUHSC_01797,11801,12016,1454,9059,6659,6377
SAOUHSC_01798,1267,1175,81,2392,1561,2427
SAOUHSC_01799,3945,3808,344,6099,4099,4532
SAOUHSC_01800,2565,3238,409,1294,936,909
SAOUHSC_A01723,14,8,0,18,23,17
SAOUHSC_01801,6290,5126,1032,14415,10026,9851
SAOUHSC_00182,876,984,44,675,441,466
SAOUHSC_01802,3276,2756,443,5940,4536,4201
SAOUHSC_01803,28811,36480,5076,7898,6193,4359
SAOUHSC_01804,14,6,1,9,7,11
SAOUHSC_01805,2,3,0,7,11,15
SAOUHSC_01806,38903,31292,11099,11428,8786,7068
SAOUHSC_01807,9402,13528,6964,4034,3542,2926
SAOUHSC_01808,6817,8404,1898,12431,7716,10177
SAOUHSC_01809,5211,6622,982,7922,5426,6178
SAOUHSC_01810,4507,6420,1880,6478,4170,4795
SAOUHSC_01811,18252,15993,2671,17652,13709,11872
SAOUHSC_00183,2309,1430,596,3406,4763,3716
SAOUHSC_01812,4227,4077,810,4573,3402,2921
SAOUHSC_01813,6033,5604,1057,5215,4068,3151
SAOUHSC_01814,9436,8985,1281,6802,5168,4801
SAOUHSC_01815,13045,12017,2398,7105,6617,5170
SAOUHSC_01816,4629,5441,1314,2835,1968,1976
SAOUHSC_01817,674,486,40,465,296,288
SAOUHSC_01818,12323,14245,3267,14317,14799,9342
SAOUHSC_01819,51324,46751,22976,19597,17167,8237
SAOUHSC_01820,8749,7147,1262,10651,8683,7079
SAOUHSC_01821,2814,2035,242,2098,1524,1243
SAOUHSC_00184,544,606,98,552,306,411
SAOUHSC_01822,9658,6469,671,6332,4478,3198
SAOUHSC_01823,1118,2028,189,1313,1239,1183
SAOUHSC_01824,1841,2797,702,2406,2364,2045
SAOUHSC_01825,1433,2093,137,1829,1556,1463
SAOUHSC_01826,213,151,61,223,188,137
SAOUHSC_01827,26870,25676,2961,26650,18288,18833
SAOUHSC_01828,1997,2160,636,1231,811,797
SAOUHSC_01829,40803,47800,10046,65982,67959,55947
SAOUHSC_A01754,87,89,13,128,59,72
SAOUHSC_01830,711,1089,197,1029,722,796
SAOUHSC_00185,943,1430,156,877,528,589
SAOUHSC_01831,1807,2173,375,1326,1131,762
SAOUHSC_01832,18359,23660,3912,1429,1292,778
SAOUHSC_01833,17474,22295,3140,2924,2366,2013
SAOUHSC_01834,209,234,46,117,95,91
SAOUHSC_01835,7252,10719,743,2646,2036,2253
SAOUHSC_01836,5022,5852,795,7847,5690,5892
SAOUHSC_01837,2700,3248,543,1533,1122,1037
SAOUHSC_01838,8091,9190,2180,3905,2989,1852
SAOUHSC_01839,1553,1828,243,1200,754,719
SAOUHSC_01840,831,1108,64,599,341,439
SAOUHSC_00186,742,859,120,549,347,369
SAOUHSC_01841,0,0,1,1,0,0
SAOUHSC_01843,1156,1362,147,2757,1856,1671
SAOUHSC_01844,3,5,2,7,7,6
SAOUHSC_01845,16505,21580,5719,11006,9087,5561
SAOUHSC_01846,8449,16611,2827,3945,4547,2424
SAOUHSC_01847,3609,4335,659,1087,1112,640
SAOUHSC_01849,4518,5986,1410,2092,2224,1213
SAOUHSC_01850,17447,27805,2308,20385,14065,13232
SAOUHSC_01851,3,1,1,1,1,2
SAOUHSC_01852,22569,39246,5376,5431,3672,3658
SAOUHSC_00187,115798,174349,48883,12460,9991,7131
SAOUHSC_01853,24,27,1,19,19,15
SAOUHSC_01854,41186,52115,13573,26580,21368,17624
SAOUHSC_01855,55430,32274,6482,37134,28451,20945
SAOUHSC_01856,12958,18497,2218,10327,7766,7312
SAOUHSC_01857,28655,37079,8337,20302,14999,13643
SAOUHSC_01858,2348,2863,933,1544,1038,971
SAOUHSC_01859,2202,1844,339,1671,1141,1160
SAOUHSC_01860,4941,4507,1302,2110,1408,1263
SAOUHSC_01861,3517,3943,1146,3496,2182,2219
SAOUHSC_01863,4341,4127,220,2033,1315,1588
SAOUHSC_00188,39163,70520,26682,5515,4079,3005
SAOUHSC_01864,2533,3229,888,2149,1634,1356
SAOUHSC_01865,12610,17987,2877,15047,11974,12243
SAOUHSC_01866,19458,21896,7836,16938,13676,12239
SAOUHSC_01867,4829,6217,1106,4226,2937,3259
SAOUHSC_01868,9696,11421,5743,3116,2394,1986
SAOUHSC_01869,19200,32877,3990,7485,7913,5982
SAOUHSC_01870,4624,7053,995,4426,3347,3507
SAOUHSC_01871,6635,6268,1331,4567,3433,3169
SAOUHSC_01872,2247,2973,808,1998,1829,1467
SAOUHSC_01873,2272,2314,339,6832,4625,4995
SAOUHSC_00189,207,484,46,140,88,90
SAOUHSC_01874,828,1502,652,480,353,354
SAOUHSC_01875,6943,7673,2359,3660,3133,2542
SAOUHSC_01876,2873,2276,600,2449,2331,1635
SAOUHSC_01877,3918,3965,1039,3037,2291,1805
SAOUHSC_01878,2834,2925,228,2353,1674,1472
SAOUHSC_01879,7485,6620,444,6815,5197,4855
SAOUHSC_01880,64,91,7,120,82,86
SAOUHSC_01881,22,23,1,43,18,28
SAOUHSC_01882,5857,6021,893,7399,5044,4721
SAOUHSC_01883,12,36,5,15,8,25
SAOUHSC_T00011,186,23,137,262,209,110
SAOUHSC_00190,1622,2188,204,1403,889,977
SAOUHSC_01884,28228,40018,5538,4814,6063,2728
SAOUHSC_01886,1430,1268,293,1237,1234,944
SAOUHSC_01887,2480,2973,470,2630,3052,2415
SAOUHSC_01888,1309,1341,305,1486,1622,1230
SAOUHSC_01889,2951,2919,1007,2713,3215,2331
SAOUHSC_01890,887,896,160,901,669,656
SAOUHSC_01891,323,493,13,545,480,419
SAOUHSC_01893,1162,1503,64,1934,1688,1812
SAOUHSC_01894,620,609,168,952,843,881
SAOUHSC_01895,9286,12003,1654,8638,7199,6504
SAOUHSC_00191,4808,4511,95,4082,3290,2197
SAOUHSC_01896,1781,2173,115,1173,784,811
SAOUHSC_01897,1415,1416,73,877,618,909
SAOUHSC_01898,1854,2556,67,1026,759,1048
SAOUHSC_01899,1922,2348,102,1212,897,1074
SAOUHSC_01900,536,375,32,1312,757,1063
SAOUHSC_01901,12284,12695,876,7210,5351,2907
SAOUHSC_01902,298,248,26,58,26,43
SAOUHSC_01903,150,203,22,65,51,46
SAOUHSC_01904,102,141,14,119,76,77
SAOUHSC_01905,5,4,0,12,5,10
SAOUHSC_00192,5985,3028,298,6171,9549,5361
SAOUHSC_01906,41,7,26,27,19,13
SAOUHSC_01907,2140,2918,1099,1296,1122,599
SAOUHSC_01908,10542,11678,576,9595,7715,6720
SAOUHSC_01909,9261,11345,2793,9142,6995,7254
SAOUHSC_01910,32708,38639,5753,39050,40121,24449
SAOUHSC_01911,322,362,26,281,244,201
SAOUHSC_01912,494,346,121,973,662,588
SAOUHSC_01913,120,144,17,214,186,159
SAOUHSC_01914,1463,1843,215,933,691,579
SAOUHSC_01915,846,791,177,978,638,570
SAOUHSC_00193,327,196,2,260,410,301
SAOUHSC_01916,993,991,305,990,680,548
SAOUHSC_01917,96,116,5,527,330,379
SAOUHSC_01918,11350,9201,1174,11131,14707,8963
SAOUHSC_01919,14257,8896,1830,17847,21690,14215
SAOUHSC_01920,474,388,27,426,358,334
SAOUHSC_01921,223,129,6,249,166,160
SAOUHSC_01922,398,388,36,551,328,358
SAOUHSC_01923,262,259,24,117,71,107
SAOUHSC_01924,21,35,2,47,17,19
SAOUHSC_01925,31,29,33,26,24,28
SAOUHSC_00194,118,173,34,401,575,332
SAOUHSC_01926,340,786,167,408,335,308
SAOUHSC_01927,175,204,14,167,124,144
SAOUHSC_01928,152,284,7,208,170,121
SAOUHSC_01929,289,240,4,579,415,428
SAOUHSC_01930,452,709,55,408,242,510
SAOUHSC_01931,1110,1325,222,797,463,704
SAOUHSC_01932,1267,1613,419,857,522,547
SAOUHSC_01933,696,835,314,404,270,222
SAOUHSC_01934,6,6,3,23,6,13
SAOUHSC_01935,182,220,59,938,380,386
SAOUHSC_00195,842,1835,496,3123,5635,2100
SAOUHSC_01936,270,343,79,889,490,412
SAOUHSC_01937,3,6,2,9,0,6
SAOUHSC_01938,154,252,85,591,291,238
SAOUHSC_01939,406,682,146,1277,783,617
SAOUHSC_01941,446,975,175,1187,687,613
SAOUHSC_01942,455,788,174,1259,685,564
SAOUHSC_01943,66,91,8,63,51,56
SAOUHSC_01944,993,744,101,991,548,575
SAOUHSC_01945,1327,2314,216,679,563,535
SAOUHSC_01947,1403,1360,598,594,560,380
SAOUHSC_00196,1729,5410,575,4067,8447,2700
SAOUHSC_01948,2683,3178,455,1193,1327,809
SAOUHSC_01949,1358,1741,203,1224,976,691
SAOUHSC_01950,45,47,6,72,47,51
SAOUHSC_01951,208,265,25,380,191,232
SAOUHSC_01952,509,686,39,753,443,523
SAOUHSC_01953,188,170,6,415,265,189
SAOUHSC_01954,304,335,39,636,442,407
SAOUHSC_01955,187,182,15,449,306,300
SAOUHSC_01956,359,300,25,683,543,594
SAOUHSC_01957,2804,4766,471,1931,1394,1537
SAOUHSC_00197,1823,5280,868,1924,5238,1227
SAOUHSC_T00050,232,172,179,160,129,82
SAOUHSC_T00019,436,112,558,683,498,401
SAOUHSC_T0009,43,2,34,67,38,35
SAOUHSC_T00022,290,84,149,418,364,322
SAOUHSC_T00026,303,254,203,373,309,296
SAOUHSC_T00042,832,700,415,876,704,703
SAOUHSC_T00012,96,51,91,60,48,24
SAOUHSC_T00038,463,227,473,228,175,163
SAOUHSC_01958,1505,2122,491,799,724,563
SAOUHSC_01959,941,1351,437,1313,895,1055
SAOUHSC_00198,7373,14204,1263,3403,8142,1946
SAOUHSC_01960,5075,6370,1208,5597,5147,4286
SAOUHSC_01961,2977,3812,990,2744,2668,1981
SAOUHSC_01962,3321,4814,587,2826,2678,2113
SAOUHSC_01963,3,2,3,1,0,3
SAOUHSC_01964,13803,19017,696,3261,2970,1727
SAOUHSC_01966,5153,6348,789,2686,1756,1751
SAOUHSC_01967,3993,4028,460,1635,1267,912
SAOUHSC_01968,4521,5454,196,2679,2232,1964
SAOUHSC_01969,34243,34026,15882,10024,8663,6124
SAOUHSC_01971,539,469,40,161,125,112
SAOUHSC_00199,23753,38317,4523,4256,9300,2319
SAOUHSC_01972,10420,15290,1928,53879,39509,49965
SAOUHSC_01973,10928,12747,2094,8670,6107,6194
SAOUHSC_01974,23440,27630,3622,14410,11005,10929
SAOUHSC_01975,10811,12704,1089,3273,2741,2371
SAOUHSC_01976,23,26,2,76,61,50
SAOUHSC_01977,10638,11897,844,8053,6269,4924
SAOUHSC_01978,3365,3634,287,3649,2461,2614
SAOUHSC_01979,1126,1187,85,1568,1186,1040
SAOUHSC_01980,1996,2484,117,960,740,644
SAOUHSC_01981,3539,3690,303,2054,1630,1292
SAOUHSC_00020,3903,5968,919,3848,3535,2678
SAOUHSC_00200,899,1262,170,1101,614,732
SAOUHSC_01982,5321,5233,931,2805,2501,1695
SAOUHSC_01983,9917,10274,2958,3990,3381,2234
SAOUHSC_01984,759,651,46,403,312,335
SAOUHSC_01985,661,778,270,485,392,330
SAOUHSC_01986,10068,8434,1044,6195,4542,3778
SAOUHSC_01987,29401,28315,3781,16780,14693,10510
SAOUHSC_01988,1154,1547,310,973,830,743
SAOUHSC_01989,2954,3838,737,2157,1859,1692
SAOUHSC_01990,655,1458,360,1877,1229,1593
SAOUHSC_01991,595,1896,156,2115,1485,1839
SAOUHSC_00201,1443,1704,151,2659,1356,1954
SAOUHSC_01992,3751,3887,661,2684,2592,2427
SAOUHSC_01993,0,0,0,0,0,0
SAOUHSC_T00031,4520,3331,6912,3184,1946,1759
SAOUHSC_T00023,1787,1465,1228,4267,2695,3753
SAOUHSC_T00015,305,164,133,631,505,403
SAOUHSC_T00016,77,11,24,139,120,97
SAOUHSC_T00027,552,269,305,1274,1192,996
SAOUHSC_T00056,572,416,547,1500,1491,932
SAOUHSC_00202,493,668,105,381,219,245
SAOUHSC_T00057,1375,2616,922,1878,1545,1589
SAOUHSC_T00054,50,9,10,118,98,78
SAOUHSC_T00043,0,0,0,0,0,0
SAOUHSC_A01909,0,0,0,0,0,0
SAOUHSC_T00013,0,0,0,0,0,0
SAOUHSC_T00039,520,118,552,1621,974,832
SAOUHSC_T00051,1134,339,542,3867,3350,2608
SAOUHSC_A01910,0,0,0,0,0,0
SAOUHSC_T00014,0,0,0,0,0,0
SAOUHSC_T00052,0,0,0,0,0,0
SAOUHSC_00203,525,789,108,211,105,129
SAOUHSC_T00040,0,0,0,0,1,1
SAOUHSC_T00041,2031,1347,1270,5312,3659,3991
SAOUHSC_T0002,242,159,165,667,561,421
SAOUHSC_T00045,433,601,337,746,478,491
SAOUHSC_T0007,1581,719,1038,3543,2970,2085
SAOUHSC_T00032,164,95,56,387,305,211
SAOUHSC_T00024,6,5,1,16,21,19
SAOUHSC_T00033,1826,64,1203,3100,2429,1338
SAOUHSC_T00036,53,10,14,101,136,66
