GeneName,X50494,X50495,X50496,X50497,X50498,X50499,X50501,X50502,X50503,X50504,X50505,X50628
EW031_RS14590,99,157,185,353,42,80,103,18,67,75,44,31
EW031_RS14595,66,84,104,220,36,91,87,17,45,48,34,40
EW031_RS14600,292,305,472,840,231,239,866,1374,701,933,404,359
EW031_RS14605,6818,6872,5114,7685,3672,8311,1962,2003,2888,3351,3830,3368
EW031_RS14610,2051,1959,1371,2538,922,2001,792,583,1023,1073,1142,837
EW031_RS14615,1039,945,1177,1268,887,1039,666,243,461,514,387,163
EW031_RS14620,1598,1129,919,1083,794,810,2188,1153,956,927,832,628
EW031_RS14625,475,512,479,728,294,243,647,114,354,283,234,92
EW031_RS14630,5,14,9,24,6,3,22,2,10,6,0,2
EW031_RS14635,417,641,819,1531,278,167,920,112,352,351,194,154
EW031_RS14640,419,408,627,619,601,691,599,258,388,458,404,271
EW031_RS14645,746,656,980,1073,855,1024,653,216,555,640,588,307
panB,713,567,718,818,759,1208,513,232,423,450,630,424
EW031_RS14655,1397,1307,1834,1231,2060,1785,960,575,657,667,539,428
budA,1232,1005,1892,1365,2893,2899,1499,953,1790,2047,1683,1510
EW031_RS14665,3195,1285,3649,1741,8775,15975,8515,16193,20658,26184,29020,33618
EW031_RS14670,267,390,405,192,758,349,140,82,71,84,49,28
EW031_RS14675,8497,8992,10188,2849,27108,14055,3669,5882,1817,2567,1851,1549
EW031_RS14680,903,957,1575,1588,1989,1839,970,384,392,526,259,164
EW031_RS14685,58,51,101,238,37,20,98,43,65,76,45,42
EW031_RS14690,17301,5777,7544,5368,19693,13206,56739,17504,28139,31361,33331,29917
mqo,49124,32300,42995,32694,49826,64279,36250,18469,32784,32057,44715,37073
EW031_RS14700,203,226,343,430,183,237,184,86,131,162,142,88
EW031_RS14705,5890,2969,3126,2488,4601,3799,5309,1834,3045,3406,2886,1902
EW031_RS14710,255,173,220,424,117,137,361,433,486,458,290,229
EW031_RS14715,208,156,201,440,138,163,129,39,89,84,92,49
betA,300,353,455,917,101,155,188,47,99,64,48,40
betB,334,319,412,890,51,105,156,25,114,76,66,24
EW031_RS14730,3,9,25,60,0,0,9,0,0,1,0,0
EW031_RS14735,565,603,661,706,529,1085,282,155,281,310,294,170
EW031_RS14740,213,294,463,987,160,106,198,131,198,132,101,67
EW031_RS14745,742,543,832,1226,449,304,254,135,190,150,120,78
EW031_RS14750,20,25,41,120,12,1,11,0,9,6,2,1
EW031_RS14755,4,3,12,13,13,3,3,2,1,4,1,0
nrdG,5503,4561,17191,2635,31262,7163,1568,1113,2355,2886,2346,1891
nrdD,19014,15633,54733,8903,93178,25090,3693,2911,6475,8345,8086,6838
