GeneName,X50470,X50471,X50472,X50473,X50474,X50475,X50476,X50477,X50478,X50480,X50481
EW029_RS12090,555,570,617,544,556,816,523,403,88,332,554
modB,563,533,573,781,556,929,601,333,104,290,582
modA,624,411,773,1101,530,1508,629,290,75,300,1187
fdhD,442,507,373,515,381,440,588,561,124,306,231
EW029_RS12110,670,1111,749,705,951,721,268,298,52,173,160
EW029_RS12115,744,920,698,1122,720,558,454,336,51,154,119
EW029_RS12120,561,855,450,952,527,326,567,437,67,190,175
EW029_RS12125,4796,9688,7999,2846,5794,3483,3561,4915,931,2431,2517
EW029_RS12130,449,142,180,1023,101,130,522,236,17,69,135
yut,242,92,84,637,81,40,279,100,9,47,18
EW029_RS12140,53,12,10,153,4,3,69,32,2,3,2
EW029_RS12145,119,22,25,216,18,7,119,59,2,19,0
ureC,577,353,236,943,231,150,460,279,46,98,82
ureE,156,127,100,273,85,75,125,99,13,59,73
EW029_RS12160,216,172,126,225,139,81,137,125,27,75,66
ureG,389,317,245,408,246,205,292,278,36,153,119
EW029_RS12170,436,396,338,375,311,265,254,315,65,175,175
EW029_RS12175,16781,24205,21556,18050,28004,17834,2470,4170,600,3146,2122
EW029_RS12180,86,61,63,65,65,35,91,95,6,38,9
EW029_RS12185,1980,1945,1593,2302,1808,899,2045,2513,443,2016,750
EW029_RS12190,314,296,171,410,256,108,236,315,64,174,73
EW029_RS12195,1167,1098,824,1089,985,603,1467,1537,349,1023,404
EW029_RS12200,16630,1701,3151,5521,1366,22541,3325,3245,2066,2708,5954
EW029_RS12205,616,1505,1175,1116,3515,783,3357,6765,7770,11573,3134
nhaC,2736,2176,1707,2054,1593,1986,1456,932,352,737,810
EW029_RS12215,1962,1675,1601,1733,1246,2532,1327,558,189,538,1194
EW029_RS12220,449,482,476,545,452,666,255,262,62,300,212
EW029_RS12225,1292,627,504,698,1068,1528,1568,593,178,277,963
EW029_RS12230,248,118,87,348,72,26,192,106,1,34,4
EW029_RS12235,3045,3248,3293,2569,2708,2015,5183,4281,1681,3897,5003
EW029_RS12240,1372,1230,1437,2180,1386,2252,943,859,159,695,968
EW029_RS12245,1037,996,1330,1480,1238,3029,759,835,269,774,1152
EW029_RS12250,112,40,139,175,112,351,65,66,23,81,98
EW029_RS12255,215,330,215,312,282,286,601,502,138,669,465
EW029_RS12260,2226,2632,1663,2854,2214,2066,7724,3772,1663,4532,3793
EW029_RS12265,2302,1237,918,1504,798,1328,2772,5835,718,1938,1566
EW029_RS12270,1828,802,528,1016,228,258,2904,6084,806,1785,737
EW029_RS12275,2674,2813,2508,3198,2246,1972,1880,4277,491,1876,1073
EW029_RS12280,2829,1546,2072,2113,1041,2898,733,1110,199,576,424
EW029_RS12285,149,64,83,228,60,36,114,95,12,34,14
EW029_RS12290,3880,4324,4172,4552,4869,3957,4516,6816,943,6210,2725
EW029_RS12295,4855,7523,5031,3776,6352,4878,2377,3416,908,1815,2013
EW029_RS12300,2229,2918,2606,2073,2553,1674,1140,1568,445,990,783
EW029_RS12305,1547,1777,1511,1671,1531,1058,664,1099,210,637,383
EW029_RS12310,287,313,343,360,322,316,240,357,84,215,151
EW029_RS12315,762,773,798,740,836,972,675,648,184,482,519
EW029_RS12320,398,372,276,618,461,292,355,341,42,178,147
EW029_RS12325,626,458,703,676,587,2569,1306,810,685,2522,3605
EW029_RS12330,746,380,332,1409,338,233,1156,709,275,720,817
EW029_RS12335,591,580,682,781,857,1169,254,180,34,161,160
EW029_RS12340,820,934,559,944,691,720,677,848,279,709,605
EW029_RS12345,899,764,485,1339,613,742,761,549,110,212,230
EW029_RS12350,225,218,195,461,314,223,239,181,56,131,79
EW029_RS12355,358,386,138,769,366,108,737,506,314,558,593
EW029_RS12360,340,233,114,856,180,68,416,217,22,76,46
EW029_RS12365,393,260,257,912,177,144,1034,856,159,514,693
hutU,786,278,262,1904,143,99,1338,788,107,306,513
EW029_RS12375,767,631,558,1144,510,233,589,858,114,347,276
EW029_RS12380,545,484,317,945,369,320,2184,1053,1074,1458,1191
EW029_RS12385,2210,1145,2086,2107,2325,6444,1780,1383,622,1427,3114
EW029_RS12390,711,436,576,762,513,1166,1148,776,321,956,1844
EW029_RS12395,516,431,473,603,495,841,554,500,137,373,453
EW029_RS12400,757,524,467,918,423,1328,871,625,170,517,760
EW029_RS12405,336,154,120,516,112,245,339,158,17,59,78
EW029_RS12410,16,10,10,50,5,5,19,13,0,6,4
EW029_RS12415,1543,1793,1960,1980,1464,1567,1447,1488,288,1086,1221
EW029_RS12420,749,693,729,885,527,602,748,629,107,324,605
EW029_RS12425,456,444,586,712,255,406,473,544,131,278,313
EW029_RS12430,255,203,138,315,186,187,211,186,36,100,97
EW029_RS12435,31,24,11,82,12,7,33,19,0,5,0
gltS,5249,2527,3919,3910,1474,3882,1527,2200,552,1111,1072
EW029_RS12445,1808,1783,1220,1561,1324,1543,1205,1249,258,664,839
corA,886,819,644,712,803,890,654,702,159,484,828
EW029_RS12455,866,706,671,754,674,778,767,881,188,656,516
EW029_RS12460,738,659,706,586,725,871,757,922,237,764,580
EW029_RS12465,1440,1469,1787,1336,1699,3405,1418,1761,558,1486,1723
EW029_RS12470,1556,1942,1897,1522,2276,2162,902,1013,221,738,703
EW029_RS12475,1205,793,759,1265,553,831,640,685,104,282,205
EW029_RS12480,332,140,166,490,87,220,240,136,14,49,33
EW029_RS12485,451,202,243,426,263,952,279,164,35,165,190
EW029_RS12490,1743,1233,752,1586,717,1030,1187,699,128,512,406
EW029_RS12495,56,25,21,75,12,19,53,19,5,34,3
EW029_RS12500,2622,2264,1954,1888,1710,2452,2243,1090,361,2122,1645
EW029_RS12505,123,67,82,119,55,102,48,18,8,36,32
EW029_RS12510,1669,3220,2373,1932,3422,3130,739,587,106,678,473
EW029_RS12515,1522,2205,1612,2233,2276,2430,637,455,75,444,359
EW029_RS12520,287,90,75,568,86,38,286,119,7,53,11
EW029_RS12525,321,113,102,779,93,76,340,121,7,54,16
EW029_RS12530,337,187,163,570,190,228,289,178,21,99,151
EW029_RS12535,735,624,508,962,552,676,546,552,125,431,378
EW029_RS12540,245,200,135,384,170,209,198,153,13,128,138
EW029_RS12545,265,167,173,355,204,256,178,146,37,119,137
EW029_RS12550,395,134,98,455,50,130,231,187,30,117,86
EW029_RS12555,377,275,181,483,315,137,282,304,31,152,120
EW029_RS12560,872,550,440,1077,682,265,671,590,63,315,205
mqo,4857,5291,2829,2858,1772,2119,5441,7160,1302,2746,2408
EW029_RS12570,14892,38977,58949,11406,41886,24629,95476,46753,21257,77730,102652
EW029_RS12575,3204,3783,3228,2699,2831,2213,3809,4904,819,3375,3165
EW029_RS12580,2068,3188,2971,2792,4926,4046,2974,1917,562,3672,2530
EW029_RS12585,164,82,66,347,55,105,184,95,12,37,39
EW029_RS12590,1041,730,1038,1163,679,1878,871,847,331,684,601
EW029_RS12595,267,228,225,408,97,101,537,381,146,268,181
EW029_RS12600,593,415,323,921,139,144,1086,766,271,426,429
EW029_RS12605,9,3,1,22,1,3,7,4,0,4,1
EW029_RS12610,2163,2185,1897,2363,2102,2297,1995,1142,1401,2096,2621
EW029_RS12615,10,7,3,19,5,8,9,6,0,2,0
EW029_RS12620,923,842,559,968,630,406,616,957,56,284,85
EW029_RS12625,2060,1341,1498,1718,1011,1682,968,1630,234,1084,558
EW029_RS12630,2407,1839,1972,1752,1323,1927,1337,2657,588,1971,1046
EW029_RS12635,16362,12807,11549,9501,8762,2854,20221,23116,3489,11230,7246
EW029_RS12640,3405,1839,1986,2056,1198,449,4412,6223,846,2237,436
EW029_RS12645,2055,2226,2194,1849,2938,2220,2038,2181,348,1681,1564
EW029_RS12650,676,1167,1070,664,1513,888,1186,1277,553,1398,796
EW029_RS12655,951,461,1328,1739,540,3069,479,262,135,399,619
EW029_RS12660,19257,23715,15418,13263,20027,16863,8643,13254,2916,6033,4074
EW029_RS12665,2127,1562,1556,1391,1984,2401,868,701,201,729,559
EW029_RS12670,1540,3291,3181,2068,5228,3219,2353,3059,944,3127,2780
EW029_RS12675,1442,1360,1239,1071,1570,1892,2294,2431,677,2719,1780
EW029_RS12680,56412,25627,26987,39545,9097,90029,856,708,162,900,969
EW029_RS12685,1919,677,773,1324,252,2812,50,36,2,25,24
EW029_RS12690,718,181,213,725,75,193,290,254,22,66,31
EW029_RS12695,269,117,136,316,91,100,210,165,17,76,42
EW029_RS12700,13863,6066,5744,8814,1604,10326,1748,1376,331,901,797
EW029_RS12705,27374,11622,10927,17936,3444,18285,4001,2864,521,2010,1855
EW029_RS12710,12132,5101,4756,7531,1655,7810,1789,1404,237,1043,1025
narI,12747,5344,4689,7676,1437,8089,1082,886,164,762,635
narJ,10448,4276,3514,6286,827,6720,210,129,24,122,140
narH,27254,10340,7497,15661,1777,18856,824,422,73,326,437
EW029_RS12730,31955,11956,9256,20649,3054,43220,1308,520,85,495,795
cobA,7742,3480,2435,4557,985,6751,788,316,87,229,369
nirD,1919,820,506,1184,240,1490,339,112,15,67,126
EW029_RS12745,5435,2522,1657,3893,745,7748,1382,544,144,460,967
EW029_RS12750,707,215,186,622,76,2288,230,98,30,103,262
EW029_RS12755,483,260,221,606,119,258,355,278,63,123,73
EW029_RS12760,3984,3545,4119,3057,2762,6220,7144,1687,1023,2202,4570
EW029_RS12765,491,244,617,831,349,974,826,118,58,181,480
EW029_RS12770,556,788,693,753,763,745,368,312,44,219,121
adcA,2069,1090,1832,3213,979,2640,620,541,70,550,391
EW029_RS12780,470,318,307,715,268,309,456,352,63,300,180
EW029_RS12785,421,240,232,513,224,261,379,328,81,274,188
EW029_RS12790,47,9,9,62,6,10,32,25,5,4,2
EW029_RS12795,611,592,460,775,454,655,635,820,110,484,494
EW029_RS12800,463,277,189,868,203,214,569,415,54,181,166
EW029_RS12805,2085,1751,1978,2092,1175,1806,1100,1565,254,771,567
EW029_RS12810,1683,3022,1934,1223,1697,1013,2097,3864,694,1873,1240
EW029_RS12815,1532,2597,1698,1070,1379,805,2110,3195,549,1611,987
EW029_RS12820,854,1316,729,979,826,469,1280,1514,259,816,669
EW029_RS12825,626,1112,331,1046,685,367,909,1234,355,853,749
EW029_RS12830,378,381,482,783,434,523,261,250,130,582,209
EW029_RS12835,1238,762,664,855,406,537,2012,2567,538,1700,1160
EW029_RS12840,544,490,306,856,453,405,712,329,95,241,236
EW029_RS12845,25,27,24,61,13,13,39,20,4,7,11
EW029_RS12850,45679,29043,20745,23190,17897,35284,51445,25822,4089,18192,30274
EW029_RS12855,142,35,41,465,18,12,209,78,4,36,7
EW029_RS12860,271,168,190,468,256,147,15926,3745,2830,12046,19183
EW029_RS12865,376,362,265,611,474,225,9795,1918,1346,3997,9501
EW029_RS12870,426,502,344,585,677,280,13331,2528,1685,5249,10695
EW029_RS12875,58,32,24,153,27,14,344,47,14,57,58
EW029_RS12880,243,100,97,418,84,52,470,145,26,93,65
EW029_RS12885,284,128,100,701,61,46,474,200,19,94,31
EW029_RS12890,329,89,66,680,51,47,393,171,12,50,13
bioA,472,129,107,1238,41,52,576,192,5,59,13
bioD,106,16,38,300,19,18,123,31,1,9,3
EW029_RS12905,10,4,3,30,1,0,22,9,0,2,0
EW029_RS12910,8,0,1,41,4,1,7,3,0,1,0
EW029_RS12915,265,173,125,600,189,60,309,224,17,69,16
EW029_RS12920,493,284,237,1083,179,113,1123,548,47,249,195
EW029_RS12925,328,234,238,646,131,82,738,497,68,281,318
EW029_RS12930,109,83,67,104,64,68,80,130,57,56,36
EW029_RS12935,336,160,135,757,105,91,385,292,32,75,35
EW029_RS12940,1242,1439,1022,1067,1158,1106,2130,1469,1081,1922,2223
EW029_RS12945,1889,2221,1457,1586,1741,1363,3219,1983,1054,3237,3136
EW029_RS12950,1556,2704,2166,1706,3534,3402,1164,1452,599,1044,1047
EW029_RS12955,342,185,149,487,106,143,267,170,29,88,63
EW029_RS12960,940,874,729,896,591,980,1502,1633,526,1130,827
EW029_RS12965,392,282,173,669,176,96,458,495,56,143,67
EW029_RS12970,655,602,561,867,339,256,724,984,255,479,559
EW029_RS12975,1416,2045,1657,1560,3005,2990,805,968,235,751,809
EW029_RS12980,2,1,0,2,1,1,0,1,0,1,0
EW029_RS12985,1185,1228,1083,1284,1593,2791,899,1082,299,597,666
EW029_RS12990,10,2,2,23,1,0,5,1,0,1,1
EW029_RS12995,1125,1108,972,1091,1273,1387,849,716,198,627,800
EW029_RS13000,806,559,631,1029,402,982,651,613,174,364,284
EW029_RS13005,53,60,35,82,34,42,32,40,5,22,15
EW029_RS13010,586,549,380,770,409,340,495,371,40,149,160
EW029_RS13015,1613,1464,1195,1814,1520,3146,1298,1005,244,612,619
EW029_RS13020,917,946,509,623,842,441,1160,750,310,659,682
EW029_RS13025,1373,1172,681,924,1036,565,1876,1037,305,933,1322
EW029_RS13030,700,456,363,723,447,253,951,437,126,419,697
EW029_RS13035,1074,583,389,959,576,496,1642,589,240,683,1574
EW029_RS13040,67,13,20,159,10,12,61,29,0,11,1
EW029_RS13045,34,10,9,60,6,6,26,13,0,4,2
EW029_RS13050,685,531,487,723,440,628,662,769,106,558,427
EW029_RS13055,869,1186,663,933,1365,701,577,557,103,268,160
EW029_RS13060,3914,5059,2910,3482,4072,1858,9752,8987,3424,8109,7098
EW029_RS13065,1913,1557,1298,1647,1516,1787,1598,1677,297,1021,385
fetB,202,115,60,321,65,67,415,362,130,175,127
EW029_RS13075,217,97,102,443,77,75,244,244,43,120,69
EW029_RS13080,1409,1544,981,1342,1179,904,1134,1370,429,608,451
EW029_RS13085,822,655,596,1048,856,736,533,420,102,522,331
EW029_RS13090,1133,870,755,1499,1096,1116,749,609,110,678,552
EW029_RS13095,58,19,12,88,18,9,44,29,3,15,5
EW029_RS13100,1033,899,1274,2866,1370,3269,1006,1080,232,2158,1767
EW029_RS13105,1249,630,482,2075,461,615,1157,731,154,386,356
EW029_RS13110,595,478,554,850,741,1380,505,489,128,270,283
EW029_RS13115,4037,4307,7868,1887,908,2140,4398,3390,810,1195,1174
EW029_RS13120,2077,2200,3722,1017,515,911,2539,1836,410,820,838
EW029_RS13125,1991,2255,3895,962,598,835,2625,1812,497,1072,1130
EW029_RS13130,1229,1342,2371,1065,528,562,1717,1054,423,762,830
EW029_RS13135,1927,2277,4185,1094,1598,982,2481,1902,816,2579,1846
EW029_RS13140,5668,6312,12505,3064,5076,3189,6999,5574,2505,7991,9757
EW029_RS13145,729,1411,1817,735,951,331,390,408,66,265,142
EW029_RS13150,504,1060,1474,361,957,263,219,347,48,246,98
cntK,689,1496,2062,535,1366,417,349,549,61,400,132
EW029_RS13160,188,450,701,143,533,153,106,156,92,170,56
EW029_RS13165,165,42,45,402,29,31,251,188,59,183,150
EW029_RS13170,464,263,157,1014,185,80,1251,1105,175,626,537
EW029_RS13175,658,1593,1046,869,3078,932,570,502,135,383,313
EW029_RS13180,673,632,602,817,971,544,2262,2038,738,3743,1837
EW029_RS13185,347,333,326,506,283,206,368,374,37,230,202
EW029_RS13190,220,181,171,286,134,122,188,192,30,134,105
EW029_RS13195,90,56,59,130,29,57,69,61,15,40,11
EW029_RS13200,1460,1063,701,981,427,405,1007,1355,232,717,768
EW029_RS13205,3382,2624,1666,1944,1060,709,3443,3139,373,1235,1184
EW029_RS13210,804,617,612,528,432,386,911,1031,144,443,220
EW029_RS13215,21,12,9,13,12,6,18,8,2,8,0
EW029_RS13220,790,521,671,500,536,263,1147,821,163,495,156
EW029_RS13225,4146,3108,3064,2282,2595,1101,4244,2315,971,2235,687
EW029_RS13230,26244,49083,54188,35896,69461,36974,177945,77579,134807,156981,217717
EW029_RS13235,215,232,221,271,297,232,204,143,136,203,92
EW029_RS13240,738,580,477,754,663,275,816,435,180,400,146
EW029_RS13245,25,15,9,27,11,3,25,15,4,10,3
EW029_RS13250,264,207,121,294,102,89,293,161,27,63,45
EW029_RS13255,285,276,152,341,148,130,248,191,25,79,91
EW029_RS13260,1026,879,522,994,503,408,843,798,85,312,409
EW029_RS13265,622,547,347,771,328,339,666,533,72,230,266
EW029_RS13270,29,16,4,33,9,11,14,13,1,6,5
EW029_RS13275,652,520,406,649,372,400,605,545,44,235,185
EW029_RS13280,695,431,359,868,315,305,603,487,30,181,90
EW029_RS13285,1976,1702,2048,2211,1343,2166,1947,1784,226,1272,1403
EW029_RS13290,486,331,349,828,208,284,471,352,35,195,161
EW029_RS13295,2631,2038,3491,2525,1513,2540,2009,1759,541,1440,1944
EW029_RS13300,660,688,850,908,592,889,598,676,85,365,199
EW029_RS13305,118,173,220,188,125,195,141,122,19,95,36
EW029_RS13310,68,23,35,169,20,14,54,33,2,15,6
EW029_RS13315,592,474,392,962,271,130,651,599,58,191,117
EW029_RS13320,63,13,14,157,41,14,77,33,3,17,5
EW029_RS13325,1464,1011,450,2124,193,146,1950,1116,183,184,242
EW029_RS13330,58,28,32,131,9,22,76,31,2,16,5
EW029_RS13335,122,13,41,276,16,40,127,47,1,15,5
galU,965,884,1071,1506,1124,2248,1068,880,191,645,1178
EW029_RS13345,1405,764,499,3041,638,333,1601,758,187,322,294
EW029_RS13350,2,1,0,11,1,0,2,0,0,1,0
EW029_RS13355,26,2,5,53,3,1,19,16,0,1,0
EW029_RS13360,6550,2596,2837,3452,472,488,801,1479,282,491,765
gntK,5476,2684,2283,2558,800,293,771,1485,269,490,612
EW029_RS13370,2582,1529,1538,1544,888,213,720,882,180,419,376
EW029_RS13375,1825,1349,1342,1805,896,877,1704,1632,490,1476,1003
EW029_RS13380,948,634,681,866,421,625,1117,876,196,961,668
EW029_RS13385,554,865,438,436,1466,235,501,781,195,828,289
EW029_RS13390,4401,4526,2798,3107,2876,626,2706,5693,585,1546,519
EW029_RS13395,71,22,33,127,16,6,53,31,4,13,10
EW029_RS13400,1078,1398,748,1420,572,330,1230,1529,552,980,1079
EW029_RS13405,630,739,724,714,615,624,432,471,140,352,233
EW029_RS13410,1,1,3,7,2,1,4,1,0,0,1
EW029_RS13415,3508,3344,3210,2794,3876,2828,2471,2400,449,2235,1494
EW029_RS13420,1824,1384,1505,2164,1765,1699,1343,1244,208,1140,831
EW029_RS13425,27,14,9,43,15,5,21,15,0,5,1
EW029_RS13430,908,1111,2189,1391,1960,2408,973,714,142,884,1328
EW029_RS13435,1305,1376,2265,1656,2003,1964,1158,982,163,1012,997
EW029_RS13440,1385,1874,2003,1747,1279,942,3413,3251,1693,5141,6203
EW029_RS13445,889,787,679,1018,872,1691,622,606,219,328,307
EW029_RS13450,416,198,155,726,156,129,435,432,60,81,19
EW029_RS13455,193,63,47,453,35,21,227,261,17,35,9
EW029_RS13460,197,61,64,352,56,183,161,126,11,51,43
EW029_RS13465,932,652,753,1307,727,839,1523,704,343,1399,609
EW029_RS13470,2538,3228,1103,885,641,452,814,879,226,418,320
EW029_RS13475,781,967,1242,1023,346,869,815,1378,196,556,398
EW029_RS13480,5524,4405,4204,1940,2326,3702,6664,3162,1011,2226,3581
EW029_RS13485,102,63,54,215,40,49,118,64,5,48,64
EW029_RS13490,346,121,109,596,64,66,324,160,10,89,117
EW029_RS13495,225,302,214,339,224,69,174,215,12,96,45
EW029_RS13500,244,364,301,279,230,119,245,269,41,123,88
EW029_RS13505,4096,4737,3085,3607,2640,1976,3091,4478,598,1901,724
EW029_RS13510,379,270,219,388,331,594,233,202,48,128,136
EW029_RS13515,102,68,51,130,97,144,78,51,2,23,26
EW029_RS13520,9,4,2,21,1,0,10,7,1,0,0
sdaAA,827,704,505,740,437,377,729,764,259,362,296
sdaAB,383,189,151,479,113,108,301,293,32,150,177
EW029_RS13535,421,243,202,602,169,223,488,387,95,212,364
EW029_RS13540,86,64,53,149,53,36,132,112,12,62,23
EW029_RS13545,809,627,415,1237,506,412,831,734,159,415,198
EW029_RS13550,817,904,662,754,923,1122,1223,1122,423,969,1178
EW029_RS13555,167,162,118,247,142,163,279,273,107,215,258
EW029_RS13560,232,166,118,341,138,233,403,322,94,219,257
EW029_RS13565,507,182,179,792,105,88,287,114,3,52,11
EW029_RS13570,13111,7878,12558,11648,5611,10327,2524,2140,983,2772,3495
EW029_RS13575,2002,2204,1690,1554,2655,1346,8277,12523,4661,14373,10259
EW029_RS13580,655,633,515,569,701,388,2825,4369,1573,4512,3053
EW029_RS13585,141,42,45,252,31,36,79,68,6,19,5
EW029_RS13590,1495,1394,1572,1573,1440,1365,1050,1008,319,758,560
EW029_RS13595,14615,21421,22387,22214,33918,26430,9275,12345,33467,18605,11974
EW029_RS13600,497,240,273,497,410,1902,585,498,232,359,691
EW029_RS13605,2416,2359,1606,2157,1488,1691,1858,1995,545,1007,993
EW029_RS13610,6575,2951,5760,4366,2177,10373,5815,6653,2706,6186,7164
EW029_RS13615,676,376,274,1123,253,279,611,402,87,169,100
EW029_RS13620,1599,1407,830,1287,2593,1757,47804,33430,9734,48784,58171
EW029_RS13625,66,33,30,102,41,52,346,59,46,114,117
feoB,880,262,235,2000,272,206,2334,677,310,773,619
EW029_RS13635,50,19,24,166,17,4,108,48,3,30,8
EW029_RS13640,1231,456,424,1856,362,254,1068,605,56,234,124
EW029_RS13645,774,719,728,1060,650,724,700,652,127,414,410
EW029_RS13650,166,68,85,138,30,27,145,131,31,107,59
pruA,6713,4708,5478,4792,1966,900,8053,9742,4228,8995,9145
EW029_RS13660,321,109,124,874,94,159,387,161,17,83,60
EW029_RS13665,458,405,751,861,330,1369,1240,350,997,6856,3344
EW029_RS13670,2903,2778,2143,2032,2716,2167,4921,4360,1607,2846,2414
copZ,804,699,575,452,916,833,1238,739,391,611,460
EW029_RS13680,1169,1133,1138,858,1085,914,1655,1099,393,859,1004
EW029_RS13685,1719,1822,1523,1478,1586,1274,2391,1805,557,1546,1747
EW029_RS13690,388,236,153,760,104,142,770,722,238,546,541
EW029_RS13695,284,104,87,621,60,51,534,383,140,343,253
EW029_RS13700,358,138,117,809,88,45,724,472,162,391,262
EW029_RS13705,448,197,177,1029,140,119,814,411,211,332,268
EW029_RS13710,73,53,33,174,46,24,137,69,25,55,49
EW029_RS13715,2988,1294,1427,2317,1721,780,2248,2250,658,827,293
EW029_RS13720,10235,4564,5157,6097,3877,9812,3609,2712,555,1827,2431
EW029_RS13725,774,136,282,562,187,746,411,214,61,154,298
EW029_RS13730,19610,3002,10720,9566,5656,71972,7602,4594,6487,7622,20098
EW029_RS13735,941,1697,1654,1396,3135,781,771,338,106,254,179
EW029_RS13740,49,47,49,52,77,18,26,12,2,12,6
EW029_RS13745,212,132,182,339,177,443,168,117,34,81,117
EW029_RS13750,430,204,203,453,179,249,227,176,44,111,64
EW029_RS13755,208,96,93,246,110,147,143,97,18,73,57
EW029_RS13760,244,132,119,346,98,137,169,123,38,54,62
EW029_RS13765,385,110,123,779,83,101,379,187,13,53,28
EW029_RS13770,49,20,9,108,11,11,34,37,0,9,1
EW029_RS13775,315,181,181,351,121,127,152,116,16,47,28
EW029_RS13780,444,268,278,590,215,186,280,188,43,66,53
EW029_RS13785,667,375,338,861,308,307,558,368,78,292,249
EW029_RS13790,596,448,484,636,461,466,851,469,196,697,988
EW029_RS13795,946,641,676,1024,543,589,1252,877,222,1181,1174
EW029_RS13800,729,430,429,982,280,272,584,486,78,259,130
EW029_RS13805,397,223,230,575,179,219,318,175,28,94,48
EW029_RS13810,330,168,160,544,146,139,238,151,27,45,22
EW029_RS13815,28,14,13,76,14,31,22,14,2,10,12
EW029_RS13820,90,20,17,300,12,17,139,44,2,18,3
EW029_RS13825,160,29,40,362,18,14,138,75,4,27,6
EW029_RS13830,74,30,35,181,18,11,75,54,11,16,9
EW029_RS13835,434,201,186,1109,152,145,799,390,225,459,416
EW029_RS13840,7977,3643,2859,4079,2890,8669,3552,1723,679,2280,3660
EW029_RS13845,2709,1196,923,1523,1083,2444,1182,661,232,901,1018
EW029_RS13850,1039,710,639,1228,481,618,644,619,91,259,149
EW029_RS13855,895,1345,1419,1209,1022,828,1036,1817,478,925,596
EW029_RS13860,501,397,334,659,379,244,439,528,51,243,109
EW029_RS13865,794,399,267,1568,349,192,896,898,95,275,255
EW029_RS13870,233,85,109,522,110,132,199,127,6,54,33
EW029_RS13875,257,78,80,646,43,67,244,99,4,33,13
EW029_RS13880,600,341,277,635,298,500,477,368,91,279,274
EW029_RS13885,1168,674,444,1363,523,614,958,432,82,244,371
panB,779,477,261,696,360,719,659,338,113,216,537
EW029_RS13895,2832,2872,2094,1840,3027,2319,943,1088,404,707,686
budA,876,747,714,1121,751,630,836,646,159,304,273
tnpA,345,149,228,437,191,277,219,126,77,159,73
EW029_RS13910,2131,1573,2337,1411,3848,9319,6013,1971,1712,6357,13424
EW029_RS13915,313,479,586,197,819,127,112,184,39,88,28
EW029_RS13920,3004,10774,10244,2330,18923,2279,1982,3037,1491,1946,1054
EW029_RS13925,921,863,716,1705,1228,121,943,871,137,300,142
EW029_RS13930,108,43,35,239,22,19,103,59,4,51,19
EW029_RS13935,30727,41113,43817,11489,36758,20725,27494,35737,9695,32054,22321
mqo,48219,50832,57457,39210,50453,68990,43671,44741,12707,32120,41978
EW029_RS13945,213,95,151,331,137,204,187,212,71,212,164
EW029_RS13950,2910,4185,2675,2433,3216,2555,3073,3007,668,1691,1635
EW029_RS13955,161,107,128,314,87,146,284,218,136,334,171
EW029_RS13960,147,118,105,373,122,114,161,124,14,109,37
betA,463,228,266,1052,137,173,453,193,20,57,53
betB,418,201,277,981,52,122,417,161,15,72,79
EW029_RS13975,11,1,2,37,1,0,12,5,0,2,0
EW029_RS13980,698,520,496,801,479,1049,386,354,79,326,276
EW029_RS13985,962,1160,478,1140,418,290,548,333,37,108,94
EW029_RS13990,52,16,20,135,21,3,43,18,0,6,2
EW029_RS13995,16,29,11,35,29,3,15,8,3,3,0
nrdG,7576,28508,13457,4796,32291,6567,3956,2146,578,2237,1683
nrdD,21929,67361,34262,12556,76355,18558,8127,4053,1389,4478,5813
EW029_RS14010,611,358,242,1265,246,165,569,284,24,132,97
EW029_RS14015,101,62,52,134,79,48,70,60,12,38,14
EW029_RS14020,623,575,468,594,555,532,586,520,143,299,232
EW029_RS14025,824,507,494,1205,550,873,696,377,88,253,409
EW029_RS14030,20,6,10,23,6,24,6,7,1,8,5
EW029_RS14035,196,140,107,506,145,65,233,116,19,72,51
EW029_RS14040,63,25,18,127,24,8,69,35,3,19,6
EW029_RS14045,59,20,19,163,15,5,62,19,2,11,3
EW029_RS14050,18,12,7,62,23,3,15,12,1,4,5
EW029_RS14055,928,690,524,1408,639,477,933,688,124,460,347
EW029_RS14060,253,157,114,388,133,98,278,206,32,91,90
EW029_RS14065,1147,772,800,950,698,789,1087,1470,231,1003,767
EW029_RS14070,1032,724,819,969,664,968,1374,1573,291,1104,834
EW029_RS14075,445,274,276,458,257,385,528,649,70,466,291
EW029_RS14080,553,285,233,1062,127,87,631,784,131,244,75
EW029_RS14085,511,446,479,650,652,799,352,337,237,512,445
EW029_RS14090,1241,1041,1113,1075,1168,1363,599,596,141,555,438
EW029_RS14095,687,606,304,792,513,523,452,324,62,179,295
EW029_RS14100,63335,79268,38057,32718,56068,23066,17262,27681,4984,12730,12115
EW029_RS14105,1348,1027,1189,1053,1053,937,1582,1025,176,639,596
arcC,1565,1288,1261,1439,1136,987,2071,1205,279,708,790
arcD,835,822,583,1275,647,207,1397,676,128,311,363
argF,418,383,274,805,329,93,535,221,34,116,193
arcA,451,391,338,845,523,151,473,211,34,125,284
EW029_RS14130,51,13,12,125,6,3,54,20,0,3,0
EW029_RS14135,185,91,77,263,72,65,202,71,15,86,111
EW029_RS14140,632,568,334,1180,263,228,832,863,99,249,172
EW029_RS14145,1011,1335,841,1007,629,422,1036,1569,279,826,598
EW029_RS14150,800,574,509,1898,302,171,893,777,92,260,176
EW029_RS14155,919,572,649,1227,720,640,1414,625,194,893,2080
