GeneName,X50470,X50471,X50472,X50473,X50474,X50475,X50476,X50477,X50478,X50480,X50481
EW029_RS10640,6182,8528,3610,2677,5347,4645,33137,2784,1087,4319,13166
EW029_RS10645,6197,7128,3037,2273,4164,4354,31117,2233,632,2977,12223
EW029_RS10650,329,198,202,667,209,183,737,382,117,511,661
EW029_RS10655,190,80,152,312,77,129,261,127,12,129,192
EW029_RS10660,263,59,195,666,79,126,363,155,11,84,146
EW029_RS10665,697,454,406,794,576,650,676,487,129,426,319
EW029_RS10670,118,38,32,206,32,22,101,74,4,61,30
EW029_RS10675,251,113,114,307,122,201,394,442,120,515,479
EW029_RS10680,219,82,84,440,56,91,396,303,50,286,249
EW029_RS10685,231,64,64,463,33,24,278,145,6,62,5
EW029_RS10690,79,26,38,135,8,11,97,46,3,16,4
EW029_RS10695,164,56,47,289,28,29,185,104,16,50,15
groL,7355,4171,5053,3363,4081,6044,8989,5076,3625,8287,8227
EW029_RS10705,1271,532,884,709,484,1232,1322,811,540,1400,1306
EW029_RS10710,1108,1109,1129,968,1711,2703,690,403,219,827,987
EW029_RS10715,9281,12067,5674,5104,6819,1867,3646,5716,670,1621,2024
EW029_RS10720,2719,3649,2268,1482,2451,313,747,1914,118,226,152
EW029_RS10725,7498,10129,7432,4665,9482,2314,2733,6616,614,1384,1295
EW029_RS10730,805,1529,955,481,1384,235,389,746,56,107,72
EW029_RS10735,17269,29591,18225,8114,27308,13576,8783,13135,1773,3767,2681
EW029_RS10740,58850,89571,61189,32755,101430,50273,25171,51031,7345,15574,13533
EW029_RS10745,36117,51889,39658,30427,53273,32144,73625,87894,14544,56937,52137
EW029_RS10750,8665,14342,11620,5673,15284,9001,20259,23029,4133,17379,16527
EW029_RS10755,48088,67515,52396,32299,67226,38317,129811,127025,21032,82596,85043
EW029_RS10760,30597,42659,34713,18224,42560,22692,91060,89691,15640,60034,59738
EW029_RS10765,336,358,278,290,363,250,419,389,47,150,145
EW029_RS10770,3252,3628,2929,2106,2373,1578,3323,4632,1329,2569,2437
EW029_RS10775,4636,5424,3525,3264,2959,1900,4839,5810,1149,3328,3198
EW029_RS10780,1389,1635,1317,1531,901,458,1677,1920,323,1419,1153
amt,470,222,181,1142,174,94,570,313,36,136,50
EW029_RS10790,44,33,27,99,29,19,58,32,9,18,12
EW029_RS10795,439,181,187,911,147,158,471,227,49,75,30
EW029_RS10800,2314,1627,1511,1796,1726,2540,2310,1791,568,1789,2151
abc-f,1520,1697,1947,2172,1905,2177,1365,1169,203,1046,1342
EW029_RS10810,77,31,42,114,49,10,85,58,6,34,3
EW029_RS10815,160,131,150,141,169,173,111,96,25,88,143
EW029_RS10820,1309,1015,1049,1068,1002,1272,1129,700,176,655,963
tsaD,1294,951,580,968,460,709,667,563,169,287,331
rimI,435,288,183,394,139,202,271,202,30,105,103
tsaB,508,372,305,374,344,456,298,329,103,239,311
tsaE,650,442,380,544,414,760,483,399,117,340,307
EW029_RS10845,22,4,6,64,2,0,31,6,0,1,0
ilvD,456,2208,2105,737,5202,684,499,361,185,474,374
ilvB,552,4863,3314,895,8600,488,779,498,231,757,416
EW029_RS10860,32,478,332,56,836,29,59,50,14,100,36
ilvC,270,5119,2593,498,5800,117,592,441,92,564,277
EW029_RS10870,299,6619,2992,576,6628,195,689,618,86,728,381
leuB,240,5297,2120,433,4068,160,550,524,69,540,294
leuC,311,6681,2319,516,4180,165,580,548,119,580,304
leuD,209,2262,760,419,1302,70,270,235,30,237,93
ilvA,282,5594,1957,404,3195,204,377,509,49,481,247
EW029_RS10895,253,202,144,375,145,126,237,209,63,100,60
EW029_RS10900,122,40,34,206,19,21,99,80,14,46,14
EW029_RS10930,537,57,190,591,148,805,449,97,314,148,135
EW029_RS10935,1250,855,949,1015,639,955,613,831,144,535,463
EW029_RS10940,3975,2682,2792,3462,1998,2379,2150,2633,314,1427,1189
sigB,4924,4093,3508,3584,2988,3872,5111,3484,848,2906,2837
rsbW,1995,1705,1400,1453,1375,1467,1893,1368,279,995,1064
EW029_RS10955,1164,1090,974,876,1067,1104,1375,955,269,810,959
EW029_RS10960,2950,2823,2651,2318,3083,3087,2475,2523,390,2105,2296
EW029_RS10965,180,127,123,176,162,193,123,114,16,75,104
EW029_RS10970,2113,1995,2094,2211,2785,3963,2118,2056,680,2041,3594
EW029_RS10975,1198,1309,1418,1080,2078,2852,963,1010,453,1409,3135
alr,2115,2515,1709,1493,1420,1316,1349,1952,261,813,794
EW029_RS10985,807,833,505,535,372,304,513,718,111,220,291
EW029_RS10990,665,768,492,570,365,262,443,650,76,221,241
EW029_RS10995,1422,1831,1046,1327,889,755,1110,1545,204,600,590
EW029_RS11000,473,459,269,576,283,202,397,406,40,189,102
EW029_RS11005,415,364,239,555,350,133,443,542,90,204,83
kdpB,784,432,271,1585,275,116,991,940,86,254,88
kdpA,739,163,187,1588,101,39,830,418,21,125,21
kdpF,20,4,7,53,6,2,28,15,2,6,1
EW029_RS11025,702,420,256,1350,498,263,869,558,65,334,301
EW029_RS11030,140,129,90,239,165,77,217,170,22,104,86
EW029_RS11035,48714,33671,39978,39463,13541,36702,11117,38924,4029,12444,6269
murF,4991,5946,5494,3645,4749,4033,3567,4149,736,2907,3286
EW029_RS11045,4197,5301,4934,3654,4670,3889,2941,3692,763,2553,3077
EW029_RS11050,3623,4877,5071,3085,3292,3645,2247,3446,843,2419,1497
EW029_RS11055,1220,1601,1454,2612,1717,1117,1867,2826,1629,3522,1504
EW029_RS11060,224,179,182,312,149,271,183,244,28,122,88
EW029_RS11065,190,180,146,334,150,271,196,227,36,119,110
cls,3170,4364,3996,3130,4139,2581,4350,4408,712,2666,1825
EW029_RS11075,1098,1637,1344,863,1454,1051,1365,1366,276,902,724
EW029_RS11080,471,537,507,593,513,419,533,443,102,257,237
yidC,20634,12000,13942,13242,8462,19382,4995,6232,1857,4700,3882
EW029_RS11090,158,106,86,278,54,53,608,434,77,254,457
EW029_RS11095,206,122,95,376,68,59,900,514,51,289,469
thiD,294,113,102,451,66,51,983,556,63,326,590
tenA,207,94,91,357,47,38,714,447,43,307,523
EW029_RS11110,256,73,90,423,71,276,190,101,26,38,16
ssb,450,347,218,590,420,270,571,444,79,349,182
EW029_RS11120,462,281,340,671,320,777,381,349,108,367,297
fabZ,1104,1176,1159,998,1372,1559,1197,1064,623,1309,1235
murA,4311,4064,3433,3350,4050,4486,4726,3635,1371,3597,3248
EW029_RS11135,377,326,301,313,397,438,460,358,139,457,333
EW029_RS11140,41,31,15,69,11,19,44,24,1,12,4
EW029_RS11145,61,33,39,79,42,34,44,55,6,14,13
EW029_RS11150,19615,16044,15591,12178,10782,14995,17314,9758,1560,4791,6726
atpD,56479,48240,45779,29855,30542,41152,45765,28312,4266,13890,21482
EW029_RS11160,34834,27680,25205,20397,17068,21788,26555,18238,2457,8898,13489
EW029_RS11165,45008,38326,34858,26453,23702,29192,36475,26873,4253,15677,25287
EW029_RS11170,18704,14008,11810,11750,8193,9578,15183,10886,1320,5876,7972
EW029_RS11175,14540,13320,10329,7553,7701,8231,12589,9122,1132,4678,6331
atpE,10054,7843,6182,6690,4793,5126,10312,5193,544,2759,2606
atpB,22929,20205,16285,13674,12335,14270,22210,16604,3475,10374,14563
EW029_RS11190,11454,11254,9938,7864,8061,8560,10933,9775,2392,6958,8614
EW029_RS11195,11577,15229,8528,6590,9702,6916,17816,15392,2962,9856,11759
EW029_RS11200,4180,6189,3122,2261,3787,2615,7194,5974,1587,4024,5971
EW029_RS11205,10531,15523,6375,5097,7991,5202,15572,13851,3354,7473,10920
EW029_RS11210,5414,8254,3437,2928,5444,2584,6756,5894,1493,2922,4145
EW029_RS11215,1287,874,853,1141,632,787,562,651,105,350,355
EW029_RS11220,2690,1761,1835,1832,1132,1639,1136,1337,239,771,839
prmC,6306,4268,5658,4891,2949,5648,2868,5061,808,2944,2598
EW029_RS11230,7266,4597,5932,6031,3036,5917,3034,6315,1001,3105,3339
EW029_RS11235,3880,2255,3054,3376,1560,3320,2299,3831,477,1771,2009
EW029_RS11240,93,41,28,69,20,19,34,102,4,36,9
EW029_RS11245,11617,5988,8537,7502,4918,15538,2539,4693,2109,3932,3154
EW029_RS11250,12803,6962,8900,9611,4237,9243,5610,9031,1874,5372,5544
EW029_RS11255,1507,1208,731,1374,901,863,1798,1193,698,1542,1398
EW029_RS11260,15962,24795,10422,9129,6861,2267,6470,8853,1009,3029,1321
EW029_RS11265,3635,3322,2517,2809,2139,3040,3809,3760,520,2019,2266
EW029_RS11270,27774,20907,48194,33378,23247,107007,18699,15879,8931,23291,31355
EW029_RS11275,660,733,756,744,1049,1461,424,386,129,400,426
EW029_RS11280,9521,3424,5635,7692,2754,8607,2068,3203,498,1826,1929
EW029_RS11285,7852,4503,6018,9554,4502,9997,3199,4355,885,3442,2117
EW029_RS11290,1838,845,813,1100,634,975,1065,850,147,583,362
coaW,1479,772,739,998,607,1356,848,841,474,697,805
EW029_RS11300,3678,2961,3582,3792,3326,5669,1852,1472,300,1055,1342
EW029_RS11305,597,865,482,881,889,440,497,349,73,219,183
EW029_RS11310,561,483,236,1094,393,174,631,311,40,133,60
EW029_RS11315,1731,1752,2454,2063,2530,3240,1631,1931,536,1854,1779
EW029_RS11320,816,871,817,621,749,586,2664,2011,841,2363,2724
EW029_RS11325,2490,1952,1558,1955,1085,999,8451,5118,1443,3844,5566
EW029_RS11330,130,79,59,74,36,31,362,200,71,141,246
deoC,1133,748,656,637,381,377,3271,1883,578,1424,2501
deoD,3181,3125,7025,3913,3489,9939,2785,3167,1855,4111,5741
EW029_RS11345,923,726,633,710,755,1219,551,400,156,648,599
EW029_RS11350,507,342,337,538,446,735,491,343,138,659,599
EW029_RS11355,2844,2969,3134,3172,3739,5365,1938,2211,416,1733,1634
EW029_RS11360,1868,1614,1345,1319,1312,1289,840,900,156,519,427
EW029_RS11365,8841,7260,6051,7439,6848,5949,4530,4439,635,2759,2269
EW029_RS11370,281,168,100,561,111,73,416,237,119,272,228
EW029_RS11375,117,124,76,135,280,289,307,81,59,49,613
EW029_RS11380,610,869,372,562,1351,840,1100,470,361,331,1759
EW029_RS11385,19371,11498,20347,19067,12397,26455,5441,5205,1634,7698,6123
EW029_RS11390,3509,5855,7701,5803,9450,9187,4025,5751,58296,11761,6410
EW029_RS11395,397,327,254,401,162,105,425,956,223,238,47
EW029_RS11400,395,295,227,276,175,75,337,952,133,217,62
EW029_RS11405,407,309,221,359,121,72,380,861,112,175,45
EW029_RS11410,213,176,126,189,116,90,179,358,56,181,57
EW029_RS11415,690,549,480,970,448,541,780,1210,264,599,607
EW029_RS11420,429,161,113,707,85,52,525,742,66,188,108
glmS,5497,2314,2792,2837,1471,4145,51698,50562,20347,53501,59104
EW029_RS11430,467,361,280,888,206,205,474,428,119,253,243
EW029_RS11435,435,328,218,825,180,182,887,735,297,992,784
EW029_RS11440,157,111,93,244,83,62,399,301,71,343,181
EW029_RS11445,380,246,216,602,204,220,1016,941,353,1581,1013
EW029_RS11450,1574,784,650,3506,637,409,2107,1496,251,644,410
EW029_RS11455,5457,4666,4217,3928,3314,3804,4638,4283,832,2744,3450
EW029_RS11460,1858,1759,1485,1144,1214,1289,1443,1635,295,1056,1322
EW029_RS11465,2216,2564,2322,1865,2130,2127,2316,2582,605,1778,1843
rocF,1766,2242,1975,1778,2324,1432,1688,3426,5622,1656,1007
EW029_RS11520,1854,1788,1387,1568,1293,1710,2269,2980,946,1923,1602
EW029_RS11525,2028,1687,1220,1716,836,932,1228,1704,370,898,757
EW029_RS11530,778,633,605,702,368,414,462,806,160,505,313
EW029_RS11535,2515,2642,2114,2115,1559,1411,1595,2891,430,1230,1111
EW029_RS11540,3119,3443,2345,2254,1545,1460,2855,4610,739,2029,1568
EW029_RS11545,7337,8930,4611,4782,4044,1955,7805,11575,1313,5062,3275
EW029_RS11550,2890,3354,2092,2589,2195,521,3104,5206,917,3059,1414
EW029_RS11555,4317,2929,3041,4491,2523,920,14644,9515,4833,18978,22586
EW029_RS11560,10229,2675,4092,7135,1559,4574,3204,3544,1435,1713,1017
fecD,1390,2796,3124,609,2200,1084,1414,1380,408,822,973
EW029_RS11570,1124,1988,2341,686,1619,762,1136,1184,202,634,752
EW029_RS11575,4989,7153,13570,2515,7886,5342,6751,6109,1891,7361,11188
EW029_RS11580,49,30,24,53,17,5,48,36,1,5,4
EW029_RS11585,1171,2519,2251,581,1429,449,1775,2088,354,1314,820
EW029_RS11590,2283,4558,4114,1170,2989,810,3988,4950,989,2900,2172
EW029_RS11595,1241,1936,2018,930,1397,395,1628,2343,428,1401,829
EW029_RS11600,3072,5792,4841,2660,4690,1988,3643,5400,1387,3685,2492
EW029_RS11605,3348,8554,7205,3164,12530,5836,40243,32295,20692,76831,61905
EW029_RS11610,329,809,717,397,1382,468,3354,2649,1684,6418,5037
amaP,1666,4865,3463,1425,6841,2118,17955,12032,8722,27743,24658
EW029_RS11620,512,461,383,1012,448,218,1561,1851,1243,2209,1776
EW029_RS11625,604,549,386,1014,337,424,620,496,98,273,273
EW029_RS11630,1615,2451,2005,1648,1858,1345,2603,4062,1588,3482,2373
EW029_RS11635,872,1048,579,1268,457,320,1602,1630,347,756,518
lacG,302,131,123,602,105,90,12581,1057,322,483,355
EW029_RS11645,362,124,107,790,64,63,11736,1023,233,462,383
EW029_RS11650,57,15,18,188,16,9,1778,173,34,84,82
lacD,137,55,55,381,33,19,4731,398,95,197,216
lacC,172,87,67,372,83,42,2630,317,85,147,145
lacB,284,92,66,696,53,24,2362,371,72,133,123
EW029_RS11670,562,500,333,889,407,583,680,429,112,373,399
EW029_RS11675,379,316,263,457,297,434,406,298,138,287,357
EW029_RS11680,85,61,61,164,44,71,71,58,13,32,20
EW029_RS11685,1,0,0,8,1,2,1,3,0,0,0
EW029_RS11690,133,52,55,363,33,47,153,65,2,22,4
EW029_RS11695,50,46,23,125,58,27,48,26,5,13,2
EW029_RS11700,508,684,630,740,683,530,624,763,143,490,346
EW029_RS11705,109,109,95,156,101,100,163,134,30,105,100
EW029_RS11710,45,9,13,69,16,6,43,19,2,12,5
EW029_RS11715,726,288,253,1450,201,181,885,511,60,235,139
EW029_RS11720,551,340,236,745,225,151,1013,660,58,300,214
EW029_RS11725,28,9,19,81,14,9,51,31,2,15,9
EW029_RS11730,478,289,337,693,328,426,773,541,114,502,425
