geneName,SA_1,SA_2,SA_3,CC_1,CC_2,CC_3
NWMN_0230,5,4,5,3,1,2
NWMN_0231,66,41,87,15,16,5
NWMN_0232,36,23,77,9,4,2
NWMN_0233,11,18,21,8,5,3
NWMN_0234,23,17,40,15,14,10
NWMN_0235,24,19,43,12,8,5
NWMN_0236,71,77,138,35,33,15
NWMN_0237,62,42,92,15,6,4
NWMN_0238,21,28,37,7,3,3
NWMN_0239,18,18,28,7,5,3
NWMN_0240,10,26,36,4,6,2
NWMN_0241,36,33,57,10,1,5
NWMN_0242,38,42,55,12,5,4
NWMN_0243,79,64,83,11,16,7
NWMN_0244,57,84,106,17,14,12
NWMN_0245,194,167,271,29,22,16
NWMN_0246,212,190,317,48,41,27
NWMN_0247,3466,3557,4392,3082,2054,1651
NWMN_0248,4668,4870,6209,1015,696,556
NWMN_0249,686,833,918,412,273,263
NWMN_0250,4026,3886,5850,886,629,586
NWMN_0251,3350,3171,4879,673,498,473
NWMN_0252,564,591,793,334,182,183
NWMN_0253,23,15,24,8,13,3
NWMN_0254,35,31,34,10,4,7
NWMN_0255,49,46,54,14,13,8
NWMN_0256,401,162,348,21,11,7
NWMN_0258,329,123,286,23,10,7
NWMN_0259,995,1004,1232,146,115,84
NWMN_0261,35,51,36,13,5,6
NWMN_0264,0,0,0,0,0,0
NWMN_0265,424,400,558,121,92,94
NWMN_0266,617,620,878,158,141,86
NWMN_0267,132,84,243,26,17,6
NWMN_0268,134,185,231,247,136,122
NWMN_0269,82,79,112,105,73,54
NWMN_0270,0,0,0,0,0,0
NWMN_0271,0,1,0,0,0,0
NWMN_0272,0,0,0,0,0,0
NWMN_0273,0,0,0,0,0,0
NWMN_0274,0,0,0,0,0,0
NWMN_0275,0,0,0,0,0,0
NWMN_0276,0,0,0,0,0,0
NWMN_0277,0,0,0,0,0,0
NWMN_0278,0,0,0,0,0,0
NWMN_0279,0,0,0,0,0,0
NWMN_0280,0,0,0,0,0,0
NWMN_0281,0,0,0,0,0,0
NWMN_0282,0,0,0,0,0,0
NWMN_0283,0,0,0,0,0,0
NWMN_0284,17,16,20,4,6,6
NWMN_0285,26,31,50,13,16,7
NWMN_0286,67,66,88,16,23,6
NWMN_0287,108,142,162,44,38,20
NWMN_0288,45,36,46,12,13,6
NWMN_0289,80,83,149,28,11,10
NWMN_0290,186,215,281,47,43,27
NWMN_0291,88,105,155,26,20,14
NWMN_0292,0,0,0,0,0,0
NWMN_0293,52,68,61,32,21,21
NWMN_0294,117,141,155,40,42,29
NWMN_0295,55,65,86,27,17,16
NWMN_0296,28,32,24,5,7,3
NWMN_0297,38,63,56,19,14,8
NWMN_0298,22,29,24,7,4,3
NWMN_0299,32,44,40,15,15,7
NWMN_0300,20,23,24,7,6,5
NWMN_0301,4,5,5,4,1,1
NWMN_0302,275,336,424,108,82,67
NWMN_0303,51,57,63,8,7,10
NWMN_0304,107,136,130,30,21,18
NWMN_0305,17,30,25,11,8,6
NWMN_0306,140,156,155,25,20,23
NWMN_0307,53,62,70,6,7,3
NWMN_0308,48,83,54,12,1,8
NWMN_0309,211,252,272,39,28,19
NWMN_0310,38,49,42,6,5,7
NWMN_0311,15,15,13,2,2,1
NWMN_0312,0,0,0,0,0,0
NWMN_0313,0,0,0,0,0,0
NWMN_0314,787,904,1117,287,167,120
NWMN_0315,497,572,688,206,161,107
NWMN_0316,211,260,315,183,140,139
NWMN_0317,88,90,121,53,46,49
NWMN_0318,163,177,243,117,98,92
NWMN_0319,181,202,276,104,95,84
NWMN_0320,201,282,319,97,64,45
NWMN_0321,2926,2833,4055,1034,719,744
NWMN_0323,88,68,90,4,2,5
NWMN_0324,183,89,180,9,6,2
NWMN_0325,1029,438,1052,52,25,33
NWMN_0326,215,281,273,58,39,42
NWMN_0327,71,68,86,17,10,8
NWMN_0328,52,78,77,16,13,12
NWMN_0329,895,540,1053,57,29,29
NWMN_0330,614,592,768,266,160,166
NWMN_0331,1018,955,1413,382,276,253
NWMN_0332,570,633,862,183,144,118
NWMN_0333,675,690,909,189,117,108
NWMN_0334,14,22,28,8,5,1
NWMN_0335,359,390,524,89,55,52
NWMN_0336,39,44,57,10,9,4
NWMN_0337,68,90,130,27,13,20
NWMN_0338,118,101,150,36,17,14
NWMN_0339,536,613,783,91,42,36
NWMN_0341,590,759,892,109,88,83
NWMN_0342,169,166,245,51,35,32
NWMN_0343,249,251,317,62,45,39
NWMN_0344,410,421,547,117,93,70
NWMN_0345,340,400,510,45,29,11
NWMN_0346,1504,1658,1902,1714,1235,1082
NWMN_0347,520,633,714,194,153,97
NWMN_0350,42,46,57,6,7,5
NWMN_0351,52,39,43,7,8,3
NWMN_0352,2,2,2,1,2,2
NWMN_0353,326,387,474,178,113,95
NWMN_0354,500,567,709,200,123,107
NWMN_0356,66,66,87,46,31,10
NWMN_0358,11359,13723,15466,4621,3118,2669
NWMN_0360,51,59,92,13,13,10
NWMN_0361,23,26,37,16,7,4
NWMN_0362,567,649,800,266,202,153
NWMN_0363,10,14,22,5,1,2
NWMN_0364,5000,4257,6677,1897,1481,1336
NWMN_0365,810,928,1193,63,56,39
NWMN_0366,20609,19017,27117,5852,4279,3866
NWMN_0367,175,201,270,115,80,46
NWMN_0368,369,342,515,170,111,71
NWMN_0369,1205,1272,1674,460,301,173
NWMN_0370,237,260,371,75,78,41
NWMN_0373,2320,2288,2776,1031,763,687
NWMN_0374,1810,2039,2582,450,316,285
NWMN_0375,3420,4066,4804,1888,1347,1287
NWMN_0376,1174,1098,1576,510,376,292
NWMN_0377,3680,2730,4416,787,568,483
NWMN_0378,1959,2531,2975,395,267,265
NWMN_0382,86,72,127,34,27,24
NWMN_0383,55,43,70,27,20,14
NWMN_0385,39,43,60,22,28,11
NWMN_0386,473,422,578,190,134,76
NWMN_0387,1018,1069,1303,427,323,274
NWMN_0401,305,336,439,236,150,121
NWMN_0402,30311,28467,35404,25661,18989,14004
NWMN_0405,36,36,41,12,8,11
NWMN_0413,1491,1487,2170,545,423,340
NWMN_0414,466,479,612,175,137,88
NWMN_0415,562,568,792,206,164,147
NWMN_0416,89,110,125,31,24,20
NWMN_0419,4632,5142,6989,6804,4678,3923
NWMN_0420,1764,1726,2373,1199,779,609
NWMN_0421,899,1084,1360,312,241,179
NWMN_0422,1645,1890,2285,453,298,256
NWMN_0423,72,93,116,33,26,29
NWMN_0426,421,406,542,49,23,29
NWMN_0427,228,209,256,19,15,10
NWMN_0428,607,557,819,62,55,36
NWMN_0429,26320,30459,37932,5373,3956,3415
NWMN_0430,337,341,403,176,122,89
NWMN_0431,378,380,459,96,65,56
NWMN_0432,1111,1091,1383,227,160,155
NWMN_0433,933,986,1278,111,82,46
NWMN_0434,820,976,1223,115,87,77
NWMN_0441,224,243,299,61,50,28
NWMN_0443,2495,2703,3137,1158,901,739
NWMN_0447,3625,3854,4914,1731,1238,1021
NWMN_0449,967,1046,1283,332,235,207
NWMN_0450,505,560,716,166,123,89
NWMN_0451,217,237,280,89,66,45
NWMN_0452,296,333,413,131,107,78
NWMN_0454,3199,3666,4467,842,593,481
NWMN_0455,521,597,776,177,144,129
NWMN_0460,15527,14504,20908,3655,2759,2637
NWMN_0467,1792,1885,2555,406,270,211
NWMN_0468,3032,3538,4093,692,462,410
NWMN_0470,3740,4217,5020,1320,897,760
NWMN_0475,19554,21183,26544,5588,3988,3624
NWMN_0480,71,60,108,14,10,8
NWMN_0481,2301,2317,3031,402,316,290
NWMN_0482,1852,1939,2566,320,201,172
NWMN_0485,1154,1264,1580,480,362,317
NWMN_0486,2140,2210,2888,770,554,431
NWMN_0489,916,869,1459,257,176,123
NWMN_0493,722,746,909,173,129,108
NWMN_0494,1402,1499,1850,449,313,263
NWMN_0495,1245,1291,1690,360,224,182
NWMN_0496,643,540,1010,134,97,37
NWMN_0503,560,705,866,195,137,116
NWMN_0506,4644,5513,6858,2819,1930,1254
NWMN_0511,1530,1816,2080,258,171,175
NWMN_0512,4930,3620,5909,1383,941,710
NWMN_0513,27410,29204,37197,10368,7359,6574
NWMN_0517,1125,1201,1511,461,327,248
NWMN_0518,793,888,1051,185,128,92
NWMN_0519,126,108,221,31,18,10
NWMN_0520,236,273,349,101,76,66
NWMN_0521,1036,1156,1482,807,587,424
NWMN_0522,721,772,1030,438,321,194
NWMN_0526,914,872,1346,312,209,131
NWMN_0527,2606,2253,3529,609,385,247
NWMN_0528,0,2,0,0,1,0
NWMN_0529,4387,4773,5820,1226,858,819
NWMN_0530,2986,3363,4101,1083,836,813
NWMN_0531,1701,1902,2284,726,576,540
NWMN_0532,475,579,665,343,208,191
NWMN_0533,2779,3038,4009,2220,1639,1541
NWMN_0534,2899,3156,4021,2248,1730,1698
NWMN_0535,90,91,123,63,36,32
NWMN_0536,8074,8425,10974,1306,824,693
NWMN_0537,3,0,7,0,0,0
NWMN_0541,33,38,65,10,15,11
NWMN_0542,890,721,1325,76,50,17
NWMN_0545,566,687,791,298,213,168
NWMN_0546,449,454,659,188,132,96
NWMN_0547,14313,15117,21220,1926,1356,1176
NWMN_0548,320,360,486,89,46,56
NWMN_0549,616,661,820,156,96,120
NWMN_0550,6839,7445,9110,4225,3205,2434
NWMN_0552,6542,7450,8959,1915,1343,1125
NWMN_0556,551,745,889,181,135,110
NWMN_0557,347,373,505,127,105,97
NWMN_0558,83,70,103,23,7,17
NWMN_0559,779,850,1077,324,259,190
NWMN_0560,14,14,51,4,5,5
NWMN_0561,187,160,251,46,32,18
NWMN_0562,196,155,302,51,26,20
NWMN_0563,116,74,147,14,10,4
NWMN_0564,102,61,155,12,7,5
NWMN_0565,119,99,181,21,9,10
NWMN_0566,47,40,98,6,2,1
NWMN_0567,73,72,109,11,11,4
NWMN_0568,52,41,79,15,10,4
NWMN_0569,0,2,3,0,0,0
NWMN_0570,80,69,118,14,10,4
NWMN_0571,68,76,111,10,12,9
NWMN_0572,926,1094,1408,704,576,431
NWMN_0573,4556,2990,5059,1376,982,797
NWMN_0574,575,614,816,130,98,44
NWMN_0575,3153,3324,4379,491,311,284
NWMN_0576,1445,1432,2069,192,129,107
NWMN_0578,744,942,1114,202,150,120
NWMN_0580,123,115,186,52,29,23
NWMN_0581,501,611,746,251,196,160
NWMN_0582,480,503,623,158,115,74
NWMN_0583,597,595,869,211,141,114
NWMN_0584,1122,1155,1513,283,218,163
NWMN_0585,6589,6453,8477,1012,729,479
NWMN_0586,194,153,356,76,45,18
NWMN_0587,1081,962,1599,452,364,283
NWMN_0589,1,0,1,0,0,0
NWMN_0590,373,347,538,84,60,39
NWMN_0591,18,27,33,8,9,9
NWMN_0592,208,170,271,71,64,33
NWMN_0600,5486,5456,7613,1590,1157,838
NWMN_0601,10620,12641,15491,366,263,180
NWMN_0602,5858,5815,8670,204,149,102
NWMN_0603,11390,13100,16031,435,337,248
NWMN_0605,99,131,119,32,18,18
NWMN_0613,17448,17512,23474,3179,2239,1855
NWMN_0614,4631,4829,6305,1279,868,634
NWMN_0615,842,926,1182,340,225,216
NWMN_0619,728,405,729,139,85,71
NWMN_0620,533,311,557,104,70,65
NWMN_0621,285,150,257,56,37,27
NWMN_0622,7535,7588,10244,2380,1656,1068
NWMN_0623,6103,6430,8745,963,666,487
NWMN_0625,376,370,569,74,35,35
NWMN_0626,2236,2350,2950,1100,830,818
NWMN_0627,1220,1299,1622,373,305,218
NWMN_0628,780,852,1166,215,134,101
NWMN_0629,1310,1318,1865,261,155,143
NWMN_0632,884,850,1391,432,280,140
NWMN_0633,2439,2973,3466,1453,1009,907
NWMN_0634,62166,73027,84467,15756,10460,9460
NWMN_0635,438,421,654,118,104,48
NWMN_0636,265,245,418,51,36,20
NWMN_0637,47,38,82,9,4,2
NWMN_0638,4581,5186,6087,1818,1257,1181
NWMN_0639,2224,2384,2844,735,565,452
NWMN_0640,1648,1644,2580,451,334,259
NWMN_0641,3542,3545,4858,1059,709,610
NWMN_0642,1928,2064,2834,529,346,291
NWMN_0643,647,506,970,115,75,32
NWMN_0644,215,266,304,58,38,25
NWMN_0645,29,18,46,4,3,4
NWMN_0646,886,1120,1272,427,314,225
NWMN_0647,1623,1480,2080,503,382,292
NWMN_0648,520,443,684,293,178,200
NWMN_0649,1338,1395,1821,510,335,352
NWMN_0650,760,761,1103,273,224,210
NWMN_0651,3382,2988,4169,944,701,701
NWMN_0653,2064,2314,3038,781,545,451
NWMN_0654,2902,3261,4207,1074,741,548
NWMN_0655,20421,23867,30352,6746,4690,3470
NWMN_0656,1173,1095,1463,323,215,154
NWMN_0657,2655,2692,3362,802,532,419
NWMN_0658,83,70,131,18,18,9
NWMN_0659,1179,1209,1521,388,304,268
NWMN_0660,2129,2206,2930,546,402,345
NWMN_0661,171,207,281,30,26,22
NWMN_0662,170,114,295,21,20,7
NWMN_0663,309,362,386,119,86,78
NWMN_0665,2832,2163,4756,571,391,169
NWMN_0666,183,197,222,149,120,72
NWMN_0667,358,282,386,89,60,34
NWMN_0671,9322,10488,13294,2798,1886,1374
NWMN_0672,1953,1741,2714,773,596,541
NWMN_0673,3032,2688,4273,857,628,508
NWMN_0676,21996,20474,29591,6287,4283,3535
NWMN_0677,34991,34273,44562,14404,10504,8018
NWMN_0678,430,250,802,110,68,43
NWMN_0679,2882,3679,4262,201,146,128
NWMN_0680,834,1174,1334,52,41,26
NWMN_0681,1289,1721,2024,93,51,40
NWMN_0685,2793,2654,4276,712,441,266
NWMN_0686,5304,6471,7526,1425,1045,931
NWMN_0687,26296,28549,38485,6774,4573,3481
NWMN_0688,3624,4581,5411,1466,1075,837
NWMN_0690,3557,4104,5060,1313,956,851
NWMN_0691,4868,5367,7230,1466,1042,833
NWMN_0693,1023,1098,1603,219,136,112
NWMN_0694,67,46,63,15,13,4
NWMN_0695,2765,2307,3572,627,404,361
NWMN_0696,5757,6387,7996,752,556,377
NWMN_0697,316,415,541,41,35,27
NWMN_0698,506,591,805,99,67,40
NWMN_0702,6,14,21,6,5,4
NWMN_0703,9,8,12,3,4,2
NWMN_0704,13,11,12,3,4,3
NWMN_0705,44,42,68,23,14,11
NWMN_0706,392,471,596,230,146,121
NWMN_0708,25,23,39,14,6,3
NWMN_0709,791,837,1276,231,176,110
NWMN_0710,1366,1486,1978,308,210,158
NWMN_0711,2119,2419,3090,950,721,638
NWMN_0713,223,271,360,98,69,74
NWMN_0714,217,267,293,122,89,70
NWMN_0715,734,762,1188,394,260,166
NWMN_0717,958,946,1329,418,300,261
NWMN_0718,1872,2189,2635,1029,680,613
NWMN_0719,48,78,78,56,37,37
NWMN_0720,36,47,61,19,12,15
NWMN_0721,7807,5818,8423,1522,1105,901
NWMN_0724,186,233,243,23,22,15
NWMN_0725,494,601,813,131,82,42
NWMN_0730,904,970,1330,233,171,149
NWMN_0731,2359,2424,3612,614,395,239
NWMN_0733,1813,1816,2622,570,395,251
NWMN_0734,7566,7262,10369,1677,1302,1191
NWMN_0735,7374,7067,10190,1437,1123,928
NWMN_0737,1924,1739,2650,364,260,207
NWMN_0738,4927,5208,6857,2496,1899,1711
NWMN_0739,7,8,7,2,5,6
NWMN_0746,938,698,1373,190,97,49
NWMN_0748,2830,3091,3988,761,583,545
NWMN_0749,10526,11052,14682,2747,1814,1817
NWMN_0751,61,36,75,15,12,13
NWMN_0752,172,142,266,64,50,42
NWMN_0753,417,376,607,161,118,101
NWMN_0754,46,51,74,7,10,3
NWMN_0755,163,177,254,38,41,30
NWMN_0757,105,110,171,140,109,90
NWMN_0759,292,365,357,448,299,236
NWMN_0760,375,493,587,377,284,251
NWMN_0762,204,221,310,69,58,33
NWMN_0763,184,161,261,56,46,26
NWMN_0764,173,230,265,59,30,36
NWMN_0765,138,94,217,28,17,15
NWMN_0766,489,539,614,167,130,87
NWMN_0767,1250,708,2036,231,154,68
NWMN_0768,583,784,902,228,144,125
NWMN_0769,2214,2185,3131,456,283,198
NWMN_0770,1206,1067,1691,430,251,126
NWMN_0771,901,850,1161,366,294,355
NWMN_0772,355,388,504,186,140,112
NWMN_0773,709,797,1013,253,161,165
NWMN_0774,4344,4462,5591,1241,972,798
NWMN_0775,1083,990,1511,509,357,211
NWMN_0776,5071,5034,6441,2523,1783,1591
NWMN_0777,297,317,472,1082,769,717
NWMN_0778,383,364,538,269,191,145
NWMN_0779,133,104,238,54,49,20
NWMN_0780,545,598,854,79,59,56
NWMN_0781,301,314,441,29,20,20
NWMN_0782,488,437,674,52,29,18
NWMN_0783,23632,20567,31723,7544,5629,3824
NWMN_0784,218,246,305,92,63,42
NWMN_0790,7,3,5,1,0,1
NWMN_0791,1306,1355,1917,544,433,357
NWMN_0792,1366,1504,1765,550,405,395
NWMN_0793,1488,1757,2056,716,604,517
NWMN_0794,878,1043,1350,398,293,255
NWMN_0795,2550,2821,3553,929,680,592
NWMN_0797,403,417,627,197,137,116
NWMN_0798,289,287,433,85,44,36
NWMN_0799,925,944,1231,487,367,255
NWMN_0800,1921,2122,2561,1255,913,754
NWMN_0801,2991,3128,3979,1349,1027,824
NWMN_0802,109,49,180,24,17,9
NWMN_0807,2213,2447,2726,1259,880,739
NWMN_0808,174,157,295,74,46,32
NWMN_0809,3048,3144,3918,1210,826,737
NWMN_0810,1409,1497,1791,754,576,518
NWMN_0811,12791,14274,18225,5916,4187,3903
NWMN_0813,503,581,762,137,76,57
NWMN_0814,641,704,881,270,187,160
NWMN_0815,33,36,40,4,14,4
NWMN_0823,296,311,345,103,88,80
NWMN_0825,2935,3328,4017,1120,852,609
NWMN_0826,2861,3317,3950,1973,1470,1394
NWMN_0829,482,324,505,69,27,28
NWMN_0834,530,557,858,196,130,99
NWMN_0839,10816,11767,14689,3917,3003,2375
NWMN_0840,510,556,812,264,196,169
NWMN_0842,2086,2258,2884,973,756,524
NWMN_0843,3530,3949,4587,2252,1531,1368
NWMN_0845,1362,1392,1884,366,269,214
NWMN_0846,14,10,15,4,6,3
NWMN_0847,4,2,3,3,1,2
NWMN_0848,6,6,9,1,1,1
NWMN_0849,6,9,21,3,4,0
NWMN_0850,75,96,152,31,34,19
NWMN_0851,1453,1595,1767,588,437,384
NWMN_0852,3,12,13,6,2,2
NWMN_0853,1661,2164,2534,1161,800,701
NWMN_0854,6439,7238,8360,3523,2425,2252
NWMN_0856,1345,1336,1868,281,197,103
NWMN_0860,3588,3551,4773,420,296,250
NWMN_0861,13,30,42,4,1,2
NWMN_0863,17,14,17,6,4,4
NWMN_0864,22,28,24,9,5,2
NWMN_0865,65,75,109,32,21,17
NWMN_0868,6668,6920,9760,1394,1081,838
NWMN_0869,14,14,38,6,4,2
NWMN_0870,5826,6490,8260,2238,1684,1340
NWMN_0871,2,1,1,0,0,0
NWMN_0872,2515,2593,3442,685,524,420
NWMN_0873,1554,1726,2156,594,499,449
NWMN_0874,397,406,565,214,155,112
NWMN_0875,332,342,518,128,121,83
NWMN_0876,953,1106,1403,424,326,289
NWMN_0878,600,654,898,132,88,76
NWMN_0879,1139,1255,1566,243,176,141
NWMN_0880,1917,1986,2823,381,261,177
NWMN_0881,3105,3519,4522,1554,1056,871
NWMN_0882,3339,3422,4965,790,506,337
NWMN_0883,269,284,379,106,71,58
NWMN_0884,356,374,497,142,87,87
NWMN_0885,5687,4887,6500,1727,1197,966
NWMN_0886,2787,2958,4098,715,451,383
NWMN_0889,321,357,416,67,48,36
NWMN_0891,942,995,1264,321,217,172
NWMN_0893,1810,2015,2772,409,292,209
NWMN_0894,1452,1557,2035,502,365,278
NWMN_0896,450,284,451,89,65,41
NWMN_0897,1422,1707,2048,1312,1049,817
NWMN_0898,675,738,1023,458,300,213
NWMN_0899,880,775,1536,387,253,135
NWMN_0900,10,17,7,3,1,0
NWMN_0901,18,21,34,5,9,0
NWMN_0902,11,4,11,1,2,0
NWMN_0903,18,14,30,3,4,2
NWMN_0904,70,55,128,27,13,12
NWMN_0905,24,34,64,7,6,2
NWMN_0906,569,536,790,78,54,31
NWMN_0907,100,129,184,43,20,21
NWMN_0908,45,68,87,29,24,18
NWMN_0909,119,72,166,40,23,10
NWMN_0910,594,646,876,458,352,320
NWMN_0911,2513,2831,3659,606,392,289
NWMN_0912,3924,3833,5532,987,780,671
NWMN_0914,3758,3883,5421,690,507,377
NWMN_0919,997,1118,1527,238,189,144
NWMN_0920,116,98,217,90,47,34
NWMN_0921,50,46,64,24,12,11
NWMN_0923,158,216,262,30,27,22
NWMN_0924,2197,2497,3514,565,372,175
NWMN_0925,5367,6305,8499,1801,1204,995
NWMN_0926,433,539,748,104,80,48
NWMN_0931,3897,4393,5285,1065,805,579
NWMN_0943,104,118,195,19,15,9
NWMN_0944,390,458,561,123,92,78
NWMN_0945,132,168,241,35,23,32
NWMN_0946,5273,5475,8283,1549,963,779
NWMN_0947,818,918,1235,235,135,123
NWMN_0948,2391,1907,3061,614,453,422
NWMN_0949,6823,6694,9571,3229,2339,1867
NWMN_0950,42325,44107,57486,20248,14151,12811
NWMN_0951,61,69,109,36,33,15
NWMN_0954,1862,2038,2521,662,479,365
NWMN_0955,645,799,842,228,137,150
NWMN_0956,16111,16279,21595,5638,4199,3514
NWMN_0958,2298,2502,3438,788,596,402
NWMN_0963,230,269,340,65,35,30
NWMN_0964,180,239,295,68,55,26
NWMN_0968,874,954,1248,233,179,184
NWMN_0969,8769,9718,12145,1967,1341,1134
NWMN_0970,444,434,591,148,110,83
NWMN_0971,43922,49552,65823,4259,2974,2182
NWMN_0972,1987,2260,2839,1228,994,739
NWMN_0973,3043,3334,3978,1173,807,726
NWMN_0974,6559,8808,10056,2982,1982,1666
NWMN_0975,508,567,608,202,126,124
NWMN_0976,1039,980,1285,377,264,171
NWMN_0977,1162,1199,1668,461,292,200
NWMN_0978,2789,3113,4137,737,497,383
NWMN_0980,7538,6776,10580,2054,1263,880
NWMN_0982,6489,5747,9499,1469,991,476
NWMN_0983,2646,2922,4053,1132,745,523
NWMN_0984,848,956,1103,411,360,285
NWMN_0985,124,131,220,53,28,15
NWMN_0986,98,117,162,64,39,26
NWMN_0987,325,364,531,112,101,65
NWMN_0989,536,611,840,321,203,182
NWMN_0990,6781,8867,10556,3225,2277,1973
NWMN_0993,817,823,1178,303,214,167
NWMN_0994,784,813,1021,268,229,164
NWMN_0995,798,846,978,825,682,510
NWMN_0996,101,94,148,81,56,43
NWMN_0997,62,76,83,61,50,46
NWMN_0998,115,124,155,96,72,50
NWMN_0999,347,346,444,250,198,152
NWMN_1000,12,6,14,3,3,2
NWMN_1001,0,0,0,0,0,0
NWMN_1002,0,0,0,0,0,0
NWMN_1003,0,0,0,0,0,0
NWMN_1004,0,0,0,0,0,0
NWMN_1005,0,0,0,0,0,0
NWMN_1006,0,0,0,0,0,0
NWMN_1007,0,0,0,0,0,0
NWMN_1008,0,0,0,0,0,0
NWMN_1009,0,0,0,0,0,0
NWMN_1010,0,0,0,0,0,0
NWMN_1011,0,0,0,0,0,0
NWMN_1012,57,56,60,29,20,13
NWMN_1013,0,0,0,0,0,0
NWMN_1014,0,0,0,0,0,0
NWMN_1015,0,0,0,0,0,0
NWMN_1016,0,0,0,0,0,0
NWMN_1017,0,0,0,0,0,0
NWMN_1018,125,149,184,53,40,31
NWMN_1019,0,0,0,0,0,0
NWMN_1020,0,0,0,0,0,0
NWMN_1021,0,0,0,0,0,0
NWMN_1022,0,0,0,0,0,0
NWMN_1023,0,0,0,0,0,0
NWMN_1024,8,15,13,3,0,1
NWMN_1025,194,237,241,61,51,41
NWMN_1026,54,72,85,16,11,12
NWMN_1027,12,19,22,3,4,2
NWMN_1028,686,848,954,176,112,99
NWMN_1029,86,105,114,15,9,9
NWMN_1030,178,228,228,35,16,12
NWMN_1031,188,207,211,33,30,18
NWMN_1032,3,9,4,1,0,0
NWMN_1033,0,0,0,0,0,0
NWMN_1034,8,11,9,1,2,0
NWMN_1035,0,0,0,0,0,0
NWMN_1036,109,128,139,17,17,10
NWMN_1037,64,83,105,11,11,11
NWMN_1038,42,61,60,6,1,4
NWMN_1039,396,415,525,60,34,33
NWMN_1048,735,833,1030,245,156,127
NWMN_1051,250,366,389,165,91,99
NWMN_1052,1,1,0,2,0,1
NWMN_1053,312,363,460,165,102,90
NWMN_1054,349,300,552,99,73,49
NWMN_1059,1162,866,1331,148,107,47
NWMN_1063,6427,7599,9012,2313,1653,1524
NWMN_1064,6079,6999,8503,1527,1041,1001
NWMN_1065,5904,6440,8424,1488,1021,672
NWMN_1066,3794,3757,4690,2086,1344,918
NWMN_1067,577,532,718,146,97,53
NWMN_1068,63,31,103,11,12,3
NWMN_1069,5330,5571,6668,3944,2646,2144
NWMN_1070,3041,3053,4105,2134,1379,1101
NWMN_1071,103,52,162,26,18,5
NWMN_1072,344,312,442,123,89,53
NWMN_1074,74,37,94,8,5,5
NWMN_1075,66,56,98,10,11,10
NWMN_1076,64,63,86,18,14,11
NWMN_1077,109,94,136,30,16,12
NWMN_1080,988,907,1278,150,98,93
NWMN_1081,4,2,7,1,2,1
NWMN_1083,54,56,72,7,6,3
NWMN_1084,40704,39860,53430,2725,2119,1594
NWMN_1085,1561,1767,2318,279,212,157
NWMN_1086,1537,1565,1942,848,608,497
NWMN_1087,3474,4072,5108,1240,990,832
NWMN_1088,4378,4824,5880,1535,1146,875
NWMN_1097,1115,1242,1687,319,234,159
NWMN_1098,4881,5780,7077,2190,1565,1169
NWMN_1099,6190,7255,8526,2889,2083,1765
NWMN_1100,1058,881,1797,305,201,114
NWMN_1101,1137,1479,1788,786,577,410
NWMN_1102,4979,5896,7385,2907,2126,1674
NWMN_1104,16,13,30,2,0,0
NWMN_1105,1224,1266,1652,464,338,229
NWMN_1106,1,1,1,0,0,0
NWMN_1108,1830,2246,2618,904,580,517
NWMN_1117,181,166,243,494,372,269
NWMN_1118,1177,1280,1551,586,446,397
NWMN_1119,2377,2803,3632,1270,887,755
NWMN_1123,352,384,484,99,97,57
NWMN_1124,3497,2987,5187,822,538,315
NWMN_1127,2629,3038,3804,766,572,433
NWMN_1128,2898,3561,4162,752,580,504
NWMN_1129,1493,1721,2156,395,294,220
NWMN_1130,5143,6148,7121,1145,853,660
NWMN_1131,1012,1251,1537,550,428,366
NWMN_1133,897,953,1235,336,251,195
NWMN_1135,1218,1651,2054,818,520,419
NWMN_1136,5647,6942,8423,3144,2300,2055
NWMN_1138,1282,1417,1814,726,499,346
NWMN_1146,309,318,488,117,95,42
NWMN_1152,1225,1050,1618,315,202,138
NWMN_1159,86,95,140,36,35,29
NWMN_1172,2937,3617,4476,639,418,358
NWMN_1175,1908,2238,2596,670,489,430
NWMN_1184,12067,11567,15777,3186,2248,1813
NWMN_1186,1129,1206,1781,360,256,213
NWMN_1187,932,1047,1501,356,231,157
NWMN_1188,1242,1383,1789,448,294,212
NWMN_1189,741,826,1063,271,153,141
NWMN_1190,1901,2098,2595,471,320,272
NWMN_1191,1001,1134,1380,214,154,151
NWMN_1195,25498,28321,34840,13847,9934,9495
NWMN_1196,859,783,1357,283,200,87
NWMN_1197,1043,1276,1449,380,262,216
NWMN_1200,85,63,150,47,33,29
NWMN_1202,1401,1655,2019,474,377,269
NWMN_1203,1499,1697,2088,482,359,285
NWMN_1210,445,462,699,205,144,125
NWMN_1212,342,375,443,99,68,72
NWMN_1213,1081,1302,1489,845,649,514
NWMN_1214,427,536,657,319,226,180
NWMN_1215,636,794,886,355,231,229
NWMN_1218,1,1,1,1,0,0
NWMN_1219,10,5,19,5,0,0
NWMN_1220,8,9,18,3,0,0
NWMN_1221,2,0,3,0,0,1
NWMN_1222,4,1,10,1,2,0
NWMN_1223,18,27,22,11,6,6
NWMN_1224,9,6,20,4,4,1
NWMN_1225,94,68,120,35,19,21
NWMN_1226,45,22,43,3,9,3
NWMN_1227,0,1,2,1,1,0
NWMN_1228,419,505,571,39,32,30
NWMN_1229,2,1,1,0,0,0
NWMN_1230,1966,2007,2813,867,639,433
