geneName,SA_1,SA_2,SA_3,CC_1,CC_2,CC_3
pflB,216324,138193,236134,10483,6581,5264
pfs,457,670,839,300,182,185
pgi,17122,18555,22787,11388,8456,6941
pgk,4322,5686,6486,8893,6600,5409
pgm,7273,9024,10585,13455,9821,8757
pgsA,1346,1289,1863,241,198,115
phdA,30582,33020,40910,8007,5732,5073
phdB,24144,25877,32081,5682,4093,3687
pheS,1639,1973,2366,473,392,365
pheT,5713,6616,8055,1346,1006,877
phoB,16,28,14,15,7,10
phoH,1869,1994,2415,838,623,563
phoP,981,990,1270,408,328,273
phoR,1976,1850,2828,541,365,286
phoU,67,55,80,18,8,8
plsC,811,951,1190,273,204,153
plsX,2232,2519,3054,1339,952,788
pnp,23,24,38,13,8,4
pnpA,10111,11169,13407,2817,1847,1765
polA,4913,5306,6993,2248,1600,1314
polC,8890,10136,12328,2271,1620,1244
porA,2183,2516,3317,4078,2796,2234
porB,1297,1242,2030,1348,870,619
potA,307,400,546,125,76,67
potB,107,144,166,23,25,9
potC,191,189,342,46,32,19
poxB,12603,14116,18951,3011,2179,1912
ppi,2657,2901,3658,1498,1154,993
ppnK,1614,1836,2351,720,505,489
prfA,2010,2469,2973,1121,773,667
prfB,1596,1865,2163,342,251,193
prfC,3928,4503,5439,827,588,460
priA,4542,4771,6120,1297,973,819
prmA,1174,1356,1772,334,262,194
proS,6924,7886,9724,1242,856,682
prs,4073,4978,5961,2160,1500,1387
prsA,2273,2480,3307,516,377,298
pryF,183,250,219,2280,1692,1425
pryR,201,260,329,4049,2885,2418
pstB,43,50,57,15,7,4
pstS,12,12,16,2,4,6
pth,649,643,858,205,156,133
ptsG,14611,10608,16981,2458,1448,1116
purA,1593,2018,2179,2386,1668,1538
purB,4781,5662,6659,2377,1542,1459
purC,1172,1265,1713,336,254,186
purD,7269,8168,8542,2179,1627,1304
purE,1119,1493,1528,393,298,307
purF,6540,7436,8101,2060,1572,1332
purH,6191,7021,7821,1932,1449,1201
purK,3271,4008,4663,1007,888,704
purL,8277,9482,10550,2760,2003,1735
purM,4374,4971,5641,1432,1154,948
purN,2375,2720,3038,779,585,444
purQ,2303,2664,3044,757,598,498
purR,3981,3891,5612,613,472,281
putA,1733,402,1301,55,33,25
putP,1734,1429,2078,541,341,297
pycA,12831,12923,16373,2708,1964,1716
pykA,14473,22644,22678,11311,8141,7028
pyrAA,210,267,274,6551,4626,4281
pyrB,171,198,232,5444,3998,3042
pyrC,172,222,319,8142,6045,5221
pyrD,1858,2742,3057,18631,13077,10226
pyrE,175,245,259,1997,1384,1073
pyrG,1732,2288,2752,1522,1111,909
pyrH,2679,3320,4057,1792,1319,1179
pyrP,79,102,118,7332,4959,4441
qoxA,65098,70519,87763,22146,15328,12863
qoxB,138051,146158,188398,42561,29864,24643
qoxC,40431,41908,54118,11256,7734,6436
qoxD,18398,20312,25117,5416,3666,3142
queA,1212,1290,1684,387,287,261
radA,2040,2540,2933,976,766,668
radC,83,114,133,52,38,22
rbfA,1091,1190,1685,472,328,246
rbgA,650,830,976,188,114,113
rbsD,208,200,277,48,45,22
rbsK,506,479,642,108,105,88
rbsR,652,648,835,237,153,130
rbsU,433,352,468,102,74,77
recA,6624,7534,8999,3281,2383,1981
recF,4745,5096,6175,2453,1787,1447
recG,3794,3843,5162,1295,942,796
recJ,2886,3440,4158,677,420,369
recN,3173,3115,4455,1734,1247,896
recO,2036,2113,2714,374,287,217
recQ,3573,3793,5320,698,521,375
recR,2630,2953,3524,1092,815,760
recU,2888,3461,4415,1624,1107,974
recX,636,626,987,239,178,107
relA,9824,10645,13536,2242,1555,1354
rexA,6418,6461,8347,1504,1116,899
rexB,3836,4067,5241,1117,806,631
rho,5248,6687,7651,1939,1375,1152
ribA,3820,3827,4921,338,242,207
ribB,1909,1999,2541,206,147,103
ribD,3820,3977,4988,449,352,315
ribF,2727,3148,3924,1508,1106,1001
ribH,1693,1723,2257,120,95,71
rimJ,400,440,671,148,74,76
rimM,276,373,400,88,47,52
rlp,265,301,428,33,41,29
rluB,1323,1509,1838,610,407,337
rnc,589,721,881,253,201,141
rnhB,631,750,885,143,110,85
rnpA,152,216,258,165,105,81
rocD,5362,2666,5232,970,589,549
rpe,914,1049,1286,430,301,247
rpi,657,771,953,278,179,169
rpl7AE,1017,1086,1369,341,220,166
rplA,11642,14700,17087,5116,3465,3043
rplB,19675,24001,26633,7177,4861,4588
rplC,10731,14020,15661,4698,3069,2906
rplD,8858,11472,12626,3424,2317,2086
rplE,8466,9867,11881,2315,1587,1255
rplF,8517,10022,11696,2453,1654,1438
rplI,2660,3026,3568,702,472,423
rplJ,9694,11848,13602,2903,1898,1657
rplK,12739,16257,17884,5051,3594,3132
rplL,4916,5815,6973,1324,809,688
rplM,7317,9086,11543,3678,2476,2268
rplN,7787,9085,10402,2467,1661,1385
rplO,6467,7564,8514,1967,1335,1115
rplP,7268,8086,9786,2376,1579,1488
rplQ,5401,6437,7428,1680,1147,1035
rplR,6296,7526,8692,1834,1236,1052
rplS,6821,8350,9439,5153,3483,3063
rplT,5407,6242,7679,1695,1127,1070
rplU,7310,9053,10370,2910,2106,1772
rplV,5137,6498,7258,1800,1209,1078
rplW,3224,4227,4805,1207,850,709
rplX,5483,6864,7717,1492,1024,941
rplY,11966,15768,16826,4301,2938,2657
rpmA,5860,7010,7631,1885,1460,1221
rpmB,20584,20826,28168,3592,2570,1558
rpmC,2555,3319,3514,760,531,469
rpmD,2951,3389,4002,843,567,522
rpmE2,7091,8954,10078,1700,1172,967
rpmF,3447,4018,4972,1531,1125,911
rpmG,4185,4536,6296,1396,1170,740
rpmH,5213,6437,7825,1969,1371,932
rpmI,4151,4919,5935,1339,911,832
rpmJ,1966,2470,2715,652,481,372
rpoA,16342,18932,22428,5386,3674,3164
rpoB,45444,52738,63651,14182,10281,9515
rpoC,57401,65410,78536,14164,10025,8755
rpoD,1562,1713,2233,820,592,492
rpoE,3310,4114,4914,908,629,453
rpsA,24596,26200,32232,9470,6999,5994
rpsB,13638,18035,20864,6455,4575,3842
rpsC,12852,15648,17674,3995,2706,2537
rpsD,14450,18574,21190,4450,3092,2600
rpsE,9039,10733,12124,2819,1899,1746
rpsF,8557,10418,12099,3563,2482,2048
rpsG,14056,16861,19730,8396,6045,5339
rpsH,6157,7085,8949,1613,1139,871
rpsI,9081,11400,13269,4655,3167,2969
rpsJ,7703,10646,11326,3555,2434,2269
rpsK,5760,6950,7709,2109,1440,1295
rpsL,16537,20365,22723,10660,7760,6555
rpsM,5727,6833,7845,2116,1481,1337
rpsN,3406,4212,4838,1049,743,689
rpsO,10364,12335,14622,7620,5158,4496
rpsP,3146,3874,4426,709,477,425
rpsQ,4704,5588,6752,1223,807,529
rpsR,4153,5086,5796,1579,1073,849
rpsS,6738,8230,9763,2238,1606,1500
rpsT,2116,2578,3179,813,535,365
rpsU,5751,6080,7532,1586,1112,676
rsbU,5370,5615,7248,1167,870,643
rsbV,1769,1779,2567,401,264,244
rsbW,1925,1828,2609,435,344,309
ruvA,936,1065,1334,334,248,183
ruvB,1551,1730,2133,604,439,391
saeR,39903,42094,53276,10658,7440,6035
saeS,51795,50410,72895,12006,8085,5888
sak,52,65,70,32,35,22
sarA,7401,5368,11772,1108,808,444
sarH1,291,260,481,116,95,44
sarR,3457,2819,5654,636,388,196
sarT,3,0,3,4,0,0
sarU,3,3,1,0,1,0
sarV,217,221,327,20,18,10
sarY,109,88,152,26,26,12
sbcC,949,999,1394,305,218,161
sbcD,266,460,484,167,136,131
sbi,2972,3802,4480,1162,866,755
sbnA,2,5,5,0,1,0
sbnB,7,13,19,1,3,0
sbnC,32,38,48,4,2,2
sbnD,23,29,50,5,2,5
sbnE,65,65,77,16,13,8
sbnF,112,117,162,14,22,19
sbnG,47,65,88,15,8,5
sbnH,116,100,151,23,17,14
sbnI,106,103,153,25,19,14
scdA,2007,2236,2677,1782,1303,1051
scn,9763,9388,14182,1758,1204,760
scrB,3740,3629,4843,1006,715,554
scrR,1288,833,1488,307,177,165
sdhA,19419,15518,22699,2071,1337,1082
sdhB,10863,8831,13315,916,612,495
sdhC,3291,2319,3948,306,194,135
sdrC,230,266,348,71,49,38
sdrD,294,363,450,87,76,62
sdrE,2327,2758,3234,946,676,639
sdrH,9839,10184,13157,2697,2078,1830
sea,646,783,903,84,65,43
secA,9441,11128,13349,3651,2715,2368
secDF,12484,14314,18092,4617,3066,2461
secE,1398,1927,2151,540,413,299
secG,2574,2935,3362,775,558,472
secY,21869,25607,30395,7062,4950,3984
serA,1532,1728,2106,415,331,269
serS,2865,3336,4006,1045,726,598
set10nm,135,149,182,39,27,22
set11nm,43,62,55,55,44,25
set1nm,304,302,381,96,69,50
set2nm,43,46,59,25,15,11
set3nm,45,47,52,23,22,21
set4nm,70,83,104,46,38,31
set5nm,22,24,37,7,7,3
set6nm,21,26,37,13,11,7
set7nm,100,137,181,30,25,26
set8nm,43,51,71,15,14,5
set9nm,35,37,63,9,6,3
sigA,6822,7017,9650,1533,1074,933
sigB,8124,8656,10765,2096,1569,1581
sirA,28,45,55,9,12,6
sirB,31,35,32,9,3,3
sirC,2259,2399,3264,424,308,280
smc,3050,3511,4453,971,667,508
smpB,2023,2206,2888,480,320,319
sodA,22429,23898,31097,15139,11397,10030
sodM,233,219,257,81,67,66
spa,91,87,122,47,23,22
splA,109,82,111,7,6,4
splB,59,50,97,8,4,1
splC,67,58,94,4,4,2
splD,49,46,53,3,0,0
splE,26,36,39,1,0,1
splF,19,39,31,1,1,1
spoVG,13735,12913,18796,3483,2585,2440
spsA,864,950,1220,250,190,144
spsB,1083,1294,1668,394,269,214
spxA,47543,40911,63770,11011,7385,5330
srrA,5047,4585,6174,1433,988,823
srrB,4723,4286,6009,966,745,527
srtA,2174,2523,3019,737,561,512
srtB,21,20,38,6,5,2
ssp,2624,3230,3727,2947,1914,1444
sspA,177,215,259,75,46,59
sspB,239,272,349,90,54,54
sspC,41,33,65,12,5,6
stbD,797,751,1128,137,122,71
sucA,19453,12762,21069,2489,1650,1387
sucB,7554,5416,8716,815,466,383
sucC,8388,6067,9751,2435,1592,1239
sucD,8167,5912,9203,2075,1403,1149
sufB,19185,20221,28327,3346,2487,2191
sufC,5414,5496,7825,1194,967,853
sufD,8949,9344,13795,1725,1321,1136
sufS,10116,10446,14708,1877,1418,1284
tagA,840,978,1224,307,198,209
tagB,1482,1504,2082,580,430,365
tagD,963,1058,1323,267,180,143
tagG,2607,2731,4006,847,550,364
tagH,3703,4206,5049,1551,1174,940
tagX,1614,1842,2372,561,394,297
tatA,270,297,413,38,24,29
tcaA,955,1065,1379,289,206,169
tcaB,470,532,783,183,129,88
tcaR,760,750,1215,133,106,68
tdk,1352,1725,2057,813,631,507
tgt,1693,2180,2654,1213,832,713
thiD,3506,3954,4728,2065,1398,1340
thiE,60,52,66,21,19,22
thiI,277,383,455,74,76,54
thiM,50,46,52,19,22,17
thrA,174,192,272,78,46,33
thrB,856,937,1114,310,194,184
thrC,1013,1076,1324,369,284,198
