GeneName,X50446,X50447,X50448,X50449,X50450,X50451,X50452,X50453,X50454,X50455,X50456,X50457
dnaA,11799,10893,13638,11561,13337,9244,7537,10290,8589,6673,10746,10102
dnaN,9457,9649,12246,9695,11808,7970,7153,10153,7067,5316,7451,6682
yaaA,952,941,1099,749,1209,713,827,1093,896,629,735,667
recF,8012,8595,6582,6316,6986,3954,7629,10163,5852,4602,6452,5514
EW032_RS00025,14110,15209,8239,8853,8454,5551,13014,18388,7202,7823,9953,7008
gyrA,16986,18267,13804,11392,13014,8033,12250,20994,12779,7722,10186,9170
EW032_RS00035,1633,1207,1189,1240,1453,1771,1047,895,917,1367,801,515
hutH,1030,427,361,852,283,380,819,961,264,2968,1318,504
EW032_RS00045,6423,4008,6176,11324,9469,7199,3823,2804,3586,6205,3616,2583
EW032_RS00050,1671,782,1417,1564,2434,3049,1842,865,3047,2812,1798,2020
EW032_RS00055,827,315,406,773,490,653,543,358,139,1706,892,78
EW032_RS00060,414,168,254,332,420,429,234,188,99,848,349,68
EW032_RS00065,1223,543,793,1013,782,686,774,617,308,1976,934,284
EW032_RS00070,3938,3122,3845,3070,4050,3210,2180,2577,1705,1746,1602,1139
EW032_RS00075,15153,14406,12582,10583,13882,8319,7170,9766,5222,4625,5039,3573
EW032_RS00080,4612,3765,3394,3032,3738,2499,2330,2720,1620,1932,1786,1496
dnaB,10676,11030,8616,8025,10114,6635,4383,6852,3261,3901,3806,2724
EW032_RS00090,71,25,26,108,8,25,56,40,7,739,96,2
EW032_RS00095,5816,4595,3094,3894,1149,4436,2926,1641,603,3141,2006,1728
EW032_RS00110,4420,3425,3984,3868,4346,3420,5574,5146,2876,3124,3827,2684
walK,8626,7577,8671,7163,9015,6712,9274,10914,6410,4603,6817,6264
EW032_RS00120,9164,8054,8205,6812,8387,5990,6692,9648,5259,4051,5450,5038
EW032_RS00125,6200,5212,5059,4754,5319,3846,3260,5032,2660,2960,3121,2507
EW032_RS00130,2531,2442,2036,1983,1665,1230,1493,1744,1216,1937,1205,337
EW032_RS00135,4737,2421,1844,3105,2795,3859,8023,2915,3162,9335,5522,10904
EW032_RS00140,56,30,36,63,10,30,71,41,2,280,91,13
rlmH,1174,724,686,945,904,697,1158,1008,562,2032,1273,892
EW032_RS00150,2391,1690,1917,2448,2260,1996,2739,2305,1575,3655,2817,2011
EW032_RS00155,66,12,21,47,17,24,30,15,9,195,40,4
EW032_RS00160,351,116,120,317,119,166,234,152,64,897,300,82
EW032_RS00165,144,55,59,100,60,92,98,51,30,398,127,39
EW032_RS00170,4549,1290,1821,3045,3100,3424,3901,872,2207,4743,3533,3280
EW032_RS00175,4147,1479,1993,2447,3188,2754,4188,929,2481,3025,2863,3601
EW032_RS00180,1096,362,453,593,722,561,938,209,511,559,599,771
EW032_RS00185,3286,1233,1409,1774,2106,1531,3507,834,1716,2105,1997,1889
EW032_RS00190,1056,411,426,510,673,403,1311,326,565,667,547,429
EW032_RS00195,7,2,5,11,1,4,14,2,3,49,20,0
EW032_RS00200,3497,1298,909,1414,1533,762,3625,925,1072,1516,1145,465
EW032_RS00205,744,267,157,302,242,131,818,266,202,554,285,39
EW032_RS00210,2181,786,369,700,443,208,1656,806,356,1906,694,70
EW032_RS00215,1860,914,418,841,357,280,941,721,211,2230,851,73
EW032_RS00220,1028,786,375,622,347,274,599,507,394,1410,690,210
EW032_RS00225,53,36,64,82,31,42,25,25,17,162,43,8
EW032_RS00230,284,176,212,245,211,221,120,125,107,236,124,34
EW032_RS00235,2212,2000,2118,2259,1856,2175,1403,1408,929,2622,1353,733
EW032_RS00240,78,20,12,82,18,19,50,41,4,222,91,15
EW032_RS00245,289,170,192,279,158,239,225,247,115,800,353,112
EW032_RS00250,737,331,329,660,293,424,708,665,268,2059,892,204
EW032_RS00255,127,56,67,117,76,67,145,146,51,461,153,25
EW032_RS00260,536,252,319,519,377,537,470,392,186,1042,564,342
EW032_RS00265,202,52,70,236,65,110,144,114,28,682,245,24
EW032_RS00270,348,129,106,297,131,260,185,108,65,817,311,88
EW032_RS00275,461,184,148,432,167,267,249,155,50,1352,505,49
EW032_RS00280,1811,534,717,1684,796,1363,1851,977,578,5539,2199,1048
EW032_RS00285,520,265,266,448,359,426,555,320,196,891,429,201
EW032_RS00290,4964,2690,1982,2299,6869,2996,7010,3798,4389,5355,4533,4483
EW032_RS00295,287,89,77,322,35,131,254,113,46,1495,479,158
EW032_RS00300,340,85,87,377,31,134,264,150,45,1657,535,197
EW032_RS00305,518,140,142,522,119,397,581,247,143,2113,763,453
EW032_RS00310,1708,838,913,1320,1042,1719,2535,1221,959,4421,2702,1922
EW032_RS00315,351,214,211,273,233,326,592,305,230,718,546,392
EW032_RS00320,493,295,322,430,374,427,866,422,299,1073,693,540
EW032_RS00325,96,33,34,98,34,52,81,33,13,613,73,11
EW032_RS00330,1875,978,1202,1685,1343,1726,1449,1027,698,4001,1883,982
EW032_RS00335,570,113,145,557,124,227,611,303,226,2204,908,192
EW032_RS00340,854,181,219,854,160,302,883,494,336,2941,1254,171
EW032_RS00345,5194,3305,6625,3067,4902,5922,6286,5085,4445,2967,4426,3504
EW032_RS00350,1311,687,796,1131,922,746,4998,3885,2621,3738,4782,2140
EW032_RS00355,331,182,156,297,158,175,380,209,184,826,357,122
EW032_RS00360,1243,1291,1124,1242,1205,1475,1528,1180,1362,2444,1499,484
EW032_RS00365,9697,6946,12141,13698,9379,34261,47638,12246,21865,28033,30262,100395
EW032_RS00370,45,23,19,48,13,29,45,17,14,250,44,11
EW032_RS00375,2345,1220,2378,2956,2349,5244,2312,1334,1843,3388,2665,2797
EW032_RS00380,477,164,240,437,272,312,2575,1654,2166,1769,1595,1658
EW032_RS00385,285,112,143,268,135,204,1611,906,1343,1089,1084,1430
EW032_RS00390,539,130,214,477,131,544,3447,943,2642,3021,2769,9946
EW032_RS00395,219,38,41,248,7,70,600,240,311,1154,531,507
EW032_RS00400,228,28,35,231,10,60,655,296,369,1059,635,522
sbnC,589,104,121,603,56,140,1810,790,852,2515,1591,1102
EW032_RS00410,714,146,149,790,74,199,1529,662,556,3272,1348,415
EW032_RS00415,432,99,95,465,72,138,2089,911,705,1882,1111,836
EW032_RS00420,619,117,139,558,79,178,2432,1091,959,2328,1471,1095
