,1_20160629000_S1_L002_R1_001 (paired) (GE) - Total counts,2_20160629000_S2_L002_R1_001 (paired) (GE) - Total counts,3_20160629000_S3_L002_R1_001 (paired) (GE) - Total counts,4_20160629000_S4_L002_R1_001 (paired) (GE) - Total counts,5_20160629000_S5_L002_R1_001 (paired) (GE) - Total counts,6_20160629000_S6_L002_R1_001 (paired) (GE) - Total counts
glcT,4529,4349,3678,4553,4408,4558
SAUSA300_1254,35245,31059,27537,34892,34708,35226
fmtC,38076,32541,31073,35219,35800,34441
msrA_1,7482,7186,5162,6984,5891,5737
msrR,8346,7712,7368,7577,8075,7619
SAUSA300_1258,8086,7584,5835,6151,5883,5952
SAUSA300_1259,1153,1027,889,1165,1094,1023
SAUSA300_1260,4972,4120,4116,5342,5012,4625
SAUSA300_1261,7946,7417,6063,5125,5230,5015
trpE,572,471,419,564,580,554
trpG,259,209,162,282,284,249
trpD,589,496,437,628,600,563
trpC,125,112,70,121,74,113
trpF,88,90,55,79,90,74
trpB,215,180,151,184,157,182
trpA,437,398,312,455,459,446
femA,37895,35976,30873,25909,28208,25593
femB,44210,42218,35146,32566,37041,32082
SAUSA300_1271,2872,2592,2051,3247,3088,2901
SAUSA300_1272,3782,3558,2630,2950,2618,2649
opp-2F,1922,1748,1447,1572,1473,1427
SAUSA300_1274,1184,1122,934,910,885,815
SAUSA300_1275,909,889,676,727,642,651
opp-2B,1112,1002,919,905,834,772
SAUSA300_1277,623,638,535,626,639,694
pepF_2,16016,13585,12297,17934,17722,15751
phoU,259,245,244,263,308,228
pstB,339,338,279,204,292,214
pstA,302,267,218,246,228,196
pstC,263,248,175,185,195,196
pstS,394,325,228,169,134,210
SAUSA300_1284,30684,28760,23267,27942,26594,27291
SAUSA300_1285,20463,20531,17503,27798,29550,27339
SAUSA300_1286,5414,4696,3947,6047,5105,5618
asd,9871,8500,6684,11540,9209,10023
dapA,9205,8570,6420,10559,8688,9266
dapB,6259,5525,4620,6861,5613,6140
dapD,6075,5345,4696,6253,4983,5635
SAUSA300_1291,3049,2615,2387,4216,3969,3867
alr2,2846,2294,2344,4263,4000,3703
lysA,10218,8871,8189,11322,10638,10973
SAUSA300_1294,20,30,21,54,67,86
SAUSA300_1295,245872,211131,204564,220020,224989,228021
SAUSA300_1296,2327,2077,1697,1923,1587,1702
SAUSA300_1297,4863,4404,3105,2358,2129,2093
SAUSA300_1298,11274,9728,8117,5828,5381,5214
SAUSA300_1299,23087,20669,17708,11688,11602,11434
brnQ_3,5101,4883,4238,7475,7978,7121
SAUSA300_1301,15239,13589,11666,13801,14366,13157
SAUSA300_1302,8137,7818,6194,7248,7121,6888
SAUSA300_1303,4191,3751,3662,2553,2769,2621
SAUSA300_1304,21271,19700,17977,14276,13575,14604
sucB,10917,11367,9334,11397,10918,10753
sucA,22029,21780,18913,20446,19623,19779
arlS,26049,23548,18279,0,2,1
arlR,15664,14528,11482,0,0,2
SAUSA300_1309,860,827,615,783,693,860
SAUSA300_1310,8521,7785,7395,7562,8398,7190
murG,18334,20074,14707,15313,16607,14779
SAUSA300_1312,5075,5724,4611,4237,4961,4728
ctpA,18219,15375,14373,23529,23179,22637
SAUSA300_1314,9461,8843,8820,6374,7445,7082
crr,19810,18223,18409,14064,15555,14958
msrB,13897,13527,12224,10130,10996,10697
msrA_2,25619,27918,22264,19024,19134,18866
SAUSA300_1318,15450,14542,13476,12420,13234,11846
folA,18322,19392,13759,14125,14394,13780
thyA,16097,15772,13301,12296,12520,11936
SAUSA300_1321,4807,4078,4082,4877,5419,5043
SAUSA300_1322,14567,13993,12010,14940,15926,14780
SAUSA300_1323,3285,3253,2663,3516,3524,3328
SAUSA300_1324,935,911,674,2178,2080,1856
SAUSA300_1325,107,96,98,205,196,179
SAUSA300_1326,417,464,270,414,376,386
SAUSA300_1327,15311,14595,13263,416648,400823,435537
SAUSA300_1328,12218,10521,9757,1859,1993,1941
SAUSA300_1329,34539,33831,26594,4220,4014,4622
ilvA_1,35864,34324,29755,4612,4112,4633
ald_1,39767,35581,31378,5420,4842,5490
SAUSA300_1332,11873,11571,9564,9793,10207,9667
SAUSA300_1333,29521,27910,23314,25341,25994,24779
SAUSA300_1334,1626,1720,1505,2667,2751,2768
SAUSA300_1335,1081,1031,926,1051,1223,1107
SAUSA300_1336,2817,2767,2424,3185,3149,2913
SAUSA300_1337,19086,20042,14213,14228,13976,13423
SAUSA300_1338,23111,22325,17295,15063,14440,14458
SAUSA300_1339,11215,9748,8387,7521,7086,7243
recU,8680,8363,7507,11610,12302,11679
pbp2,85144,74175,73327,94898,98622,93008
SAUSA300_1342,1628,1459,1158,1376,1480,1272
nth,3716,3409,3185,3169,3561,3140
SAUSA300_1344,3241,3287,2489,2651,2643,2730
asnC,66302,60147,57745,62169,63241,61651
SAUSA300_1346,14045,13378,12585,13167,14710,14041
birA,4432,4640,3802,4516,4387,4064
SAUSA300_1348,5450,4785,3990,4840,4992,4666
SAUSA300_1349,5183,4846,4116,4254,4537,4254
SAUSA300_1350,1370,1390,1092,1102,1098,1013
SAUSA300_1351,106038,96193,85761,96669,98451,98786
SAUSA300_1352,2874,2395,2201,3381,3539,3290
SAUSA300_1353,3596,3120,3011,4100,4312,4049
SAUSA300_1354,14332,12801,12183,15268,15698,14797
aroA,15155,13532,12165,17110,16662,16013
aroB,6507,5670,5121,8825,8428,8095
aroC,7922,6747,6065,10611,10247,9880
ndk,2461,1925,2264,2911,3094,3009
SAUSA300_1359,17220,15829,13217,18031,17155,16949
ubiE,9452,8306,7782,9710,9020,9153
SAUSA300_1361,4556,4362,3531,4892,4658,4736
hup,560291,419803,493351,485208,469579,486786
gpsA,20521,18688,18019,21496,21831,20996
engA,34727,32067,28174,36090,34933,33772
rpsA,154050,125904,120442,109916,105127,106113
SAUSA300_1366,2,0,2,2,5,0
cmk,13036,11869,9489,15082,13963,13490
ansA,4100,3796,3338,6334,6733,6225
SAUSA300_1369,3962,3444,3206,3874,3911,4118
ebpS,151050,150065,107854,127299,116966,114395
recQ_2,10048,9816,8158,7564,7353,7086
SAUSA300_1372,4316,4428,3461,4213,4179,3745
SAUSA300_1373,1446,1443,1048,1662,1755,1729
SAUSA300_1374,2161,2142,1835,1782,1954,2022
SAUSA300_1375,58,50,60,50,60,38
SAUSA300_1376,650,697,505,520,548,622
SAUSA300_1377,54,56,46,50,46,41
SAUSA300_1378,141,111,116,167,97,123
SAUSA300_1379,68,69,86,63,63,55
SAUSA300_1380,36,33,21,20,22,32
lukF-PV,10731,8392,7421,2292,1820,1882
lukS-PV,10693,8777,7244,2009,1374,1805
SAUSA300_1383,95,106,70,85,100,99
SAUSA300_1384,10,6,4,8,12,2
SAUSA300_1385,54,42,12,24,25,29
SAUSA300_1386,20,31,10,25,16,20
SAUSA300_1387,55,29,38,34,30,43
SAUSA300_1388,115,105,82,125,95,118
SAUSA300_1389,514,509,370,463,472,399
SAUSA300_1390,41,31,38,29,32,42
SAUSA300_1391,399,365,225,319,236,227
SAUSA300_1392,268,237,180,106,124,113
SAUSA300_1393,2511,2423,1640,1372,1093,1155
SAUSA300_1394,24,8,12,4,10,3
SAUSA300_1395,41,30,32,9,30,24
SAUSA300_1396,572,607,431,334,337,356
SAUSA300_1397,240,240,218,149,136,152
SAUSA300_1398,54,51,48,71,50,55
SAUSA300_1399,22,30,14,16,22,37
SAUSA300_1400,26,26,39,41,26,30
SAUSA300_1401,229,234,133,242,229,240
SAUSA300_1402,97,84,58,97,86,81
SAUSA300_1403,507,514,422,448,488,488
SAUSA300_1404,328,304,244,342,271,278
SAUSA300_1405,14,13,4,14,13,11
SAUSA300_1406,0,6,4,8,4,4
SAUSA300_1407,290,238,185,183,258,187
SAUSA300_1408,675,653,448,567,525,497
SAUSA300_1409,69,112,75,61,51,81
SAUSA300_1410,757,646,491,576,457,538
SAUSA300_1411,30,38,20,33,36,24
SAUSA300_1412,18,20,16,22,12,12
SAUSA300_1413,76,48,51,90,58,52
SAUSA300_1414,29,31,16,19,19,16
SAUSA300_1415,30,27,21,20,18,10
SAUSA300_1416,32,27,17,31,18,16
SAUSA300_1417,51,51,26,41,24,30
SAUSA300_1418,18,14,19,8,12,13
SAUSA300_1419,14,12,4,2,8,7
SAUSA300_1420,40,17,4,16,10,12
SAUSA300_1421,41,24,14,35,28,18
SAUSA300_1422,9,6,3,2,6,4
polA_1,119,118,101,103,89,84
SAUSA300_1424,49,32,60,37,36,26
SAUSA300_1425,47,51,50,65,55,34
SAUSA300_1426,6,8,8,9,8,12
SAUSA300_1427,6,6,4,10,11,14
SAUSA300_1428,4,8,6,2,4,0
SAUSA300_1429,0,0,0,0,0,0
SAUSA300_1430,44,40,29,67,65,55
SAUSA300_1431,44,35,43,36,50,35
SAUSA300_1432,2914,2490,2721,3270,3651,3095
SAUSA300_1433,45,40,27,53,64,30
SAUSA300_1434,1425,1375,984,1852,1725,1497
SAUSA300_1435,1545,1295,1144,1998,1998,1702
SAUSA300_1436,2384,2484,1683,2981,2928,2652
SAUSA300_1437,9018,8023,6958,8046,8371,8164
SAUSA300_1438,938,897,659,873,872,698
SAUSA300_1439,2224,2115,1688,1020,914,878
SAUSA300_1440,825,643,514,178,154,132
srrB,44305,40947,32552,34714,29889,34273
srrA,42606,37505,34591,31840,29861,32877
rluB,7792,7640,5646,7586,7060,6760
scpB,4526,4508,3577,4279,4153,4028
scpA,5806,5512,4520,5440,5314,5406
SAUSA300_1446,619,624,484,543,491,574
xerD,6371,5694,4510,6498,5603,5993
SAUSA300_1448,7955,6016,6845,8189,7968,8152
SAUSA300_1449,3383,3047,2441,2951,2530,2614
SAUSA300_1450,15675,14438,12498,11778,11485,10756
SAUSA300_1451,3380,2909,2532,2950,2639,2630
proC,7142,6489,5410,7832,7403,7318
SAUSA300_1453,5935,5071,4716,7397,6978,6824
zwf,64061,57568,53046,50505,50908,49570
SAUSA300_1455,14403,12406,11963,14582,13930,13991
SAUSA300_1456,2293,2811,2713,1325,1259,1335
malR,941,951,901,537,539,634
SAUSA300_1458,13199,10128,10766,11694,11678,11331
gnd,113115,105051,93853,101367,103064,101696
SAUSA300_1460,10621,9793,7787,9886,9380,9486
SAUSA300_1461,195,300,204,249,336,419
SAUSA300_1462,8472,7835,6735,8919,9036,9237
SAUSA300_1463,3961,3574,3296,4161,4331,4166
SAUSA300_1464,25899,26112,23408,21207,22069,22447
SAUSA300_1465,19110,18327,16413,14857,14841,14601
SAUSA300_1466,23831,22809,20218,17243,17484,17230
lpdA_2,32017,32689,25887,22089,21867,20912
recN,35865,35705,30577,25391,24593,24894
argR_2,8327,6681,6918,6071,5773,5830
SAUSA300_1470,18253,18178,14529,19145,18835,18193
xseB,2922,2655,2823,3404,3535,3496
xseA,20552,19704,17270,22860,23004,21835
nusB,8991,8837,7249,9121,9743,8888
SAUSA300_1474,7396,7218,5615,7972,8023,7447
accC_1,27556,26541,22503,32026,32825,29875
accB_1,13111,13807,10318,14786,13944,13215
SAUSA300_1477,20869,18735,15953,15747,15627,15595
SAUSA300_1478,6446,6750,4558,4792,4969,5047
SAUSA300_1479,705,682,622,306,320,336
SAUSA300_1480,741,657,508,360,374,354
SAUSA300_1481,1966,1779,1401,1409,1426,1432
SAUSA300_1482,127,153,87,142,121,136
SAUSA300_1483,1693,1457,1276,1392,1275,1325
SAUSA300_1484,74,79,37,73,84,58
SAUSA300_1485,152,175,97,124,126,147
SAUSA300_1486,156,146,98,141,128,137
SAUSA300_1487,655,534,432,524,422,369
SAUSA300_1488,162,136,134,130,145,113
SAUSA300_1489,169,193,145,115,134,107
efp,63891,53236,57212,65992,69745,68000
SAUSA300_1491,30768,28455,22311,25912,23841,23652
SAUSA300_1492,7509,6960,5355,5161,4835,4833
SAUSA300_1493,1203,1085,946,749,948,908
SAUSA300_1494,10081,9139,7911,9105,8772,9100
SAUSA300_1495,35040,25359,23419,21695,21307,21106
SAUSA300_1496,19096,17098,16251,16910,17153,16466
SAUSA300_1497,15423,13611,12302,13608,13323,13057
gcvT,9279,8762,6987,7815,7693,7298
aroK,3094,2747,2232,3268,2827,3021
SAUSA300_1500,109,111,96,108,112,98
SAUSA300_1501,32,51,29,55,45,48
SAUSA300_1502,65,62,43,64,42,61
SAUSA300_1503,139,132,77,177,152,141
SAUSA300_1504,503,422,453,705,609,605
SAUSA300_1505,14475,13474,11475,11280,10993,11008
SAUSA300_1506,7190,6847,5274,5267,4867,5086
glk,21191,21416,14812,15211,13177,14465
SAUSA300_1508,3514,3812,2104,2325,2011,2251
SAUSA300_1509,14757,14903,10480,11189,9979,10890
SAUSA300_1510,4006,3818,3213,3715,3222,3642
rpmG_2,12263,10832,10551,20237,20947,20734
pbp3,28802,26873,21382,25025,23758,23570
SAUSA300_1513,83173,78789,70249,62123,70481,63176
fur,659,574,561,954,1100,933
SAUSA300_1515,1639,1622,1532,2610,2457,2219
SAUSA300_1516,1049,935,959,1643,1937,1542
SAUSA300_1517,7064,7052,5442,9906,9328,8735
SAUSA300_1518,10974,11083,8706,14699,14400,12953
SAUSA300_1519,7908,7319,5843,7958,7569,7185
SAUSA300_1520,4128,4028,2982,4122,3975,3864
rpoD,35192,31770,29121,31941,31255,30708
dnaG,25425,23800,18976,21053,19307,19039
SAUSA300_1523,8955,8106,7156,6757,6419,6443
SAUSA300_1524,4150,3643,3292,3347,3188,3120
glyS,73515,67506,64474,71775,74344,74481
recO,11303,10254,8520,8964,8370,8852
era,22518,20942,16682,17003,15746,15935
cdd,8258,7321,6380,6218,6128,5918
dgkA,3198,2966,2488,2642,2470,2483
SAUSA300_1530,9646,9342,7122,7806,6917,7096
phoH,14266,14416,10418,12389,10662,11105
SAUSA300_1532,98188,102111,79271,72255,70159,70523
SAUSA300_1533,87136,81655,71167,64269,62869,64145
SAUSA300_1534,52355,48345,42777,40381,39358,39923
rpsU,24178,16588,17849,19402,18285,21895
SAUSA300_1536,24534,22328,19117,28471,27622,26058
SAUSA300_1537,5295,5120,3795,5668,5358,5429
prmA,8518,7020,6105,7399,7154,6876
dnaJ,7058,6902,4698,5484,4808,5246
dnaK,62637,57886,50738,55810,53237,55328
grpE,12948,12347,10202,11694,11844,11606
hrcA,8712,7849,6929,8665,9047,8966
SAUSA300_1543,1704,1563,1403,2076,2101,1944
lepA,22407,20553,18347,25382,24326,24588
rpsT,18752,17172,15308,24924,23974,24834
holA,1804,1724,1407,1605,1722,1693
SAUSA300_1547,1232,1276,924,1201,1046,1186
SAUSA300_1548,5861,5034,4209,5234,4823,4977
SAUSA300_1549,1511,1510,1250,1819,1601,1573
SAUSA300_1550,8438,6873,7131,8829,9030,8829
SAUSA300_1551,7069,7551,5764,7440,7020,6747
SAUSA300_1552,9016,8807,7170,9622,9313,8851
nadD,9628,9501,7539,12508,11757,11241
SAUSA300_1554,2427,2240,1869,3043,3046,2799
aroE,5601,5099,4436,7488,7389,6719
SAUSA300_1556,10951,9817,8661,13915,13783,12143
SAUSA300_1557,5203,5045,3995,6003,5907,5442
mtnN,4291,4130,3728,5043,5279,4928
SAUSA300_1559,193,156,98,115,142,114
SAUSA300_1560,996,1035,802,1246,1234,1219
SAUSA300_1561,1741,1429,1308,5621,5418,5109
SAUSA300_1562,1156,1015,834,3906,3881,3678
accC_2,1694,1486,1135,6014,5010,5368
accB_2,462,400,300,1759,1633,1473
SAUSA300_1565,898,911,651,3284,2935,2789
SAUSA300_1566,594,464,414,1968,1795,1836
greA,17765,14018,14764,18767,18560,18490
udk,14063,13025,10906,15533,14679,14692
SAUSA300_1569,10882,9622,8836,13270,13294,12319
SAUSA300_1570,5973,5865,4552,6541,6450,6232
SAUSA300_1571,2249,2171,1749,2514,2661,2386
SAUSA300_1572,19711,16343,15486,15655,15359,15963
SAUSA300_1573,22223,21113,17232,18247,17007,17628
SAUSA300_1574,17324,14821,13077,14703,13754,14610
alaS,33977,30581,28064,34090,32945,33529
SAUSA300_1576,21366,19332,16368,23688,23082,21407
SAUSA300_1577,4213,3915,3298,5413,5104,4624
mnmA,21426,18914,16760,19255,18691,18033
SAUSA300_1579,19211,17942,14174,17837,16286,16680
SAUSA300_1580,3701,3683,2828,2947,3402,3095
SAUSA300_1581,87585,89401,49644,36160,28978,30239
SAUSA300_1582,71938,67317,49932,32206,27943,27847
SAUSA300_1583,14214,13174,9577,11930,10334,11381
SAUSA300_1584,12622,11282,10785,14764,14242,14172
SAUSA300_1585,7002,6825,5490,7752,7187,7353
aspS,26429,24110,21714,27936,27714,26576
hisS,9959,9323,7602,9635,10066,9034
lytH,26062,22801,18912,21823,21113,21160
dtd,19664,17812,14540,15479,15116,14754
SAUSA300_1590,72491,63624,54600,61252,58395,59420
apt,6747,6186,5411,7966,7808,7646
recJ,16636,15690,13836,17951,17988,17135
secF,68814,58446,54528,68752,65762,64275
yajC,8053,6629,7306,9011,9689,9205
tgt,12593,13194,10584,14955,15921,15540
queA,7064,7308,5947,8465,7820,8094
ruvB,7888,8084,6251,9257,8848,8989
ruvA,4603,4001,3820,5224,5296,5313
SAUSA300_1599,3116,2645,2717,3526,3674,3574
obgE,14841,13490,11203,17410,15748,16238
rpmA,33160,30028,30388,43621,42274,44313
SAUSA300_1602,18478,18172,17118,27059,25664,26258
rplU,35209,38943,28408,49157,44765,46987
mreD,1979,1596,1617,2067,2179,1934
mreC,6732,6326,5400,7100,6938,6865
SAUSA300_1606,1017,881,688,1185,1147,995
SAUSA300_1607,2402,1909,1998,2310,2338,2236
radC,207,154,162,141,157,124
SAUSA300_1609,86,82,59,99,106,107
folC,25615,23238,22699,24479,24635,23755
valS,59260,56046,46831,54898,51777,52037
tag,8324,7782,6557,8527,7615,7664
SAUSA300_1613,4957,4225,4049,3666,3575,3580
hemL_1,31176,32839,27580,27996,27521,28368
hemB,12562,11445,11234,10960,11179,11197
hemD,7382,7791,6139,6430,5868,6059
hemC,23075,22941,19362,20158,19705,19615
hemX,14147,12685,10533,11807,10916,11618
hemA,143455,135175,107919,114158,96812,104962
engB,2373,2614,1844,2875,2766,2739
clpX,39791,36778,35713,42805,45288,43814
tig,90763,85479,77317,98372,100407,99679
SAUSA300_1623,11736,10960,8897,13092,12414,12191
SAUSA300_1624,8908,8201,6012,9421,8355,8492
rplT,24139,23155,21552,30984,29719,29448
rpmI,19495,20572,15511,24538,22087,21839
infC,33350,36709,28452,37387,34971,35096
lysP,20860,18685,14854,13326,12056,12339
thrS,97855,88348,83334,85953,85009,86983
dnaI,30766,27209,23040,25575,23149,23877
SAUSA300_1631,28088,25072,23361,25058,23255,24825
nrdR,14760,13167,11628,14389,12705,13621
gap_2,1632,1405,1265,1444,1529,1530
coaE,14025,13427,9673,9935,9219,9300
mutM,11298,9784,8161,8187,7904,7681
polA_2,36069,31160,27710,28470,27662,27738
SAUSA300_1637,1302,1231,1070,1254,1200,1207
phoR,24349,22735,19302,11682,12011,12357
phoP,13916,13015,10392,8011,6771,7793
icd,4977,4889,4398,4851,5410,5455
gltA,2479,1911,1659,2231,2259,2281
SAUSA300_1642,126909,113077,96866,108289,97707,101495
SAUSA300_1643,188,152,154,212,182,130
pyk,377513,315640,328232,264763,260600,271784
pfkA,143539,147364,101487,109475,98084,106989
accA,12186,11150,10798,14601,15224,14284
accD,11801,11160,10496,13420,13921,13325
SAUSA300_1648,17925,17200,15049,18882,19332,18357
dnaE,35568,33005,30061,23692,23774,23616
SAUSA300_1650,15888,14087,12134,9864,9804,9709
SAUSA300_1651,15098,14370,12162,10116,9593,10404
SAUSA300_1652,59110,47980,44388,37191,35640,36880
SAUSA300_1653,37779,33931,28109,19504,18562,19258
SAUSA300_1654,18167,15214,14168,10541,9891,9975
ald_2,3407,2916,2747,2616,2516,2646
SAUSA300_1656,36719,31647,33280,22695,24064,26437
ackA,96074,91251,81056,92884,88768,91661
SAUSA300_1658,5520,4763,4321,5156,5005,5035
tpx,27259,22225,22543,22635,23861,22669
SAUSA300_1660,1786,1736,1485,2202,2216,1975
thiI,4008,3922,2979,5095,4849,4673
SAUSA300_1662,2735,2444,2087,3711,3450,3283
SAUSA300_1663,21,4,17,12,16,19
ezrA,118324,101434,98045,100421,97322,97718
SAUSA300_1665,7070,5786,6041,5693,5875,5627
rpsD,53077,49928,49257,82446,82364,84080
SAUSA300_1667,2622,2330,1765,1842,1572,1637
SAUSA300_1668,4151,3851,3255,2970,2784,2586
SAUSA300_1669,10924,8312,8195,13523,11074,11562
serA,14649,11667,11839,18044,15039,15447
SAUSA300_1671,18129,14518,12824,20042,16565,16558
nagE,18021,15693,14729,21742,20714,20966
SAUSA300_1673,7211,6532,5620,9164,8423,8602
SAUSA300_1674,30699,26908,24301,21688,21701,20615
tyrS,17493,15819,14581,16662,16234,16130
sgtA,2773,2695,2029,3098,2818,2870
SAUSA300_1677,95903,94654,74764,143432,122839,129004
fhs,43557,38988,33917,16090,14744,16187
acsA,1202,1169,951,1077,1081,1088
acuA,900,724,679,759,656,740
acuC,1137,980,921,787,755,854
ccpA,20196,19055,16205,27025,26534,26551
SAUSA300_1683,44423,37632,32205,74267,62377,63990
SAUSA300_1684,154043,154954,112669,81900,74728,73311
SAUSA300_1685,200052,147432,169121,104161,103801,105692
murC,17787,17902,15171,15544,16215,15683
SAUSA300_1687,68611,68593,53630,47402,48306,44692
SAUSA300_1688,9173,8930,6817,5607,5577,5470
SAUSA300_1689,8889,7856,7146,5486,5622,5467
SAUSA300_1690,14659,12529,11571,7417,7261,6963
SAUSA300_1691,13341,13554,10673,8116,7493,8038
SAUSA300_1692,8475,6794,6624,6489,5884,6253
SAUSA300_1693,3802,3534,2959,2896,2732,2915
trmB,31191,29889,23107,28860,27158,28161
SAUSA300_1695,48573,42300,37391,44979,41673,43664
dat,35730,32357,29121,27014,26034,26587
SAUSA300_1697,56741,46736,42116,49665,43007,45198
SAUSA300_1698,32099,34819,24564,19880,19643,18154
SAUSA300_1699,13809,12606,10124,15947,16133,15106
SAUSA300_1700,14295,11863,11931,16603,16505,16071
SAUSA300_1701,4464,4414,3474,5191,5031,4897
SAUSA300_1702,3084,2823,2535,22650,18941,21281
SAUSA300_1703,4155,4250,2974,3537,3521,3475
leuS,47461,41860,36748,45213,44020,44053
SAUSA300_1705,2401,2247,2233,2625,2870,2709
SAUSA300_1706,8993,7918,7463,12326,11611,11049
SAUSA300_1707,5090,4288,4241,7183,6735,6680
rot,34357,27714,25451,21197,20894,20606
SAUSA300_1709,265,232,222,288,253,252
SAUSA300_1710,16740,15209,12561,11430,10953,11339
putA,3077,2505,2623,2394,2632,2975
ribH,2883,2318,2408,2488,2412,2269
ribBA,8407,7496,5939,7352,6628,6479
ribE,3907,3511,2788,3344,3067,2970
ribD,9398,8823,6964,8052,7158,7180
SAUSA300_1716,4142,3977,3026,2274,2140,2272
arsR_1,454,462,421,661,469,502
arsB,1423,1260,1103,1637,1354,1392
arsC,713,682,593,852,758,751
SAUSA300_1720,21133,18706,15835,23799,22927,22810
SAUSA300_1721,2333,1974,1731,2182,2106,2005
SAUSA300_1722,1997,1819,1462,2119,2269,2054
SAUSA300_1723,3767,3218,2769,4079,3769,3972
SAUSA300_1724,493,420,388,334,365,318
SAUSA300_1725,19404,18522,15617,11441,11427,11203
SAUSA300_1726,473,359,337,548,628,565
SAUSA300_1727,54,60,45,77,80,76
SAUSA300_1728,9387,8327,7194,4705,4691,4573
SAUSA300_1729,47196,40895,35367,42605,39780,38783
metK,24242,21123,19859,33904,31712,32275
pckA,1902,1819,1755,1894,1767,1802
SAUSA300_1732,111,106,113,134,144,131
SAUSA300_1733,1818,1683,1463,1812,1741,1560
SAUSA300_1734,836,809,560,815,744,715
SAUSA300_1736,4471,4122,3857,4099,3933,3964
menC,4418,4004,3166,3629,3257,3470
menE,5596,5200,4235,5216,4690,4805
SAUSA300_1738,252,227,164,383,334,307
SAUSA300_1739,7010,7214,5029,11326,10508,9779
SAUSA300_1740,8396,8043,6878,13526,13198,12335
SAUSA300_1741,32,34,24,63,77,65
SAUSA300_1742,128,174,174,383,406,348
SAUSA300_1743,97,121,132,277,271,212
SAUSA300_1744,311,316,272,478,525,536
SAUSA300_1745,1772,1542,1279,2276,2016,2170
SAUSA300_1746,72,68,57,71,68,56
SAUSA300_1747,1352,1316,905,840,673,729
SAUSA300_1748,406,567,317,315,265,299
SAUSA300_1749,755,956,603,938,955,973
SAUSA300_1750,4488,4676,3272,5253,5085,4921
hsdS,6129,6112,4481,5497,5378,5170
hsdM_2,7778,7512,5659,7974,6872,7411
splF,517,484,477,349,207,314
splE,547,417,413,272,179,255
splD,719,563,485,454,216,322
splC,841,671,680,483,314,396
splB,996,729,622,514,316,466
splA,1169,1008,877,794,408,607
SAUSA300_1759,320,244,264,283,217,176
epiG,3008,2987,1875,901,905,1005
epiE,2438,2480,2039,969,933,950
epiF,6764,6608,5460,2672,2327,2486
epiP,4763,4576,3349,2345,2043,2088
epiD,238,213,144,169,152,134
epiC,827,766,582,664,574,611
epiB,2299,2078,1578,1952,1865,1871
epiA,349,226,451,211,233,236
lukD,583,475,381,788,672,729
lukE,385,282,247,462,424,457
SAUSA300_1770,442,407,356,604,621,549
SAUSA300_1771,3325,3485,2191,3132,2744,3034
SAUSA300_1772,6,2,18,2,6,6
SAUSA300_1773,2,0,0,2,0,0
SAUSA300_1774,0,0,0,0,0,1
SAUSA300_1775,0,0,0,0,0,0
SAUSA300_1776,2,0,5,0,0,2
SAUSA300_1777,0,0,0,0,0,0
SAUSA300_1778,0,0,0,2,0,0
SAUSA300_1779,0,0,0,0,0,0
SAUSA300_1780,5829,5462,4549,5008,4866,4906
hemG,11508,10784,9440,13345,12313,12644
hemH,6312,5892,5072,7509,7068,6849
hemE,7976,8229,6281,9457,9023,8965
SAUSA300_1784,40981,37601,31553,36631,34535,35001
SAUSA300_1785,15670,14569,11779,13116,12906,12971
SAUSA300_1786,11507,9972,9281,9492,9190,9354
SAUSA300_1787,19256,16382,14409,14060,13086,13667
SAUSA300_1788,83948,80334,61757,40022,35496,38193
SAUSA300_1789,432,352,320,545,522,523
prsA,41546,37655,34142,33160,34414,32850
cbf1,43171,43161,35734,33427,33265,33854
SAUSA300_1792,109742,103056,89578,86848,86621,86953
SAUSA300_1793,37841,34515,30117,32270,31671,32540
SAUSA300_1794,0,0,0,2,0,0
SAUSA300_1795,70163,64643,58541,65614,66525,67607
SAUSA300_1796,5138,4797,4270,4292,4358,4077
SAUSA300_1797,5199,4977,4336,8477,8576,7993
SAUSA300_1798,6343,5969,4998,6527,5829,5730
SAUSA300_1799,8934,8319,7090,9086,7925,7948
SAUSA300_1800,11822,10936,10173,13376,13348,13000
fumC,10373,8992,8742,9451,9455,10239
SAUSA300_1802,722,669,687,763,894,794
SAUSA300_1803,22667,17911,16507,11704,10744,10281
SAUSA300_1804,103487,92203,79702,53653,51045,50129
SAUSA300_1805,3968,3699,2688,3619,3283,3257
SAUSA300_1806,8657,7916,6428,8238,7290,7483
SAUSA300_1807,1830,1712,1384,2366,2129,1989
SAUSA300_1808,1713,1499,1234,2556,2346,2098
SAUSA300_1809,6520,5667,5588,9308,9886,9779
SAUSA300_1810,1360,1071,1007,1131,1014,1072
SAUSA300_1811,6,7,15,9,10,12
SAUSA300_1812,0,0,0,0,0,0
SAUSA300_1813,0,0,0,0,0,0
SAUSA300_1814,0,0,0,0,0,0
SAUSA300_1815,0,0,0,0,0,0
SAUSA300_1816,0,0,0,0,0,0
SAUSA300_1817,0,0,0,0,0,0
SAUSA300_1818,0,0,0,0,2,0
SAUSA300_1819,0,0,0,0,0,0
SAUSA300_1820,0,0,0,0,0,0
SAUSA300_1821,0,0,0,2,0,0
SAUSA300_1822,3,0,0,0,0,0
SAUSA300_1823,20,12,48,39,48,54
SAUSA300_1824,2,2,0,0,0,6
SAUSA300_1825,4,0,4,0,0,0
SAUSA300_1826,0,0,0,0,0,0
