,1_20160629000_S1_L002_R1_001 (paired) (GE) - Total counts,2_20160629000_S2_L002_R1_001 (paired) (GE) - Total counts,3_20160629000_S3_L002_R1_001 (paired) (GE) - Total counts,4_20160629000_S4_L002_R1_001 (paired) (GE) - Total counts,5_20160629000_S5_L002_R1_001 (paired) (GE) - Total counts,6_20160629000_S6_L002_R1_001 (paired) (GE) - Total counts
pgi,191108,170056,164625,116038,115015,117196
SAUSA300_0866,4868,4218,3501,5737,5117,5128
spsA,6152,5223,4655,6487,5890,6171
spsB,3737,3104,3051,3892,3985,3865
rexB,25618,23465,19219,22279,20713,21038
rexA,39251,36030,31200,29784,28311,28757
SAUSA300_0871,90155,85493,69005,57804,54903,55542
SAUSA300_0872,2846,2555,2823,3253,3536,3439
cdr,59556,53603,48951,43168,41725,41422
SAUSA300_0874,10890,10657,8487,9542,9050,8691
SAUSA300_0875,16332,12706,13756,13685,14175,13636
SAUSA300_0876,1002,790,756,925,842,831
clpB,15329,15335,12133,9331,9141,9575
SAUSA300_0878,425,497,323,428,362,430
SAUSA300_0879,48,53,36,63,53,49
SAUSA300_0880,100,78,90,129,103,109
SAUSA300_0881,270,252,196,276,283,247
SAUSA300_0882,1969,1887,1517,1889,1630,1719
SAUSA300_0883,4132,3832,3196,1675,1559,1597
SAUSA300_0884,9478,6916,8467,8449,8255,8787
fabH,11382,11446,9320,10880,11649,10357
fabF,29112,28215,23652,26939,27675,27157
oppB_1,7555,5177,4617,10761,9474,9117
oppC_1,9971,7272,6146,14161,12321,11966
oppD_1,14520,12391,8932,20472,16968,17388
oppF_1,14943,13417,10425,20372,18306,18575
oppA_1,31843,29150,23270,42374,39131,38255
oppA_2,352,222,169,1132,736,913
oppF_2,213,131,99,287,184,238
oppD_2,457,438,392,479,512,426
oppB_2,927,916,745,986,821,850
oppC_2,486,503,399,510,460,434
trpS,40244,35239,30345,41538,36707,38413
spxA,224640,190820,164409,72693,65009,71292
SAUSA300_0899,33003,26758,25619,25043,24036,23723
SAUSA300_0900,128,120,107,77,74,62
SAUSA300_0901,114,128,105,67,70,58
pepF_1,64201,55723,50093,49120,47165,45534
SAUSA300_0903,7095,8186,6625,5812,6118,6302
SAUSA300_0904,8128,7597,6364,6748,6280,6430
SAUSA300_0905,3791,3366,3224,3013,3207,3064
SAUSA300_0906,3493,3179,2712,3289,3621,3469
SAUSA300_0907,9121,9142,7326,9286,9213,8800
ppnK,17201,15425,13632,16992,17361,16824
SAUSA300_0909,5027,4428,3700,5186,5322,4774
mgtE,11479,11546,8754,11908,11308,11195
SAUSA300_0911,15182,14858,12944,15017,15795,15137
SAUSA300_0912,29805,25950,25535,30478,31343,30603
SAUSA300_0913,28588,24514,23132,32124,30028,30115
SAUSA300_0914,2247,1882,1755,3501,3236,3101
SAUSA300_0915,1752,1733,1308,2096,1964,2022
SAUSA300_0916,15203,13457,12718,13182,12988,13499
SAUSA300_0917,13722,12147,11194,10512,10972,10444
SAUSA300_0918,21761,19771,17448,17618,16630,16634
murE,19230,17746,13917,20268,18231,18255
SAUSA300_0920,3955,3487,2451,4080,3365,3562
prfC,30993,27386,23859,33692,30717,30963
SAUSA300_0922,6493,5829,5706,6401,6633,6438
htrA,8354,7487,6515,10906,10326,9719
SAUSA300_0924,14936,13144,12190,17795,16660,16517
SAUSA300_0925,6640,6172,5340,6857,6632,6922
SAUSA300_0926,0,0,0,0,0,0
SAUSA300_0927,0,0,0,0,0,0
comK,1843,1513,1009,4468,2460,3136
SAUSA300_0929,14855,12244,8011,21200,15413,14554
SAUSA300_0930,7329,7205,5843,5282,5706,5544
SAUSA300_0931,3493,3138,2800,3935,3797,3816
SAUSA300_0932,7122,5830,6192,8195,8729,8430
SAUSA300_0933,557,324,359,1668,1145,1563
SAUSA300_0934,310,339,271,472,496,485
SAUSA300_0935,165,144,119,200,186,177
SAUSA300_0936,281,246,223,353,357,352
SAUSA300_0937,2697,2150,2031,6753,7712,7386
SAUSA300_0938,770,772,581,1265,1211,1183
SAUSA300_0939,10441,10271,7298,15361,15361,14086
SAUSA300_0940,6390,5927,5908,12290,14142,12388
SAUSA300_0941,922,854,622,2016,1795,1746
SAUSA300_0942,549,520,523,358,479,498
SAUSA300_0943,1491,1533,1177,672,585,533
menA,9444,8975,7851,10038,9385,9631
SAUSA300_0945,5103,5154,3604,2655,2685,2426
menD,14533,14141,10780,6653,6643,6463
SAUSA300_0947,9198,9386,6824,4535,4541,4631
menB,47073,41486,38919,36620,36256,37059
sspC,2341,2368,1726,3821,2847,3147
sspB,11328,10071,8313,19550,14726,15338
sspA,13306,12387,9337,23845,17202,19000
SAUSA300_0952,13687,11910,10069,17210,15549,15196
SAUSA300_0953,1099,1149,875,1705,1822,1751
SAUSA300_0954,1472,1426,1098,14382,12691,13060
atl,84848,79771,70891,124980,121653,116059
SAUSA300_0956,943,894,915,1349,1264,1244
SAUSA300_0957,14126,11466,10371,14649,13712,12972
SAUSA300_0958,35323,32468,26842,35808,33204,32014
fmt_1,3698,4027,3083,5680,5816,5185
qoxD,39787,34174,36219,38536,36513,38588
qoxC,148237,138631,126013,144188,133838,142838
qoxB,530395,511668,437091,523067,479594,508821
qoxA,315266,304062,259923,317210,292254,307225
SAUSA300_0964,46330,40321,33900,44777,36817,40926
folD,19520,17835,15722,14405,14546,14777
purE,1700,1144,1131,1032,924,937
purK,8245,7313,5051,5336,4448,4499
purC,3258,3013,2230,2470,2051,2261
purS,2338,1986,1766,2242,1745,1910
purQ,6449,6453,5114,7111,5416,5874
purL,23039,20656,18346,28481,22133,23526
purF,25760,21613,18522,31604,23567,25714
purM,28422,24049,19277,31386,23454,25974
purN,19160,16702,12050,19172,13633,15513
purH,55148,49421,38248,51569,38226,43291
purD,63660,52236,48134,56184,44978,51198
SAUSA300_0977,1794,1746,1417,1771,1916,1755
SAUSA300_0978,6708,6474,5373,7069,7289,7107
SAUSA300_0979,2079,2108,1852,2640,2523,2445
SAUSA300_0980,37550,36029,31125,33244,34700,35997
SAUSA300_0981,7793,7828,6338,8632,8034,8355
SAUSA300_0982,29742,25295,25944,15203,15450,14766
ptsH,67094,56442,60209,48797,51273,49566
ptsI,353331,320858,319700,249861,260389,258449
SAUSA300_0985,391,271,380,631,631,614
SAUSA300_0986,7607,7607,6496,6647,6971,6578
SAUSA300_0987,4347,4244,3267,4052,3862,3795
trkA,8522,7889,6193,9400,8214,8925
SAUSA300_0989,108021,100231,87785,93467,89816,90611
SAUSA300_0990,13907,14131,9947,11110,10087,10086
def_1,9041,8057,8222,8294,8761,8155
SAUSA300_0992,21182,18702,15650,18005,17208,16715
pdhA,184622,167951,151391,198383,187787,182261
pdhB,146436,128007,120283,153266,144261,143496
SAUSA300_0995,254683,232748,206237,241270,225711,223232
lpdA_1,302979,247479,267818,262382,261763,258822
SAUSA300_0997,2494,2483,2041,2426,2256,2191
SAUSA300_0998,992,905,718,1298,1123,1078
potA,1511,1511,1173,2253,2130,1941
potB,703,679,488,1245,1182,1129
potC,1011,926,835,1929,2035,1807
potD,6665,6457,5107,5892,5532,5708
SAUSA300_1003,77620,73528,56511,55754,50103,50247
SAUSA300_1004,11099,9068,7849,7709,7606,7849
SAUSA300_1005,11449,9894,8241,85765,65863,73793
SAUSA300_1006,9616,7649,7839,10989,11113,10365
SAUSA300_1007,17819,16985,14968,12918,13033,12957
SAUSA300_1008,2345,1892,1538,2201,2045,2269
typA,16913,15341,14878,23840,24319,23242
SAUSA300_1010,1330,1277,1104,1199,1134,1146
SAUSA300_1011,6947,6190,5416,6749,6433,6434
SAUSA300_1012,7744,5356,5195,8198,7855,7540
SAUSA300_1013,15227,14091,11794,12061,11830,11723
pyc,99981,87450,82819,95532,85533,90641
ctaA,18733,17528,16030,20147,18729,19625
cyoE,39973,37017,30410,45825,40977,43355
SAUSA300_1017,17241,17123,13322,20207,17682,18142
SAUSA300_1018,10834,10017,8147,7809,7070,7042
SAUSA300_1019,4943,4404,3719,3405,3224,3290
SAUSA300_1020,5950,5506,4583,5341,5337,5067
SAUSA300_1021,1141,1087,1054,1231,1258,1243
SAUSA300_1022,1299,1173,1259,1283,1498,1389
SAUSA300_1023,3240,3348,2359,3173,2933,2946
coaD,3390,2727,2652,3202,3214,3248
SAUSA300_1025,2491,2282,2121,2676,2831,2494
SAUSA300_1026,22585,20785,20902,30570,32159,30175
rpmF,16572,16938,12090,18857,16846,17548
SAUSA300_1028,838,664,664,1461,1208,1262
SAUSA300_1029,11222,10501,9136,17175,15643,12736
SAUSA300_1030,197,181,157,542,527,450
SAUSA300_1031,294,253,209,894,874,675
SAUSA300_1032,294,262,264,716,697,668
SAUSA300_1033,590,563,420,1060,984,913
srtB,295,231,230,613,564,522
SAUSA300_1035,219,190,135,378,328,274
SAUSA300_1036,7196,6491,6011,7143,6715,6910
pheS,10801,10260,9246,10650,10461,10338
pheT,36283,33084,30516,33893,33358,32941
rnhC,1887,1727,1427,1593,1642,1549
SAUSA300_1040,1698,1694,1325,1702,1699,1685
SAUSA300_1041,2145,2187,2034,2216,2284,2234
SAUSA300_1042,4283,4414,3701,3955,4089,3922
mutS2,7577,7394,6557,8109,8407,7535
trx,54672,48451,49508,41917,44065,43694
uvrC,10060,9524,7410,6057,5552,5764
sdhC,9649,8773,7631,5850,5430,6087
sdhA,42188,47186,39217,25319,24539,27410
sdhB,21951,22565,20691,14593,14395,15598
murI,17944,15158,13748,13980,12518,12886
SAUSA300_1050,12260,10187,9321,9610,9298,9208
SAUSA300_1051,12837,10635,8981,9469,9271,9326
SAUSA300_1052,5306,4720,3878,5966,6008,5408
SAUSA300_1053,2614,2037,1837,3058,2885,2779
SAUSA300_1054,1091,1396,913,1107,1152,1276
efb,9621,7798,6348,6174,5359,5360
SAUSA300_1056,4677,3588,3321,3064,2848,2588
SAUSA300_1057,4881,4358,4352,4403,4837,4942
SAUSA300_1058,11728,10027,9386,10434,8102,9934
SAUSA300_1059,340,329,248,713,715,659
SAUSA300_1060,213,167,178,355,339,295
SAUSA300_1061,161,149,160,220,235,231
argF,212,233,202,337,281,265
arcC_2,389,378,346,395,415,379
SAUSA300_1064,2740,2799,2231,2112,1902,1838
SAUSA300_1065,8441,8108,7261,13151,12332,12714
SAUSA300_1066,0,0,0,0,0,0
SAUSA300_1067,23021,16010,15312,68831,48531,55462
SAUSA300_1068,10297,6778,7346,31056,23793,26158
SAUSA300_1069,3313,2804,2550,5830,4519,4999
SAUSA300_1070,5613,4868,4052,4228,3882,3976
SAUSA300_1071,9166,8882,7059,7247,6686,6538
mraZ,52897,44691,42108,51206,46218,47331
mraW,68121,67055,52344,61204,54051,56300
ftsL,27676,26222,19860,25126,22491,22629
pbpA,63298,56871,49601,57258,52429,53237
mraY,11882,9637,9550,11437,11154,10771
murD,21601,20134,17768,19970,19739,18299
divIB,30013,30170,23856,26637,26282,24859
ftsA,117235,106450,90582,124430,118656,114070
ftsZ,191406,171381,157292,179885,174191,175637
SAUSA300_1081,8265,7235,6193,7379,6987,6737
SAUSA300_1082,31148,31428,24796,28620,26747,26703
SAUSA300_1083,34810,33005,27817,31784,29631,29549
SAUSA300_1084,8103,7293,6763,7202,7816,7572
SAUSA300_1085,6078,6204,5065,7519,7207,7192
SAUSA300_1086,20816,19197,16984,26249,24432,24545
ileS,70687,64578,58739,73680,73551,71723
SAUSA300_1088,2537,2462,1919,1998,1897,1935
lspA,1066,1073,864,1177,1171,1255
SAUSA300_1090,4804,4526,4070,5239,5396,5341
pyrR,1409,1223,1101,1577,1263,1498
pyrP,638,591,453,572,440,570
pyrB,807,671,578,487,476,461
pyrC,1263,1171,910,866,713,807
carA,1207,1078,996,866,942,757
carB,4719,4681,3748,3645,3689,3531
pyrF,1114,1137,801,820,806,778
pyrE,930,793,778,776,774,684
SAUSA300_1099,1368,1401,871,1261,1107,1221
SAUSA300_1100,4719,4056,3988,3685,3538,3582
SAUSA300_1101,11384,11050,9023,10861,10728,9935
gmk,37499,32694,26851,39964,33683,34448
rpoZ,7584,6142,6535,7620,7411,7264
coaBC,7336,6683,5623,5756,5540,5888
priA,23496,20255,17536,17412,17143,16948
SAUSA300_1106,1666,1671,1366,2634,3028,2636
SAUSA300_1107,22056,20324,16371,9312,8869,9242
def_2,2848,2775,2190,3272,3110,3057
fmt_2,8913,8819,6829,10798,9951,9520
sun,12062,11384,9104,14703,14193,13495
SAUSA300_1111,14406,13812,11574,18843,17927,17585
SAUSA300_1112,6625,6418,5495,8636,8636,8212
pknB,25658,23328,21661,33814,33514,32151
rsgA,5979,5812,4825,6356,6334,6141
rpe,5534,5077,4648,5818,5610,5542
SAUSA300_1116,5411,5101,4325,5534,5543,5463
rpmB,315950,219749,262475,299657,284085,303523
SAUSA300_1118,6261,6105,4991,6140,6297,5797
SAUSA300_1119,29641,26526,24497,31629,33508,31081
recG,14537,12511,11868,9313,8872,9134
SAUSA300_1121,7640,7486,6694,5818,6106,5771
plsX,14097,14708,12624,11022,12126,11162
fabD,14560,14696,12470,11871,13167,12325
fabG,14558,14325,14011,13147,14838,14339
acpP,59875,48782,60627,57613,66794,65030
rnc,3063,2866,2080,3028,2612,2719
smc,19090,17044,13442,18822,18069,16941
ftsY,8570,7752,6268,8154,7699,7973
SAUSA300_1129,2999,3242,1943,2781,2548,2690
ffh,23349,21366,17910,22826,22688,21954
rpsP,14778,12633,12828,20503,20161,21192
rimM,1440,1357,1096,1912,1830,1761
trmD,3091,3005,2464,3890,3749,3932
rplS,20635,17346,22435,32347,35303,35625
SAUSA300_1135,4370,4771,3824,3583,3545,3507
rbgA,3231,3160,2559,3899,3691,3699
rnhB,3014,2701,2352,3476,3202,3290
sucC,16108,14851,11688,14768,14042,14200
sucD,16670,14776,13907,16166,15897,16213
lytN,682,608,453,7674,6046,6083
SAUSA300_1141,605,602,536,3920,3579,3731
dprA,485,465,360,880,740,661
topA,46690,43450,34103,46610,46370,41867
gid,26236,24649,20772,28502,27951,26234
xerC,15327,13983,10646,9969,9218,9294
hslV,8601,7616,6474,5901,5657,5635
hslU,36140,34747,28516,26789,27125,26162
codY,26039,24440,20628,19525,20329,19194
rpsB,61625,67582,54984,73637,73987,75242
tsf,107464,99789,88174,86784,87153,89765
pyrH,16694,14511,13578,18340,18476,18122
frr,28525,25718,22700,27969,27033,26966
uppS,7551,6900,6038,9233,9149,8605
cdsA,6216,5244,5330,9084,8870,8404
SAUSA300_1155,14923,14674,12165,15975,16532,15307
proS,29291,25523,25110,31055,32270,30695
polC,46988,41989,36609,41802,41209,39331
SAUSA300_1158,7228,7185,5277,6358,6149,5921
nusA,16871,13837,13718,16000,15563,15374
SAUSA300_1160,3689,3414,2851,3494,3299,3225
SAUSA300_1161,5102,5351,3796,4730,4404,4357
infB,49674,47053,40402,50288,48476,47678
rbfA,5762,5092,4504,5535,5271,5046
truB,6939,7003,5135,4293,4204,4329
ribF,12011,11999,9886,8136,8343,8231
rpsO,35337,35317,30551,48052,47448,48881
pnpA,84258,74914,66139,79772,73115,76121
SAUSA300_1168,69636,63314,54103,56868,53594,55386
ftsK,38202,35248,30178,32854,32856,31090
SAUSA300_1170,7109,6363,5638,6828,6978,6441
SAUSA300_1171,7812,7513,5787,9525,10128,8533
SAUSA300_1172,10540,9990,7997,13683,14167,12349
SAUSA300_1173,5216,4584,4640,7211,7535,7310
SAUSA300_1174,12827,13038,10421,15298,15085,15132
SAUSA300_1175,5517,5270,4716,6336,6568,6359
pgsA,12457,11511,10464,11735,12458,12400
cinA,3774,3496,2950,3642,3531,3422
recA,56676,48002,41969,49122,45589,47019
SAUSA300_1179,92004,86831,73076,108181,101900,101478
SAUSA300_1180,2481,1870,1915,1764,1737,1656
SAUSA300_1181,9060,8489,7060,11230,10203,10654
SAUSA300_1182,13804,12706,10759,18205,18019,16278
SAUSA300_1183,9678,8415,7839,11574,11578,11189
SAUSA300_1184,1213,1061,994,1066,1119,1126
miaB,28245,23902,21330,27919,25938,25373
SAUSA300_1186,9962,10314,7034,9505,8773,8694
SAUSA300_1187,6952,6325,5771,7106,7026,6571
mutS,11400,10777,8451,9520,8996,8732
mutL,11458,10538,8895,9648,9495,9139
glpP,3250,3196,2502,2705,2734,2547
glpF,1243,1131,1156,1366,1558,1469
glpK,2000,1979,1830,1903,2321,1952
glpD,4848,4745,4306,3979,7932,5440
SAUSA300_1194,2803,2561,2077,2784,2629,2833
miaA,4160,3863,3220,11330,10199,11007
hfq,1261,1061,1159,4498,4179,4397
SAUSA300_1197,9241,7524,7388,8321,8789,8603
SAUSA300_1198,2252,2235,1765,3481,3219,3227
SAUSA300_1199,3407,3095,2652,5077,4771,4628
glnR,12143,11986,10514,9139,9098,9472
