gene_id,X12hUSA5001_count,X12hUSA5002_count,X12hUSA5003_count,X12hUSA500phoU11_count,X12hUSA500phoU12_count,X12hUSA500phoU13_count,X12hUSA500phoU21_count,X12hUSA500phoU22_count,X12hUSA500phoU23_count
CH51_RS00565,15,9,2,24,13,8,6,12,8
CH51_RS00570,28,12,7,28,40,20,18,13,19
CH51_RS00575,218,202,195,351,322,367,164,184,161
CH51_RS00580,59,74,63,73,59,70,31,33,31
CH51_RS00585,2132,2238,2124,652,614,645,891,1154,960
CH51_RS00590,510,565,506,781,747,798,559,720,650
CH51_RS00600,94,70,80,68,71,67,59,71,47
CH51_RS00605,430,421,391,802,649,709,417,443,383
CH51_RS00610,897,826,812,1076,919,925,700,968,749
CH51_RS00615,3034,2968,2869,4334,3845,4038,2172,2434,2011
CH51_RS00620,7,13,15,17,8,13,72,99,63
CH51_RS00625,9,15,6,7,14,10,39,33,39
CH51_RS00630,17,15,11,5,8,10,85,99,111
CH51_RS00635,92,87,88,54,45,50,535,609,529
CH51_RS00640,125,136,116,224,152,147,315,399,323
CH51_RS00645,360,388,357,516,472,475,723,913,698
CH51_RS00650,1,2,0,1,0,0,2,3,1
CH51_RS00655,12,8,10,25,12,9,9,15,28
CH51_RS00660,3,0,0,1,0,0,0,0,0
CH51_RS00665,0,0,0,0,0,0,0,0,0
CH51_RS00670,3,0,1,3,0,0,5,3,2
CH51_RS00680,508,514,416,351,298,308,325,340,275
CH51_RS00685,20,10,11,7,10,2,7,6,5
CH51_RS00690,11,6,11,9,15,5,5,12,10
CH51_RS00695,19,20,19,14,12,12,21,13,15
CH51_RS00705,35,44,36,71,70,40,38,63,40
CH51_RS00710,31,38,24,44,41,34,41,30,28
CH51_RS00715,42,30,31,67,64,50,29,30,31
CH51_RS00720,25,12,15,21,33,34,9,10,10
CH51_RS00725,46,34,35,89,52,77,36,42,33
CH51_RS00730,40,30,28,77,47,47,32,28,28
CH51_RS00735,18,25,23,45,38,27,11,18,12
CH51_RS00740,83,66,60,125,115,111,51,54,38
CH51_RS00745,19,30,29,63,55,60,41,21,21
CH51_RS00750,40,61,48,102,78,80,42,44,35
CH51_RS00755,134,116,139,252,249,249,103,135,116
CH51_RS00760,199,151,159,305,250,271,158,172,144
CH51_RS00765,13,13,6,27,13,25,10,15,16
CH51_RS00770,59,41,46,111,120,110,66,77,56
CH51_RS00775,13101,13329,12299,27238,24392,25766,7926,9207,7628
CH51_RS00780,945,960,966,1034,1024,1007,843,1059,930
CH51_RS00785,610,565,531,867,843,918,952,1038,724
CH51_RS00790,240,192,254,240,246,224,109,118,102
CH51_RS00795,279,313,290,256,216,217,94,91,84
CH51_RS00800,356,344,304,279,223,196,59,56,62
CH51_RS00805,284,269,274,188,153,133,40,31,32
CH51_RS00810,1129,1097,993,613,512,491,126,152,125
CH51_RS00815,1516,1585,1544,3158,2969,3045,1392,1675,1755
CH51_RS00820,130,91,90,237,229,168,78,84,80
CH51_RS00825,1960,1881,1795,2500,2159,2256,1660,1912,1601
CH51_RS00830,32150,30533,28404,35558,28630,30263,20485,24014,20179
CH51_RS00835,3661,3827,3491,3916,3232,3365,1913,2444,1982
CH51_RS00840,2052,1987,1927,3385,2808,3002,4016,5595,4490
CH51_RS00845,39,24,37,74,55,72,24,26,28
CH51_RS00850,60,58,50,119,90,97,53,50,46
CH51_RS00855,26,33,33,53,37,40,14,24,31
CH51_RS00860,21,16,13,41,25,34,22,25,15
CH51_RS00865,615,567,514,552,491,511,250,304,274
CH51_RS00870,390,399,361,582,506,590,325,381,319
CH51_RS00875,891,888,817,1646,1506,1530,714,749,662
CH51_RS00880,5,4,2,7,4,3,3,0,5
CH51_RS00885,1753,1732,1608,2035,1859,1854,1319,1698,1448
CH51_RS00890,15524,14573,14060,14670,12528,13526,18294,18301,16361
CH51_RS00895,6954,6505,6115,6295,5398,5684,6912,7505,6689
CH51_RS00900,14515,14098,12781,14054,11608,11927,12355,14447,12419
CH51_RS00905,15161,15397,14815,15146,13014,14157,13035,14981,12758
CH51_RS00910,1,3,0,16,8,13,2,11,6
CH51_RS00915,1749,1745,1626,1963,1643,1906,1264,1540,1315
CH51_RS00920,601,602,634,818,820,834,695,708,661
CH51_RS00925,293,317,307,364,294,369,229,293,313
CH51_RS00930,520,527,521,690,780,699,575,557,574
CH51_RS00935,461,437,444,620,562,626,303,280,259
CH51_RS00940,70,77,74,60,47,47,20,13,17
CH51_RS00945,118,131,101,89,93,66,18,21,22
CH51_RS00950,558,567,461,481,366,481,84,81,88
CH51_RS00955,1226,1306,1082,992,793,844,206,261,235
CH51_RS00960,79,67,87,84,95,100,94,102,75
CH51_RS00965,456,482,487,495,485,473,571,632,560
CH51_RS00970,152,154,116,349,287,334,132,143,145
CH51_RS00975,13,6,11,28,28,18,10,20,12
CH51_RS00980,27,30,21,30,44,33,26,29,20
CH51_RS00985,108,137,104,134,94,111,89,79,69
CH51_RS00990,91,77,69,154,99,110,62,66,62
CH51_RS00995,187,146,167,266,204,218,148,127,146
CH51_RS01000,108,100,110,168,160,159,73,85,86
CH51_RS01005,225,198,196,288,256,188,87,166,115
CH51_RS01010,21,19,18,24,20,20,16,15,19
CH51_RS01015,1117,1151,991,692,650,636,1307,1549,1367
CH51_RS01020,396,418,387,319,288,264,178,236,197
CH51_RS01025,229,210,186,312,271,289,187,158,144
CH51_RS01030,124,107,105,156,131,160,93,132,128
CH51_RS01035,17660,17990,15860,6820,6119,6153,30765,42340,34691
CH51_RS01040,4289,4329,4219,1295,1217,1335,6904,6965,6393
CH51_RS01045,8,16,9,1,6,10,15,10,17
CH51_RS01050,80,74,73,80,72,101,112,130,96
CH51_RS01055,18,26,26,28,37,41,21,21,18
CH51_RS01060,89,88,81,175,158,136,86,82,86
CH51_RS01065,7,11,9,53,23,34,6,6,9
CH51_RS01075,1641,1528,1327,6602,5180,5686,809,1003,811
CH51_RS01080,1925,1709,1660,8106,6471,7094,1057,1219,1002
CH51_RS01085,802,790,660,3194,2621,2817,417,537,406
CH51_RS01090,946,818,789,3959,3366,3316,554,622,539
CH51_RS01095,2471,2396,2367,6867,6076,6697,1596,1704,1458
CH51_RS01100,143,112,90,207,205,187,41,58,64
CH51_RS01105,390,379,393,473,448,499,210,236,185
CH51_RS01110,25,21,14,37,28,18,14,21,22
CH51_RS01115,2,2,0,3,2,1,3,0,5
CH51_RS01120,713,745,765,654,528,637,887,948,798
CH51_RS01125,13,12,16,12,21,17,12,18,15
