,WT1_RPKM,WT2_RPKM,MT1_RPKM,MT2_RPKM
SAB0151,0,0,0,0
SAB0152,0,0,0,0
SAB0153,0,0,0,0
SAB0154,0,0,0,0
SAB0155,0,0,0,0
SAB0156,0,0,0,0
SAB0157,0,0,0,0
SAB0158,0,0,0,0
SAB0159c,0,0,0,0
SAB0160,0,0,0,0
SAB0161c,0,0,0,0
SAB0162c,0,0,0,0
SAB0163c,0,0,0,0
SAB0166,0,0,0,0
SAB0167,0,0,0,0
SAB0168c,0,0,0,0
SAB0169,0,0,0,0
SAB0170c,0,0,0,0
SAB0171c,0,0,0,0
SAB0173c,0,0,0,0
SAB0174c,0,0,0,0
SAB0175,0,0,0,0
SAB0176c,0,0,0,0
SAB0177c,0,0,0,0
SAB0178c,0,0,0,0
SAB0179c,0,0,0,0
SAB0180,0,0,0,0
SAB0181c,0,0,0,0
SAB0182,0,0,0,0
SAB0184,0,0,0,0
SAB0185,0,0,0,0
SAB0186,0,0,0,0
SAB0187,0,0,0,0
SAB0188,0,0,0,0
SAB0189,0,0,0,0
SAB0190,0,0,0,0
SAB0192,0,0,0,0
SAB0193,0,0,0,0
SAB0194,0,0,0,0
SAB0195,0,0,0,0
SAB0196,0,0,0,0
SAB0197,0,0,0,0
SAB0198,0,0,0,0
SAB0199,0,0,0,0
SAB0200,0,0,0,0
SAB0201,0,0,0,0
SAB0203c,0,0,0,0
SAB0204,0,0,0,0
SAB0205,0,0,0,0
SAB0206,0,0,0,0
SAB0207c,0,0,0,0
SAB0208c,0,0,0,0
SAB0209c,0,0,0,0
SAB0210c,0,0,0,0
SAB0211c,0,0,0,0
SAB0212,0,0,0,0
SAB0213c,0,0,0,0
SAB0214,0,0,0,0
SAB0215,0,0,0,0
SAB0216c,0,0,0,0
SAB0217c,0,0,0,0
SAB0218c,0,0,0,0
SAB0219c,0,0,0,0
SAB0220,0,0,0,0
SAB0221,0,0,0,0
SAB0223,0,0,0,0
SAB0224,0,0,0,0
SAB0226,0,0,0,0
SAB0227,0,0,0,0
SAB0228,0,0,0,0
SAB0229,0,0,0,0
SAB0230,0,0,0,0
SAB0231,0,0,0,0
SAB0232,0,0,0,0
SAB0234,0,0,0,0
SAB0235,0,0,0,0
SAB0236,0,0,0,0
SAB0237,0,0,0,0
SAB0238,0,0,0,0
SAB0239,0,0,0,0
SAB0240,0,0,0,0
SAB0241,0,0,0,0
SAB0242c,0,0,0,0
SAB0243c,0,0,0,0
SAB0244,0,0,0,0
SAB0245,0,0,0,0
SAB0246,0,0,0,0
SAB0247,0,0,0,0
SAB0248,0,0,0,0
SAB0249,0,0,0,0
SAB0250,0,0,0,0
SAB0251c,0,0,0,0
SAB0252c,0,0,0,0
SAB0253,0,0,0,0
SAB0254c,0,0,0,0
SAB0255,0,0,0,0
SAB0256c,0,0,0,0
SAB0257,0,0,0,0
SAB0258c,0,0,0,0
SAB0259c,0,0,0,0
SAB0260,0,0,0,0
SAB0261,0,0,0,0
SAB0262,0,0,0,0
SAB0263,0,0,0,0
SAB0264,0,0,0,0
SAB0265,0,0,0,0
SAB0266,0,0,0,0
SAB0268,0,0,0,0
SAB0269,0,0,0,0
SAB0270,0,0,0,0
SAB0271c,0,0,0,0
SAB0272c,0,0,0,0
SAB0273,0,0,0,0
SAB0274,0,0,0,0
SAB0275,0,0,0,0
SAB0276,0,0,0,0
SAB0277,0,0,0,0
SAB0278c,0,0,0,0
SAB0279c,0,0,0,0
SAB0280c,0,0,0,0
SAB0281c,0,0,0,0
SAB0282c,0,0,0,0
SAB0283,0,0,0,0
SAB0284,0,0,0,0
SAB0285,0,0,0,0
SAB0286c,0,0,0,0
SAB0287,0,0,0,0
SAB0288,0,0,0,0
SAB0289,0,0,0,0
SAB0290c,0,0,0,0
SAB0291,0,0,0,0
SAB0292,0,0,0,0
SAB0293,0,0,0,0
SAB0295,0,0,0,0
SAB0296c,0,0,0,0
SAB0297c,0,0,0,0
SAB0298c,0,0,0,0
SAB0299,0,0,0,0
SAB0300,0,0,0,0
SAB0301,0,0,0,0
SAB0302,0,0,0,0
SAB0303c,0,0,0,0
SAB0304,0,0,0,0
SAB0305c,0,0,0,0
SAB0306c,0,0,0,0
SAB0307c,0,0,0,0
SAB0308c,0,0,0,0
SAB0309c,0,0,0,0
SAB0310,0,0,0,0
SAB0311,0,0,0,0
SAB0312,0,0,0,0
SAB0313,0,0,0,0
SAB0314,0,0,0,0
SAB0315c,0,0,0,0
SAB0316,0,0,0,0
SAB0317,0,0,0,0
SAB0318,0,0,0,0
SAB0319c,0,0,0,0
SAB0321,0,0,0,0
SAB0322,0,0,0,0
SAB0323,0,0,0,0
SAB0324c,0,0,0,0
SAB0326,0,0,0,0
SAB0327c,0,0,0,0
SAB0328c,0,0,0,0
SAB0329c,0,0,0,0
SAB0332,0,0,0,0
SAB0333c,0,0,0,0
SAB0334c,0,0,0,0
SAB0335c,0,0,0,0
SAB0336c,0,0,0,0
SAB0338,0,0,0,0
SAB0339,0,0,0,0
SAB0340,0,0,0,0
SAB0341,0,0,0,0
SAB0342c,0,0,0,0
SAB0343c,0,0,0,0
SAB0344,0,0,0,0
SAB0345,0,0,0,0
SAB0346,0,0,0,0
SAB0347,0,0,0,0
SAB0348,0,0,0,0
SAB0349,0,0,0,0
SAB0350,0,0,0,0
SAB0351,0,0,0,0
SAB0352,0,0,0,0
SAB0353,0,0,0,0
SAB0354,0,0,0,0
SAB0355,0,0,0,0
SAB0356,0,0,0,0
SAB0357,0,0,0,0
SAB0358,0,0,0,0
SAB0359,0,0,0,0
SAB0360c,0,0,0,0
SAB0361,0,0,0,0
SAB0363,0,0,0,0
SAB0364c,0,0,0,0
SAB0365c,0,0,0,0
SAB0367c,0,0,0,0
SAB0368,0,0,0,0
SAB0369c,0,0,0,0
SAB0370,0,0,0,0
SAB0371,0,0,0,0
SAB0372,0,0,0,0
SAB0373c,0,0,0,0
SAB0374c,0,0,0,0
SAB0375c,0,0,0,0
SAB0376,0,0,0,0
SAB0377,0,0,0,0
SAB0378,0,0,0,0
SAB0379,0,0,0,0
SAB0380,0,0,0,0
SAB0381,0,0,0,0
SAB0382,0,0,0,0
SAB0383,0,0,0,0
SAB0384,0,0,0,0
SAB0386,0,0,0,0
SAB0387,0,0,0,0
SAB0388c,0,0,0,0
SAB0389,0,0,0,0
SAB0390,0,0,0,0
SAB0391,0,0,0,0
SAB0392,0,0,0,0
SAB0393,0,0,0,0
SAB0394,0,0,0,0
SAB0395,0,0,0,0
SAB0396,0,0,0,0
SAB0397,0,0,0,0
SAB0398,0,0,0,0
SAB0400c,0,0,0,0
SAB0401,0,0,0,0
SAB0402,0,0,0,0
SAB0403,0,0,0,0
SAB0404,0,0,0,0
SAB0405c,0,0,0,0
