gene,P23.1,P23.2,P23.3,P23.G.1,P23.G.2,P23.G.3
Inter.CP000255.1.1.445966.2,0,2,1,4,1,1
Inter.CP000255.1.1.2144007.12,35,27,36,39,17,19
Inter.CP000255.1.1.1213362.35,5,9,8,21,13,4
Inter.CP000255.1.0.2393904.33,3,1,3,6,5,1
Inter.CP000255.1.0.991418.16,1,2,2,5,2,1
Inter.CP000255.1.0.2069049.10,5,4,3,4,5,5
gene1030,72,49,68,58,37,26
Inter.CP000255.1.0.2319278.121,0,2,1,4,2,2
Inter.CP000255.1.1.445966.168,1,2,0,1,1,0
Inter.CP000255.1.1.1244688.106,2,2,0,6,4,0
Inter.CP000255.1.0.174830.0,1,3,2,4,1,1
Inter.CP000255.1.1.1059247.16,1,2,1,3,2,1
Inter.CP000255.1.1.2261933.11,12,14,8,20,10,7
Inter.CP000255.1.0.2277939.65,2,1,0,4,1,1
Inter.CP000255.1.0.2008176.10,0,4,1,8,3,2
Inter.CP000255.1.0.2247813.14,0,1,0,0,3,0
Inter.CP000255.1.0.2006789.0,1,2,0,3,2,0
gene2349,29,26,24,25,15,8
Inter.CP000255.1.1.285730.0,6,4,6,11,10,3
Inter.CP000255.1.1.429981.9,11,15,7,10,6,4
Inter.CP000255.1.0.1341764.7,3,5,0,5,4,2
Inter.CP000255.1.0.1945201.33,1,4,2,12,5,1
Inter.CP000255.1.1.993769.68,1,0,2,3,0,1
Inter.CP000255.1.1.869176.0,2,0,2,4,2,1
Inter.CP000255.1.1.497222.83,25,29,31,16,13,7
Inter.CP000255.1.0.604845.0,2,1,2,2,1,0
Inter.CP000255.1.0.2343175.67,3,8,6,14,1,2
Inter.CP000255.1.1.427428.0,4,5,8,9,3,3
Inter.CP000255.1.1.627780.82,4,9,2,12,9,7
Inter.CP000255.1.0.1697155.325,6,10,4,11,10,5
Inter.CP000255.1.0.96755.8,2,1,1,5,3,0
Inter.CP000255.1.1.566406.295,7,3,8,14,10,7
gene964,4977,4579,4591,2437,2306,2617
Inter.CP000255.1.1.1343200.27,0,2,1,3,3,1
Inter.CP000255.1.0.1339861.13,4,3,3,0,1,0
Inter.CP000255.1.0.1112388.14,0,1,0,2,2,0
Inter.CP000255.1.0.2343175.285,2,4,5,0,2,3
Inter.CP000255.1.0.1329641.5,1,2,3,4,2,3
Inter.CP000255.1.1.2197253.11,2,5,4,2,5,4
Inter.CP000255.1.0.278511.4,3,4,6,4,2,1
Inter.CP000255.1.1.1513996.0,1,0,0,4,0,1
Inter.CP000255.1.0.940399.25,1,3,0,3,2,2
Inter.CP000255.1.1.445966.53,1,2,1,3,1,1
Inter.CP000255.1.1.566406.315,11,7,4,9,15,5
Inter.CP000255.1.1.1103686.16,2,1,1,3,2,1
Inter.CP000255.1.1.2506775.5,1,2,5,11,9,4
Inter.CP000255.1.1.1866479.0,1,2,1,13,2,7
Inter.CP000255.1.1.497222.474,3,3,3,1,1,0
Inter.CP000255.1.0.2492308.34,0,1,0,2,0,0
Inter.CP000255.1.1.566406.41,18,17,11,45,32,28
Inter.CP000255.1.0.2797567.61,0,0,1,1,0,0
Inter.CP000255.1.1.474674.26,3,8,6,17,6,3
Inter.CP000255.1.1.386716.20,12,9,6,6,4,7
Inter.CP000255.1.0.2687301.35,1,2,2,3,5,0
Inter.CP000255.1.0.1972520.15,6,2,4,1,0,4
Inter.CP000255.1.1.474674.76,5,10,2,24,10,22
Inter.CP000255.1.1.236665.49,1,0,0,2,1,0
Inter.CP000255.1.0.1541358.399,1,7,2,9,7,1
Inter.CP000255.1.1.873584.10,3,3,4,3,2,1
gene29,513,473,456,222,154,193
Inter.CP000255.1.1.1854094.0,9,5,11,8,4,6
Inter.CP000255.1.0.2590957.26,4,0,0,1,1,0
Inter.CP000255.1.0.881854.24,3,6,6,9,4,2
Inter.CP000255.1.1.1223109.25,2,1,2,0,1,0
gene1962,213,193,196,198,168,180
Inter.CP000255.1.1.191512.30,44,42,34,23,15,9
Inter.CP000255.1.0.1020065.0,8,5,4,4,6,6
Inter.CP000255.1.1.394738.29,2,8,5,9,11,6
Inter.CP000255.1.0.1541358.44,4,5,2,9,4,0
Inter.CP000255.1.0.1401043.0,2,0,0,1,1,1
Inter.CP000255.1.0.2217814.72,4,3,4,5,0,1
Inter.CP000255.1.0.85036.3,6,4,4,10,4,3
Inter.CP000255.1.0.211548.79,3,0,1,2,1,0
Inter.CP000255.1.0.118511.28,8,6,8,4,4,3
Inter.CP000255.1.1.285730.29,1,2,1,2,0,1
Inter.CP000255.1.1.2305548.2,7,10,1,9,3,2
Inter.CP000255.1.0.678256.32,1,3,0,3,1,2
Inter.CP000255.1.0.2398777.56,0,4,3,6,2,2
Inter.CP000255.1.0.42452.5,2,2,0,0,0,1
Inter.CP000255.1.1.1830530.2,3,5,5,3,7,6
Inter.CP000255.1.1.497222.644,0,0,0,1,0,0
Inter.CP000255.1.1.2232751.0,5,8,4,4,7,4
Inter.CP000255.1.0.985645.1,1,3,1,6,3,2
Inter.CP000255.1.1.1087371.89,2,2,2,11,3,1
Inter.CP000255.1.0.35770.5,2,2,1,1,4,1
Inter.CP000255.1.1.2157550.33,2,3,4,9,4,1
Inter.CP000255.1.0.1616169.84,1,2,0,0,2,1
Inter.CP000255.1.0.2545550.66,1,0,1,5,1,0
Inter.CP000255.1.1.813246.208,0,0,0,1,0,0
Inter.CP000255.1.1.1957240.13,1,0,1,1,0,0
Inter.CP000255.1.1.376829.31,0,1,0,3,1,0
Inter.CP000255.1.1.651984.190,1,1,3,7,1,2
Inter.CP000255.1.0.2627985.162,3,5,1,3,5,3
gene2513,23,25,31,50,29,15
Inter.CP000255.1.0.2087346.121,0,0,0,1,1,0
Inter.CP000255.1.1.497222.273,0,1,3,4,2,1
Inter.CP000255.1.0.1154198.32,4,3,4,7,3,4
Inter.CP000255.1.1.2197253.20,1,4,1,4,1,3
Inter.CP000255.1.1.2079895.3,25,15,24,24,16,13
Inter.CP000255.1.0.2087346.255,2,5,4,5,4,1
Inter.CP000255.1.0.589106.0,58,68,86,53,51,44
Inter.CP000255.1.0.1507114.269,2,4,2,2,3,2
Inter.CP000255.1.0.2087346.8,0,2,1,5,3,6
Inter.CP000255.1.1.195296.10,8,1,6,8,1,2
Inter.CP000255.1.1.244992.46,8,16,7,15,15,8
Inter.CP000255.1.1.1993145.18,1,0,1,1,2,0
Inter.CP000255.1.0.313053.21,1,0,1,3,0,0
Inter.CP000255.1.1.2197253.28,1,3,3,4,0,0
Inter.CP000255.1.1.813246.144,0,7,5,10,4,3
Inter.CP000255.1.0.1030705.2,0,2,2,2,1,0
Inter.CP000255.1.1.1244688.464,0,0,0,1,0,0
Inter.CP000255.1.1.41134.9,3,5,3,4,3,1
Inter.CP000255.1.1.566406.137,0,2,1,4,5,1
Inter.CP000255.1.1.1161141.4,4,6,3,7,5,1
Inter.CP000255.1.0.1734711.179,4,3,5,10,8,4
Inter.CP000255.1.0.2343175.223,3,3,5,5,8,4
Inter.CP000255.1.0.1648419.34,7,5,6,7,4,2
Inter.CP000255.1.0.821372.2,1,4,2,2,3,3
gene1861,6177,5089,4852,2226,2322,2592
Inter.CP000255.1.0.1241385.1,6,4,7,18,31,17
Inter.CP000255.1.1.1087371.36,9,11,10,15,10,10
Inter.CP000255.1.0.1456753.418,4,5,2,9,4,5
Inter.CP000255.1.0.2850656.0,2,5,4,2,2,2
Inter.CP000255.1.0.399798.5,1,2,3,7,4,1
Inter.CP000255.1.1.164781.238,4,7,1,12,4,1
Inter.CP000255.1.0.407191.11,4,4,0,5,3,1
Inter.CP000255.1.0.441389.25,2,0,1,0,0,0
Inter.CP000255.1.0.1836327.5,2,4,0,5,2,3
Inter.CP000255.1.0.807094.31,3,2,1,3,3,5
Inter.CP000255.1.0.1926438.73,1,1,2,3,1,0
Inter.CP000255.1.0.887314.0,227,179,177,41,34,48
Inter.CP000255.1.0.2504547.25,2,3,2,9,3,2
Inter.CP000255.1.0.2545550.53,2,6,3,10,3,4
Inter.CP000255.1.0.2421735.45,4,2,3,15,8,2
Inter.CP000255.1.1.1426573.4,8,7,4,7,7,1
Inter.CP000255.1.0.2511542.182,1,0,1,1,1,0
Inter.CP000255.1.1.1839180.1,3,2,3,1,4,0
gene1868,600,540,536,232,206,232
Inter.CP000255.1.0.2436985.7,3,5,1,8,2,2
Inter.CP000255.1.0.2669918.48,5,2,4,4,1,0
Inter.CP000255.1.0.1616169.196,1,3,1,1,1,0
Inter.CP000255.1.1.1106426.9,2,0,0,2,2,1
gene2043,545,458,466,270,211,214
Inter.CP000255.1.0.937548.0,7,3,6,3,4,0
Inter.CP000255.1.1.737737.13,6,4,6,20,0,3
Inter.CP000255.1.1.1631963.1,3,1,1,2,0,1
Inter.CP000255.1.1.1830530.6,2,6,3,4,3,2
Inter.CP000255.1.1.493138.9,3,5,3,5,7,1
Inter.CP000255.1.1.1244688.447,1,0,0,2,2,0
Inter.CP000255.1.1.1125544.68,1,4,0,1,1,0
gene1455,2691,1946,1687,2108,2078,2219
Inter.CP000255.1.1.681397.84,1,0,0,2,0,1
Inter.CP000255.1.0.2025472.5,1,3,3,4,4,3
Inter.CP000255.1.0.2864684.64,0,2,1,8,0,2
Inter.CP000255.1.0.79446.3,2,1,2,2,1,2
Inter.CP000255.1.0.2537497.20,1,1,1,6,7,1
Inter.CP000255.1.1.164781.181,1,2,0,1,0,1
Inter.CP000255.1.1.1679893.0,2,2,2,1,0,1
Inter.CP000255.1.0.2820916.42,2,1,2,2,3,0
Inter.CP000255.1.1.1821449.2,8,1,2,0,5,0
Inter.CP000255.1.1.1333405.25,3,1,0,3,0,1
Inter.CP000255.1.0.2511542.116,2,6,1,5,1,4
Inter.CP000255.1.1.10613.140,4,6,1,0,1,1
Inter.CP000255.1.1.56237.21,7,8,2,8,3,2
Inter.CP000255.1.1.2737441.1,12,6,7,13,10,8
Inter.CP000255.1.0.2797567.83,2,1,0,1,1,2
Inter.CP000255.1.0.623952.9,4,3,1,3,3,1
Inter.CP000255.1.1.474674.64,0,1,0,2,2,2
Inter.CP000255.1.0.766115.21,4,2,3,6,1,1
Inter.CP000255.1.0.1070682.37,64,37,36,17,12,12
Inter.CP000255.1.1.2019370.5,13,10,8,27,15,4
Inter.CP000255.1.0.550668.0,12,8,15,8,7,11
gene1500,0,6,5,6,3,1
Inter.CP000255.1.1.1364465.49,5,14,7,9,9,4
Inter.CP000255.1.0.766115.29,12,9,9,5,7,5
Inter.CP000255.1.0.2864684.71,1,2,1,0,1,0
Inter.CP000255.1.0.1541358.418,2,2,1,5,0,2
Inter.CP000255.1.1.2556135.20,1,0,1,1,0,0
Inter.CP000255.1.1.1435315.2,9,12,20,4,2,1
Inter.CP000255.1.1.497222.428,1,2,1,1,1,0
Inter.CP000255.1.0.2421735.61,3,1,0,6,2,1
gene1359,276,212,243,151,104,108
Inter.CP000255.1.1.2661462.4,2,1,0,0,1,0
Inter.CP000255.1.1.702756.15,15,16,18,19,16,2
Inter.CP000255.1.1.1032867.14,6,4,2,9,4,3
Inter.CP000255.1.1.435960.21,1,1,3,6,3,0
Inter.CP000255.1.0.1609569.10,5,7,4,9,5,2
Inter.CP000255.1.1.445966.44,2,4,6,5,5,3
Inter.CP000255.1.1.1244688.415,2,3,0,1,2,1
Inter.CP000255.1.0.127839.55,1,1,2,12,4,0
Inter.CP000255.1.1.327693.6,3,3,1,3,2,0
Inter.CP000255.1.0.195031.4,10,22,19,12,14,12
Inter.CP000255.1.1.259992.28,2,3,2,2,5,8
Inter.CP000255.1.1.134234.194,3,4,1,2,5,3
Inter.CP000255.1.1.102961.141,0,2,2,2,1,1
Inter.CP000255.1.0.190731.3,0,2,1,3,2,0
Inter.CP000255.1.0.1734711.185,1,5,2,3,4,2
Inter.CP000255.1.0.268233.91,2,1,2,4,3,3
Inter.CP000255.1.0.717252.4,5,2,4,0,5,1
Inter.CP000255.1.1.1908185.22,2,0,2,5,5,4
Inter.CP000255.1.1.0.50,4,0,2,13,13,10
Inter.CP000255.1.0.155895.7,6,6,9,7,7,9
Inter.CP000255.1.0.118511.42,4,2,2,1,3,2
Inter.CP000255.1.0.313053.29,1,1,0,0,3,2
Inter.CP000255.1.1.497222.151,9,5,4,18,10,5
Inter.CP000255.1.1.2649017.35,2,2,6,7,6,2
Inter.CP000255.1.1.1787695.2,0,0,1,0,0,0
Inter.CP000255.1.0.551779.1,1,2,1,3,0,0
Inter.CP000255.1.1.164781.3,1,2,3,7,1,3
Inter.CP000255.1.0.256361.10,3,5,5,7,4,1
Inter.CP000255.1.0.2379616.22,1,1,0,1,1,1
Inter.CP000255.1.0.27493.0,26,24,34,19,13,14
Inter.CP000255.1.1.0.22,14,16,16,32,24,30
Inter.CP000255.1.1.76226.135,0,0,1,0,1,0
Inter.CP000255.1.1.223379.66,0,3,0,1,1,1
Inter.CP000255.1.1.2254929.10,2,2,2,61,74,76
Inter.CP000255.1.1.911530.19,2,0,1,5,3,0
Inter.CP000255.1.0.1347515.7,0,1,3,1,1,0
Inter.CP000255.1.1.944647.81,3,1,2,0,1,1
gene272,21,27,33,58,30,18
Inter.CP000255.1.0.2797567.105,2,5,2,7,2,0
Inter.CP000255.1.0.2582176.35,3,0,2,1,3,4
Inter.CP000255.1.0.2664620.26,2,2,0,4,0,0
gene950,6136,5086,4710,2271,1836,1888
gene338,615,544,494,255,197,205
Inter.CP000255.1.1.2034071.16,1,0,1,0,0,0
Inter.CP000255.1.0.1697155.64,0,1,6,3,2,0
Inter.CP000255.1.0.2439890.13,3,4,1,4,3,3
Inter.CP000255.1.1.651984.122,8,9,9,6,6,4
rna5,3,1,4,4,0,1
Inter.CP000255.1.0.1841371.10,3,7,5,12,5,2
Inter.CP000255.1.0.564984.6,0,0,1,3,3,4
Inter.CP000255.1.1.421092.6,9,10,8,27,7,10
Inter.CP000255.1.0.839164.8,4,4,1,4,5,3
Inter.CP000255.1.1.754209.11,6,7,1,8,4,2
Inter.CP000255.1.1.627780.9,2,0,1,2,0,0
Inter.CP000255.1.0.2388116.31,1,0,0,2,0,1
Inter.CP000255.1.1.746767.29,3,7,1,10,4,4
Inter.CP000255.1.1.1765104.1,35,22,28,26,23,22
Inter.CP000255.1.0.2421735.27,5,4,3,5,1,1
Inter.CP000255.1.1.367654.6,0,2,0,3,2,0
Inter.CP000255.1.0.2075826.1,0,2,3,8,0,3
Inter.CP000255.1.1.482954.19,0,3,2,6,5,3
Inter.CP000255.1.1.1343200.5,2,0,2,2,2,1
Inter.CP000255.1.0.1697155.125,2,4,3,6,3,4
Inter.CP000255.1.0.1766067.150,1,4,0,5,4,0
Inter.CP000255.1.1.463258.98,1,0,0,2,0,2
Inter.CP000255.1.1.66983.2,3,3,1,2,3,3
Inter.CP000255.1.0.2687301.31,2,5,8,7,3,3
Inter.CP000255.1.1.76226.82,3,4,3,3,2,4
Inter.CP000255.1.1.727260.63,0,3,0,0,0,1
Inter.CP000255.1.0.2753574.96,2,10,1,2,1,1
Inter.CP000255.1.1.330274.7,0,0,1,0,1,0
Inter.CP000255.1.1.857097.58,0,1,0,0,0,0
Inter.CP000255.1.1.2290193.8,3,2,1,4,3,1
Inter.CP000255.1.1.0.25,7,6,3,17,6,5
gene89,71,60,65,48,54,40
Inter.CP000255.1.1.2164336.40,10,4,3,5,5,3
Inter.CP000255.1.1.236665.52,11,3,5,13,4,6
Inter.CP000255.1.0.2442654.49,10,14,10,26,9,9
Inter.CP000255.1.1.285730.201,0,4,2,9,1,2
Inter.CP000255.1.1.1008188.39,1,1,0,2,0,1
Inter.CP000255.1.1.1056693.1,0,0,1,2,2,0
Inter.CP000255.1.0.2087346.302,2,1,0,2,1,0
Inter.CP000255.1.1.497222.568,2,1,2,1,2,1
Inter.CP000255.1.1.2134710.1,0,3,2,3,1,0
Inter.CP000255.1.0.68791.19,2,0,1,2,0,1
Inter.CP000255.1.1.2342456.6,76,87,84,36,14,7
Inter.CP000255.1.0.1401043.25,0,0,0,4,4,0
Inter.CP000255.1.1.445966.70,0,1,1,1,0,0
Inter.CP000255.1.1.156842.16,0,0,0,2,0,1
Inter.CP000255.1.0.2864684.7,5,4,4,11,11,2
gene1091,95,115,110,176,221,203
Inter.CP000255.1.1.986676.35,0,0,4,2,1,0
Inter.CP000255.1.0.2588268.4,12,15,12,22,10,9
Inter.CP000255.1.0.690352.11,15,12,12,6,4,0
Inter.CP000255.1.1.1168035.13,2,4,8,6,6,2
Inter.CP000255.1.1.1646063.2,2,1,0,2,2,0
Inter.CP000255.1.1.2578399.31,11,11,9,14,6,6
Inter.CP000255.1.1.134234.82,0,0,0,1,0,0
Inter.CP000255.1.1.727260.92,0,7,9,10,6,2
gene707,248,169,172,118,83,104
Inter.CP000255.1.0.2772481.54,2,1,0,3,2,1
Inter.CP000255.1.0.2421735.87,1,2,2,5,2,0
Inter.CP000255.1.0.1926438.51,1,4,3,10,8,3
Inter.CP000255.1.1.1299662.46,1,3,1,1,2,1
Inter.CP000255.1.1.414364.1,18,6,9,10,7,5
Inter.CP000255.1.1.10613.183,3,4,3,5,2,4
Inter.CP000255.1.1.1125544.32,1,2,2,4,4,0
Inter.CP000255.1.1.1388720.89,0,2,3,4,0,0
Inter.CP000255.1.1.1032867.26,13,11,6,18,17,8
Inter.CP000255.1.0.2627985.154,2,4,3,0,1,2
Inter.CP000255.1.0.1541358.231,1,0,1,4,2,1
gene251,2838,2407,2461,2035,1638,1815
Inter.CP000255.1.0.2046155.10,3,2,2,3,1,2
Inter.CP000255.1.1.1136577.140,0,0,0,2,0,0
Inter.CP000255.1.0.1122198.1,0,0,0,2,0,0
Inter.CP000255.1.0.407191.12,2,3,4,2,1,0
Inter.CP000255.1.0.268233.52,2,6,2,17,5,3
Inter.CP000255.1.1.1244688.107,1,2,1,1,1,0
Inter.CP000255.1.1.1757838.2,227,179,183,440,553,450
Inter.CP000255.1.1.2197253.2,5,3,2,2,2,0
Inter.CP000255.1.0.1541358.115,2,3,3,5,4,6
Inter.CP000255.1.1.911530.35,0,0,1,0,0,1
Inter.CP000255.1.1.1426573.8,1,1,1,0,3,0
Inter.CP000255.1.1.2227044.2,110,95,113,80,64,81
Inter.CP000255.1.1.497222.524,2,1,3,4,2,1
Inter.CP000255.1.0.1616169.271,3,1,1,2,0,0
Inter.CP000255.1.0.2497746.16,5,2,2,6,0,0
gene2499,1870,1710,1732,801,583,532
Inter.CP000255.1.1.1161141.33,1,4,4,7,8,7
Inter.CP000255.1.0.2210614.22,6,1,3,15,6,1
Inter.CP000255.1.0.2334846.4,1,1,3,5,3,4
Inter.CP000255.1.0.2073105.9,0,0,2,5,1,3
Inter.CP000255.1.0.511435.0,0,0,3,2,1,1
Inter.CP000255.1.0.593768.0,180,215,279,301,283,369
Inter.CP000255.1.0.2627985.134,1,0,2,4,0,1
gene962,14041,13429,13219,11482,12083,14981
Inter.CP000255.1.1.1213362.74,3,2,1,1,1,1
Inter.CP000255.1.1.2785642.0,0,1,0,1,1,0
gene2265,307,216,273,117,100,114
gene1094,97,96,82,201,212,189
Inter.CP000255.1.1.285730.116,1,0,0,5,2,1
Inter.CP000255.1.1.497222.399,0,2,0,0,0,0
Inter.CP000255.1.0.807094.32,5,5,3,6,6,6
Inter.CP000255.1.1.727260.13,0,0,0,2,2,0
Inter.CP000255.1.1.0.21,7,11,27,12,16,13
Inter.CP000255.1.0.894341.12,35,34,25,20,11,15
Inter.CP000255.1.1.2290193.9,3,3,2,15,5,4
Inter.CP000255.1.0.1190918.7,0,3,2,3,1,0
Inter.CP000255.1.1.1414197.68,2,4,2,2,1,0
Inter.CP000255.1.1.1136577.14,1,0,0,2,0,0
Inter.CP000255.1.1.2272001.14,1,1,3,3,6,0
Inter.CP000255.1.1.885260.0,1,3,2,3,2,1
Inter.CP000255.1.1.463258.53,1,1,2,3,1,2
Inter.CP000255.1.0.1591939.36,0,1,1,3,0,1
Inter.CP000255.1.0.399798.11,0,0,1,0,0,0
Inter.CP000255.1.0.1616169.229,4,7,7,4,3,1
Inter.CP000255.1.1.903938.63,7,11,7,5,1,2
Inter.CP000255.1.0.1905115.4,39,34,37,22,20,30
gene2557,193,220,247,296,262,258
Inter.CP000255.1.1.1170092.30,3,2,6,3,3,3
Inter.CP000255.1.1.2618079.1,7,10,3,20,8,0
Inter.CP000255.1.0.65223.0,37,30,34,13,16,9
Inter.CP000255.1.1.1213362.14,3,1,0,5,8,2
Inter.CP000255.1.0.1616169.200,4,6,1,7,5,2
Inter.CP000255.1.0.2569499.70,7,2,5,9,3,1
Inter.CP000255.1.0.452948.2,1,0,2,5,5,8
Inter.CP000255.1.1.497222.64,0,2,0,2,0,1
Inter.CP000255.1.0.323294.31,0,0,0,1,1,0
Inter.CP000255.1.0.1697155.273,1,0,0,3,0,0
Inter.CP000255.1.1.195296.57,7,3,2,10,9,7
Inter.CP000255.1.0.1926438.88,1,1,0,1,1,1
Inter.CP000255.1.1.1136577.113,20,15,20,31,13,7
Inter.CP000255.1.0.1541358.188,0,2,1,7,2,0
Inter.CP000255.1.0.721619.0,7,1,4,4,2,3
Inter.CP000255.1.0.17102.2,1,2,2,7,3,3
gene921,135,121,117,261,251,279
Inter.CP000255.1.1.2712757.1,1,1,2,1,1,2
Inter.CP000255.1.0.1456753.414,2,0,1,0,0,0
Inter.CP000255.1.1.1800730.17,16,15,16,10,7,3
Inter.CP000255.1.1.497222.72,2,2,5,4,2,0
Inter.CP000255.1.0.1734711.5,4,1,1,2,3,1
Inter.CP000255.1.0.1031877.11,6,4,4,7,4,8
Inter.CP000255.1.1.435960.40,8,8,3,6,2,8
Inter.CP000255.1.1.1733352.1,10,5,4,7,1,4
Inter.CP000255.1.0.1734711.181,3,5,2,2,6,3
Inter.CP000255.1.0.1866877.20,4,8,4,6,7,7
Inter.CP000255.1.1.920559.57,2,3,2,4,2,1
Inter.CP000255.1.1.101011.8,1,2,2,3,2,0
Inter.CP000255.1.1.10613.233,2,2,1,3,1,0
Inter.CP000255.1.0.1456753.222,1,1,1,4,0,2
Inter.CP000255.1.1.1753709.0,24,28,32,34,26,23
Inter.CP000255.1.1.1319542.69,1,0,4,2,1,1
Inter.CP000255.1.1.1498442.12,0,3,0,1,0,0
Inter.CP000255.1.0.2699448.9,1,3,2,5,1,1
Inter.CP000255.1.0.728265.2,20,13,12,4,9,9
Inter.CP000255.1.1.482954.25,3,2,3,9,4,2
Inter.CP000255.1.0.2684096.9,0,0,2,2,1,0
Inter.CP000255.1.0.1363957.1,668,544,453,242,157,115
Inter.CP000255.1.1.44608.7,7,5,13,23,18,7
Inter.CP000255.1.1.1244688.503,2,1,4,3,2,3
Inter.CP000255.1.0.564984.3,3,2,7,7,5,1
Inter.CP000255.1.0.807094.30,7,7,3,19,9,10
Inter.CP000255.1.1.0.74,1,2,0,2,2,3
Inter.CP000255.1.1.376829.23,0,0,1,3,4,1
Inter.CP000255.1.1.792973.70,5,2,0,6,2,1
gene1985,360,285,320,221,243,270
Inter.CP000255.1.1.376829.21,2,1,2,3,2,0
Inter.CP000255.1.1.223379.104,3,6,6,15,7,4
Inter.CP000255.1.1.376829.33,2,3,3,7,5,0
gene2013,190,175,189,162,128,96
Inter.CP000255.1.0.2277939.23,1,0,0,0,0,0
Inter.CP000255.1.0.1677665.7,0,3,5,6,8,3
Inter.CP000255.1.1.474674.32,6,4,2,19,11,4
Inter.CP000255.1.1.497222.135,3,10,6,15,5,0
Inter.CP000255.1.1.813246.35,17,8,8,7,4,3
Inter.CP000255.1.1.1008188.33,1,0,0,1,2,0
Inter.CP000255.1.1.840309.45,2,0,3,6,7,5
Inter.CP000255.1.1.497222.188,6,6,3,24,8,6
Inter.CP000255.1.1.2223173.0,100,97,110,127,96,98
Inter.CP000255.1.1.1299662.69,2,6,2,6,1,0
Inter.CP000255.1.1.2164336.62,4,8,7,15,11,2
Inter.CP000255.1.0.136452.0,0,0,1,0,0,0
Inter.CP000255.1.1.895130.8,4,3,4,5,2,3
Inter.CP000255.1.1.2181318.1,1,0,1,2,3,2
Inter.CP000255.1.0.2620004.2,18,12,12,13,14,28
Inter.CP000255.1.0.597910.8,5,10,3,15,9,1
Inter.CP000255.1.0.370558.1,2,2,4,6,2,3
Inter.CP000255.1.1.651984.210,0,0,1,4,0,0
Inter.CP000255.1.0.1222540.0,1,1,2,2,2,0
Inter.CP000255.1.1.903938.48,2,1,1,2,3,1
Inter.CP000255.1.1.356775.60,2,7,4,7,7,2
Inter.CP000255.1.0.243105.3,0,4,1,5,3,0
Inter.CP000255.1.1.1206523.47,5,5,6,9,3,2
Inter.CP000255.1.0.2699448.15,7,12,8,29,6,6
Inter.CP000255.1.1.330274.160,2,0,0,2,1,0
Inter.CP000255.1.0.2660413.9,1,3,5,8,3,1
Inter.CP000255.1.0.2087346.28,0,1,1,5,2,1
Inter.CP000255.1.0.574024.4,95,86,106,65,56,73
Inter.CP000255.1.0.1890637.7,0,0,0,0,1,1
Inter.CP000255.1.0.1407618.9,2,2,2,8,4,2
Inter.CP000255.1.0.2398777.42,2,4,5,6,6,1
Inter.CP000255.1.0.283881.13,3,1,3,5,7,3
Inter.CP000255.1.0.1541358.182,1,1,6,6,2,3
Inter.CP000255.1.0.2343175.128,1,0,1,0,0,0
Inter.CP000255.1.0.970546.1,0,2,0,3,1,0
Inter.CP000255.1.1.920559.63,0,1,0,1,0,1
gene2341,117,165,120,1475,1016,997
Inter.CP000255.1.1.1580068.0,1,1,1,1,1,2
Inter.CP000255.1.1.944647.8,2,4,5,7,0,2
gene23,107,85,121,93,86,71
Inter.CP000255.1.0.127839.65,2,3,0,11,5,2
Inter.CP000255.1.1.386716.18,5,4,10,13,9,6
Inter.CP000255.1.0.1044013.51,0,2,1,1,0,1
Inter.CP000255.1.0.1734711.79,3,6,3,3,3,1
Inter.CP000255.1.1.2123289.38,14,22,12,19,13,7
Inter.CP000255.1.0.1609569.40,1,4,2,2,2,0
Inter.CP000255.1.1.1223109.188,1,0,0,1,1,0
Inter.CP000255.1.0.2721574.48,3,1,1,6,1,2
Inter.CP000255.1.0.344005.0,5,5,8,3,6,3
Inter.CP000255.1.0.2864684.38,2,2,2,1,0,0
Inter.CP000255.1.0.382573.17,31,29,33,38,31,32
Inter.CP000255.1.0.2864684.36,0,3,4,7,1,1
Inter.CP000255.1.0.2830027.117,4,1,3,5,4,1
Inter.CP000255.1.0.2128531.24,1,1,0,2,2,0
Inter.CP000255.1.1.285730.238,26,22,15,5,4,0
Inter.CP000255.1.1.2456345.8,2,1,2,8,2,1
Inter.CP000255.1.1.497222.629,3,4,8,6,5,7
Inter.CP000255.1.0.2604523.99,3,5,4,7,7,0
Inter.CP000255.1.0.807094.36,0,3,1,8,2,0
Inter.CP000255.1.1.970988.28,6,8,6,5,5,4
Inter.CP000255.1.0.2699448.47,1,2,2,2,1,0
Inter.CP000255.1.1.2272001.46,5,12,14,11,11,3
Inter.CP000255.1.0.788141.32,0,1,0,0,0,0
Inter.CP000255.1.0.2504547.2,4,1,1,2,1,0
Inter.CP000255.1.1.330274.149,7,7,8,11,5,6
Inter.CP000255.1.1.1634115.0,1,0,0,1,1,0
gene932,184,142,125,95,97,44
Inter.CP000255.1.1.2010103.0,0,0,0,0,1,1
gene1103,373,332,347,228,173,247
Inter.CP000255.1.0.2277939.97,1,1,2,1,0,1
gene2215,25,35,45,40,28,19
Inter.CP000255.1.0.2590957.120,0,0,0,1,0,0
Inter.CP000255.1.1.1136577.0,2,5,2,4,4,1
Inter.CP000255.1.1.792973.69,3,5,3,13,6,3
Inter.CP000255.1.1.0.41,0,4,2,4,1,1
Inter.CP000255.1.0.2035806.73,1,2,1,0,0,0
Inter.CP000255.1.0.1044013.44,8,5,6,3,6,1
Inter.CP000255.1.0.2343175.271,2,3,6,6,4,4
