gene,P23.1,P23.2,P23.3,P23.G.1,P23.G.2,P23.G.3
Inter.CP000255.1.0.127839.29,0,1,1,0,2,1
Inter.CP000255.1.0.447118.0,0,3,1,5,3,0
Inter.CP000255.1.1.1720053.0,0,0,0,0,0,1
Inter.CP000255.1.1.482954.3,2,3,0,2,3,1
Inter.CP000255.1.1.813246.46,0,1,0,1,2,3
Inter.CP000255.1.0.2545550.106,0,2,2,7,0,2
Inter.CP000255.1.1.1087371.22,8,6,10,9,7,6
Inter.CP000255.1.1.1244688.144,1,1,0,4,1,1
Inter.CP000255.1.0.1443669.56,11,10,23,12,1,8
Inter.CP000255.1.0.2604523.86,45,42,44,33,28,21
Inter.CP000255.1.0.2020745.8,3,7,3,8,9,3
Inter.CP000255.1.1.608577.96,1,1,0,1,0,0
Inter.CP000255.1.0.1541358.230,0,2,0,0,3,0
gene1670,577,464,489,351,303,321
Inter.CP000255.1.0.2291621.95,3,5,1,7,7,7
Inter.CP000255.1.0.2319278.127,1,1,1,4,1,1
Inter.CP000255.1.0.1154198.1,0,1,1,1,0,2
Inter.CP000255.1.1.1002219.26,3,4,0,0,2,1
Inter.CP000255.1.1.1343200.8,3,6,9,11,7,13
Inter.CP000255.1.0.2504547.5,1,1,5,7,2,0
Inter.CP000255.1.0.1677665.170,2,0,1,1,3,1
Inter.CP000255.1.0.766115.26,8,7,4,7,2,0
Inter.CP000255.1.1.920559.50,4,0,0,2,2,1
Inter.CP000255.1.0.1131627.3,12,14,9,9,7,9
Inter.CP000255.1.0.2124898.8,14,8,8,11,17,12
Inter.CP000255.1.0.937548.1,4,3,4,7,1,1
Inter.CP000255.1.0.407191.75,4,1,1,2,2,0
Inter.CP000255.1.0.1697155.338,2,0,1,3,2,0
Inter.CP000255.1.0.2136178.19,1,1,1,0,4,1
Inter.CP000255.1.1.2337685.11,3,3,3,5,5,1
Inter.CP000255.1.0.2388116.29,0,1,0,2,0,0
Inter.CP000255.1.0.1135468.1,0,0,2,3,2,0
Inter.CP000255.1.1.285730.69,1,3,0,0,0,1
Inter.CP000255.1.1.51203.30,5,3,1,2,4,1
Inter.CP000255.1.1.1244688.481,4,3,5,7,4,0
Inter.CP000255.1.1.1832936.8,5,1,5,1,4,2
Inter.CP000255.1.1.1454656.5,1,0,0,2,1,0
