,W1,W2,W3,C1,C2,C3,D1,D2,D3
HG001_00124,21,38,27,29,40,28,23,40,29
HG001_00125,117,187,157,189,159,154,197,151,155
HG001_00126,620,657,572,625,533,378,684,635,600
HG001_00127,43,57,78,57,57,61,67,76,52
HG001_00128,922,1033,896,891,911,772,737,778,789
HG001_00129,38286,40492,49210,34029,34711,29240,39434,44849,42949
HG001_00130,5942,6098,6751,5152,5090,3809,6350,6602,6170
HG001_00131,1306,762,852,1197,1329,1372,584,943,883
HG001_00132,53,48,84,86,78,88,72,78,63
HG001_00133,86,55,107,122,120,126,77,115,110
HG001_00134,27,20,35,38,46,34,28,33,36
HG001_00135,25,11,24,32,30,29,17,29,23
HG001_00136,547,468,461,638,674,569,411,429,467
HG001_00137,1038,981,961,1044,977,739,1070,1089,1030
HG001_00138,2046,2617,2285,2258,2085,1702,2219,2466,2246
HG001_00139,1392,1791,1590,2657,2538,2007,1298,1317,1322
HG001_00140,2714,3689,3480,4178,4187,3221,3307,3518,3495
HG001_00141,2215,3223,2845,3808,3891,2875,2882,3152,3046
HG001_00142,4514,5899,5889,7682,7593,5641,5647,6141,5776
HG001_00143,3732,4542,4554,6606,6158,4534,4650,4349,4442
HG001_00144,6,3,4,11,7,10,4,5,4
HG001_00145,1676,2046,1953,2493,2536,1926,1711,1916,2011
HG001_00146,353,522,398,503,468,340,470,358,321
HG001_00147,500,597,513,609,571,458,548,457,439
