,LAC DMSO 1 - total_raw_count,LAC DMSO 2 - total_raw_count,LAC DMSO 3 - total_raw_count,LAC apicidin 1 - total_raw_count,LAC apicidin 2 - total_raw_count,LAC apicidin 3 - total_raw_count,agr DMSO 1 - total_raw_count,agr DMSO 2 - total_raw_count,agr DMSO 3 - total_raw_count
SAUSA300_2420,341,349,315,291,313,262,1928,1650,1785
SAUSA300_1236,1630,1919,1582,1347,1509,1550,516,593,537
SAUSA300_1221,1414,1662,1574,1238,1276,1491,628,506,560
feoB,1700,1702,1679,1175,1585,1661,17,19,26
SAUSA300_0148,9,0,4,3,8,0,1695,1751,1525
SAUSA300_1808,333,337,368,308,272,314,195,253,205
SAUSA300_0922,1690,1553,1457,1175,1527,1358,101,111,84
SAUSA300_2116,124,158,137,87,123,160,836,907,874
SAUSA300_2554,2901,2684,2988,2350,2541,2486,319,338,313
SAUSA300_1291,1072,939,1052,833,911,891,273,412,233
SAUSA300_1706,2116,2061,2074,1552,1959,1900,724,695,842
SAUSA300_1314,1108,1146,1173,970,930,1055,1985,1400,2183
SAUSA300_0724,2180,2200,2031,1854,1842,1823,3621,3661,3026
atpD,8012,8236,8391,7094,7071,7057,415,494,440
femB,6055,5986,5373,4502,5271,5253,16,7,10
SAUSA300_0932,3090,3400,3426,2633,2799,3127,41,46,46
manA,4963,4923,5472,4278,4430,4517,3495,3345,3005
SAUSA300_2328,2585,2178,2098,1873,2027,1995,8864,9355,7918
SAUSA300_0085,135,121,105,110,99,101,78,78,53
SAUSA300_1158,2844,3058,3087,2439,2632,2684,664,918,784
SAUSA300_0663,1860,1720,1729,1262,1563,1802,301,296,258
SAUSA300_0027,5025,5329,4887,4402,4294,4450,6978,8011,6693
SAUSA300_1772,93,86,101,54,65,148,9999,7532,8734
SAUSA300s160,2120,2106,1933,1653,1878,1847,1468,1230,1220
SAUSA300_0798,1491,1424,1373,1199,1245,1260,125,98,115
SAUSA300_1510,1969,2097,2239,1848,1730,1867,2189,2355,2042
SAUSA300_0672,3066,2837,2391,2402,2270,2464,1034,1115,935
ung,1176,1070,1189,1013,983,971,5112,5459,4572
SAUSA300_1651,5455,5475,5451,4468,4589,5134,33,21,40
tagH,4071,4187,4056,3390,3651,3614,69,25,60
mutY,816,938,930,739,793,786,1871,1476,1991
rsbV,1305,1219,1325,983,1121,1238,116,89,148
murG,4500,4832,4367,3906,4063,3876,571,446,555
lexA,2789,3192,3289,2458,2695,2864,458,577,510
fba,3150,3472,2925,2678,2847,2720,383,606,541
SAUSA300_0697,422,425,446,327,412,385,3870,4331,4129
xpt,689,783,709,746,586,568,987,884,884
fmt,1952,1907,1762,1557,1662,1646,1978,1567,1712
SAUSA300_0899,3529,3610,3535,2838,3146,3276,3064,2800,2635
SAUSA300_0348,446,419,457,306,405,448,7312,6992,6166
sdhA,9184,9715,10468,8963,8446,8021,7572,6303,7200
arlR,4353,4404,4119,3356,3778,4049,308,327,330
SAUSA300_0659,3159,3359,3283,2721,2868,2908,1693,1554,1524
SAUSA300_1939,214,226,327,236,213,205,211,239,242
frr,1652,1680,1729,1363,1452,1580,22,3,39
SAUSA300_1116,2617,2604,2703,2215,2383,2276,909,792,942
SAUSA300_1530,2481,2593,2582,2243,2087,2315,2225,2590,2184
rumA,2027,2156,2238,1763,1909,1896,629,631,711
SAUSA300_0566,10378,10701,13335,9560,10217,9892,782,669,746
SAUSA300s235,472,539,538,420,413,515,156,82,199
SAUSA300_1814,378,385,388,282,332,394,12246,12345,11203
SAUSA300_0068,425,472,491,346,369,504,1415,1211,1192
def,827,944,966,703,842,833,210,119,194
mnhA,13146,13071,12754,10622,11316,11928,44,29,28
sdrH,3715,3954,3903,3100,3481,3477,30,11,22
SAUSA300_1506,2338,2719,2999,2404,2357,2202,2033,2256,1924
SAUSA300_2521,87,116,98,81,74,108,143,130,166
hisG,23,17,30,15,16,32,414,425,358
SAUSA300_1784,3550,3562,3290,2853,2963,3223,2259,1679,1721
SAUSA300_0438,3546,3989,4861,3803,3594,3299,2363,2353,2169
pbuX,2740,2673,2569,2385,2314,2236,249,206,206
crr,1665,1820,1630,1408,1474,1561,1676,1561,1618
murA,6382,6195,6386,5286,5645,5553,66,108,86
SAUSA300_1351,3229,3341,3125,2659,2790,2986,12318,12295,11252
SAUSA300_2504,7283,7188,6967,5945,6339,6361,146,97,98
SAUSA300_2381,2860,2633,2720,1883,2573,2779,1802,1809,1866
SAUSA300_1220,1051,1039,1027,903,847,964,9880,9788,9473
pckA,10068,9926,8667,7715,8375,8818,4250,3960,3690
rot,1020,984,882,837,872,798,40,55,42
uppS,1628,1627,1647,1435,1411,1421,3678,3556,3630
SAUSA300_0104,319,288,294,263,246,300,4532,5232,4071
SAUSA300_1749,333,373,257,274,258,298,2330,2550,2272
SAUSA300_1003,8185,9197,7919,7030,7617,7354,7705,5975,6191
accC,6752,6916,7140,5648,6362,6132,2653,2358,2558
SAUSA300_1980,2084,2203,2305,1805,1927,2018,21,37,22
SAUSA300_2494,13227,12533,12638,10507,11180,11839,1017,645,844
SAUSA300_0336,178,162,123,121,139,140,237,334,281
SAUSA300_1590,10992,11047,11235,9199,9779,10080,906,1068,935
SAUSA300_1965,1946,2073,1725,1582,1649,1773,409,378,344
SAUSA300_1318,5173,5031,4804,4341,4452,4300,1234,1491,1031
SAUSA300_2419,642,706,657,535,617,600,1639,1556,1484
SAUSA300_1285,4025,4238,3841,3352,3571,3648,2143,2086,2172
SAUSA300_1327,0,0,0,0,0,0,313,222,300
SAUSA300s174,0,0,0,0,0,0,25,24,20
SAUSA300_0355,4201,4773,4751,3792,4013,4187,57,77,100
SAUSA300_1842,3250,3191,3073,2630,2774,2928,964,918,939
SAUSA300_1906,4724,4588,4366,3928,4098,3942,64,71,79
SAUSA300_1254,6776,6727,6423,5212,5816,6483,3668,3224,3352
SAUSA300_0145,261,249,258,245,186,247,1108,1065,1034
rplV,2018,1790,2246,1726,1742,1812,2224,2235,2189
SAUSA300_1897,7303,7142,8096,6599,6590,6522,69,37,63
SAUSA300_2430,350,385,387,357,332,296,583,524,486
infB,11434,11975,12678,10420,10435,10741,787,769,818
SAUSA300_0119,45,51,81,56,56,40,766,834,706
nusA,4676,4823,5389,4174,4432,4444,6757,5790,5830
SAUSA300_1832,577,646,729,468,581,676,1814,2057,1689
SAUSA300_0723,366,324,313,271,296,313,3541,3405,3114
SAUSA300_0728,953,1021,937,741,917,909,1598,1985,1490
opp-2B,1302,1254,1288,1051,1109,1223,276,343,319
SAUSA300_1934,213,233,396,242,255,216,4773,3076,4773
SAUSA300_2624,575,533,599,485,535,480,3476,3626,3367
SAUSA300_1387,22,27,35,21,21,32,1543,1411,1261
