,LAC DMSO 1 - total_raw_count,LAC DMSO 2 - total_raw_count,LAC DMSO 3 - total_raw_count,LAC apicidin 1 - total_raw_count,LAC apicidin 2 - total_raw_count,LAC apicidin 3 - total_raw_count,agr DMSO 1 - total_raw_count,agr DMSO 2 - total_raw_count,agr DMSO 3 - total_raw_count
SAUSA300_2400,5401,4932,5261,4433,4811,5058,3010,3156,2921
SAUSA300s262,666,822,1078,946,760,752,13729,12589,11041
ezrA,10060,10895,9493,9252,9537,9082,81,83,169
SAUSA300_2418,2218,2212,1894,1979,1877,1928,591,497,618
deoD,2495,2393,2447,2141,2317,2271,689,674,599
SAUSA300_1260,4096,4056,3984,3396,3840,3915,768,808,718
clpP,2872,2850,2656,2405,2542,2744,214,128,175
nth,3125,3132,3296,2644,2985,3157,1897,2303,1766
fnbB,912,934,995,830,873,904,3456,2503,2860
SAUSA300_1698,2388,2305,2458,2089,2143,2338,2346,2259,2403
murF,6893,7059,7034,6532,6434,6302,418,470,382
SAUSA300_0020,5330,5262,5576,4597,5052,5216,732,667,654
SAUSA300_0730,3818,4046,3944,3485,3713,3648,50,46,48
SAUSA300s170,19,11,14,12,21,9,774,914,903
SAUSA300_1818,282,282,252,219,213,333,5105,5570,4609
SAUSA300_1304,3963,4135,4296,3636,3841,3909,1368,1595,1312
SAUSA300_2375,176,191,236,199,183,169,6461,6625,6034
msrA,2722,2621,2508,2310,2403,2503,1330,1005,1024
SAUSA300_2374,196,202,213,175,180,208,208,273,232
SAUSA300_1081,2091,2005,1977,1737,1937,1914,115,103,108
trpS,3406,3530,3561,3169,3232,3248,5655,6210,5598
trpF,68,84,82,82,60,74,841,891,722
SAUSA300_1005,7685,7420,6645,6496,6705,6766,1045,864,854
SAUSA300_1155,3987,4023,4060,3393,3835,3897,2684,1918,2639
ribBA,1487,1605,1886,1349,1616,1612,705,571,682
SAUSA300_1873,3911,4176,4566,3761,3940,3929,8246,8070,6744
SAUSA300_0844,5474,5776,5428,4982,5127,5246,12,5,4
SAUSA300_0790,1645,1516,1734,1460,1452,1593,24,21,22
SAUSA300_1945,65,60,89,78,57,61,1051,1160,948
rpmE2,2489,2515,2188,2161,2199,2253,814,656,771
fmtB,1303,1245,1275,1074,1217,1238,222,215,320
SAUSA300_0019,76,83,76,62,68,89,2607,2936,2613
SAUSA300_1375,49,43,64,35,52,58,2997,3192,3071
nusG,2728,2724,3128,2652,2693,2551,1263,905,1340
SAUSA300_0729,565,584,584,493,552,555,3948,3282,3887
SAUSA300_1172,2834,2853,2882,2567,2637,2703,10411,6315,9905
SAUSA300_1322,5683,6000,5964,4846,5703,5779,2030,2071,1751
speG,848,924,797,734,823,812,593,720,553
SAUSA300_1793,7837,7435,7010,6848,6819,6877,192,183,219
SAUSA300_0810,232,234,255,225,216,224,298,261,326
SAUSA300_1807,379,448,439,359,423,386,163,93,79
SAUSA300_2113,4737,4738,4756,4384,4369,4384,475,582,418
SAUSA300s074,1909,2157,2192,1884,1845,2043,12310,13623,11971
pheT,11986,11619,11088,10613,10381,11033,3124,3152,3149
topB,5147,4828,4703,4268,4574,4713,2340,2073,1970
SAUSA300_0588,177,202,195,200,156,176,6346,5749,6607
SAUSA300_1859,3434,3189,3208,3015,2983,3081,43,71,39
rplL,2832,2826,2225,2481,2373,2388,886,693,713
SAUSA300_1786,3716,3812,3778,3261,3480,3726,1178,1144,1206
SAUSA300_1875,2343,2494,2333,1868,2221,2598,2235,1874,2129
SAUSA300_1465,4322,4832,5176,4176,4532,4516,1013,1149,1041
SAUSA300s116,1842,1710,1901,1504,1687,1866,7717,6789,6368
SAUSA300_1338,2719,2980,3264,2648,2769,2852,2501,2396,2520
SAUSA300_2266,1476,1461,1400,1271,1386,1356,1024,991,894
SAUSA300_2029,1636,1490,1483,1448,1403,1408,5494,5444,4772
SAUSA300_1788,3735,3308,2833,2964,3036,3079,49,55,28
SAUSA300_1957,227,201,318,257,206,217,5382,4664,5084
SAUSA300_0931,834,885,962,762,843,876,2076,1661,1293
SAUSA300_0866,1562,1740,1701,1391,1616,1630,1482,1283,1450
SAUSA300_1795,2621,2678,2243,2136,2221,2632,1098,1125,976
coaD,977,1082,989,890,974,957,3070,3128,3398
SAUSA300_0599,890,866,836,760,830,812,2515,2432,2499
SAUSA300_1572,2013,1278,1167,1358,1282,1371,777,1043,897
SAUSA300_0746,4068,4127,4619,3836,3986,4035,2892,2639,2675
SAUSA300_2501,11133,11444,11810,11103,10790,10000,182,142,136
SAUSA300_2500,6638,6693,7721,6812,6456,6212,2538,2925,2741
SAUSA300_1219,1043,1130,1121,937,1002,995,140,122,91
SAUSA300_1042,6137,5816,6130,4920,5850,6069,5799,3940,5780
alr,5277,5389,5177,4954,4826,4921,2226,1833,2023
birA,3053,2900,2877,2571,2705,2928,520,585,478
thiM,252,278,250,262,208,257,7837,7903,6496
hsdM,1510,1658,1984,1556,1552,1646,2462,2732,2435
SAUSA300_1259,300,340,373,265,336,342,84,76,92
SAUSA300_2129,3135,3101,3885,3272,3153,2935,1014,1006,905
SAUSA300_0660,1403,1437,1495,1285,1374,1369,302,167,311
trmE,2941,2870,3345,2838,2747,2905,5360,5690,5509
SAUSA300_0871,4868,4770,4571,4168,4463,4581,4086,4037,4247
atpB,3791,3650,3837,3625,3438,3425,2665,2986,2365
rpoA,5794,4919,5219,5062,4870,4851,10353,9714,9489
SAUSA300s269,10,7,7,7,4,14,4871,5240,4910
accB,2382,2348,2493,2045,2291,2393,41,35,36
pdhB,3581,3712,4432,3761,3960,3181,7381,6771,6914
SAUSA300_2456,842,949,1090,838,895,934,678,839,721
guaB,6493,6454,7254,7003,6011,5817,790,884,803
SAUSA300_0731,2277,2371,2267,1938,2302,2210,7148,6295,6361
SAUSA300_0451,469,453,605,462,472,475,7787,6298,6655
cbf1,7096,7005,5935,6280,5755,6582,1568,1614,1504
SAUSA300_0735,267,279,270,248,247,265,245,192,169
mraY,5220,5240,5853,5008,5140,5021,5888,6676,5557
argH,645,715,624,538,670,646,1798,1677,1411
SAUSA300_2622,1812,1754,1655,1396,1663,1834,1920,2188,2146
SAUSA300_1323,1056,1029,1051,832,1010,1101,1942,2512,2516
recF,5334,5714,5869,5272,5325,5162,2484,2308,2368
putP,5599,5263,4888,4867,4939,4855,1556,1169,1374
SAUSA300_2461,2365,2186,2210,1737,2149,2482,41,6,42
SAUSA300_0920,748,809,900,711,768,810,40,53,35
SAUSA300s120,1937,2239,2330,1914,1834,2340,7417,6612,6164
SAUSA300_0365,329,324,462,314,348,367,231,219,166
SAUSA300_0341,1330,1112,1213,1086,1145,1175,3861,3641,3210
oppA,91,103,99,113,88,76,2053,1950,1837
phnE,216,238,210,184,237,202,106,111,76
SAUSA300_1401,156,150,160,163,118,159,3832,3941,3915
SAUSA300_0916,1685,1778,1518,1673,1598,1740,7453,6934,6379
SAUSA300_1688,3892,4097,3958,3545,3778,3853,7391,6741,6288
uvrC,7279,7591,8364,6884,7219,7604,6948,7108,6281
rex,3042,2896,2736,2361,2794,2990,3806,3669,3574
SAUSA300_1971,1253,1471,1315,1266,1275,1229,3900,3783,4414
atpH,2730,2672,2967,2674,2577,2571,2193,2193,1749
corA,1566,1657,1637,1405,1598,1549,3310,3589,3287
SAUSA300_1944,176,202,224,207,179,176,35,65,48
mutS2,8288,7917,8259,7289,7589,8036,705,739,722
map,3953,3736,3730,3391,3581,3723,3995,3630,3523
SAUSA300_0342,193,183,178,149,166,209,83,130,77
lctP,8804,8655,8536,7722,8338,8312,2863,1998,2587
gap,4521,4797,4605,4238,4470,4338,647,596,536
SAUSA300_1520,1878,1696,1979,1654,1887,1662,1943,2281,2040
trpC,95,126,133,106,119,104,312,267,254
SAUSA300_0658,5062,5403,5382,4880,4957,5017,22,22,28
SAUSA300_1928,1295,1341,1514,1237,1401,1251,1187,1305,1188
SAUSA300_0832,2969,3067,3203,3072,2739,2860,7448,6704,6800
SAUSA300_0269,465,491,492,442,453,463,6173,4835,4389
SAUSA300_0615,167,168,153,133,148,180,6212,6267,6032
SAUSA300s183,373,431,373,376,381,435,3295,2331,2748
SAUSA300_1853,1474,1326,1365,1182,1386,1350,2817,2249,2601
SAUSA300s267,62,59,54,45,56,65,6935,6311,5837
SAUSA300_1508,269,282,402,331,270,283,2329,2165,2078
alsS,8510,9278,9931,8080,9441,8530,5945,6216,5448
pepF,8453,7969,7377,6691,7509,8210,3600,3463,3900
SAUSA300_0197,3574,3757,3532,3228,3548,3440,341,415,303
vraB,688,663,715,615,695,634,4596,4330,4320
SAUSA300_1231,7386,8061,7918,6598,7451,7975,4701,4665,4293
rpmC,1166,1023,1285,1114,1084,1056,2521,2201,2422
galU,2485,2398,2508,2455,2266,2236,0,0,0
topA,9630,9727,11060,9156,9769,9641,0,0,0
SAUSA300_0519,2277,2400,2899,2393,2284,2417,0,0,0
SAUSA300_2426,158,141,216,155,165,157,0,0,0
SAUSA300_2235,886,913,1121,874,930,932,0,0,0
SAUSA300_1779,319,292,352,272,219,460,0,0,0
queA,2802,2787,3319,2878,2679,2810,0,0,0
glpQ,1428,1334,1223,1221,1236,1291,0,0,0
pyrC,2373,3570,6203,2993,3513,4181,0,0,0
SAUSA300_1844,2051,1878,1922,1822,1785,1905,0,0,0
scrB,6556,6998,7832,6478,6928,6710,0,0,0
SAUSA300_2398,5559,5709,5777,5042,5500,5544,0,0,0
SAUSA300_1577,1136,1036,1104,999,1040,1050,0,0,0
pknB,8611,8684,8438,7937,8186,8167,0,0,0
SAUSA300_0018,42,46,34,31,33,54,0,0,0
SAUSA300_1449,1244,1315,1290,1222,1242,1170,0,0,0
SAUSA300_2519,372,412,354,368,375,331,0,0,0
SAUSA300_1489,122,120,104,103,98,127,0,0,0
rimI,798,851,1203,912,872,865,0,0,0
msrB,2267,2181,1948,1881,2026,2134,,,
SAUSA300_0361,345,348,453,359,371,345,0,0,0
SAUSA300_1010,262,262,218,211,237,253,,,
SAUSA300s191,70,69,79,65,67,85,0,0,0
xseA,6929,6779,6624,6327,6365,6544,,,
SAUSA300_1877,1133,1277,1236,1140,1111,1196,0,0,0
oppC,1970,2184,3164,2620,2059,2138,0,0,0
SAUSA300_0710,51,62,60,47,57,60,,,
pstB,460,491,439,418,461,436,,,
SAUSA300_0440,791,718,664,698,648,707,0,0,0
glmS,9216,6115,4965,6582,5911,6105,0,0,0
SAUSA300_2337,4670,4893,4899,4559,4599,4536,,,
SAUSA300_0265,4570,4331,3967,3396,4253,4623,,,
SAUSA300_0463,1415,1446,1568,1338,1393,1465,0,0,0
pyk,9570,10594,10585,9791,9666,9653,0,0,0
SAUSA300_2211,871,847,879,748,831,889,,,
SAUSA300_1986,1951,1862,1765,1527,1818,1970,,,
SAUSA300_1935,164,166,227,141,164,228,,,
SAUSA300s046,1017,880,865,829,784,1017,,,
SAUSA300_1209,25,25,9,11,23,19,,,
rsbW,1395,1448,1469,1231,1377,1496,0,0,0
SAUSA300_1389,268,260,266,250,242,262,,,
SAUSA300_0646,1938,2015,1868,1800,1835,1889,0,0,0
pgsA,2326,2312,2238,2075,2173,2284,0,0,0
estA,1098,1101,1017,1009,1028,1015,0,0,0
glpK,3299,3734,4237,3864,3484,3326,0,0,0
SAUSA300_2486,8461,7960,6429,6671,7244,7687,0,0,0
SAUSA300_1709,39,35,37,28,43,36,0,0,0
SAUSA300_0565,562,583,587,559,534,553,,,
dnaK,9936,10910,11026,10243,10189,9830,0,0,0
SAUSA300_1692,2679,2894,2842,2454,2713,2841,0,0,0
SAUSA300_1275,1104,1018,974,976,881,1093,0,0,0
SAUSA300_0745,2142,2179,2382,1925,2220,2234,0,0,0
SAUSA300_1977,107,98,83,85,100,88,0,0,0
SAUSA300_0150,1230,1372,1052,1164,1138,1152,0,0,0
SAUSA300_0912,2432,2455,2528,2171,2363,2530,0,0,0
tagG,4955,5029,4915,4388,5010,4808,0,0,0
SAUSA300_1299,5739,5513,5733,5048,5416,5726,,,
rpe,2655,2675,2785,2439,2615,2678,0,0,0
pstA,247,299,227,240,222,272,0,0,0
SAUSA300_2309,0,0,0,0,0,0,0,0,0
SAUSA300_1799,0,0,0,0,0,0,0,0,0
SAUSA300_1724,0,0,0,0,0,0,0,0,0
SAUSA300_2308,0,0,0,0,0,0,0,0,0
rrfE,,,,,,,0,0,0
SAUSA300_2304,0,0,0,0,0,0,0,0,0
rrsC,,,,,,,0,0,0
SAUSA300_2529,0,0,0,0,0,0,0,0,0
rrlA,,,,,,,0,0,0
rrfG,,,,,,,0,0,0
rrsA,,,,,,,0,0,0
rrsB,,,,,,,0,0,0
SAUSA300_2140,0,0,0,0,0,0,0,0,0
rrlB,,,,,,,0,0,0
rrfB,,,,,,,0,0,0
rrfC,,,,,,,0,0,0
SAUSA300_1451,0,0,0,0,0,0,0,0,0
SAUSA300s302,0,0,0,0,0,0,0,0,0
SAUSA300s256,0,0,0,0,0,0,0,0,0
SAUSA300_2215,0,0,0,0,0,0,0,0,0
SAUSA300s188,0,0,0,0,0,0,0,0,0
SAUSA300_2580,0,0,0,0,0,0,,,
ssaA,0,0,0,0,0,0,0,0,0
arcD,0,0,0,0,0,0,0,0,0
arcC,0,0,0,0,0,0,0,0,0
SAUSA300_1798,0,0,0,0,0,0,0,0,0
SAUSA300_1988,0,0,0,0,0,0,0,0,0
rrlC,,,,,,,0,0,0
SAUSA300_2557,0,0,0,0,0,0,0,0,0
rrfA,,,,,,,0,0,0
SAUSA300_2556,0,0,0,0,0,0,0,0,0
SAUSA300s057,0,0,0,0,0,0,0,0,0
SAUSA300s179,0,0,0,0,0,0,0,0,0
SAUSA300s163,0,0,0,0,0,0,0,0,0
rrfD,,,,,,,0,0,0
rrlD,,,,,,,0,0,0
rrsD,,,,,,,0,0,0
glvC,0,0,0,0,0,0,0,0,0
SAUSA300s162,0,0,0,0,0,0,0,0,0
rrsE,,,,,,,15804,13152,14816
SAUSA300s063,0,0,0,0,0,0,139,126,98
SAUSA300s196,0,0,0,0,0,0,5916,6891,5975
SAUSA300_0359,0,0,0,0,0,0,3842,3960,3620
SAUSA300_0360,0,0,0,0,0,0,1607,1562,1540
SAUSA300s228,0,0,0,0,0,0,1468,1568,1365
SAUSA300s236,0,0,0,0,0,0,12522,12035,9696
SAUSA300_0427,0,0,0,0,0,0,396,350,331
SAUSA300_0358,0,0,0,0,0,0,960,673,594
SAUSA300s198,0,0,0,0,0,0,1006,1080,1058
SAUSA300_1218,0,0,0,0,0,0,9625,9532,10038
SAUSA300s217,0,0,0,0,0,0,533,344,485
SAUSA300s277,0,0,0,0,0,0,1015,1264,936
SAUSA300_0781,0,0,0,0,0,0,92,89,78
rrlE,,,,,,,1729,1768,1571
SAUSA300s165,0,0,0,0,0,0,12544,10491,10744
SAUSA300s259,0,0,0,0,0,0,6175,5208,5449
SAUSA300s231,0,0,0,0,0,0,4096,3821,4567
SAUSA300s065,0,0,0,0,0,0,1553,1700,1355
SAUSA300s062,0,0,0,0,0,0,85,84,75
SAUSA300s295,0,0,0,0,0,0,1692,1637,1768
SAUSA300_0171,0,0,0,0,0,0,455,391,407
SAUSA300_0182,0,0,0,0,0,0,953,563,885
SAUSA300_1065,0,0,0,0,0,0,944,834,802
SAUSA300_1057,0,0,0,0,0,0,2279,2214,1968
SAUSA300_1025,0,0,0,0,0,0,8125,8318,7664
fadD,0,0,0,0,0,0,3884,4633,4236
fadE,0,0,0,0,0,0,7714,8660,7270
SAUSA300_0229,0,0,0,0,0,0,611,771,591
SAUSA300_0236,0,0,0,0,0,0,4082,3419,3786
SAUSA300s161,0,0,0,0,0,0,912,1012,876
SAUSA300_0317,0,0,0,0,0,0,138,181,145
SAUSA300_0933,0,0,0,0,0,0,1448,1456,1646
SAUSA300_0356,0,0,0,0,0,0,1776,2060,1834
metE,0,0,0,0,0,0,27,26,10
SAUSA300_0782,0,0,0,0,0,0,102,131,145
SAUSA300s194,0,0,0,0,0,0,314,334,264
SAUSA300_0088,0,0,0,0,0,0,240,227,285
SAUSA300s082,0,0,0,0,0,0,331,370,315
SAUSA300s268,0,0,0,0,0,0,7515,6902,5859
trpG,0,0,0,0,0,0,3529,2733,3037
trpD,0,0,0,0,0,0,11106,11922,10653
SAUSA300s192,0,0,0,0,0,0,3752,4453,3519
SAUSA300_0651,0,0,0,0,0,0,2013,2055,1976
SAUSA300s292,0,0,0,0,0,0,1453,1632,1399
SAUSA300_0610,0,0,0,0,0,0,5695,5333,5045
SAUSA300_0753,0,0,0,0,0,0,1300,1379,1274
SAUSA300s064,0,0,0,0,0,0,3673,3287,3049
SAUSA300_0609,0,0,0,0,0,0,186,174,182
SAUSA300s157,0,0,0,0,0,0,11,18,12
SAUSA300_0608,0,0,0,0,0,0,370,328,381
SAUSA300_0607,0,0,0,0,0,0,7120,7130,6527
SAUSA300s253,0,0,0,0,0,0,3961,3494,3451
SAUSA300s081,0,0,0,0,0,0,93,104,82
trpE,0,0,0,0,0,0,0,0,0
pepT,6231,6107,5642,5487,5757,5878,0,0,0
SAUSA300s132,196,171,134,161,142,170,3587,3988,3507
SAUSA300_0882,470,487,582,530,470,463,240,261,206
feoA,29,36,69,40,40,39,158,178,170
SAUSA300_0404,160,154,198,150,154,183,6775,7669,6464
ctpA,4484,4189,3989,3853,4028,4195,2804,3219,2804
dnaI,3724,3871,3654,3652,3476,3607,2463,2760,2119
SAUSA300_1848,2320,2616,2626,2288,2361,2565,393,398,335
SAUSA300_0695,3620,4069,3858,3409,3786,3837,4079,4335,4117
SAUSA300_0251,8408,8183,7675,7626,7696,7855,5179,5252,4458
cap5I,768,764,810,792,690,760,552,542,558
mfd,4623,4927,5682,5068,4791,4658,2509,2008,2009
SAUSA300_1402,70,77,63,79,47,80,415,544,553
SAUSA300_0122,152,174,144,154,144,150,3416,3264,3360
srrB,7266,7973,8663,7732,7710,7378,6710,7795,6929
tsf,4622,4753,4692,4230,4621,4622,76,89,104
SAUSA300s076,1000,981,933,849,879,1077,798,988,871
SAUSA300s009,1033,1172,1101,1009,1023,1136,8543,7536,8064
SAUSA300_0812,1562,1734,1788,1520,1647,1702,127,158,195
SAUSA300_2543,3152,3149,2578,2883,2732,2861,3078,4377,3271
SAUSA300_0785,1870,1864,1708,1722,1693,1801,216,210,214
SAUSA300_0720,47,58,67,61,49,54,2396,2061,1882
rpsC,3989,3338,3879,3471,3638,3615,1357,1235,1195
fhuB,995,960,1051,918,1010,959,315,263,327
SAUSA300_0331,1620,1971,1961,1766,1787,1758,47,71,56
SAUSA300_0344,89,68,103,73,88,86,1453,1282,1215
pcrB,1203,1145,1360,1117,1175,1265,868,846,1073
SAUSA300_0343,401,465,446,406,388,468,3712,2418,3541
tcaB,556,643,873,752,601,613,3960,4091,3944
oppC,223,261,253,225,216,269,372,369,383
SAUSA300_1135,4641,4788,4742,4302,4607,4723,1310,1290,1341
SAUSA300_2137,6641,6756,6208,6009,6401,6433,106,83,69
SAUSA300_2233,307,273,255,282,260,259,2333,2791,2657
SAUSA300_0010,508,583,611,523,554,555,157,154,163
SAUSA300_1579,6767,6558,7094,6200,6638,6803,415,337,321
SAUSA300_0408,23,31,21,31,38,41,267,205,266
SAUSA300_1036,1646,1744,1863,1592,1714,1748,181,184,140
SAUSA300_1019,2787,2666,2520,2425,2549,2703,7271,5872,7556
SAUSA300_1697,7384,6978,7236,6710,7023,7067,5304,4974,5206
SAUSA300_0621,3512,3290,3569,3168,3230,3604,6097,5451,5256
SAUSA300_1216,5698,5532,5366,5320,5341,5326,5012,5390,4724
SAUSA300_0915,804,757,795,673,782,823,6129,5292,5889
SAUSA300_0640,4276,4748,5317,4531,4908,4346,270,381,304
SAUSA300_0512,4473,4411,4853,4310,4364,4563,1599,827,1263
SAUSA300_1175,1212,1216,1283,1292,1113,1180,2914,3038,3321
SAUSA300_0924,5126,4958,4734,4728,4648,4917,7930,6617,7500
ribE,769,897,982,799,885,861,10787,11487,9550
thiD,4662,4334,4785,4313,4363,4620,2719,3100,2665
SAUSA300_1494,4217,4302,4234,3871,4127,4331,2587,2290,2419
leuS,4953,4813,5406,5008,4802,4831,4838,4792,4470
SAUSA300s204,40,23,27,25,32,28,1900,1681,1714
phoR,8058,8880,7918,7398,8183,8446,3058,3657,3155
glmM,9595,9587,9482,9528,8867,9336,2317,2594,1881
SAUSA300_0648,2637,2605,2583,2323,2485,2783,3409,3310,2785
SAUSA300_0645,1302,1313,1237,1200,1285,1242,1330,1240,1272
sbnC,140,140,145,129,161,124,932,907,846
rplQ,2260,2071,2082,2154,2113,1941,2786,2485,2221
hemG,5868,5972,6346,5582,6059,5963,3474,3315,3984
murE,3499,3548,4535,3683,3682,3766,443,313,350
SAUSA300_0696,1487,1518,1443,1352,1465,1493,3745,3743,3333
SAUSA300_0581,424,425,392,403,391,407,3939,4345,4190
SAUSA300_1907,2118,2019,1923,1926,1965,1973,491,405,375
SAUSA300_1599,1406,1384,1568,1454,1379,1382,8520,7670,7922
SAUSA300_2446,3113,2854,3010,2694,2934,3075,1914,1785,1702
SAUSA300_1863,762,813,808,760,759,789,534,526,572
SAUSA300_0058,13,14,12,9,17,13,320,273,326
SAUSA300_2527,780,829,919,742,808,903,4003,3841,3980
dltD,4732,4691,4270,4326,4381,4557,967,1249,1092
SAUSA300_0881,103,119,111,115,98,110,5287,4090,4395
SAUSA300_2468,390,393,388,346,373,420,1177,1039,1045
SAUSA300_0332,2037,2489,2597,2255,2294,2321,1592,1515,1595
scdA,3154,3557,4326,3884,3537,3225,1355,1751,1353
SAUSA300_2094,4727,4505,4358,3983,4554,4671,4242,4980,4055
trxB,5235,5228,7048,5751,5506,5563,107,73,111
valS,11731,11947,12598,11670,11609,11905,533,590,627
SAUSA300_0841,5134,5083,5187,4756,5232,4972,729,631,804
SAUSA300_0517,2922,3034,3742,3141,3106,3110,8511,8461,8307
SAUSA300_0592,7017,6707,6885,6537,6705,6765,1969,1844,1646
SAUSA300_1806,2358,2427,2886,2315,2511,2608,3408,3433,3435
SAUSA300_0047,402,398,363,353,336,450,454,383,380
xerD,3686,3741,4016,3270,3830,4065,4565,3385,4313
recO,3407,3525,4415,3611,3610,3741,2463,1729,2521
SAUSA300_1833,470,564,588,459,566,552,1814,1855,1679
SAUSA300_2252,1255,1206,1152,1129,1076,1321,2909,2339,3059
rpsM,1311,1176,1293,1197,1224,1253,1364,1331,1152
SAUSA300_0264,4351,4132,4127,3927,4134,4214,5669,4806,5507
era,4741,4904,5917,4928,4982,5171,9772,8818,8421
SAUSA300_0958,6119,6196,6127,5479,6391,6125,4953,5323,4820
SAUSA300_1500,45,53,38,50,39,43,3693,3394,3250
SAUSA300_0466,524,568,656,631,557,515,1318,1410,1308
SAUSA300_1488,91,78,107,87,92,88,1452,1451,1309
SAUSA300_1212,369,464,366,360,367,440,5033,4963,4894
rnpA,320,340,381,332,332,349,8881,8979,7520
SAUSA300s158,380,435,372,302,376,365,2631,2519,2344
SAUSA300_2338,5390,5954,5801,5305,5556,5871,1741,1415,1533
SAUSA300_0124,207,180,199,185,175,213,776,876,822
SAUSA300_1726,141,121,138,100,166,132,4072,3502,3367
SAUSA300s095,14,13,17,10,18,16,2475,2042,1831
rpsK,1766,1679,1750,1631,1774,1670,1594,900,1309
hsdM,1368,1437,1664,1463,1435,1451,3790,4367,4037
SAUSA300_2040,4812,4750,4646,4424,4756,4702,7110,6488,6392
hslU,7336,7586,8766,7798,7850,7427,133,159,106
SAUSA300_2424,414,415,479,420,420,435,2991,2442,3042
guaC,354,427,397,388,404,357,2294,2757,2645
sgtB,2100,2012,1935,1912,1985,2013,7138,7670,7103
SAUSA300_0843,1734,1618,1434,1503,1536,1630,1447,949,1110
SAUSA300_1936,91,74,127,106,74,102,2519,2471,2257
SAUSA300_2496,2017,2273,2493,2193,2189,2084,4983,4872,4650
mutL,5864,5986,5912,5720,5762,5896,1757,1738,1623
SAUSA300_0482,3659,3472,3694,3441,3573,3576,2613,2590,2581
SAUSA300_1537,1133,1153,1337,1181,1161,1194,243,227,192
rbsK,4968,5075,4927,4645,4930,5087,104,146,107
SAUSA300_1905,934,922,920,783,963,986,4825,5010,4489
SAUSA300_0674,3914,3829,3937,3746,3789,3906,497,595,494
SAUSA300_1248,1990,2139,2409,1914,2122,2373,2541,3415,2773
rexA,16860,16593,17074,16060,16385,17075,2351,2291,2155
SAUSA300_0797,562,615,593,601,597,538,7288,6186,7153
SAUSA300_1436,1168,1078,938,1043,999,1068,179,155,121
SAUSA300_0526,2128,2283,2204,2329,2070,2096,49,44,31
SAUSA300_0985,159,177,129,142,138,175,1691,2149,1816
rbfA,925,1001,1069,933,943,1063,27009,24676,20458
mtlF,5205,6533,7755,4937,6938,7281,4222,4423,4003
accD,3880,4130,4309,3764,4120,4215,1773,1763,1538
SAUSA300_1466,6094,6710,7104,6377,6575,6561,1442,1268,1374
SAUSA300_0553,2195,2070,2033,1780,2095,2346,177,159,206
SAUSA300_2021,5105,5042,5262,4937,5008,5191,5862,5507,5424
SAUSA300_0110,88,79,79,65,88,91,16535,11716,10371
SAUSA300_1464,5953,6747,6811,6020,6404,6731,5454,4135,4629
SAUSA300s224,2333,2515,2477,2279,2474,2447,8514,9504,8436
SAUSA300_2030,3735,3638,3808,3769,3650,3572,4446,4927,4086
SAUSA300_1669,2873,3038,2935,2517,2975,3251,21,17,27
SAUSA300_2515,280,265,405,342,251,333,2365,2073,2254
SAUSA300_1170,1348,1350,1248,1250,1272,1360,1374,1072,1445
SAUSA300_0107,1888,1882,1761,1621,1871,1975,4992,4546,5201
gntK,1272,1159,1436,1182,1310,1304,6960,4961,6685
putA,5432,5827,5565,5430,5633,5497,3728,3618,3123
SAUSA300s109,16,13,11,14,13,12,2699,1941,3051
SAUSA300_0518,1970,2040,2449,2080,2040,2216,3812,3740,3303
SAUSA300_0247,6035,5873,5868,5744,5860,5906,5593,4918,4916
SAUSA300_1690,1470,1440,1382,1378,1392,1458,2957,3272,2711
SAUSA300_0831,236,215,222,203,185,289,11,16,14
opp-2F,2426,2436,2266,2295,2236,2497,56,20,40
SAUSA300_1933,30,38,47,50,38,27,5279,4865,4810
SAUSA300_0114,2342,2571,2083,2266,2547,2081,1166,1116,1143
SAUSA300_1734,248,180,254,228,227,210,7148,7033,6722
SAUSA300_2344,2845,3020,3488,3028,2977,3187,3299,3183,2810
SAUSA300_1827,333,297,305,291,259,384,3794,3823,3981
SAUSA300_0900,30,14,25,30,16,21,7763,7075,6554
SAUSA300_1483,607,585,669,603,579,654,3488,3610,3411
SAUSA300_1004,1717,1777,1647,1531,1656,1908,2614,2476,2525
SAUSA300_2261,4188,4147,3278,3341,3986,4118,2178,2766,2504
SAUSA300_1018,6820,6749,6484,6297,6478,7049,469,494,382
SAUSA300_0665,2010,1777,1563,1526,1804,1955,2157,1848,1929
SAUSA300_1829,386,354,391,321,387,415,6812,6635,6343
SAUSA300_0231,6123,6117,5491,5166,5984,6422,249,318,297
trkA,2974,3276,3624,3116,3290,3328,17,36,21
SAUSA300_0834,3624,3924,3954,3733,3659,3978,1595,1355,1283
SAUSA300s020,1043,929,776,856,818,1038,3363,3564,3069
efp,3010,3255,2942,2780,3102,3232,548,614,528
SAUSA300_0833,3662,4083,4084,3848,3770,4072,36,43,53
SAUSA300_1857,523,478,451,427,497,514,938,965,979
SAUSA300_2376,771,744,728,680,693,858,5977,6279,5950
hemB,4089,4037,3835,3781,3956,4103,1927,2457,2132
lpdA,7283,8104,8335,7655,8026,7763,3439,2532,3085
dltB,5220,5374,4841,4670,5225,5396,6406,5591,5107
SAUSA300_2395,3418,3127,3023,3046,3264,3153,6395,5743,5033
tag,2653,2632,2517,2331,2615,2801,92,96,68
SAUSA300_2542,10940,11103,10670,10442,10917,11046,832,424,780
SAUSA300_2026,2364,2098,2134,2065,2264,2201,4295,4295,4393
