Gene Name,DMSO,Berberine+Thymol
KQ76_RS02595,53839,12245
KQ76_RS02600,4662,2807
KQ76_RS02605,473627,453257
KQ76_RS02610,512896,525627
KQ76_RS02615,23144,5202
KQ76_RS02620,192687,32027
KQ76_RS02625,134671,24395
KQ76_RS02630,1194786,233293
KQ76_RS02635,1096813,288742
KQ76_RS02640,5780,7119
KQ76_RS02645,19068,13181
KQ76_RS02650,3144,6581
KQ76_RS02655,1425,780
KQ76_RS02660,30405,18682
KQ76_RS02665,12472,9389
KQ76_RS02670,2673,2678
KQ76_RS02675,3840,1917
KQ76_RS02680,2139,588
KQ76_RS02685,4500,2308
KQ76_RS02690,2426,1883
KQ76_RS02695,4099,4517
KQ76_RS02700,43648,4455
KQ76_RS02705,313055,59888
KQ76_RS02710,17841,6387
KQ76_RS02715,2744,4544
KQ76_RS02720,7826,5857
KQ76_RS02725,12759,22778
KQ76_RS02730,7403,11518
KQ76_RS02735,3273,5171
KQ76_RS02740,2526,4805
KQ76_RS02745,14340,60837
KQ76_RS02750,16340,82335
KQ76_RS02755,318,813
KQ76_RS02760,43015,60828
KQ76_RS02765,967,1856
KQ76_RS02770,1553,3041
KQ76_RS02775,275,375
KQ76_RS02780,142,250
KQ76_RS02785,7179,2869
KQ76_RS02790,6676,12146
KQ76_RS02795,8267,4797
KQ76_RS02800,3600,1994
KQ76_RS02805,562,485
KQ76_RS02810,59352,202863
KQ76_RS02815,6105,16423
KQ76_RS02820,7485,20678
KQ76_RS02825,20181,18745
KQ76_RS02830,37689,34316
KQ76_RS02835,26665,23835
KQ76_RS02840,8502,31840
KQ76_RS02845,11087,49216
KQ76_RS02850,15289,69205
KQ76_RS02855,152,1457
KQ76_RS02860,5370,9224
KQ76_RS02865,373,1068
KQ76_RS02870,3,13
KQ76_RS02875,5373,3474
KQ76_RS02880,1836,693
KQ76_RS02885,1197,729
KQ76_RS02895,1272,282
KQ76_RS02900,9850,5137
KQ76_RS02905,9867,5541
KQ76_RS02910,2271,1089
KQ76_RS02915,7672,5470
KQ76_RS02920,837,724
KQ76_RS02925,5503,311
KQ76_RS02930,6,5
KQ76_RS02935,316,142
KQ76_RS02940,11789,5694
KQ76_RS02945,112,104
KQ76_RS02950,5351,895
KQ76_RS02955,2978,1101
KQ76_RS02960,1668,820
KQ76_RS02965,4429,2113
KQ76_RS02970,16386,130374
KQ76_RS02975,2704,4390
KQ76_RS02980,11097,52813
KQ76_RS02985,1104,4993
KQ76_RS02990,2698,2022
KQ76_RS02995,42,194
KQ76_RS03000,38,132
KQ76_RS03005,1532,5468
KQ76_RS03010,11159,88452
KQ76_RS03015,2232,23654
KQ76_RS03020,1719,16147
KQ76_RS03025,6514,58502
KQ76_RS03030,899,4988
KQ76_RS03035,1048,9617
KQ76_RS03040,1706,16332
KQ76_RS03045,7738,13894
KQ76_RS03050,732,1051
KQ76_RS03055,181,284
KQ76_RS03060,33499,1408
KQ76_RS03065,55092,1001
KQ76_RS03070,29601,890
KQ76_RS03075,847,1744
KQ76_RS03080,1002,1948
KQ76_RS03085,1282,1190
KQ76_RS03090,13515,15312
KQ76_RS03095,21161,7235
KQ76_RS03100,2731,3098
KQ76_RS03105,5127,6306
KQ76_RS03110,221,365
KQ76_RS03115,3063,1401
KQ76_RS03120,33907,43742
KQ76_RS03125,33728,36179
KQ76_RS03130,13,34
KQ76_RS03135,2543,2764
KQ76_RS03140,3295,5208
KQ76_RS03145,3671,5857
KQ76_RS03150,3977,6009
KQ76_RS03155,3945,6984
KQ76_RS03160,2589,4725
KQ76_RS03165,4287,5654
KQ76_RS03170,44841,38934
KQ76_RS03175,26637,21588
KQ76_RS03180,3108,3146
KQ76_RS03185,334,175
KQ76_RS03190,1270,733
KQ76_RS03195,4494,4823
KQ76_RS03200,3026,4171
KQ76_RS03205,1492,2426
KQ76_RS03210,2994,3638
KQ76_RS03215,4437,4682
KQ76_RS03220,10084,10412
KQ76_RS03225,26785,11116
KQ76_RS03230,42067,25827
KQ76_RS03235,192945,50985
KQ76_RS03240,1341,1391
KQ76_RS03245,3168,3480
KQ76_RS03250,1022,498
KQ76_RS03255,10076,5215
KQ76_RS03260,9003,5508
KQ76_RS03265,3,6
KQ76_RS03270,3610,4263
KQ76_RS03275,7649,11457
KQ76_RS03280,11803,24935
KQ76_RS03285,1793,4977
KQ76_RS03290,5,9
KQ76_RS03295,3892,2211
KQ76_RS03300,64,174
KQ76_RS03305,169,144
KQ76_RS03310,2787,8467
KQ76_RS03315,1512,8012
KQ76_RS03320,16700,68005
KQ76_RS03325,10263,37024
KQ76_RS03330,11958,44057
KQ76_RS03335,12829,12988
KQ76_RS03340,16711,13151
KQ76_RS03345,15326,16445
KQ76_RS03350,75863,38401
KQ76_RS03355,3019,5148
KQ76_RS03360,7844,9042
KQ76_RS03365,1612,1054
KQ76_RS03370,5200,5579
KQ76_RS03375,7850,22462
KQ76_RS03380,3957,4349
KQ76_RS03385,5750,5284
KQ76_RS03390,5762,6891
KQ76_RS03395,14384,38020
KQ76_RS03400,8378,1072
KQ76_RS03405,444,2188
KQ76_RS03410,1166,1545
KQ76_RS03415,1970,3734
KQ76_RS03420,6315,12559
KQ76_RS03430,4292,3533
KQ76_RS03435,25062,19732
KQ76_RS03440,5711,23903
KQ76_RS03445,7118,25231
KQ76_RS03450,17396,19851
KQ76_RS03455,7186,9604
KQ76_RS03460,8098,9361
KQ76_RS03465,3227,4254
KQ76_RS03470,3541,4842
KQ76_RS03475,2430,9191
KQ76_RS03480,1836,6084
KQ76_RS03485,905,1504
KQ76_RS03490,885,558
KQ76_RS03495,1804,1199
KQ76_RS03500,762,625
KQ76_RS03505,583,270
KQ76_RS03510,2808,1711
KQ76_RS03515,1926,1598
KQ76_RS03520,91896,143490
KQ76_RS03530,5134,4671
KQ76_RS03535,4577,6825
KQ76_RS03540,3113,8870
KQ76_RS03545,12458,45665
KQ76_RS03550,1528,5903
KQ76_RS03555,4974,11589
KQ76_RS03560,9085,70994
KQ76_RS03565,19,3
KQ76_RS03570,57801,20404
KQ76_RS03575,2712,932
KQ76_RS03580,8406,2666
KQ76_RS03585,4009,4534
KQ76_RS03590,100408,131524
KQ76_RS03595,14564,20195
KQ76_RS03600,4,12
KQ76_RS03605,1486,3425
KQ76_RS03610,1006,2180
KQ76_RS03615,393,914
KQ76_RS03620,2055,3610
KQ76_RS03625,5083,6285
KQ76_RS03630,11229,13650
KQ76_RS03635,2088,983
KQ76_RS03640,482,363
KQ76_RS03645,1735,5354
KQ76_RS03650,905,2960
KQ76_RS03655,15878,14464
KQ76_RS03660,4329,3789
KQ76_RS03665,4460,4170
KQ76_RS03670,11853,8531
KQ76_RS03675,7526,4510
KQ76_RS03680,2540,4739
KQ76_RS03685,6488,4675
KQ76_RS03690,272,1116
KQ76_RS03695,54,383
KQ76_RS03700,513,832
KQ76_RS03705,54099,43604
KQ76_RS03710,69,76
KQ76_RS03715,2951,3689
KQ76_RS03725,9772,12405
KQ76_RS03730,114,64
KQ76_RS03735,101,62
KQ76_RS03740,6306,15142
KQ76_RS03745,28076,104737
KQ76_RS03750,79,201
KQ76_RS03755,4857,5906
KQ76_RS03760,8344,7138
KQ76_RS03765,5610,7511
KQ76_RS03770,11651,13192
KQ76_RS03775,22669,24763
KQ76_RS03780,1638,2663
KQ76_RS03785,3363,25512
KQ76_RS03790,4385,30651
KQ76_RS03795,55,1014
KQ76_RS03800,14070,28155
KQ76_RS03805,2463,22616
KQ76_RS03810,5873,28953
KQ76_RS03815,87,512
KQ76_RS03820,80109,297843
KQ76_RS03825,76438,220300
KQ76_RS03830,22921,70363
KQ76_RS03835,12360,57050
KQ76_RS03840,45304,181837
KQ76_RS03845,152228,248821
KQ76_RS03850,4442,2935
KQ76_RS03855,1104,1471
KQ76_RS03860,6463,15900
KQ76_RS03865,26579,153276
KQ76_RS03870,5698,53053
KQ76_RS03875,228,78
KQ76_RS03880,118,43
KQ76_RS03885,9,8
KQ76_RS03890,106,502
KQ76_RS03895,245,2483
KQ76_RS03900,70948,1023865
KQ76_RS03905,289,5223
KQ76_RS03910,211,713
KQ76_RS03915,215,159
KQ76_RS03920,3040,336
KQ76_RS03925,3060,2488
KQ76_RS03930,405,3727
KQ76_RS03935,801,3660
KQ76_RS03940,1029,774
KQ76_RS03945,490,843
KQ76_RS03950,667,656
KQ76_RS03955,17759,113085
KQ76_RS03960,13432,62286
KQ76_RS03965,805,479
KQ76_RS03970,1655,1871
KQ76_RS03975,6630,11058
KQ76_RS03980,1162,7478
KQ76_RS03985,1092,2450
KQ76_RS03990,929,1603
KQ76_RS03995,2794,2743
KQ76_RS04000,740,420
KQ76_RS04005,5511,3162
KQ76_RS04010,128,41
KQ76_RS04015,2305,2159
KQ76_RS04020,1090,6277
KQ76_RS04025,1783,9245
KQ76_RS04030,1092,38846
KQ76_RS04035,1155,46811
KQ76_RS04040,715,25518
KQ76_RS04045,150,989
KQ76_RS04050,8975,17898
KQ76_RS04055,1594,10609
KQ76_RS04060,34888,162940
KQ76_RS04065,49720,265914
KQ76_RS04070,1856,10141
KQ76_RS04075,48425,253812
KQ76_RS04080,615,163
KQ76_RS04085,1178,303
KQ76_RS04090,2534,14912
KQ76_RS04095,1987,13031
KQ76_RS04100,4086,8110
KQ76_RS04105,6459,10370
KQ76_RS04110,7273,14339
KQ76_RS04115,19868,30690
KQ76_RS04120,834,1277
KQ76_RS04125,225,524
KQ76_RS04130,1671,719
KQ76_RS04135,5014,2464
KQ76_RS04140,10119,5617
KQ76_RS04145,62,4
KQ76_RS04150,140,11
KQ76_RS04155,153005,13674
KQ76_RS04160,108376,8264
KQ76_RS04165,22932,1328
KQ76_RS04170,155504,10663
KQ76_RS04175,984,940
KQ76_RS04180,278,228
KQ76_RS04185,20105,16502
KQ76_RS04190,1589,5911
KQ76_RS04195,3973,7882
KQ76_RS04200,90576,131322
KQ76_RS04205,8076,6840
KQ76_RS04210,2618,2361
KQ76_RS04215,1499,1545
KQ76_RS04220,381,628
KQ76_RS04225,7211,5302
KQ76_RS04230,6162,4606
KQ76_RS04235,14691,9616
KQ76_RS04240,54624,37865
KQ76_RS04245,9606,5704
KQ76_RS04250,8519,5853
KQ76_RS04255,81448,39508
KQ76_RS04260,2784,1959
KQ76_RS04265,34574,20416
KQ76_RS04270,2496,4680
KQ76_RS04275,798,1586
KQ76_RS04280,80767,61980
KQ76_RS04285,170943,148361
KQ76_RS04290,21494,4056
KQ76_RS04295,2362,3850
KQ76_RS04300,715,1203
KQ76_RS04305,29840,29693
KQ76_RS04310,5503,1882
KQ76_RS04315,8387,3382
KQ76_RS04320,3670,1708
KQ76_RS04325,14040,13870
KQ76_RS04330,20178,19886
KQ76_RS04335,25117,16047
KQ76_RS04340,1725,3332
KQ76_RS04345,136,132
KQ76_RS04350,17678,22929
KQ76_RS04355,5667,6784
KQ76_RS04360,6275,5692
KQ76_RS04365,414,456
KQ76_RS04370,3901,16359
KQ76_RS04375,58,80
KQ76_RS04380,81,60
KQ76_RS04385,98,48
KQ76_RS04390,141,33
KQ76_RS04395,55,77
KQ76_RS04400,302,251
KQ76_RS04405,2187,1870
KQ76_RS04410,5814,2688
KQ76_RS04415,19669,10924
KQ76_RS04420,566,915
KQ76_RS04425,12501,4607
KQ76_RS04430,17971,6164
KQ76_RS04435,12008,5656
KQ76_RS04440,15913,7255
KQ76_RS04445,13377,6521
KQ76_RS04450,92,60
KQ76_RS04455,87,41
KQ76_RS04460,495,360
KQ76_RS04465,292,356
KQ76_RS04470,486,597
KQ76_RS04475,693,517
KQ76_RS04480,322,330
KQ76_RS04495,598,753
KQ76_RS04500,30545,26966
KQ76_RS04505,181956,189067
KQ76_RS04510,6187,18587
KQ76_RS04515,53,84
KQ76_RS04520,22449,8633
KQ76_RS04525,8730,11376
KQ76_RS04530,3950,5191
KQ76_RS04535,1472,1207
KQ76_RS04540,1294,1176
KQ76_RS04545,4557,5368
KQ76_RS04550,12134,14928
KQ76_RS04555,5246,7948
KQ76_RS04560,7907,13968
KQ76_RS04565,20569,31472
KQ76_RS04570,18332,20321
KQ76_RS04575,25503,15785
KQ76_RS04580,3558,1543
KQ76_RS04585,2407,1049
KQ76_RS04590,1059,285
KQ76_RS04595,2347,495
KQ76_RS04600,31166,29054
KQ76_RS04605,16494,14827
KQ76_RS04610,15953,13288
KQ76_RS04615,10309,4544
KQ76_RS04620,374,250
KQ76_RS04625,12870,6719
KQ76_RS04630,12501,4585
KQ76_RS04635,7019,2312
KQ76_RS04640,17691,10405
KQ76_RS04645,4116,9524
