X,dpurR.T3.R1,dpurR.T3.R2,dpurR.T5.R1,dpurR.T5.R2,WT.T3.R1,WT.T3.R2,WT.T5.R1,WT.T5.R2
SAUSA300_0062,1812,2000,1266,2151,1479,982,942,1277
SAUSA300_0063,256,312,165,335,160,121,139,176
SAUSA300_0064,938,928,850,1669,915,528,642,856
SAUSA300_0065,870,874,1714,3452,872,591,821,1081
SAUSA300_0066,23,40,13,35,43,25,87,78
SAUSA300_0067,6996,8221,11561,14198,7496,4516,35015,29290
SAUSA300_0068,304,307,103,186,301,172,595,327
SAUSA300_0070,1645,1732,5177,12587,2117,1500,5771,5349
SAUSA300_0071,2237,2298,437,1003,1656,1085,1386,1397
SAUSA300_0072,734,879,120,284,614,378,299,290
SAUSA300_0073,1987,2200,299,609,1478,1095,585,642
SAUSA300_0074,1346,1532,225,346,1092,690,312,354
SAUSA300_0075,1135,1179,140,296,994,646,214,297
SAUSA300_0076,766,841,99,191,473,340,152,166
SAUSA300_0077,429,505,69,104,370,210,78,116
SAUSA300_0078,22137,23276,10807,22484,15823,10411,27011,32864
SAUSA300_0079,5881,6228,2749,5293,3622,2442,6739,7331
SAUSA300_0080,332,370,99,153,250,271,273,173
SAUSA300_0081,4693,5308,1462,2066,4187,3036,2451,2278
SAUSA300_0082,1034,1114,744,1415,1259,810,1621,1459
SAUSA300_0083,518,549,442,814,442,331,1001,818
SAUSA300_0084,137,156,168,318,130,83,369,355
SAUSA300_0085,276,284,161,136,281,189,351,443
SAUSA300_0086,778,817,521,647,823,572,720,875
SAUSA300_0088,146,158,100,150,63,41,79,80
SAUSA300_0089,2901,2953,2293,3084,2395,1649,2592,2466
SAUSA300_0090,853,890,285,336,885,505,524,454
SAUSA300_0091,244,246,110,178,309,214,569,491
SAUSA300_0092,55,81,55,54,80,43,164,165
SAUSA300_0093,1248,1374,540,931,1103,738,1353,1237
SAUSA300_0094,106,150,76,106,126,76,185,154
SAUSA300_0095,438,483,216,291,459,327,491,375
SAUSA300_0096,557,660,223,388,537,361,610,481
SAUSA300_0097,4225,4561,2325,4902,3212,1980,3105,3264
SAUSA300_0098,1775,1840,886,1565,1352,928,893,1075
SAUSA300_0099,66293,70344,56650,132232,21030,13498,75346,67320
SAUSA300_0100,248,269,76,164,115,86,260,211
SAUSA300_0101,418,433,181,269,244,173,313,272
SAUSA300_0102,326,351,127,220,223,134,197,190
SAUSA300_0103,513,532,252,331,268,198,279,310
SAUSA300_0104,6328,6652,2364,4409,7040,4877,5405,5901
SAUSA300_0105,1187,1243,1775,3210,1696,1184,1790,2450
SAUSA300_0106,1299,1363,1854,2961,1687,1112,1709,2389
SAUSA300_0107,6336,6417,549,1037,3502,2230,1648,1555
SAUSA300_0108,3521,3783,1596,3070,2890,1790,899,913
SAUSA300_0109,52,75,24,38,52,32,95,93
SAUSA300_0110,139,184,66,171,229,142,246,282
SAUSA300_0111,979,1043,1142,2681,1127,768,2012,1270
SAUSA300_0112,5208,5707,6209,10909,5332,3519,5837,7195
SAUSA300_0113,34647,36001,3066,4324,443708,311054,57908,54248
SAUSA300_0114,3192,3805,795,1382,7260,4538,7032,5043
SAUSA300_0115,1905,1992,3399,5690,3295,2088,2197,2483
SAUSA300_0116,243,246,117,106,417,279,185,165
SAUSA300_0117,422,476,326,311,1195,738,732,584
SAUSA300_0118,58,64,21,34,93,66,59,69
SAUSA300_0119,53,85,35,31,98,60,66,87
SAUSA300_0120,164,182,80,127,174,122,137,188
SAUSA300_0121,89,110,41,61,117,68,49,69
SAUSA300_0122,224,201,86,108,225,145,135,146
SAUSA300_0123,285,331,146,225,287,195,136,190
SAUSA300_0124,152,170,84,165,156,108,79,89
SAUSA300_0125,408,449,167,346,362,264,171,209
SAUSA300_0126,464,492,206,351,405,334,187,227
SAUSA300_0127,110,122,48,132,87,64,131,163
SAUSA300_0128,131,142,65,187,181,123,204,214
SAUSA300_0129,19859,19966,62699,149583,17111,11717,85369,99464
SAUSA300_0130,321,315,103,205,413,276,254,206
SAUSA300_0131,74,87,25,61,123,91,78,88
SAUSA300_0132,118,93,53,176,115,50,93,119
SAUSA300_0133,167,176,52,148,151,107,63,49
SAUSA300_0134,1288,1440,451,618,952,674,437,442
SAUSA300_0135,9835,10572,2093,3637,11393,7749,12554,14200
SAUSA300_0136,119953,121455,89499,134114,108865,74904,81797,66128
SAUSA300_0137,1790,1820,935,1796,2022,1243,1861,1815
SAUSA300_0138,332,330,726,1824,654,429,395,360
SAUSA300_0139,1116,1171,1078,2223,1090,737,641,637
SAUSA300_0140,5757,5812,1392,1884,5204,3185,2531,2251
SAUSA300_0141,26334,27444,7424,14016,24171,15973,9686,12598
SAUSA300_0142,635,649,274,672,384,259,339,370
SAUSA300_0143,424,429,223,416,291,174,285,262
SAUSA300_0144,627,620,277,697,352,241,355,405
SAUSA300_0145,1087,1145,596,1275,553,361,947,883
SAUSA300_0146,402,457,197,350,628,440,947,956
SAUSA300_0147,2090,2142,1349,2370,2186,1545,2762,2830
SAUSA300_0148,4,3,10,14,5,2,16,11
SAUSA300_0151,127167,134444,13768,39830,56782,37248,29809,27389
SAUSA300_0152,196,210,159,144,202,117,1555,1443
SAUSA300_0153,151,137,97,110,220,166,1255,1505
SAUSA300_0154,153,158,108,134,250,176,1635,1822
SAUSA300_0156,124,135,107,125,211,117,654,1064
SAUSA300_0157,161,187,153,208,236,193,709,1243
SAUSA300_0158,233,231,190,247,322,217,721,1254
SAUSA300_0159,82,88,70,100,104,70,231,349
SAUSA300_0160,224,227,145,278,256,136,469,639
SAUSA300_0161,199,219,136,227,223,146,314,476
SAUSA300_0162,198,235,128,230,192,138,258,297
SAUSA300_0163,478,518,317,478,546,369,441,661
SAUSA300_0164,260,261,157,265,261,199,235,262
SAUSA300_0165,518,515,345,507,581,349,411,581
SAUSA300_0166,839,905,548,882,1110,762,709,1011
SAUSA300_0167,1636,1721,790,1350,1979,1225,1307,1510
SAUSA300_0168,760,786,547,362,1057,606,614,591
SAUSA300_0169,868,909,564,313,975,661,606,580
SAUSA300_0170,29274,30573,51987,26117,56372,36895,13402,14066
SAUSA300_0171,981,1026,1259,1842,1356,862,1267,1327
SAUSA300_0172,104,106,304,449,89,53,1063,1164
SAUSA300_0173,4450,4789,385,479,6900,4367,2693,2514
SAUSA300_0174,4213,4227,162,244,5638,3792,932,881
SAUSA300_0175,4942,5208,198,281,6417,4186,890,743
SAUSA300_0176,4802,5134,171,240,5724,4103,669,636
SAUSA300_0177,12450,12977,511,726,12844,8680,1362,1287
SAUSA300_0178,8406,9275,11050,7994,10366,6898,12353,19462
SAUSA300_0179,797,904,2708,447,902,631,1025,2847
SAUSA300_0180,4750,5290,4888,9672,3956,2496,8068,8570
SAUSA300_0181,44677,47605,75336,132535,33469,21869,44273,57660
SAUSA300_0182,3909,4326,8146,14050,2092,1367,2437,2884
SAUSA300_0183,41257,43990,10021,19801,25034,15779,37185,45206
SAUSA300_0184,952,1016,295,455,1047,753,995,1024
SAUSA300_0185,979,1093,318,447,1445,961,1620,1512
SAUSA300_0186,300,314,96,170,379,285,749,732
SAUSA300_0187,286,298,124,250,427,275,762,740
SAUSA300_0188,10005,10756,2545,5003,14859,10028,11828,11277
SAUSA300_0189,1245,1318,1825,1882,1789,1034,1918,2154
SAUSA300_0190,4973,5373,7804,7093,6968,4968,9025,10201
SAUSA300_0191,45684,48030,5127,10675,15402,9979,10167,10992
SAUSA300_0192,5520,5959,22906,67755,8507,5705,3580,2769
SAUSA300_0193,1332,1352,5989,17697,1924,1153,595,551
SAUSA300_0194,2156,2206,15583,39202,2838,1980,1257,1508
SAUSA300_0195,1598,1681,15633,35282,1669,1149,931,1351
SAUSA300_0196,10560,11447,5616,9481,14108,9384,9288,9157
SAUSA300_0197,5024,5481,1499,2949,5161,3289,6809,5290
SAUSA300_0198,3401,3764,1106,2166,3371,2140,4269,3624
SAUSA300_0199,3225,3552,1298,2445,2798,1827,4419,3628
SAUSA300_0200,1774,2002,658,1334,1402,900,1499,1475
SAUSA300_0201,274,318,68,222,342,200,586,503
SAUSA300_0202,460,477,103,268,517,296,592,603
SAUSA300_0203,1061,1121,212,568,1040,729,829,785
SAUSA300_0204,2128,2252,644,1254,2530,1681,1260,1480
SAUSA300_0205,547,573,1042,449,522,358,1624,2279
SAUSA300_0206,4160,4214,21067,12930,2484,1625,21628,30947
SAUSA300_0207,896,970,558,291,1958,1328,906,937
SAUSA300_0208,3584,3715,564,1153,6952,4396,3319,2298
SAUSA300_0209,1876,1884,1521,1954,3672,2464,1307,1194
SAUSA300_0210,1900,2044,4982,5607,3533,2327,1803,2471
SAUSA300_0211,1238,1326,4491,4798,1692,1091,1058,1474
SAUSA300_0212,1846,1838,8704,9327,2624,1752,1377,2503
SAUSA300_0213,1490,1567,7575,7540,1625,1085,965,1828
SAUSA300_0214,2123,2246,12464,13702,2086,1348,1561,2975
SAUSA300_0215,1027,1196,60,262,341,241,138,108
SAUSA300_0216,83861,90223,9550,28871,176766,110266,19999,3683
SAUSA300_0217,2026,2201,1293,2373,1409,901,2565,2769
SAUSA300_0218,2506,2726,1176,2412,2503,1745,2529,2596
SAUSA300_0219,1916,2093,757,1542,2329,1460,2440,2046
SAUSA300_0220,642420,682113,1730490,3643291,549533,348082,523479,606020
SAUSA300_0221,160179,168991,568262,1141513,121018,78213,146205,203772
SAUSA300_0222,8754,9466,18130,20706,9126,5689,8331,10182
SAUSA300_0223,966,999,91,141,278,170,169,218
SAUSA300_0224,628,694,258,241,548,401,241,285
SAUSA300_0225,272,283,177,426,242,166,112,113
SAUSA300_0226,257,274,272,628,206,143,129,178
SAUSA300_0227,37,53,99,289,42,37,66,101
SAUSA300_0228,38,59,195,297,67,44,149,187
SAUSA300_0229,530,606,1211,731,274,195,2988,2503
SAUSA300_0230,6207,6833,1195,2253,4558,3028,4480,4402
SAUSA300_0231,4128,4570,742,1388,3990,2435,3487,4317
SAUSA300_0232,1122,1172,225,394,1192,790,1117,1375
SAUSA300_0233,1408,1421,273,506,769,458,987,1254
SAUSA300_0234,35059,36647,4971,9602,34664,23674,24966,28084
SAUSA300_0235,1433868,1527306,267221,688460,1263339,845209,1011559,985314
SAUSA300_0236,975,1177,2503,4157,1314,811,2041,2948
SAUSA300_0237,3169,3352,957,2047,3046,1814,2154,1656
SAUSA300_0238,134,150,63,93,136,59,104,95
SAUSA300_0239,14,21,9,6,9,11,10,14
SAUSA300_0240,17,23,9,10,10,8,14,25
SAUSA300_0241,103,101,46,96,95,63,80,103
SAUSA300_0242,148,148,63,120,168,110,110,123
SAUSA300_0243,4,2,4,4,6,5,3,2
SAUSA300_0244,416,461,224,368,551,382,443,595
SAUSA300_0245,10390,10556,1766,2673,10196,7276,3061,2740
SAUSA300_0246,11038,11995,2283,4338,13571,8666,3894,4035
SAUSA300_0247,23851,25998,4637,8928,16555,10275,6205,6853
SAUSA300_0248,1884,2075,331,320,2150,1326,741,1049
SAUSA300_0249,3902,4174,896,1618,2759,1574,2587,2430
SAUSA300_0250,9744,10240,2432,5029,7386,5000,4730,4891
SAUSA300_0251,26104,28333,6235,11648,21667,13999,11360,12173
SAUSA300_0252,54742,58413,14035,21226,47414,31022,22193,25148
SAUSA300_0253,13469,14071,11710,23748,18388,12255,27137,27602
SAUSA300_0254,9016,9482,5196,13470,10283,6264,13160,14564
SAUSA300_0255,1505,1553,861,3402,1299,833,2285,2501
SAUSA300_0256,20811,22698,4769,3706,25183,15643,647,540
SAUSA300_0257,39892,42996,21700,24349,73200,45029,6034,7707
SAUSA300_0258,4779,5027,16242,44638,4977,3218,17524,15468
SAUSA300_0259,554,625,6897,14793,596,364,1816,1216
SAUSA300_0260,953,1069,15712,33359,1184,668,1631,1546
SAUSA300_0261,725,860,540,1546,752,487,2006,2040
SAUSA300_0262,5480,5610,2642,5990,3971,2687,2300,2477
SAUSA300_0263,2611,2809,856,1929,1936,1353,776,803
SAUSA300_0264,7346,7971,2657,5326,5823,3718,2395,2443
SAUSA300_0265,1854,1874,1391,2622,2407,1679,2672,2198
SAUSA300_0266,195,246,163,149,162,110,147,113
SAUSA300_0267,13,16,24,23,27,19,42,44
SAUSA300_0268,577,621,364,144,594,341,392,517
SAUSA300_0269,530,568,303,523,695,437,621,692
SAUSA300_0270,1136,1123,381,653,1390,951,778,847
SAUSA300_0271,346,324,117,217,417,305,320,381
SAUSA300_0272,225,261,76,120,389,238,221,179
SAUSA300_0273,183,215,42,83,287,202,172,175
SAUSA300_0274,1035,1124,130,153,1603,1041,799,696
SAUSA300_0275,196,238,31,40,303,206,152,129
SAUSA300_0276,304,332,76,93,382,228,218,217
SAUSA300_0277,756,846,719,1592,1310,939,2749,2587
SAUSA300_0278,10664,10887,2083,4141,24686,16822,43168,49130
SAUSA300_0279,1918,2161,701,1294,4145,2679,4652,4667
SAUSA300_0280,283,302,147,293,499,401,703,728
SAUSA300_0281,29,25,8,23,54,25,64,73
SAUSA300_0282,280,293,68,150,570,372,646,675
SAUSA300_0283,2214,2397,540,1003,5211,3480,3371,3934
SAUSA300_0284,95,117,36,38,199,138,157,149
SAUSA300_0285,141,172,32,63,366,242,137,190
SAUSA300_0286,378,376,103,161,711,501,377,430
SAUSA300_0287,141,148,33,50,334,237,125,148
SAUSA300_0288,4778,4889,1504,2552,6267,4274,2644,3040
SAUSA300_0289,7384,8101,3029,5794,6055,4017,4625,4517
SAUSA300_0290,140,146,21,45,74,55,61,61
SAUSA300_0291,400,438,99,128,357,230,291,279
SAUSA300_0292,668,772,269,516,584,273,1727,1733
SAUSA300_0293,91,94,43,55,127,97,414,379
SAUSA300_0294,95,114,58,99,108,64,403,338
SAUSA300_0295,149,142,100,130,210,132,431,462
SAUSA300_0296,283,297,121,238,298,183,500,515
SAUSA300_0297,433,471,183,340,435,276,694,533
SAUSA300_0298,589,564,686,621,730,480,2031,2597
SAUSA300_0299,373,367,494,352,649,400,1056,1096
SAUSA300_0300,348,318,404,304,465,287,704,739
SAUSA300_0301,457,455,725,532,674,469,1159,1335
SAUSA300_0302,467,525,684,547,655,379,952,1282
SAUSA300_0303,973,1004,1243,931,1183,800,2023,2123
SAUSA300_0304,2479,2612,2047,2584,2687,1738,3688,4438
SAUSA300_0305,31248,33417,7289,17251,24857,15093,13392,12086
SAUSA300_0306,12135,12852,4335,4292,10349,6821,5234,5142
SAUSA300_0307,2568,2558,1211,5691,2756,1871,15432,13594
SAUSA300_0308,2900,2879,2683,4404,4307,2953,5386,4848
SAUSA300_0309,1817,1880,2364,3576,2434,1630,3701,3850
SAUSA300_0310,6307,6529,1570,2455,8952,5434,3892,4471
SAUSA300_0311,160,191,125,326,193,126,127,111
SAUSA300_0312,197,178,157,408,169,148,100,107
SAUSA300_0313,345,382,359,903,383,241,243,296
SAUSA300_0314,641,667,2290,4705,678,464,363,387
SAUSA300_0315,839,919,1224,2883,764,485,485,304
SAUSA300_0316,527,548,683,1054,810,553,494,381
SAUSA300_0317,2241,2361,782,851,1988,1522,1900,1609
SAUSA300_0318,633,657,964,1712,821,458,646,738
SAUSA300_0319,319,404,125,256,136,98,155,175
SAUSA300_0320,76877,79912,40244,98632,107836,72873,480613,469027
SAUSA300_0321,2523,2746,744,1023,3090,1937,2404,2498
SAUSA300_0322,1026,1121,310,422,1184,827,747,898
SAUSA300_0323,76,80,30,55,95,71,210,194
SAUSA300_0324,1476,1433,564,840,1468,985,1247,1439
SAUSA300_0325,404,464,151,227,460,331,374,358
SAUSA300_0326,780,924,312,541,808,504,683,809
SAUSA300_0327,945,943,341,465,811,534,529,630
SAUSA300_0328,1266,1305,320,601,916,559,515,585
SAUSA300_0329,3983,4055,5299,11103,4517,3014,5455,5887
SAUSA300_0330,1242,1287,30448,84818,2124,1399,630,1366
SAUSA300_0331,258,273,4198,11327,661,484,103,189
SAUSA300_0332,725,732,6125,16460,1568,1076,212,259
SAUSA300_0333,12164,12977,24938,81237,19967,13172,2016,1404
SAUSA300_0334,895,930,376,377,878,642,501,542
SAUSA300_0335,1734,1858,758,828,1523,942,676,747
SAUSA300_0336,600,623,205,219,519,375,257,256
SAUSA300_0337,2497,2753,3110,5369,3753,2213,2487,2443
SAUSA300_0338,1163,1227,2166,2059,1509,970,3202,4130
SAUSA300_0339,1746,1834,3004,3189,2069,1374,3701,5162
SAUSA300_0340,935,984,1626,1725,1112,727,1791,2461
SAUSA300_0341,1791,1860,1313,3275,2138,1279,3521,4212
SAUSA300_0342,75,98,142,136,103,72,154,246
SAUSA300_0343,1828,1829,982,1786,2993,2192,2547,2764
SAUSA300_0344,162,178,156,195,252,147,475,439
SAUSA300_0345,218,216,239,363,413,255,625,689
SAUSA300_0346,517,508,457,685,942,598,1124,1248
SAUSA300_0347,3427,3927,2417,3003,6216,3916,3578,3259
SAUSA300_0348,2255,2223,1434,1607,2670,2030,2133,1894
SAUSA300_0349,2799,2778,1446,454,6415,4313,3651,2837
SAUSA300_0350,213,233,88,163,112,76,106,87
SAUSA300_0351,1348,1380,464,999,1154,691,541,566
SAUSA300_0352,2993,3083,921,1974,2344,1512,911,1068
SAUSA300_0353,4740,5128,1295,2283,4295,2841,3218,3276
SAUSA300_0354,2029,2192,619,492,3887,2398,2968,2675
SAUSA300_0355,7296,7487,2429,5772,4408,2737,2622,2769
SAUSA300_0356,2539,2661,1012,2243,4490,2818,3862,4245
SAUSA300_0357,3901,4266,1532,3443,6560,4268,8070,8540
SAUSA300_0358,1724,1797,798,1799,2866,1877,5050,5327
SAUSA300_0359,357,412,331,737,595,367,1855,2046
SAUSA300_0360,227,224,221,520,260,203,1264,1243
SAUSA300_0361,1021,1154,368,712,1406,904,1341,1302
SAUSA300_0362,2185,2475,725,1345,1993,1312,1764,1759
SAUSA300_0363,475,490,155,292,289,236,328,305
SAUSA300_0364,7854,8232,2387,3648,8508,5175,5455,5687
SAUSA300_0365,381,387,365,426,548,316,1182,1165
SAUSA300_0366,46783,48475,17074,29189,19759,12617,13357,12518
SAUSA300_0367,43932,45586,13151,21751,23861,14043,10361,9757
SAUSA300_0368,14333,14815,4634,6921,5423,2989,3635,2975
SAUSA300_0369,211,230,141,209,268,192,486,433
SAUSA300_0370,4790,5036,484,1101,3181,1925,2712,2674
SAUSA300_0371,96,111,6,14,83,62,44,36
SAUSA300_0372,21276,22087,17613,31180,25356,17495,45532,38621
SAUSA300_0373,6742,7192,5262,9249,9372,6209,19113,16212
SAUSA300_0374,39068,39714,78383,75244,55743,34217,135052,110149
SAUSA300_0375,1854,1888,511,842,1858,1161,1514,1615
SAUSA300_0376,1311,1487,1156,1754,1535,1193,2733,3134
SAUSA300_0377,7601,7925,3018,4528,7095,4512,8173,7744
SAUSA300_0378,849,957,246,592,841,493,1313,1362
SAUSA300_0379,67376,71165,22692,43772,92658,58842,63848,66713
SAUSA300_0380,32250,34145,12947,25249,36628,25404,47076,43726
SAUSA300_0381,4423,4569,3233,3049,5010,3234,5370,7133
SAUSA300_0382,15123,15689,12557,26820,20465,13310,35368,37387
SAUSA300_0383,12240,12961,6564,10817,15288,10066,15136,14563
SAUSA300_0384,5932,6189,4499,8039,6643,4662,7947,7186
SAUSA300_0385,18461,19514,26264,41891,23416,13946,44748,32556
SAUSA300_0386,16461,17588,3956,6104,29166,18710,23523,25749
SAUSA300_0387,43719,47298,8045,11144,71381,44327,43136,52650
SAUSA300_0388,85991,90121,16836,26230,116209,79106,68958,75528
SAUSA300_0389,134610,143288,32757,42029,169418,105592,92875,110029
SAUSA300_0390,214,230,281,389,233,159,849,642
SAUSA300_0391,79,83,107,167,69,63,246,255
SAUSA300_0392,121,124,132,214,170,128,698,559
SAUSA300_0393,361,415,227,377,428,233,761,710
SAUSA300_0394,1365,1382,707,1324,1436,935,2385,2645
SAUSA300_0395,334,325,330,459,277,181,719,640
SAUSA300_0396,189,233,70,79,180,113,121,116
SAUSA300_0397,52,54,29,44,54,33,88,101
SAUSA300_0398,69,73,21,32,74,38,99,86
SAUSA300_0399,89,89,45,46,88,61,87,81
SAUSA300_0400,99,126,43,68,100,55,85,90
SAUSA300_0401,487,525,255,234,668,344,461,524
SAUSA300_0402,232,266,87,131,181,116,180,189
SAUSA300_0403,302,320,74,99,262,143,197,174
SAUSA300_0404,386,472,153,225,275,177,277,267
SAUSA300_0405,1410,1456,588,903,2302,1302,1998,2018
SAUSA300_0406,1809,1842,1040,1766,2446,1600,2813,3065
SAUSA300_0407,1980,2165,73,145,172,90,55,61
SAUSA300_0408,5307,5728,262,392,680,384,356,387
SAUSA300_0409,13531,13771,5041,15680,10662,6766,138015,147579
SAUSA300_0410,68,98,38,48,68,58,74,69
SAUSA300_0411,106,106,41,88,94,62,91,89
SAUSA300_0413,88,94,42,59,54,37,61,65
SAUSA300_0414,125,142,37,71,77,63,62,46
SAUSA300_0415,122,119,46,86,121,74,74,102
SAUSA300_0416,71,79,38,41,58,36,44,57
SAUSA300_0417,229,221,102,193,215,149,171,130
SAUSA300_0418,379,406,141,250,372,238,209,242
SAUSA300_0419,937,1027,389,1036,817,567,985,894
SAUSA300_0420,2314,2462,1058,2777,1784,1089,2523,2703
SAUSA300_0421,486,497,281,869,300,208,677,693
SAUSA300_0422,558,565,316,874,456,298,995,1196
SAUSA300_0423,774,833,531,1217,518,328,910,737
SAUSA300_0424,283,282,133,187,332,203,399,607
SAUSA300_0425,2221,2386,768,496,4160,2580,2213,1466
SAUSA300_0426,4635,4799,1876,2355,7675,4843,2847,2413
SAUSA300_0427,5616,5990,1545,2328,5651,3606,3038,2707
SAUSA300_0428,146,152,35,51,160,129,333,292
SAUSA300_0429,4154,4285,1908,2603,5037,3322,3203,3729
SAUSA300_0430,4432,4633,2202,3013,4785,3117,2933,3511
SAUSA300_0431,50,54,25,27,37,31,48,25
SAUSA300_0432,1765,1939,292,264,1725,1046,1156,1627
SAUSA300_0433,345,305,53,129,217,149,154,156
SAUSA300_0434,1781,1711,166,357,777,460,448,475
SAUSA300_0435,1059,1139,488,1430,1471,1023,2343,2076
SAUSA300_0436,556,587,241,645,1061,614,1269,1271
SAUSA300_0437,2551,2616,1359,3753,4917,3109,5520,5261
SAUSA300_0438,18691,19313,2907,7266,16695,11006,12092,10678
SAUSA300_0439,762,799,569,547,451,233,683,762
SAUSA300_0440,1140,1222,608,939,1142,779,1292,1375
SAUSA300_0441,2043,2134,1463,2378,2218,1483,2504,2525
SAUSA300_0442,6892,7186,1762,2787,6198,4096,5883,7061
SAUSA300_0443,2673,2776,875,1553,3533,2332,3401,4215
SAUSA300_0444,207,222,203,462,323,251,552,525
SAUSA300_0445,33834,35262,12418,26156,24073,15737,36689,32513
SAUSA300_0446,10843,11368,7753,16998,12308,7983,9824,11188
SAUSA300_0448,272302,286617,250677,509585,384731,247995,123632,104891
SAUSA300_0449,23135,24057,56410,100656,76295,48787,28919,30644
SAUSA300_0450,6570,7272,23148,36957,15923,9226,8485,9951
SAUSA300_0451,1218,1324,1275,1503,1294,813,1139,1025
SAUSA300_0452,12591,13243,7773,7524,17265,11705,9764,10736
SAUSA300_0453,12785,12725,5953,9025,13014,7963,11423,10738
SAUSA300_0454,23975,25328,10787,16607,34350,22734,19706,19846
SAUSA300_0455,5,3,13,8,28,4,20,3
SAUSA300_0456,210,178,3548,181,2593,2559,8529,314
SAUSA300_0457,0,0,0,0,0,0,0,0
SAUSA300_0458,3142,3468,1203,1557,4970,3238,2472,2622
SAUSA300_0459,1671,1837,670,872,2080,1246,1373,1522
SAUSA300_0460,16015,17110,11024,12788,27092,15621,30348,32772
SAUSA300_0461,3905,4290,2676,3631,6281,3959,8341,11144
SAUSA300_0462,2491,2693,2033,2113,3600,2323,3743,5005
SAUSA300_0463,1655,1805,1590,1434,2235,1301,2324,3102
SAUSA300_0464,666,687,628,538,944,581,675,985
SAUSA300_0465,160,168,106,96,217,132,116,162
SAUSA300_0466,916,998,642,383,1281,845,721,934
SAUSA300_0467,24262,25751,9811,14582,33605,21564,16791,16976
SAUSA300_0468,14497,15333,4684,7556,20319,13013,7196,7729
SAUSA300_0469,2098,2251,652,882,4055,2721,1689,1593
SAUSA300_0470,3824,4074,1154,1468,7137,4447,3286,3594
SAUSA300_0471,15500,16732,50974,77200,75146,43527,123078,147232
SAUSA300_0472,2731,2943,8659,6450,24929,16417,12547,16794
SAUSA300_0473,0,0,3,2,25687,16218,16373,18252
SAUSA300_0474,80,79,931,237,40784,25529,43251,44003
SAUSA300_0475,466,441,1403,567,44277,29222,42148,41078
SAUSA300_0476,0,1,5,2,12,10,36,15
SAUSA300_0477,10871,11493,5638,13939,11360,7469,6958,7879
SAUSA300_0478,17413,18051,7015,13429,11344,7605,7828,8799
SAUSA300_0479,67945,73263,19831,42042,18481,11664,9360,9535
SAUSA300_0480,2968,3177,980,1140,2673,1716,1771,2076
SAUSA300_0481,23041,24485,7841,12064,22580,14737,14004,15360
SAUSA300_0482,12229,13002,4197,6118,11187,7180,5679,6731
SAUSA300_0483,15479,16010,5878,8538,16039,10502,7003,8382
SAUSA300_0484,2706,2679,1111,1458,1896,1367,1181,1259
SAUSA300_0485,7304,7944,3638,4028,7017,4423,4010,4668
SAUSA300_0486,27311,29792,14333,21172,35019,21457,20715,22200
SAUSA300_0487,1760,1873,680,1069,1762,1071,977,1062
SAUSA300_0488,2154,2436,766,789,1683,983,1002,988
SAUSA300_0489,103186,110287,33143,52414,101546,65583,51429,55446
SAUSA300_0490,7060,7294,3741,2313,6020,3814,3557,3749
SAUSA300_0491,210466,219224,40588,71262,102515,65618,60264,66102
SAUSA300_0492,1973,1978,620,941,3271,2097,1987,2000
SAUSA300_0493,830,878,220,324,1212,738,572,565
SAUSA300_0494,2633,2878,663,951,3362,2219,1667,1474
SAUSA300_0495,2973,3160,773,1192,2819,2090,1690,1306
SAUSA300_0496,46629,49167,11796,16098,48404,30903,22736,23075
SAUSA300_0497,5,6,9,10,8,1,3,2
SAUSA300_0499,11,15,63,12,44,14,57,10
SAUSA300_0501,1444,1242,2195,2416,1963,673,1316,343
SAUSA300_0502,0,0,0,0,0,0,0,0
SAUSA300_0503,750,803,33,108,609,437,249,214
SAUSA300_0504,47895,49482,4744,6310,39297,24606,6784,6488
SAUSA300_0505,30557,32355,3054,4590,20282,12796,3899,3426
SAUSA300_0506,15277,16167,6606,16784,14341,8923,12054,12498
SAUSA300_0507,4652,4869,3781,4380,4367,2847,5372,7196
SAUSA300_0508,3076,3352,2635,3136,3390,2266,3570,4948
SAUSA300_0509,5813,6136,3880,5087,5328,3625,5604,7012
SAUSA300_0510,39254,41917,22273,31915,37333,23761,27777,35993
SAUSA300_0511,13668,14141,3633,7383,10364,6451,5852,6214
SAUSA300_0512,7968,9035,2068,5073,5304,3352,3437,3496
SAUSA300_0513,16470,17399,6367,9731,15073,9594,12558,10901
SAUSA300_0514,2630,2722,1482,2872,3050,1842,3065,2848
SAUSA300_0515,9063,9756,5067,9676,9334,6090,8191,8437
SAUSA300_0516,2253,2450,1078,2098,2313,1454,1435,1384
SAUSA300_0517,4787,5014,2464,4284,4248,2637,3059,3745
SAUSA300_0518,5637,5875,2709,4693,4982,3267,3040,3803
SAUSA300_0519,3646,3950,1642,3071,2873,2002,1540,1852
SAUSA300_0520,5311,5791,2077,3630,4987,3457,4524,4346
SAUSA300_0521,15761,16621,5173,8241,13358,8374,10433,10971
SAUSA300_0522,62202,65381,17208,30741,27779,17596,17725,19840
SAUSA300_0523,60032,63792,10838,19522,22260,13440,9316,10035
SAUSA300_0524,86970,91529,15462,35759,33276,20768,4680,4525
SAUSA300_0525,29348,32898,6415,13486,9583,5176,2024,1986
SAUSA300_0526,4353,4552,1480,2379,2816,1926,1927,2218
SAUSA300_0527,170210,181607,100602,211200,143154,93171,139470,159491
SAUSA300_0528,258748,282018,127655,260028,188024,115674,131885,163594
