X,dpurR.T3.R1,dpurR.T3.R2,dpurR.T5.R1,dpurR.T5.R2,WT.T3.R1,WT.T3.R2,WT.T5.R1,WT.T5.R2
SAUSA300_2399,1617,1619,1493,3007,2447,1552,2365,2203
SAUSA300_2400,8308,8875,4527,5985,10729,6857,7587,8574
SAUSA300_2401,879,931,518,1049,366,282,670,617
SAUSA300_2402,1501,1524,881,1543,1065,770,1002,993
SAUSA300_2403,6506,6959,1784,2481,5882,4065,6932,5744
SAUSA300_2404,3187,3487,2597,4567,3547,2144,1644,1969
SAUSA300_2405,894,939,490,527,1623,1163,1733,1546
SAUSA300_2406,3622,3630,1879,2488,1849,1132,1852,2178
SAUSA300_2407,1159,1270,630,833,572,365,696,749
SAUSA300_2408,1132,1208,765,1091,588,405,778,915
SAUSA300_2409,763,870,559,712,615,373,785,957
SAUSA300_2410,2017,2131,1050,1547,1666,940,1947,1610
SAUSA300_2411,15713,16558,4018,5425,13309,8623,9282,6915
SAUSA300_2412,466,500,307,377,541,312,1044,959
SAUSA300_2413,425,418,212,207,268,204,591,576
SAUSA300_2414,784,859,432,331,722,526,1091,1076
SAUSA300_2415,266,338,701,1412,388,231,686,642
SAUSA300_2416,1415,1324,3655,6512,2783,1848,3832,3816
SAUSA300_2417,1856,1931,1414,2338,6701,4398,12967,13683
SAUSA300_2418,4377,4759,5779,8729,6566,4570,12454,8898
SAUSA300_2419,772,853,437,572,1010,707,938,900
SAUSA300_2420,419,452,252,380,511,424,640,557
SAUSA300_2421,5497,5782,3079,5764,8428,5330,24588,19916
SAUSA300_2422,12461,12868,5523,10653,26004,17386,51277,48363
SAUSA300_2423,311130,332754,445031,1277114,362018,229610,672567,714184
SAUSA300_2424,1006,1033,289,451,1129,742,765,696
SAUSA300_2425,316,319,106,135,288,152,108,124
SAUSA300_2426,367,495,128,176,406,224,132,168
SAUSA300_2428,962,967,208,348,946,655,251,279
SAUSA300_2429,1273,1312,354,511,1281,766,414,437
SAUSA300_2430,1272,1419,286,457,1026,679,321,305
SAUSA300_2431,5280,5681,1503,3280,4670,2982,1669,1656
SAUSA300_2432,661,696,201,437,739,527,202,225
SAUSA300_2433,4457,4729,1747,3852,5655,3481,2048,2623
SAUSA300_2434,990,1045,284,804,433,317,372,327
SAUSA300_2435,1086,1058,568,907,6238,4636,2508,2573
SAUSA300_2436,1584,1711,679,1164,10272,6865,4743,4368
SAUSA300_2437,15,17,7,23,76,38,52,49
SAUSA300_2438,12,13,6,7,10,12,46,46
SAUSA300_2439,2818,3054,2314,4467,3529,2315,4106,4039
SAUSA300_2440,2798,3068,350,639,2526,1633,959,870
SAUSA300_2441,34410,36253,2502,4224,5191,3602,3095,2964
SAUSA300_2442,7047,7406,13533,14431,9251,6082,2883,4067
