,DMSO_R1_minus_TEX,DMSO_R1_plus_TEX,DMSO_R2_minus_TEX,DMSO_R2_plus_TEX,compound1_R1_minus_TEX,compound1_R1_plus_TEX,compound1_R2_minus_TEX,compound1_R2_plus_TEX,compound59_R1_minus_TEX,compound59_R1_plus_TEX,compound59_R2_minus_TEX,compound59_R2_plus_TEX
NC_007795.1,20.5,138,13,83.5,4,0,7,1,1,1,2,3
NC_007795.1,27.5,214,17,113.5,16,6,10,2,4,2,2,5
NC_007795.1,51,297.5,31,205.5,24,3,18.5,2,1,0,7,3
NC_007795.1,128,691,28.5,432,32.5,8,25.5,11,16,4,21,17
NC_007795.1,77.66666667,390.75,18.5,247,21.5,4.5,11,12,3,2,12.5,4.5
NC_007795.1,55.5,278.75,17,275.1666667,21,3.5,15.5,7,4,3,11,2.5
NC_007795.1,31,253.1666667,17,253,13,10,13.5,3,6,2,10,2
NC_007795.1,32,141.5,21.7,87.7,11,4,16,8.166666667,5,0.166666667,3.5,6
NC_007795.1,34,265.5,29,185,18,6,10,12,14,4,17,9
NC_007795.1,19.61904762,81,10,48.5,13,5,8,4,1,9.5,5,6
NC_007795.1,12,42,4,29.16666667,1,3,3,0,1,4.5,1,2
NC_007795.1,5421.75,3410,5278.666667,2974,120,330,54,413,95,286,84,447
NC_007795.1,1.5,13.5,0,8,1,0,0,0,0,0,0.5,0.5
NC_007795.1,24,139.5,8.5,125.5,6,1,9.5,3,8,0,2.5,1.5
NC_007795.1,9,75,7,65.5,6,1,4.5,1,5,0,4,3
NC_007795.1,23.5,136,4.5,70.66666667,6.5,1,4,2.5,5,1,2,1
NC_007795.1,74,424,31,255.5,30.5,3,17.5,6.625,4.5,1,17,5
NC_007795.1,123,475.5,43.5,342.6111111,45.22222222,6,31.5,11,8.5,3,7,19
NC_007795.1,55,116,51,119,7,7.166666667,7,9,13,9,5,18
NC_007795.1,883,471,771,571,43,82,20,96,60,117,33,174
NC_007795.1,91,136,69,119,9,7,12,16,2,17,4,23
NC_007795.1,65,247.5,35,227,22,2.5,20.5,4,2,2,16,2
NC_007795.1,84,299.5,52,169,26.125,4,15.5,3,3,3,18,13
NC_007795.1,533.5,538,469,369.5,46,67,22,57.83333333,38,81.5,22.5,121
NC_007795.1,1747.5,1059.666667,1538.5,1137.5,80,156,39.5,153,67,189,60,247
NC_007795.1,76,310.5,27,214.5,22.5,9,28,7,7,1,10,8
NC_007795.1,18,138.5,17,140.5,8.5,1,5,5,3,0,2,3
NC_007795.1,18,106,7,81.66666667,14,1,5,5,1.333333333,2,0,2
NC_007795.1,6,24,4,29,3,0,2,2,0,0,0,0
NC_007795.1,20,234,10,164.5,15.5,4.25,10.5,5.5,7,1,6.5,6
NC_007795.1,136,263.5,139,343.5,26.5,32,15,18,9,12,7.5,48
NC_007795.1,1,0.5,0,1,0,0,0,0,0,0,0,0
NC_007795.1,11,60,2,25.5,4,0,1,1,1,0,0,0
